,hair,arm,hand,finger,toe,lamp,chair,table,couch,bed,window,shirt,bib,blanket,pillow,towel,napkin,toy,box,book,hat,crayon,ball,plant,plate,bowl,bottle,cup,bucket
toy,1.159987449645996,1.1681829690933228,1.0039030313491821,1.1886110305786133,1.2208588123321533,1.118163824081421,0.9936312437057495,0.8465097546577454,1.018259882926941,0.9869809746742249,1.0252209901809692,1.12151038646698,0.9319765567779541,1.0100828409194946,1.065485954284668,1.1491798162460327,1.166674256324768,0.0,0.707277238368988,0.7201154232025146,1.0923020839691162,1.069141149520874,0.8517885208129883,1.0224546194076538,0.9627766609191895,0.9898865222930908,0.9676042199134827,0.9059451818466187,0.9136229753494263
box,1.188246488571167,1.1571097373962402,1.132983684539795,1.3130308389663696,1.3342056274414062,1.0886666774749756,0.8053096532821655,0.6939126253128052,0.8966695666313171,0.8991485238075256,0.9378923177719116,1.1136093139648438,1.0129364728927612,0.9667057991027832,0.9133588075637817,0.9633773565292358,0.9211810231208801,0.707277238368988,0.0,0.6171073913574219,1.1589148044586182,1.2487168312072754,1.1434848308563232,1.0100828409194946,0.9662256836891174,0.9091577529907227,1.0191054344177246,0.8794842958450317,0.5784739255905151
book,1.0160434246063232,0.9685631990432739,0.9492592811584473,1.1789206266403198,1.2596789598464966,1.1723657846450806,0.9180291891098022,0.7105540037155151,0.8253862857818604,0.803476870059967,0.8712741732597351,0.8852817416191101,0.7924952507019043,0.8134615421295166,0.9129022359848022,1.0294731855392456,1.0191341638565063,0.7201154232025146,0.6171073913574219,0.0,1.156731128692627,1.153123140335083,1.1206222772598267,0.9706539511680603,0.972050666809082,1.0433272123336792,1.1763700246810913,1.0745959281921387,1.0358279943466187
hat,0.7610981464385986,1.227752923965454,1.140187382698059,0.8212038278579712,0.7683430910110474,0.8485250473022461,1.1336685419082642,1.3367846012115479,1.1912546157836914,1.2157931327819824,1.2094000577926636,1.0762712955474854,1.031058430671692,1.1455442905426025,0.9577010869979858,0.7562856674194336,0.7877570986747742,1.0923020839691162,1.1589148044586182,1.156731128692627,0.0,0.7017744183540344,0.7276114225387573,0.8602887392044067,1.0591202974319458,1.0495176315307617,0.7985937595367432,0.8811516761779785,1.037079095840454
crayon,1.1983709335327148,1.1925114393234253,1.1466844081878662,0.6257753968238831,0.6598930358886719,0.6430739164352417,1.3469089269638062,1.4479905366897583,1.4294202327728271,1.4266302585601807,1.2365195751190186,1.3808938264846802,1.3857309818267822,1.4240353107452393,1.1866624355316162,1.0421264171600342,1.0059949159622192,1.069141149520874,1.2487168312072754,1.153123140335083,0.7017744183540344,0.0,0.7001227140426636,0.7904034852981567,0.9333983063697815,1.083832025527954,0.592132568359375,0.9345764517784119,1.1350035667419434
ball,1.1157965660095215,1.2694302797317505,1.143438696861267,0.9027588963508606,0.8957733511924744,0.6591706871986389,1.3056548833847046,1.308977484703064,1.296651005744934,1.2789560556411743,1.1750309467315674,1.2557425498962402,1.2328547239303589,1.2725138664245605,1.1121166944503784,1.1126058101654053,1.0853519439697266,0.8517885208129883,1.1434848308563232,1.1206222772598267,0.7276114225387573,0.7001227140426636,0.0,0.8331269025802612,0.8668100833892822,0.8899006843566895,0.7004282474517822,0.8431524038314819,1.068337321281433
plant,1.009083867073059,1.187345266342163,1.135695219039917,0.9730990529060364,0.9510186910629272,0.6729071140289307,1.082960605621338,1.1188544034957886,1.1861660480499268,1.19722318649292,0.913048267364502,1.2391562461853027,1.236711025238037,1.1819918155670166,0.9438862204551697,0.9736334085464478,0.9661357402801514,1.0224546194076538,1.0100828409194946,0.9706539511680603,0.8602887392044067,0.7904034852981567,0.8331269025802612,0.0,0.9360023736953735,0.9683522582054138,0.7842756509780884,0.8379778861999512,0.9689682126045227
plate,1.2865333557128906,1.2998838424682617,1.1869256496429443,1.11968195438385,1.1246206760406494,0.8782527446746826,1.2142866849899292,0.9357811212539673,1.280430793762207,1.2158148288726807,1.15462064743042,1.291581153869629,1.1032835245132446,1.1803770065307617,1.0711195468902588,1.008560299873352,0.9237257242202759,0.9627766609191895,0.9662256836891174,0.972050666809082,1.0591202974319458,0.9333983063697815,0.8668100833892822,0.9360023736953735,0.0,0.26260143518447876,0.9022571444511414,0.6511408090591431,0.8263424038887024
bowl,1.2595398426055908,1.2536803483963013,1.1630363464355469,1.1686464548110962,1.1701114177703857,0.8366471529006958,1.1248186826705933,0.9701671600341797,1.2694151401519775,1.1795872449874878,1.1421087980270386,1.2710909843444824,1.0637787580490112,1.102113127708435,1.0009444952011108,0.9212615489959717,0.8401892185211182,0.9898865222930908,0.9091577529907227,1.0433272123336792,1.0495176315307617,1.083832025527954,0.8899006843566895,0.9683522582054138,0.26260143518447876,0.0,0.8299779891967773,0.3203471899032593,0.48162317276000977
bottle,1.2101384401321411,1.2556991577148438,1.2201528549194336,0.9640560150146484,0.9091081023216248,0.6614080667495728,1.1568238735198975,1.2621779441833496,1.3801994323730469,1.3730719089508057,1.1690009832382202,1.3252036571502686,1.2377620935440063,1.3422731161117554,1.1172103881835938,0.9289774298667908,0.8812390565872192,0.9676042199134827,1.0191054344177246,1.1763700246810913,0.7985937595367432,0.592132568359375,0.7004282474517822,0.7842756509780884,0.9022571444511414,0.8299779891967773,0.0,0.5480231046676636,0.6841859221458435
