,hair,arm,hand,finger,toe,lamp,chair,table,couch,bed,window,door,refrigerator,bathtub,shirt,bib,pants,sock,glove,blanket,pillow,towel,napkin,toy,tray,box,book,paper,hat,spoon,crayon,balloon,ball,egg,orange,apple,plant,plate,bowl,bottle,cup,bucket,can
window,0.8626378774642944,0.8172203898429871,1.0431307554244995,1.172178864479065,1.2036694288253784,0.7824076414108276,0.7347759008407593,0.6402544975280762,0.6525161266326904,0.6410419344902039,0.0,0.46255654096603394,0.5786753296852112,0.801942765712738,0.7950469851493835,0.9939987659454346,0.8624758720397949,1.140080451965332,1.2130194902420044,0.777611494064331,0.8617286086082458,0.9072080254554749,0.9892522096633911,1.0145624876022339,1.0137428045272827,0.9200403690338135,0.8946399092674255,0.8893770575523376,1.199902892112732,1.2506848573684692,1.2549954652786255,1.1710506677627563,1.229048728942871,1.264075756072998,1.2679029703140259,1.215916395187378,0.6643388271331787,1.1487092971801758,1.1706246137619019,1.1523876190185547,1.2163779735565186,1.1491202116012573,0.8770182132720947
door,1.0330313444137573,1.006670355796814,1.1220439672470093,1.1836177110671997,1.1839808225631714,0.8314399123191833,0.6252239346504211,0.6882196068763733,0.6294472217559814,0.7595216035842896,0.46255654096603394,0.0,0.4121377468109131,0.8178833723068237,1.0185867547988892,1.1665289402008057,0.9629178047180176,1.1757994890213013,1.2519152164459229,0.9654169082641602,0.8243595361709595,0.8627797365188599,0.9333989024162292,1.095276951789856,0.9826995134353638,0.7601849436759949,1.0465441942214966,1.0101537704467773,1.1471985578536987,1.1792422533035278,1.2534512281417847,1.1380585432052612,1.173700213432312,1.2385201454162598,1.2292962074279785,1.2064316272735596,0.90727698802948,1.1256225109100342,1.109166145324707,1.0888071060180664,1.1652582883834839,1.0818192958831787,0.7709640264511108
refrigerator,1.036738395690918,0.878684937953949,1.1619359254837036,1.3178609609603882,1.350867748260498,0.9282532930374146,0.5741015672683716,0.42495667934417725,0.6188866496086121,0.6985193490982056,0.5786753296852112,0.4121377468109131,0.0,0.6092666983604431,0.8922311067581177,1.0400261878967285,0.8766782283782959,1.1357660293579102,1.2407772541046143,0.8669785857200623,0.8447557687759399,0.8338884115219116,0.9075191020965576,1.0645267963409424,0.8280739784240723,0.6629126071929932,0.9594709277153015,0.8578817248344421,1.230222225189209,1.187239170074463,1.3050932884216309,1.2045236825942993,1.3221187591552734,1.4057798385620117,1.3218542337417603,1.3134223222732544,0.9467511773109436,1.0938409566879272,0.9884029030799866,1.0199700593948364,1.034757137298584,0.8296797275543213,0.31881827116012573
bathtub,0.9836886525154114,0.90189129114151,1.1819360256195068,1.3888572454452515,1.4147999286651611,1.1433250904083252,0.6501234173774719,0.39863133430480957,0.6158494353294373,0.45248228311538696,0.801942765712738,0.8178833723068237,0.6092666983604431,0.0,0.8406557440757751,0.7750927209854126,0.8704536557197571,1.1095280647277832,1.1623879671096802,0.5963118076324463,0.7883428335189819,0.8439894914627075,0.9176537990570068,0.9059616327285767,0.5035820603370667,0.8825953006744385,0.8770707249641418,0.8251587152481079,1.306280493736267,1.2327618598937988,1.4164037704467773,1.21073317527771,1.3523701429367065,1.3375216722488403,1.352901816368103,1.3789668083190918,1.081366777420044,0.8789774775505066,0.6453518867492676,1.1148163080215454,0.8965631723403931,0.5800222754478455,0.6824991703033447
shirt,0.5450820922851562,0.48116445541381836,0.832854151725769,1.0094890594482422,0.9890361428260803,1.222682237625122,0.9589657187461853,0.7293396592140198,0.7423319816589355,0.5671657919883728,0.7950469851493835,1.0185867547988892,0.8922311067581177,0.8406557440757751,0.0,0.3578711748123169,0.314555287361145,0.8652470707893372,0.9196015000343323,0.5891891121864319,0.8049017190933228,0.9275460839271545,1.0457425117492676,1.1015870571136475,1.0660489797592163,1.1125272512435913,0.91487717628479,0.8848944306373596,1.0325833559036255,1.3597033023834229,1.3448562622070312,1.176628589630127,1.2429479360580444,1.153894066810608,1.24106764793396,1.2452576160430908,1.1348263025283813,1.2400926351547241,1.2237207889556885,1.2222164869308472,1.2667746543884277,1.1884918212890625,1.0149056911468506
bib,0.7704440951347351,0.6322034001350403,0.8648253083229065,1.156441569328308,1.1616759300231934,1.3655011653900146,0.9971300959587097,0.772242546081543,0.818820595741272,0.5755566358566284,0.9939987659454346,1.1665289402008057,1.0400261878967285,0.7750927209854126,0.3578711748123169,0.0,0.4736607074737549,0.7179911136627197,0.6254523992538452,0.437705934047699,0.7198615074157715,0.6051000952720642,0.6692423820495605,0.9794846773147583,0.8689625263214111,1.050655722618103,0.7766644954681396,0.6379969716072083,1.0771291255950928,1.4248015880584717,1.4113314151763916,1.24964439868927,1.3497898578643799,1.225562572479248,1.2850360870361328,1.3105814456939697,1.2062771320343018,1.120805263519287,1.1364667415618896,1.2464581727981567,1.1864509582519531,1.0367558002471924,1.0810372829437256
pants,0.6261866688728333,0.5075486898422241,0.8406497240066528,1.0071334838867188,0.9638374447822571,1.3538782596588135,0.8711181879043579,0.7451534867286682,0.6171719431877136,0.5396053791046143,0.8624758720397949,0.9629178047180176,0.8766782283782959,0.8704536557197571,0.314555287361145,0.4736607074737549,0.0,0.6524051427841187,0.7533583045005798,0.5938363075256348,0.6847255229949951,0.9078699350357056,1.0454727411270142,1.1710622310638428,1.108413577079773,1.0664925575256348,0.9845340847969055,0.935652494430542,1.0188918113708496,1.4060161113739014,1.3192797899246216,1.217065453529358,1.303346872329712,1.2345025539398193,1.2903928756713867,1.2847974300384521,1.1738524436950684,1.3364171981811523,1.3104217052459717,1.3231805562973022,1.3422120809555054,1.2261066436767578,0.9290830492973328
sock,0.9710511565208435,0.6017405986785889,0.7093259692192078,0.8199917674064636,0.7919620275497437,1.2227519750595093,0.9919683337211609,1.1107401847839355,0.9934422373771667,0.9373114109039307,1.140080451965332,1.1757994890213013,1.1357660293579102,1.1095280647277832,0.8652470707893372,0.7179911136627197,0.6524051427841187,0.0,0.30791544914245605,0.8153177499771118,0.8241853713989258,0.7605252265930176,0.8388288021087646,1.0253905057907104,1.1715127229690552,1.0243767499923706,1.003696084022522,0.9851118326187134,0.9221343994140625,1.1448787450790405,1.094809651374817,1.1115732192993164,1.196116328239441,1.1897468566894531,1.2425181865692139,1.2140545845031738,1.1022419929504395,1.2500503063201904,1.138627052307129,1.1095340251922607,0.999995768070221,1.0395102500915527,1.0387953519821167
glove,0.9591421484947205,0.6366461515426636,0.5068503022193909,0.7887605428695679,0.8547865152359009,1.3263649940490723,1.1219431161880493,1.1254196166992188,1.0453513860702515,1.0008296966552734,1.2130194902420044,1.2519152164459229,1.2407772541046143,1.1623879671096802,0.9196015000343323,0.6254523992538452,0.7533583045005798,0.30791544914245605,0.0,0.8054196834564209,0.8525701761245728,0.8010175824165344,0.8249229192733765,0.9381537437438965,1.1194837093353271,1.1142349243164062,1.016526699066162,0.893223762512207,0.9113782048225403,1.1577222347259521,1.0744688510894775,1.1146481037139893,1.2061518430709839,1.1766357421875,1.1351743936538696,1.1517794132232666,1.1629277467727661,1.2549775838851929,1.187037706375122,1.152327060699463,1.081482172012329,1.0953603982925415,1.1187186241149902
blanket,0.8635126352310181,0.6888131499290466,1.0128422975540161,1.266847848892212,1.2836500406265259,1.2365045547485352,0.7739766836166382,0.6052676439285278,0.39853841066360474,0.15200388431549072,0.777611494064331,0.9654169082641602,0.8669785857200623,0.5963118076324463,0.5891891121864319,0.437705934047699,0.5938363075256348,0.8153177499771118,0.8054196834564209,0.0,0.2965429425239563,0.4743257164955139,0.6821235418319702,1.0069094896316528,0.9531987905502319,1.0371806621551514,0.8549315929412842,0.7713844180107117,1.2145357131958008,1.4147436618804932,1.4070141315460205,1.2395540475845337,1.3477205038070679,1.3217610120773315,1.3619368076324463,1.3960933685302734,1.0858510732650757,1.218901515007019,1.1433923244476318,1.2871997356414795,1.2378207445144653,1.0936646461486816,1.0300062894821167
