,dog,frog,nose,face,hair,arm,hand,finger,toe,lamp,drawer,bench,chair,table,couch,bed,crib,window,door,refrigerator,oven,sink,bathtub,car,jacket,shirt,bib,pajamas,jeans,pants,slipper,shoe,sock,glove,blanket,pillow,towel,napkin,doll,toy,tray,box,book,paper,basket,purse,comb,hat,glasses,scissors,fork,spoon,crayon,pencil,pen,knife,toothbrush,gum,balloon,ball,egg,orange,pumpkin,apple,melon,banana,plant,bread,plate,bowl,bottle,cup,bucket,can
drawer,1.1478760242462158,1.0967066287994385,1.038122296333313,1.1518328189849854,1.1932417154312134,1.0998330116271973,1.1327921152114868,1.0723998546600342,1.1109014749526978,0.8841089010238647,0.0,0.6102601289749146,0.784661054611206,0.9084056615829468,0.870231032371521,0.9538083672523499,0.8669302463531494,0.9645721912384033,0.6211956739425659,0.6964606046676636,0.6346413493156433,0.8366188406944275,0.8820220828056335,0.9571008086204529,1.0307071208953857,1.1440073251724243,1.1641085147857666,1.1334794759750366,1.0725274085998535,1.0914462804794312,0.9809594750404358,1.0717979669570923,1.2335528135299683,1.1899304389953613,1.0694382190704346,0.9110462069511414,0.9590442180633545,0.9337132573127747,1.1479477882385254,1.1278105974197388,0.711523175239563,0.6586437225341797,0.9972912073135376,0.9544493556022644,0.852599561214447,0.799054741859436,0.9296265244483948,1.0738493204116821,1.0809426307678223,1.0678974390029907,0.9224335551261902,0.9276232123374939,1.0356409549713135,0.8759472370147705,0.8691428303718567,0.6884093284606934,1.0998964309692383,1.1456142663955688,1.1068750619888306,1.106373906135559,1.1087305545806885,1.1585273742675781,1.1508795022964478,1.1091645956039429,1.1509100198745728,1.196073055267334,1.0385018587112427,1.1209421157836914,1.0321534872055054,1.0145196914672852,1.1276249885559082,1.063303828239441,0.9125101566314697,0.7644475698471069
bench,0.858971357345581,1.182223916053772,1.348388910293579,1.0215524435043335,0.9942609667778015,0.856736421585083,1.1223959922790527,1.3364291191101074,1.3530853986740112,1.0459600687026978,0.6102601289749146,0.0,0.4202439785003662,0.44622474908828735,0.409141480922699,0.563373863697052,0.5852316617965698,0.7565740346908569,0.7287850379943848,0.6858227252960205,0.6629910469055176,0.606905460357666,0.6099607944488525,0.9256992340087891,0.8715254068374634,0.8224807977676392,0.9377447366714478,0.8234645128250122,0.7168780565261841,0.7200716733932495,1.2450575828552246,0.9044954180717468,1.065389633178711,1.0942134857177734,0.6637683510780334,0.7089582085609436,0.7994648218154907,0.9159015417098999,1.107933759689331,1.0038387775421143,0.6246488094329834,0.7116720676422119,0.9080604314804077,0.8467305898666382,0.873934805393219,0.9444782733917236,0.8471986651420593,1.263289451599121,1.2593255043029785,0.9443240165710449,1.2210782766342163,1.2315168380737305,1.3363993167877197,1.1942588090896606,1.2377111911773682,0.9300535321235657,1.2223936319351196,1.332697868347168,1.2604786157608032,1.3871755599975586,1.3819314241409302,1.3302236795425415,1.37111234664917,1.3874284029006958,1.2392022609710693,1.2748749256134033,1.0667723417282104,1.2920691967010498,1.0336072444915771,1.0549893379211426,1.2289485931396484,1.1204849481582642,1.0319606065750122,0.8496174216270447
chair,0.989626407623291,1.2588577270507812,1.2553507089614868,1.2020041942596436,1.0549474954605103,0.9969709515571594,1.1670794486999512,1.257894515991211,1.25380539894104,0.7719425559043884,0.784661054611206,0.4202439785003662,0.0,0.43754518032073975,0.5164860486984253,0.6965882778167725,0.5793917179107666,0.6223478317260742,0.6491166353225708,0.6624188423156738,0.7543078660964966,0.8649985790252686,0.8759438991546631,0.9451615810394287,0.8663631677627563,0.9521691203117371,1.089288592338562,0.9604027271270752,0.9009689092636108,0.9150708913803101,1.161905288696289,1.0890380144119263,1.0955283641815186,1.154323697090149,0.8334400653839111,0.7806664705276489,0.9047917127609253,0.9860569834709167,1.0707370042800903,0.9672402739524841,0.8584326505661011,0.8687188625335693,0.995891273021698,1.0639430284500122,0.7758446931838989,0.7989291548728943,0.9481646418571472,1.093989372253418,1.1786760091781616,0.8939687013626099,0.939731240272522,1.028149127960205,1.2314969301223755,1.1285972595214844,1.1137115955352783,1.0401585102081299,1.119818925857544,1.4058159589767456,1.1907888650894165,1.2614691257476807,1.335768699645996,1.3242261409759521,1.272996425628662,1.3213266134262085,1.2579481601715088,1.24885892868042,0.8536586761474609,1.2833764553070068,1.0900139808654785,0.9785911440849304,1.051052451133728,0.9298238754272461,0.8536397218704224,0.8145151734352112
table,0.8103217482566833,1.2532892227172852,1.398942470550537,1.0681812763214111,0.9608935713768005,0.8237920999526978,1.0893138647079468,1.4038655757904053,1.4137904644012451,0.9728769063949585,0.9084056615829468,0.44622474908828735,0.43754518032073975,0.0,0.49067825078964233,0.5232903361320496,0.554648756980896,0.5492085814476013,0.7164242267608643,0.5803727507591248,0.670569658279419,0.5357829332351685,0.5471963286399841,1.051412582397461,0.9253197908401489,0.7658858299255371,0.8619487285614014,0.7025107145309448,0.8175842761993408,0.7904881834983826,1.455690860748291,1.1055190563201904,1.107565999031067,1.2203798294067383,0.7082849740982056,0.9519526958465576,1.0407302379608154,1.0408415794372559,0.9691346287727356,0.8590322732925415,0.5315252542495728,0.7266734838485718,0.8316320180892944,0.7756446599960327,0.923716127872467,1.0025607347488403,0.9877431988716125,1.3418623208999634,1.2345776557922363,0.849250078201294,1.1634540557861328,1.2300167083740234,1.449436068534851,1.3552885055541992,1.3647916316986084,1.1733330488204956,1.1764144897460938,1.2936880588531494,1.2108625173568726,1.3239057064056396,1.3722145557403564,1.2928462028503418,1.3546292781829834,1.362018346786499,1.2253963947296143,1.3375743627548218,0.9840670824050903,1.2674840688705444,0.7392029762268066,0.8614997267723083,1.039942741394043,0.993098795413971,0.9539248943328857,0.8694247603416443
couch,0.7124341726303101,1.1643400192260742,1.2577919960021973,0.9595677256584167,0.9136597514152527,0.8334448933601379,1.0861815214157104,1.3167599439620972,1.283377766609192,1.0660243034362793,0.870231032371521,0.409141480922699,0.5164860486984253,0.49067825078964233,0.0,0.27720147371292114,0.5151440501213074,0.6211497783660889,0.6734564304351807,0.6353027820587158,0.661281943321228,0.766405463218689,0.6979937553405762,0.9677559733390808,0.8295257687568665,0.748425304889679,0.7969951629638672,0.57163405418396,0.6904222965240479,0.6531792879104614,1.3137836456298828,0.9944189786911011,0.9465048909187317,1.0752649307250977,0.37764883041381836,0.40582334995269775,0.7076492309570312,0.9299678802490234,0.9278375506401062,0.9358929395675659,0.779464602470398,0.7363288402557373,0.8958476185798645,0.8646851778030396,0.8995505571365356,0.8794170618057251,1.013980507850647,1.2543401718139648,1.1751419305801392,1.0654628276824951,1.3696061372756958,1.393317461013794,1.4205915927886963,1.373445987701416,1.3978859186172485,1.2032400369644165,1.269712209701538,1.338632345199585,1.2361242771148682,1.3244043588638306,1.3996859788894653,1.3623754978179932,1.3065968751907349,1.3973219394683838,1.1975845098495483,1.2992433309555054,1.0016281604766846,1.2887450456619263,1.164498209953308,1.132655382156372,1.1985647678375244,1.184647560119629,1.0677111148834229,0.9521229863166809
bed,0.7557471990585327,1.1773988008499146,1.2901654243469238,0.9737470149993896,0.8847039937973022,0.7421942353248596,1.055539846420288,1.3265142440795898,1.2876343727111816,1.085088849067688,0.9538083672523499,0.563373863697052,0.6965882778167725,0.5232903361320496,0.27720147371292114,0.0,0.3546489477157593,0.6018359065055847,0.7116846442222595,0.688374400138855,0.7230414152145386,0.6968156695365906,0.5956723093986511,1.005308985710144,0.6995289921760559,0.6668103933334351,0.6280525326728821,0.4353119730949402,0.6605415344238281,0.6513310670852661,1.3174309730529785,0.942279040813446,0.9135855436325073,1.0107710361480713,0.13916528224945068,0.3464975953102112,0.6744968891143799,0.8969124555587769,0.8331040143966675,0.9115391969680786,0.7118148803710938,0.7959753274917603,0.7912964820861816,0.8432211875915527,0.8905643820762634,0.9715791940689087,0.97282874584198,1.262514591217041,1.1988508701324463,1.0003067255020142,1.329803228378296,1.3710517883300781,1.4307934045791626,1.3881922960281372,1.3947051763534546,1.2425024509429932,1.2478387355804443,1.3478509187698364,1.2862937450408936,1.3548531532287598,1.410325527191162,1.3929786682128906,1.351346492767334,1.4253679513931274,1.2461442947387695,1.345947265625,1.0619324445724487,1.3091871738433838,1.0741991996765137,1.130833387374878,1.2323832511901855,1.2433487176895142,1.1293758153915405,1.006998896598816
crib,0.8035606145858765,1.1834230422973633,1.2768115997314453,1.0335451364517212,0.9756578803062439,0.9199661016464233,1.0745983123779297,1.3664745092391968,1.3318986892700195,1.064234733581543,0.8669302463531494,0.5852316617965698,0.5793917179107666,0.554648756980896,0.5151440501213074,0.3546489477157593,0.0,0.6430436372756958,0.7325641512870789,0.6192777156829834,0.648033082485199,0.7497554421424866,0.6460843086242676,0.9803475737571716,0.8397137522697449,0.8512909412384033,0.8070265650749207,0.656221330165863,0.8739458322525024,0.8747283220291138,1.3375966548919678,1.0057404041290283,1.0624642372131348,1.0879536867141724,0.49282240867614746,0.7492356300354004,0.9197015166282654,1.0736503601074219,0.643308162689209,0.671615719795227,0.6182213425636292,0.6264591217041016,0.7556256651878357,0.8871493339538574,0.6201779246330261,0.8742985129356384,0.8543379306793213,1.2584788799285889,1.251625657081604,0.8740127086639404,1.1970882415771484,1.2737089395523071,1.3964970111846924,1.293275237083435,1.3189352750778198,1.2011030912399292,1.1515491008758545,1.3373312950134277,1.2276382446289062,1.3097528219223022,1.396054744720459,1.3780336380004883,1.3315060138702393,1.3862837553024292,1.2839558124542236,1.327265739440918,0.9604796171188354,1.3860547542572021,1.0800952911376953,1.045589804649353,1.1119122505187988,1.1435691118240356,0.903192400932312,0.8912658095359802
window,0.9049526453018188,1.1383581161499023,1.1992793083190918,1.0027271509170532,0.8482170701026917,0.8180669546127319,1.0399503707885742,1.2172222137451172,1.252636194229126,0.7685449719429016,0.9645721912384033,0.7565740346908569,0.6223478317260742,0.5492085814476013,0.6211497783660889,0.6018359065055847,0.6430436372756958,0.0,0.4350600242614746,0.5236233472824097,0.6970227360725403,0.767019510269165,0.7103273868560791,0.9243006706237793,0.8380130529403687,0.8062072396278381,0.9407723546028137,0.8000043630599976,0.8689084053039551,0.8581057786941528,1.3879902362823486,1.2042505741119385,1.1282031536102295,1.1840720176696777,0.7465242147445679,0.8738725781440735,0.9383363723754883,1.0082721710205078,0.9885112047195435,1.0043561458587646,0.9125424027442932,0.8995543718338013,0.9481086730957031,0.8745380640029907,1.0638540983200073,1.0965746641159058,0.9544958472251892,1.2395100593566895,1.0153180360794067,0.982122540473938,1.1975479125976562,1.2674736976623535,1.284985065460205,1.1737220287322998,1.1583243608474731,1.1006007194519043,1.1125415563583374,1.2351837158203125,1.1979131698608398,1.237169623374939,1.2980055809020996,1.2235342264175415,1.2756397724151611,1.2797770500183105,1.221935510635376,1.2560890913009644,0.7710734605789185,1.2877023220062256,1.0581135749816895,1.1094917058944702,1.1270519495010376,1.130995273590088,1.1181645393371582,0.9209151268005371
door,0.9481453895568848,1.1117206811904907,1.1229257583618164,1.013474464416504,0.9670546650886536,0.9320822358131409,1.0804486274719238,1.1740188598632812,1.1897276639938354,0.7218684554100037,0.6211956739425659,0.7287850379943848,0.6491166353225708,0.7164242267608643,0.6734564304351807,0.7116846442222595,0.7325641512870789,0.4350600242614746,0.0,0.3939504623413086,0.6201134324073792,0.7100170254707336,0.691002368927002,0.987788200378418,0.9403005242347717,0.9286251068115234,1.0915054082870483,0.9278343915939331,0.9502001404762268,0.8918108940124512,1.2740757465362549,1.2064982652664185,1.2204210758209229,1.264474630355835,0.8888344168663025,0.8781922459602356,0.9217448830604553,1.0176478624343872,1.092171311378479,1.1026420593261719,0.9588736891746521,0.8631072640419006,1.0828689336776733,0.9633691310882568,1.0212100744247437,0.9802699089050293,0.9830359220504761,1.2169485092163086,1.0420557260513306,0.9780845642089844,1.0658494234085083,1.107561469078064,1.203997015953064,1.0610519647598267,1.0397320985794067,0.95744389295578,1.063025951385498,1.237170696258545,1.18608558177948,1.1996567249298096,1.2688822746276855,1.2223913669586182,1.2481846809387207,1.2440502643585205,1.2173779010772705,1.2153441905975342,0.9420093894004822,1.2586599588394165,1.1022038459777832,1.1333482265472412,1.132456660270691,1.1582317352294922,1.0816688537597656,0.8358457684516907
refrigerator,0.9054060578346252,1.2081584930419922,1.318617343902588,1.0621914863586426,0.9734764695167542,0.9000303745269775,1.156690239906311,1.3417737483978271,1.3438849449157715,0.8915219902992249,0.6964606046676636,0.6858227252960205,0.6624188423156738,0.5803727507591248,0.6353027820587158,0.688374400138855,0.6192777156829834,0.5236233472824097,0.3939504623413086,0.0,0.16315233707427979,0.5617944598197937,0.610272228717804,0.9992106556892395,0.892504096031189,0.8733313679695129,1.0091941356658936,0.8836748600006104,0.8975964784622192,0.8446295261383057,1.3910315036773682,1.1750409603118896,1.2138491868972778,1.2226954698562622,0.8569613695144653,0.9380088448524475,0.9593108892440796,1.0101090669631958,1.026552677154541,1.035003423690796,0.7205636501312256,0.6768046021461487,0.9276829957962036,0.8220627903938293,0.875537097454071,0.9572651982307434,0.9582595825195312,1.2883943319320679,1.185875415802002,0.9586838483810425,1.0784567594528198,1.131986379623413,1.3555455207824707,1.2710680961608887,1.2349047660827637,1.1032748222351074,1.136735439300537,1.344307780265808,1.2729299068450928,1.337074875831604,1.3903144598007202,1.2781383991241455,1.3339581489562988,1.3183348178863525,1.1990084648132324,1.2259185314178467,0.9424923658370972,1.2665456533432007,0.9748704433441162,0.987660825252533,0.9993300437927246,1.0032578706741333,0.901925802230835,0.5851441025733948
