,frog,nose,face,hair,arm,hand,finger,toe,lamp,drawer,chair,table,couch,bed,crib,window,door,refrigerator,oven,sink,bathtub,shirt,bib,pajamas,pants,slipper,shoe,sock,glove,blanket,pillow,towel,napkin,doll,toy,tray,box,book,paper,basket,purse,comb,hat,glasses,scissors,fork,spoon,crayon,pencil,pen,knife,toothbrush,gum,balloon,ball,egg,orange,apple,banana,plant,bread,plate,bowl,bottle,cup,bucket,can
chair,1.3366849422454834,1.2917649745941162,1.1245288848876953,1.0278574228286743,0.9274389743804932,1.1415584087371826,1.2964069843292236,1.30586576461792,0.7925496101379395,0.7204089164733887,0.0,0.2828451991081238,0.3905490040779114,0.5284409523010254,0.34430915117263794,0.6351892948150635,0.5467478036880493,0.6539456844329834,0.7414129972457886,0.7503013610839844,0.6280841827392578,0.8640756011009216,0.9632814526557922,0.8616214394569397,0.8543707132339478,1.2688288688659668,1.1087491512298584,1.1920480728149414,1.233613133430481,0.6605525016784668,0.6287471055984497,0.8379861116409302,0.9423491954803467,0.9681938290596008,0.9158681035041809,0.7876710891723633,0.7203632593154907,0.8460246920585632,0.8760396242141724,0.7104395627975464,0.8520126938819885,0.9458977580070496,1.1462936401367188,1.2740328311920166,1.0566036701202393,1.108537197113037,1.1394990682601929,1.3423004150390625,1.2352845668792725,1.2581391334533691,1.1340489387512207,1.2434502840042114,1.4112476110458374,1.1995362043380737,1.2772246599197388,1.37599515914917,1.372877836227417,1.3793269395828247,1.3411533832550049,0.993316113948822,1.3208699226379395,1.0573241710662842,1.042974591255188,1.0724067687988281,1.0237791538238525,0.8463758826255798,0.7825154066085815
table,1.28513765335083,1.3521296977996826,1.0419319868087769,0.9360764026641846,0.7293608784675598,1.0715279579162598,1.3541022539138794,1.3992478847503662,0.9060892462730408,0.8367879390716553,0.2828451991081238,0.0,0.3905588388442993,0.4397585988044739,0.42482054233551025,0.6271646022796631,0.5996543765068054,0.5961021184921265,0.6294654607772827,0.5862956643104553,0.5191844701766968,0.6961616277694702,0.7935129404067993,0.7207686901092529,0.7691562175750732,1.434699535369873,1.1884987354278564,1.3269902467727661,1.2148480415344238,0.5563853979110718,0.8360095620155334,1.027366042137146,1.0868979692459106,0.9522228837013245,0.897099494934082,0.5852044224739075,0.7167894840240479,0.7845983505249023,0.7768920063972473,0.9204168319702148,1.0506945848464966,1.0107582807540894,1.2605528831481934,1.3297674655914307,1.0904016494750977,1.252062439918518,1.194974422454834,1.4614412784576416,1.3678656816482544,1.3702679872512817,1.1994682550430298,1.1835380792617798,1.3316459655761719,1.231515645980835,1.269706130027771,1.409381628036499,1.3270710706710815,1.3866899013519287,1.401411771774292,1.106185793876648,1.307469129562378,0.883653998374939,0.9262137413024902,1.1778137683868408,1.1030654907226562,0.8760883212089539,0.8534114360809326
couch,1.232635498046875,1.2580640316009521,0.9437956809997559,0.8711490631103516,0.6942682862281799,1.0505601167678833,1.2684733867645264,1.2767462730407715,1.0654393434524536,0.9123802185058594,0.3905490040779114,0.3905588388442993,0.0,0.20909500122070312,0.5009375810623169,0.6834942698478699,0.6475490927696228,0.6627070903778076,0.6644033193588257,0.8045470714569092,0.6202331185340881,0.5827217102050781,0.8228933215141296,0.6419838666915894,0.5896968245506287,1.312815546989441,1.1010501384735107,1.1611968278884888,1.1065518856048584,0.35446643829345703,0.4359598159790039,0.8730573654174805,1.0711231231689453,0.9805094599723816,0.9825601577758789,0.963375985622406,0.7806058526039124,0.8764002323150635,0.8387335538864136,0.962380051612854,0.932815432548523,1.0784282684326172,1.1600245237350464,1.2580058574676514,1.2769215106964111,1.4837485551834106,1.4718797206878662,1.449966311454773,1.4440953731536865,1.411069631576538,1.3419742584228516,1.3267512321472168,1.3889639377593994,1.2482867240905762,1.2835817337036133,1.4072582721710205,1.305462121963501,1.392560601234436,1.434952974319458,1.1398510932922363,1.4004440307617188,1.2740678787231445,1.2091127634048462,1.2706341743469238,1.2730093002319336,1.009214997291565,0.9621543288230896
bed,1.2687106132507324,1.3076026439666748,1.0142568349838257,0.9374881386756897,0.7241289615631104,1.1132200956344604,1.3267000913619995,1.3544484376907349,1.024288535118103,0.8912275433540344,0.5284409523010254,0.4397585988044739,0.20909500122070312,0.0,0.4255582094192505,0.6963921785354614,0.6886641383171082,0.6519827842712402,0.6927711963653564,0.7062921524047852,0.5123023986816406,0.6148791313171387,0.7395506501197815,0.5842171907424927,0.6794973611831665,1.344707727432251,1.1193530559539795,1.186668872833252,1.0883980989456177,0.12835484743118286,0.382407546043396,0.7250779271125793,0.9143426418304443,0.9625657796859741,1.0062652826309204,0.8907836675643921,0.7568218111991882,0.8378434181213379,0.760294497013092,0.9318873286247253,0.9985132813453674,0.9972636103630066,1.1673699617385864,1.2858330011367798,1.220454216003418,1.4105408191680908,1.435536503791809,1.4376763105392456,1.408773422241211,1.3721897602081299,1.3159723281860352,1.2838886976242065,1.3688851594924927,1.2430734634399414,1.2649116516113281,1.4180359840393066,1.343804955482483,1.427431344985962,1.4595379829406738,1.1930829286575317,1.4038522243499756,1.213057518005371,1.1670036315917969,1.3211042881011963,1.3172869682312012,1.024986743927002,1.0056490898132324
crib,1.2678327560424805,1.3365199565887451,1.0539666414260864,0.9776630997657776,0.8927870392799377,1.110195279121399,1.3616316318511963,1.3856182098388672,0.8445295691490173,0.8703404664993286,0.34430915117263794,0.42482054233551025,0.5009375810623169,0.4255582094192505,0.0,0.5898493528366089,0.575829029083252,0.6275250315666199,0.6834231019020081,0.7073138952255249,0.5446800589561462,0.817988932132721,0.8042747378349304,0.6997482180595398,0.9253912568092346,1.3966341018676758,1.1345596313476562,1.2998089790344238,1.1932487487792969,0.5482149124145508,0.8040342926979065,0.979399561882019,1.1485464572906494,0.7684534192085266,0.7377496957778931,0.7579672932624817,0.7261975407600403,0.8012601137161255,0.907817006111145,0.6176459789276123,0.9668588638305664,0.9217498302459717,1.239396095275879,1.3181910514831543,1.0658437013626099,1.272594928741455,1.3160845041275024,1.446719765663147,1.3555150032043457,1.3701050281524658,1.2879085540771484,1.2217029333114624,1.4165339469909668,1.2088147401809692,1.250572919845581,1.4227006435394287,1.3755834102630615,1.4049961566925049,1.41573166847229,1.0406949520111084,1.4012782573699951,1.103119134902954,1.0429426431655884,1.1962960958480835,1.1536948680877686,0.8876614570617676,0.9219556450843811
window,1.192948341369629,1.0936659574508667,0.9183943271636963,0.8721399307250977,0.8575477600097656,1.059552788734436,1.1871312856674194,1.2417948246002197,0.7153018712997437,0.8679582476615906,0.6351892948150635,0.6271646022796631,0.6834942698478699,0.6963921785354614,0.5898493528366089,0.0,0.3314875364303589,0.5937708020210266,0.7255293726921082,0.8707104921340942,0.7760962247848511,0.8224526643753052,0.9695996046066284,0.8438754677772522,0.8946876525878906,1.3605031967163086,1.1955798864364624,1.2415478229522705,1.2579249143600464,0.7937599420547485,0.957129180431366,1.0088213682174683,1.06537926197052,0.9817280173301697,1.0552444458007812,1.0092779397964478,0.9334747195243835,0.9320216178894043,0.8959325551986694,1.0109721422195435,1.1044082641601562,0.9378963708877563,1.1923210620880127,1.0893863439559937,1.1038281917572021,1.1705223321914673,1.2113434076309204,1.2810430526733398,1.19772207736969,1.1861234903335571,1.1357669830322266,1.2119643688201904,1.295507550239563,1.1498678922653198,1.189281940460205,1.2692477703094482,1.216435432434082,1.2648202180862427,1.2900524139404297,0.8709487915039062,1.2779567241668701,1.130251169204712,1.1515827178955078,1.1687427759170532,1.16387140750885,1.0562989711761475,0.9509568810462952
door,1.2243660688400269,1.1246256828308105,0.9532005786895752,0.9575213193893433,0.9268351197242737,1.0916500091552734,1.2006454467773438,1.2410725355148315,0.8253964185714722,0.6179956197738647,0.5467478036880493,0.5996543765068054,0.6475490927696228,0.6886641383171082,0.575829029083252,0.3314875364303589,0.0,0.4175668954849243,0.616534948348999,0.8029282689094543,0.6491096615791321,0.8705303072929382,1.0738705396652222,0.8751162886619568,0.838790774345398,1.326377511024475,1.1831332445144653,1.2644474506378174,1.3151499032974243,0.8722569346427917,0.9376633763313293,0.9598524570465088,1.060991883277893,1.0921515226364136,1.1074864864349365,0.9985455274581909,0.8367433547973633,1.0013453960418701,0.9356062412261963,0.9616972804069519,0.9814253449440002,0.9649198055267334,1.2556535005569458,1.1407634019851685,1.096564531326294,1.1633470058441162,1.1675878763198853,1.264332890510559,1.1784955263137817,1.1759430170059204,1.0800236463546753,1.1854169368743896,1.3000767230987549,1.1789839267730713,1.2323408126831055,1.2733893394470215,1.2484409809112549,1.2901527881622314,1.293843150138855,0.9922181963920593,1.2684863805770874,1.1650201082229614,1.1580042839050293,1.0806440114974976,1.204005241394043,1.0115190744400024,0.8154418468475342
refrigerator,1.3456658124923706,1.2724534273147583,1.0486345291137695,1.0012686252593994,0.8861849308013916,1.1595876216888428,1.3177967071533203,1.332757830619812,0.9350271224975586,0.7307233810424805,0.6539456844329834,0.5961021184921265,0.6627070903778076,0.6519827842712402,0.6275250315666199,0.5937708020210266,0.4175668954849243,0.0,0.16984522342681885,0.4775123596191406,0.48773670196533203,0.8526332378387451,0.933176577091217,0.8790690302848816,0.8310697078704834,1.3830293416976929,1.1863830089569092,1.244093894958496,1.2748366594314575,0.8042994737625122,0.9603281021118164,0.9938377141952515,1.047658085823059,1.0870903730392456,1.0666965246200562,0.7519216537475586,0.7248905897140503,0.9410605430603027,0.9068952202796936,0.9298819899559021,1.0224062204360962,0.9335293769836426,1.2673217058181763,1.272913932800293,1.0689877271652222,1.0873135328292847,1.0998399257659912,1.3350070714950562,1.2483106851577759,1.2149416208267212,1.1168135404586792,1.1715905666351318,1.4005532264709473,1.2463994026184082,1.31156325340271,1.3637193441390991,1.318604826927185,1.3528783321380615,1.311893105506897,1.072400450706482,1.289165735244751,1.0270189046859741,0.9134635329246521,1.0034863948822021,1.00099515914917,0.706176221370697,0.4847065210342407
oven,1.276437759399414,1.2809523344039917,1.0256860256195068,0.9925597310066223,0.8538128137588501,1.0805585384368896,1.2949873208999634,1.3278074264526367,1.0226619243621826,0.7018113732337952,0.7414129972457886,0.6294654607772827,0.6644033193588257,0.6927711963653564,0.6834231019020081,0.7255293726921082,0.616534948348999,0.16984522342681885,0.0,0.44459640979766846,0.5308505892753601,0.8619686961174011,0.8812369704246521,0.8630427718162537,0.8375203609466553,1.347071886062622,1.0905694961547852,1.1901905536651611,1.1267035007476807,0.7855590581893921,0.9293270707130432,0.9706858992576599,1.0455875396728516,1.022663950920105,1.0164058208465576,0.6433326005935669,0.6708685159683228,0.9231294989585876,0.8543825149536133,0.9083907604217529,1.0035886764526367,0.9662927389144897,1.235072374343872,1.2805590629577637,1.0903152227401733,1.1789828538894653,1.1648231744766235,1.445168137550354,1.3689937591552734,1.3185279369354248,1.1878550052642822,1.2117619514465332,1.3269445896148682,1.293351411819458,1.325088381767273,1.3955333232879639,1.2872259616851807,1.360181450843811,1.3432762622833252,1.1280529499053955,1.2086069583892822,0.9450989961624146,0.8552300333976746,1.1624712944030762,1.0510354042053223,0.7621059417724609,0.6038117408752441
sink,1.2914206981658936,1.3307380676269531,1.150938868522644,1.0756043195724487,0.9594466090202332,1.1403919458389282,1.3274650573730469,1.354845404624939,0.9333323240280151,0.8170203566551208,0.7503013610839844,0.5862956643104553,0.8045470714569092,0.7062921524047852,0.7073138952255249,0.8707104921340942,0.8029282689094543,0.4775123596191406,0.44459640979766846,0.0,0.20091211795806885,1.000523567199707,0.9199641942977905,1.0300947427749634,1.0396263599395752,1.2688192129135132,1.0325253009796143,1.2325835227966309,1.1634678840637207,0.801692008972168,0.9698448181152344,1.0122944116592407,0.9644321799278259,1.0707581043243408,0.9745039939880371,0.42253708839416504,0.6584099531173706,0.977168619632721,0.8511238694190979,0.8101875185966492,1.062718391418457,0.962698221206665,1.2084304094314575,1.319092869758606,0.9247557520866394,0.962090253829956,0.8717795014381409,1.4256525039672852,1.2914329767227173,1.2372589111328125,1.093727707862854,1.0535244941711426,1.1931099891662598,1.1563146114349365,1.2010787725448608,1.3218483924865723,1.299829363822937,1.3390836715698242,1.3355011940002441,1.1380012035369873,1.269693374633789,0.689340353012085,0.4151827096939087,1.0940306186676025,0.7731859087944031,0.47328221797943115,0.614456832408905
bathtub,1.3019042015075684,1.3391281366348267,1.09427809715271,1.0172789096832275,0.8429563641548157,1.098210334777832,1.2919504642486572,1.288834810256958,0.9809556603431702,0.7458676695823669,0.6280841827392578,0.5191844701766968,0.6202331185340881,0.5123023986816406,0.5446800589561462,0.7760962247848511,0.6491096615791321,0.48773670196533203,0.5308505892753601,0.20091211795806885,0.0,0.8960639238357544,0.891085684299469,0.8895955085754395,0.9005126357078552,1.3001315593719482,1.0681195259094238,1.2255200147628784,1.184215784072876,0.6601795554161072,0.8891559839248657,0.9449930787086487,1.0096967220306396,1.0183037519454956,0.9125303030014038,0.5816130042076111,0.552753210067749,0.9073862433433533,0.7966051697731018,0.8170385360717773,1.064515471458435,0.9847474694252014,1.2706210613250732,1.3583378791809082,1.09138023853302,1.2249068021774292,1.1975219249725342,1.4418232440948486,1.3526842594146729,1.3299875259399414,1.2180378437042236,1.1113085746765137,1.2458102703094482,1.2128896713256836,1.2513737678527832,1.377790927886963,1.3730411529541016,1.4071292877197266,1.4411203861236572,1.1737217903137207,1.405857801437378,0.9704443216323853,0.7438284158706665,1.148184895515442,0.9888268709182739,0.5693838000297546,0.7171602249145508
