,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window,zebra
couch,0.94863665,1.2580352,1.49121,0.6036074,1.3197117,1.2304889,1.2133665,0.9032972,0.6976548,0.29545093,1.2382066,0.24619591,0.7100401,1.3155333,0.38618457,0.8910587,1.0093664,1.373848,1.2350698,0.6752045,1.3587974,1.130328,1.2737106,1.1603718,1.0438274,1.0215648,1.1026512,0.810122,0.45418227,1.1978437,1.3197961,0.61729443,0.6809602,1.0463078,0.93829775,1.3390725,0.0,0.97221816,1.4899523,0.45913625,1.3512993,0.6989962,0.7720364,0.80997705,0.71640146,0.89421725,0.7622963,1.2415017,1.4445772,0.7205806,1.3439381,0.88613325,1.2679334,1.0048054,0.96712613,1.224581,1.4204388,1.298738,0.979473,0.859287,1.3638294,1.0114086,0.9864475,1.2755684,0.8553596,0.8708534,0.98927736,1.3115022,0.75603986,0.9475561,0.5233332,1.1326995,0.5471064,1.4546454,0.48612022,1.324042,0.87039405,0.93516886,1.1142715,1.152935,0.7062734,1.0832961,1.0573968,1.1902224,1.1436834,1.4408967,1.2637348,1.4007295,1.3717248,1.4376681,0.7163885,1.0204855,0.58567107,0.50540805,0.79393214,1.4760003,1.4912813,1.0787401,0.79674816,0.86858994,0.9026705,1.2005017,0.8615651,1.3814404,1.3285729,0.88717234,0.9581014,1.4432703,0.6127292,1.0206834,0.5601299,1.1251422,0.62732255,1.1239474,0.6765478,1.3587432,0.6634102,0.8697659,0.7222801,1.4246975,0.98001784,1.4616767,1.0584525,1.1408948,1.3448309,1.0744134,0.9114339,1.4226366,0.69903046,0.60916066,0.5641538,1.4351058,1.3940636,1.3098685,1.3768319,1.2535793,1.1380194,0.86278033,0.91242,0.9575391,1.4399838,0.83977914,0.84289706
cracker,0.7556801,1.0970076,1.2131791,0.9154917,1.2023892,1.1228287,0.80712783,0.933411,0.9545034,0.9409623,1.1080238,0.9792592,0.8736079,1.0386549,0.7782357,1.1231382,0.9779665,1.1988894,1.0910316,0.93525857,0.8181355,1.1364965,1.1550821,1.027844,1.0954258,1.0977945,0.9083706,0.78871757,1.1725637,0.7968095,1.1254096,1.0721105,0.9595086,1.1113029,0.7207572,0.80865157,0.97221816,0.0,1.1338642,0.9011973,1.207519,0.9295057,0.8319413,0.9589961,1.0594617,1.0822215,0.99142885,1.0514258,1.1851647,0.9984395,1.1004084,1.1291243,1.012679,0.8070228,0.9536048,1.0820653,0.97056484,0.95639324,0.940134,0.8446946,1.1942501,0.90306735,0.84871393,0.86429524,1.1471553,0.8711144,0.81062293,1.381309,1.0476899,0.8607025,1.0838815,1.048809,0.9725177,1.1030192,1.0640566,1.1200184,0.8200273,0.70628893,0.90644336,1.0594097,0.7689518,1.2077154,1.1451783,1.0760447,0.67959964,1.2411298,1.1187016,1.1568385,1.2324615,1.0927871,1.039887,0.809254,0.8589101,0.98131657,0.76208025,1.0884514,1.0796483,0.85630727,0.92908907,0.6279417,0.89086926,1.0030121,0.89960814,1.1142838,1.0285256,1.1137419,1.0385189,1.268993,0.97855926,0.9661799,0.8960507,0.9350029,0.9529594,1.0566821,0.94681084,1.1963509,1.0017207,1.0049183,1.1026285,1.1993295,0.8796242,1.1288413,1.0914267,0.994891,1.0096759,0.72832465,0.9462431,1.1163973,1.1103328,1.0501658,0.9573829,1.1665685,1.1472389,1.041084,1.0195234,1.1189443,1.0713655,0.830816,1.072345,1.1815671,1.1962246,1.0710143,0.86467487
crayon,1.2593114,0.713848,0.36564773,1.5034502,0.8295453,0.9533365,0.8807549,1.1575046,1.2056668,1.6014385,0.27701426,1.4829073,1.5769972,0.37824214,1.5712391,1.253072,0.92046237,0.21051556,0.6170049,1.4143088,0.6577225,0.5773511,0.5871909,0.8944733,0.78708434,0.9854921,0.645056,1.2819898,1.2121011,0.81587034,0.5667657,1.2868747,1.4610811,1.0385495,1.1994967,0.6490388,1.4899523,1.1338642,0.0,1.5726814,0.34254998,1.2992444,1.4577225,1.3869159,1.2059772,1.0279526,1.4507444,0.8761233,0.3952722,1.3969343,0.629322,1.3001746,0.7203066,1.1679149,0.9363898,0.54769707,0.59462273,0.76767325,1.2038397,1.4936833,0.34204972,1.0632526,1.0314044,0.85031515,1.3500184,1.2331961,1.2802033,0.46504706,1.3219668,1.2170938,1.5324633,1.06361,1.455722,0.340339,1.3712982,0.5867062,1.1598979,1.1334703,0.94793814,0.8040085,1.5950999,0.70484453,0.84688413,0.95209515,1.2026762,0.21273744,0.3565429,0.47355747,0.67788625,0.4500746,1.1994708,1.1189085,1.5915861,1.4763126,1.286402,0.09979415,0.094650626,0.89098394,0.663387,1.2700679,1.1637723,0.80441654,1.2543555,0.56239146,0.7430706,1.102976,0.98541933,0.48944008,1.3868499,0.98612005,1.4252446,0.91756266,1.5391188,0.93988824,1.2246072,0.40820968,1.4259841,0.94355345,1.3956864,0.17706048,1.1248647,0.41023254,1.1342086,0.77516013,0.64491117,1.1409351,1.1406708,0.41338116,1.3075997,1.5260553,1.5954258,0.5762955,0.53809106,0.35871422,0.43713802,0.37961024,1.0546743,1.4211366,1.2413712,0.8230734,0.18648708,1.1594297,1.3354005
crib,0.783808,1.3672674,1.5460715,0.60844934,1.2910905,1.2169743,1.2236104,0.7922386,0.86998665,0.13497055,1.4618713,0.43189782,0.50325316,1.4198225,0.43421423,0.6003326,0.80498147,1.4998267,1.292114,0.4379123,1.4128792,1.2473265,1.2990685,1.1686779,1.3066969,0.9217942,1.3424653,0.85062075,0.7718669,1.1736786,1.3318353,0.64478993,0.53042203,1.0775619,0.89978427,1.3952916,0.45913625,0.9011973,1.5726814,0.0,1.4618477,0.7906307,0.7465606,0.54875636,0.74507475,0.8786474,0.6212781,1.4135526,1.598107,0.6655824,1.4227031,0.8094295,1.4635019,0.9094429,0.96596515,1.4774847,1.4525687,1.2008022,0.6681887,0.53854454,1.463789,1.229425,0.99819106,1.153285,0.7883153,0.85056275,0.9963422,1.4391475,0.70072764,0.7839886,0.53800046,1.0710039,0.634827,1.4953568,0.52501214,1.4050199,0.97493,1.0294627,1.0423911,1.1126157,0.6374909,1.2440486,0.9801202,1.2182069,0.99487954,1.5119934,1.5664394,1.6078908,1.4527311,1.4348989,0.78879786,0.97733355,0.39890647,0.74514616,0.6322483,1.5574578,1.5661778,1.1236234,1.2488183,0.7070186,0.8822534,1.1963784,0.85841584,1.5373404,1.3260651,0.96700794,0.8951129,1.5158452,0.57168525,1.1184129,0.73221767,0.9851185,0.5973035,1.2399346,1.002712,1.5839309,0.5559271,1.0700216,0.5858067,1.6405597,0.75974715,1.4948218,1.228388,1.2824641,1.4209152,1.1318345,0.9140494,1.4258726,0.6351341,0.583901,0.3014667,1.3705465,1.6264671,1.4627789,1.3436785,1.5120602,0.7829399,0.6301546,0.77640635,1.0755169,1.6204422,0.76952696,0.6644316
cup,1.2903283,0.9303412,0.46585834,1.5535076,0.80684286,0.8269592,0.97356164,0.8310761,1.1192743,1.5259196,0.49127877,1.3126594,1.4734144,0.6432104,1.5157381,1.1978958,0.86386615,0.13283378,0.256289,1.1166823,0.67562747,0.6904572,0.24091291,0.95966303,0.61788327,0.8748566,0.86687285,1.398629,1.008399,0.8582257,0.5566373,1.1601846,1.3728186,0.8413615,1.1774014,0.7946327,1.3512993,1.207519,0.34254998,1.4618477,0.0,1.3861322,1.4458995,1.2723536,1.0926411,0.9181448,1.2911862,1.0361624,0.59050065,1.4186145,0.814118,1.3046727,0.994961,1.151501,0.97270167,0.7402139,0.66962296,0.94438785,1.1946542,1.2446232,0.53389996,1.0938994,1.0835559,0.90984166,1.3228195,1.1865137,1.3395638,0.49342644,1.3263068,1.2705638,1.4916301,0.66075075,1.5251789,0.57990897,1.3340704,0.5956742,1.2492969,1.1410792,1.1012639,0.6173482,1.529286,0.80812156,0.8379689,1.0564613,1.0555662,0.42643225,0.36138356,0.58866525,0.87839067,0.49250877,0.9156447,1.1032126,1.5354605,1.4870281,1.1845591,0.43213814,0.44345737,1.1274241,0.7311196,1.2100397,1.0620462,0.6498199,1.3073745,0.7603801,0.7385233,0.86348045,0.7037593,0.70006955,1.1581736,0.8553635,1.3456533,1.0322593,1.4969913,0.9142478,1.1929014,0.48452652,1.3182403,0.754298,1.2565539,0.42394817,1.2270079,0.28793854,1.0590402,0.8437068,0.59866804,1.0940979,1.1720519,0.6492625,1.2277585,1.3386706,1.4310683,0.47862506,0.7560641,0.4782741,0.539961,0.37080836,0.8865924,1.2221041,1.2029831,0.8112593,0.36793572,1.0824893,1.3755543
deer,0.95261866,0.93223345,1.254225,0.70387346,1.1724508,1.203619,1.1967233,1.2342862,1.0204902,0.7272617,1.106231,0.7251698,0.8894949,1.1092081,0.82287383,0.9549417,1.2495248,1.31721,1.3695085,1.0210097,1.196445,1.1194685,1.297807,1.1346568,1.076899,1.0933169,0.9723488,0.6369359,0.92498547,1.1568244,1.3479749,0.88963395,0.82355034,1.1856055,1.0662669,1.029173,0.6989962,0.9295057,1.2992444,0.7906307,1.3861322,0.0,0.6837028,1.0469817,0.9280072,1.1789699,0.99778646,0.9752971,1.134937,0.70697224,1.1806036,0.747663,0.99163306,0.8345442,1.1375055,0.9638385,1.195043,1.2206126,1.0990123,0.90876275,1.1230478,1.0107597,1.0530287,1.1409647,0.6990936,0.9096668,0.8815504,1.1802022,0.7446685,1.0624987,0.64152926,1.1662536,0.63941026,1.3125094,0.7944506,1.2997439,0.9961592,0.8346566,0.89414704,1.2770909,0.7965752,1.0806944,1.0480181,1.0224816,1.0512177,1.2156734,1.2513431,1.1566026,1.0203384,1.2913487,1.0809164,1.0267102,0.7853656,0.54680794,1.0349044,1.3065431,1.3058732,0.8548672,1.0477726,1.0158428,0.9873672,1.3599756,0.6798877,1.0815811,1.1881945,1.0716519,1.1617529,1.1677849,0.8781993,1.0270817,0.7817996,1.1735227,0.6028283,1.1614625,0.87399423,1.1070251,0.8172957,1.1436225,0.866217,1.205097,0.83940554,1.3573146,1.1029301,1.1212388,1.1906033,0.8752586,0.88323134,1.2476711,0.6607467,0.7965379,0.81393117,1.418827,1.0407821,1.1874411,1.260381,1.2470851,1.3098975,1.1146222,0.9853184,1.1472087,1.1881545,0.9667002,0.8141457
dog,0.5199403,1.1444445,1.3273203,0.70863426,1.1064975,1.1210225,1.1015761,1.0696238,1.0452203,0.69173384,1.3724124,0.7382992,0.5890581,1.1289037,0.65278417,0.98694646,1.171953,1.4288197,1.360412,0.9159893,1.1927143,1.3408046,1.3782574,1.0096229,1.2705185,0.9817793,1.2280996,0.30905497,1.0807647,1.1687368,1.3554552,0.98590475,0.8186979,1.1832427,0.8754126,1.1670843,0.7720364,0.8319413,1.4577225,0.7465606,1.4458995,0.6837028,0.0,0.6353041,1.0494965,1.142707,0.73985445,1.1114426,1.3005731,0.7649262,1.1761019,0.7762373,1.1746991,0.5844561,0.97677165,1.1839199,1.2819407,0.9256375,0.9456233,0.76799107,1.2610066,0.8707862,0.9394611,1.1299112,0.7449181,0.95982325,0.8556027,1.1841139,0.73472536,0.96441925,0.767594,1.1126704,0.74682665,1.3279114,0.82974476,1.3204994,0.96683645,0.97393966,0.9595625,1.2550595,0.53838044,1.2594931,0.99882746,1.0944903,0.8379092,1.3092368,1.3340756,1.2896916,1.0907187,1.312686,1.0129061,0.71007395,0.6677537,0.7765887,0.969303,1.4208212,1.440179,1.0436597,1.1503663,0.7839879,0.83462703,1.3055334,0.5043721,1.2513855,1.1248192,1.0210373,1.0156815,1.2198323,0.96764195,0.836759,0.8212739,1.100187,0.7017091,0.9481228,1.0498937,1.2399263,0.8480392,1.2517928,0.883677,1.3803121,0.827018,1.3596864,0.98969805,1.2107586,1.2817111,0.97086716,0.99671876,1.1982611,0.77354956,0.8070984,0.73897016,1.347378,1.2156101,1.2505834,1.2915606,1.3306191,1.0173029,0.9020313,0.89679396,1.213406,1.3519517,1.0518347,0.60754824
doll,0.6714677,1.1306558,1.2730958,0.71493816,1.0311224,1.0318378,0.9905913,0.8860344,1.1339853,0.5974113,1.4120045,0.85939324,0.36062372,1.3166838,0.61828995,0.9505905,0.7678486,1.354959,1.1994487,0.70127153,1.1849011,1.3280925,1.1882463,1.0629764,1.2307487,0.9432746,1.1845627,0.9787394,1.1036261,1.1334046,1.2504663,1.0110822,0.9031014,1.0465463,1.0279429,1.2232311,0.80997705,0.9589961,1.3869159,0.54875636,1.2723536,1.0469817,0.6353041,0.0,1.1378531,1.0674686,0.63653183,1.1872095,1.2674211,0.98929733,1.2312376,0.80776966,1.1593428,0.9583225,0.9811751,1.1926156,1.1854577,0.86670494,0.575806,0.7344568,1.2662303,0.82032704,1.1544704,0.90858346,0.7667482,0.8709966,0.7951189,1.0756322,0.9473596,1.0085821,0.7934992,0.94300354,0.927945,1.2791533,0.9922223,1.2817949,1.0274228,1.0599617,1.002732,1.096275,0.5210782,1.2164612,0.9374104,1.1063569,0.95362985,1.336689,1.3116953,1.2630967,1.172541,1.2338805,0.97113526,0.8252853,0.48286217,1.0164665,0.84862316,1.3635178,1.3553046,1.1645421,1.0598034,0.7073276,0.9745692,1.0972232,0.9042195,1.2456154,1.0799057,0.9450381,0.8263302,1.2651923,1.0522501,1.0038356,0.93359303,0.9158579,0.8399991,0.9102266,0.93875635,1.2972131,0.9424592,1.2903265,0.8146266,1.3706005,0.9177572,1.2686136,0.88881314,1.2393528,1.1485927,1.1548994,0.8151556,1.1614221,0.86328566,0.7455761,0.6709033,1.1114644,1.2160991,1.314965,1.1510924,1.3067834,0.50259805,0.79802334,0.98004264,1.1781853,1.4034874,1.0192546,0.7547991
door,1.0859065,1.354299,1.2975743,0.99614,1.2643788,1.1369165,1.3383317,0.9099333,0.7412507,0.814259,1.0306052,0.77030957,1.0999631,1.1748947,0.95930743,0.8408482,1.1321635,0.98999345,1.173183,0.8462301,1.3630792,0.5335919,0.945589,1.0609252,0.9011871,0.9270234,1.2247467,0.8336341,0.482162,1.1573539,0.8614767,0.1789403,0.7559211,1.0845133,0.75877756,1.325501,0.71640146,1.0594617,1.2059772,0.74507475,1.0926411,0.9280072,1.0494965,1.1378531,0.0,0.589532,0.9261855,1.1849697,1.344439,0.7960734,1.2282383,1.0329957,1.2991726,1.0909758,0.99513006,1.1828277,1.1940657,1.2239164,1.125247,1.0050358,1.240174,1.3424613,0.8562054,1.3071396,0.9258426,1.0492494,1.1466367,1.2163532,0.92167526,0.86100817,0.8652149,0.97852325,0.9254731,1.0407188,0.5756748,0.8754235,0.9571983,1.2588195,1.287197,0.8129628,1.2258081,0.78800046,0.9994712,1.2085487,1.0335628,1.2313986,1.0122511,1.1319551,1.3071373,1.2722392,0.45587194,1.0577683,0.9773926,0.837778,0.97292554,1.2311901,1.210693,1.3265381,1.0936865,1.0421833,0.75576884,1.1139529,1.1076533,1.2677221,1.3041065,0.9628519,0.95478207,1.2793367,0.18160522,0.9989447,0.8397137,1.1153874,0.8730925,1.220432,0.99635303,1.1311574,0.41126704,0.7086206,0.9120272,1.2703931,1.0644982,1.0718995,1.0879674,0.89037526,1.2172515,0.94180715,1.1250093,1.307204,0.881848,0.9269771,0.90681237,1.2720408,1.3496811,1.147522,1.0739541,0.9468664,1.2026839,0.8924103,0.8435612,0.7865916,1.22216,0.5290941,1.0601946
drawer,0.9726935,1.1569,1.1847447,1.2432351,1.0940149,1.0134616,1.0444491,0.74644035,0.7834052,0.98066485,0.91463506,0.7305229,1.1801414,1.0539901,1.0851791,0.9320928,0.76644766,0.9785592,0.8619331,0.60245925,1.0411712,0.64061415,0.7393392,0.92341316,0.8289722,0.9164415,1.0983725,1.1910546,0.7166613,0.8619621,0.78730065,0.79129213,0.87766725,0.8296105,0.8445947,1.1124005,0.89421725,1.0822215,1.0279526,0.8786474,0.9181448,1.1789699,1.142707,1.0674686,0.589532,0.0,1.0868642,1.1092666,1.2194015,1.1887827,1.0548493,1.1769836,1.1079086,1.0382525,1.020853,1.074379,0.9629159,0.8989983,1.0880859,1.0936021,1.1371363,1.1756184,1.099246,1.081422,1.1820003,1.1097716,1.1272109,1.0637485,1.2354803,0.93460965,1.1655554,0.8836519,1.1682599,0.79550767,0.8574527,0.8814484,1.0714216,1.125646,1.1675881,0.77455044,1.1978947,0.9496634,0.9825613,1.0930051,1.0699888,1.1580524,0.99212754,1.0213677,1.0987799,1.1724327,0.57472086,1.0967549,1.1897591,1.1639352,0.8051196,0.94843316,0.94704455,1.1838422,0.9167766,1.0281512,0.8607988,0.7900198,1.1336932,1.1763752,1.0962126,0.82557815,0.6708772,1.075064,0.55207735,1.0385643,1.1412045,0.79015553,1.2520916,0.97825533,1.0356383,1.0847323,0.80645335,0.57339203,0.9506879,1.0824319,1.1180364,0.91481215,1.0181332,0.7798824,0.9769666,0.972257,1.1023725,1.2069076,0.9754381,1.2007718,0.9758449,0.8987204,1.1427971,1.1061522,1.0609218,0.98913604,0.9461026,0.7419174,1.0517337,0.7746521,1.1248943,0.91360146,1.122735
dress,0.7647587,1.252568,1.3984957,0.69703513,1.2593725,1.2295928,1.0634083,0.90725374,1.0468307,0.5943417,1.3827881,0.7771181,0.3736723,1.3485782,0.48714066,0.86275065,0.9779045,1.3204769,1.2427655,0.857218,1.2704096,1.2395449,1.2112157,1.0999576,1.1897438,1.0253657,1.325422,0.89839303,0.9706832,1.1411605,1.3142602,0.8754377,0.6369142,1.1436257,0.9905172,1.2811481,0.7622963,0.99142885,1.4507444,0.6212781,1.2911862,0.99778646,0.73985445,0.63653183,0.9261855,1.0868642,0.0,1.2238063,1.4288716,0.69000554,1.2859447,0.8903009,1.2860359,0.9088206,0.9265985,1.2680275,1.2820547,1.1326476,0.71514237,0.81299806,1.35018,1.0061424,1.0116838,1.2409587,0.77445483,0.9270249,0.96742547,1.2639883,0.6698073,0.9797853,0.54324514,0.984855,0.7402984,1.3013301,0.8068181,1.290592,0.8506179,1.100462,1.1390169,1.0984122,0.68696547,1.0967804,1.1283867,1.065884,1.0320494,1.3773679,1.2079258,1.1476786,1.242165,1.35147,0.75599796,0.9009228,0.26461053,0.72568893,0.82776225,1.4322034,1.4519922,1.2037418,1.0980263,0.7719915,0.93392956,1.2094172,0.9450738,1.3409837,1.1691324,0.874179,1.034941,1.3256088,0.8206017,0.8660324,0.6454822,1.10587,0.5744319,1.057545,0.805483,1.268859,0.8320317,1.1834576,0.84121215,1.4106205,0.89710104,1.3245329,0.8669628,1.2558898,1.2696015,1.1635796,0.91181153,1.2850307,0.9159533,0.56299907,0.68441546,1.3000002,1.3505636,1.3480724,1.2228212,1.1564643,0.963554,0.8573032,0.8640933,1.0983123,1.3781495,0.94041127,0.8013
ear,1.2446741,0.34525502,0.74493474,1.0680732,0.9782764,0.9263218,0.93705904,1.3499179,1.0881726,1.4056039,0.9633241,1.2745562,1.1802092,0.9689361,1.3015602,1.2217067,1.2834367,1.0144385,1.1503487,1.3183126,0.8970456,0.9154802,1.0976624,1.08614,0.9139084,1.2427084,0.60042536,1.069991,1.1367985,1.0915701,1.0708888,1.2155806,1.2942262,0.93599796,1.1917802,0.7068238,1.2415017,1.0514258,0.8761233,1.4135526,1.0361624,0.9752971,1.1114426,1.1872095,1.1849697,1.1092666,1.2238063,0.0,0.47751284,1.1027609,0.7385276,0.9275176,0.25391817,1.1370058,1.1909776,0.6899969,0.83906907,1.0696646,1.1006143,1.1687887,0.6631991,0.7483817,1.1075927,0.8808445,0.9893592,1.0843732,0.62730867,0.85633624,1.1939188,1.0773321,1.2207536,1.1844232,1.098588,0.9098422,1.1813236,0.9861368,0.8577887,0.7829844,0.76116794,1.1436816,0.99650145,0.96553415,1.1340429,0.4609357,1.1091096,0.75036377,0.92842215,0.6745133,0.4103222,0.9191462,1.2457371,1.0857311,1.2278317,0.98656213,1.2557673,0.8808003,0.86629677,0.7294562,0.9565997,1.245469,1.1863499,1.0810668,1.0458496,0.37056625,0.82644933,1.2147194,1.2452221,0.57198954,1.2541473,1.2610806,1.1327968,1.2054892,1.1822673,0.9698115,0.9172294,0.71375054,1.1684285,1.1222745,1.1335931,0.67591256,1.1393443,0.9867275,0.7981153,0.91111624,0.89967626,0.90949494,0.87159765,0.80256766,1.2370119,1.2544332,1.3274186,0.976652,0.2815832,0.8530701,0.97257364,0.95767957,1.2110904,1.209893,1.1737365,1.0701766,0.7094554,1.1965005,1.1320285
egg,1.3961899,0.4103437,0.21261823,1.2716527,0.58366716,0.65955126,0.89680827,1.3170483,1.1975102,1.5747831,0.57803214,1.5172837,1.384465,0.60051745,1.5061961,1.3000364,1.1963524,0.5181006,0.81365585,1.4681702,0.59719294,0.8398243,0.7963412,1.1136745,0.8125181,1.1466448,0.519953,1.1830956,1.2981524,0.9451507,0.7116218,1.3837552,1.5399626,0.9227833,1.3300371,0.4447108,1.4445772,1.1851647,0.3952722,1.598107,0.59050065,1.134937,1.3005731,1.2674211,1.344439,1.2194015,1.4288716,0.47751284,0.0,1.3381393,0.5047112,1.1149076,0.4430533,1.206715,1.1817417,0.50100523,0.743539,0.99267614,1.2138159,1.3866775,0.4059137,0.91586816,1.1271784,0.76957905,1.1810117,1.1547964,1.0324136,0.48176003,1.3001506,1.3055408,1.4518359,1.116649,1.3709165,0.7110324,1.4521446,0.67756265,1.0808687,0.97647446,0.64963335,1.0103453,1.3350898,0.89899427,1.0336456,0.726475,1.0063258,0.25195706,0.5474986,0.49065816,0.366019,0.3718022,1.3353102,1.1097487,1.4524598,1.2678609,1.3638318,0.5076965,0.505919,0.675315,0.7477269,1.3452482,1.3196454,0.886804,1.2015582,0.102344155,0.5804207,1.2065005,1.1313167,0.31872654,1.500958,1.2013958,1.4479048,1.2465154,1.4125509,0.99692065,0.9990685,0.4541198,1.416604,1.089764,1.3361862,0.31126857,1.122265,0.47234523,0.9567723,0.7842255,0.7553482,1.024087,1.1145716,0.5037024,1.3599777,1.4060688,1.5457553,0.60415584,0.18870938,0.50265706,0.78375983,0.5847266,1.0809278,1.3656499,1.2931476,1.1157129,0.3426389,1.2771084,1.2972999
elephant,1.047141,1.1967722,1.3982626,0.63287425,1.3243172,1.2661749,1.2912374,1.1144472,0.9062998,0.5731565,1.2694392,0.81480765,0.64575297,1.2102982,0.6302595,0.7001759,1.275847,1.3391995,1.3659341,1.054376,1.4456024,1.16202,1.3765726,1.1666963,1.2223661,0.9887271,1.3259903,0.62415165,0.8593427,1.2934763,1.2571992,0.81594944,0.5270286,1.2401607,0.90863955,1.3255744,0.7205806,0.9984395,1.3969343,0.6655824,1.4186145,0.70697224,0.7649262,0.98929733,0.7960734,1.1887827,0.69000554,1.1027609,1.3381393,0.0,1.3047826,0.8138397,1.1847341,1.0359753,1.0084695,1.2378688,1.2313313,1.3570316,0.91992474,0.77185935,1.2395059,1.0967606,0.8947422,1.3688595,0.69501466,0.94574,0.95748705,1.309541,0.24335921,0.9093383,0.3999188,1.1540339,0.50209063,1.2935698,0.7073367,1.1755759,0.8737563,1.1491013,1.0794739,1.1473141,0.7984065,1.0881087,1.118226,1.0443038,1.0390112,1.2832253,1.2870226,1.1940514,1.2389917,1.4239028,0.95395684,1.0602258,0.49402285,0.5469461,0.9831542,1.3688111,1.369935,1.0835369,1.2433255,1.0028493,0.9509197,1.3745046,0.9648566,1.2369052,1.338804,1.049131,1.2639546,1.3221769,0.7834501,1.0732169,0.63077414,1.2195866,0.36345518,1.1418912,0.8131193,1.318331,0.67973393,1.1244699,0.730046,1.3650302,0.74535733,1.4041132,0.9447523,1.1779431,1.3107023,1.0689757,1.0282011,1.342174,0.86172295,0.46871525,0.6715722,1.454527,1.2899232,1.2770319,1.2872186,1.2364454,1.2844712,0.9612797,0.75517964,1.1296026,1.3210667,0.7813443,0.8382201
eye,1.1507754,0.65358627,0.5739027,1.2359701,0.54878044,0.7927886,0.94636405,1.1581208,1.2013997,1.4211385,0.7492668,1.3183745,1.283024,0.6254091,1.342046,1.2281678,1.1776172,0.737382,0.92801607,1.2969851,0.75450796,0.9919957,0.83571887,0.9417358,1.0016431,1.1130888,0.7334324,1.0684378,1.2920233,0.9686998,0.70132154,1.2650044,1.3302346,0.6794518,1.0721836,0.5647401,1.3439381,1.1004084,0.629322,1.4227031,0.814118,1.1806036,1.1761019,1.2312376,1.2282383,1.0548493,1.2859447,0.7385276,0.5047112,1.3047826,0.0,1.0937978,0.742478,1.0851554,1.0557027,0.8375324,0.9486335,0.7312181,1.1720318,1.2711151,0.6186037,1.0617089,0.97770995,0.64861614,1.1565862,1.1573204,1.1118938,0.73340344,1.270802,1.0607402,1.3623033,1.1220865,1.2587885,0.8007178,1.3095291,0.72752047,1.036797,1.0716575,0.6490767,1.0572348,1.2535385,0.9720046,0.89242023,0.8413962,0.92657983,0.45824993,0.8059815,0.75072074,0.39348996,0.6293809,1.239782,0.88859826,1.3726386,1.2572218,1.2813528,0.7078632,0.7350799,0.86979055,0.98735744,1.2122164,1.2101114,0.9083755,1.1105918,0.47799712,0.7265422,1.1222653,1.0353502,0.26947105,1.3433781,1.1221244,1.3385853,1.0898343,1.325464,0.8752066,1.1611273,0.75989586,1.2793947,1.1332872,1.2744553,0.5450801,1.0690249,0.67954755,1.0449802,0.94258875,0.9523728,0.8632938,1.1992941,0.6576087,1.2501497,1.3595084,1.3911655,0.5257779,0.60996675,0.75768065,0.9470768,0.80671096,0.9468347,1.2755604,1.1784643,1.0851363,0.53663546,1.1720947,1.2062049
