class_name,cdi_category,umap_x,umap_y,exemplar_count
horse,animals,3.71112,7.124784,222
hose,outside,2.8730545,5.3668156,204
jacket,clothing,5.7352715,7.0146823,249
jar,household,1.384054,4.3990803,212
jeans,clothing,5.7887373,7.38962,257
knife,household,1.7496332,5.5235662,264
ladder,outside,4.207692,4.7398715,259
lamp,household,1.218512,5.746169,266
leg,body_parts,5.218022,7.554104,117
meat,food_drink,-0.54862964,4.621091,154
melon,food_drink,-0.44348964,5.622059,232
milk,food_drink,1.4732187,4.3413234,185
mitten,clothing,2.3138878,7.270379,264
mop,household,3.47933,5.3513904,49
motorcycle,vehicles,3.613651,5.214299,216
mouth,body_parts,0.44770503,7.3143215,150
muffin,food_drink,-0.95325434,5.181194,209
nail,household,0.27899402,6.764199,263
napkin,household,1.9434959,5.961938,266
necklace,clothing,0.7081644,6.9946227,261
nose,body_parts,0.5047203,7.3474207,211
orange,food_drink,-0.70712596,6.4128017,254
oven,furniture_rooms,4.38541,4.9515495,260
owl,animals,4.1513476,6.7141895,221
pajamas,clothing,5.888014,7.5297523,262
pants,clothing,5.7636986,7.515419,256
paper,household,2.4000754,4.317211,265
pasta,food_drink,-1.0920808,4.7893386,11
pastry,food_drink,-1.0563698,4.974536,54
pen,toys,0.9100307,6.2776704,265
pencil,toys,1.0486848,6.1748333,265
penguin,animals,3.1447415,6.6382575,89
pickle,food_drink,-0.35257107,5.650787,204
pig,animals,3.585337,7.256847,107
pillow,household,2.0836363,6.323834,266
pizza,food_drink,-0.66699785,4.7536764,225
plant,household,2.6842535,6.3255825,263
plate,household,0.6229348,4.6827297,266
pony,animals,3.472095,7.343521,175
potato,food_drink,-0.96527874,6.4825587,62
pumpkin,food_drink,-0.71731436,6.172039,238
purse,household,2.1052132,5.1851206,266
radio,household,1.7146834,4.6855597,251
raisin,food_drink,0.14918917,6.69974,111
refrigerator,furniture_rooms,4.4819636,4.969294,264
rock,outside,4.8254795,6.731245,108
rooster,animals,3.1630862,6.7602773,247
sandwich,food_drink,-0.8411683,4.529152,81
sauce,food_drink,0.27563038,4.5102344,84
scarf,clothing,5.8983884,7.2316494,202
scissors,household,2.5460489,5.2069597,265
shirt,clothing,6.1741037,7.37655,266
shoe,clothing,1.9053218,7.372947,262
shorts,clothing,5.883046,7.6853642,232
shovel,outside,2.0502594,5.431119,248
shower,furniture_rooms,4.7982635,4.7968793,185
sink,furniture_rooms,1.9725865,4.10766,266
slide,outside,3.4695098,4.777092,245
slipper,clothing,0.86531895,6.7972417,266
snow,outside,4.8146462,6.581706,183
soap,household,0.7939624,5.573079,213
sock,clothing,1.7314417,7.5567675,250
soup,food_drink,0.17118466,4.505982,171
spoon,household,1.4961829,5.3550797,257
sprinkler,outside,2.7336147,5.4297748,216
stick,outside,1.9715644,5.456395,79
strawberry,food_drink,-0.29199576,6.5259743,201
stroller,vehicles,3.6868,5.0512915,243
sweater,clothing,6.1887813,7.1496115,255
swing,outside,3.5123234,4.9606185,55
table,furniture_rooms,4.014955,4.217114,266
tape,household,0.9157562,4.844495,264
toast,food_drink,-0.78105134,4.6420503,9
toe,body_parts,1.2621195,7.492199,264
tooth,body_parts,0.47593847,7.1883726,244
toothbrush,household,2.2957513,5.5298214,263
towel,household,2.06572,6.0468597,266
toy,toys,2.6328876,5.1496906,266
tray,household,2.6347873,4.325848,264
tree,outside,3.9547465,6.0082846,186
tricycle,vehicles,3.3331046,5.027174,53
truck,vehicles,3.6112206,5.7171474,147
vacuum,household,3.9196754,5.1887655,265
watch,household,0.7015104,6.731815,264
window,furniture_rooms,4.711686,4.95981,264
zebra,animals,3.9502351,6.9949594,49
