,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,milk,mitten,mouth,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pillow,plant,plate,pony,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,sink,slide,slipper,soap,sock,soup,spoon,sweater,table,tape,toe,toothbrush,towel,toy,tray,vacuum,watch,window
bench,1.0771619,1.3093505,1.4157157,0.705598,1.3736327,1.1217427,1.0245384,0.8131136,0.5237476,0.49354178,0.0,0.8040587,1.0062362,0.69334066,0.82294583,1.4358091,1.0807942,0.76726353,1.2727351,0.8313813,1.0614423,1.3013048,0.8968028,0.53882337,1.4582577,0.7679837,0.5037581,1.0116341,1.4480212,0.50819266,1.4180722,0.89014345,1.1199486,0.7070291,0.7959964,1.2174215,0.9406154,1.3002539,1.0981687,1.0831723,1.2374989,0.9647849,1.2960641,0.9902535,1.3976296,1.131945,0.9880054,0.97839713,0.9997912,0.9792238,1.3239713,1.2079147,0.92986405,1.4097171,0.91500235,0.770015,0.42106372,1.1927627,0.99138486,0.9046736,0.87398195,1.1631249,1.4408312,1.0363295,1.4197625,1.2432177,0.61469895,1.154126,0.71599984,0.78490794,0.86779636,1.3529773,1.4098539,0.94968593,1.0896534,1.107854,1.0956894,1.3535242,0.66222274,0.8413375,0.55467814,1.3221145,0.9958925,0.8176116,0.7584958,0.805376,0.8141241,0.78347266,1.4091564,1.2557878,1.1414094,0.94682646,1.365751,0.74264836,0.47710752,1.1644975,1.4511071,1.0162027,0.8476198,1.1294503,0.5486628,0.9704149,1.3622736,0.7902659
bib,1.0948966,1.1104876,1.1449888,0.6515393,1.2489963,0.9908524,0.8932781,0.882794,0.6025135,0.4600016,0.8040587,0.0,1.0089825,0.5489632,0.5871269,1.4887159,1.0971029,0.93242896,1.2418375,0.9682554,1.3327274,1.2095377,0.9457492,1.1592126,1.3470987,0.8476328,0.61594,0.9660721,1.4189177,0.8131544,1.4664161,0.9089316,0.8868192,0.97570586,1.1196158,1.1622648,0.98249435,1.0276951,0.9420329,1.1740655,1.1493411,1.1914467,1.2052758,0.963149,1.2566454,0.9828174,0.8222233,0.8382441,0.88433045,0.82272863,1.2998047,1.1927253,0.9035592,1.3858314,0.9050975,0.7770474,0.77235186,1.3452295,0.8252051,1.0563143,0.7401184,0.9670286,1.2015774,0.95287126,1.3249733,1.0886648,0.99342453,1.2975425,0.5909655,0.7979667,0.88558424,1.2558496,1.2996488,1.0371021,1.2187358,1.2315178,0.913554,1.2436074,0.70032686,1.1805215,0.9568601,1.2742538,0.9962011,0.67047495,0.7476107,0.72315884,0.9845353,0.5969465,1.2748345,1.3656176,1.1669394,1.0014502,1.3635863,0.5535011,0.6891943,1.274962,1.2784507,1.1550041,0.82158244,1.0144799,0.91288793,1.2531474,1.3078167,0.9746467
bird,0.70304805,1.0793209,1.0228868,1.055532,1.0570762,1.1396523,0.8508812,0.80352116,1.1982888,1.099931,1.0062362,1.0089825,0.0,1.1012833,0.9473128,1.0555748,1.1938299,0.90312904,1.020268,1.1200483,1.0117363,0.9890862,0.9071863,0.98736066,1.0378269,1.0720146,1.1435908,1.0916457,0.9229003,0.94632864,1.1044202,0.8621214,0.92910004,1.1165192,0.84759766,1.0087984,0.85521305,1.0324649,0.9475673,1.0295603,0.9235487,1.0234544,0.64571047,1.038076,1.0233253,0.886074,0.92365694,1.0921326,1.172454,1.0823054,1.0077488,0.96643436,0.8239931,1.0566972,1.023607,0.91382927,1.0753727,0.90643805,1.1014318,1.0329106,0.93234813,0.98557365,1.0803875,0.96049994,0.8751589,1.0837897,1.1835766,1.0458981,1.1102763,1.0062516,1.1447958,0.94032186,0.84977067,0.99843746,0.9477983,1.0039331,1.0721939,1.0487533,0.8823191,1.0324562,1.1636181,0.96548474,0.78446054,1.1470853,0.9837284,1.0200208,1.1137168,1.068553,0.97965777,1.0907273,0.95612925,1.0932567,0.886737,1.1300415,1.1247393,0.9528732,0.994772,1.0528805,0.9931113,0.92913496,1.0792398,0.9251716,1.0258956,1.07486
blanket,1.196273,1.2712793,1.3041924,0.722487,1.3371406,1.0928372,0.9510317,0.82955796,0.53102654,0.38669324,0.69334066,0.5489632,1.1012833,0.0,0.7164432,1.5139817,0.967663,1.025343,1.1790651,0.8210039,1.3363137,1.2747991,0.87612236,1.0199944,1.4177861,0.8516907,0.5236488,0.9516922,1.4477421,0.7394458,1.4954946,0.857162,1.0080918,0.98083526,1.1354846,1.2087425,0.85525423,1.2257102,0.8488546,1.1120282,1.3020056,1.0948033,1.3599693,1.1226915,1.3707922,1.0113423,0.98040026,1.0160005,0.93232363,0.9135626,1.3360221,1.1707137,0.85720336,1.353763,0.9759104,0.84828985,0.6797813,1.4092925,0.48723197,1.1024232,0.5940394,1.0863144,1.3442892,0.60760236,1.4664448,1.2084055,0.964152,1.1991199,0.4351158,0.8203109,0.8395082,1.3359959,1.4008979,0.97026116,1.0059847,1.197308,0.70268095,1.348994,0.7071357,1.0788254,0.925123,1.2833414,1.0334918,0.8177546,0.6097419,0.697587,0.9254553,0.5938074,1.4169778,1.3991096,1.1994928,0.86150527,1.4391036,0.61377233,0.5804664,1.2718005,1.3937764,1.1147217,0.4258861,1.1454148,0.5549797,1.2920772,1.2948738,0.95247597
book,0.97385496,1.295822,1.1887023,0.84107316,1.1504779,1.0421842,0.8487604,0.72128904,0.82746184,0.685685,0.82294583,0.5871269,0.9473128,0.7164432,0.0,1.2840618,1.0379196,0.6241399,1.1471674,0.8861965,1.2980335,1.10806,0.8537046,1.0907471,1.2964613,0.93295443,0.8157947,0.9974303,1.2450612,0.8599798,1.3154372,0.809157,0.85128087,1.0093315,1.0214674,1.1342952,1.0555414,1.2538164,0.97106224,0.9803954,1.3293364,0.8800225,1.001102,1.0796474,1.2731147,1.111799,0.64457315,1.011295,0.9465469,0.8990354,1.2304833,1.0265433,1.0698411,1.261296,1.1172086,1.0573716,0.9192507,1.2296944,0.8951966,0.8623566,0.8257704,1.1033703,1.3075833,1.0512786,1.3298385,1.1995262,1.0563562,1.145678,0.71611613,1.0910344,0.5600816,1.19102,1.2047842,1.0443407,1.2838168,1.0929657,0.99325013,1.2373465,0.84512746,0.9641958,0.9708121,1.1820583,0.7552271,0.93175673,0.7656051,1.0643748,1.0308262,0.7509604,1.3928404,1.1953355,1.1241184,0.8627323,1.2728759,0.68808675,0.64384913,1.129633,1.3828933,1.154881,0.94650906,0.80955225,0.75811857,1.374022,1.2372653,0.93160415
bottle,0.93751276,0.9075174,0.63343316,1.4388647,0.41139698,1.051427,1.0486443,1.0990875,1.5315298,1.4876227,1.4358091,1.4887159,1.0555748,1.5139817,1.2840618,0.0,0.8555674,1.1056974,0.8564987,0.94108975,0.51688284,0.5351813,1.2440197,0.86914885,0.3242427,1.2295375,1.480565,1.2181035,0.2646339,1.3789148,0.120391905,1.2561212,1.065213,1.2362273,1.0237873,0.87243307,1.0780896,1.083498,1.0413678,0.9025979,0.9501843,0.92053545,0.57767045,1.0859607,0.7214724,0.88043815,1.0517514,1.2696252,1.1524386,1.3870351,0.6611612,0.68934,1.1831095,0.2601068,1.2686357,1.3149345,1.456239,0.51601934,1.2740391,0.8434226,1.3119304,1.2054232,0.61985457,1.0737282,0.49511564,0.9834338,1.2799505,0.56106937,1.4521043,1.3716404,1.2269597,0.41675174,0.3878969,1.1097798,0.71439886,0.8206598,0.8753207,0.5776687,1.3668087,0.95057726,1.3191869,0.6100808,0.8968751,1.3852623,1.3263571,1.3709946,1.1345357,1.292685,0.5859687,0.38226002,0.8737852,1.2380197,0.5546151,1.4765787,1.5274415,0.6069656,0.6503275,0.81375545,1.3304272,0.6149285,1.2833198,0.7258504,0.36286092,1.2560773
bowl,1.0616326,1.2718447,1.0586516,1.198929,0.7699396,0.6395751,0.9114947,1.0273991,0.7122286,1.0515966,1.0807942,1.0971029,1.1938299,0.967663,1.0379196,0.8555674,0.0,1.0999601,0.6144732,0.6836236,1.0496682,0.9226288,1.0807831,1.0322169,1.0329951,1.1353568,1.1291239,0.9611144,1.0314385,1.081268,0.82322866,1.0701079,1.1372458,1.1927748,0.9834944,0.9245574,1.1486006,1.309402,1.175721,0.87159884,1.2514987,0.74270326,1.047044,0.78070676,1.1925019,1.026062,0.99485433,1.1739299,0.6633549,1.135971,1.090216,0.89150465,1.3322285,0.89834607,1.2529248,1.1934942,1.1712745,0.88494265,0.87806696,0.8388985,1.1185366,1.2840984,1.1189389,0.7825953,1.0489001,1.0333595,1.1210812,0.82527983,1.1363117,1.3220179,0.7853381,1.0341614,1.1363084,1.0076975,1.1375995,1.0205199,0.3392439,1.1216999,1.2199355,0.8356235,1.0890813,1.0877212,0.7780918,1.2522547,1.155096,1.200569,0.28826082,0.8809771,1.242889,0.78756523,1.1256208,0.61001885,0.7215314,1.1897987,0.9839676,0.70789987,1.1074196,1.0724758,0.9175033,0.9366078,0.6544125,1.2627711,0.97207415,1.1177325
box,0.96282643,1.2341219,1.1314458,1.0499431,1.1556218,1.0465727,0.75006306,0.7829241,0.85018027,0.7556411,0.76726353,0.93242896,0.90312904,1.025343,0.6241399,1.1056974,1.0999601,0.0,1.1895645,0.7799883,0.9580396,1.0937966,0.9715218,0.87410194,1.1983006,0.977035,0.78595054,0.9926397,1.1817727,0.75852245,1.1507717,0.9698365,0.9354754,0.9350767,0.91793245,1.1006858,1.1402572,1.2278317,1.1503136,0.8448912,1.1987786,1.0017824,1.1496837,0.97090423,1.2224543,0.97619486,0.81015146,1.0593903,1.0726299,1.0452908,1.2059103,1.0720164,1.0079128,1.183797,1.0730975,1.0448228,0.85872704,1.1010834,1.0478345,0.8209883,0.9866984,1.1035069,1.263256,1.0796678,1.2448753,1.1760415,0.89939433,1.1451073,1.0028104,1.0648806,0.8950169,1.1348562,1.119883,1.0629988,1.233443,0.8844723,1.1712835,1.1521142,0.8188828,0.70848876,0.85012275,1.1266491,0.93721247,1.0756607,0.8964764,1.0694468,1.1027272,0.5960872,1.2509627,0.97661966,0.9449309,1.0053556,1.1867303,0.96534634,0.7326957,1.0781869,1.2860909,1.05062,0.9351856,0.9147335,0.8239917,1.107836,1.1506195,0.9487765
bread,0.96533316,0.91048133,0.9416988,1.1299245,0.77036077,0.8249867,0.91783273,1.1670144,1.259434,1.3515775,1.2727351,1.2418375,1.020268,1.1790651,1.1471674,0.8564987,0.6144732,1.1895645,0.0,1.0914882,1.065375,0.94925964,1.0933039,1.301701,0.87759775,1.2913213,1.3678632,0.88627905,0.95811826,1.3010545,0.845061,1.0705441,0.97819674,1.2665627,1.0389746,0.8488441,1.1378261,0.92732537,1.1710672,0.9932575,0.87820345,0.8646995,0.7579937,0.83210075,0.88289064,0.9144773,1.0073869,1.0546011,0.56664026,0.9353533,0.8881477,0.87503004,1.1722887,0.84819436,1.1170436,1.1235509,1.2813762,0.97053045,0.8289702,1.0266198,1.0178607,1.0444305,0.85515314,0.8626044,0.83285046,0.83394104,1.2051095,0.8558142,1.2312531,1.2554548,0.9913538,1.0324687,0.9499332,1.0474812,0.9771237,1.0168952,0.8106568,0.90995,1.3564798,1.0509917,1.2069336,0.9473479,0.8940548,1.2057514,1.1993859,1.1818024,0.9315256,1.1820451,0.9122278,0.83306116,1.0000079,0.53014797,0.579787,1.2500246,1.2405503,0.8876585,0.7451815,0.9791514,1.0603042,0.9767481,1.0106308,1.0901337,0.9161188,1.1855499
bucket,0.9835282,1.2228544,1.0489268,1.1695565,0.99312156,0.9628744,0.7959604,0.8555689,0.82576096,0.8984154,0.8313813,0.9682554,1.1200483,0.8210039,0.8861965,0.94108975,0.6836236,0.7799883,1.0914882,0.0,0.6609783,0.9891401,1.0553309,0.80401766,1.1164436,1.187411,0.9979213,1.0861105,1.0924563,0.96259165,0.9461091,1.050915,0.9360595,1.2338355,0.88992965,0.98987865,1.175594,1.3447461,1.041218,0.7556351,1.2271415,0.8678778,0.9999876,1.032524,1.2422938,0.79876304,0.7250409,1.3114929,1.1521238,1.23992,1.1268053,0.8703606,1.0662818,0.97110695,1.2861422,1.1032256,1.0955306,0.965244,0.95764863,0.756996,0.7902132,1.1899455,1.2350786,0.7091451,1.1032987,1.1297102,1.1793075,0.8331984,0.9424437,1.3329116,0.898063,1.0707698,1.1461959,1.0990692,0.94001585,0.86447644,0.7448219,1.182994,0.9520908,0.659334,1.1602205,1.0321447,0.95255256,1.2508156,0.7024837,1.2151403,0.9103389,0.7488998,1.1964844,0.9456498,1.0017983,0.9766531,1.0982431,1.2003688,0.8937373,0.6194322,1.2022899,1.0153702,0.7362756,0.7343198,0.7486632,1.1427772,1.0217505,1.217005
can,0.9092902,0.83165216,0.87745583,1.2692496,0.89445376,1.1186372,1.0552874,1.0028508,1.2823852,1.2668753,1.0614423,1.3327274,1.0117363,1.3363137,1.2980335,0.51688284,1.0496682,0.9580396,1.065375,0.6609783,0.0,0.81569576,1.2890415,0.541911,0.6680784,1.0692271,1.1476091,1.1287832,0.6039139,1.0647261,0.5391268,1.3123535,1.0427289,0.914811,0.9573239,0.9847155,1.0486599,0.98796844,0.8946609,0.95636505,0.75709903,0.94661355,0.87495685,1.1337199,0.92677873,0.9942489,1.1428102,1.2920319,1.3080724,1.3478627,0.9061921,0.81897974,0.87678313,0.60102576,0.9550565,1.0342993,1.1313522,0.6820189,1.2292042,1.0540047,1.15243,1.102778,0.88057935,1.0938869,0.648002,0.9956797,0.94819707,0.7834184,1.2569867,1.0040776,1.2774023,0.6617795,0.62016964,1.0655278,0.643748,0.81951034,1.0606588,0.85733765,1.0060542,0.97285706,1.0473638,0.9432126,1.2315933,1.2788584,1.1496851,1.0528171,1.099507,1.1619247,0.61162657,0.6296308,0.66284156,1.2562468,0.777974,1.3806295,1.2119098,0.82176,0.79303515,0.9623897,1.1086556,0.9576535,1.2324193,0.5389809,0.7259287,1.0407379
