category,knn_clip,global_clip,n_exemplars_clip,knn_dino,global_dino,n_exemplars_dino,n_exemplars,n_valid_exemplars,cdi_semantic,dot_color,dot_size
closet,5.550743128931105,4.237952348297813,10,14.296655369614038,11.234785963516448,13,11.5,10,furniture_rooms,#6BAB7A,113.33333333333333
oven,5.534554878074162,4.289234971256545,15,14.437993511494788,11.246802425422969,15,15.0,15,furniture_rooms,#6BAB7A,165.71428571428572
flower,5.52978025715819,4.302700574205369,16,20.425791674163044,15.62543383345245,19,17.5,16,outside,#5B9BD5,176.1904761904762
rock,5.584005384593034,4.311007005759237,12,12.871719356724157,10.418608527336902,13,12.5,12,outside,#5B9BD5,134.28571428571428
ankle,5.645958406257724,4.267883123908358,12,12.904711577777952,9.47483499510885,12,12.0,12,other,#8B9A9E,134.28571428571428
pizza,5.634018719767118,4.364810195569754,15,12.900000411337912,10.007258372160488,15,15.0,15,other,#8B9A9E,165.71428571428572
muffin,5.745226812224441,4.297941797861252,13,14.723375934364524,11.01056393629458,13,13.0,13,other,#8B9A9E,144.76190476190476
fork,5.655365130463564,4.369044521649209,12,13.37644812932214,10.020889494562894,12,12.0,12,household,#D97B9E,134.28571428571428
box,5.689487863038536,4.349118934216829,11,13.087814769835328,9.835218938020455,12,11.5,11,household,#D97B9E,123.80952380952381
soup,5.782073973633204,4.3793224469252845,12,16.178719799149523,12.464562792275776,12,12.0,12,other,#8B9A9E,134.28571428571428
towel,5.531988454044193,4.586946200821345,16,12.051174806802791,9.68275324204933,16,16.0,16,household,#D97B9E,176.1904761904762
glass,5.862217868154734,4.356455658414765,12,14.126270127704588,10.807178683434495,12,12.0,12,household,#D97B9E,134.28571428571428
dish,6.005349357877408,4.280384513538776,8,13.079984664373905,10.267448026355153,21,14.5,8,household,#D97B9E,92.38095238095238
slide,5.655156629432356,4.580206578376672,16,12.09706302958474,9.226148805995518,16,16.0,16,outside,#5B9BD5,176.1904761904762
tree,5.9028321465321785,4.406780059713547,10,16.81109805855914,12.460572544197865,12,11.0,10,outside,#5B9BD5,113.33333333333333
stroller,5.826513490589901,4.502625700542907,16,12.107648760617089,9.419268431931986,16,16.0,16,vehicles,#6BA3D5,176.1904761904762
sandwich,5.91486218067667,4.478811053604507,15,13.653087993529786,10.606598604783349,15,15.0,15,other,#8B9A9E,165.71428571428572
fish,5.8111268393691295,4.558911300869171,12,18.750739770161257,14.335220167527654,13,12.5,12,other,#8B9A9E,134.28571428571428
paper,5.866098999731596,4.520025078861338,13,14.024327680566175,10.584589760876325,14,13.5,13,household,#D97B9E,144.76190476190476
table,5.984665174648822,4.486067188664273,12,16.634730243319833,12.521193400945563,12,12.0,12,furniture_rooms,#6BAB7A,134.28571428571428
cup,5.867600173933727,4.591075912942983,14,14.090827171898065,10.72881543247028,15,14.5,14,household,#D97B9E,155.23809523809524
bed,5.630597173247215,4.79424956039673,21,16.32306511207386,13.056587891125575,22,21.5,21,furniture_rooms,#6BAB7A,228.57142857142856
couch,5.62603419704014,4.800643420426892,21,14.59444491312375,12.310747947771969,22,21.5,21,furniture_rooms,#6BAB7A,228.57142857142856
refrigerator,5.963080467080894,4.554780766355741,12,15.33459286464526,11.965412906287623,12,12.0,12,furniture_rooms,#6BAB7A,134.28571428571428
vacuum,6.015987137587273,4.54331128761372,13,15.041299625762589,11.046599566667414,13,13.0,13,household,#D97B9E,144.76190476190476
can,6.078596179119333,4.497131601103049,11,11.482505037953205,8.756673719494648,12,11.5,11,household,#D97B9E,123.80952380952381
melon,6.028385464463151,4.604390343798452,14,14.716023681995948,11.401536452994998,15,14.5,14,other,#8B9A9E,155.23809523809524
glasses,5.834079703322457,4.771739521570606,17,10.877096963472964,8.418433404808795,17,17.0,17,household,#D97B9E,186.66666666666666
bird,5.912917088533931,4.804731904948715,23,19.529648548163557,15.81835466869108,23,23.0,23,animals,#4DB8A8,249.52380952380952
cat,6.054424595856939,4.693594943450167,12,17.648523352498657,13.25139358487665,12,12.0,12,animals,#4DB8A8,134.28571428571428
watch,6.075805096376131,4.695189193256453,15,13.273179641202038,9.988205743423102,15,15.0,15,household,#D97B9E,165.71428571428572
chair,6.284530648010249,4.541970604944244,9,15.919350987318964,11.8616072646467,12,10.5,9,furniture_rooms,#6BAB7A,102.85714285714286
cracker,6.196592005514774,4.629644226910563,12,13.142370242613415,10.345672821884738,15,13.5,12,food_drink,#E8A54C,134.28571428571428
necklace,6.1463530312339065,4.673503934110873,15,15.792444715999128,11.88521012991824,15,15.0,15,clothing,#9B7EC8,165.71428571428572
purse,6.260721632366853,4.652060909284538,11,16.098826171642745,11.94797731450611,12,11.5,11,household,#D97B9E,123.80952380952381
spoon,6.14568994913869,4.761777113209558,13,12.93025075278448,10.076079064603716,13,13.0,13,other,#8B9A9E,144.76190476190476
broom,6.266733105099391,4.677930094015817,12,13.498662869995508,10.39451147794298,12,12.0,12,other,#8B9A9E,134.28571428571428
radio,6.2205613957012496,4.744794952579255,15,15.361254234666855,11.76437585567036,15,15.0,15,other,#8B9A9E,165.71428571428572
basket,6.316810646559204,4.674066620366643,12,15.002762224811436,10.937205221130736,12,12.0,12,household,#D97B9E,134.28571428571428
bench,6.054180085901468,4.8864012583053045,16,14.515835771680749,11.789424370941813,16,16.0,16,furniture_rooms,#6BAB7A,176.1904761904762
hair,6.286834505516554,4.709484791434365,10,14.518525507007636,11.532159842092623,12,11.0,10,body_parts,#E87A5F,113.33333333333333
hand,6.317685781100791,4.789083820977536,9,16.24161025468719,12.6979341529371,14,11.5,9,body_parts,#E87A5F,102.85714285714286
mitten,6.419795527300892,4.71685458638506,12,13.248173198051797,10.04566154927405,12,12.0,12,other,#8B9A9E,134.28571428571428
plate,6.230562957226349,4.862771385149474,13,14.443135593222042,10.990416645369256,13,13.0,13,household,#D97B9E,144.76190476190476
foot,6.283852233458155,4.861147491492212,14,14.16060431615459,10.799301830777098,14,14.0,14,body_parts,#E87A5F,155.23809523809524
drawer,6.29937720441903,4.858581102695973,13,15.173442887929516,11.461198454462238,13,13.0,13,furniture_rooms,#6BAB7A,144.76190476190476
soap,6.543668912102163,4.794603356858638,11,15.51628026533814,11.334131848528756,12,11.5,11,other,#8B9A9E,123.80952380952381
motorcycle,6.525987501008143,4.8134922892549366,10,13.669000502781252,11.46555257338124,15,12.5,10,other,#8B9A9E,113.33333333333333
finger,6.327297376956954,5.002033459747076,10,14.95016260332534,11.26524330633506,12,11.0,10,body_parts,#E87A5F,113.33333333333333
toe,6.432268415180633,4.938869252001148,12,13.80854275551208,10.420421471594674,14,13.0,12,body_parts,#E87A5F,134.28571428571428
sock,6.512750042283908,4.912284447139615,11,14.558862851827396,11.063832077333936,13,12.0,11,clothing,#9B7EC8,123.80952380952381
jar,6.540357417606223,4.915859351244577,14,13.80889606293712,10.432200082083076,14,14.0,14,household,#D97B9E,155.23809523809524
tray,6.475800683510863,4.991067286034848,12,14.14835179753353,10.6912712728415,12,12.0,12,household,#D97B9E,134.28571428571428
jacket,6.436169974416449,5.02699975116381,16,16.086099381294574,12.341373583325408,16,16.0,16,clothing,#9B7EC8,176.1904761904762
swing,6.533351762474614,4.993671533351383,13,14.255957648730314,10.772203734157308,13,13.0,13,outside,#5B9BD5,144.76190476190476
scissors,6.595818656578941,4.965847955361446,14,13.901307282989848,10.459193985872307,14,14.0,14,other,#8B9A9E,155.23809523809524
scarf,6.391373697234359,5.147861629780528,16,12.410575644023034,9.869048425196524,16,16.0,16,clothing,#9B7EC8,176.1904761904762
nail,6.496281288502233,5.093080287591254,13,14.420043085173193,11.25006619776169,13,13.0,13,other,#8B9A9E,144.76190476190476
hose,6.695936430331952,4.957944716953938,12,14.339931261201832,10.784920886609273,12,12.0,12,other,#8B9A9E,134.28571428571428
pillow,6.533091183976907,5.105543080989199,12,16.93013103456545,12.589026200811269,13,12.5,12,household,#D97B9E,134.28571428571428
slipper,6.726782804084878,4.964337306690593,12,15.27860673866193,11.30178114972262,12,12.0,12,other,#8B9A9E,134.28571428571428
shirt,6.610079776664037,5.099909330971545,12,14.116563807485017,10.903530267975263,12,12.0,12,clothing,#9B7EC8,134.28571428571428
door,6.796449587900826,4.974721277736665,10,15.161781772646334,11.48455934890387,14,12.0,10,furniture_rooms,#6BAB7A,113.33333333333333
lamp,6.683196965464456,5.06224855307373,13,15.024926462455776,11.479807466864722,13,13.0,13,household,#D97B9E,144.76190476190476
balloon,6.539269005949432,5.187143764608106,18,14.462489413282714,11.210671621955251,20,19.0,18,toys,#B07CC8,197.14285714285714
toothbrush,6.760093978248977,5.092260968030957,12,15.02722931710462,11.190637700320568,12,12.0,12,other,#8B9A9E,134.28571428571428
plant,6.968699799763003,4.953777368946768,9,20.593201221985197,15.077188662127654,12,10.5,9,household,#D97B9E,102.85714285714286
napkin,6.742906794989761,5.16885540571179,13,14.413801642381951,11.012659428396663,13,13.0,13,household,#D97B9E,144.76190476190476
glove,6.719223660724639,5.258925844325157,16,15.090073536835682,11.348777513894683,16,16.0,16,other,#8B9A9E,176.1904761904762
dog,7.004872879913268,5.061326298516611,9,18.791120118744505,13.934749455462608,12,10.5,9,animals,#4DB8A8,102.85714285714286
window,6.826661087897548,5.207348323836907,13,16.426005680480298,12.345589162259438,14,13.5,13,furniture_rooms,#6BAB7A,144.76190476190476
arm,7.507652673971526,4.752512973853071,5,17.73514560549895,13.40372719167754,13,9.0,5,body_parts,#E87A5F,60.95238095238095
tape,7.163019133208351,4.9846844464137545,9,16.179266541382944,12.139044078412876,13,11.0,9,other,#8B9A9E,102.85714285714286
stick,7.024646126099911,5.147560142664,12,17.597503651699054,12.836154528062773,13,12.5,12,outside,#5B9BD5,134.28571428571428
bib,6.997753568329894,5.168295975905877,14,14.952256040291676,11.082631519290668,15,14.5,14,other,#8B9A9E,155.23809523809524
shovel,7.114045757224503,5.128538783641968,11,15.824386095936568,11.62091588088189,12,11.5,11,other,#8B9A9E,123.80952380952381
pants,6.990775280118329,5.225842635042543,11,16.485824796831807,12.31329893002692,13,12.0,11,clothing,#9B7EC8,123.80952380952381
dress,7.050569579278009,5.291063175644043,13,16.5787019510916,12.368564942107174,13,13.0,13,clothing,#9B7EC8,144.76190476190476
shorts,6.885734328908812,5.418827516174594,14,17.036436856831582,12.807811206859371,14,14.0,14,clothing,#9B7EC8,155.23809523809524
blanket,7.074953777444771,5.275534741162849,11,17.174266870641002,12.551443845904664,12,11.5,11,household,#D97B9E,123.80952380952381
doll,6.893924329810186,5.4258419236189095,15,15.004565834104302,11.068148987441596,15,15.0,15,toys,#B07CC8,165.71428571428572
belt,7.096227596424298,5.298468696769036,12,14.04219332728274,11.486086128475105,14,13.0,12,other,#8B9A9E,134.28571428571428
ladder,7.045826298656569,5.355155615622544,14,15.844349915428186,11.779634802790444,15,14.5,14,other,#8B9A9E,155.23809523809524
shoe,7.331157075250893,5.193122359599155,10,13.993693204302144,11.898701948056498,18,14.0,10,clothing,#9B7EC8,113.33333333333333
comb,7.159053507033286,5.365344244835872,12,13.184230596639994,9.780810196185582,12,12.0,12,other,#8B9A9E,134.28571428571428
sweater,6.949707639756959,5.589675377178071,19,16.468781847227,12.680282175429175,20,19.5,19,clothing,#9B7EC8,207.61904761904762
toy,7.482250651579765,5.245575217392675,9,17.263147912135068,12.635205932510724,12,10.5,9,toys,#B07CC8,102.85714285714286
jeans,7.101539618462417,5.5808103276423,14,16.41755423972983,13.243093665211278,17,15.5,14,clothing,#9B7EC8,155.23809523809524
hat,7.122130441397002,5.597746824393401,17,14.629932952692386,11.374682283014078,17,17.0,17,clothing,#9B7EC8,186.66666666666666
ball,7.232389089636056,5.533560642135156,13,15.985785602869337,12.269840653560406,16,14.5,13,toys,#B07CC8,144.76190476190476
gum,7.427905880722436,5.400304211766863,10,16.17846731809555,12.558959525924308,12,11.0,10,other,#8B9A9E,113.33333333333333
bucket,7.661895737535276,5.586953236303015,12,17.46334569143286,12.475470866197025,12,12.0,12,household,#D97B9E,134.28571428571428
bottle,7.737038869377014,5.682950865237731,11,17.00927259353405,12.740008299983344,12,11.5,11,household,#D97B9E,123.80952380952381
pajamas,7.628166043931722,5.8957585931821,13,15.471423985445428,12.03586763493736,13,13.0,13,clothing,#9B7EC8,144.76190476190476
face,9.098303848439626,5.254522969530559,3,17.00779118602907,12.592881747014252,12,7.5,3,body_parts,#E87A5F,40.0
