category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist
eye,76,5,5,17.027053379794108,4.089214205348278,16.504351243123278
car,200,5,5,17.83150331736413,5.130479971285985,17.042241969713405
closet,171,5,5,17.834283554647406,5.300728054002222,17.37361266227188
flower,189,5,5,18.286403065550406,5.61376428465517,17.896633709456893
doll,204,5,5,18.53070567760174,5.1903308918241535,17.54611629225527
sweater,133,5,5,18.64063797702482,5.114968958034973,17.193524446349436
face,154,5,5,18.868845726504762,5.248444092855852,17.49064197875579
dress,124,5,5,19.019746492132647,4.960686210058033,17.943805835490785
jacket,181,5,5,19.34650531520343,5.070267480814302,18.795048712304766
stroller,166,5,5,19.4878455598323,6.1826864177147876,18.618008174144705
glass,145,5,5,19.689699292323763,4.6935887507328475,19.3951897379933
jar,155,5,5,20.373155923421848,4.907884806315293,19.854275558729455
slide,187,5,5,20.414639625749277,5.641995930336452,19.725677239477537
tree,108,5,5,20.723713296167084,4.650637192648086,20.307616028219456
butterfly,50,5,5,22.490016099700203,5.664470170487438,22.08645765523569
cracker,80,5,5,23.49632370759113,5.028216958504396,22.86416038470941
shower,87,5,5,23.517069388723165,5.4448059866998815,23.40420820207639
pony,60,5,5,23.67338046832365,5.384237664981448,24.449109706250624
bird,91,5,5,24.712768492388076,4.971374983893715,24.443379384806022
rock,30,5,5,25.269446022181704,6.714787930850708,26.77693273656723
scarf,58,5,5,25.770578473428476,4.777759524926238,26.41255049320707
stick,33,5,5,25.77349370014268,3.5667865312442935,24.950821373480924
swing,24,5,5,26.616457931435964,4.713392913657046,25.383465382521322
dish,64,5,5,27.11098876781752,4.4276944773379725,26.93520424129632
