,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
closet,1.0534302,1.0620813,1.3197397,0.7954762,1.1222242,1.1721454,1.3388443,0.7867721,0.7765372,0.89239,0.48063695,1.265936,0.62424177,0.9347014,1.221323,0.7169428,1.1315994,1.1069472,1.201158,1.0537959,0.88850296,1.2647521,1.1423548,1.1282371,1.1873704,1.2340376,0.9976796,1.4587785,0.8349435,0.9003779,1.1657459,1.0183413,0.0,0.66990197,0.8723287,0.88184124,1.3555229,1.0724087,0.6641783,1.1958836,1.4039537,0.5559889,1.2879165,0.884516,0.8708334,1.0765735,0.35499775,0.8449855,0.73807186,1.2487383,1.4446002,0.7282508,1.3296385,1.3650632,1.1547987,0.9996914,1.3122101,1.2965853,0.8708085,1.301003,1.2259713,0.73595953,1.154857,0.6973239,1.0322268,1.0302926,1.2698038,0.8273924,0.91158086,0.62247705,1.1216018,0.7831223,1.2179149,0.49679625,1.1419294,1.1266679,1.156968,0.94917446,0.94458,0.8452203,1.029587,1.1916144,1.2565832,1.3550984,1.2622054,1.1719804,1.4526448,0.56382436,0.87221575,0.66388613,0.733229,0.85646874,1.2218608,1.4031051,1.3772393,1.476629,0.81691456,1.246845,1.0632643,0.9372352,1.0897889,0.69154537,1.344986,1.358401,1.0074552,0.72758037,1.2641904,0.6218536,0.7570238,1.2010906,1.0165129,1.0142629,1.0080855,1.3484769,0.65902185,0.9207897,0.96660954,1.2231059,0.5977026,0.84409994,0.7670448,1.3088094,0.9577934,1.3609481,1.2333419,1.1110842,1.377717,1.0563287,1.2121317,0.8743892,0.5902596,0.62728965,1.2876029,1.3574016,1.2821854,1.0111649,1.2422504,1.197253,0.8547121,0.8197888,0.83728856,1.4161577,0.6232269
coat,1.0655694,0.90523916,1.2130363,0.62953347,1.1093422,1.1290494,1.255126,1.148687,0.8481774,0.89817303,0.66588,1.1883237,0.6629764,0.7233854,1.2072827,0.5437482,1.2695998,1.1816597,1.1426129,1.1578689,1.0787457,1.2591045,1.0225539,1.1201459,1.1748549,1.2038205,1.1185818,1.2759672,0.83241963,0.97517484,1.1535656,1.0996319,0.66990197,0.0,0.99662244,1.0108702,1.2977202,1.0095367,0.8054942,1.190813,1.2385385,0.928254,1.1603116,1.0055889,0.976165,1.1323308,0.87408733,1.1204036,0.6435836,1.1547806,1.1997278,0.6625477,1.0989488,1.250856,1.2043962,0.9465055,1.28443,1.3084192,0.9345541,1.1943281,1.0199199,0.83185875,1.2318041,0.7802022,1.0565938,0.9253631,1.1615912,0.84328187,0.9775693,0.48688012,1.0908839,0.51022303,1.2052255,0.65691686,1.1669511,1.18218,1.0954187,1.0449915,0.80467784,0.9788138,0.9463773,1.1856382,1.1403898,1.2276125,0.9657006,1.1511925,1.264063,0.8220465,0.85846305,0.5120976,0.51508635,0.88590544,1.2321618,1.2307487,1.217567,1.2856889,1.0426294,1.1601303,1.1282793,0.99175614,1.1563804,0.7606475,1.1859478,1.180826,0.99424505,0.93240523,1.1989069,0.8707962,0.8191876,1.140369,1.0180798,1.0559369,0.99609154,1.2278374,0.44243217,0.91289246,0.6664103,1.2224985,0.81682205,0.89309835,0.8439143,1.1755817,0.9487001,1.2955172,1.0188792,1.2040795,1.336435,1.1217519,1.240092,1.0442051,0.29721582,0.85530245,1.2283797,1.1375108,1.1160101,0.98807675,1.048984,1.2677217,0.98857766,0.9565413,0.98225915,1.2109492,0.8715189
coffee,0.97073156,1.233511,1.3020127,0.9124061,1.0237963,1.0945904,1.0360328,0.8903146,0.63670313,1.0793573,0.95824265,1.3096833,0.8707726,1.0990635,0.96904784,1.0364437,1.1579962,1.136022,1.2479138,0.597273,0.9530778,0.88512456,1.127466,0.9855329,1.2091193,1.2827895,1.099693,1.1818446,1.0428922,1.115613,0.8374562,0.994337,0.8723287,0.99662244,0.0,0.90502703,0.95894134,0.8169197,0.95488775,0.8748772,1.3963163,0.89165854,1.2590094,0.45855415,1.006238,1.1497314,0.7925111,0.9293827,1.0127096,1.1893913,1.2265468,0.9830138,1.3206005,1.2126453,1.2849252,1.0475888,1.1293602,1.1061141,0.63947177,1.402134,1.1080263,0.978664,1.0184901,1.0062963,0.7617719,0.9777821,1.3634006,0.97526765,0.82529366,1.0588636,0.7749764,1.0306103,0.93849736,0.8619515,1.1874981,0.85047776,0.96954644,0.85845995,0.9146037,0.99389404,1.1313505,0.8548666,1.2727184,1.049024,1.2368987,1.3065602,1.144204,0.8402583,1.0981836,0.92218524,1.007202,0.91440815,0.92177707,1.3966594,1.2718666,1.1582714,0.876697,1.2970452,0.87422013,0.9227079,0.7240428,1.0436597,1.2364416,1.2885473,1.0718666,0.8563124,1.2439504,0.9371406,0.8729812,1.2157538,0.77173746,0.58405983,1.0405548,1.1963474,0.958739,1.0454057,1.1599343,1.0214345,0.8728682,0.5689106,1.0340713,1.3775811,0.92285717,1.021846,1.1791402,0.39318633,0.96507525,0.91231686,1.0246769,0.9494405,0.9870831,0.6994378,1.1140388,1.3694988,1.303991,0.8536446,1.2483196,1.2443023,0.66889334,0.9773232,0.9708279,1.4394386,1.010888
comb,1.0427144,0.9776125,1.2201297,0.88202316,1.2480257,1.2749741,1.1368825,0.9674436,0.95484614,0.9201082,0.8687506,1.0099263,0.7683128,1.1258271,0.8611676,0.93443614,0.9257131,1.0589706,1.2347577,1.2030213,1.1250501,1.2121925,0.81469965,1.2354412,1.084921,1.1108905,1.0054703,1.0458989,0.7285954,0.9983499,1.1426953,1.0097771,0.88184124,1.0108702,0.90502703,0.0,1.0656116,0.8515104,0.99944764,1.0629859,1.0625154,0.92995375,1.2321148,0.985083,0.96582127,1.2447969,0.8669805,0.6835846,0.95445216,0.8072911,1.2128851,0.9693012,0.9785811,0.9366699,1.1227899,0.95907927,0.9624289,1.1876482,0.9093833,1.0594317,0.9930047,0.84858185,1.0023395,0.8676202,1.157,0.92362607,1.2473584,0.8626859,0.7799907,0.9626271,1.1100234,0.9334168,0.9067966,0.84977645,0.97170806,1.072591,1.1302581,1.0437125,0.91451436,0.9034123,0.9325714,1.081551,1.1317613,1.0507143,1.039249,1.0594773,1.082445,0.7418248,0.9345714,0.97310245,0.88154507,0.8697386,1.1035259,1.027577,1.012517,1.1432477,0.99489677,1.0979607,1.2030268,0.9747758,1.1952618,0.96720093,1.1435629,1.2459172,1.1498144,0.9457226,1.0140876,0.91427374,0.8409955,1.1943753,1.0342723,1.0730544,1.1654494,0.87077844,0.9416345,1.0449445,0.9965182,1.1483111,0.7019149,0.9708531,1.0585028,1.1366404,0.9686255,1.1369228,1.0504148,1.101247,1.1044233,0.7767858,1.2185693,1.0897975,0.94705665,0.9326682,1.2036232,1.0340853,1.0097687,0.90564436,0.9818839,1.3489166,1.0821494,0.78786004,0.95016044,1.1123488,0.6257047
cookie,0.688878,0.8802732,0.8545278,1.2678841,1.0619311,1.0594349,0.41451865,1.3698268,1.116043,1.2420657,1.457855,1.0495678,1.3901427,1.2469177,0.7157724,1.3624146,1.0820608,1.1421576,1.0924199,1.0257792,1.1857086,0.2505082,0.95528203,1.1936669,0.977421,0.9476299,1.1538534,0.5777982,1.3227634,1.1791023,0.7044592,1.1070585,1.3555229,1.2977202,0.95894134,1.0656116,0.0,1.0819863,1.3547797,0.20737135,0.94700384,1.4052117,1.0162799,1.0994953,1.046854,0.99490017,1.1847255,0.9793313,1.263029,0.728848,0.7164795,1.1831623,0.77170557,0.81500584,0.9855771,0.89033324,0.78015935,0.6567936,1.1240171,0.9326486,1.0324252,1.1876922,0.9906646,1.161622,0.68270004,0.9956344,0.96634597,1.1913663,1.118552,1.2997355,1.0477707,1.3348739,0.81066155,1.2272637,1.0567836,0.39897764,0.74194956,1.0865364,1.0330663,1.2404047,0.9130808,0.25777626,0.936065,0.34224355,0.89599717,0.96340483,0.5576737,1.2336931,1.2553551,1.3825005,1.1787959,1.2149725,0.42714202,0.94722813,0.92048377,0.4489845,0.9883985,1.1143479,0.70513994,1.0645192,0.91756445,1.1615889,0.64696866,0.7006831,1.063066,1.2278904,0.66744065,1.2157211,1.144703,0.74229825,0.7614638,1.003176,1.2135651,0.8329494,1.3088685,1.0695667,1.1393311,0.9890274,1.22473,1.0546938,1.3296432,0.9780295,1.1726165,0.44892597,0.9547764,0.77537256,0.76109886,0.85028213,0.853643,1.1560899,1.3001397,1.2913215,0.8576987,0.7689291,0.78633034,1.048487,0.9065595,1.1173522,0.95869005,1.1890384,1.1367061,0.8766194,1.319412
corn,0.90675455,1.1739523,1.176949,0.95103806,1.0303779,1.0912073,0.9120541,0.9755258,0.8697012,0.90514237,0.9812348,1.1945065,1.0160824,0.97081316,0.82739043,0.98515254,1.0258461,1.0453036,1.1668124,0.8182754,1.0483122,0.9894549,1.1855062,1.1241186,0.9535811,1.2452967,1.0879617,1.0991645,0.9354838,1.3070523,0.8901278,1.0621297,1.0724087,1.0095367,0.8169197,0.8515104,1.0819863,0.0,1.0866486,0.97612447,1.1627121,0.9686229,1.1666341,0.9056555,0.99670327,1.045158,1.1098585,1.1581819,0.97571784,1.0871742,1.1101638,0.9662045,1.2270012,1.0374173,1.0816319,1.0996252,1.092639,0.9292253,0.87246716,1.2427664,0.8227722,0.9779954,0.87144434,1.0226958,0.80651927,0.98253566,1.2412196,0.9784885,0.63367003,1.0930464,0.95486695,1.0144252,0.97339904,1.0841193,1.1535732,0.9953,0.91231257,0.9434255,0.9221914,1.0298883,1.0325291,0.9988718,1.2068851,1.0642657,1.2065997,1.1771654,1.0865654,1.0587624,0.9620864,0.89995205,1.0790256,0.9087955,0.93399507,1.2426057,1.1280173,1.019959,0.93026763,1.1230569,0.81596917,0.65646136,0.8842665,1.0773263,1.2190844,1.1616935,1.08459,0.9189813,1.2844191,1.1184264,0.92547894,1.0578976,0.7928454,0.84401107,1.016728,1.0756394,1.0236161,1.0052567,1.1416447,0.9001425,0.93773776,0.8648393,1.0173492,1.2269571,0.97856796,1.0875609,1.1529015,0.7149756,0.9458309,1.1082507,0.96628505,1.0952411,0.9872542,0.98773885,1.1272671,1.2444236,1.222487,0.871749,1.0220765,1.1149145,0.8675715,0.8503162,1.1840925,1.2662863,1.009768
couch,1.1393309,0.98754686,1.2331903,0.91241574,0.9992495,0.94627637,1.1469827,0.7697802,1.0375026,0.9465025,0.61316586,1.0223441,0.43891346,1.126364,1.2453042,0.5899189,0.9914401,1.0063329,1.0037456,1.0846672,0.89049375,1.2522991,0.9072279,0.81749487,1.1660727,0.8823053,0.87794507,1.0859566,0.7864211,0.35045356,1.1358612,1.1075517,0.6641783,0.8054942,0.95488775,0.99944764,1.3547797,1.0866486,0.0,1.2988122,1.1430292,0.7848537,1.0850502,1.0162491,0.7827449,1.0325775,0.748347,0.8157614,0.8330701,1.1294423,1.2666707,1.0378617,1.2362852,1.1322225,0.99831116,1.0279943,1.2288494,1.1686586,1.1479673,1.1745505,0.9218096,0.9470982,1.1581768,1.0412657,1.1492703,1.1448647,1.0629315,1.0474306,1.01987,0.6918785,0.9729784,0.7415395,1.1784225,0.7968744,0.9402769,1.1503183,1.0121716,0.9936066,0.9191139,0.8665665,1.1570328,1.323249,1.2322501,1.1467397,1.147554,1.1501399,1.1239204,0.748645,0.97737753,0.90286404,0.79276806,1.0360457,1.1686127,1.140098,1.1078627,1.1576865,0.9143784,0.7034385,1.1728607,1.0914234,1.1034724,0.94026726,1.3078215,1.2360308,0.75209415,0.7808675,1.1669385,0.79279023,0.92835665,1.2142525,1.1598014,1.111168,0.86598885,1.1660979,0.8526144,0.89423823,0.8789496,1.0446146,0.89120454,1.0878072,0.8066828,1.0681843,0.9702405,1.2798549,0.9352175,1.1721661,1.2052126,1.2335798,1.0703105,0.7107769,0.81163555,0.5429286,1.1234931,1.2293575,1.1652385,1.1626643,0.85652065,0.98237437,1.0756218,0.9571831,0.7363207,1.2393074,0.7520844
cracker,0.56556547,0.9899801,1.1423709,1.0870944,1.1571748,1.2053596,0.58041084,1.3385603,0.94841915,1.1615825,1.296071,1.2951818,1.2579845,1.2069968,0.746429,1.2072842,1.1980692,1.1686255,1.3028439,0.97168005,1.140337,0.22263056,1.0284326,1.3297689,0.99717486,1.2449939,1.1805484,0.8349068,1.2684784,1.305784,0.522002,1.1843625,1.1958836,1.190813,0.8748772,1.0629859,0.20737135,0.97612447,1.2988122,0.0,1.2140477,1.2496705,1.2458677,0.99694574,0.8805988,0.9393038,1.1629179,1.1178901,1.1864284,0.91527605,1.0230845,1.0837464,0.9531889,1.028265,1.1206359,0.89594316,0.9083153,0.76722103,0.9042569,1.1949577,1.0321436,1.1659697,0.9698729,1.0778556,0.40989524,0.8430759,1.2260048,1.0970225,1.0734357,1.1845258,1.1153903,1.2279673,0.8268658,1.1407403,1.3230098,0.26412147,0.72894377,1.01944,0.9386406,1.0699041,0.8962788,0.08992332,1.193598,0.5748985,1.0470662,1.1542852,0.8108835,1.1425021,1.1867367,1.2027404,1.0973105,1.086313,0.30639982,1.1740754,1.1105595,0.6934846,0.78716373,1.305632,0.40223384,0.9429026,0.8522599,1.1014125,0.93724173,0.91116893,1.0270859,1.0921291,0.8427571,1.2121727,1.0929333,0.87113106,0.46763545,0.877717,1.2187036,1.0668724,1.1541165,0.98747176,1.1306692,1.0840241,1.1262125,0.8988112,1.2277262,1.2158508,1.0811349,0.7009146,1.0712326,0.6928439,0.84139407,0.8551024,1.0182672,1.0938022,1.1492152,1.1836996,1.1183742,1.0180047,1.0341839,0.86981845,1.1389028,1.2294587,0.7459798,1.1147648,1.0770496,1.088974,1.3117198
crayon,1.273375,0.9668977,0.2564875,1.4590431,0.8532922,0.73848814,0.94847786,0.9747202,1.4673564,1.1788497,1.4479239,0.20102549,1.3982387,0.9734911,0.9870173,1.3842205,0.67258596,0.7803813,0.32827687,1.0100458,1.0663784,1.0098771,0.8146683,0.6333387,0.87619615,0.3158006,0.85290617,0.57263446,1.1215152,0.7961458,1.2908623,0.85200447,1.4039537,1.2385385,1.3963163,1.0625154,0.94700384,1.1627121,1.1430292,1.2140477,0.0,1.3766906,0.22507107,1.3442968,1.3877861,1.1375549,1.2336295,0.953615,1.3532401,0.6476557,0.41273707,1.3120443,0.6411168,0.29771113,0.55929327,1.152894,0.5765895,0.75541747,1.4888427,0.24032676,0.9312911,1.1109303,0.88283086,1.2963544,1.371806,1.318369,0.23706257,1.1920073,1.1515291,1.3452243,0.9708489,1.3889502,0.8267603,1.3017147,0.29043257,1.3010017,1.1596872,1.1103363,1.3842142,1.2774076,1.089572,1.1848164,0.20833194,0.8165935,0.76215315,0.4296366,0.62087715,1.3076818,1.2319111,1.5390441,1.3764472,1.2593086,1.2129437,0.1218614,0.26061392,0.61744595,1.3291118,0.37186444,1.2707789,1.0779749,1.0576698,1.2401799,0.48037803,0.5340936,1.2333032,1.3435296,0.73922896,1.1022224,1.2676477,0.7008261,1.3376868,1.3395169,0.91552114,0.36055005,1.505241,1.3217793,1.169041,0.54904914,1.2746774,1.450157,1.2596991,0.18189323,1.1854566,0.56139696,0.75763845,1.2795231,0.75265574,1.0629663,0.78511894,1.117454,1.4822061,1.42179,0.33869922,0.4953131,0.41602612,1.2589662,0.40730608,0.565724,1.4131697,1.0774893,1.113729,0.28518128,1.0273337
crib,0.85890335,1.2024677,1.4222004,0.8026395,1.0391233,1.1042892,1.2123734,0.40995872,0.6347775,0.7625787,0.20934224,1.3426973,0.6479683,0.7931368,1.2206864,0.6838842,1.0944347,0.77836096,1.2865541,0.9040964,0.6344179,1.2914,1.1483024,0.99154717,1.0158986,1.2882024,1.0089147,1.3709764,0.8931213,0.894261,1.0228171,0.8862958,0.5559889,0.928254,0.89165854,0.92995375,1.4052117,0.9686229,0.7848537,1.2496705,1.3766906,0.0,1.361384,0.80942535,0.85556495,0.786866,0.870287,0.9309131,0.93855965,1.3453255,1.4157165,0.8729629,1.4251301,1.4366378,1.2285582,1.1942583,1.2626133,1.1194651,0.9110731,1.439446,1.1551497,0.8747196,0.91539633,0.95516676,1.0107313,1.0558504,1.394678,0.8624341,0.881749,0.7075231,0.9815353,0.836632,1.1979299,0.6601397,1.2820513,1.2015712,1.0332536,0.8853263,0.9717407,0.73051023,1.1017871,1.3014901,1.379655,1.3708768,1.3759724,1.3245363,1.3328264,0.775362,0.7528947,0.5873302,0.98117423,0.63747835,1.2190908,1.4103514,1.2840863,1.3880585,0.9239843,1.2693949,0.9695794,0.93205917,0.82959485,0.7373916,1.4279113,1.4129106,0.87141097,0.7647636,1.3817002,0.7714078,0.88396823,1.2693982,1.0112423,0.93358624,1.0534323,1.3054035,0.8045734,0.8541875,1.078643,1.1898532,0.7349987,0.68656445,0.36061078,1.3883896,0.6692857,1.4266704,1.2515426,1.0552635,1.2603482,1.1712512,1.1807673,0.7167399,0.8476446,0.4717164,1.2874544,1.5004646,1.2376859,0.85553145,1.3560771,0.80288124,0.6625552,0.8759607,0.90713143,1.4634681,0.78783715
cup,1.35988,0.9261405,0.29451334,1.4824681,0.8125928,0.66620755,1.0044392,0.8481367,1.4498785,1.2844894,1.4688885,0.2768141,1.3864644,0.9340551,1.0851068,1.3982342,0.7913892,0.81234396,0.11103475,0.94644,0.912579,1.0010194,0.94982445,0.44815695,0.95735955,0.23872566,0.8364647,0.70435673,1.2061455,0.72513455,1.208661,0.8168886,1.2879165,1.1603116,1.2590094,1.2321148,1.0162799,1.1666341,1.0850502,1.2458677,0.22507107,1.361384,0.0,1.2713462,1.3590903,1.0232002,1.1084774,1.0234642,1.254954,0.7863823,0.4529733,1.2462614,0.7613423,0.44288588,0.54875994,1.1031365,0.7723695,0.84127736,1.3691087,0.3540342,0.94143224,1.1202899,0.9014832,1.2224878,1.3034542,1.3516102,0.20209777,1.2035381,1.2077651,1.3261817,0.62677515,1.4048364,1.0096077,1.2838638,0.32304716,1.2843914,1.1702987,1.0167751,1.3269813,1.2886466,1.0937247,1.1725432,0.29807675,0.89924383,0.77137095,0.41139847,0.7547066,1.1977856,1.3037057,1.4719086,1.3000787,1.3552558,1.1931912,0.30686116,0.53013086,0.70475,1.2479309,0.3725245,1.2839136,1.1300399,1.0685341,1.2520278,0.52671194,0.5296401,1.1971844,1.2522717,0.72431326,0.95104265,1.2492522,0.62362623,1.3005186,1.2425717,0.88027894,0.6186201,1.405292,1.2947884,1.1125879,0.59366935,1.3253384,1.439029,1.3240507,0.24051213,1.2276024,0.5259508,0.7763997,1.1753024,0.8709046,1.1592385,0.7954917,1.0384405,1.38786,1.323329,0.28588235,0.5654615,0.5582047,1.3794475,0.48696136,0.50459135,1.3949251,1.1472178,1.0483905,0.40344417,1.0727743
dish,0.98799145,1.1863294,1.2911452,0.8575308,1.0135741,1.1059263,0.9296855,0.9317658,0.42473435,1.0690945,0.90119576,1.2844019,0.9078052,1.0657401,1.0580453,1.0066594,1.2063482,1.0208001,1.3059139,0.47096133,0.9065899,0.98068076,1.2090465,1.0653384,1.1150585,1.3170962,1.1503711,1.1730859,1.1143941,1.182178,0.86871845,0.8589535,0.884516,1.0055889,0.45855415,0.985083,1.0994953,0.9056555,1.0162491,0.99694574,1.3442968,0.80942535,1.2713462,0.0,1.1644839,1.1245197,0.8867751,0.9563424,1.0222795,1.2273116,1.2454329,1.0255332,1.2749801,1.2722557,1.3440236,1.1317048,0.99984366,1.1429731,0.6046665,1.3303698,1.1060159,1.0672164,0.97057736,1.0776137,0.7904228,0.9456833,1.3554676,0.9439099,0.8204179,1.0636847,0.8694455,1.0104212,0.8885207,0.9004704,1.2144442,0.9779528,0.80020356,0.8714864,1.0047934,1.0083623,0.9948993,1.0306063,1.253078,1.087622,1.1917951,1.217973,1.1413606,0.83262384,1.0861586,0.9112697,1.0503829,0.81598574,1.0507452,1.3812878,1.2789834,1.1063062,1.004074,1.272342,0.8864114,0.96895075,0.4264878,1.0134858,1.2140756,1.356278,1.0785812,0.8089751,1.2458353,1.1105512,0.972752,1.2913083,0.7778351,0.5714898,0.9836378,1.2327378,0.97007406,0.9671437,1.1463668,1.0135807,0.8549378,0.33204675,0.8817506,1.3357971,0.9959981,1.1086569,1.107217,0.579769,0.9225489,0.8790916,1.0471858,1.0759194,1.0266187,0.72253615,1.0674449,1.325677,1.3422276,0.7344155,1.2476854,1.145359,0.506149,1.0283746,1.1090099,1.3760242,0.9495912
dog,0.6970135,1.0619045,1.3046212,0.82663393,1.1280209,1.1105658,1.1450603,1.0750734,0.9665164,0.75356233,0.6788981,1.319178,0.6837042,0.9434684,0.8917951,0.5332215,1.1045569,1.1609135,1.3230381,1.26541,1.1096789,1.0394553,1.0575918,1.2413981,0.853192,1.3502476,1.013743,1.1608729,0.5168221,1.0214424,0.83220685,1.2022511,0.8708334,0.976165,1.006238,0.96582127,1.046854,0.99670327,0.7827449,0.8805988,1.3877861,0.85556495,1.3590903,1.1644839,0.0,0.64827216,1.0458344,1.1112194,0.82171136,1.098665,1.3031296,0.80067396,1.2151648,1.1646138,1.0713453,0.9563049,1.294758,0.8582802,0.9630625,1.2343773,1.0048686,0.9393373,1.1651824,0.69322205,0.98482275,0.947124,1.2408712,0.99927604,1.040669,0.5952235,1.1516942,0.702541,1.2145183,0.9844948,1.3673652,0.6184099,1.0704271,1.0943698,0.7106193,0.6967804,1.0756483,0.8459896,1.3500571,1.0300117,1.1236502,1.2714951,1.150672,0.95461166,0.764081,0.73227805,0.7539669,0.95400023,0.6980545,1.2942848,1.3282104,1.2525258,0.5157236,1.1158364,0.8875014,0.9684293,1.2193246,0.7786325,1.2579749,1.0774069,0.73187387,0.9450014,0.99356514,1.0111227,0.8746945,0.97779715,1.02006,1.0142367,1.117509,1.3141726,0.6892177,0.8567433,0.80743873,1.3882015,0.9307071,1.0106349,0.78141284,1.2667719,0.8687966,1.3290683,1.2379178,1.0706891,1.2303559,0.99934113,1.142142,0.9565317,0.7093729,0.82434875,1.3864335,1.2962549,1.2558379,1.0827733,1.2426357,1.1117463,1.0110939,1.0165584,0.93096584,1.2332852,1.0404713
doll,0.6697966,0.9996106,1.0726659,1.1026528,0.8259779,0.8561537,0.9759583,0.90905017,1.1506224,0.96031094,0.94051415,1.1836389,1.1596059,0.8494783,0.98666173,0.9684662,1.0687046,0.7902243,1.0163933,1.1354086,0.8346627,0.9488443,1.0264508,0.961895,0.64762384,1.1182678,0.9085859,1.0666512,1.1427981,1.0231605,0.82217926,0.974154,1.0765735,1.1323308,1.1497314,1.2447969,0.99490017,1.045158,1.0325775,0.9393038,1.1375549,0.786866,1.0232002,1.1245197,0.64827216,0.0,1.1386213,1.2246618,1.116595,1.1164248,0.9453291,0.9530394,1.0041937,1.1185114,0.87056696,1.0319773,1.0126318,0.603896,1.0274976,1.0687166,0.79584014,1.1669623,0.80489284,0.8792762,0.90254873,0.85374904,1.0027592,1.1436785,1.1573905,1.0245188,0.86359584,1.0888743,1.0378023,1.2160366,1.2267885,0.84492564,0.9956857,1.0112767,0.7557198,0.8253673,1.1176724,0.90367264,1.1408894,0.9493103,1.0457547,1.0787615,1.0380095,1.274201,0.9360029,0.858686,1.1456251,0.96481127,0.7373921,1.1589236,1.0792558,1.044594,0.85522395,1.0595301,0.849717,0.9153036,1.0967774,1.0448992,1.0234605,0.8633954,0.7690784,1.10145,1.0235832,1.063691,1.1572977,0.713624,1.02787,0.97846866,0.97452354,1.1263283,0.9898119,0.82572824,0.98659694,1.0587007,1.2280043,1.1621444,0.82851636,1.1292928,0.97701097,1.0865344,1.0077145,1.0036162,0.91996,1.0719805,0.9106962,0.74387735,1.029884,1.0347339,1.0523348,1.0514129,1.0807803,0.8675961,1.1088367,0.5370133,1.0691481,1.1410432,0.95240027,1.0300555,1.2013974
door,1.1756161,1.08813,1.1413647,1.0335964,1.0182424,1.0369928,1.2598746,0.9183127,0.92559195,0.9696322,0.84141445,1.1065408,0.7878315,1.1436983,1.1164576,1.0722519,1.0418861,1.1732434,1.0470432,1.0471399,0.97353965,1.1620796,0.95932406,1.0506586,1.2286838,0.9947331,0.9610584,1.283136,0.97500896,0.8431642,1.2244385,1.0106771,0.35499775,0.87408733,0.7925111,0.8669805,1.1847255,1.1098585,0.748347,1.1629179,1.2336295,0.870287,1.1084774,0.8867751,1.0458344,1.1386213,0.0,0.65864635,0.8137085,1.0765225,1.2362982,0.93834037,1.1522977,1.1782453,1.0954255,0.9801923,1.121858,1.2496483,0.8868739,1.1454191,1.2053816,0.8080913,1.1462275,0.8636235,1.0677669,1.0135316,1.125946,0.924131,0.9527855,1.0107079,0.9812911,1.0495936,1.0127524,0.6030893,0.8546823,1.0752691,1.1667161,0.9549501,1.0705506,1.0373843,1.0933388,1.1072062,1.1070113,1.1921947,1.0805091,1.0247386,1.3159305,0.6224257,0.976313,0.9279976,0.8751757,0.9958495,1.1457355,1.1980209,1.1620111,1.3379023,0.8256886,1.0964818,1.1037695,1.0793387,1.1530194,0.93083155,1.1658232,1.2156165,1.1433725,0.91031986,1.1255052,0.54452026,0.72530204,1.1224954,1.0426757,0.97968537,0.92558247,1.1515299,0.9189976,1.0808926,1.073018,1.0275811,0.5786863,0.96072906,1.048292,1.1848342,1.022865,1.1289278,1.1224279,1.0222232,1.1486704,0.9108344,1.0831124,0.9090723,0.8545294,0.7328415,1.1142387,1.1370895,1.1124072,0.93837214,1.1200138,1.1949313,1.0059426,0.92898667,0.7569778,1.2328639,0.6431327
