,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cookie,1.1433517,1.1486845,1.0048608,1.1957281,0.86815524,0.9164467,0.84667456,0.9002836,1.1706169,1.1189103,1.1915053,1.0072333,1.184332,1.177108,1.0610377,1.0594165,1.08148,0.9167042,0.9591155,0.73482543,0.9578286,0.75456125,0.95148844,0.9847893,1.0416169,1.0045896,1.049526,1.0508267,1.2006611,1.1469761,0.8032515,1.0928602,1.1151474,1.0547007,1.1409103,0.0,0.98153067,1.1957071,0.77675056,0.94813967,1.2064273,0.9768411,0.9869617,0.80111897,1.195355,0.93182117,1.0474868,0.94800633,1.1205668,1.0713391,1.0003122,1.1368198,0.83396983,1.1023726,1.0668179,1.1021568,1.0222497,0.958568,1.1155468,0.91364807,0.8329894,0.9115503,1.1117129,1.0184416,1.1349137,1.1374041,0.96848845,1.1949505,1.1178415,1.0041169,0.9600486,1.0870016,1.1101851,0.83070767,1.2499352,0.97179854,1.1564865,0.9418617,1.2525363,0.8667688,0.9526086,1.1292243,1.0293093,1.1227415,0.8740986,1.0358502,0.97936976,1.0035646,0.9793914,0.79477084,1.064601,0.92616034,1.1793675,1.2371885,0.88316953,0.8291064,0.98717195,1.006542,0.9078788,0.90257704,1.0303643,0.8172532,0.9376023,0.7257113,0.9269996,0.9578173,1.0015569,1.0010635,0.929227,0.90644777,1.1399047,1.1341404,0.7667396,1.161672,0.9347582,1.1880305,1.0674468,1.181689,0.8569839,1.1161568,1.0024984,1.1269251,0.9705642,1.1321437,0.89665234,1.0841086,0.74105763,0.9074021,0.9865268,0.8619524,1.1311142,1.1892773,1.1667316,0.7960575,1.0606997,0.9726496,1.0924913,1.0141948,0.83664083,0.7253462,0.99744034,1.0025795,1.1824794,1.0365977,1.0204228
corn,1.045158,0.5016226,1.0006969,1.1226349,0.89601433,0.9145396,0.820631,0.9863251,1.2414293,0.97398466,1.3144702,0.7229395,1.1422582,1.2083743,0.8310287,1.2570086,1.320543,0.92584175,1.0118693,0.9911134,1.2006795,1.0503914,0.75602674,1.1921935,0.63411844,0.59748596,1.1474543,0.39507496,0.8297496,1.0687594,0.9012573,1.287304,1.1403704,0.58418953,0.98156697,0.98153067,0.0,1.0398978,0.89829516,0.66338694,1.2219625,0.8856486,1.113003,1.228926,1.1848482,1.2334583,1.1002995,1.1357563,1.1302273,0.43621373,0.75810945,0.76673114,0.8678508,0.97259986,0.52698153,1.1357683,0.62298965,1.1359957,0.48935926,0.8851913,0.98359895,1.1479753,1.2317452,0.5757631,1.142373,0.9709337,0.77020717,0.939328,0.9127845,0.8056672,1.0534823,1.3147871,1.248688,1.2118491,1.0103104,0.8911954,1.1921926,0.6635929,1.2568902,1.0012621,1.1926633,1.2525363,1.0480208,1.3064219,1.0747788,0.72198737,1.157388,0.5088352,0.45303714,0.7595109,1.2671913,0.9094026,1.2518487,0.9773273,0.9499674,1.2734512,0.72012174,0.770072,0.9079703,0.48783863,0.564957,0.77759707,1.1829467,1.0023865,1.1575865,1.0035719,1.0772732,1.1928358,0.98681635,0.7137252,1.207299,0.7613485,1.2329383,1.1715518,1.1004035,1.1997168,1.1351223,0.6931875,1.2238806,1.2388183,1.2364154,1.2630092,0.39118326,1.0231144,0.74165213,1.0031198,1.1349574,1.0343901,1.2281594,0.706704,1.2981799,1.2214103,1.3356578,0.89430624,0.508446,0.6889812,0.7466296,1.1981635,1.0203607,1.2603076,1.2430944,1.1882892,1.087717,0.78822863,1.0933181
couch,0.70901084,0.85523856,1.2907501,0.5674553,1.432612,1.2817394,1.1745882,1.1049778,0.64130294,0.79498243,0.41653472,1.2158507,0.34187698,0.7951232,1.1891623,0.71576035,0.8293725,1.1885517,1.3752677,1.290016,0.7818543,1.2615259,1.007466,1.0668887,0.96938276,1.0588945,1.2137325,1.1929252,0.7497753,0.33762413,1.4170449,0.6535918,0.77359605,0.76061654,0.866921,1.1957071,1.0398978,0.0,1.1156727,1.3899914,0.46524775,1.3657665,0.9561565,1.1115103,0.790651,1.0955813,0.6834319,1.0387417,0.779552,1.0808513,1.2869414,0.86529994,1.193312,0.76408684,1.1189209,0.96350354,1.3526819,1.2067621,0.95812553,1.4178679,1.2230223,0.900268,0.7612711,1.2637298,1.0321382,0.7138362,1.3496202,0.7573677,0.9276152,1.2558107,1.1269922,0.8255717,0.81768245,1.1387182,0.43529826,1.3584822,0.38624018,1.3366348,0.82089615,1.1831126,1.0336642,0.97289175,1.1764708,0.8485982,1.1013236,1.3315573,1.0042559,1.3042767,1.3250892,1.3434396,0.6804643,1.0171953,0.6001084,0.44251513,1.0632381,1.0047162,1.4028563,1.3948276,1.2928646,1.0857481,1.0024993,1.2117532,1.0544673,1.253543,1.0650809,1.2529644,1.2337781,0.8773354,1.0437236,1.2865406,0.62090725,1.0318279,1.098681,0.59501594,1.3420569,0.5587406,0.67037976,0.7484325,1.3205539,0.6742548,0.9430165,0.68904054,1.2939864,0.9163913,1.3905673,0.9281515,1.1453257,1.4313357,1.2705636,1.3096528,0.7919152,0.46560752,0.4631815,1.3819746,1.1503749,1.2439526,1.3099871,0.9323517,1.3007331,1.0938944,0.8732058,1.121543,0.644434,1.3562793,0.8677118
cracker,0.8079326,0.81030464,0.90250564,0.99708813,1.0409874,1.1406823,0.68469185,0.98647517,1.2861798,1.0572861,1.2639787,1.1908735,1.1638895,0.9937907,0.8150377,1.1980147,1.2203687,1.0652641,1.0926015,0.94539183,1.1172522,0.3191179,1.1718662,1.0760992,0.8923886,1.1765883,1.1865879,0.7668224,1.1316376,1.1667492,1.0222642,1.2575891,1.0389389,0.9091829,1.0202818,0.77675056,0.89829516,1.1156727,0.0,1.0378131,1.1825688,1.0793939,0.87645555,1.0253553,0.8122493,0.9289794,1.1710035,1.1927197,1.0018877,0.91751224,0.9259178,0.9975237,0.8666316,0.96819496,0.85885924,1.0504297,0.83566874,0.9801638,0.8025118,1.0167431,0.7357411,0.9670447,1.1032397,0.95196617,0.85873306,1.1867275,0.94615287,0.94984454,0.79968417,0.93384796,0.9245129,1.1731659,0.97891206,1.0607431,1.052104,1.0410045,1.0740845,1.11134,1.1202365,0.9746127,1.1033193,0.9009709,1.0373813,1.1943965,0.41149902,1.0613606,1.020756,1.0960029,0.9949125,0.84305525,1.15107,0.88938874,1.1042464,1.0058748,1.138443,1.0040354,1.0605245,1.0764933,1.1896405,0.68870723,0.9670091,0.6267319,1.0155051,0.9275737,0.8762585,0.75047374,0.89075017,1.1030858,1.0921607,0.8628011,1.2530637,0.7137236,0.8624424,0.95937276,1.1057462,1.0463704,0.8109709,0.9411042,1.0124791,1.2278833,1.2016969,1.1936395,0.93913317,1.2150781,0.9144512,0.9425974,0.79284006,0.9732793,1.0331415,0.87482345,1.1525337,1.0700659,1.1975491,1.1104888,0.81488484,1.0327541,0.9590176,1.0023474,0.9811382,1.0651952,1.1442487,1.1493455,1.1862551,1.1074904,1.2379245
crayon,1.3724792,0.9707871,0.86150205,1.4421157,0.45263588,0.70870405,0.92865926,0.8901703,1.4730494,1.1377317,1.5329595,0.2382496,1.4074601,1.4050802,0.9437955,1.3543963,1.2248201,0.5104791,0.37534785,0.67606986,1.3082685,0.88341695,0.72640336,1.1511397,0.86605674,0.46093,0.5769429,0.42113882,1.1053901,1.2704475,0.5414946,1.4657311,1.2128294,1.0339407,1.0792584,0.94813967,0.66338694,1.3899914,1.0378131,0.0,1.5287812,0.27277768,1.1781005,1.2274773,1.4209101,1.0928565,1.2928616,1.0113388,1.2952011,0.7914942,0.79891706,0.9671997,1.0044711,1.2822354,0.6828712,1.1629484,0.43333662,0.79100406,0.90294373,0.25000572,0.91197413,1.2435086,1.4709308,0.4239391,1.2087226,1.2657897,0.31631655,1.3321857,1.2509524,0.47089803,1.0895317,1.3834119,1.3083442,1.2657888,1.3650211,0.3372649,1.5259423,0.3216052,1.3903688,1.1635802,1.1991954,1.3632058,0.81884915,1.3617516,1.0595224,0.24079025,1.0509316,0.2687096,0.5353292,0.64472485,1.4335055,1.1364498,1.5266224,1.3941256,0.7752045,1.2844217,0.08949345,0.13707626,0.50926524,0.9143305,0.35129124,0.87236166,0.9802227,0.80406976,1.1875622,0.88347465,0.97344136,1.2207164,0.8992672,0.48040193,1.4181861,1.0675604,1.3576901,1.2689716,0.5856971,1.550399,1.4291117,1.1867849,0.87619823,1.4399838,1.312485,1.4301674,0.18482721,1.1453145,0.1619029,1.1788179,1.3156736,0.5340385,1.0148449,0.63056886,1.3892107,1.5652022,1.4621454,0.34486282,0.659976,0.43111163,0.293087,1.100721,0.53312194,1.2559665,1.2773229,0.85059744,1.1480432,0.23129219,1.0917668
crib,0.603263,1.1586698,1.3692052,0.6486774,1.5745023,1.3534852,1.1569499,0.9143793,0.39838076,0.83656436,0.2693671,1.3786821,0.33526576,0.5986708,1.242485,0.6836238,0.6285767,1.1727407,1.489337,1.3331552,0.43872058,1.3323777,1.003929,1.0229335,1.1617422,1.2315718,1.3093617,1.4111965,0.7941612,0.5651647,1.386858,0.356003,0.80246663,1.0691179,0.6813571,1.2064273,1.2219625,0.46524775,1.1825688,1.5287812,0.0,1.5134993,0.89306116,0.90741026,0.80095077,0.9143974,0.5752403,0.94788367,0.7933442,1.2197995,1.4288228,0.95451933,1.1487446,0.84602994,1.3472937,0.62342227,1.5762873,1.2129991,1.2598587,1.4601002,1.0998054,0.79531825,0.7024965,1.4040129,1.1184962,0.6944229,1.4704143,0.82660365,0.98389566,1.4780178,1.0155138,0.5876676,0.8709421,0.95787734,0.6564777,1.4285414,0.34432125,1.4269392,0.5718986,1.029766,0.88809144,0.9256947,1.1879703,0.73846096,1.1659286,1.5014184,1.0683615,1.5029178,1.4388881,1.4637156,0.5578773,1.0077533,0.46032655,0.6861894,1.0756589,0.91018814,1.528785,1.4815891,1.3438176,1.2347733,1.3747907,1.1127453,1.082166,1.1589721,0.91232103,1.3977306,1.2988251,0.8389204,1.0059202,1.4286947,0.4776157,1.1033406,0.9468676,0.8047334,1.32858,0.522728,0.7006111,0.92233443,1.3037956,0.44083428,0.7801731,0.35910708,1.533248,0.8035886,1.5608841,1.0834563,1.0451604,1.484843,1.0870334,1.4892144,0.6161642,0.5868813,0.48214227,1.4862323,1.4179139,1.2795918,1.3584278,0.9761896,1.1876317,0.81932765,0.79174185,1.1928899,0.6780235,1.5144228,0.7115508
cup,1.5685103,1.1387317,0.7331164,1.4848231,0.35690266,0.6925742,1.0472924,0.6974506,1.4506083,1.2986606,1.5623854,0.33548915,1.4710042,1.3941367,1.1369462,1.411892,1.2427689,0.5708635,0.11723578,0.49557078,1.1729468,0.80408263,0.8893312,0.7310978,1.0273892,0.3828817,0.46806717,0.6726682,1.244411,1.1911166,0.43350458,1.3686813,1.2961061,1.1537943,1.2647123,0.9768411,0.8856486,1.3657665,1.0793939,0.27277768,1.5134993,0.0,1.1732458,1.1012343,1.4036129,0.9642528,1.193255,0.9693697,1.1821302,0.9719135,0.7418587,1.145659,1.1246393,1.2654501,0.8940178,1.2174251,0.47431433,0.66756475,1.0747534,0.3976171,1.0688988,1.242938,1.2149945,0.6301494,1.160598,1.346886,0.4135167,1.3471601,1.3546718,0.480892,1.1070852,1.4011183,1.1871028,0.94450885,1.4861617,0.5183964,1.4787605,0.32420313,1.333756,1.1487331,0.91427964,1.3189583,0.66903627,1.3345296,0.95793384,0.31986463,1.0564182,0.42455387,0.63949573,0.65752184,1.345048,1.2005929,1.5039761,1.4303882,0.8096693,1.2386292,0.3058678,0.35882366,0.45223892,1.0296147,0.40278208,0.9767348,0.8809831,0.79391974,1.1850665,0.76217854,0.8112635,1.2294877,0.88819385,0.57704747,1.259661,1.1108664,1.2640351,1.197851,0.63454986,1.5184859,1.4458325,1.2500525,0.78084344,1.3755853,1.1871077,1.4420887,0.40372407,1.1274991,0.1779418,1.1991282,1.2046623,0.5334151,0.91703403,0.65801,1.3671888,1.5271881,1.4383798,0.27219427,0.8059068,0.54384923,0.4550104,1.1439726,0.49671596,1.206141,1.2545228,0.64961994,1.145177,0.30605912,1.0748287
deer,0.847454,0.9741899,1.0768361,0.94351614,1.1889639,1.1010377,0.93650186,1.0115465,0.9381067,0.9508692,0.8724283,1.1909592,0.86203146,0.8439132,0.92647684,0.8890416,0.89312613,1.0675942,1.1324767,1.0932255,0.8611537,0.9693128,1.1506449,1.0258609,0.9493383,1.1901407,1.1329436,1.0378563,0.99909174,0.90247315,1.0897384,1.0042485,1.014602,1.0737739,1.088834,0.9869617,1.113003,0.9561565,0.87645555,1.1781005,0.89306116,1.1732458,0.0,1.074626,0.93339396,0.9549405,1.0543486,1.1501957,0.93246543,1.0909978,1.1310762,1.0335438,0.9634505,1.0733361,1.105596,1.0331429,1.0636588,0.9196033,1.0169432,1.0886502,0.88062793,0.9606316,0.9217446,1.1314365,0.99364144,0.9357338,1.1449215,1.0407677,0.9690315,1.1507282,0.72476393,0.8888805,0.9881788,0.97100633,0.9421165,1.1416886,0.8321192,1.2098505,1.0076342,1.0367881,1.0438085,0.96268046,1.1333301,0.99017537,0.95228267,1.1793947,0.99075973,1.2334323,1.203954,1.070962,1.0459521,0.95715714,0.90871376,0.88404775,1.0906372,0.97033864,1.1786094,1.1944814,1.2511508,0.9747149,1.1786244,0.88597846,0.7701601,1.0636858,0.6686037,1.0458813,1.0594233,0.87827677,1.067907,1.093625,1.054261,0.9715681,0.90561354,1.1105655,1.1404073,0.94184273,0.7401198,0.9425448,1.1143148,0.96942717,1.0375378,0.85917807,1.1440711,1.0314034,1.1658372,0.95946985,0.95416623,1.0966482,0.9363421,1.1504965,0.9178561,0.9518031,0.8609137,1.1560569,1.1056149,1.0222201,1.0495493,0.9731407,0.99507874,0.9654118,0.7777817,1.1176943,1.0395182,1.1323923,1.1249545
dish,1.0913235,1.2943758,1.0431176,1.1073325,1.1163647,1.1215569,0.7615732,0.8476544,0.8344189,1.1686909,0.94510615,1.1728451,0.966237,0.9517556,1.1586378,0.9676389,0.8010222,1.0023452,1.121436,0.4434901,0.69030714,0.9204474,1.049984,0.62905586,1.2704792,1.2322303,1.0770472,1.3311076,1.2129494,1.1212654,1.121366,0.86761487,1.0446762,1.1697947,1.1073741,0.80111897,1.228926,1.1115103,1.0253553,1.2274773,0.90741026,1.1012343,1.074626,0.0,0.98351574,0.91063815,0.98754233,0.822628,0.96770114,1.3175082,1.1640729,1.3246696,1.0693607,1.1092741,1.3199152,0.9656046,1.2151064,1.0927483,1.2898858,1.2237829,0.96852916,0.98161465,0.77334857,1.3358636,0.95721906,1.094366,1.0868468,1.1430451,1.0672878,1.2479408,1.0769259,0.8398441,1.0105556,0.56985795,1.1589427,1.0520108,1.0223744,1.1952053,0.9189223,0.6817875,0.62559485,0.88062584,1.0871303,0.93613464,0.9472436,1.324661,0.9144253,1.2937557,1.2893162,1.1264926,0.78742063,0.9809749,1.0025218,1.1735963,0.95469666,0.80280554,1.2308826,1.2117482,1.0900288,0.91150916,1.3558745,0.72609,1.0548434,0.53657645,1.0365701,1.0981286,1.0010935,0.7802311,1.0233685,1.2126784,0.87057817,1.2615678,0.37255841,1.1259813,0.97831416,1.0463251,0.99996394,1.2688425,0.629322,0.90215397,0.5413924,0.9141111,1.3733163,1.0057368,1.1501569,1.1070207,0.419289,0.8731804,1.0020018,1.2114129,0.90730137,1.0206981,0.89775395,0.9268974,1.3422108,1.1439596,1.1450809,0.9188299,0.93780684,0.3988465,0.97133744,0.9297573,1.0223037,1.280904,0.9255281
dog,0.63327396,1.003035,1.1107818,0.7694137,1.3193169,1.258076,1.0645324,1.2757136,0.8967384,0.69892347,0.74603534,1.2789624,0.7874886,0.8008925,0.9959654,0.85133743,1.0062431,1.328106,1.4036033,1.29089,1.0838051,0.9478537,1.2546313,0.81656426,1.1135938,1.3908105,1.1376165,1.27636,0.76432717,1.003093,1.3487594,0.8727107,0.77895427,0.9641996,0.95597297,1.195355,1.1848482,0.790651,0.8122493,1.4209101,0.80095077,1.4036129,0.93339396,0.98351574,0.0,0.96204996,0.97553736,1.1399776,0.9179953,1.1875461,1.1390702,0.9108319,0.953178,0.9111148,1.1641665,0.9361797,1.0837513,1.0771241,0.9367526,1.359191,1.0508287,0.7629613,0.90126646,1.2699913,0.30830574,0.785795,1.3105688,0.85224116,0.8724427,1.1865745,0.8856538,0.93427783,0.7389376,1.0190686,0.7394715,1.3397439,0.7777906,1.3895092,0.6854143,1.0582156,1.0669308,0.24375933,1.1874772,0.61461085,0.8332302,1.3007205,0.9216756,1.3910664,1.2950817,1.2729604,0.9007519,0.9566836,0.74563277,0.78991836,1.1742275,0.920329,1.3779314,1.354505,1.2861817,1.0343965,1.2626699,1.1014252,1.0067527,1.2324709,0.79788613,1.0818367,1.0596359,1.0034704,1.1787108,1.2013307,0.9110856,0.8810983,0.9161569,0.77170163,1.3122039,0.70993036,0.70596343,1.0120599,1.1570306,0.8695915,1.0056498,0.88038194,1.3587139,0.841007,1.4112844,0.94395995,0.91041684,1.291043,0.9737612,1.2851943,0.6167028,0.67362165,0.79646367,1.4176342,1.1764612,1.2103342,1.299811,0.8635733,1.3101232,1.061578,0.83110744,1.109468,1.0136548,1.336035,0.95712024
doll,1.1703699,1.238047,0.8781714,1.2160397,0.9757836,1.0318288,1.0148056,0.7420999,1.0490544,1.1994342,1.108933,1.1057805,1.164735,0.89112866,1.0332465,1.1368291,0.96964717,0.89976776,0.843446,1.0016363,0.73731816,0.74904084,1.056659,0.8963015,1.1346503,1.1073391,0.930726,1.1513417,1.3217542,1.1066958,0.9047917,0.9966723,1.0301652,1.3040045,1.1527532,0.93182117,1.2334583,1.0955813,0.9289794,1.0928565,0.9143974,0.9642528,0.9549405,0.91063815,0.96204996,0.0,1.097359,0.9800875,0.93642074,1.1378489,1.0474776,1.3069104,0.99785316,1.0217793,1.1956006,0.906201,1.0687554,0.72251946,1.2505944,1.0009063,0.80489117,0.8514229,1.0728253,1.1291404,0.8954953,1.263058,1.0365055,1.0178493,1.103461,0.92475355,0.86770684,0.9992033,0.8946309,0.90234935,1.2381736,1.0462666,1.0615745,1.0884295,1.0004878,1.0828261,0.92729276,0.87500644,0.8454331,1.0074748,0.73847055,1.1088508,1.0817035,1.1227127,1.0883349,1.009588,1.1354185,1.0516492,0.889047,1.1931784,1.0767566,0.9868018,1.1145444,1.0720506,0.9668738,1.2650263,1.1484755,1.0925392,0.8059722,1.1182455,0.81616086,0.8682089,0.82495236,0.87589306,0.8827106,1.0262351,1.1388845,1.0799512,1.0346991,1.0215681,0.82153296,0.9698103,1.034837,1.0936787,0.8313191,1.064726,1.143127,0.932183,1.1822128,1.1407819,1.0132375,1.1380466,1.0907326,0.9240965,0.72301424,1.0222462,0.7613926,1.0456245,1.0966061,1.001756,1.1617608,1.0609025,0.99696094,1.0666343,0.49051636,0.9628751,0.9878045,0.8240677,0.9950794,1.0751264,1.0845337
door,0.9290888,1.1836551,1.2847679,0.8318106,1.2923981,1.183017,1.1968889,0.99744755,0.6097455,0.96509355,0.659647,1.12298,0.5784736,1.061127,1.1320919,0.91452366,0.91012096,1.2286167,1.1490934,1.2467453,0.8787688,1.2251859,0.7507893,1.0496234,1.0715657,0.8560374,1.1173861,1.2553475,0.75257456,0.59182787,1.0003366,0.3069166,0.9328013,0.91808164,0.85476935,1.0474868,1.1002995,0.6834319,1.1710035,1.2928616,0.5752403,1.193255,1.0543486,0.98754233,0.97553736,1.097359,0.0,0.7357135,0.92264736,1.0990463,1.2197967,0.9582309,1.0664635,0.9211349,1.2261095,1.0544133,1.3672495,1.1109723,1.172356,1.1833391,1.1886888,1.0002651,0.9606453,1.2208695,1.1999061,0.6642989,1.3739331,0.86665577,1.041594,1.2609742,1.067153,0.83844626,0.90394306,0.93770117,0.86339545,1.1791118,0.46966738,0.95296824,0.84009004,1.0284703,0.7721405,1.1020485,1.0727022,0.9860395,1.1100178,1.2314451,1.0864649,1.135671,1.168572,1.2342846,0.59150076,1.1467031,0.84396803,0.82243836,1.0186199,1.0685406,1.2352451,1.2129006,1.0119853,1.1741225,1.1482652,1.240027,1.021818,1.1529641,1.0953606,1.3065774,1.2465937,0.9739189,0.9296533,1.1605433,0.35280895,1.0293777,1.1111681,0.90067154,1.1218829,0.802365,1.0169585,0.97075516,1.0886557,0.34546173,0.7410923,0.77237314,1.2870755,0.9017633,1.2888826,1.0916485,1.0733538,1.1790164,0.9135654,1.272853,1.0669038,0.82341886,0.78814375,1.2829634,1.2371814,1.0728639,1.244721,1.0709801,1.3063419,1.0170423,0.94788563,1.0032303,0.55534816,1.2353092,0.5978408
drawer,1.1441454,1.1575608,0.9943008,1.1465118,0.9382174,0.92845315,1.0496547,0.7512962,0.9666667,1.199185,1.05793,1.0362756,0.75349885,1.2921529,1.0215535,1.052896,0.89240056,0.73869634,0.9388673,0.8212772,0.7249268,1.0511866,0.73129535,0.90353733,1.1195174,0.8675686,0.94066,1.2139742,1.1897906,0.83585775,0.8346521,0.8532908,1.0545037,1.0046021,0.9323987,0.94800633,1.1357563,1.0387417,1.1927197,1.0113388,0.94788367,0.9693697,1.1501957,0.822628,1.1399776,0.9800875,0.7357135,0.0,1.1907583,1.17902,1.0220102,1.2405689,0.99299234,1.2692151,1.1151685,1.0879898,1.0668631,0.8914485,1.2110097,0.9702504,0.9286831,1.1014204,1.0035704,1.2083535,1.0385143,1.0206841,0.93739486,1.2857122,1.078886,1.1206224,1.0065341,0.8833257,0.8843576,0.9748887,1.2030197,0.72030956,1.0118915,0.75210816,0.9937306,1.0585464,0.80803883,1.0722406,1.0267981,1.0970588,1.0432346,1.1829922,0.88384557,1.055268,1.0785359,1.019334,0.753075,1.066683,1.206754,1.26772,0.66160375,1.0115856,0.92315173,0.983088,0.92760175,1.0874509,1.0606873,1.1259593,0.94962007,0.79667085,0.98389673,1.0259691,0.9746866,0.87088543,0.7338062,1.0233666,0.7182283,1.1569175,1.0159848,1.1199853,0.75936323,1.2213109,1.149098,1.1807888,0.69302976,0.9171567,0.51486295,1.1273017,1.154029,0.9808429,0.9813561,0.9711466,1.00538,0.72208786,0.79564905,0.9966279,1.1532407,1.2052324,1.0296911,0.87294054,1.200741,1.1425133,1.1182282,0.95147026,0.9496884,0.6675871,1.0650355,0.83344066,0.76620215,1.1102875,0.7932926
dress,0.89947397,0.9707133,1.2127296,0.7172538,1.3221018,1.2430496,1.1564419,1.1069039,0.8402936,1.0636599,0.83903813,1.1605759,0.8928126,0.4761865,1.0322917,0.8704101,0.95314974,1.2364185,1.1713717,1.1539288,0.8819168,1.1135886,1.1114295,0.9982085,0.94338065,1.0672913,1.1767731,1.1630639,1.0117915,0.87478536,1.2930251,0.82628036,0.9126134,1.0108923,0.9393056,1.1205668,1.1302273,0.779552,1.0018877,1.2952011,0.7933442,1.1821302,0.93246543,0.96770114,0.9179953,0.93642074,0.92264736,1.1907583,0.0,1.114119,1.2527683,0.94277006,1.1130222,0.87655175,1.1596264,0.91109496,1.2069194,1.1189642,1.0208638,1.2664242,1.0833223,0.957128,0.731085,1.2122688,1.0041846,1.002064,1.234413,0.8283249,0.89988637,1.1844428,0.9840957,0.8605538,0.867682,0.97959375,0.5750176,1.28269,0.7820966,1.3287382,0.85853195,1.0717603,0.9363829,0.9344405,0.90614134,0.9163737,1.0308584,1.244712,1.0647334,1.1803026,1.1982472,1.2875906,0.7286525,0.97029155,0.5170688,0.5137217,1.1436498,0.9003106,1.3176461,1.2622355,1.1596307,1.1394885,1.1225754,1.0391209,1.0288161,1.1239492,0.95843977,1.1565514,1.1659542,0.8717453,1.022838,1.2426775,0.7587613,1.0566518,0.92429,0.6178183,1.1425465,0.5224978,0.8890482,0.80316544,1.1356459,0.9169101,0.990214,0.9418379,1.2864772,0.99074316,1.2776723,0.917907,0.9678607,1.2419574,1.187855,1.2189132,0.8654223,0.48852432,0.7940265,1.2608898,1.1595902,1.186089,1.1532205,0.9972708,1.1878521,1.0000851,0.94702816,1.1297146,0.9281179,1.2273716,1.0072373
ear,1.1193997,0.40877998,1.0001342,1.0479181,0.88693655,0.9100388,0.96159637,1.1390724,1.2238246,1.0519298,1.2976896,0.9188123,1.2565002,1.1532843,0.67049825,1.2468369,1.3363117,1.0834664,1.081034,1.2050753,1.2587469,1.1167495,1.0008991,1.2718688,0.7076006,0.83440256,1.1553553,0.40068638,0.98701906,1.1411059,0.98592573,1.2017052,1.1333463,0.6587295,0.9676754,1.0713391,0.43621373,1.0808513,0.91751224,0.7914942,1.2197995,0.9719135,1.0909978,1.3175082,1.1875461,1.1378489,1.0990463,1.17902,1.114119,0.0,0.62874824,0.8534827,0.7403532,0.6719126,0.3085034,1.1225541,0.7186291,1.1741047,0.3635754,0.8782149,1.0411307,1.1001034,1.1779841,0.33870387,1.0886503,1.068824,0.80020845,0.625919,0.6394415,0.64214903,1.0751976,1.1801873,1.2464433,1.2808954,0.98707396,1.0453713,1.1800796,0.9246228,1.2246168,0.87623006,1.2542326,1.1629082,1.0112083,1.281335,1.1615902,0.6069448,1.2422361,0.57920563,0.31111932,0.73806113,1.2157251,1.018718,1.1574514,0.94671243,1.1474028,1.2415565,0.8308807,0.8272804,0.9149205,0.702348,0.72621596,0.92641574,1.1736202,1.1571858,1.1188772,0.9656866,1.084812,1.2462496,1.1245722,0.742689,1.2466235,0.5156066,1.2352245,1.1015918,1.1798949,1.0960323,1.0369948,0.55684537,1.3297441,1.185098,1.305404,1.169625,0.43516237,1.1961834,0.8761082,0.87619054,1.1944827,1.122443,1.2189571,0.5833886,1.2608273,1.129661,1.2774053,1.0172952,0.24758911,0.80992883,0.8169994,1.2513745,1.0431929,1.3523263,1.2055664,1.2336864,1.159983,0.69140023,1.1214939
