,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tricycle,vacuum,watch,window
corn,1.0912968,0.99991465,0.893706,0.9406943,1.1764631,0.94854975,0.8541794,0.42621094,0.89471215,1.14806,1.1989986,1.0147269,1.1802132,0.80510396,0.96499884,1.0928341,1.1074827,0.81370527,0.9232148,0.86582136,0.9982033,0.7826333,1.139041,0.91608846,0.8575303,1.0321183,1.1930155,1.0590582,1.2843802,1.0196705,1.030805,1.1715726,1.1746979,0.96669376,0.8917896,0.7988322,0.0,1.1888092,0.743991,0.8964093,1.1248008,0.90098876,1.0179733,1.0501038,0.96964574,1.1739173,1.11522,1.152651,0.969002,1.1042665,0.8362015,1.0540048,1.1285709,1.2118407,0.9746023,1.1486534,0.6834397,0.93314433,1.0732093,0.7670974,0.822145,1.0833108,1.2975695,1.1362259,0.798331,1.1168532,0.83210576,1.2412575,0.9208648,1.143182,0.99309635,1.1586117,1.0480233,0.8428271,1.2094611,0.8233189,1.0796261,0.9955587,0.7761083,0.6966932,0.8623148,1.1250776,1.2998571,1.076489,0.78803855,1.0432353,0.80394876,1.0432246,1.2385657,0.8363359,1.1164147,1.2322176,1.2530959,0.98220676,0.6260005,0.887755,0.84675694,0.938072,0.5899175,1.0364994,0.88071114,1.105215,0.8013473,0.7887134,1.0890712,1.0378666,1.130696,0.9931109,0.7950826,0.9141797,1.1964946,0.7166201,1.2581642,0.9507764,1.234419,0.9365684,1.2293704,1.1417245,1.0432162,0.99321854,0.9220872,0.96614516,0.98971766,0.93030566,1.0223403,0.9602772,1.277757,1.122176,1.2244705,0.82618105,1.021994,1.0408636,0.95701665,0.76459086,0.7728715,0.8637372,1.0947723,1.1530503,1.091553,1.146039
couch,0.50794333,1.1805574,1.4190023,1.2135446,0.5858595,1.4062457,1.3986605,1.3985629,0.9871018,0.4966178,0.30498505,1.3576319,0.23214805,1.1292881,1.1890407,0.42135078,0.70035213,1.1764814,1.4201131,1.0774865,0.7301694,1.037483,1.1537766,1.2754692,1.2382076,1.354769,1.0171392,1.0838627,0.8177656,0.8349467,1.3217094,0.5270634,0.9057899,0.975566,1.0720088,1.0942025,1.1888092,0.0,0.8893782,1.4882197,0.5714276,1.3740846,0.86231387,0.7239781,0.88368255,0.7521124,0.86835885,0.7645254,0.9433093,1.1905682,1.4190766,0.9512769,1.2152668,0.6574166,1.1864111,0.8095962,1.315941,1.3656523,1.1431956,1.4691668,1.2967978,0.91802996,0.6528547,1.3577083,1.2160923,0.98298866,1.4738214,0.6973182,0.903857,0.82835263,1.3822863,0.55104184,0.90695894,1.1852838,0.312603,1.3696198,0.6884542,1.3995743,1.0486109,1.2963918,1.0975289,0.7042463,0.8099874,1.1751375,1.0805564,1.3684187,1.2035148,1.3620536,1.2069535,1.2670994,0.6697484,0.45441055,0.43980616,0.9159864,1.2926937,1.5041428,1.5176003,1.04263,1.352688,0.7942357,0.9793613,1.1761861,1.2392316,1.2293656,0.8883349,1.2151918,0.83349967,1.1365149,1.0674498,1.0269842,0.9029546,1.2165575,0.4591385,1.1462564,0.83487475,1.4760301,0.69110185,0.55967355,0.736915,1.4450994,1.4965787,0.92270046,1.0046864,1.508013,1.2707691,1.4662299,0.61528504,0.5428716,0.31983197,1.457864,1.3082484,1.3463103,0.96183914,1.2427521,1.2822831,0.7631712,0.96198153,0.83076036,1.3560901,0.7130573
cracker,0.6249595,1.187602,1.2745228,0.6378464,0.87137777,1.3781691,1.2816607,0.87604755,1.1276231,0.8197541,0.9618614,1.3926609,0.8156043,0.8019471,1.0418812,0.81903183,0.9580815,0.9538452,1.3739483,0.9517164,0.86093545,0.4650185,1.1726906,1.2318155,1.1500497,1.4398744,1.1532682,0.90212995,1.2408909,1.3717245,1.3398416,0.9674504,1.0353698,0.7106351,0.85126716,0.62040925,0.743991,0.8893782,0.0,1.3615769,1.0136898,1.2438666,0.9160702,0.9896017,0.9091115,1.1723696,1.0586962,0.7420437,0.8980421,1.0934255,1.2425125,1.0635903,1.1492932,0.9278195,0.89745975,1.0127602,1.0433466,1.2162968,1.0874311,1.172918,1.0592887,0.938446,0.84732324,1.4343429,0.8747843,1.1075253,0.9708468,0.9273301,0.7488179,0.63523704,1.4590306,0.8076191,0.91275734,1.0763835,0.80432194,1.2173357,0.9830198,1.4777279,0.68796843,0.9441531,0.9524274,0.6778469,1.0125315,1.0033575,0.5004344,1.3455728,1.100872,1.1711348,1.2361777,1.0087911,1.0263954,0.83810425,0.9241168,0.9031596,0.783382,1.3413548,1.302199,0.9875489,0.83722144,1.2537932,0.44486117,1.0591462,0.9442266,0.9237202,0.9805799,1.4135001,1.1855474,0.9921485,0.7088761,0.7979095,0.85359025,1.060814,0.8795069,0.9505996,1.1188476,1.4896818,1.1856439,0.7908194,1.0067817,1.3851309,1.3407061,1.0691769,0.65459776,1.3064315,1.1762795,1.3209217,0.9079916,0.94438857,0.81373256,1.3702635,1.1526148,1.1207305,0.71158326,1.1805068,1.2771583,0.60632,1.0696359,1.2142131,1.327545,1.0919584
crayon,1.5998504,0.54683334,0.3982947,1.1255004,1.4240463,0.5057807,0.51467305,0.70648056,1.0717127,1.536571,1.4297506,0.27815938,1.5457728,0.93445927,0.8052382,1.4494096,1.3246856,0.8253664,0.22929192,1.0741946,1.3993988,1.2578418,0.8652564,0.8085275,0.74315894,0.4607405,0.70359516,0.94131,1.0256026,1.0098403,0.25257516,1.3653028,1.2711687,1.2846541,0.9953184,1.3283625,0.8964093,1.4882197,1.3615769,0.0,1.3982086,0.47279507,1.3515452,1.1957011,1.2691593,1.1767075,1.2037773,1.4137472,1.0392992,0.8777478,0.59252805,1.0218657,0.94206685,1.3666773,0.77235603,1.2286655,0.4846844,0.34293187,0.7840701,0.3628809,0.8072839,1.2222791,1.4698403,0.21443081,1.0075766,1.0586317,0.45338404,1.3254125,1.3308027,1.3678412,0.40797698,1.5369906,1.189054,0.9342263,1.4724035,0.55847645,1.1626326,0.2953279,1.1497426,0.85055554,1.1937099,1.5136884,1.2430978,0.9870894,1.2081997,0.16980016,0.6077592,0.7093727,0.7946269,0.8545034,1.3185097,1.5215154,1.4496487,1.1544328,0.98313236,0.16748548,0.20159751,1.1742777,0.7783332,0.81675637,1.3035628,0.6545375,0.80802524,1.0291213,1.2565515,0.48933452,1.1113946,0.91752136,1.1449007,1.1927255,1.357709,0.8760953,1.5275629,1.1257054,1.1552486,0.35510778,1.2077146,1.5533949,1.2963092,0.12404561,0.28091455,1.0461462,1.2064598,0.43739247,0.7661954,0.3021214,1.3745794,1.3685029,1.591242,0.48249835,0.58997196,0.28858387,1.1536127,0.60851693,0.59878874,1.4460196,1.0229107,0.82969683,0.22314507,1.1827921
crib,0.710659,1.2908202,1.420272,1.2749261,0.74597704,1.3553054,1.2821128,1.2716026,0.28259957,0.5540414,0.19833094,1.3786163,0.5181868,1.1132936,1.3253944,0.62175554,0.5783279,0.9022037,1.2982616,0.8716686,0.44293553,1.2200602,1.1418365,1.0526762,1.1305459,1.2044842,1.0882628,1.3175466,0.9351418,0.7345462,1.2737998,0.37616652,1.0187254,0.96741664,1.125101,1.0771481,1.1248008,0.5714276,1.0136898,1.3982086,0.0,1.2248489,0.8574891,0.7672685,0.8314493,0.6712535,0.71767366,0.8699285,1.2428727,1.3197727,1.285051,1.047564,1.1212415,0.8586604,1.3732207,0.66554904,1.4268904,1.2725966,1.4033579,1.3953454,1.280049,0.81203,0.67582166,1.4015126,1.2387202,0.8101492,1.4626815,0.9015896,0.918382,1.013779,1.4166608,0.5017642,1.0697813,0.97507,0.8552985,1.1398065,0.7271013,1.2524755,0.9776649,1.1376615,0.8841574,0.9051698,0.7423439,1.1979005,1.1614132,1.3843708,1.282962,1.3184791,1.3613467,1.2379243,0.6060905,0.66355664,0.890963,0.8481571,1.1479652,1.3270766,1.3583674,1.1859205,1.3815849,1.1695557,0.90770125,1.2002543,1.0209532,1.0150745,0.8718471,1.1671932,0.61206776,1.3013602,1.1255281,0.9202089,0.8756131,0.9160442,0.7273728,1.186415,1.1699458,1.3234363,0.64990634,0.62485266,0.47767878,1.4832857,1.4761198,1.0969563,1.1820667,1.4260509,1.1283442,1.3341196,0.83655554,0.77992386,0.4544841,1.3217939,1.4737111,1.4707932,0.8361657,1.1589432,0.90291595,0.6542792,0.917332,0.88222665,1.4331467,0.620633
cup,1.5167716,0.82560414,0.574221,1.0049204,1.4008106,0.5457086,0.47660446,0.766461,0.8483602,1.1940322,1.3997736,0.6393504,1.3429182,0.9877336,1.0064268,1.44436,1.2810707,0.83809954,0.25611138,0.5840383,1.1601055,1.1126858,1.0362713,0.30137837,0.8267486,0.4117617,0.90357983,1.1220686,1.2099435,0.8379017,0.6334777,1.277776,1.2190682,0.9568148,1.1243573,1.1184809,0.90098876,1.3740846,1.2438666,0.47279507,1.2248489,0.0,0.87393725,1.184756,1.1682339,1.1166229,1.0910478,1.3503072,1.1544621,1.0742148,0.56594163,1.2023832,1.0234008,1.3392612,0.97078276,1.2440369,0.6348645,0.57255167,1.0233328,0.6346627,1.0147035,1.1951505,1.1958324,0.6713058,0.89329684,1.1827285,0.6121233,1.3448607,1.2012659,1.3236046,0.54428434,1.2718792,1.221296,0.48753524,1.4172623,0.77014035,1.0766051,0.47165066,1.062053,0.70617443,0.6117228,1.3012779,1.2465155,1.1502213,1.1937175,0.54142034,0.73625046,0.9537015,1.0303098,0.7914353,1.1201514,1.459543,1.4095217,1.1268802,0.90084845,0.55923706,0.6011204,1.0123677,0.89222294,0.9989637,1.232302,0.8888322,0.6223881,0.9742878,1.1056527,0.65278816,0.9018719,1.1023835,1.0561882,0.87927264,1.3690454,0.9159197,1.453886,1.041887,1.1571699,0.5649552,1.1610439,1.1385548,1.2830108,0.5620117,0.37321794,1.061798,1.0162287,0.59721255,0.8840244,0.53634703,1.320898,1.3011696,1.2848804,0.45753652,0.9088922,0.6888208,1.1456704,0.7658435,0.63305664,1.1179186,1.1064054,0.89093816,0.62485486,1.1140574
dish,0.83448225,1.211679,1.237212,1.0145034,0.89459443,1.116431,1.1331966,1.099868,0.9284844,0.50919497,0.89380467,1.3004694,0.8161591,1.0909865,1.2001672,0.8180758,0.8613555,1.0946596,1.3482614,0.5654402,0.85542977,0.8496402,1.1228588,0.9435548,1.17857,1.2426305,1.1619983,1.0475397,1.0979178,1.0252192,1.2423415,0.83307356,0.99634326,0.68939114,0.9882513,0.8515769,1.0179733,0.86231387,0.9160702,1.3515452,0.8574891,0.87393725,0.0,1.1150928,1.1283538,0.98222023,0.7831592,1.0608104,1.0572269,0.9558052,1.0964341,1.095479,0.9139963,0.96999025,1.12802,0.98189807,1.1414177,1.3777875,1.1743053,1.17215,1.2730005,0.88636535,0.75089604,1.3092824,1.0567061,0.98715633,1.1581362,1.0328841,0.8598516,0.92529124,1.315639,0.71836746,0.9637873,1.0452857,0.8678424,1.156283,0.9659804,1.1527269,1.004965,1.0445521,0.80918014,0.80181855,1.0638087,0.8984848,1.0564517,1.3112231,1.015176,1.1573805,1.1488006,1.0254989,0.9084469,0.94062936,0.89726937,0.88134444,1.0233644,1.3356502,1.3248059,1.0637155,1.1204302,1.132735,1.0316184,1.313051,0.80610925,1.082941,0.9765624,1.2102726,1.1066179,1.2568426,0.9401651,0.8405409,0.97669595,0.9271462,0.9558316,1.033397,1.0361109,1.2621493,0.88141376,0.4323995,0.83542114,1.3320444,1.3122835,0.93410057,0.8261931,1.2190032,1.0325401,1.3455554,1.0375137,0.92076564,0.68712753,0.898392,1.2344879,1.267232,0.9320139,1.1367109,1.2094196,0.61124176,1.0908171,1.1963024,1.3355674,0.8455175
dog,0.62757874,1.2879015,1.1554725,1.1860201,1.0133353,1.1145008,1.0636462,1.0455515,0.88652843,0.9557974,0.72244465,1.2243189,0.7982849,1.0370989,0.9029344,0.78046954,0.825413,0.9532846,1.0921663,1.0320559,0.8798252,1.0817425,1.0742236,1.0506737,0.9797562,1.193561,0.8507804,1.122299,0.8090961,0.94369483,1.1711485,0.90142196,1.1024916,1.0705053,1.1876149,0.954529,1.0501038,0.7239781,0.9896017,1.1957011,0.7672685,1.184756,1.1150928,0.0,0.6776446,1.023991,1.0810165,0.8397955,0.96012795,1.2711185,1.0840162,0.89634466,1.1286328,0.9363533,1.3147085,0.98205006,1.0711762,0.9108509,1.2670594,1.1695266,0.73073536,0.96203077,0.86315185,1.1910672,0.82445854,0.8189025,1.1365019,0.913013,1.0306706,1.1238701,1.0203298,0.8239158,0.9857235,1.0094874,0.857672,1.0330602,0.9385577,1.1097662,0.9944345,0.99421483,1.1396941,1.0132886,0.7341886,1.2540885,0.9567469,1.1977458,1.0537779,1.2929285,1.2159541,1.1012954,0.91882956,0.8156772,0.8892666,1.008523,1.0305281,1.132425,1.1616107,0.9088081,1.1781148,0.9497508,0.8717457,0.7243836,1.024028,0.9353669,0.8219007,1.1275492,0.8774231,0.7333917,1.1313323,0.99992955,0.99973136,0.9756958,0.86057585,1.0557836,1.1044476,1.1679466,0.9763241,0.98272395,0.83267426,1.1796749,1.2022979,1.0483087,1.185508,1.0871396,1.0630074,1.0890938,0.8235339,0.8992595,0.7893442,1.0806097,1.3149748,1.201654,1.0558625,0.9825212,0.80099636,0.9697192,0.7342457,1.0006092,1.1688472,1.0303243
doll,0.76874685,1.1751816,1.1423179,0.99403226,0.8636427,1.1083323,1.0309973,1.0319098,0.94763446,1.1305315,0.81383705,1.293478,0.93048227,0.9431975,0.91720104,0.85445887,0.7993809,0.8726575,1.1775246,1.0715158,0.8107656,0.90685177,1.2172008,1.0076449,1.1488856,1.2274829,1.1683412,0.9562145,1.3257834,0.9477507,1.2382658,1.0325056,1.0571852,1.1410602,1.1648703,0.7106612,0.96964574,0.88368255,0.9091115,1.2691593,0.8314493,1.1682339,1.1283538,0.6776446,0.0,1.1985654,1.1660261,0.7939447,0.89407086,1.0748209,1.003832,1.227004,1.0866627,0.8458576,0.96531266,0.91145104,1.2764192,1.0493404,0.98242825,1.2766714,0.6877253,0.8449551,1.03436,1.3084803,0.61705625,1.0175867,1.0440112,0.9270359,0.79281944,0.7409392,1.011612,0.80098975,0.90799147,0.9439704,0.9520516,1.1347157,1.0468732,1.3622335,0.93796855,1.0034684,0.8687647,0.6932226,0.8309805,1.0478405,0.7753073,1.2288225,1.232799,1.1033543,1.132498,0.85903907,1.0830971,0.7755717,1.020613,0.9594324,0.8387879,1.2118974,1.1641859,0.82194,1.0140723,1.1931951,0.7894902,0.9454915,1.1558387,0.6812083,0.7748586,1.3158108,1.1580107,0.84658104,1.1437118,0.87877065,0.8381029,0.9216932,0.7882664,0.8253164,0.9604194,1.2614458,1.2681017,1.1638657,0.9416941,1.2488422,1.1813201,1.043744,1.1660252,1.1955172,1.0961013,1.150044,0.8575109,0.86532116,0.9990978,1.1515318,1.0293052,1.2332343,0.72876143,1.0800503,0.6052805,0.96131045,0.8389066,1.1768507,1.2279916,1.190929
door,1.0256516,1.0328766,1.2598264,1.1651211,0.941,1.2131976,1.130688,1.2722795,0.83149606,0.78283304,0.7647937,1.0864271,0.7630501,1.2558348,1.0963821,0.9968244,0.9960496,1.1607677,1.0513264,1.1473233,0.90914285,1.2674315,0.79324913,0.9715959,0.98195004,0.82573366,1.0200498,1.2258186,0.7643476,0.74031264,1.128167,0.39141154,0.8448758,1.0377324,1.0459648,1.1504314,1.1739173,0.7521124,1.1723696,1.1767075,0.6712535,1.1166229,0.98222023,1.023991,1.1985654,0.0,0.39184475,0.9321974,1.103601,1.1009086,1.2281809,1.0009164,1.1099106,0.88641685,1.1847234,1.0110997,1.1891998,1.1561623,1.17881,1.1388922,1.2068199,1.1125673,0.795769,1.0718918,1.3214369,1.0854086,1.3928895,0.84916586,1.1207981,1.0542556,1.1605374,0.8698325,0.8856392,0.98530334,0.8839425,1.038086,0.5408153,0.8343448,1.0656741,1.1455804,0.882208,1.0816057,0.83570653,1.0840861,1.1923014,1.1696724,1.0909388,1.0336167,1.0700629,1.2765528,0.5613898,0.9183062,0.8216107,0.9945012,1.195164,1.1429132,1.1466497,0.9967173,1.2743013,0.91332906,1.1622052,1.0835285,1.1909008,1.2061841,0.9937447,0.9793679,0.34099817,1.0795497,1.0761862,1.0842572,1.0384046,1.0835736,0.8309889,1.0681931,0.9436875,0.9322245,0.36276257,0.82939744,0.99560285,1.2088268,1.0728958,0.9717006,1.1824892,1.1360004,0.9200974,1.1956503,0.78201663,0.9323551,0.7802034,1.2230682,1.1885388,1.243526,1.0330423,1.0484724,1.2335356,1.0850981,0.9352462,0.62515926,1.1833223,0.62772703
drawer,0.9913585,1.0489514,1.2398186,1.102328,0.91660666,1.1238887,1.1013651,1.1950496,0.781464,0.6399383,0.8603302,1.113176,0.7109563,1.2957722,1.0337929,1.0175359,0.91653836,0.9768411,1.1867433,0.90785414,0.7632789,1.1684833,0.94953036,0.9591751,0.94703805,0.9775509,1.0007397,1.2129472,1.0231768,0.78657544,1.138488,0.58029115,0.93160015,0.8819055,0.9705824,1.0601157,1.11522,0.86835885,1.0586962,1.2037773,0.71767366,1.0910478,0.7831592,1.0810165,1.1660261,0.39184475,0.0,1.0787888,1.018235,1.1327975,1.1364243,1.1588575,1.0824533,1.0383626,1.1155202,1.0341837,1.0818784,1.2048796,1.2614406,1.0270282,1.1168358,1.0001869,0.8763363,1.1904248,1.2849435,1.1362988,1.2765343,1.0744371,1.1194174,0.9842447,1.2584807,0.8198516,0.9749311,1.0262834,0.9782834,0.8541847,0.6635422,0.8569353,1.0328614,1.0526102,0.86153615,1.0090514,0.96598405,1.02916,1.1111133,1.2613832,1.0258478,1.096092,1.1904134,1.1224489,0.45319355,1.0467383,1.0112364,0.8508119,1.0488439,1.095855,1.0900657,0.92675334,1.2221136,1.0035411,1.1173123,1.0965897,1.0129976,1.1973871,0.8867476,0.86766976,0.5371055,1.0665115,1.1270947,0.9220343,1.0407135,0.90251446,0.99707246,1.0916172,1.0610338,1.0449849,0.665284,0.6233785,0.9430316,1.2658925,1.1845119,1.0000558,0.999037,1.0913861,0.8275368,1.2651473,0.9464114,1.0552454,0.73238665,1.0449725,1.2422261,1.273602,0.97418356,1.1034682,1.1933123,0.8353572,1.0582252,0.7864063,1.2941891,0.71865237
dress,0.7021939,1.1286128,1.3715945,0.94710016,0.6581278,1.4279413,1.3761046,1.2724174,1.086546,0.88763463,0.8317156,1.3219455,0.7597549,0.6787499,1.1705251,0.6749836,0.94328564,1.1846704,1.2847975,1.2148768,0.9387574,0.96025646,0.9048641,1.2292138,1.2689241,1.2534568,1.1353228,0.98659027,0.94192255,1.0911834,1.3736643,0.8347616,0.6248095,1.0554739,1.0686829,0.93274605,1.152651,0.7645254,0.7420437,1.4137472,0.8699285,1.3503072,1.0608104,0.8397955,0.7939447,0.9321974,1.0787888,0.0,1.0693077,0.9918821,1.3683187,0.8357507,1.124572,0.750136,1.042515,0.9147536,1.422517,1.2137767,0.9584118,1.3858426,1.2397074,0.9500835,0.85196316,1.310191,0.96268445,0.99689925,1.2621014,0.70617276,0.93414307,0.76039106,1.3134068,0.7506364,0.8068739,1.0805352,0.55029076,1.3087922,0.87592,1.439937,0.9675981,1.2045382,0.9924467,0.66816497,0.80874175,1.0697745,1.0100307,1.331664,1.2269646,0.94727635,1.1792855,1.2369475,0.9121199,0.3256412,0.55890656,0.9974525,1.1481726,1.4022747,1.3894322,0.977308,1.0942086,1.1073606,0.63388497,1.0843922,1.2694354,1.0031893,0.7987566,1.2981598,0.91006505,1.0331502,0.9678516,1.0476818,0.41160882,1.2481596,0.34792912,0.9623315,0.6485999,1.3124061,0.8822794,0.9244948,0.99262094,1.3734245,1.2922369,0.9397156,1.0394255,1.3244629,1.1471825,1.273859,0.7340965,0.53036344,0.7978808,1.4821246,1.0964735,1.2368388,0.90354043,1.1306608,1.3156691,0.9725943,0.89575475,1.0126263,1.2612295,1.0016186
duck,0.9498013,0.8963065,0.9837056,0.91883135,1.1228597,1.0342878,1.0922451,0.9799641,1.2625091,1.0911074,1.1082234,0.99193925,1.0476015,1.095411,0.18006063,1.082647,0.96697706,1.0693918,1.1239815,1.263447,1.1568334,0.8264175,0.9480758,1.1050085,1.0861228,1.1140015,0.84904045,0.70302206,1.1531522,1.1927253,0.9247741,1.1318069,1.0659709,1.0876228,0.96292394,0.8963357,0.969002,0.9433093,0.8980421,1.0392992,1.2428727,1.1544621,1.0572269,0.96012795,0.89407086,1.103601,1.018235,1.0693077,0.0,0.89707613,1.0156908,1.1134062,0.9684665,0.91550004,0.91617113,1.0223657,0.9486634,1.0088788,0.76785314,0.9507297,0.5859913,1.0986828,1.145853,1.0554607,0.97625375,1.0818874,0.81404513,1.0026487,0.96170413,1.0715749,0.9277491,1.0032065,0.97593373,1.1780186,0.8974241,1.1136124,0.94530994,1.1178079,1.2253811,1.1762364,1.0698923,1.0278126,0.9744707,0.9621751,0.8613922,1.0106251,0.9907437,1.1225901,0.9076449,0.8929703,1.174742,1.1897383,0.90926063,1.1140639,0.92898846,1.103401,1.0941453,0.703989,0.89006263,0.9976859,1.1894912,0.8205314,1.1730865,1.0232342,1.0620427,1.0567988,1.1899467,0.2545228,1.0802201,1.1272894,1.175061,1.1161542,1.0677421,0.82205737,0.9385175,1.1717954,1.1254313,1.1051701,1.1209096,0.8935178,0.96473724,1.0247228,0.9267878,1.0365245,0.92359096,1.1065619,0.7861329,1.0398355,1.1076326,0.9990381,0.8371358,0.83891904,1.2055954,1.1098312,1.0108384,1.1465695,0.95134646,1.0617777,0.9285879,1.1973865
ear,1.2136538,0.79068017,0.8811213,0.7057147,1.089608,0.9842518,0.99765867,1.1672008,1.3174224,1.2716974,1.2741838,0.86335456,1.2944113,1.0873407,0.933816,1.174279,1.2369975,1.2488859,0.9731856,1.3150221,1.3702147,0.9608043,0.8326369,1.151163,1.0579753,0.91348755,1.0767457,0.6321209,1.0514944,1.1776983,0.97204214,1.221283,0.8762048,1.1577065,0.79388165,0.9994026,1.1042665,1.1905682,1.0934255,0.8777478,1.3197727,1.0742148,0.9558052,1.2711185,1.0748209,1.1009086,1.1327975,0.9918821,0.89707613,0.0,0.96811336,0.9076086,0.8836955,0.87973595,0.49598235,1.1123677,1.0699637,0.9517952,0.4187765,0.9833544,1.0482076,1.1216205,1.1230869,0.6397159,0.94671535,1.0907803,0.8076071,0.76017356,1.1672039,0.6842391,0.7835963,1.2045261,0.8473814,1.2113388,1.005434,1.0800476,1.2068024,1.0611166,1.1855383,1.1457212,1.149417,0.9119575,1.063945,0.4544841,0.93682885,0.75667495,1.103161,0.46120715,0.61667246,0.89694387,1.2412559,1.0976776,0.9883998,1.1326092,1.052473,0.9387217,0.8592383,0.905047,0.873469,0.97551537,1.0945451,0.9684943,1.274697,0.9668801,1.0607191,1.0319121,1.2307771,0.92223454,1.1474501,1.1801772,0.90386176,1.1847814,1.0546619,0.6759738,0.71733737,0.82130677,1.1534216,1.2734088,1.246252,0.7324733,0.7701615,0.99836296,1.0541592,0.8038583,1.0206608,0.892625,0.91822076,1.1034204,1.3564845,1.0914237,0.32338446,0.677544,0.94885063,1.107838,1.1988523,1.3773468,1.0726885,1.0892669,0.6391096,1.15128
egg,1.4671675,0.93932533,0.38800263,0.89004266,1.3319232,0.22147918,0.21200895,0.67409396,1.0449679,1.3639888,1.362777,0.75712097,1.5001082,0.97467965,0.8498543,1.3737919,1.3003145,0.94151497,0.5478226,0.86545587,1.2704241,0.9489783,1.1500288,0.70778716,0.82190776,0.77015436,1.0415435,0.9366816,1.2268509,1.0528402,0.7155647,1.3855042,1.2331316,1.0473093,1.0927,1.0312595,0.8362015,1.4190766,1.2425125,0.59252805,1.285051,0.56594163,1.0964341,1.0840162,1.003832,1.2281809,1.1364243,1.3683187,1.0156908,0.96811336,0.0,1.1689887,0.78082967,1.2222471,0.7871154,1.2412729,0.57702005,0.662042,0.97470987,0.66684926,0.8079939,1.1221049,1.2003417,0.7446302,0.8437186,1.1487632,0.40774643,1.238827,1.1338704,1.2300425,0.5082049,1.4085095,1.2797189,0.86658823,1.4334433,0.7821826,1.2905998,0.6044172,1.0983593,0.6472914,0.9754672,1.3362603,1.2956028,0.9581516,0.9640915,0.53875697,0.7770013,0.8542416,0.8383181,0.2939791,1.3038563,1.403955,1.4140797,1.1336695,0.7695004,0.62010443,0.600355,0.85670346,0.70805585,1.032439,1.136702,0.95118934,0.75019103,0.5720333,1.1763656,0.85654485,1.1833692,0.93880415,1.0523676,1.0354007,1.272881,0.9973077,1.4428344,0.9127831,1.2000138,0.70086277,1.2840298,1.3197482,1.2239369,0.60914516,0.45166314,1.0629096,1.1229042,0.62477034,0.91230255,0.50825125,1.3976536,1.2352695,1.435821,0.46109724,0.72193515,0.6317519,1.2056675,0.79856527,0.5633688,1.1737883,1.1007309,1.2209245,0.6732656,1.2522418
elephant,0.904359,1.0724099,1.1383696,1.0692794,0.98136884,1.0704314,1.133757,1.0993031,1.1391823,0.9936972,0.9508773,1.0075237,0.9752614,1.0155766,1.1270787,0.84871936,1.0191954,1.2994169,1.0269586,1.1874926,1.2314727,1.1680465,0.7050911,1.1718936,1.060262,1.031627,0.9056638,1.0640029,0.410401,1.0365239,1.026513,0.9687182,0.79577357,0.9564058,0.8999604,1.053626,1.0540048,0.9512769,1.0635903,1.0218657,1.047564,1.2023832,1.095479,0.89634466,1.227004,1.0009164,1.1588575,0.8357507,1.1134062,0.9076086,1.1689887,0.0,1.0723279,1.0579451,1.0395391,0.8779734,1.0242765,1.0338494,1.0204835,1.0233843,1.1202072,1.1025982,0.940118,0.89519423,1.0660299,0.8171942,1.1967278,0.82403576,1.1404232,1.049396,0.99741083,1.0577121,0.9203911,1.1050706,0.878613,1.0835974,1.0318714,0.9483797,1.0092905,1.0913831,1.181969,1.0681998,0.9915257,1.035465,1.0615069,0.9984116,1.0156381,0.8968419,0.93386734,1.2330923,1.0507216,0.8485652,0.7946958,1.0437025,1.0589578,1.041353,1.0486288,1.162313,1.1195552,0.817821,1.0249954,1.0414801,1.1689618,1.1213534,1.1511729,0.98938656,0.949367,1.0679983,1.0052539,1.2228644,0.9127531,1.1087662,0.900434,1.1994753,0.88860995,0.950198,0.7210542,0.9909328,0.91895914,1.0105424,1.0932107,0.9193757,0.983679,0.98257416,1.0242672,1.0132226,1.0339847,0.8993553,0.9477682,1.175276,1.0055354,1.0157205,1.1018023,0.97467786,1.2462622,1.1631798,1.0313357,0.9743044,0.9554209,0.84799445
