category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist,mean_bv_to_bv_centroid,n_bv,local_rank,global_rank,rank_shift_local_minus_global,embedding
pajamas,221,5,5,16.326686509693168,4.861602479015849,15.165590862506566,5.243254292653929,3041,31.0,14.0,17.0,clip
vacuum,218,5,5,16.483574616574092,5.207512606142338,15.230894396656446,5.21764608664646,4433,30.0,17.0,13.0,clip
sock,203,5,5,16.526390982647307,5.3916953995682215,15.379949661203288,4.884327504075064,3368,29.0,54.0,-25.0,clip
grass,64,5,5,16.58526466885836,7.9720906308305635,13.52429781525598,5.243666169192096,3803,28.0,13.0,15.0,clip
tray,242,5,5,16.620783694335575,4.821123453008624,15.29223962396593,5.672396443816743,10348,27.0,3.0,24.0,clip
foot,158,5,5,16.723429505856966,5.173448431558874,15.996315059875508,4.373571527435756,728,26.0,71.0,-45.0,clip
necklace,193,5,5,16.99530633690921,5.312823996590355,16.243370530099142,4.621759079659563,3668,25.0,64.0,-39.0,clip
eye,76,5,5,17.027053379794108,4.089214205348278,16.504351243123278,3.700637851804325,182,24.0,82.0,-58.0,clip
car,200,5,5,17.83150331736413,5.130479971285985,17.042241969713405,5.1434887522923125,2323,23.0,25.0,-2.0,clip
closet,171,5,5,17.834283554647406,5.300728054002222,17.37361266227188,4.887897298176813,1529,22.0,53.0,-31.0,clip
flower,189,5,5,18.28640306555041,5.61376428465517,17.896633709456893,4.528145048366781,6433,21.0,67.0,-46.0,clip
doll,204,5,5,18.53070567760174,5.1903308918241535,17.54611629225527,5.401425983117438,3809,20.0,6.0,14.0,clip
sweater,133,5,5,18.64063797702482,5.114968958034973,17.193524446349436,5.027096618047281,989,19.0,37.0,-18.0,clip
face,154,5,5,18.86884572650476,5.248444092855852,17.49064197875579,4.858215003335437,557,18.0,55.0,-37.0,clip
dress,124,5,5,19.019746492132647,4.960686210058033,17.943805835490785,5.109910624232357,1087,17.0,29.0,-12.0,clip
jacket,181,5,5,19.34650531520343,5.070267480814302,18.79504871230477,5.152338633799328,1252,16.0,24.0,-8.0,clip
