,alligator,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,couch,crayon,crib,cup,dish,dog,doll,door,drawer,dress,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,jacket,knife,ladder,lamp,milk,mitten,nail,napkin,necklace,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shower,sink,slipper,snow,soap,spoon,strawberry,stroller,sweater,table,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
bib,0.70651436,0.64678556,1.0002215,1.2550474,0.8940017,1.2015146,0.87628245,0.6697719,1.1300132,0.8763617,0.0,1.1745303,0.6148365,0.72619545,0.9057091,1.4170234,1.0727011,0.9071035,0.8266882,1.0372093,1.3251207,1.295404,1.403399,1.2676926,0.76896083,1.1136695,1.0406059,1.3862351,1.0610971,1.1988746,0.7496246,1.422096,0.85296786,1.2048128,1.07006,0.89946383,0.7464481,1.0931867,1.0568386,0.7540088,0.71888816,0.9670073,1.3136218,1.1205302,1.126862,1.061733,0.82726,1.2735659,1.0233626,1.0373818,0.8027041,1.2281905,0.92023593,1.3210185,0.69758683,1.0813012,0.8103485,1.4514308,0.94869035,0.7713952,1.3240188,1.2916788,1.0211809,1.1723055,0.46233797,0.7072381,0.6289905,1.3973145,1.2680249,1.0924615,1.0193193,0.9770408,1.0596303,1.0482527,1.2331858,0.90083086,1.1027229,0.8610979,1.0552297,0.46055043,0.94445693,0.8979629,0.8890463,1.376328,0.8730233,1.1868103,1.1221464,1.3323438,0.8948816,0.791078,0.793753,1.1040614,1.2901695,0.914411,1.3678555,1.1879449,0.9083064,1.0179498,1.3694634,1.3246641,0.92659944
bird,1.2136395,1.3170785,1.0546083,0.9143939,1.1007011,0.8610902,1.1769179,1.2789861,1.0342785,1.2832975,1.1745303,0.0,1.2932757,1.3527064,0.9374677,0.7114489,1.1119553,1.1081676,1.1954353,1.1661805,0.87070996,0.40384114,0.83946383,0.8495287,1.0957469,1.1200873,1.1505558,0.66452646,0.9501963,0.95400745,1.2779866,0.7487958,1.2364098,1.0070922,1.0386957,1.0009851,1.0494429,1.0618557,1.0430385,1.041607,1.0549582,1.1543866,0.6761986,0.7882304,0.78472036,0.86075497,1.1921351,0.87045777,1.0868301,0.96723986,1.0564232,0.8354895,1.1210866,0.8394735,1.2203734,0.97889864,1.1443284,0.64042205,0.96930766,1.2215791,0.90237147,0.80952936,0.9035915,1.0548887,1.3368056,1.1609472,1.1451391,0.80135244,0.8499994,0.81269324,1.139922,0.9982855,1.0935065,1.1393167,0.6762338,1.1037827,1.0148017,1.1171527,0.8301519,1.2209868,0.9807296,1.2869942,1.1953211,0.7909109,1.0854732,0.790307,0.8231796,0.729361,1.2347498,1.0801344,1.2067097,1.0223905,0.7850281,1.0015756,0.8522753,0.8454503,1.186,0.88009274,0.83237535,0.8569579,1.1197103
blanket,0.6754066,0.6568738,1.0369779,1.2251215,0.90159273,1.1744602,0.8287032,0.16509563,1.0594463,0.7310667,0.6148365,1.2932757,0.0,0.6560172,1.0395855,1.4779761,1.044193,0.9512146,0.7412749,0.89578545,1.3255403,1.3915675,1.4071512,1.1650344,0.879315,1.1059691,0.6527207,1.4631479,1.1298251,1.1638079,0.39404666,1.5009013,0.6900934,1.3445122,1.0899861,0.9270199,0.8087947,1.0195147,1.0525781,0.82880247,0.9753723,1.1011637,1.3344023,1.0384998,1.303599,1.0295956,0.797888,1.3859468,0.8821304,1.1754035,0.9367371,1.3504727,1.0891927,1.339551,0.5864533,1.2322366,0.8289698,1.4563444,1.1107156,0.7486023,1.334517,1.0278434,1.0437475,1.0715718,0.31568873,0.7992613,0.8493884,1.3799089,1.3845204,1.2085729,0.80491734,0.8888539,1.0708319,0.8307078,1.2553064,0.86765516,1.2500855,0.6072153,1.159312,0.6195515,0.9475629,0.622428,0.8529327,1.3427303,0.536843,1.3456132,1.2932954,1.3796653,0.72252804,0.9087445,0.77122194,1.1888144,1.3179214,1.0717847,1.0965436,1.106101,1.0722299,1.0473299,1.4046019,1.4081893,0.8128203
boat,0.71484697,0.5035657,1.1009316,1.217681,0.8868047,1.2650079,0.8788701,0.62425905,0.96837056,0.8754452,0.72619545,1.3527064,0.6560172,0.0,1.121083,1.4641235,1.0956488,1.0686278,0.7933894,0.8939443,1.2691486,1.379308,1.2970912,1.1956594,0.9845677,0.9604266,0.70112395,1.432586,1.1770201,1.0579557,0.5592215,1.4004251,0.6693523,1.1040747,1.0943775,1.0179436,0.89218694,1.0685148,0.82774895,1.0820683,1.004126,0.8115707,1.2555788,1.3161724,1.2882793,1.1182591,0.6987877,1.2505947,0.8561568,1.2148594,0.7874191,1.0974702,0.9520231,1.2160594,0.8289191,1.1692505,0.7487227,1.4977559,1.1006352,0.6546227,1.1152662,1.1505704,1.0736185,0.9671118,0.5843795,0.6057168,0.9044336,1.2961531,1.2163279,1.1671138,0.86513525,0.9727147,1.1037276,0.8988914,1.2816924,0.97637415,1.135117,1.044024,1.0844375,0.4903944,0.8910478,0.73922086,0.900578,1.2007899,0.84571594,1.2103007,1.2427616,1.2724649,0.62695694,0.8757235,0.86639404,0.9466826,1.1889074,1.0085359,1.3074477,1.2822288,1.0511528,1.1259265,1.2908555,1.2306757,0.89551216
book,1.0959331,1.0916642,0.9891098,0.98224175,1.0784794,0.8146057,1.0132443,1.0890408,0.93147707,1.0583252,0.9057091,0.9374677,1.0395855,1.121083,0.0,0.9948343,1.0643508,0.52834684,1.0646173,1.1959434,0.98592013,1.0024935,0.89882815,0.964736,1.0392282,1.2280266,1.1884683,0.9958668,1.128463,1.0684301,1.1984736,0.79869795,1.2045664,1.1011362,1.0791245,1.0898074,0.81979597,1.0672543,0.88972974,0.89320946,1.0552607,0.99814767,1.1254535,0.9041248,0.8051206,0.8278749,1.2102971,1.0504973,1.0952504,0.6352472,1.0403836,1.0331943,0.9443239,1.0496808,1.0236648,0.6691383,1.2308946,0.9437346,0.9036425,1.1242857,1.1589146,1.0252122,0.7685106,1.0206535,1.1056969,1.1128494,0.43371618,0.9761767,0.75934803,1.039819,1.1505522,1.0125176,1.0723027,0.8569775,0.9198805,0.7878578,1.1368036,1.1054306,0.64073503,1.0855359,0.91029483,1.295573,1.0311222,1.111191,1.0494787,1.10793,0.88400596,1.115833,1.2004343,1.1082343,0.87123966,1.0145129,1.0648122,0.9456909,1.0147257,0.8061265,0.7779561,0.852237,1.0456251,1.1034079,1.0439848
bottle,1.3204939,1.4831893,1.024449,0.74037874,1.2179507,0.75306314,1.3969377,1.4691956,0.8880113,1.3247527,1.4170234,0.7114489,1.4779761,1.4641235,0.9948343,0.0,1.1210183,1.1739185,1.282692,1.2435557,0.36742675,0.49842727,0.5024346,0.6622493,1.1737922,0.9689201,1.2128478,0.33598256,1.0090412,0.90794104,1.4507457,0.39263213,1.4233431,0.5844312,1.1383142,0.930498,1.0701292,1.0709504,1.1952438,0.9777908,1.0960108,1.1762546,0.45779407,0.6465111,0.9773836,0.86892337,1.2102993,0.47670877,1.0243345,0.78016347,1.1817749,0.61228466,1.127341,0.3491249,1.286161,1.0127025,1.3267782,0.4043548,0.9518663,1.298197,0.5836541,0.93885064,0.89688724,1.0068483,1.4863392,1.3411963,1.3991538,0.42633998,0.5553137,0.9787385,1.1026253,1.1302317,1.164476,1.131598,0.55999994,0.96779835,0.8063514,1.2769486,0.98019284,1.4387785,1.0462964,1.3724067,1.3958553,0.4944448,1.1834254,0.7853116,0.8628602,0.35311866,1.2808796,1.2464212,1.4248362,0.8753131,0.7138674,1.1149637,0.6076769,0.6194584,1.1473892,0.8844472,0.51149774,0.4139638,1.2043066
bowl,1.1125958,0.9345304,0.8388469,0.96309984,0.9520762,1.0518386,0.6003011,1.019676,1.2678789,0.9687448,1.0727011,1.1119553,1.044193,1.0956488,1.0643508,1.1210183,0.0,0.94285697,0.9107554,0.9450695,1.106112,1.1255095,1.0377785,1.0931715,1.0389018,1.1424015,1.0801388,0.97935396,0.90021026,1.1507943,1.0576305,1.2082402,1.0283196,0.6587754,0.22612983,1.1018395,1.0803206,0.9380793,1.067813,1.0179455,1.0106374,0.88446796,1.0104593,1.0665987,0.89555955,1.0356222,1.072814,1.1100432,1.1113323,0.9487293,1.0198468,1.1571494,0.72953904,1.1489016,1.1036686,1.0085729,1.125418,1.0763869,0.9964953,1.0343153,1.0156051,0.9408431,1.2412564,1.1366463,1.0795145,1.0669633,1.0087382,1.1717286,1.1750578,0.911769,1.1754277,1.0525597,0.06504631,1.0377367,1.0765952,1.2156329,1.1243316,1.0076624,1.1611884,1.0796131,0.95484596,0.98100454,0.4850546,1.1646751,1.1079173,1.0195493,1.0124437,1.2269995,1.0195647,0.9620635,0.5910735,1.0793996,1.1896088,1.1307731,1.1009088,0.8938072,0.8732642,1.09984,1.1829294,1.1329114,1.0916722
box,1.0463163,0.9229848,0.95141417,0.98210794,1.0339618,0.3504504,0.64849174,0.9048944,1.210634,0.6645838,0.9071035,1.1081676,0.9512146,1.0686278,0.52834684,1.1739185,0.94285697,0.0,0.90709984,0.9552051,1.2558955,1.2826465,0.99870646,1.0562979,0.9696735,1.359019,1.1245406,1.124955,1.0627127,1.1991892,1.0059712,1.1395091,0.83881915,1.2428498,0.9633736,1.2221711,1.047363,0.84200954,0.9870452,1.0069739,0.9587078,1.1115084,1.2981578,1.0266554,1.0065519,1.0057976,1.0771601,1.2386228,1.1132327,0.88864046,0.9900228,1.3179247,1.0632071,1.2731262,0.7736037,0.76400274,1.0298613,1.1519241,0.9124861,1.1075422,1.3566432,1.2764068,0.8878096,0.9277782,0.9789172,1.1219859,0.48121887,1.2507534,1.0755429,1.1683838,1.3207169,0.7913258,0.9348875,0.9872314,1.0468383,0.7465549,1.2758235,0.8512163,0.90114903,0.9419097,1.03393,0.8981775,0.65853673,1.3767852,1.0640081,1.3327434,0.8596114,1.29866,1.0822685,0.83935493,0.52875036,1.3546851,1.347274,1.1172854,1.2072679,0.9197811,0.57613206,0.9739179,1.1684959,1.3545126,0.92637473
bread,0.7966616,0.6528399,0.9608722,0.8755945,0.98214054,0.97519475,0.80562913,0.7642981,1.1148257,0.9420878,0.8266882,1.1954353,0.7412749,0.7933894,1.0646173,1.282692,0.9107554,0.90709984,0.0,1.039936,1.2215676,1.2004087,1.1471941,1.2968166,0.9467529,1.1872994,0.96805555,1.2093203,1.119273,1.2763963,0.8277824,1.3251967,0.9814223,1.1745867,0.9853961,1.1144884,1.0216995,1.0996591,1.0005317,0.916489,0.91964126,0.96517557,1.266627,1.144944,1.1709375,1.1517739,0.9724875,1.2352543,0.94254065,1.0767082,0.9923704,1.074702,0.87619954,1.2569315,0.81461096,1.1575177,0.98727196,1.3518164,0.965222,0.8335669,0.99631363,1.0845578,0.9403795,1.1393962,0.75369793,0.9608222,0.8526289,1.2713468,1.2048645,1.0088592,1.0682673,0.9984085,0.93751085,0.9839975,1.184846,0.948784,1.1591697,0.8083979,1.0963402,0.8051131,0.949258,0.8596694,0.8085722,1.2299271,0.92920643,1.0726128,1.1519506,1.1585772,0.97755015,0.9717357,0.811587,0.98785967,1.1794323,1.1195706,1.1372066,1.1336262,1.022714,1.135387,1.243767,1.1491615,1.0072361
broom,0.9041383,0.9511299,1.0604031,1.2002187,1.0133182,1.0727439,0.8983619,0.81082654,1.157517,0.68886596,1.0372093,1.1661805,0.89578545,0.8939443,1.1959434,1.2435557,0.9450695,0.9552051,1.039936,0.0,1.2472188,1.2646765,1.2341828,1.0267742,1.0418128,1.0696954,0.75761616,1.2024003,1.033941,1.0302757,0.7309889,1.1983311,0.6529257,1.2109542,0.9853484,0.9712217,1.0349041,0.59237164,0.97845745,0.96025085,0.9440082,1.0777177,1.128813,1.1032784,1.0432487,1.1308087,0.6275803,1.2869054,0.9691972,1.2477971,0.9012603,1.2663267,1.0830802,1.3048812,0.83302283,0.9806638,0.800806,1.0102489,0.99173975,0.90147275,1.2679732,1.0478897,1.1363763,1.018272,0.8892168,1.0216333,0.9717426,1.2227069,1.2412746,1.1025354,1.0491682,0.7961353,0.9547752,1.0226552,1.1850971,0.9741543,1.167701,0.8552808,1.1536084,0.8895995,1.0884808,0.6577037,0.8915296,1.2782428,1.0196974,1.1808188,1.2042161,1.2782875,0.66072506,0.84204936,0.8823272,1.2493076,1.242425,0.9103979,1.1191655,1.1237787,0.9918987,1.0095519,0.9295346,1.3369358,0.8936508
bucket,1.2566291,1.3797371,1.039487,0.7023865,1.0630414,0.9255698,1.4162853,1.483496,0.6638386,1.240643,1.3251207,0.87070996,1.3255403,1.2691486,0.98592013,0.36742675,1.106112,1.2558955,1.2215676,1.2472188,0.0,0.70677704,0.6190952,0.750867,1.1818846,0.8429479,1.0201924,0.66157424,1.0127277,0.8204601,1.4274552,0.52661383,1.3596019,0.46110332,1.0713488,0.9318183,1.0097781,1.0934242,0.99644125,1.0214498,1.2591379,0.9779709,0.75640965,0.8242535,0.9689246,0.93739194,1.1237179,0.662691,0.8827696,0.7677289,1.2606134,0.58197325,1.0980711,0.5630264,1.2863955,1.0782396,1.2268363,0.60426456,0.9349082,1.0968996,0.59921217,0.7134071,0.7481468,0.90025914,1.4206495,1.0708852,1.3425648,0.59121794,0.6771899,0.88284767,0.7817577,1.2205478,1.1096754,0.9402643,0.6335017,0.98190534,0.66859686,1.3116904,0.9610399,1.4501855,0.99962854,1.3534766,1.4232494,0.54862225,1.327639,0.6486014,0.9434897,0.51305974,1.1966699,1.4144915,1.464206,0.66870236,0.6401811,1.0891267,0.63015914,0.75758386,1.1082246,0.9226155,0.6675792,0.45435095,1.245368
butterfly,1.2105893,1.3295367,1.2024701,0.79787123,1.2391565,0.96014225,1.3250942,1.3911221,0.9103067,1.4060674,1.295404,0.40384114,1.3915675,1.379308,1.0024935,0.49842727,1.1255095,1.2826465,1.2004087,1.2646765,0.70677704,0.0,0.6728536,0.87455016,1.1561137,0.78922534,1.1148757,0.42555106,0.946483,0.8961922,1.3273532,0.5397404,1.3328727,0.89667535,1.1341118,0.8422322,1.1050687,1.1129364,1.1007149,1.0564659,1.1383111,1.0637984,0.4268487,0.7534337,0.8656553,0.9202381,1.288083,0.57246745,1.1619337,1.0001669,1.1577021,0.66365445,1.0812272,0.62365526,1.3341033,1.0046222,1.2507716,0.46180886,1.0495739,1.3798681,0.6197528,0.7231622,0.871881,1.04293,1.4562547,1.275065,1.29934,0.59956014,0.6774441,0.8305105,0.8926095,1.0850457,1.1428425,1.1244032,0.56986797,1.1456726,0.8570099,1.2637415,0.9237569,1.3210976,1.1193957,1.283407,1.3194346,0.49927664,1.1210607,0.63091993,0.8220415,0.4080661,1.2649766,1.2312908,1.3619635,0.8126748,0.6028869,1.0815448,0.66696626,0.9954224,1.1476412,0.954118,0.6180198,0.59021205,1.1854236
