subject_a,subject_b,n_common_categories,n_rdm_pairs,pearson_r,pearson_p,spearman_rho,spearman_p
00220001,00720001,128,8128,0.7580021535793686,0.0,0.7192035359780334,0.0
00220001,00820001,128,8128,0.8207842425169549,0.0,0.797262516411125,0.0
00230001,00240001,122,7381,0.7980080325168556,0.0,0.7655120523200738,0.0
00230001,00320001,122,7381,0.8222783792671164,0.0,0.8017476382076444,0.0
00230001,00320002,122,7381,0.8246019166329173,0.0,0.7940591201103196,0.0
00230001,00320003,120,7140,0.8171449665893543,0.0,0.7889840632066145,0.0
00230001,00340002,91,4095,0.5770502601854661,0.0,0.5357011523063882,5.555070849110289e-303
00230001,00350001,98,4753,0.6572860789036705,0.0,0.6265605358860988,0.0
00230001,00350002,107,5671,0.6199059454111806,0.0,0.5674832362643235,0.0
00230001,00360001,122,7381,0.7911297991681514,0.0,0.7582471828958381,0.0
00230001,00370001,122,7381,0.7999446172395442,0.0,0.7678650224329147,0.0
00230001,00370002,122,7381,0.8259550708544704,0.0,0.8004260293012287,0.0
00230001,00390001,118,6903,0.7117780388853301,0.0,0.6810125298335798,0.0
00230001,00400001,122,7381,0.8243217319726222,0.0,0.7940269533546362,0.0
00230001,00400002,121,7260,0.834671316901992,0.0,0.8091335705104081,0.0
00230001,00400003,122,7381,0.8272466177958614,0.0,0.8046776532973137,0.0
00230001,00420001,122,7381,0.8150588891498424,0.0,0.7873225820599762,0.0
00230001,00430001,122,7381,0.8148760881100308,0.0,0.7877076487287238,0.0
00230001,00430002,100,4950,0.6400250444578421,0.0,0.5936244283664389,0.0
00230001,00440001,114,6441,0.6906722508096282,0.0,0.6658022950283196,0.0
00230001,00460001,117,6786,0.7152082896525244,0.0,0.666734359218104,0.0
00230001,00490001,121,7260,0.7931865262133658,0.0,0.7677722796292907,0.0
00230001,00500001,122,7381,0.846470021982284,0.0,0.824283162548608,0.0
00230001,00510001,122,7381,0.7899493822654288,0.0,0.7652464327647547,0.0
00230001,00510002,122,7381,0.7618362677062513,0.0,0.7427666320370069,0.0
00230001,00550001,114,6441,0.742176944321519,0.0,0.6990697580536328,0.0
00230001,00560001,122,7381,0.8167672457210353,0.0,0.7950247024122834,0.0
00230001,00590001,121,7260,0.734563466576054,0.0,0.7026831435391129,0.0
00230001,00680001,120,7140,0.7003661516744216,0.0,0.669928744528215,0.0
00230001,00720001,122,7381,0.7807897458419137,0.0,0.7419819570912148,0.0
00230001,00820001,122,7381,0.8390624736730609,0.0,0.8158564387711219,0.0
00240001,00320001,129,8256,0.8360687384629688,0.0,0.8099676791043444,0.0
00240001,00320002,129,8256,0.8336838141871954,0.0,0.8028674664632725,0.0
00240001,00320003,127,8001,0.8226118088797505,0.0,0.7930091137695516,0.0
00240001,00340002,92,4186,0.6396126736748354,0.0,0.5984915716221894,0.0
00240001,00350001,100,4950,0.6147629148261794,0.0,0.5765500813907705,0.0
00240001,00350002,111,6105,0.6736377744107274,0.0,0.6341503530993791,0.0
00240001,00360001,129,8256,0.7860765934920046,0.0,0.7555783713166698,0.0
00240001,00370001,129,8256,0.7956644333007677,0.0,0.7653514209399432,0.0
00240001,00370002,129,8256,0.8422281470072942,0.0,0.8121322951708557,0.0
00240001,00390001,121,7260,0.7453848256435122,0.0,0.710520761315556,0.0
00240001,00400001,129,8256,0.8002701791078639,0.0,0.7668614853926659,0.0
00240001,00400002,128,8128,0.8602850828955737,0.0,0.8392599475233743,0.0
00240001,00400003,128,8128,0.7861142687047683,0.0,0.7467584099118254,0.0
00240001,00420001,129,8256,0.7955701148524899,0.0,0.7640326950086547,0.0
00240001,00430001,129,8256,0.782055140798012,0.0,0.7494870494893338,0.0
00240001,00430002,102,5151,0.6289307387174407,0.0,0.5794960414442997,0.0
00240001,00440001,116,6670,0.7302605837694732,0.0,0.7096836993940411,0.0
00240001,00460001,122,7381,0.6836995953497919,0.0,0.6221725854903603,0.0
00240001,00490001,126,7875,0.7844132499499705,0.0,0.7677903172210127,0.0
00240001,00500001,129,8256,0.8109802722039392,0.0,0.7791728648290127,0.0
00240001,00510001,129,8256,0.8012033968854386,0.0,0.7649672762821845,0.0
00240001,00510002,128,8128,0.784782663875739,0.0,0.7532287619390062,0.0
00240001,00550001,119,7021,0.7078581847703349,0.0,0.6720479196815495,0.0
00240001,00560001,129,8256,0.823402744909832,0.0,0.7989184718663899,0.0
00240001,00590001,128,8128,0.6952406739403526,0.0,0.6743754816094223,0.0
00240001,00680001,126,7875,0.6654509989721987,0.0,0.6374533650699746,0.0
00240001,00720001,129,8256,0.770531792968512,0.0,0.7270175699850534,0.0
00240001,00820001,129,8256,0.8353943211027544,0.0,0.8043218306618036,0.0
00320001,00320002,129,8256,0.8505893529379737,0.0,0.8294518586883691,0.0
00320001,00320003,127,8001,0.8309588826530462,0.0,0.8112079189379634,0.0
00320001,00340002,92,4186,0.6373491554544746,0.0,0.6010400752836349,0.0
00320001,00350001,100,4950,0.6362161122599237,0.0,0.6077857071813059,0.0
00320001,00350002,111,6105,0.6266760748874942,0.0,0.5932331124177316,0.0
00320001,00360001,129,8256,0.7875331283413853,0.0,0.758893629806053,0.0
00320001,00370001,129,8256,0.869244014330401,0.0,0.8525764218232331,0.0
00320001,00370002,129,8256,0.8572857150425124,0.0,0.8397675637366442,0.0
00320001,00390001,121,7260,0.7486767727746592,0.0,0.7301699317642841,0.0
00320001,00400001,129,8256,0.8640273299807633,0.0,0.840428025281039,0.0
00320001,00400002,128,8128,0.878021181968071,0.0,0.8635309354999431,0.0
00320001,00400003,128,8128,0.857887210171151,0.0,0.8371220685245165,0.0
00320001,00420001,129,8256,0.8299564599992821,0.0,0.8061734089758504,0.0
00320001,00430001,129,8256,0.8634646586805333,0.0,0.8441090403804624,0.0
00320001,00430002,102,5151,0.6574238346365481,0.0,0.6219859705915894,0.0
00320001,00440001,116,6670,0.7311783280330695,0.0,0.7212536902253098,0.0
00320001,00460001,122,7381,0.716707998427827,0.0,0.6676663573091532,0.0
00320001,00490001,126,7875,0.8286238893905843,0.0,0.8161313916020658,0.0
00320001,00500001,129,8256,0.8606271636841513,0.0,0.8370262164084118,0.0
00320001,00510001,129,8256,0.8536088675088798,0.0,0.8361616078074082,0.0
00320001,00510002,128,8128,0.825282609351495,0.0,0.8099583984223534,0.0
00320001,00550001,119,7021,0.7454968330637994,0.0,0.7144069943007223,0.0
00320001,00560001,129,8256,0.8496335141269415,0.0,0.831498193149075,0.0
00320001,00590001,128,8128,0.714102090895944,0.0,0.68664025915411,0.0
00320001,00680001,126,7875,0.7221704972212061,0.0,0.6963492261824059,0.0
00320001,00720001,129,8256,0.786807555078592,0.0,0.7553869870975326,0.0
