,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toast,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
closet,1.1681578,1.318764,1.4107819,0.69009995,1.2544918,1.3474913,1.3295768,1.1373826,0.42127454,0.9665371,0.41915035,1.3311069,0.435086,0.78229684,1.3498695,0.6347425,0.6124977,1.0944862,1.2316045,1.194457,0.6153261,1.2657676,1.0739577,1.0357026,1.2960663,1.1885843,1.022176,1.2902133,0.7955029,0.6090447,1.0895356,1.1073805,0.0,0.5932423,0.79000187,1.3581251,1.1910787,0.55987656,1.2596211,1.4163506,0.44572848,1.178207,1.2204332,0.89360416,0.8341829,1.1627061,0.27257645,0.8070875,0.93737906,1.2193469,1.3725224,0.83632696,1.2083375,0.78421265,1.3033444,1.4238003,1.2539425,1.1748071,1.2520628,1.3615742,0.7201261,1.360446,1.2596653,0.8666525,1.3748974,0.80610055,1.0533322,0.99303836,1.2197556,1.0721481,1.1861451,0.82806814,0.6786927,1.0725297,0.70746374,1.2629967,0.39982283,1.2025763,1.0484874,1.067815,1.2398617,0.9874585,0.93213487,0.6736969,1.0682429,1.1279418,1.3649819,1.1885223,1.2017485,1.1366699,1.338531,0.43032944,0.9980308,0.7581069,0.78247416,0.8465001,1.0218099,1.4358501,1.3696297,1.4438918,1.1980832,1.2679026,1.1750809,1.1618261,1.1599779,1.1870364,1.3027852,1.1829417,0.92074156,1.2645069,1.3273168,0.31315827,0.8867359,1.3999707,1.033055,1.1750256,0.82450366,0.8255312,0.679265,1.0818542,0.8905923,1.0688679,0.40685534,0.7361811,0.5877508,1.4848146,0.76124406,1.354064,1.3589985,1.0790796,1.3379843,0.8702719,0.80669105,1.3209951,0.7836434,0.6694462,0.5877322,1.3847848,0.96669143,1.3638096,1.3759302,0.9698816,1.2371185,1.2253058,0.7750342,0.78786623,0.88694346,0.83289576,0.80198455,1.4141465,0.51585066
coffee,1.0514385,1.3208541,1.370287,0.80516547,1.0722696,1.1993337,1.2527074,1.0085514,0.57512593,0.99442863,0.5491928,1.2336473,0.42722553,0.8318392,1.2771335,0.61233455,0.6377949,0.68596375,1.2073574,1.0329778,0.38457417,1.2069447,1.2608997,0.97690725,1.3231144,1.1418213,1.0073175,1.3559582,0.8542386,0.55325496,1.0563017,1.1196277,0.5932423,0.0,0.8375161,1.3048133,1.2247449,0.49053037,1.2044388,1.342622,0.47370303,1.0841155,1.1202551,0.78096664,0.7102402,1.0380507,0.7641991,0.7078372,0.9802136,1.2775412,1.2571363,1.0015988,1.2649199,0.92486626,1.3429666,1.2734329,1.1510764,1.147551,1.1795498,1.1866007,0.8769936,1.3658768,1.077099,0.9724238,1.1619964,0.9310943,0.9957066,1.0360876,1.2055763,1.0704362,1.0364407,0.913558,0.6507075,0.9965775,0.77323353,1.1825478,0.61125356,1.2170014,1.1501881,1.0451546,1.2152196,0.8587832,0.9061797,0.72210157,1.089485,1.0548139,1.3468117,0.9667282,1.2552056,1.224461,1.2717627,0.63263667,0.9378246,0.8352233,0.86935365,0.7156677,1.0500273,1.2974035,1.2688129,1.3916067,1.2132789,0.99862415,1.1375477,1.1058913,1.0966275,1.0327003,1.3222419,1.1137695,0.8486185,1.0757868,1.2623158,0.57923216,0.92127514,1.3337047,1.0531062,1.1551273,0.7264052,0.8975485,0.7974621,0.89751077,0.93077314,1.2865326,0.7771673,0.68953335,0.7175951,1.3851253,0.8558651,1.3268125,1.2301201,1.0970492,1.2693374,0.9660563,0.9006155,1.1857946,0.7309123,0.78178334,0.5917209,1.2852287,1.005188,1.3925874,1.4146142,0.9876202,0.9931168,0.9269844,0.7461583,0.9046037,1.0017763,0.8938771,0.9032344,1.3839154,0.876986
comb,0.874656,1.055583,1.4022769,0.7425446,1.2291386,1.3710908,1.3140321,1.0406405,0.6695274,0.79437995,0.6742332,1.1247494,0.5925199,0.6819446,1.1252617,0.6667317,0.7863623,0.8765569,1.3950769,1.172003,0.71193063,1.230953,1.1294658,1.1479574,1.0985483,1.1897446,0.79881644,1.0159398,0.7988649,0.7780749,1.0711813,1.1926404,0.79000187,0.8375161,0.0,1.3128165,1.2273086,0.7140265,1.1137972,1.2466161,0.6649498,1.3012187,1.3274722,0.7721732,0.98786545,1.161302,0.95620245,0.79400855,0.9792469,1.0549703,1.3177372,0.81656915,1.1682162,0.9289259,1.0131518,0.9876724,1.2948333,0.9781158,0.9821707,1.1299134,0.8105167,1.1884568,0.89616126,0.96352607,0.9999987,0.8802644,0.9004584,0.79202795,1.0308137,1.2350446,1.169644,0.822073,0.743806,1.27906,0.7082697,1.0060148,0.7346928,1.2800156,0.9661156,1.0607541,1.1496046,1.1803801,0.7538569,0.79116035,1.0264316,1.1974503,1.3162618,0.88717985,1.0661638,1.1052563,1.3552719,0.79112947,0.923167,0.7575686,0.71939456,0.6350039,1.1047626,1.1581224,1.1617639,1.3021976,1.0361993,1.0514053,1.15711,1.2945511,1.1405662,1.0745709,1.264787,1.3535683,1.004017,1.1517134,1.3286483,0.8252795,0.815771,1.2699288,1.078898,1.1164188,0.9073019,0.78929806,0.7727822,0.85094494,0.87447524,1.2598219,0.7718507,0.6720054,0.72845304,1.2039752,0.77646875,1.1571729,1.0778081,1.1125997,1.1016657,0.8287851,0.7086837,1.222755,0.84709734,0.7413312,0.7557589,1.2446296,1.0234311,1.132992,1.1174648,0.67366356,0.99997824,1.2122175,0.85098624,1.0788645,0.9287226,0.9025038,1.0046114,1.1919008,0.8715359
cookie,0.93594366,0.94320965,0.74152786,1.4185834,0.92521167,0.7896585,0.5588249,0.6446459,1.424193,1.2093424,1.4647315,0.88669765,1.4650842,1.4142883,0.8821659,1.4810989,1.2856096,1.0754554,0.77367103,0.82957125,1.3582765,0.08957636,0.83331877,0.9770866,0.78376377,0.94358164,1.1948543,0.96508795,1.3748276,1.4074262,0.49537194,0.812132,1.3581251,1.3048133,1.3128165,0.0,0.58558106,1.4998513,0.37996835,0.70076513,1.4904997,0.81594366,0.7333472,1.0437806,1.2631083,1.1492479,1.2493024,1.0102565,1.2401077,1.0340701,0.6965972,1.2221061,0.8800918,1.2970397,0.9771645,0.92230743,0.8309643,1.1455303,0.6256374,0.8389044,1.3379385,0.8151916,1.2521391,1.178499,0.90726614,1.3306129,1.0024579,1.3060898,1.1619291,0.93278635,0.90545464,1.0946423,1.4825208,0.76231134,1.4657592,0.67315876,1.3467836,0.790238,1.1121923,0.49251384,0.8531329,0.9688911,1.4135036,1.3918891,1.032714,0.48844683,0.73457277,0.8858535,1.0709252,1.0386168,0.6730193,1.3284678,1.162534,1.5232455,1.4187872,1.2943702,0.88016695,0.7222158,0.6751164,0.28523314,0.97886413,1.0024054,0.23740637,0.89788324,0.51437,0.95942444,0.5592749,0.73915344,1.1536219,0.7879166,0.61184806,1.3545078,1.2362616,0.81002057,0.549179,0.6625323,1.2641628,1.1500111,1.4963562,1.1190667,1.3303199,0.7361221,1.3262873,1.2112552,1.3848832,0.7193818,1.3507067,0.6926454,0.94512224,0.67558473,0.6029645,1.1249431,1.2118151,0.8971211,1.3468671,1.476142,1.2922635,0.6476316,0.6093651,0.9030365,0.85791695,1.3585835,0.9181305,0.8804326,1.0435271,1.1919477,1.1591138,1.2139316,1.1356752,0.80980796,1.3545889
corn,0.85371006,0.8015149,0.73769104,1.3531895,0.9169039,0.7660086,0.763421,0.47597063,1.2522378,0.9939019,1.3279948,0.8340173,1.2967708,1.3126469,0.883824,1.2868764,1.3173275,1.162958,0.6904872,1.0344882,1.3846128,0.70731986,0.5232814,0.8017642,0.93911904,0.664824,1.1968473,1.0283958,1.111873,1.0821911,0.9941475,0.79885244,1.1910787,1.2247449,1.2273086,0.58558106,0.0,1.3403763,0.7071638,0.69843674,1.3705614,0.78282064,0.7789105,1.1765994,1.1508051,1.1021464,0.9651931,1.0515401,1.0802689,0.93050563,0.8457695,0.96012485,0.8726477,1.2708852,0.9518626,1.0261512,0.6828707,0.98676,0.8253654,1.053711,1.3813466,0.79498464,1.0338274,0.9799932,1.0748174,1.1702414,1.0667319,1.3138824,0.8699678,0.82142866,1.0216304,1.1303505,1.3409907,0.8930025,1.3275197,0.8514471,1.1627929,0.6111631,0.9840337,0.98758274,0.8792194,0.9705442,1.3712323,1.3328822,1.1110158,0.91048825,0.73076105,0.88539124,0.88130695,1.0190631,0.86416054,1.1650074,1.0481558,1.3460503,1.2398971,1.2784946,1.1376364,0.6982676,0.6805155,0.59902596,0.9576287,0.75863165,0.8006666,0.688241,0.9718854,1.0474608,0.6202644,0.9087089,1.054268,0.7599903,0.51849145,1.2030545,1.1071491,0.77943814,1.0115985,1.0086349,1.1754193,1.2803975,1.3115481,1.0830337,1.1388186,0.36853576,1.1573719,1.2255381,1.2535666,0.73417175,1.0718724,0.73378754,0.7365733,1.0015177,0.81445384,1.1991444,1.220587,0.8807752,1.2671477,1.2810905,1.4272641,0.7945452,1.1015749,0.84900427,0.83786756,1.3950207,0.6860381,1.0543904,1.3025671,1.032193,1.1962538,1.1022389,0.7759924,0.7732368,1.0876386
couch,1.0336471,1.368087,1.4428437,0.44207817,1.2543174,1.4214782,1.3199964,1.2686958,0.57769835,0.79559654,0.26616812,1.3405858,0.2894143,0.57834995,1.3151251,0.2757752,0.6363206,0.99883837,1.4016068,1.2994511,0.66103595,1.3881824,1.3044542,1.2777852,1.2785811,1.309765,0.92614925,1.2506194,0.54056376,0.42270732,1.1316714,1.2334336,0.55987656,0.49053037,0.7140265,1.4998513,1.3403763,0.0,1.2810295,1.5151038,0.50519264,1.3576422,1.325563,0.871167,0.5562468,0.943306,0.748912,1.0667148,0.78677404,1.2463477,1.3763552,0.73727155,1.2826145,0.63790846,1.2764213,1.2645812,1.3903744,0.98254144,1.4411538,1.2552277,0.7783623,1.4163214,0.9802616,0.89545375,1.3679401,0.63752764,0.96344787,0.8916669,1.0416343,1.1692683,1.186367,0.9036155,0.4189719,1.2358245,0.42595202,1.4445597,0.56590056,1.3854053,1.070056,1.1025097,1.2226769,1.0295742,0.7238203,0.53504133,1.0802826,1.1595265,1.4124788,1.0665648,1.2604663,1.0782717,1.3977642,0.593561,0.8381004,0.5193318,0.540391,0.7320623,0.960608,1.5074322,1.5185429,1.5368426,1.1161177,0.903679,1.2936246,1.2359577,1.2749882,1.1301197,1.3622723,1.2990417,0.91548276,1.334511,1.4288307,0.5363654,0.80474,1.3949493,1.0962431,1.2408015,0.7297342,0.9064245,0.41971862,0.9008955,0.78108513,1.3313248,0.6907567,0.781368,0.52183807,1.4586614,0.61320716,1.3548579,1.290309,1.1743667,1.5175071,0.9159281,0.8046622,1.3693776,0.5925361,0.3853699,0.46270895,1.4428089,1.0278231,1.3046072,1.4555429,0.95349085,1.1264721,1.2427268,0.8144219,0.8727121,0.8928381,0.8296974,1.0188857,1.4450104,0.6655302
cracker,1.0512557,0.903062,0.73255354,1.3256475,1.0369346,0.9181815,0.6608933,0.5603195,1.3633108,1.2544814,1.3158473,0.83211166,1.2360475,1.3193237,0.99661547,1.3498378,1.2068269,1.0022118,0.7948867,0.91743475,1.1456404,0.47661746,0.850338,1.0490532,0.7914778,0.83889115,1.0498079,0.9159887,1.2810569,1.1650108,0.5636828,1.0217748,1.2596211,1.2044388,1.1137972,0.37996835,0.7071638,1.2810295,0.0,0.6883391,1.2841942,0.8777718,0.94006085,1.0480309,1.1347595,0.9998919,1.1965644,1.0048647,1.1270791,0.9766997,0.8430003,1.2077839,1.0192244,1.1542926,0.926058,0.8996019,0.9065048,1.1369905,0.88308,0.81195104,1.3079817,0.86034113,1.155131,1.2049719,0.76055676,1.1925669,0.9964903,1.2040809,1.0765021,1.0278988,1.0581602,1.205062,1.3036711,0.9276571,1.2872413,0.80543447,1.2240368,0.9256655,1.0432417,0.69230086,0.71674335,1.0352365,1.2411057,1.2393091,1.0371989,0.85247403,0.747676,0.88149786,1.0659811,1.0999172,0.7950295,1.1693776,1.0181888,1.3888466,1.2464046,1.1612151,1.0119721,0.8510791,0.79705626,0.25754362,0.9365391,0.996833,0.48368317,0.96644586,0.76370937,1.0104805,0.6535471,0.8531944,1.0076389,0.745667,0.7916641,1.2551414,1.29216,0.7525304,0.76306987,0.87879646,1.2069387,1.2091894,1.3563244,1.0927236,1.1927986,0.75779617,1.2375379,1.2275337,1.2755827,0.7022049,1.2385806,0.543573,0.8659109,0.9279837,0.7918761,1.1362445,1.139412,0.89586437,1.1316016,1.3221807,1.1720561,0.7185644,0.7634306,0.8251358,0.8685709,1.2059773,0.9328816,0.79244316,1.0084991,1.262135,1.0075121,1.0769496,1.1031244,0.8005229,1.3276176
crayon,0.93372726,0.72086483,0.23997784,1.4809754,0.74553335,0.42088866,0.85318816,0.5850715,1.392632,1.109687,1.4956398,0.19824177,1.516706,1.4993778,0.5705917,1.5265377,1.3093818,0.91842663,0.28265548,0.6400604,1.3579451,0.88911587,0.529773,0.74363494,0.73028576,0.34124982,0.9096992,0.5955309,1.3547777,1.2791957,1.1795163,0.70624435,1.4163506,1.342622,1.2466161,0.70076513,0.69843674,1.5151038,0.6883391,0.0,1.5066341,0.4874128,0.7981796,1.3363141,1.4088306,1.2080857,1.2633622,0.95799166,1.2889979,0.74024653,0.6598668,1.1754583,0.6904098,1.3254585,0.6803367,0.46984416,0.5609882,0.9178724,0.612373,0.77838314,1.4736917,0.28779274,1.1469641,1.0403519,0.6394399,1.336799,1.2844436,1.3045338,0.80611867,0.822098,0.96369034,1.2883229,1.4886999,0.9583153,1.4349127,0.46786755,1.3566025,0.3492881,1.0632997,1.2026951,0.73347175,1.1628115,1.4673002,1.419214,1.0313563,1.2103105,0.18569869,0.9549299,0.81665146,0.8873082,0.56158817,1.3874614,1.2457871,1.4920186,1.3578341,1.305292,1.3118842,0.14279264,0.201666,0.41520566,0.98742,0.8197911,1.0290018,0.72234476,0.9911818,0.98993593,0.63393927,0.9580001,1.0941584,0.42306018,0.5013772,1.4660996,1.2089853,0.52774423,1.1943519,0.99170077,1.2868859,1.2013435,1.4936985,1.1851352,1.241736,0.62536156,1.2520868,1.2324771,1.3643606,0.17087126,1.3741367,0.3152963,0.6206938,1.1450037,0.44613636,1.1737366,1.226362,0.5618663,1.3617896,1.4986199,1.5116773,0.27080876,1.2874961,0.5598147,0.39127153,1.2255273,0.6738458,0.7223848,1.3500774,1.2002852,1.1266465,1.1771473,0.79324925,0.2234016,1.2848166
crib,1.0436835,1.3652124,1.5365307,0.69349295,1.2486749,1.4352791,1.3439014,1.1124308,0.40304625,0.96951866,0.23006809,1.4024698,0.38525093,0.62666833,1.3228538,0.43407512,0.48175776,0.7552757,1.3547729,1.1648822,0.28823817,1.3970909,1.2244508,1.0011098,1.3431026,1.2692654,0.88722634,1.3290012,0.7673007,0.5123248,1.0690511,1.1623441,0.44572848,0.47370303,0.6649498,1.4904997,1.3705614,0.50519264,1.2841942,1.5066341,0.0,1.2677572,1.2369444,0.695611,0.7466064,0.76740193,0.6357391,0.8110632,0.8182983,1.3162359,1.4537907,0.92539275,1.320392,0.8800427,1.3627388,1.3362285,1.2415906,1.1660112,1.3005519,1.1574404,0.63696283,1.4915494,0.9672995,0.97622293,1.1280807,0.881993,0.98067605,0.91012657,1.2605182,1.1155856,1.1251719,0.82578826,0.51333183,1.138592,0.72034425,1.3207929,0.33740777,1.3641672,0.9971257,1.106323,1.2442708,0.9292836,0.7082217,0.55109674,1.1129833,1.1851008,1.516657,1.1019422,1.2982028,1.2698178,1.4901068,0.5506629,0.7776566,0.54831636,0.8080771,0.6583059,1.0634768,1.4951341,1.4524934,1.5108232,1.1901472,1.135521,1.2717493,1.1392195,1.2134588,1.0303032,1.4271895,1.2663386,0.77838963,1.2730384,1.4632186,0.45346898,0.8818057,1.3161756,1.1073922,1.2396967,0.779525,0.76215017,0.69341415,0.9795132,0.8432027,1.2527537,0.6358746,0.69592535,0.56747997,1.5426173,0.68243533,1.4217193,1.3426707,1.1628944,1.3847818,0.8412707,0.84649354,1.2941564,0.5024227,0.6966227,0.44969738,1.4815316,1.036388,1.4563677,1.4263535,0.6663649,1.14792,0.90787876,0.6712327,0.83482176,0.79366356,0.6675879,0.9136533,1.5201906,0.63781977
cup,1.0614936,0.9242779,0.567528,1.36849,0.75356096,0.5217005,0.92381525,0.6725393,1.213074,1.2486897,1.3559108,0.56031805,1.3123236,1.4405546,0.91692173,1.4145617,1.2723842,0.9110403,0.19615382,0.39698446,1.0478202,0.8992955,0.68567896,0.22267342,1.0011395,0.37781882,1.0518289,0.98384774,1.3436253,1.0166817,1.1107095,0.7984174,1.178207,1.0841155,1.3012187,0.81594366,0.78282064,1.3576422,0.8777718,0.4874128,1.2677572,0.0,0.8397446,1.1158066,1.2424364,1.1358426,1.050634,0.9503646,1.2373995,0.9990299,0.7214592,1.2771907,0.9929017,1.2492046,1.0139996,0.9026035,0.7110682,1.0119524,0.73056984,1.0006086,1.2307234,0.73728406,1.0715909,1.1296561,0.86496294,1.291491,1.2075422,1.310501,0.90684235,0.77743614,0.92780435,1.2910239,1.3752532,0.35846567,1.4111364,0.73392695,1.1477818,0.35588098,1.1439677,1.1879562,0.97252625,0.67911494,1.3008169,1.3103912,1.0870591,0.96170336,0.585518,0.92944056,1.0337195,1.0168594,0.68124735,1.0431734,1.1240982,1.443281,1.3305079,1.2269024,1.1336834,0.57440555,0.6048563,0.69952357,1.0393453,0.8265332,1.0064923,0.5980799,0.7692809,0.99329054,0.81074107,0.8346617,0.9422677,0.5526534,0.5855313,1.0527364,1.2227435,0.8277815,1.1774716,0.85611355,1.2276682,1.2748407,1.3846333,1.0693508,1.1852584,0.6870097,1.2010248,1.0299473,1.2958329,0.6160382,1.3196666,0.6457164,0.7406248,0.81584203,0.65270454,1.2219536,1.3057238,0.7353682,1.2294787,1.4328086,1.3230553,0.47931266,1.1549591,0.9132188,0.78267264,1.3082345,0.7324756,0.76375026,1.0648819,1.0206181,1.1993624,1.0696484,0.68894553,0.6223592,1.0825977
deer,0.7638328,1.0176177,0.8741885,1.3977565,0.90626997,0.8051442,0.64227957,0.8469863,1.2366402,1.1140604,1.3080962,0.92299104,1.3114872,1.3272655,0.58292013,1.3133454,1.1756555,0.9039484,0.767864,0.969104,1.2017868,0.81637007,0.8701731,0.8557776,0.650092,0.8631221,1.095482,1.0295758,1.1658287,1.1360297,0.96418655,0.8364871,1.2204332,1.1202551,1.3274722,0.7333472,0.7789105,1.325563,0.94006085,0.7981796,1.2369444,0.8397446,0.0,1.134821,1.0525478,0.94646657,1.1323276,1.0067772,1.0948861,1.1101657,0.8523715,1.082273,0.9395368,1.2674218,1.1795202,0.84067583,0.6399444,1.17739,0.67293763,0.6900612,1.1877447,0.94043785,1.0392973,1.0348462,0.958421,1.2893168,1.0303358,1.338223,1.1630552,0.83415806,0.41122758,1.0956655,1.255635,0.80323803,1.3679194,0.6803087,1.0472484,0.7834091,1.0618986,1.0238781,0.95134497,0.96200114,1.3510265,1.1226778,1.1479672,0.8647703,0.92494506,0.98789024,1.0104505,1.1831917,0.808931,1.2451291,0.9690157,1.3637986,1.3175943,1.2589066,1.0172194,0.740028,0.7331041,0.7687924,1.0667707,0.86803263,0.89217144,0.62014556,0.9312037,0.60817325,0.88091147,0.7187046,0.76332164,0.732836,0.7443135,1.2145497,1.0469669,0.6354893,1.0152858,0.9594403,1.0858864,1.0463425,1.2980897,0.965915,1.205337,0.72611946,1.1823927,1.2531241,1.2562554,0.87535423,1.169958,0.956946,0.84293765,0.92749006,0.6278839,1.1079654,1.243109,0.9237228,1.0170137,1.3020692,1.2914433,0.8835596,1.0830519,1.1188016,0.97433925,1.2536291,0.94867325,0.79792106,1.1894406,1.0499345,1.1255913,1.070425,0.820055,0.9102974,1.1553985
dish,0.95832705,1.2710962,1.3324242,0.8776754,1.1538736,1.2516017,1.0894182,1.026855,0.74042606,0.92317986,0.807339,1.3134441,0.8190261,0.7441255,1.127276,0.78976107,0.80749774,0.83511937,1.2490945,0.825428,0.64499587,0.9194929,1.2856523,1.0480502,1.1281171,1.3089099,1.1440198,1.2896693,1.0016606,0.9813454,0.89330924,1.0829947,0.89360416,0.78096664,0.7721732,1.0437806,1.1765994,0.871167,1.0480309,1.3363141,0.695611,1.1158066,1.134821,0.0,0.929591,1.0650837,0.99824846,0.9921127,1.0218349,1.2657663,1.2471249,1.0823547,1.1608412,0.9983437,1.3197159,1.2552898,1.1935507,1.1828324,1.0594254,1.0502925,0.7909564,1.3302757,1.0586098,1.0184598,1.0690542,1.0106989,0.7523828,0.9718618,1.1958402,1.1501725,0.960985,0.82782155,0.8199415,0.8968068,0.9569416,1.1355337,0.8307187,1.3421156,1.1314125,0.9167843,1.0842707,0.90093505,0.8121483,0.887386,1.0596408,0.81020796,1.3178735,0.90297157,1.2233149,1.1590278,1.2632141,0.85702467,0.973497,0.8787224,1.022858,0.79458225,0.9047704,1.2998238,1.2902803,1.2064695,1.1984525,1.170778,0.8672278,1.0847577,0.82388276,0.9707388,1.2262291,1.0800997,0.9318673,1.1885802,1.0448166,0.8326054,0.91577876,1.2488726,0.9415042,0.90578145,0.8987418,0.8536088,0.9320006,1.0184127,1.0452583,1.209737,0.9290461,0.78815305,0.79444903,1.3584974,0.9331096,1.3452885,1.2144096,0.8007237,1.0994716,0.95212436,0.86805546,1.088663,0.8858966,0.9745053,0.6199354,1.2727021,0.83947223,1.3797592,1.2653768,0.85824823,1.1141235,0.9973719,0.52287394,0.91024894,1.0086738,0.99490154,1.1442721,1.3806934,1.0073234
dog,0.8143918,1.3026731,1.3166438,0.72727865,1.095942,1.2801411,1.0888572,1.2235343,0.8683563,0.91939324,0.6736525,1.3622148,0.7054179,0.8606094,1.1560204,0.66444105,0.87262994,1.074358,1.2280846,1.1920137,0.8842927,1.2066008,1.2495852,1.1759115,1.1850605,1.3301659,1.0180241,1.3234016,0.2968024,0.81473243,1.0174372,1.1407967,0.8341829,0.7102402,0.98786545,1.2631083,1.1508051,0.5562468,1.1347595,1.4088306,0.7466064,1.2424364,1.0525478,0.929591,0.0,0.7741151,0.8828186,1.1619924,0.88356066,1.2331489,1.1872386,0.8946319,1.2183954,0.82090753,1.3067936,1.2285781,1.1995444,1.0977054,1.2892063,1.0042268,0.8770422,1.3521497,0.95171773,1.0240566,1.2673616,0.76758146,0.8418227,0.9859595,1.0947961,1.0450101,0.93424714,0.971112,0.76115215,1.0895487,0.8211197,1.3419224,0.7639397,1.2671584,1.0823913,1.0466853,1.21106,0.93059963,0.848727,0.76742136,1.0616951,0.99226224,1.3036401,1.1506231,1.2656461,1.0165439,1.2693586,0.8063423,0.6433358,0.816528,0.8923872,0.94027317,0.9293126,1.4014413,1.3992629,1.3297155,1.1431512,1.0343434,1.1356369,1.0363199,1.1406472,0.80345106,1.1630628,1.0663581,0.98108023,1.2635978,1.1927013,0.76526284,0.82991743,1.061757,1.0678468,1.105961,0.366768,0.9631988,0.7739991,0.92270213,0.97019047,1.1041201,0.8124523,0.9955319,0.84032786,1.3830916,0.74074423,1.3175422,1.2313904,1.0151074,1.3532495,0.9524207,0.96765774,1.2723715,0.8029675,0.7495939,0.7457125,1.3117758,0.9975417,1.2839426,1.2660022,0.99552464,1.2162678,1.0588365,0.8826345,0.90713495,0.9169335,0.850952,1.028121,1.3713949,0.876857
doll,1.0048695,0.8865042,0.9778825,0.9298118,0.86127114,1.0919809,0.90307957,1.134438,1.2066998,1.2434742,0.8720844,1.251777,1.0633194,0.87371916,1.057747,0.8738408,1.0825107,0.96408886,1.1141697,1.1414832,0.95289963,1.215596,1.1171912,1.092628,0.9712051,1.1773137,0.9640095,0.9804902,0.98879576,0.9711882,1.0851595,1.1604135,1.1627061,1.0380507,1.161302,1.1492479,1.1021464,0.943306,0.9998919,1.2080857,0.76740193,1.1358426,0.94646657,1.0650837,0.7741151,0.0,1.0925853,1.0954863,0.70449066,0.8864121,0.9528887,1.1746596,1.0572407,0.8770354,0.8407358,1.0387671,1.0029408,0.82145035,1.1284838,0.72098464,0.9068497,1.0925834,0.526574,1.2932476,0.83273655,0.83818114,0.9420184,0.7039946,0.7897624,1.0577029,0.9257326,1.0903323,0.9205339,0.9744981,0.95848787,1.1694279,1.0234941,1.2189007,0.85215247,1.1856775,0.94607747,0.9722112,0.5690528,0.8580612,0.93402815,0.97394824,1.0753152,1.0829885,0.9202453,0.8497422,1.0734661,1.021006,0.6186554,0.7090964,0.9657676,0.99287903,0.800359,1.2338026,1.1837087,1.0607488,0.7344276,0.9017463,1.2099309,0.9851654,1.1936371,0.8215796,1.007782,0.9205054,0.73664427,1.1379081,1.0737175,1.0692242,1.1535783,0.7190286,1.2438917,1.0601518,0.9690449,1.0225343,0.8798281,0.82931113,0.87209857,0.96427786,1.155396,1.3100903,1.0939056,1.0456282,1.0434663,1.165318,0.9618353,1.0827115,1.0955598,1.0760218,1.0775194,1.0103514,0.6208084,0.89725155,1.0451849,1.1814958,1.1985097,0.81270874,1.0281904,0.7666582,1.0942347,0.7387629,1.0876637,1.1139272,0.91987735,0.8607733,1.1040331,1.0478463,1.0965524
door,1.0514374,1.1661555,1.3007281,0.9415414,1.2467566,1.2259026,1.2680569,1.0978976,0.49995488,1.0594853,0.689191,1.1743633,0.57611006,1.0371753,1.2445134,0.8442126,0.8684826,1.1626153,1.1066443,1.2104583,0.7897205,1.1837928,0.7377033,0.86447084,1.19204,0.90920585,1.0345459,1.2095398,0.83488476,0.55198216,1.0978003,1.0951072,0.27257645,0.7641991,0.95620245,1.2493024,0.9651931,0.748912,1.1965644,1.2633622,0.6357391,1.050634,1.1323276,0.99824846,0.8828186,1.0925853,0.0,0.7408465,0.88879365,1.1450796,1.3098037,0.9376444,1.107045,0.94749326,1.1931269,1.3213124,1.0555758,1.0331306,1.1798508,1.3200467,0.8884904,1.2604729,1.1743119,0.91985095,1.3212413,0.92788243,1.0903456,1.0405626,1.1748024,0.945045,1.1860602,0.92356825,0.92568785,1.0643,0.8738522,1.1841648,0.51829904,0.93971586,0.9058256,1.0770415,1.2290736,0.95858186,1.031781,0.84372956,1.1418751,1.1359451,1.2536743,1.1188258,1.0774786,1.1053807,1.2828288,0.4230411,0.9592467,0.91270834,0.84736526,0.954564,1.0795064,1.2643111,1.2072239,1.3175049,1.059819,1.1037153,1.1222727,0.96969885,1.1818461,1.1974733,1.2369951,1.1517513,0.91345197,1.1259456,1.1328214,0.35279,1.0999204,1.1949319,1.0534549,1.2026895,0.9275738,1.0354985,0.85345995,1.0993527,0.8232655,0.7283559,0.38936734,0.81036437,0.89921707,1.3040085,0.82666075,1.2200165,1.2384182,1.1316411,1.251648,1.0007595,0.86322236,1.1805382,0.85423243,0.86006314,0.91912603,1.2971356,1.0415202,1.2249202,1.2485323,1.0344207,1.0560079,1.2205123,1.0156584,0.76050717,0.9254703,0.76719487,0.54735696,1.2951812,0.48229355
