,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
closet,0.7789867,1.307545,1.4808874,1.0473213,0.6912497,1.4759619,1.4393766,1.3142143,0.8847938,0.55001646,0.9032174,0.5235902,1.3147461,0.47016388,0.70959723,0.93587744,0.6085228,1.100384,0.8948532,1.3155231,1.2314363,0.64713365,1.3281429,0.8473778,0.9539361,1.3216157,1.1677339,1.120828,1.4269413,0.6527152,0.485363,1.2564262,1.3168306,0.0,0.969266,0.87853765,0.7041093,1.2763338,1.2446864,0.49576092,1.0776601,1.4168893,0.31938338,1.2343458,1.3551924,0.76141614,0.8169313,1.0185425,0.4778381,0.6864944,0.90146,1.1313862,1.5364883,0.7695961,1.306029,0.8518295,1.3430823,1.2530091,1.2199806,1.177932,1.4372506,1.2048343,0.6729502,1.3710377,1.2431501,0.79981387,1.3635952,0.7694894,1.1551828,0.9783033,1.198082,1.1200927,0.9011081,0.77975005,1.2429372,0.72905004,1.1513058,0.48481345,1.2814715,1.1626561,0.92122316,1.157949,0.7747812,0.9073903,0.6768696,1.0417018,1.0911092,1.4594064,1.167678,1.2428489,1.43603,1.4589623,0.45506704,0.7019832,0.69115937,0.666222,0.83337486,1.4152918,1.4212272,1.11958,1.363066,0.9029652,1.2134832,1.0124454,1.1691462,1.2029258,1.1488265,1.3936929,1.2030263,0.5925695,1.1837752,1.367686,0.34043145,1.0163168,0.950719,1.0786949,1.2214544,0.6400115,1.0433238,0.7082203,1.320376,0.54759413,1.0272863,0.8843524,1.4278789,0.8001585,1.2682157,0.9864317,0.9520437,1.4290122,0.8253944,1.3419555,0.6291371,0.62956655,0.7913516,0.66612554,1.3771328,1.4172927,1.271987,1.0028236,1.1076293,1.2084976,0.8349628,0.79959714,0.72245693,0.8460054,0.8864784,1.4317341,0.698315
coat,1.0409405,0.8425224,0.95326436,1.182781,1.2107245,1.0323279,0.86685663,1.0870264,0.9930748,1.0942407,1.2389776,1.1392318,0.62856793,0.9535911,1.144506,1.1706992,1.0835867,0.88834476,1.2282493,0.75412285,1.0615507,1.2529417,1.0724134,0.77798486,0.8618579,0.90661544,0.5079559,0.8777295,0.915408,1.0689687,0.76033235,1.1885983,0.8981514,0.969266,0.0,0.8637433,1.195247,1.1648219,0.7156037,1.0227242,1.0936404,0.68805987,1.1679142,0.7780889,0.9344182,1.3233174,1.1822152,1.0322802,0.8796917,1.0498806,1.073179,0.88041747,1.0646031,0.97340983,0.8077621,1.2543656,0.9520313,0.924655,0.99193174,0.7656294,0.88696736,1.0586071,1.2734423,0.8391383,0.90021193,1.1103928,1.1340955,1.1365349,1.1341099,1.1956373,0.795534,1.0389792,1.213851,0.9346717,0.87138784,0.9149716,0.9507486,1.0078982,0.70623446,0.66226697,1.2551965,1.3121684,1.1537592,1.2444168,0.82784045,1.1108916,1.1464771,0.89276826,0.6074498,0.7888924,0.7654372,1.0168605,1.0381688,1.2291741,1.0449771,0.6614201,1.2206969,0.78065103,0.75813884,0.9158615,1.0980276,1.1160843,0.6551844,1.2398679,0.77043843,1.1858153,0.99162436,0.9995582,1.093603,1.0680169,0.78809416,0.82408327,0.97394305,0.9404375,1.2345277,1.0175507,1.0710425,0.98581046,1.0030018,0.6491271,0.5782182,0.97981167,0.7825501,0.9869173,0.7473828,1.0633223,0.852203,0.9111944,1.2309045,0.7325604,1.1336379,0.98710126,0.87240374,1.021644,1.1488384,1.332286,1.057647,0.83451366,1.0594721,1.1619179,0.46264344,1.1771116,1.3363806,1.1410627,1.0067017,1.1250324,0.5589233,0.7188215,0.95467573
coffee,1.0892503,0.9402573,0.9655032,1.16492,1.2942353,0.9260144,0.7331842,1.0340984,0.70119476,0.8955902,1.2681094,0.9587344,0.67189693,0.82660913,1.3224084,1.1984136,1.1002887,0.82810163,0.9744703,0.7436801,0.59840095,0.8110349,1.0917728,0.89518034,0.66728616,0.91050595,0.4706784,0.9030698,1.0464171,1.1851628,0.7184869,1.032048,0.8040203,0.87853765,0.8637433,0.0,1.0980171,1.04967,0.856511,0.98436624,0.992308,0.7503639,0.89251536,0.6193799,1.0064176,1.0184189,1.1612335,1.2034771,0.8357744,0.66357464,1.168628,1.0952644,0.994978,1.2164068,0.97982836,1.297408,1.2111267,1.1008731,0.91589046,0.9850399,0.77971077,1.0174685,1.196905,0.9212768,1.3632026,1.0435619,1.0668736,1.3207818,0.95434374,1.3753538,1.0800502,0.9332783,1.0298551,1.2749166,0.7766973,1.232175,0.69140875,0.8747423,0.582538,0.5923036,1.2528431,1.1581274,0.9861881,1.2896305,1.0679431,1.3385649,1.1107208,0.9286281,0.77371895,1.1016092,0.8890519,0.9602939,0.85772634,1.2745076,1.3157896,1.175141,1.1557705,0.7784265,0.7960894,0.9920804,0.9926924,1.2118984,0.65262425,1.0029405,0.81829834,0.80954987,0.94765174,1.1523765,1.0631777,1.0312667,0.6583475,0.9590415,0.8632945,1.1276406,1.2673396,0.7002474,1.0198239,1.258611,1.1444043,1.0842614,0.83299136,0.94967353,0.55662775,0.95373154,1.0226841,0.97762966,0.7099345,1.1072307,0.96129453,0.7959418,1.0970011,0.97146934,1.0816725,1.268128,1.0951566,1.1288004,0.7601254,1.0913476,1.2889671,1.1201739,0.7642826,0.9771038,0.8886448,1.1082842,0.9907004,1.039653,0.6834842,0.9396631,0.9546632
comb,0.72467124,1.2060786,1.4855406,0.76205075,0.5762708,1.4189707,1.2865715,1.2667787,0.90679914,0.6005818,0.90736914,0.7724855,1.1770006,0.54425526,0.68750894,0.8930944,0.67619854,0.96798354,0.7673262,1.3731762,1.208704,0.71084946,1.2733412,0.8216162,1.1000015,1.1548011,1.3183819,1.0921717,1.3004407,0.6652875,0.8331733,1.1690797,1.2316985,0.7041093,1.195247,1.0980171,0.0,1.2115214,1.2327507,0.7732572,0.96317476,1.3359221,0.67270356,1.2996564,1.29215,0.6873656,0.9074411,1.2379639,0.9525899,0.7288935,0.8829483,1.0699716,1.4266546,0.9041306,1.1495934,0.8806784,1.0791153,0.9616381,1.2282262,1.0134321,1.2322683,1.0441643,0.5330136,1.236238,1.0889261,0.8867588,1.0337002,0.7521566,1.0815775,0.7246219,1.2088957,1.1063147,0.7416012,0.85946083,1.310183,0.77291036,0.89685917,0.7992071,1.3068298,1.3333086,0.8492145,1.0482115,0.89893943,0.8163463,0.92508197,0.82839406,1.0760595,1.3900485,1.2014748,1.0437533,1.3313175,1.4501054,0.6614192,0.7579665,0.6922575,0.8102175,0.75021046,1.1170977,1.0756859,1.0523317,1.2898676,1.002021,1.231378,1.0904305,1.2099593,1.1828519,1.1915562,1.3307767,1.2185851,0.72128785,1.1748291,1.2946925,0.7805866,1.1668799,0.90491104,1.1049173,0.9475238,0.75650525,0.9745235,0.9111985,1.2687356,0.93889374,0.9525643,0.80955637,1.3694936,0.80151427,1.2447181,0.8632798,0.9362912,1.296079,0.7117467,1.3369037,0.92410094,0.752532,0.8164661,0.68792135,1.3008782,1.286853,0.9703836,0.5004699,1.208917,1.122712,0.8089086,0.86779773,0.9606122,0.9493511,1.0061309,1.2838546,0.85606074
cookie,1.1741912,0.90037495,0.72968227,0.80876064,1.2531106,0.7754765,0.904392,0.36829036,1.0697464,1.2930968,1.0158643,1.2879899,1.0648096,1.379288,1.1967596,1.0102775,1.2812003,1.0683386,1.1213223,1.0564222,0.969031,1.162745,0.54586715,1.3018064,1.1771939,0.92020535,1.1446339,1.0872821,0.69780755,1.2613548,1.3728473,0.2908885,0.9142264,1.2763338,1.1648219,1.04967,1.2115214,0.0,0.8730545,1.3367883,0.7716769,0.9665244,1.3283421,1.1195587,0.80986416,1.0908829,1.0989537,1.0691156,1.2436769,1.0365473,1.2091424,1.0547287,0.5138543,1.1569695,0.97448766,1.0713631,0.99881756,0.8948983,0.93923825,1.0826734,0.81270945,0.763636,1.1943023,1.0263374,0.9251691,1.2366877,0.7702238,1.1964355,0.682366,1.1911249,1.036133,0.9302254,1.0528748,1.127761,0.9325732,1.1709971,0.985538,1.195895,1.0480477,1.0775456,0.8995034,0.75566256,1.1068261,1.051939,1.1286063,1.0005579,0.81296355,0.9282443,1.0108384,1.0660534,0.9868435,0.6136755,1.1792433,1.1332476,1.3187041,1.2149384,1.1330292,1.0343482,1.0290415,0.99027914,0.05503261,0.96656346,1.1449636,0.67720485,1.0962086,0.6326572,0.9020663,0.73966897,0.8400454,1.2740629,1.0775821,0.88984036,1.2476394,1.0157762,0.79387957,0.91413414,0.9567942,1.2383085,0.97928065,1.1740726,1.0539193,1.1949153,1.0609587,1.0310158,0.8631512,1.0918832,0.9951023,1.0412095,0.96586186,0.9392419,1.1132845,0.7228218,1.2371972,1.241905,1.1071209,1.1393572,0.6710774,0.93220305,0.8881403,1.0183816,1.1555436,0.88310236,0.89628154,1.2051599,1.1223764,1.0888542,1.349193,1.0319941,1.2899803
corn,0.99488986,0.8435427,0.7324939,1.1744676,1.3240469,0.73393786,0.79553163,0.73775107,0.6974964,1.1725607,1.2846565,1.2256312,0.8162496,1.232994,1.233403,1.0829668,1.2204982,0.8251778,1.2245172,0.7008238,0.9532348,1.2805085,0.6060178,0.9824206,0.9071779,0.6459062,0.7391861,0.8302354,0.8752077,1.1616259,1.0941718,0.8530121,0.6533946,1.2446864,0.7156037,0.856511,1.2327507,0.8730545,0.0,1.270488,0.8057621,0.69496447,1.2810433,0.74200714,0.8270283,1.2399241,1.1612655,1.0304706,0.9259767,1.1151491,1.0312641,0.9351108,0.8237568,1.2246412,0.84268,1.2703916,1.0211818,0.92918074,0.79615796,1.065092,0.59078586,0.9459885,1.2535285,0.76672447,1.049997,1.1453048,0.94594455,1.1465038,0.7935683,1.274919,0.87444246,1.0084971,1.1619738,1.28302,0.73149025,1.2694907,0.8604597,1.2525696,0.6370949,0.6388187,1.138673,0.9751329,1.0394405,1.2670648,1.1981406,1.1880782,0.9167881,0.7621025,0.5800694,0.9283987,0.70904195,0.7683811,1.2318621,1.1437807,1.3240259,1.2198706,1.2530096,0.755477,0.753579,0.985337,0.8162209,1.2242312,0.5736002,1.0389842,0.6521679,0.87917477,0.9298557,0.8478507,0.90017295,1.1903102,0.8041823,0.9281039,1.1552248,0.94326496,1.142461,1.0196843,0.8564292,1.272064,1.0998107,1.113977,0.53476006,0.9937443,0.95596415,0.968192,0.894394,1.0147185,0.84777856,1.2133149,1.1365638,0.6133514,1.1884351,0.8151248,1.2322853,1.323083,1.0607337,1.3781558,0.78504336,0.86499465,1.13264,1.1123044,0.5782901,1.0082647,1.2489657,1.1358898,1.2836657,1.2380552,0.7779575,0.8221808,1.0500072
couch,0.65356725,1.330388,1.4377708,1.1218458,0.56826717,1.3364276,1.3743355,1.296974,0.99690056,0.5559339,0.7774068,0.3862499,1.3566716,0.36057663,0.5820866,0.92994934,0.24491608,1.1622409,0.8485667,1.3622019,1.2476865,0.744679,1.3371897,0.8955617,1.0165889,1.3650187,1.2459561,1.1505659,1.4479711,0.5520394,0.3335805,1.2950062,1.374898,0.49576092,1.0227242,0.98436624,0.7732572,1.3367883,1.270488,0.0,1.1737492,1.4681957,0.41567266,1.2660248,1.3726603,0.8201869,0.6540593,0.90363926,0.7039397,0.93125814,0.7947843,1.1846274,1.4741967,0.6117003,1.3251636,0.7902312,1.3197831,1.2163608,1.2097228,1.1704826,1.4975239,1.1370268,0.76742715,1.4609401,1.1103748,0.69544005,1.3717561,0.71772134,1.2034521,0.9568643,1.1136037,1.1468527,0.8676253,0.7447153,1.3235462,0.63498795,1.3008016,0.7370955,1.311912,1.2885686,0.89186937,1.0826691,0.8247373,0.77305806,0.56642807,1.042622,1.0596024,1.4334636,1.1273266,1.2850845,1.4136784,1.4018488,0.58722687,0.71790123,0.5845001,0.6066806,0.7712303,1.4673662,1.4740156,1.0504242,1.411782,0.8774941,0.99696904,1.0772046,1.2533385,1.1994444,1.1469158,1.2644596,1.1785063,0.6171722,1.180243,1.3786418,0.54985183,1.000247,0.9714713,1.210241,1.30066,0.55372727,1.0276659,0.7568699,1.3934746,0.7166535,1.0593976,0.96052617,1.4035509,0.88187027,1.2951818,0.9160206,1.0509208,1.4923646,0.8687324,1.388145,0.49414313,0.48663443,0.80605954,0.5502144,1.3805327,1.3953757,1.2559413,1.0934238,1.0899466,1.1838168,0.86830616,0.751958,0.79626775,0.8392324,0.96171427,1.4345721,0.67847216
cracker,1.0367994,1.0094444,0.9489762,0.7508061,1.1078519,0.9669775,1.046966,0.71827614,0.72080076,1.2338451,1.1289428,1.1739275,1.048612,1.0918231,1.0616776,1.108,1.1414164,0.9614676,1.0128193,0.99972135,1.0161129,0.97783524,0.5161398,1.0724009,1.0337623,1.0135733,1.0799974,1.0691606,0.83373594,1.1440625,1.1527869,0.6837896,1.1199342,1.0776601,1.0936404,0.992308,0.96317476,0.7716769,0.8057621,1.1737492,0.0,0.9903292,1.1435319,1.0080103,1.0968795,1.0520409,1.0357797,1.0402379,1.1047165,0.9491233,1.0314363,1.0479574,0.8402341,1.119668,1.0343126,1.1491839,0.94765395,0.9492556,1.0466105,1.0018698,0.8878887,1.0286531,1.1066908,1.0746372,0.99954,1.1502386,0.7679901,1.1634614,0.6752417,0.95057833,1.1002437,1.0545979,0.9813351,1.1778159,0.9130038,1.1029501,0.9480447,0.9920075,1.1571562,0.946406,0.6962316,0.8170386,0.79755235,0.9725119,1.1622003,1.0621306,0.78127235,1.0023142,0.9132762,1.0445504,1.0440532,0.87166584,1.1181009,1.0880102,1.1637747,1.1093603,1.1202166,0.9934287,0.9269834,0.961023,0.8094229,1.1178788,1.0112355,0.7811452,1.0553244,0.78565127,1.0527637,0.75503314,0.925958,0.96376985,1.0681971,1.0552952,1.0963228,1.063323,0.7656544,0.98520595,1.0201359,1.1483889,0.99861664,1.002248,1.0212032,1.2120556,1.1068363,0.8858564,1.0150015,1.0758172,1.0802833,0.95568204,0.8970815,1.0219651,1.1880317,0.95526695,1.1371386,1.1821587,0.97998977,1.1215973,0.948362,0.9608461,0.95619655,0.9362023,0.9970196,0.9453867,0.92691934,1.1693392,1.010557,0.99635226,1.0992824,1.048892,1.1781948
crayon,1.4595343,0.5731798,0.3553686,1.1246486,1.5282623,0.6991628,0.50234056,0.9168112,0.92739713,1.4193082,1.3228676,1.400172,0.19491458,1.3390635,1.5345329,1.2666798,1.4895865,0.6187876,1.2229717,0.30674374,0.5655638,1.319619,0.8878653,0.7775888,0.942548,0.56915283,0.31887722,0.6989361,0.4498967,1.4189577,1.2516543,1.0378687,0.4888929,1.4168893,0.68805987,0.7503639,1.3359221,0.9665244,0.69496447,1.4681957,0.9903292,0.0,1.4917606,0.5205027,0.6545626,1.3573883,1.4156556,1.233893,1.1942214,1.111526,1.314645,0.91001445,0.5719327,1.2860122,0.6109725,1.311529,0.70061404,0.87048703,0.7528149,0.7105603,0.38365877,0.99660623,1.5334196,0.38340372,0.99846876,1.2584398,0.7281331,1.382853,0.9281569,1.3490138,0.8284454,1.0075772,1.2816246,1.2936699,0.5195919,1.3846803,0.6218808,1.2249285,0.41843247,0.35853207,1.4453409,1.2952574,1.3197362,1.5000224,1.2742579,1.0658655,1.2136439,0.20642006,0.73103905,0.73293555,0.4245959,0.5992266,1.4330127,1.4226475,1.4847653,1.3175712,1.392652,0.16652143,0.21479833,1.0806266,0.7435671,1.2573315,0.6538204,1.1931344,0.60644066,0.9960994,0.99700266,0.85371846,1.0651481,1.4411714,0.5854095,0.43962443,1.4576502,0.9535632,1.3329057,0.8133187,0.67889535,1.4973574,1.1845616,1.2117176,0.3791461,1.2314084,0.6159605,1.0554891,0.3641951,1.0796901,0.31510383,1.1221424,1.2127516,0.3662938,1.2665751,0.62743366,1.3499086,1.5145813,1.2083547,1.5212691,0.6424287,0.47555602,0.79712486,0.97988504,0.6454088,0.82971114,1.3245813,1.2794964,1.2078898,1.2430173,0.7229737,0.24977744,1.2816625
crib,0.74120426,1.3824234,1.5662112,0.99006134,0.6467281,1.4476821,1.4257379,1.308115,0.78626084,0.48999953,0.8083068,0.19896865,1.4769797,0.44063532,0.6188989,0.9387283,0.43073136,1.0983742,0.65317756,1.3343937,1.194148,0.38419878,1.4563618,0.82461226,0.8608341,1.2757343,1.246668,1.1569353,1.5439755,0.693896,0.40031916,1.2357411,1.4112262,0.31938338,1.1679142,0.89251536,0.67270356,1.3283421,1.2810433,0.41567266,1.1435319,1.4917606,0.0,1.2008597,1.3715365,0.49912918,0.72737384,0.8410455,0.61481154,0.7141921,0.8292162,1.2261742,1.5594714,0.8631459,1.4294026,0.8894774,1.4116552,1.3944554,1.0508476,1.2932968,1.4641447,1.1662077,0.67848986,1.5009562,1.2896616,0.66719604,1.3429716,0.7970632,1.1885608,0.94493747,1.2758436,1.093723,0.85766196,0.74698526,1.2681509,0.8298046,1.197016,0.38610685,1.3433995,1.2321447,0.9302033,1.1195488,0.66555744,0.79010385,0.6781327,1.1751035,1.096841,1.5557197,1.1509886,1.3718368,1.5404466,1.5112852,0.5214395,0.76751566,0.6853613,0.8345965,0.6468472,1.4927454,1.4783695,1.0527108,1.4281809,0.9625128,1.1522768,1.0389342,1.2016479,1.1049932,1.1248695,1.3935655,1.1237099,0.48943287,1.1919092,1.510178,0.39626193,1.0861608,0.991213,1.1557446,1.1715187,0.7092221,1.0135697,0.92773634,1.3567134,0.6125543,1.1211693,0.7535155,1.583454,0.8500333,1.3541269,1.0082186,0.9587152,1.4850242,0.8612771,1.4060923,0.54468465,0.6744573,0.6602222,0.42705762,1.3502498,1.5493932,1.2693841,0.9088148,1.1242014,0.9575903,0.6887239,0.74006975,0.69708014,0.7710961,0.8884855,1.5534825,0.63840586
cup,1.2248452,0.96686965,0.6850537,1.2232206,1.4387797,0.6515472,0.5611172,0.98390216,0.7302625,1.2170951,1.2767935,1.2357576,0.6133336,1.2093755,1.4025195,1.2289785,1.3379192,0.6985451,1.0666689,0.17797697,0.3633445,0.98886335,1.0410316,0.9454881,0.22039443,0.70446515,0.2634691,0.6352618,0.91227245,1.3923368,0.9636778,1.078182,0.6298622,1.2343458,0.7780889,0.6193799,1.2996564,1.1195587,0.74200714,1.2660248,1.0080103,0.5205027,1.2008597,0.0,0.82707894,1.0220466,1.2625093,1.1242356,1.0546933,1.0181391,1.2013719,1.0171189,0.7821909,1.3938894,0.8909846,1.3454739,1.0732304,1.0685368,0.7371911,1.0806183,0.5652542,1.0835156,1.1300555,0.6870812,1.112419,1.1662092,0.7388048,1.3692106,1.0916513,1.3153119,0.9612356,0.9154349,1.1240891,1.3739653,0.26992422,1.4212012,0.7656399,1.1026766,0.3626572,0.5269137,1.3986586,1.0649774,0.7847433,1.288135,1.1907585,1.3230584,1.1768131,0.6262134,0.6495816,0.99963194,0.73304516,0.7660061,1.1387044,1.3576711,1.4605134,1.3865087,1.2054201,0.5860418,0.65642726,0.95460427,1.0220296,1.2653446,0.49009508,1.1359025,0.69736254,0.8162037,0.8736672,0.99216115,0.89407897,1.0717168,0.50286543,0.86205816,1.1034542,1.0718446,1.265856,0.783955,0.8151976,1.4173986,1.1024194,1.2754941,0.51532316,1.1125103,0.6630168,1.0664223,0.8091372,1.105212,0.5933355,1.1313313,1.0157483,0.5140907,1.1148264,0.81249857,1.2083864,1.4515767,1.1405482,1.2898344,0.5026816,0.92819643,1.1070095,1.1233923,0.61865747,0.8010951,1.0976534,1.1295389,1.1296327,1.1886978,0.6382411,0.63044673,1.0608308
deer,1.0435672,0.79998606,0.74141556,1.099223,1.3815551,0.73571503,0.7562009,0.7006904,1.0531312,1.3891264,1.1256776,1.3270177,0.7866446,1.4317296,1.3065372,0.87666154,1.3270749,0.9169286,1.0066957,0.74833596,0.9549708,1.2038112,0.90218055,1.0853592,0.99680346,0.5182327,0.8408052,0.8587727,0.62235224,1.2951157,1.2960403,0.7718291,0.7444213,1.3551924,0.9344182,1.0064176,1.29215,0.80986416,0.8270283,1.3726603,1.0968795,0.6545626,1.3715365,0.82707894,0.0,1.2453343,1.1805664,0.95983416,1.23993,1.1151305,1.2941481,1.023231,0.6389772,1.2503835,0.91744596,1.2196107,0.94224364,0.80039954,0.6839713,1.0143948,0.5737001,0.61027837,1.2791989,0.7352585,0.90658075,1.257966,0.89906216,1.2782602,1.0039849,1.2606138,0.9746786,0.48655415,1.1274736,1.2067951,0.82232535,1.323033,0.76271254,1.2062235,0.75510406,0.83900774,1.1984365,1.1493243,1.1838161,1.2309991,1.0505505,1.1077205,1.0685697,0.79049796,0.8918566,0.8857789,0.8069184,0.7005391,1.3476405,1.2422793,1.3892248,1.3124986,1.1639363,0.6620895,0.64787465,0.7817367,0.72075737,1.1063423,0.7638167,1.059601,0.7232605,0.9712759,0.4960314,0.9266585,0.81823516,1.2139755,0.8042898,0.82039416,1.3838024,0.7286425,1.1673795,0.9645473,0.6483256,1.3820708,1.002767,1.255538,0.57817197,1.1937754,0.9683198,1.044571,0.7345903,1.0327274,0.80205065,1.1471744,1.1638,0.5158802,1.056883,0.73799735,1.187614,1.3437841,1.1342381,1.3074625,0.6419101,0.90456885,0.9317942,1.0462638,0.89840335,0.78743833,1.1908212,1.1799517,1.1169785,1.0914018,0.93631,0.7363374,1.2508409
dish,0.9482675,1.3655698,1.3220917,0.79727185,0.77033824,1.180315,1.1923058,1.0656651,0.9344776,0.6625837,0.862687,0.7003554,1.4691404,0.84963316,0.74755543,0.99767476,0.7212185,1.1860651,0.66492677,1.2116472,0.7983458,0.33229846,1.2825907,0.8781922,0.72622025,1.0405251,1.2746577,1.1743138,1.3079418,0.927579,0.86300296,1.0203977,1.2306317,0.76141614,1.3233174,1.0184189,0.6873656,1.0908829,1.2399241,0.8201869,1.0520409,1.3573883,0.49912918,1.0220466,1.2453343,0.0,0.892037,0.9586388,0.90737677,0.9066998,0.91186756,1.126313,1.2653584,1.045847,1.3166516,0.9010066,1.2616287,1.3188863,0.8416306,1.2795832,1.2616882,1.0549668,0.62130487,1.3935349,1.2063675,0.8923826,0.9790508,0.90785724,1.0765052,0.79306597,1.3097901,1.0537157,0.6616021,0.9439845,1.1192828,1.0065427,1.1911242,0.81140023,1.2497199,1.2974429,0.91522944,0.8600938,0.6519451,0.7503762,0.99236536,1.0909798,1.0664642,1.3626729,1.1795648,1.3345072,1.4185832,1.2699132,0.74351215,0.9262676,0.8745589,1.0583419,0.595794,1.3511285,1.319533,1.0019345,1.1587346,1.0575914,1.2800407,0.8757725,1.1469026,0.79717964,1.1309001,1.3114568,0.98427635,0.6580032,1.1868124,1.3449485,0.74813277,1.2129697,0.9268828,0.9627144,0.9840834,0.89390606,0.96296626,1.1268127,1.3017193,0.83467126,1.1966821,0.9042495,1.4452488,0.9563329,1.3136032,0.98773146,0.7498522,1.3006117,0.852552,1.1928763,0.9097088,0.87337184,0.69917095,0.40677023,1.0454715,1.4113164,1.1111902,0.74954134,1.2852893,0.8313415,0.53152215,0.85154176,0.9368126,0.94820935,1.147565,1.4482002,0.91487235
dog,0.48459876,1.3939116,1.2729731,1.0836506,0.7629669,1.0995859,1.2902167,1.100922,1.1185412,0.80078804,0.69292223,0.7469099,1.4007256,0.81722075,0.7513151,0.3667997,0.6626451,1.2137033,0.93418896,1.2504568,1.2635409,0.9097172,1.0869873,1.0238886,1.1411037,1.1572849,1.331867,1.1212845,1.3817798,0.33899277,0.90100855,1.0593382,1.2358042,0.8169313,1.1822152,1.1612335,0.9074411,1.0989537,1.1612655,0.6540593,1.0357797,1.4156556,0.72737384,1.2625093,1.1805664,0.892037,0.0,0.7605533,0.86994034,1.1243863,0.824539,1.2164177,1.291867,0.8636231,1.215858,0.7871868,1.3059089,0.841277,1.0652283,1.2318995,1.3591874,0.80273414,0.7652978,1.3600936,1.0006173,0.7503372,1.1963754,0.70865786,1.0690572,0.960058,1.148104,0.9357189,0.94487315,0.93664527,1.167785,0.8617119,1.2873971,0.9365692,1.2689368,1.2247623,0.7115171,0.9094484,0.87592095,0.7696636,0.86386883,1.0972999,0.89363164,1.303606,1.1608657,1.31223,1.2456579,1.2132244,0.83547187,0.391827,0.7165871,0.86653525,0.86114085,1.3962998,1.4339483,0.9949562,1.1922519,0.8721401,1.1470629,0.94532114,1.1771446,1.0904009,0.71718705,1.1338975,1.0349234,0.8778452,1.182053,1.3214221,0.8117497,0.6492913,0.9236861,1.202274,1.1612587,0.78840774,0.96428347,0.9655613,1.3390973,0.88892937,1.2265557,1.0736145,1.3207705,0.90477985,1.2405701,1.0263897,0.9893853,1.4079313,0.9229622,1.2346389,0.7909999,0.67199314,0.95619494,0.75594604,1.2481939,1.3163416,1.2037044,1.1350727,1.1917835,1.0398589,0.9599158,0.77874506,0.96741176,0.85712373,1.0862961,1.392962,0.9000269
doll,0.89125943,1.0732138,1.1136789,1.0102991,0.9960488,0.9117479,1.1638898,0.9412534,1.0207167,1.1976924,0.8926884,0.8455477,1.2901536,1.1063819,0.8902238,0.89006865,0.9701268,1.1789005,0.9375991,1.1127862,1.2779417,0.90966535,1.0421274,0.9785453,1.0685616,1.1001612,1.1808404,1.0092299,1.2032278,1.0409162,0.95910513,0.93429214,1.2409104,1.0185425,1.0322802,1.2034771,1.2379639,1.0691156,1.0304706,0.90363926,1.0402379,1.233893,0.8410455,1.1242356,0.95983416,0.9586388,0.7605533,0.0,0.9788261,1.1013587,0.6074864,0.99602973,1.060846,0.887319,1.0980299,0.9433962,0.9764058,1.0537975,0.7975625,1.013671,1.1763343,0.859403,1.1182253,1.130403,0.6165855,0.9917508,0.94879156,0.9237098,1.1331823,0.8081807,0.9219463,0.98173577,1.1501468,0.80874,1.0766853,0.9846445,1.1972656,0.86528754,1.1547992,1.1545962,0.84322846,0.96066284,0.9885134,0.60374695,0.8138784,1.0371637,0.84005994,1.1611388,0.97152364,1.0762662,1.0943798,1.0826472,1.12034,0.8571137,0.81567407,0.9748559,0.98119146,1.2623806,1.2087513,0.87989706,1.147764,0.7791192,0.93541753,1.0571866,1.0358917,1.1164274,0.8555758,0.8160837,0.86003244,0.77554977,1.0957088,1.1779342,1.0033927,0.64212793,1.0743096,1.1884739,1.0500042,0.9747907,0.83149517,0.8775383,1.0432565,1.0240424,1.3316247,1.1138692,0.9648934,1.2044256,1.2958355,0.8879341,1.1422929,1.1411648,1.1309953,1.0795567,0.56935453,0.9119707,1.0220422,1.0126904,1.0663298,1.0031893,0.94374824,1.2097931,0.9551028,0.69790006,1.1705997,1.056885,0.85809726,1.0147207,0.9878504,1.1443985,1.0497319
