category,mean_bv_to_things_centroid,std_bv_to_things_centroid,mean_bv_to_bv_centroid,std_bv_to_bv_centroid,corr_dist_things_vs_dist_bv,n_bv,n_things
belt,20.597214831148086,4.147595080706244,10.956018974243946,5.351991197322635,0.7466484325715319,262,12
tray,20.526544017269604,5.66878592150345,15.064875294179025,5.62293512596987,0.8750995052872838,264,12
ball,20.199566913734316,3.5317028334585454,12.504732351808736,4.720330666101123,0.8467443288265132,266,13
bread,20.140983066352305,4.543987354882053,14.8699346207053,5.888614088774726,0.9237899476000052,257,21
finger,20.05352221815996,2.505449737616592,7.729726245653166,4.3493972791066255,0.8540534339625815,263,10
glasses,19.955263769941748,2.1449135951326554,8.875218216546713,2.8224249691803758,0.4506915972535083,266,17
balloon,19.852086793571427,3.692358431647082,12.42080315952022,4.504462351914653,0.8832392267637724,266,18
couch,19.579670961879902,2.979408208427536,10.613615066024344,3.460632434538895,0.5637613747193209,266,21
alligator,19.570891694057803,4.928217306941854,14.23940232712383,6.032112225768906,0.9384083654506405,260,14
banana,19.540232296497024,4.131276060160991,13.496580060860351,5.363038968419722,0.9405113117468281,260,13
watch,19.535184233624676,2.9233679030929096,8.924947731693265,3.3214368883893477,0.6121576365230788,264,15
drawer,19.35815000562227,3.721528395638966,13.013375822960525,4.876592934709249,0.9162875151544545,262,13
door,19.250060483831582,2.345359093938316,9.862359993115938,3.5289391725409325,0.7970476796153099,265,10
blanket,19.165797256689665,3.4585254488851667,10.904743224414162,4.609049489220523,0.8716338326420693,266,11
dog,19.114944277046167,3.98408859187895,13.55025613478726,4.00520140288835,0.7686373014643015,266,9
shovel,19.07806075874326,5.784209336937891,15.526678571241396,6.823658099259108,0.9845477422108616,248,11
shoe,19.026138012626703,5.198103045082655,14.336572073963806,5.919013268141467,0.9300587830930067,262,10
crib,18.98023662264767,3.164474904825626,11.307726439672372,3.8460736871481647,0.8706822153516985,265,17
bib,18.699767454848896,3.174230742419229,11.93825215741487,4.077961404439566,0.7901990164297771,266,14
pencil,18.656481682600358,3.5283839800546892,9.977979188580546,4.944887700139469,0.7741294559645234,265,12
hand,18.655771676364648,1.4868203243681357,6.201830727543811,2.3879561649517766,0.7164085559038195,266,9
pen,18.643147350773987,2.6371582885654847,8.793114295190453,3.829733494611781,0.6570429773903576,265,12
box,18.63496926868819,3.2445937974767047,10.635065375535612,4.088268777780807,0.8550136481455496,266,11
necklace,18.61644085251002,3.0514709411317886,10.940229374512162,4.5928618869942275,0.7791939550256096,261,15
bottle,18.537483784629043,2.3761546330128662,7.537824278073306,2.850916594084495,0.4320373138759957,266,11
refrigerator,18.53326275912419,3.080235063964691,11.402972242171858,3.975053512266982,0.9137274653941015,264,12
oven,18.280892513814425,3.4620023857783617,12.276296987623821,4.7005847606360405,0.9336321898269656,260,15
crayon,18.24378229956847,1.422386227323447,4.990400154193338,2.0243688300180493,0.517703597067925,266,17
doll,18.224161049069824,3.488563090169925,12.19587950309598,4.421661439410366,0.9138949467977272,265,15
mitten,18.17997237617147,4.0522675778270685,11.606481906248431,5.400144577733256,0.9579509817934179,264,12
lamp,18.11221906433093,2.607931478928455,9.453179523442394,3.2640630550489806,0.7528396490629324,266,13
bench,17.99599112327288,2.9923662465485745,10.819558348759797,3.871298402082105,0.7886124483585832,266,16
toe,17.953549569401883,1.6836519682250068,6.605078697647517,3.139821450054588,0.7170025926500319,264,12
book,17.940758025627815,2.810726020636375,8.748541274966117,3.8094966509257384,0.804923941438052,266,11
