category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist,k_used
belt,262,5,5,9.943757734715353,4.381958282998629,8.799108356717733,5
plate,266,5,5,9.980736014617502,3.1433975399333107,9.052918575804366,5
necklace,261,5,5,10.068846171901903,3.9767609794699674,9.15374299322845,5
frog,265,5,5,10.092303000839522,3.3216054597092377,9.322845785822508,5
apple,265,5,5,10.198751602089114,3.7192179555679545,9.14374957104496,5
crib,265,5,5,10.275552776658786,3.4959411887078713,9.36540921420922,5
table,266,5,5,10.299513267939478,3.148592536744263,9.497815622648242,5
blanket,266,5,5,10.329891040444062,4.138096676778172,9.357154248501878,5
knife,264,5,5,10.333967738080815,3.604504839489685,9.402093627451297,5
oven,260,5,5,10.341199460364956,4.0973794767628835,9.411135529659013,5
fish,263,5,5,10.396260343428398,4.484976587348749,9.203088197599996,5
window,264,5,5,10.414427686857618,4.322625484991102,9.658771990903936,5
hair,263,5,5,10.629049988016005,4.285969512999622,9.816409440912214,5
basket,266,5,5,10.65182567358552,3.515806661908716,9.77461620600955,5
shirt,266,5,5,10.712191712831432,3.696210614008246,9.83475145448239,5
spoon,257,5,5,10.801862991718597,4.586139518286173,9.543424476044043,5
dog,266,5,5,10.930461162503468,3.4928868973176748,10.162368733019356,5
car,265,5,5,11.107064505149634,3.9240270475520584,10.044052417878385,5
pants,256,5,5,11.180345029099785,5.291240071266762,9.615481736826975,5
balloon,266,5,5,11.211698750432815,3.1236803612836375,10.65321251031202,5
drawer,262,5,5,11.257756949745458,4.2101374937189,10.055038930424907,5
jeans,257,5,5,11.278296861894784,4.56695108774094,10.286411957261631,5
fork,253,5,5,11.512643954124398,4.222946117802663,10.254091308016816,5
toothbrush,263,5,5,11.523814410544084,4.381696076534815,10.362493409157922,5
ball,266,5,5,11.577916545221216,3.7675090611493527,10.502526228942148,5
doll,265,5,5,11.642808077088544,3.5918100027511604,10.948120553000352,5
mitten,264,5,5,11.727755218965548,4.796608093031763,10.490190420104966,5
tape,264,5,5,11.829798992807502,3.990633459502308,10.813562006881089,5
purse,266,5,5,11.945657680167491,3.9317354910905395,10.906907269620302,5
bathtub,262,5,5,11.96679313302433,4.39816788971264,10.645212496431007,5
bib,266,5,5,12.010150615113988,3.4025671040522782,11.23353368025982,5
scissors,265,5,5,12.417216507501847,4.161361744419309,11.557894868112456,5
paper,265,5,5,12.44087807935814,4.07292865681259,11.470140344789545,5
banana,260,5,5,12.521666275400175,4.242782551458897,11.399892908425361,5
plant,263,5,5,12.553395119161438,3.740745500017953,11.658691708007813,5
pajamas,262,5,5,12.554108036543717,4.077834529030082,11.504622428521877,5
flower,266,5,5,12.687197101242774,3.6697211999646155,12.113192754799236,5
orange,254,5,5,12.744092207739342,4.865376642819182,11.544052600490769,5
egg,246,5,5,13.08242036489984,4.290963222115126,12.190792908570813,5
clock,262,5,5,13.123596519507245,5.2554276666838735,12.048603745602065,5
shoe,262,5,5,13.292003892800304,5.014003822346973,12.013628154912151,5
ladder,259,5,5,13.447307949994265,4.73466002719242,12.431267377046073,5
alligator,260,5,5,13.509225661225491,5.275135166191932,11.634167950138453,5
bread,257,5,5,13.550064533047285,4.93140558394305,12.255662508561365,5
arm,256,5,5,14.250759997586716,6.2090891229337,12.549441824550623,5
carrot,235,5,5,14.320085097865187,5.202498220557653,13.275365770456705,5
shovel,248,5,5,14.33993658750278,5.8873945710771665,12.288819147307969,5
tray,264,5,5,14.363320387270981,4.523356035914663,13.433992604487592,5
shorts,232,5,5,14.41679804161532,6.541159900865353,12.107412626682077,5
tooth,244,5,5,14.577700750885661,6.2658754849230975,12.563345492268128,5
radio,251,5,5,15.603610701287305,5.569378134568966,14.188210242366614,5
sweater,255,5,5,15.662517056676691,6.270132395627019,14.00149021334397,5
sock,250,5,5,15.775014105661608,5.7124019673882795,14.194291929037522,5
soap,213,5,5,15.970913828498954,5.0699077961359365,14.582733819383169,5
nose,211,5,5,16.520819871958487,5.08382888128658,15.191634961875906,5
foot,215,5,5,16.902197383998715,6.266793219197978,15.279534833012699,5
jacket,249,5,5,17.784774568672468,6.249927199351362,16.20706511190727,5
strawberry,201,5,5,18.135564500168066,5.890492032504341,16.426198255251567,5
cracker,248,5,5,18.137435890588897,6.545541714243495,15.981117717215511,5
glass,251,5,5,18.199459952825592,7.019910510113038,15.989069573447201,5
stroller,243,5,5,18.485854516556305,6.969697757465344,16.494374948059505,5
ear,183,5,5,18.54772040371766,5.477954256602521,17.742154777814214,5
pumpkin,238,5,5,18.706495797901464,6.265781692201441,16.957859789016638,5
face,248,5,5,18.8474740783623,6.682909456737778,17.255526778653895,5
ankle,199,5,5,19.027704422755523,5.257955799242444,17.625011268691768,5
comb,234,5,5,19.119297337372217,7.243193490786835,16.86218745733006,5
pickle,204,5,5,19.27162306547647,6.302693993074945,17.837064441258555,5
broom,196,5,5,19.406354667230957,6.952673436873517,18.347867207795506,5
rooster,247,5,5,19.48745096418705,6.778482210368087,17.634737321983085,5
slide,245,5,5,19.61088579089188,6.678543924161853,17.963792905176806,5
melon,232,5,5,20.03518670065539,6.105262747176799,18.458509126568476,5
mouth,150,5,5,20.148044626295455,6.178888585672352,19.1186414882654,5
closet,233,5,5,20.509075686862484,7.103481094048231,18.791387933708485,5
muffin,209,5,5,20.762169888082468,6.626325939246037,19.051701386074278,5
jar,212,5,5,20.981035701136868,6.7694827046853945,19.413104109360425,5
dress,228,5,5,21.43053518855843,7.847760779224892,18.96170829422784,5
eye,107,5,5,21.6275324348416,5.299898666343216,20.11764332639089,5
pizza,225,5,5,21.800237067492333,7.223848269879589,19.738949434030523,5
raisin,111,5,5,21.809401525188754,5.67106575980548,21.174718045136036,5
motorcycle,216,5,5,22.137444270599072,7.716296692026784,20.555501679774267,5
potato,62,5,5,22.17301788703997,6.403235886186838,21.405156650876506,5
bird,227,5,5,22.247802554717097,6.767128949570143,20.480676051936534,5
grass,149,5,5,22.43276819820212,8.517759822180986,21.288595996513376,5
coffee,189,5,5,22.83887304961786,6.453349687738275,21.37696991417887,5
horse,222,5,5,22.89809868899853,6.814367200127866,21.422914262619535,5
sprinkler,216,5,5,22.98497634640535,7.29456284463215,21.83200745474125,5
shower,185,5,5,23.2612391872543,7.098955721395297,21.308561750376946,5
soup,171,5,5,23.99368524391219,6.883551941007648,22.503067298750068,5
snow,183,5,5,24.075178408842497,7.868855172381474,22.352343616845747,5
tree,186,5,5,24.080331783146395,8.559782714557528,22.12109605801283,5
leg,117,5,5,24.146004903490205,6.161225305962897,22.56769078524689,5
butterfly,186,5,5,24.235742081896362,7.433322867901806,23.40825582651918,5
cookie,177,5,5,24.4977029098278,7.103276001555063,23.32869684989951,5
hose,204,5,5,24.514518305266463,6.5618567187918435,23.398913177636775,5
owl,221,5,5,24.55327781541993,7.461920484706334,22.995113385312496,5
boat,218,5,5,24.682356543168652,7.767011655467746,23.32807629046067,5
pony,175,5,5,24.856950073021455,7.783087676951196,23.41563626668134,5
scarf,202,5,5,25.115444644309143,7.557848223736067,22.74344557744498,5
elephant,193,5,5,25.634459111871607,6.442388479481734,24.89444611354521,5
milk,185,5,5,25.924289413749776,8.192526400054199,24.176015809691613,5
coat,130,5,5,26.42946322146393,7.01385615309084,25.00240218176228,5
truck,147,5,5,26.51951862537033,7.667427874242062,24.67662572564148,5
hamburger,176,5,5,27.526467583273906,7.878221648697061,25.678846140236463,5
corn,113,5,5,27.79432851591194,6.621638640089382,26.044858118053003,5
sauce,84,5,5,28.419503472766845,6.858248637489325,28.40444724450474,5
rock,108,5,5,28.42814536695656,6.914256061595553,27.62725235405923,5
mop,49,5,5,28.48581894005294,7.901666864215767,27.85635177796876,5
meat,154,5,5,29.712867480856474,6.844885859762518,29.11538491081579,5
cloud,13,5,5,30.066269180879388,6.907714831743288,28.40446329205638,5
bear,102,5,5,30.115018562464645,7.413394828386167,29.406740519611848,5
stick,79,5,5,30.34566831989357,5.34199243240644,30.06526414673636,5
