subject_id,category
00370002,bottle
00370002,cup
00370002,can
00370002,belt
00370002,radio
00370002,basket
00370002,milk
00370002,jar
00370002,bucket
00370002,tape
00370002,bowl
00370002,plate
00370002,banana
00370002,melon
00370002,bread
00370002,cracker
00370002,muffin
00370002,glass
00370002,coffee
00370002,dish
00370002,tray
00370002,box
00370002,book
00370002,paper
00370002,comb
00370002,toothbrush
00370002,gum
00370002,toy
00370002,doll
00370002,mitten
00370002,glove
00370002,sock
00370002,shoe
00370002,purse
00370002,pillow
00370002,towel
00370002,napkin
00370002,blanket
00370002,dress
00370002,pajamas
00370002,bib
00370002,scarf
00370002,jacket
00370002,sweater
00370002,shirt
00370002,jeans
00370002,pants
00370002,shorts
00320001,frog
00320001,alligator
00320001,cat
00320001,dog
00320001,face
00320001,hair
00320001,arm
00320001,hand
00320001,finger
00320001,toe
00320001,nose
00320001,car
00320001,lamp
00320001,chair
00320001,bench
00320001,drawer
00320001,ladder
00320001,door
00320001,refrigerator
00320001,oven
00320001,crib
00320001,bed
00320001,couch
00320001,table
00320001,bathtub
00320001,sink
00320001,clock
00320001,ball
00320001,balloon
00320001,egg
00320001,orange
00320001,apple
00320001,hat
00320001,slipper
00320001,watch
00320001,nail
00320001,glasses
00320001,necklace
00320001,vacuum
00320001,shovel
00320001,scissors
00320001,fork
00320001,knife
00320001,pencil
00320001,pen
00320001,crayon
00320001,plant
00320001,flower
00320001,soap
00320001,bottle
00320001,cup
00320001,can
00320001,basket
00320001,jar
00320001,bucket
00320001,tape
00320001,bowl
00320001,plate
00320001,banana
00320001,bread
00320001,cracker
00320001,dish
00320001,tray
00320001,box
00320001,book
00320001,paper
00320001,comb
00320001,toothbrush
00320001,gum
00320001,toy
00320001,doll
00320001,mitten
00320001,glove
00320001,shoe
00320001,purse
00320001,pillow
00320001,towel
00320001,napkin
00320001,blanket
00320001,dress
00320001,pajamas
00320001,bib
00320001,jacket
00320001,sweater
00320001,shirt
00320001,jeans
00320001,pants
00500001,rooster
00500001,fish
00500001,frog
00500001,alligator
00500001,cat
00500001,dog
00500001,face
00500001,hair
00500001,hand
00500001,finger
00500001,toe
00500001,stroller
00500001,motorcycle
00500001,car
00500001,lamp
00500001,chair
00500001,bench
00500001,ladder
00500001,window
00500001,door
00500001,refrigerator
00500001,oven
00500001,crib
00500001,bed
00500001,couch
00500001,table
00500001,bathtub
00500001,sink
00500001,boat
00500001,clock
00500001,ball
00500001,balloon
00500001,egg
00500001,apple
00500001,hat
00500001,slipper
00500001,watch
00500001,nail
00500001,glasses
00500001,necklace
00500001,vacuum
00500001,scissors
00500001,spoon
00500001,fork
00500001,knife
00500001,pencil
00500001,pen
00500001,crayon
00500001,plant
00500001,flower
00500001,bottle
00500001,cup
00500001,can
00500001,belt
00500001,radio
00500001,basket
00500001,bucket
00500001,tape
00500001,bowl
00500001,plate
00500001,banana
00500001,melon
00500001,bread
00500001,glass
00500001,tray
00500001,box
00500001,book
00500001,paper
00500001,toothbrush
00500001,gum
00500001,toy
00500001,doll
00500001,mitten
00500001,glove
00500001,shoe
00500001,purse
00500001,pillow
00500001,towel
00500001,napkin
00500001,blanket
00500001,dress
00500001,pajamas
00500001,bib
00500001,sweater
00500001,shirt
00500001,jeans
00500001,pants
00500001,shorts
00400002,rooster
00400002,fish
00400002,frog
00400002,alligator
00400002,cat
00400002,dog
00400002,hair
00400002,arm
00400002,hand
00400002,foot
00400002,finger
00400002,toe
00400002,tooth
00400002,car
00400002,lamp
00400002,chair
00400002,bench
00400002,drawer
00400002,ladder
00400002,window
00400002,door
00400002,refrigerator
00400002,oven
00400002,crib
00400002,bed
00400002,couch
00400002,table
00400002,bathtub
00400002,sink
00400002,boat
00400002,sprinkler
00400002,ball
00400002,balloon
00400002,egg
00400002,orange
00400002,apple
00400002,hat
00400002,slipper
00400002,watch
00400002,nail
00400002,glasses
00400002,necklace
00400002,carrot
00400002,vacuum
00400002,shovel
00400002,scissors
00400002,fork
00400002,knife
00400002,pencil
00400002,pen
00400002,crayon
00400002,plant
00400002,flower
00400002,bottle
