,alligator,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,cat,chair,clock,closet,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jar,knife,ladder,lamp,milk,mitten,motorcycle,muffin,napkin,necklace,orange,oven,pajamas,paper,pen,pencil,pillow,pizza,plant,plate,pony,pumpkin,purse,refrigerator,rooster,scissors,shirt,shoe,shovel,sink,slipper,soup,spoon,table,tape,toe,towel,toy,tray,vacuum,watch,window
bib,0.97992796,1.200052,0.866703,0.9021198,1.2178435,0.88703406,0.8319912,0.6989109,1.396698,1.0816402,0.0,1.1609831,0.66925824,1.1181958,1.0335833,1.2792841,1.2764297,0.85305405,0.9446221,1.0568881,0.990896,1.2130885,1.2675763,1.1196877,1.0430502,1.232448,1.0907954,0.78975457,0.71266603,0.62754154,1.3324974,0.82889915,1.2065398,0.8944227,0.9464574,1.0762928,1.1904914,1.1556561,1.2885648,1.1574206,1.098124,0.92513174,0.8085861,0.8819523,1.1497791,0.8747407,1.0269206,0.9635243,0.83652294,0.80543673,0.7798982,1.3411217,1.293071,0.8544095,0.8733754,1.2299788,0.84076464,1.0056752,0.99303067,0.4721042,1.0889384,1.01441,1.0354462,0.9136451,1.302151,1.1872864,0.59590787,1.3139629,1.3283653,1.2593629,0.9875763,0.8654519,0.8426713,1.1060456,1.1582553,1.0961701,0.8598422,1.0331066,1.1369743,1.1414837,0.640312,1.0510993,0.891757,1.3897572,1.1251283,1.090604,1.0711293,0.86006343,1.2649093,1.1327318,0.62116474,1.0485011,1.0701308,1.1889763,1.2351981,0.96752965
bird,0.8985323,0.82427317,1.0896024,1.0329728,0.71023166,1.19912,1.261457,1.2768722,0.8346839,1.0561497,1.1609831,0.0,1.290185,0.6941514,1.2040054,0.96953773,0.9091899,1.3041966,1.1330795,0.7581241,1.1541653,0.6838045,0.85672843,1.0488132,0.8422435,0.89802355,0.88576424,1.2179824,1.2769977,1.2067001,0.6966231,1.2231964,0.9736715,1.1720351,1.0374206,1.033959,0.8923022,0.9952006,0.7915724,1.0333608,0.8815803,1.0385447,1.0979067,1.0173378,0.93588436,1.2187392,0.87480986,0.92940944,1.0660646,1.2877088,1.0582368,0.7155926,0.794482,1.1757885,1.2101979,0.75241673,1.1935637,1.0411249,1.0916458,1.1520311,1.0705758,1.1037109,0.9806298,0.88483906,0.79358745,0.9678289,1.1627488,0.9731231,0.74702454,0.69819474,1.0945761,1.0308788,1.154027,1.01724,0.63796973,0.90405905,0.99459136,1.0185134,0.77984285,0.7097376,1.2442262,0.8929195,1.0242659,0.844131,0.86706793,0.86902887,0.9714798,1.2895031,0.83843094,0.9568547,1.0762811,1.0300033,1.090721,0.7675562,0.8952108,1.1209677
blanket,0.99444234,1.3436413,0.95083785,1.031582,1.3439038,0.79465425,0.6240751,0.3901204,1.1979192,0.9098422,0.66925824,1.290185,0.0,1.2137836,0.8912933,1.1310673,1.2711743,0.8324258,1.0255312,1.1104177,1.0235543,1.2067391,1.3171408,1.1248591,1.0089719,1.0962408,1.2816087,0.5482111,0.49690932,0.85588896,1.3319092,0.6751561,1.2028701,0.8846128,0.98625004,1.1282079,1.2036072,1.1320618,1.3633074,1.1196404,1.2371566,0.86325467,0.9029611,1.0193968,1.153551,0.8230411,0.9604143,1.0131758,0.9153205,0.7362875,0.944273,1.4003506,1.3234761,0.7225412,0.90994775,1.3159542,0.75942653,1.0147899,1.0176568,0.77209467,1.0677621,1.0052036,0.9128528,1.1320949,1.3712796,1.1578946,0.7208203,1.1244531,1.3057162,1.2949698,0.90113497,0.81796896,0.8759366,1.1102886,1.1530917,1.1633601,0.956343,1.0114863,1.1500585,1.2959316,0.70184803,1.1172261,1.004696,1.1909077,1.1808009,1.2663562,1.1638705,0.68120086,1.3167061,1.1805043,0.4928459,1.07744,0.9445983,1.2431169,1.1839725,0.85167855
boat,0.83952427,0.8264746,0.94767976,0.9847282,0.7603167,1.0721015,1.2975359,1.3132192,0.92728186,1.2544482,1.1181958,0.6941514,1.2137836,0.0,1.1274526,0.8090471,0.76369274,1.2715013,1.2338768,0.92340314,0.91015685,0.7263875,0.9175527,0.73249763,0.9697236,0.98306334,0.8168632,1.291509,1.3627027,1.3339474,0.75707835,1.1369971,0.87493426,1.0579472,0.89108896,0.7643789,0.9696639,1.1516039,0.77518296,1.0038764,1.162286,1.2787815,1.1515461,0.96781003,0.7346078,1.0710537,0.7002769,1.0317125,0.9530025,1.2686496,1.2779851,0.60484445,0.80521846,1.2698212,1.1068057,0.94754547,1.2354671,1.0473061,0.78776884,1.2383116,0.7093672,0.9551352,0.9851909,0.86322486,0.78475976,0.80303866,1.3066204,0.985288,0.75876456,0.8260007,1.3425324,1.196033,1.0597844,0.94863653,0.79341775,0.88310564,0.91688,0.7602732,0.8858454,0.7451375,1.2746851,0.7786452,1.1312027,0.9180458,1.2422836,1.1331446,0.9764267,1.1861818,1.0003887,1.2295289,1.2757872,0.73843086,1.1521581,0.7618768,1.1092744,1.0426502
book,1.067201,1.1416559,0.9638439,1.0106295,1.2772961,0.941372,0.8074857,0.8206246,1.2029173,0.936957,1.0335833,1.2040054,0.8912933,1.1274526,0.0,1.0863246,1.1709224,0.5328189,0.949547,1.2155484,1.0699352,1.1756506,1.2412238,0.79150516,1.1776397,1.1630467,1.2740426,0.89793694,0.86305046,1.0162584,1.1981407,0.96038276,1.1288273,0.7532146,0.7782036,0.6451469,1.2443295,1.0324024,1.1672955,0.8524458,1.143454,0.9812278,1.2625728,1.0102757,0.6760901,0.52145004,1.1535084,1.1564466,1.1900667,0.8825795,0.805911,1.1213611,1.2504935,0.8840438,0.9822525,1.2475669,0.94363874,1.0404465,1.0447763,1.0832993,0.7889501,1.0137435,1.1362396,1.2631414,1.2348133,1.0492952,0.9548356,1.0938721,1.1893374,1.2380936,1.0815591,1.0231638,1.1067417,1.1542523,1.3061335,1.0708777,1.1119723,1.0731469,1.2617593,1.2823071,0.8009413,1.2247074,1.0492709,1.0109205,1.1732707,1.1801033,1.084234,0.27539432,1.2010553,1.1907256,1.0138819,0.64731395,0.4594924,1.2452917,1.1534061,1.0527763
bottle,1.0799439,0.87680924,1.154811,1.1216364,0.71892124,1.0635862,1.1802962,1.193915,0.6353464,1.2318661,1.2792841,0.96953773,1.1310673,0.8090471,1.0863246,0.0,0.49476737,1.259259,1.1124052,1.083896,0.80708903,1.073991,0.6476588,0.9125766,1.2443544,0.75901306,0.9306381,1.1965878,1.234069,1.1986163,0.4987517,1.14803,0.4178189,1.1026906,1.2222385,1.0485775,0.79030484,1.1905887,0.5766896,1.0364314,1.0948815,0.9409169,1.2649295,1.0578502,1.1008518,1.1135522,0.9390001,0.77827024,1.1804304,1.1684451,1.3215588,0.60332865,0.41081917,1.232785,1.0288815,1.0843141,1.1993626,0.96080244,0.719857,1.2186514,0.97885305,0.9151582,1.0476061,1.137772,0.5881421,0.8204846,1.2971606,0.67276573,0.32236207,0.74368864,1.3434315,1.1614231,1.0674441,0.9473169,0.9988476,1.0545301,1.167554,0.77304745,1.0371062,0.9771224,1.1953359,0.9187823,1.3485063,0.3620755,1.1429898,1.2562425,1.0736485,1.1591296,1.0165511,1.0334678,1.3460972,1.0769731,1.1817722,0.6563685,0.53956664,1.0701392
bowl,1.0411856,0.79043096,1.1268609,1.1205833,0.7148349,1.0709275,1.2471814,1.310133,0.7063444,1.1512471,1.2764297,0.9091899,1.2711743,0.76369274,1.1709224,0.49476737,0.0,1.2345033,1.0200044,1.0533569,0.7692872,0.97838897,0.62499374,0.8918999,1.1516304,0.8607471,0.8513038,1.3609414,1.3678969,1.1428663,0.7383281,1.2642739,0.4864958,1.0268054,1.2176975,1.0890232,0.9718007,1.1826113,0.71669704,1.0909693,1.0407712,1.140518,1.3177512,0.8396273,1.0365216,1.1306729,0.8785725,0.93695873,1.1734318,1.3149858,1.2694333,0.6550045,0.5854982,1.2514689,0.92901963,0.7636689,1.2949315,0.8854219,0.7990848,1.2666954,0.931978,0.8396206,0.8896487,1.077127,0.6563898,0.7927798,1.4085698,0.7024517,0.5741465,0.80208546,1.243309,1.1399163,1.1366491,0.70376736,0.9492613,0.89971703,1.0622246,0.91162205,0.9853086,0.768459,1.2657658,0.9865467,0.9969339,0.56615746,1.1539702,0.9889156,0.6400131,1.1443493,0.61046106,1.1228619,1.2732761,1.10761,1.1941515,0.86002904,0.8158624,1.2113012
box,1.1096972,1.3751944,1.0426137,1.1136569,1.4751055,0.65367264,0.73685527,0.6628876,1.3575832,0.8073838,0.85305405,1.3041966,0.8324258,1.2715013,0.5328189,1.259259,1.2345033,0.0,0.4837982,1.3730156,0.72045267,1.2628872,1.1401939,0.9071782,1.1366884,1.0642489,1.3535936,0.624958,0.69121885,0.61556983,1.4838985,0.69741786,0.97535896,0.7917001,0.9061893,0.927198,1.1211195,0.93742275,1.5148621,1.0020573,1.2991016,1.0870359,1.0643368,0.9505269,0.95877033,0.6924332,1.2264768,1.263876,1.1327441,0.8613717,0.83429337,1.5071229,1.4388617,0.75701636,0.5094002,1.21344,0.6450013,1.0705386,0.92342544,0.8557678,0.90354013,0.8509246,1.0661937,1.2678767,1.5290496,0.93608665,0.8531482,1.2543557,1.5350025,1.5484115,0.98799103,0.93601847,0.9399291,1.1337061,1.3014741,1.1744015,0.99443823,0.8659515,1.2999314,1.3839504,0.78981376,1.2900352,0.7613287,1.2488925,1.3027827,1.0437219,0.90626264,0.457762,1.2829734,1.2727817,0.8882134,0.9178453,0.7076163,1.2411945,1.4332609,0.8574257
bread,1.0236171,1.1429248,1.1064041,1.153224,1.261486,0.92132646,0.9686889,0.9487477,1.2483069,1.1165831,0.9446221,1.1330795,1.0255312,1.2338768,0.949547,1.1124052,1.0200044,0.4837982,0.0,1.2652283,0.6107638,1.2038727,1.0386435,1.0225457,1.0767381,1.213433,1.1829076,0.9818063,1.0456935,0.30226612,1.268281,1.0348985,0.7835812,0.9165727,1.0464666,1.0382133,1.1749384,0.9718253,1.2573696,0.97670186,1.0937796,1.1233692,0.9447479,0.86982185,1.074565,0.9696982,1.2205856,1.2330174,1.0788625,0.9539861,0.9529791,1.3497082,1.2198386,1.0150614,0.38459778,0.89827317,0.96082735,1.0916518,0.89092386,0.8464713,1.0420549,0.6364133,0.9145242,1.14429,1.2174021,1.0936327,0.9921465,1.0755379,1.2814888,1.3141344,1.1383637,0.94735104,0.9477595,1.0639036,1.160051,1.0071924,1.130634,0.9867085,1.1669449,1.296815,0.94884163,1.2346536,0.65131986,1.2006679,1.1756239,0.9193985,0.60856503,0.84946245,1.1109246,1.1319969,0.9949205,1.0951865,0.94015163,1.2742741,1.2650168,1.0734991
broom,1.0881133,1.0264943,1.0952076,1.0210093,0.9252363,1.1138834,1.1013759,1.1458719,0.87596846,0.88545674,1.0568881,0.7581241,1.1104177,0.92340314,1.2155484,1.083896,1.0533569,1.3730156,1.2652283,0.0,1.2200531,0.8834449,0.7795153,1.2123513,0.9657235,0.8881186,0.84059644,1.098568,1.0853902,1.2054995,0.7457882,1.0283616,1.047911,1.1179221,1.2051591,1.170819,0.7103157,0.9195282,0.9026971,1.1792057,0.74217427,0.98364717,1.0141195,1.0250067,1.1341681,1.2379762,0.8049545,0.9647201,0.8248453,1.1901395,0.96081394,0.85875595,0.82795334,0.91727585,1.2258046,0.7439399,0.9874855,0.9095653,1.2126634,1.1142256,1.1593657,1.0456545,1.1255366,0.82442796,0.8777155,0.86668706,1.0034814,1.0649434,0.76870096,0.57400835,0.82688296,1.046506,1.0930667,0.90506864,0.7618911,1.003988,1.0346861,1.0311725,0.85978913,0.7998889,1.1831206,0.8515571,1.0566263,0.967625,0.71725625,0.8722384,1.0326039,1.2411044,0.8375082,0.6863922,1.1065233,1.1515219,1.2190595,0.59084255,0.7317908,0.93637264
bucket,1.0998628,1.0110575,0.8842345,1.0276073,1.2675445,0.80499417,1.1099746,1.0756346,1.3325727,1.2267178,0.990896,1.1541653,1.0235543,0.91015685,1.0699352,0.80708903,0.7692872,0.72045267,0.6107638,1.2200531,0.0,1.2254676,0.8517485,0.98046577,1.123503,0.96877855,1.0204829,1.0461082,1.137769,0.7895285,1.2562633,0.92974436,0.6041647,0.78792006,1.002769,0.9559622,1.1045302,1.1718324,1.1628251,0.9478652,1.23227,1.4418283,1.1441301,0.8060901,1.0339806,0.92646295,0.9183531,1.2769797,1.073863,1.0985526,1.1501162,1.1921184,1.1355183,1.0003096,0.40731728,1.1695443,1.0451343,0.9245633,0.22053957,1.04178,0.8469796,0.6879682,0.83129287,1.1517646,1.1506534,0.7648934,1.2432082,1.1141952,1.2348524,1.296314,1.3323305,0.9650355,0.9441649,0.89799875,1.1254708,0.8264771,0.88153166,0.74480784,1.1890693,1.3186538,1.0914798,1.1170018,1.0149095,1.1557636,1.3887343,1.255417,0.80031806,0.9320197,1.0850456,1.3370302,1.093118,0.89241195,1.0603514,1.0802753,1.3765008,1.0458794
butterfly,0.8895202,0.88720715,1.0141851,1.0024028,0.7017975,1.1251534,1.2001774,1.2054883,0.8039994,0.9996472,1.2130885,0.6838045,1.2067391,0.7263875,1.1756506,1.073991,0.97838897,1.2628872,1.2038727,0.8834449,1.2254676,0.0,0.91829044,0.9814086,0.85434747,1.003816,0.89221686,1.1222491,1.210979,1.3088677,0.80439997,1.2169878,1.0946492,1.215118,0.88978654,0.9319915,0.9529176,0.9126684,0.8570907,1.0395963,1.0637201,1.023487,0.9584966,1.1773634,0.7404963,1.225882,0.84194857,0.95945495,1.0772247,1.1980323,1.1671298,0.7405758,0.87572086,1.1195556,1.2220361,0.7792345,1.1181862,1.1042023,1.1556202,1.1955626,0.8302171,1.0777763,0.9382847,0.8302563,0.9035099,0.9298165,1.0609598,0.83673567,0.875715,0.9089403,1.0081644,1.1907495,1.0315212,0.97008204,0.6201397,1.028677,0.91962194,1.0896567,0.64482164,0.5977049,1.1999435,0.7845664,0.9309062,0.9346963,0.9132776,0.8236892,0.9978486,1.1894618,0.8722874,1.0785398,1.0879915,0.9021783,1.1313702,0.8480567,0.99472433,1.0963049
can,1.110777,0.9430428,1.2376884,1.1727147,0.78029,1.0249277,1.2412081,1.321672,0.58332586,0.880425,1.2675763,0.85672843,1.3171408,0.9175527,1.2412238,0.6476588,0.62499374,1.1401939,1.0386435,0.7795153,0.8517485,0.91829044,0.0,1.033971,1.1603899,0.59541196,0.83491683,1.1922243,1.2187355,1.1377665,0.5219571,1.1455721,0.24469149,1.1681819,1.3432672,1.1569874,0.5514524,0.93375283,0.67689395,1.1027415,0.87025297,1.0956012,1.1735852,1.1793826,1.1967533,1.2966025,0.9046346,0.7515299,1.1509849,1.3310986,1.2506633,0.7084437,0.5488908,1.2334471,0.95554507,0.74499315,1.1265554,0.95453477,1.0439487,1.2731391,1.1661317,0.92979884,1.0772798,0.9983849,0.6892617,0.7457763,1.3153799,0.74595386,0.6007209,0.6637522,0.9395627,1.0947279,1.1581255,0.78938127,0.8629133,1.1065763,1.0402721,0.90199244,0.9807432,0.8324652,1.3048701,0.892105,1.169618,0.5845763,0.9075891,0.9149933,0.9803125,1.3016824,0.6485099,0.84169734,1.2987471,1.1750984,1.223904,0.47485125,0.7316289,1.0568762
