,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,cookie,corn,couch,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,milk,mitten,motorcycle,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,truck,vacuum,watch,window
bench,0.94513875,1.4888864,0.6221457,1.3998137,1.3004482,1.4786723,0.79738855,0.6109487,0.14432776,1.2558663,0.0,0.9158023,1.3057034,0.44694197,0.74437094,0.71586376,1.4504366,0.91487825,0.36906904,1.3631486,0.8153342,0.90089035,1.4330487,0.8011464,1.0911374,1.3696752,0.8266255,0.46581614,1.2428004,0.6198712,1.1956782,1.027281,1.3129511,0.22675335,1.3691113,0.35522938,1.4297353,0.57854915,0.7535463,1.0084397,0.9281438,0.80392826,0.9287512,1.1434088,1.2598922,0.8236714,1.1495323,1.5154524,1.1968628,1.353581,1.4882102,0.87340057,1.4310311,1.1897159,0.6929485,1.0909164,0.8091666,0.8845505,1.491184,0.9972913,0.5135609,0.70751595,0.9724217,0.57094586,1.2123214,0.75404227,0.8394466,0.9106547,1.0079159,1.1978893,1.3555355,0.86586475,1.3821757,1.0052336,1.3194644,0.7349038,1.2194551,0.5505872,0.7478243,0.62422824,1.3618326,1.401665,1.3420205,1.0685723,1.2252866,0.85611415,0.9018337,1.0627773,1.3366084,0.9244932,1.1517906,0.8298147,1.0511261,0.78438586,1.4628565,0.60776836,1.1343191,0.8211056,1.3517799,0.66439366,0.74282384,0.6854117,1.4637167,0.9406276,1.119285,1.4854394,1.283478,1.42697,1.3177791,1.0722924,0.59326094,0.38028634,1.2336415,1.3318391,1.2177076,0.99162865,1.0937066,0.7211273,1.2408227,1.3590171,1.4087822,0.76975363
bib,0.90098286,1.1476632,0.8027431,1.0742524,0.86314714,1.161042,1.01934,0.9600678,0.92643267,1.0543447,0.9158023,0.0,1.1780719,0.7314782,1.0680197,0.9187068,1.1371729,1.1488073,0.7863817,1.0600958,1.1657243,1.1281921,1.1890354,1.0288588,1.1841005,1.0225068,1.0742679,1.0333505,1.315108,1.1006737,1.0394074,1.0755537,1.1033401,0.9490989,1.0018438,0.9799069,1.1731248,0.9477758,1.1539507,0.9227944,1.1360352,0.8765111,0.82311463,0.9177302,1.0221088,1.009385,0.7188925,1.1100742,1.0691693,1.0375037,1.081566,1.0522909,1.0444989,0.89744323,1.0316844,0.85214376,0.9122438,0.59768546,1.0326823,1.0320843,1.0696279,0.99793893,0.9894088,0.7922189,1.0837071,1.1049303,1.1153467,1.0420477,0.6992859,1.0088723,0.896695,0.69963,0.77472633,0.73351544,0.87287635,1.2160597,1.1363854,0.8388109,0.84894645,0.7281387,1.034092,1.0068111,0.8797419,0.70014715,1.1588199,1.060525,1.0190927,1.2445614,0.92562854,1.0289285,1.2068247,1.0229496,0.9763887,0.8787099,1.139272,0.8344562,0.87538934,0.86230123,1.269729,1.0154476,1.0194705,0.97726214,1.0777833,0.946649,0.9127269,0.93518555,1.0856898,1.1679883,1.1678479,1.1228237,0.8625435,0.93899995,1.1899095,0.70957464,0.8484781,0.70519185,1.0354204,1.0550151,1.1721115,1.3513479,0.8945652,1.0886958
bird,1.1276118,0.72312677,1.318565,0.7478986,0.82745886,0.5705231,0.9983429,1.3184487,1.344948,0.6467697,1.3057034,1.1780719,0.0,1.336002,1.1281358,1.048879,0.7905888,0.88068485,1.1552796,0.71987355,1.1349412,0.93514323,0.59853566,0.920889,0.85022086,0.846631,1.2118795,1.0124559,0.9043195,1.2427335,0.9408772,1.0754762,0.8206388,1.3333184,0.8741666,1.1912866,0.6954144,1.0841993,1.1769885,0.9984356,1.1774163,1.2037432,1.17003,1.0979954,0.8640873,1.225912,1.0477961,0.6706387,0.86759174,0.74317014,0.6633197,1.1464441,0.90533084,0.6344098,1.2161348,0.97501945,1.3209994,1.2901564,0.680696,1.0647688,1.2955885,1.2959721,1.0819949,1.295228,0.90968627,0.94957465,1.114755,0.9975804,1.0718058,0.9035375,0.9984409,0.98774314,0.93090713,1.1558434,0.93170595,0.9662775,0.8378256,1.3698173,1.247776,1.1423136,0.89692414,0.8191848,0.77346003,0.93953484,0.7103695,1.1438364,0.9660036,0.8937814,0.8099948,1.0827682,0.7480119,1.0591675,1.1321995,1.2145045,0.6268282,1.3676875,0.8392199,1.1674638,0.6445687,1.2206093,0.9813588,1.2010489,0.73567814,1.1407583,0.9095435,0.66109633,0.7906388,0.72920984,0.82504904,0.9079659,1.2907784,1.3605022,0.7800834,0.98827803,0.8270315,0.8777015,0.96243036,1.1228995,0.7759136,0.69917583,0.9221051,1.1393316
blanket,0.8399817,1.4665751,0.4871605,1.3955073,1.206917,1.436875,0.8916088,0.6716449,0.28680003,1.1107461,0.44694197,0.7314782,1.336002,0.0,0.71775794,1.1188257,1.5090135,1.2513057,0.80874157,1.3649623,1.0221374,1.1272367,1.4327911,1.0046443,1.1615075,1.3032287,0.54677445,0.7654973,1.3388411,0.74869764,1.1436353,0.98722535,1.3778099,0.37863868,1.393469,0.56463957,1.5498923,0.80305946,0.7753052,0.9262975,1.0781989,0.9909951,0.85395145,0.8971442,1.3174449,0.7533004,0.96428216,1.408957,1.2967504,1.3367617,1.411942,0.9298958,1.264647,1.1247822,0.75980586,1.1622108,0.5805804,0.6922561,1.3169091,1.0539465,0.6952652,0.33482635,1.0770862,0.39434433,1.3512112,1.0365456,0.89539653,1.098501,0.81949985,1.172791,1.1087145,0.8883487,1.0655377,0.879116,1.214639,1.1478722,1.2604744,0.34027022,0.46503806,0.90512615,1.3283498,1.3742946,1.2351539,1.0104979,1.3403327,0.9481517,1.1849833,1.1359687,1.195627,1.0662955,1.3201454,0.9752424,1.0266508,0.5907668,1.3788252,0.3487965,0.9655675,0.57603997,1.4254949,0.5695863,1.087812,0.6676771,1.419693,0.76187795,1.3485016,1.3317724,1.3845842,1.3887882,1.3362311,1.1047993,0.45111156,0.5623356,1.4444435,1.0690908,1.1858802,0.9480312,1.2326386,1.061911,1.3613081,1.3933735,1.1695645,0.821273
boat,0.96712744,1.2031229,0.8226118,1.1512468,1.269815,1.252447,1.0304971,0.6408895,0.6519825,1.1206771,0.74437094,1.0680197,1.1281358,0.71775794,0.0,0.9687112,1.2363539,1.1553957,0.801539,1.3262569,1.0081471,0.8758253,1.2282329,0.94877875,0.6435753,1.1369053,0.8390661,0.9264378,1.0933648,0.8768467,1.1536376,0.9640751,1.1938623,0.85725856,1.246539,0.6491577,1.2688365,0.7861131,0.93007886,1.0888991,1.0149919,1.0726726,1.0272163,0.96211237,1.1589338,0.77723455,1.1531955,1.1483792,1.1188586,1.2745419,1.2265005,1.0339857,1.176735,1.1156882,0.8538582,1.0203092,0.8335713,1.0866139,1.2986425,1.0767449,1.0181887,0.70422524,1.0935701,0.7402712,1.2463701,1.0334917,0.99690515,0.85594124,1.0889786,1.1218987,1.1154032,1.136863,1.1903948,1.2141623,1.2541733,1.0425327,0.9965951,0.6496749,0.79538053,0.9999454,1.1730034,1.2449963,1.1545227,1.1573532,1.2292184,0.94370735,1.1365955,1.0494585,1.1889932,0.956609,1.1638634,0.9245523,1.1184317,0.98653525,1.2949312,0.7558995,1.1259129,0.90709877,1.1366822,0.96284467,0.9816531,0.4843775,1.2033031,0.78176,1.1958277,1.2604676,1.2873762,1.2137676,1.1044505,0.97474355,0.7690046,0.8182037,1.1998374,1.223769,1.1291316,1.1685351,0.8969164,1.0019122,0.96061325,1.1734736,1.2592525,0.89957464
book,1.0823689,1.091406,1.0380894,1.0326841,1.0883776,1.0824151,0.8585725,0.9664955,0.92331505,0.9173103,0.71586376,0.9187068,1.048879,1.1188257,0.9687112,0.0,1.0188754,0.64583504,0.5220885,1.1464788,0.96034974,0.7322589,1.1975114,0.8270062,0.9071059,1.156989,1.2416579,0.7796757,0.8862282,1.1113881,1.0327038,0.9764824,0.95742047,1.0219634,1.0182369,0.89018023,0.9893167,0.7764464,1.1666136,1.127188,0.89604986,0.8571111,1.09302,1.2296544,0.9894813,1.0824475,1.18593,1.0691776,0.9273815,1.0480767,1.0884854,1.1442665,1.2563072,0.94186354,1.1786028,0.73268676,1.2071455,1.0970213,1.2268791,1.123013,0.9363295,1.2629287,0.8257674,1.1860406,0.9126705,0.7853043,1.0260855,0.65708107,1.1044445,1.0358447,1.3098702,0.5227568,1.3079381,1.2098199,1.1692725,0.5822403,0.84908706,1.1005359,1.3016825,0.27648103,1.1348246,1.1006029,1.2319405,0.9536166,0.95119494,0.9851124,0.686419,1.0837618,1.1905026,0.68444645,0.9220578,0.77123696,1.2145404,0.99250114,1.0058837,1.157532,1.0813769,1.159844,0.99967694,1.1400133,0.74015117,0.9280492,1.0961683,0.99865735,0.64123166,1.1947858,0.95553476,1.1467011,1.0155396,0.9503477,1.0624672,0.89562845,0.7399626,1.2283895,0.9306326,0.70624745,0.8497361,0.5754274,0.93401825,1.1273398,1.2268535,1.0266216
bottle,1.2424554,0.31334698,1.3487345,0.38165617,0.8517153,0.7571972,1.1161302,1.322366,1.5448714,0.8387592,1.4504366,1.1371729,0.7905888,1.5090135,1.2363539,1.0188754,0.0,0.80311286,1.2806385,0.66518974,0.9074722,0.8673656,0.6786115,1.0360047,1.0522827,0.46732926,1.2116865,1.2709606,0.83801866,1.2622004,0.86112225,1.2086766,0.55210304,1.4351707,0.55252856,1.4852812,0.1418171,1.2783204,1.335427,1.2399523,1.0170344,1.1055067,1.0972966,1.1746426,0.73445034,1.2405059,1.0515046,0.7453929,1.0293547,0.6952611,0.8633789,1.1068438,0.49292284,0.86390984,1.3240278,0.88144577,1.330876,1.2890451,0.5203008,1.249526,1.2624998,1.3577508,0.9367176,1.4535742,0.70248175,1.0530053,1.1808575,0.9018311,1.2306185,1.0052073,0.6399296,1.1864702,0.7554614,1.0776995,0.7109035,1.0027128,0.83697176,1.4641451,1.287612,1.1585244,0.48335612,0.4838289,0.9613561,0.80812585,0.78134406,1.2101545,1.0654569,0.98318166,0.7375994,0.9857477,0.9319964,1.1196636,1.2795565,1.3651539,0.81522745,1.4347732,1.082956,1.2710581,0.5724846,1.269243,1.0037073,1.3473165,0.3594365,1.1931088,0.78943235,0.56110823,0.72173727,0.5960058,0.33457565,1.1053199,1.3856936,1.3488774,0.66373616,0.81323415,0.7353191,1.0828903,0.9638255,1.2742945,0.83408594,0.51501393,0.61963487,1.1762583
bowl,1.1741014,0.9177416,1.144859,0.9791681,0.8997587,0.86458904,0.8195616,0.97537357,1.0905148,0.98718494,0.91487825,1.1488073,0.88068485,1.2513057,1.1553957,0.64583504,0.80311286,0.0,0.84286976,0.78583723,0.9253518,0.6647707,1.1209428,0.8176247,0.9715165,1.1034905,1.2095501,0.98687375,0.81084514,1.0997128,1.0121423,0.8358915,0.8464079,1.0693259,1.0814855,1.0210046,0.72139907,0.612946,1.1347104,1.146299,1.0770937,0.9798227,1.1586853,1.2887667,0.7014189,1.1667696,1.198699,1.0925256,0.9028673,1.0023698,1.0793797,0.89597714,1.0931809,1.0028663,1.0830188,1.0012224,1.2572386,1.1761619,1.0667537,1.0662962,0.9444128,1.3348985,0.6267688,1.3314279,0.98176426,1.0198548,0.7274142,0.8517471,1.1216342,0.9657882,1.2114885,0.78238916,1.2217327,1.1523677,0.96738285,0.6162343,1.005658,1.2979779,1.3805325,0.7282872,1.0357392,1.0536044,1.0297686,1.0667248,0.7201602,0.964625,0.36364102,1.0895922,1.076454,0.7702404,0.86657566,1.0017552,1.0835446,1.1893493,0.93630904,1.2873187,1.196657,1.2834034,0.93319964,1.1086187,0.6544765,1.153241,1.0092577,0.98098606,0.719609,1.0697571,0.8616079,1.0034693,0.9216138,1.0311714,1.2469326,0.82663584,0.43384665,1.2095224,1.0718533,0.9122172,1.0047579,0.4704057,0.9423366,0.9667543,1.1192276,1.0659615
box,1.0145019,1.3804275,0.91359514,1.2849191,1.2226799,1.2739725,0.7076824,0.8000716,0.56091624,1.2009265,0.36906904,0.7863817,1.1552796,0.80874157,0.801539,0.5220885,1.2806385,0.84286976,0.0,1.1959518,0.90147585,0.7237908,1.2626557,0.63956803,0.99828064,1.2376353,1.1116449,0.5513897,1.1511221,0.90772307,1.1243536,1.0085663,1.2366848,0.7011556,1.2340002,0.49556226,1.2774963,0.53453064,0.9711461,1.0064275,0.9445546,0.6284331,0.9756372,1.1687198,1.217096,0.96407557,1.1408259,1.3262898,1.1225191,1.2167673,1.2282662,1.005286,1.3954649,1.1008757,0.85170424,0.8552691,1.0493937,0.9526986,1.4019382,1.0508201,0.79731023,1.047123,0.7699214,0.83287287,1.1101745,0.71826124,1.0168877,0.7262046,1.0009749,1.0278089,1.3733504,0.7307458,1.2908572,1.0730855,1.2350501,0.78696525,1.0825715,0.8837942,0.9509301,0.58766204,1.2925739,1.2685106,1.1647308,1.0146106,1.1044742,0.9797769,0.715598,1.1846782,1.1701347,0.71485734,0.9611484,0.73080236,1.0854175,0.87841505,1.2526288,0.9062101,0.9724598,0.9733303,1.3020499,0.8990203,0.7365986,0.8757205,1.3285728,1.0113379,0.836936,1.3741565,1.1875508,1.2818712,1.2635577,0.98267376,0.83646286,0.6414519,1.0437222,1.2885827,0.9893421,0.84203243,0.8763552,0.64316404,1.0926132,1.3571174,1.3384683,0.97173816
bread,1.0772268,0.52522844,1.3994578,0.73016304,0.72590184,0.3998388,1.0497702,1.4547104,1.4605633,0.9807889,1.3631486,1.0600958,0.71987355,1.3649623,1.3262569,1.1464788,0.66518974,0.78583723,1.1959518,0.0,1.2351695,1.3354118,0.52871704,1.3032732,1.0018042,0.7299843,1.2155582,1.232245,0.9931313,1.3690665,1.0374961,0.84697425,0.68530625,1.3776028,0.55206865,1.4134884,0.6008698,1.2260666,1.2655556,1.1351376,1.204524,0.9205158,1.2416016,1.0356519,0.85214376,1.2767731,0.90240645,0.71563065,1.0580597,0.47828764,0.59901845,1.1869597,0.5396448,0.94544035,1.2612324,1.0144483,1.3010466,1.1534824,0.5221961,1.0876648,1.2390839,1.403832,1.137533,1.3776557,0.6442303,1.0705475,1.1861821,1.2738875,1.1605598,0.788192,0.6626367,1.0325575,0.6105886,0.964708,0.48220968,1.1539266,1.0630482,1.5112209,1.2488567,1.234766,0.51510274,0.42397964,0.45927137,0.79761434,0.24611813,1.2958794,0.5308486,1.0923436,0.5398717,1.209623,0.7672727,1.2511989,1.0397004,1.3139913,0.59259415,1.476265,0.90641236,1.1272169,0.71962845,1.165155,0.96744347,1.4207253,0.56502116,1.1688055,0.82664895,0.5609164,0.38002527,0.72243917,0.70686233,1.098551,1.4592657,1.3516916,0.7592633,0.7655121,0.8713188,1.0124408,1.1567924,0.93418235,0.8205484,0.7278059,0.57579386,1.3269264
broom,1.0997415,1.1454139,1.0639087,1.1059302,1.0143744,1.2723337,0.85647434,0.8568803,0.8469591,1.0895352,0.8153342,1.1657243,1.1349412,1.0221374,1.0081471,0.96034974,0.9074722,0.9253518,0.90147585,1.2351695,0.0,0.6465894,1.1257966,0.6742243,1.0662317,1.1060288,1.0079794,0.808095,0.92480826,0.74437684,0.97725797,1.0645518,1.0182046,0.8002771,1.0465535,0.8411671,0.9969505,0.86802393,0.8898038,1.0567477,0.6855961,0.82144916,0.9675883,1.1170198,1.0603144,1.0672196,1.2244879,1.2081634,0.9868071,1.1294556,1.2039374,0.8959091,1.1875585,1.1903018,0.9385656,0.9365034,1.0117788,1.1520414,1.1329253,1.0690656,0.5699241,0.93512136,0.8426312,1.0251809,0.92901576,0.83871186,0.71498585,0.767866,1.1510406,1.1615856,1.2455944,1.0632179,1.2690653,1.0555191,1.2921034,0.67514515,1.0546772,1.0723108,1.0323159,1.0300893,1.1757295,1.1686664,1.2794924,1.2420392,1.125035,0.80317503,1.0448867,0.9283278,1.1815526,0.94936794,0.96649075,0.81006,1.0726925,0.98845595,1.051222,1.0391922,1.0807399,1.1535577,1.0784835,0.77899534,0.91425073,1.0579007,1.1513945,1.0360302,1.0455972,1.1027837,1.0516788,1.028748,1.1306056,0.98589236,1.0303996,0.8089249,1.0231487,1.1641676,0.96831554,1.0347515,0.99415725,1.0104829,1.1053998,0.69064385,1.1979295,0.8192823
bucket,1.1086315,1.2032741,1.0157676,1.1241678,1.1344383,1.090742,0.80381024,0.8372151,0.9596498,0.953472,0.90089035,1.1281921,0.93514323,1.1272367,0.8758253,0.7322589,0.8673656,0.6647707,0.7237908,1.3354118,0.6465894,0.0,1.1443925,0.494626,0.9087751,1.201687,1.1513712,0.8457118,0.8148038,0.9299445,0.95775014,0.94610554,1.0251741,0.9983775,1.2276047,0.7939944,0.9799889,0.74648,0.9812017,1.0260663,0.91154695,1.0704721,0.9650909,1.2197682,0.9736239,0.9961836,1.2600486,1.1757488,0.9192346,1.3004327,1.1126368,0.9014652,1.4134375,0.98842496,0.9872878,0.8070158,1.1361413,1.2065967,1.2938442,1.0617743,0.8936207,1.0794686,0.43215477,1.078002,1.1226399,0.8816375,0.85436344,0.33933556,0.94480413,1.1250252,1.414596,0.93197185,1.4355637,1.2320163,1.2930427,0.68364954,0.87023497,1.0819182,1.1541525,0.85079634,1.338496,1.335416,1.206436,1.2500193,1.1874835,0.85621285,0.98149693,0.9895126,1.2270143,0.5263897,1.026494,0.83679765,1.163845,1.0103511,1.1084709,1.1103806,1.0528749,1.183528,1.0199744,1.0713669,0.9373677,0.92666614,1.2519507,0.88230515,0.8125,1.2047548,1.2547498,1.1300251,1.1785177,0.9250405,1.0585128,0.8523859,0.7192822,1.327752,0.9885286,0.96516544,0.7161126,0.86423725,0.9461348,0.9923225,1.3722737,0.9079901
butterfly,0.84251696,0.58260816,1.368619,0.6912396,0.7489686,0.5671486,1.1562591,1.367854,1.4664756,0.7352332,1.4330487,1.1890354,0.59853566,1.4327911,1.2282329,1.1975114,0.6786115,1.1209428,1.2626557,0.52871704,1.1257966,1.1443925,0.0,1.1673889,0.9203721,0.7316072,1.0936279,1.2331871,0.9413087,1.2853822,1.0332811,1.0636646,0.760645,1.4125733,0.4940114,1.3985895,0.622078,1.3504213,1.0677565,1.0669905,1.1399419,1.0425684,1.2378639,1.1190126,0.9133877,1.2984868,1.1232935,0.34717882,0.95154274,0.47453642,0.37012112,1.1666038,0.6619505,0.86222947,1.2225392,0.9906741,1.3484437,1.3510901,0.6226362,0.93157405,1.2500222,1.2870666,1.2207673,1.315462,0.58453465,1.1086819,1.2007937,1.1481167,1.2073767,0.9123051,0.8492584,1.0399406,0.8535958,1.2082207,0.7949134,1.1397569,0.87119997,1.4233408,1.1565727,1.2425724,0.5611378,0.48148048,0.65613455,0.77799857,0.65842885,1.1829073,0.9986221,0.8793912,0.7676264,1.1974014,0.735276,1.2147644,1.026805,1.2413601,0.55600977,1.434973,0.7872975,1.1103395,0.53499794,1.2491364,0.9775357,1.2694151,0.5517841,1.0698214,0.90215904,0.64998454,0.47715092,0.56054515,0.69229543,1.0544515,1.398899,1.4387251,0.8493376,0.99338686,0.8658427,0.8975801,0.9973062,1.2495251,0.80606246,0.5964839,0.8358798,1.243668
can,1.1404004,1.1642196,1.1092699,1.123574,1.0914373,1.1670486,0.50723493,0.94460887,0.8747851,0.7375198,0.8011464,1.0288588,0.920889,1.0046443,0.94877875,0.8270062,1.0360047,0.8176247,0.63956803,1.3032732,0.6742243,0.494626,1.1673889,0.0,0.99297523,1.0354359,1.0898864,0.61203706,0.93697596,0.92719954,0.88728726,1.0992335,1.0602496,0.86064386,1.1303918,0.7194904,0.9617793,0.7633838,0.9940281,1.0809394,0.9402458,0.8669627,0.91308963,1.1715904,1.180751,1.1391574,1.311471,1.1118805,0.94363946,1.0781273,1.1022695,0.8624724,1.2940998,1.0502363,0.9972223,0.8753061,1.2210857,1.1996931,1.225858,1.1251174,0.7613622,0.9725517,0.6403321,0.9592193,0.9825542,0.6789473,0.8925794,0.7528737,1.0357043,1.086557,1.4415197,0.7628792,1.2927816,1.2464241,1.2048204,0.6893132,0.9845765,1.0770862,0.93046534,0.88732904,1.161291,1.1830206,1.2512977,0.94700354,1.1752365,0.90317816,0.9778609,1.0877295,1.2814991,0.64348805,0.9345621,0.8465804,1.0860124,0.92752314,1.1132067,1.0622492,0.7853625,1.0428857,1.0696872,0.97210026,0.8897843,1.0181055,1.1309601,1.0848516,0.838827,1.2478433,1.1957662,0.94711214,1.1677322,0.97036624,1.0238142,0.94758874,0.90878594,1.3188379,0.90068895,0.7406839,0.840773,0.9242391,1.0654444,1.058486,1.3102441,0.9515756
car,1.0567076,0.9812516,1.1990662,0.97108114,1.09429,0.9129547,1.0188065,1.0220138,1.0992049,0.9662679,1.0911374,1.1841005,0.85022086,1.1615075,0.6435753,0.9071059,1.0522827,0.9715165,0.99828064,1.0018042,1.0662317,0.9087751,0.9203721,0.99297523,0.0,1.092977,1.1221032,1.0060406,1.0073065,1.0693717,1.1021326,0.95482403,0.98311245,1.0651433,1.0934703,0.9393586,1.013972,1.0194986,0.9591277,1.0230459,1.0342915,1.1335806,1.0810242,1.0631458,1.0309063,1.0137386,1.1873051,0.8443998,0.856355,1.0725822,0.9036829,1.1403432,1.0977371,1.042999,0.91816306,0.998905,1.1042695,1.240678,1.101942,0.96433854,1.1589985,1.1245911,1.0585388,1.0959506,1.0945607,1.0161968,1.1166444,0.8821045,1.0964818,0.9884751,1.1760863,1.1015005,1.2303846,1.2034862,1.1195894,0.93968874,0.8521308,1.0547347,1.1315645,1.0580767,1.1022388,1.1055859,0.9819484,1.0990694,0.8177196,0.9206951,1.036191,0.9054515,1.0239347,0.9225453,0.8127893,0.9302849,0.9547558,0.99309176,1.0088129,1.1320561,0.98531836,1.1428832,0.8280432,1.2015064,0.87864524,0.82774544,0.939256,1.077575,1.0004988,1.0839032,1.0387796,0.9956727,0.9564458,0.8614768,1.1087055,1.1341949,0.8840842,1.2222934,1.0766811,1.0871929,0.80689883,1.0249422,0.22075808,0.925837,1.2077043,1.0135694
carrot,1.2539165,0.4055667,1.2847427,0.41860926,0.868612,0.8599282,1.1226076,1.3152685,1.3859092,0.7187458,1.3696752,1.0225068,0.846631,1.3032287,1.1369053,1.156989,0.46732926,1.1034905,1.2376353,0.7299843,1.1060288,1.201687,0.7316072,1.0354359,1.092977,0.0,1.0300899,1.1852136,0.9996098,1.2481227,0.97460026,1.1521428,0.7285389,1.3610761,0.5472863,1.373647,0.35655046,1.2763381,1.2857951,1.2861371,1.1254256,1.0160255,1.1661277,0.98224753,0.8861203,1.1821036,0.9002625,0.705265,1.135086,0.55887437,0.82598215,1.1573299,0.3307358,0.90377074,1.1898128,1.1258627,1.1564881,1.1474199,0.48148936,1.2710918,1.237951,1.2387431,1.2503166,1.3125951,0.6368853,1.0254575,1.2242075,1.2064183,1.1996993,0.93556964,0.5887163,1.1345912,0.56685406,0.9584684,0.64023656,1.1834297,0.9793127,1.3656107,1.103193,1.137358,0.35860467,0.4045571,0.9571536,0.6909995,0.96174484,1.2074945,1.1043351,1.0953346,0.6977863,1.2191808,0.9153842,1.1876526,1.2273092,1.2968915,0.8441088,1.3144368,1.0106517,1.0335164,0.7130461,1.1016558,1.0364686,1.2512653,0.49188316,1.172848,0.9684354,0.5861754,0.7465468,0.40479487,0.44357097,1.1756203,1.2755681,1.3626853,0.9222792,0.74282426,0.89230204,1.0374107,1.0982816,1.2870265,0.9961927,0.8208543,0.54568964,1.1432213
cat,0.855973,1.1399539,0.77228606,1.1502427,0.92693245,1.2742031,0.96933335,0.8954388,0.68877184,0.9202463,0.8266255,1.0742679,1.2118795,0.54677445,0.8390661,1.2416579,1.2116865,1.2095501,1.1116449,1.2155582,1.0079794,1.1513712,1.0936279,1.0898864,1.1221032,1.0300899,0.0,1.0072236,1.1840835,0.78712785,1.0682855,1.0689378,1.1680328,0.7512949,1.1242046,0.87040913,1.1445571,1.0276437,0.70026314,1.1198605,0.9880769,1.1017578,1.0143083,0.98612285,1.0738556,0.8217797,1.0772865,1.0379186,1.1102595,1.043726,1.1181322,0.8651973,0.9607365,1.2227387,0.7929914,1.3162949,0.70661414,0.97328085,1.1276246,1.0241562,0.775504,0.5732162,1.2382399,0.8193596,1.0476564,1.0659786,0.9179348,1.1287423,1.0985695,1.013881,0.9790558,1.070826,1.0532769,1.0377856,1.0721108,1.091828,1.1736577,0.69947124,0.707065,1.0552534,0.9997477,1.1080225,1.1664704,1.0331095,1.1849333,0.9579252,1.2562004,0.9178921,1.2252299,1.2210919,1.1007215,1.0791118,0.94902843,0.8790965,1.1313473,0.7067089,1.055682,0.767025,1.1651733,0.67431146,0.96251136,0.88034433,1.137136,0.7002117,1.2922378,1.1388998,1.1594735,0.96326596,1.1277431,1.1478242,0.8290849,0.82564867,1.2452005,1.0747181,1.2721634,1.0736655,1.2563215,1.1937852,1.1947972,1.1733532,1.1026185,0.6328304
chair,1.0575813,1.3503656,0.9380843,1.2509952,1.1329458,1.2625517,0.59005594,0.9518272,0.4629115,0.9225408,0.46581614,1.0333505,1.0124559,0.7654973,0.9264378,0.7796757,1.2709606,0.98687375,0.5513897,1.232245,0.808095,0.8457118,1.2331871,0.61203706,1.0060406,1.1852136,1.0072236,0.0,1.055568,0.82331073,1.0667044,1.0375468,1.1902375,0.5022037,1.191153,0.40332556,1.2024091,0.7809454,0.92609364,1.0730562,0.6769856,0.7282564,0.98027116,1.1357651,1.2837763,1.0659902,1.1404886,1.1995195,1.1194471,1.1355512,1.1664007,0.95603234,1.3801757,1.1100792,0.9382218,1.073262,1.1059978,1.0488191,1.2830195,1.0596068,0.66286665,0.9209805,0.87495977,0.74805415,1.0123464,0.21263498,0.95051324,0.87451285,1.031404,1.183465,1.4008875,0.80642605,1.2818493,1.173798,1.3034922,0.720575,1.1222105,0.89796627,0.7970076,0.7830579,1.281359,1.2611604,1.2792947,1.0129269,1.1445616,0.9526775,0.8968174,0.99366784,1.2607417,0.92330134,0.8506729,0.6803089,1.0712163,0.84897304,1.2084507,0.8987165,0.8703085,0.92404026,1.2248757,0.74568963,0.78375626,0.87128943,1.3298724,1.1128397,0.97946966,1.283615,1.1459224,1.1223379,1.2788944,0.9824622,0.8494061,0.8267017,1.1191652,1.257108,1.1144763,0.83262265,1.0543903,0.84003973,1.066905,1.1923916,1.28862,0.76952904
