annotator,initial_object_name,total_frames,correct_labels,incorrect_labels,mean_iou,mean_iou_correct,mean_iou_incorrect,precision,n,prevalence_bin
Dora,vacuum,4,2,2,0.9999003999108769,0.9999281277178906,0.999872672103863,0.5,104325,Very High (80-100%)
Dora,shovel,7,3,4,0.9997741164812692,0.9998044688705484,0.9997513521893098,0.42857142857142855,42134,High (60-80%)
Dora,cat,5,2,3,0.9999594967367084,0.9999829382798661,0.9999438690412699,0.4,60004,High (60-80%)
Dora,crib,5,2,3,0.9999515077606361,0.999961671792069,0.9999447317396809,0.4,164037,Very High (80-100%)
Dora,pastry,5,2,3,0.9999278776668028,0.9999256534882945,0.9999293604524749,0.4,193,Very Low (0-20%)
Dora,pickle,5,2,3,0.9998776467407455,0.9998964333285417,0.9998651223488814,0.4,35609,High (60-80%)
Dora,tongue,5,2,3,0.9998525327516632,0.9998632849727058,0.9998453646043015,0.4,367,Very Low (0-20%)
Dora,airplane,3,1,2,0.9999036510145823,0.9998156942769204,0.9999476293834133,0.3333333333333333,3924,Low (20-40%)
Dora,applesauce,3,1,2,0.9998851953313456,0.9999233735276288,0.9998661062332039,0.3333333333333333,323,Very Low (0-20%)
Dora,bathroom,3,1,2,0.9999842515940851,0.9999829246594745,0.9999849150613904,0.3333333333333333,75676,Very High (80-100%)
Dora,beads,3,1,2,0.9999544235199394,0.9999487138702263,0.9999572783447959,0.3333333333333333,20738,High (60-80%)
Dora,comb,3,1,2,0.999953383389865,0.9999435183849308,0.999958315892332,0.3333333333333333,4296,Low (20-40%)
Dora,cracker,3,1,2,0.999907502281651,0.9998363816606893,0.999943062592132,0.3333333333333333,12305,Medium (40-60%)
Dora,diaper,3,1,2,0.9998880831426096,0.9999171103505899,0.9998735695386194,0.3333333333333333,79271,Very High (80-100%)
Dora,fork,3,1,2,0.9996023982086883,0.9994065257178478,0.9997003344541086,0.3333333333333333,51003,High (60-80%)
Dora,helicopter,6,2,4,0.9999234345177763,0.9998703604432229,0.999949971555053,0.3333333333333333,163,Very Low (0-20%)
Dora,hen,3,1,2,0.9999761444702739,0.9999827454536713,0.9999728439785753,0.3333333333333333,706,Very Low (0-20%)
Dora,jelly,3,1,2,0.9999588270670626,0.9999759470980432,0.9999502670515724,0.3333333333333333,14976,Medium (40-60%)
Dora,penny,3,1,2,0.9997111597690125,0.9997536003505468,0.9996899394782452,0.3333333333333333,537,Very Low (0-20%)
Dora,pizza,3,1,2,0.9999335001249087,0.9999578069102132,0.9999213467322565,0.3333333333333333,10657,Medium (40-60%)
Dora,pool,6,2,4,0.9999815400972177,0.9999852257828139,0.9999796972544196,0.3333333333333333,7952,Medium (40-60%)
Dora,popcorn,6,2,4,0.9999157429990365,0.9998973267507494,0.9999249511231801,0.3333333333333333,10374,Medium (40-60%)
Dora,tooth,3,1,2,0.999756067211105,0.9998103057318596,0.9997289479507276,0.3333333333333333,3748,Low (20-40%)
Dora,turtle,6,2,4,0.9999066492194004,0.9998742017725881,0.9999228729428066,0.3333333333333333,40,Very Low (0-20%)
Dora,candy,13,4,9,0.9998964630177056,0.9998736607821285,0.9999065973446287,0.3076923076923077,234,Very Low (0-20%)
Dora,goose,10,3,7,0.999824085500982,0.9999176421036182,0.999783989814138,0.3,83,Very Low (0-20%)
Dora,motorcycle,7,2,5,0.9999615004642851,0.9999814684095416,0.9999535132861825,0.2857142857142857,6753,Medium (40-60%)
Dora,duck,11,3,8,0.9998633623262093,0.999856314005572,0.9998660054464483,0.2727272727272727,233,Very Low (0-20%)
Dora,bubbles,4,1,3,0.9998264066992945,0.9998439352304986,0.9998205638555597,0.25,12387,Medium (40-60%)
Dora,bunny,8,2,6,0.9998752896406187,0.9998241524847207,0.9998923353592514,0.25,5826,Medium (40-60%)
Dora,butterfly,4,1,3,0.9997813266396325,0.9996423001778744,0.9998276687935519,0.25,2466,Low (20-40%)
Dora,gum,4,1,3,0.9998947254615154,0.9998541238063292,0.9999082593465775,0.25,54844,High (60-80%)
Dora,pudding,4,1,3,0.99991647594482,0.9999044866052456,0.99992047239134485,0.25,12030,Medium (40-60%)
Dora,scissors,4,1,3,0.9998417744115748,0.9999048443140389,0.9998207511107534,0.25,73379,High (60-80%)
Dora,sprinkler,4,1,3,0.9999240671387004,0.9999376591698613,0.9999195364616468,0.25,4976,Low (20-40%)
Dora,tummy,4,1,3,0.9999589592539213,0.9999155511625113,0.9999734286177246,0.25,1112,Low (20-40%)
Dora,bear,5,1,4,0.9999847393716429,0.9999862059276758,0.9999843727326347,0.2,405,Very Low (0-20%)
Dora,cheerios,5,1,4,0.9999371712816987,0.9998877755783961,0.9999495202075243,0.2,23324,High (60-80%)
Dora,glove,5,1,4,0.9998777396529401,0.9996161313222,0.9999431417356253,0.2,47813,High (60-80%)
Dora,kitty,5,1,4,0.9999597292750818,0.9999330266601366,0.9999664049288182,0.2,4469,Low (20-40%)
Dora,moon,5,1,4,0.9996860565840106,0.9993167226318762,0.9997783900720442,0.2,13764,Medium (40-60%)
Dora,pony,5,1,4,0.9998851038121552,0.999926915995463,0.9998746507663283,0.2,2803,Low (20-40%)
Dora,bathtub,6,1,5,0.9999717558093305,0.9999770575786198,0.9999706954554727,0.16666666666666666,53727,High (60-80%)
Dora,key,6,1,5,0.9997324709612222,0.9998315989643595,0.9997126453605948,0.16666666666666666,145,Very Low (0-20%)
Dora,potty,6,1,5,0.9999532391020185,0.9999816536436636,0.9999475561936895,0.16666666666666666,91717,Very High (80-100%)
Dora,sheep,6,1,5,0.9999814798803155,0.9999879410892958,0.9999801876385195,0.16666666666666666,728,Very Low (0-20%)
Dora,chocolate,7,1,6,0.9999351885299131,0.9999704378542855,0.9999293136425177,0.14285714285714285,126,Very Low (0-20%)
Dora,rain,7,1,6,0.9999908980361673,0.9999839563249898,0.9999920549880301,0.14285714285714285,155,Very Low (0-20%)
Dora,bee,5,0,5,0.9998830020574868,NA,0.9998830020574868,0,1283,Low (20-40%)
Dora,boots,4,0,4,0.9998394483525597,NA,0.9998394483525597,0,70509,High (60-80%)
Dora,brush,3,0,3,0.9998559563819581,NA,0.9998559563819581,0,5041,Low (20-40%)
Dora,bus,4,0,4,0.9998940796641799,NA,0.9998940796641799,0,3021,Low (20-40%)
Dora,butter,3,0,3,0.9998447751987607,NA,0.9998447751987607,0,16195,Medium (40-60%)
Dora,cereal,3,0,3,0.9999630904525348,NA,0.9999630904525348,0,1386,Low (20-40%)
Dora,cheek,6,0,6,0.9999460063495222,NA,0.9999460063495222,0,354,Very Low (0-20%)
Dora,coke,4,0,4,0.9999203413971468,NA,0.9999203413971468,0,15126,Medium (40-60%)
Dora,dryer,3,0,3,0.9998999223374232,NA,0.9998999223374232,0,32349,High (60-80%)
Dora,hammer,4,0,4,0.999886741224026,NA,0.999886741224026,0,6761,Medium (40-60%)
Dora,ice,4,0,4,0.999948304130762,NA,0.999948304130762,0,737,Very Low (0-20%)
Dora,juice,3,0,3,0.9997571611862863,NA,0.9997571611862863,0,778,Very Low (0-20%)
Dora,lamb,3,0,3,0.9999601045828338,NA,0.9999601045828338,0,11,Very Low (0-20%)
Dora,medicine,5,0,5,0.9999264465394234,NA,0.9999264465394234,0,162,Very Low (0-20%)
Dora,money,4,0,4,0.9998679097644168,NA,0.9998679097644168,0,14838,Medium (40-60%)
Dora,moose,4,0,4,0.999896988435711,NA,0.999896988435711,0,19,Very Low (0-20%)
Dora,owie,8,0,8,0.9999365263175247,NA,0.9999365263175247,0,50,Very Low (0-20%)
Dora,pancake,4,0,4,0.9999522451678264,NA,0.9999522451678264,0,19146,Medium (40-60%)
Dora,penis,5,0,5,0.9999439389918635,NA,0.9999439389918635,0,4714,Low (20-40%)
Dora,popsicle,4,0,4,0.9999094230688113,NA,0.9999094230688113,0,10566,Medium (40-60%)
Dora,sandbox,6,0,6,0.9999753106293269,NA,0.9999753106293269,0,83177,Very High (80-100%)
Dora,snowsuit,4,0,4,0.9999655884473446,NA,0.9999655884473446,0,529,Very Low (0-20%)
Dora,soda,3,0,3,0.9999195425821308,NA,0.9999195425821308,0,728,Very Low (0-20%)
Dora,squirrel,4,0,4,0.999930954526459,NA,0.999930954526459,0,11219,Medium (40-60%)
Dora,tiger,3,0,3,0.9998893237478004,NA,0.9998893237478004,0,4326,Low (20-40%)
Dora,train,3,0,3,0.9999813715620661,NA,0.9999813715620661,0,9091,Medium (40-60%)
Dora,turkey,5,0,5,0.9999781787870052,NA,0.9999781787870052,0,2190,Low (20-40%)
Dora,vagina,9,0,9,0.9999495806984615,NA,0.9999495806984615,0,52,Very Low (0-20%)
Dora,water,3,0,3,0.9999898830321847,NA,0.9999898830321847,0,8451,Medium (40-60%)
Dora,wolf,4,0,4,0.9999223147730851,NA,0.9999223147730851,0,3809,Low (20-40%)
Dora,yogurt,6,0,6,0.9999380333621091,NA,0.9999380333621091,0,7054,Medium (40-60%)
Mira,broom,3,3,0,0.9998830720196068,0.9998830720196068,NA,1,5205,Medium (40-60%)
Mira,button,3,3,0,0.9998365702182742,0.9998365702182742,NA,1,802,Very Low (0-20%)
Mira,cloud,7,7,0,0.999926064464811,0.999926064464811,NA,1,81,Very Low (0-20%)
Mira,ear,4,4,0,0.9998395848670021,0.9998395848670021,NA,1,1370,Low (20-40%)
Mira,face,3,3,0,0.9999689004888569,0.9999689004888569,NA,1,7209,Medium (40-60%)
