class_name,subject_id,age_mo,num_detected,num_frames
alligator,recDFI56wO7AglqfO,18,66,12037
alligator,recDFI56wO7AglqfO,19,3,1392
alligator,recDFI56wO7AglqfO,20,9,2212
alligator,recDFI56wO7AglqfO,21,3,2628
alligator,recDFI56wO7AglqfO,27,0,1234
alligator,recDFI56wO7AglqfO,28,52,7300
alligator,recDFI56wO7AglqfO,29,6,1738
alligator,recdhcbJDSJ92LKe5,19,3,935
alligator,recdhcbJDSJ92LKe5,20,117,14447
alligator,recdhcbJDSJ92LKe5,21,153,16714
alligator,recdhcbJDSJ92LKe5,22,148,6918
alligator,recdhcbJDSJ92LKe5,23,198,18708
alligator,recdhcbJDSJ92LKe5,24,71,7436
alligator,recdhcbJDSJ92LKe5,25,338,25481
alligator,recdhcbJDSJ92LKe5,26,376,24637
alligator,recdhcbJDSJ92LKe5,27,92,12756
alligator,recdhcbJDSJ92LKe5,28,35,9683
alligator,recdhcbJDSJ92LKe5,29,148,9888
alligator,recdhcbJDSJ92LKe5,30,320,17193
alligator,recdhcbJDSJ92LKe5,31,109,10619
alligator,recdhcbJDSJ92LKe5,32,37,8237
alligator,recdhcbJDSJ92LKe5,33,23,5104
alligator,recdhcbJDSJ92LKe5,34,206,7125
alligator,recdhcbJDSJ92LKe5,36,29,3005
alligator,rece091flvzvsSOdv,12,69,6152
alligator,rece091flvzvsSOdv,13,173,27150
alligator,rece091flvzvsSOdv,14,140,19935
alligator,rece091flvzvsSOdv,15,196,30458
alligator,rece091flvzvsSOdv,16,202,23345
alligator,rece091flvzvsSOdv,17,114,23981
alligator,rece091flvzvsSOdv,18,150,30095
alligator,receE4UFFljPAjtWo,6,34,9324
alligator,receE4UFFljPAjtWo,7,13,6738
alligator,receE4UFFljPAjtWo,8,123,8354
alligator,receE4UFFljPAjtWo,9,17,5413
alligator,receE4UFFljPAjtWo,10,10,8133
alligator,receE4UFFljPAjtWo,11,25,6538
alligator,receE4UFFljPAjtWo,12,33,8618
alligator,receE4UFFljPAjtWo,13,12,8349
alligator,receE4UFFljPAjtWo,14,34,7726
alligator,receE4UFFljPAjtWo,15,124,10460
alligator,receE4UFFljPAjtWo,16,38,2655
alligator,recf7gu6r4Il07n57,8,98,18940
alligator,recf7gu6r4Il07n57,9,87,17339
alligator,recf7gu6r4Il07n57,10,29,14727
