,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cookie,1.0492684,1.0058432,0.68042046,0.9457917,1.3012878,0.65452087,0.83935714,0.7858333,1.0665109,1.1862369,1.3527403,1.0964777,1.3270957,1.2721021,1.0508864,1.2672516,1.026671,1.0757282,0.9073984,0.794665,1.2141548,0.5536965,1.1821473,0.911787,1.036822,1.0302364,0.5025784,1.1630242,1.2627528,0.8024466,1.3190119,1.1305453,0.7374172,1.0372373,0.0,1.3603216,0.41627288,0.8887119,1.3497512,0.8769771,1.1638552,1.0844578,1.2207593,0.9972983,1.3134868,1.1110567,0.55891037,1.1506406,0.86607194,1.1515528,0.9471065,1.176345,1.0323528,0.8899721,0.9691981,1.0732011,1.0220785,1.0399333,1.0141567,0.96989363,1.0774801,0.83610135,1.1699134,0.627953,1.0876908,1.0189363,1.1207857,0.914618,1.1170561,0.9065201,1.3598884,1.1255821,1.3129992,0.72188234,1.1956558,0.61542124,0.7966161,1.0837487,1.130611,0.5610893,0.85661155,0.928496,0.91745734,0.8425069,0.59387493,1.1469047,0.9223791,1.27595,1.322402,1.1726899,0.95372355,0.9880649,0.80534434,0.79672045,1.0308957,1.1692343,0.96719307,0.82003,1.0565277,0.6025284,0.68787247,1.2006617,0.81223416,0.76883495,1.2305537,1.0964799,1.0379908,0.98835033,1.2998915,1.1680454,1.2448729,0.7802055,1.0645475,1.2145071,0.95197624,0.83415353,1.0017458,0.7549435,0.8981379,0.8896532,0.64755595,1.075065,1.2380184,1.2305303,1.28403,0.69239736,0.88977814,0.88076615,1.0264087,0.9292057,1.0542096,0.867448,1.0919207,1.0438706,1.2000932,0.93423253,1.235804
couch,0.9939739,0.8771949,1.4711318,0.9788763,0.56690687,1.403209,1.3953347,1.3372347,0.82866144,0.578102,0.16458929,1.1554866,0.3110525,0.69923174,1.0967716,0.30051023,0.8755858,1.0855844,1.3074744,1.2696815,0.7561109,1.3857646,0.8926352,1.1161414,1.1274707,0.98951906,1.4159074,0.9234985,0.33011281,1.1621677,0.464271,0.80510116,1.200465,1.0610526,1.3603216,0.0,1.1484551,1.4767888,0.32343054,1.2856598,0.8413089,0.84604704,0.54664946,0.8691946,0.69850916,0.9339846,1.4048786,0.92595243,1.1516685,0.83704126,1.2853897,0.9776512,1.122334,1.134697,1.2451602,1.2411071,1.2026833,0.95514864,1.2990026,1.0451428,0.96930903,1.3444302,0.83500004,1.2808425,0.9842232,1.1467749,1.054041,1.1228601,0.8994332,1.0898843,0.5619154,1.1466668,0.5674683,1.3651531,0.58033234,1.3465569,0.96666425,0.8568107,0.8730663,1.0051084,1.3730474,1.020991,1.3513353,1.3029382,1.4176745,0.55933577,1.2095863,0.6525186,0.5188749,0.9189335,1.4309494,1.3744378,1.2015324,1.2880565,0.58963346,1.0144465,1.0508238,1.321552,1.0980101,1.1299243,1.1349603,0.51937234,1.0917761,1.3926258,0.50508636,1.1894658,0.836514,1.0360692,0.6385787,0.8046305,0.74375594,1.1368853,1.0686864,0.77183723,1.3026825,1.226294,1.1307005,0.86656815,1.3518684,1.1712508,1.4301379,0.78030866,0.89973515,0.72651654,0.6179104,1.3959322,1.307075,1.2905409,1.2391857,1.0398829,1.0041486,1.1746391,0.9560498,1.0513471,0.7544917,1.3450123,0.61354476
cracker,0.91715586,0.9613368,1.0643511,0.62088394,0.985745,0.9976049,1.1603211,0.9166126,1.0523142,1.065824,1.1258277,1.1636065,1.0863161,0.9050079,0.9650418,1.0494189,1.1136817,0.95047534,1.1797111,1.0956938,0.9545605,0.6795013,1.039606,1.081256,1.2305834,1.1184393,0.7880747,1.175554,1.191968,0.844098,1.1840765,1.0036589,1.0504117,1.0595303,0.41627288,1.1484551,0.0,1.0525792,1.0852134,1.1828312,1.1051929,1.030251,1.1042385,0.95943457,1.0784019,1.106193,0.91257703,1.0145751,0.97362185,1.0372096,0.9286993,1.0736479,0.9734543,1.0548936,0.9620898,0.9689947,0.9449993,0.9129419,1.136363,0.9793115,1.1525499,0.7357568,1.0793767,0.74823415,0.83445567,1.13828,1.0706003,1.0223122,0.98114437,0.96764207,1.0763116,1.1148813,1.1701466,1.0407919,1.0263959,0.9691846,0.7167252,0.9209438,1.0663536,0.5691267,1.1388701,1.0161939,0.95034885,1.041808,0.98524463,1.1495078,0.9962685,1.0769678,1.1674042,0.9571465,1.0362151,1.0440124,0.88972473,1.0754352,1.0591842,0.8536552,1.1020281,0.977748,1.0141407,0.66392255,0.79202664,1.0274049,1.0400493,1.0923469,1.1652005,1.1953417,0.9396156,0.82252556,1.0948359,0.8662368,1.1730512,0.88985175,1.2018299,1.1769679,1.0918764,0.9981816,0.8580389,0.8031875,0.9990462,1.0535419,0.912505,1.0838155,1.0681479,1.0937948,1.037102,0.99907666,0.9950607,0.97967196,1.057344,1.0518502,1.0344088,1.0062464,1.1086419,1.0809656,1.1611518,1.0835499,1.1663823
crayon,1.4166607,1.0759996,0.4225105,1.4091944,1.4627566,0.62546194,0.47024316,0.48553056,1.0449181,1.3832424,1.5230155,0.42672294,1.4103802,1.5147058,1.224549,1.4328802,1.0098101,0.9203756,0.371332,0.5290942,1.3253458,0.46729702,1.101778,0.72896266,0.40958107,0.88856876,0.5258688,1.1735559,1.2715169,0.93524516,1.4350761,1.2569292,0.7467058,0.8189157,0.8887119,1.4767888,1.0525792,0.0,1.5004566,0.4540046,1.4657156,1.3889967,1.3047931,0.77602476,1.4286942,0.94481486,0.7263663,1.2934313,1.0808386,1.3367397,0.5862603,0.643304,1.1233665,1.0030951,0.662269,0.5036929,1.1256747,1.3557348,0.43995625,1.0078714,0.89514923,0.75204974,1.3304193,1.0222713,1.2119203,0.7858999,1.2999518,1.0256779,1.1014123,0.82510227,1.3942504,0.44999325,1.3255777,0.55122805,1.4131793,0.7071535,1.1823995,1.3699989,1.2533522,1.1913323,0.38837945,0.5789348,0.56299424,0.59604603,0.65611964,1.2419968,0.93526554,1.4782476,1.3572245,1.4212426,0.22596061,0.25150895,1.030279,0.57897025,0.8943405,1.1749042,1.0139043,0.4580747,1.2408403,1.1397038,1.0865481,1.3550631,0.86953765,0.50984454,1.3464286,0.6086988,1.1513113,0.9242922,1.5098268,1.3434826,1.1159277,0.85691345,0.55016977,1.1649399,0.3181455,0.6547639,0.71026677,1.0613145,0.39057076,0.7104926,0.50125074,1.3555524,1.3332233,1.315387,1.545788,0.50037104,0.5012466,0.47457278,0.463364,0.5557917,1.0554508,0.68964946,1.1388829,0.90090245,1.0366628,0.32390618,1.4128171
crib,0.93896896,0.9813074,1.5561011,0.8180029,0.6295168,1.4966613,1.4600343,1.395594,0.63969076,0.58358335,0.25481546,1.2861176,0.4080277,0.711125,1.003145,0.4216745,0.9193996,0.8917519,1.3296531,1.2726634,0.49990165,1.4732654,0.80686164,1.0299724,1.196082,1.0519066,1.4487624,0.9749657,0.36050498,1.0461932,0.27278578,0.85718906,1.2777227,1.1084424,1.3497512,0.32343054,1.0852134,1.5004566,0.0,1.2900882,0.8225862,0.74765384,0.4691983,0.913902,0.82669944,1.172638,1.4288964,0.9766831,1.064652,0.9065082,1.4157262,1.112208,1.1342932,1.0330588,1.3426505,1.2200198,1.1596382,0.8741678,1.4068435,1.1863866,1.0342562,1.2714634,0.93334305,1.2268156,1.0210494,1.248588,0.9581108,1.1662307,0.82622784,0.9394539,0.7360212,1.1459268,0.3113156,1.3996977,0.67307436,1.4721977,0.82039696,0.9638486,0.81617266,0.9982983,1.4412615,1.1323478,1.4034237,1.3912287,1.48947,0.564157,1.1969379,0.6661855,0.7258692,0.76808167,1.4279668,1.3048663,1.170476,1.3223524,0.8178344,0.9176989,0.9363258,1.3202884,0.9969809,1.1891565,1.1822836,0.539269,1.1102335,1.432624,0.47232008,1.1884315,0.7559577,0.9193367,0.7239874,0.76357985,0.98195815,1.0058905,1.1863921,0.7234935,1.4289708,1.1953704,1.2301071,0.9518743,1.3601114,1.1805378,1.4427636,0.66491616,0.8811236,0.7047328,0.5312133,1.4209919,1.4613802,1.329979,1.1778032,1.1485933,0.8933348,1.1164368,0.79239875,0.9412052,0.670417,1.4349636,0.55464095
cup,1.4151127,1.2555352,0.45258832,1.3923191,1.4395974,0.6938781,0.3990708,0.5763361,0.88492393,1.302172,1.3420439,0.39561707,1.3269296,1.5172652,1.2498673,1.3057364,1.1132597,0.98725957,0.06404984,0.26529038,1.2834061,0.6032932,1.2073884,0.5747837,0.25003743,0.7403341,0.68878317,1.0442727,1.0051605,0.88649064,1.2520885,1.1995065,0.85950446,1.0689636,0.8769771,1.2856598,1.1828312,0.4540046,1.2900882,0.0,1.278764,1.1817154,1.1524739,0.8941002,1.4115882,1.1579523,0.8178106,1.2518785,1.0343317,1.2828205,1.0381739,0.89419186,1.2423534,0.78256273,0.98799473,0.90407175,1.258256,1.2122446,0.56466496,1.0568932,0.866066,1.2129978,1.3160865,1.0582173,1.4657513,0.70973855,1.214565,1.1430488,1.1531701,0.60756963,1.4671152,0.5372485,1.2142231,0.45819336,1.3781645,0.7475147,1.037995,1.4668171,1.1613669,1.2099442,0.38175595,0.5598261,0.9718839,0.78753334,0.79053044,0.96027213,1.0759442,1.3940125,1.4308959,1.3084352,0.60519516,0.59442306,1.0246351,0.5745579,0.81202084,1.3692424,0.7677978,0.39035022,1.2135156,1.26268,1.2087227,1.237413,0.5895213,0.57427907,1.0729669,0.69506776,1.1260474,1.1753235,1.3929919,1.4753098,1.2897351,0.8462412,0.3713714,1.1581001,0.4165486,0.42587692,1.0090592,1.1636338,0.642796,0.65078175,0.5809566,1.0722828,1.3456283,1.1436558,1.427325,0.54520375,0.8088541,0.6391368,0.6835265,0.50008345,1.0457479,0.5445549,1.017981,0.7382915,1.0504353,0.4036913,1.1550051
dog,0.47403765,1.1389884,1.3273349,0.8478058,0.8299841,1.1783447,1.3124561,1.2657757,1.1006434,0.86576533,0.76280874,1.3055923,0.87314576,0.86007357,0.6999311,0.8079308,1.0400856,0.92527807,1.3091471,1.2874383,0.8766201,1.3657744,0.9679845,1.2813103,1.3752121,1.0171785,1.2549062,0.44806325,0.93767023,1.0853146,0.7997719,0.91991544,1.1151502,1.1260382,1.1638552,0.8413089,1.1051929,1.4657156,0.8225862,1.278764,0.0,0.75374675,0.9266015,1.261273,0.85493684,1.1100667,1.2100643,0.60972446,0.9988769,0.8642295,1.3891852,1.258791,0.69461,0.9637658,1.3254828,1.3454533,0.71394825,0.83118975,1.354368,1.0442367,1.0894907,1.1821628,0.8389135,1.0190275,1.0355136,1.1568183,0.31693625,1.1188973,0.98362184,1.1438453,0.8510833,1.2882414,0.87134653,1.3000628,0.7784542,1.174317,0.9324023,0.8387643,0.8281764,0.9890507,1.316201,1.3702786,1.3394802,1.0943284,1.244195,0.9972531,0.95189434,0.7710424,0.9160272,0.5909244,1.4167774,1.3613839,0.7802936,1.2198524,1.1608552,0.86422825,0.9714847,1.3248134,0.4441864,1.0420345,1.0223058,0.9329628,1.1077415,1.2488579,0.90615225,1.1325257,0.9376086,1.0746063,0.7640313,0.912055,1.0784291,1.100379,1.2244946,0.93117565,1.4221406,1.1953068,1.3133918,1.0676056,1.3961155,1.1291615,1.2694457,0.7354079,0.8278936,0.83820385,0.6796929,1.2597044,1.3940463,1.3080728,1.2041512,1.3672276,0.9047711,1.2041562,0.9215946,1.0647919,0.96202755,1.4176993,0.81646395
doll,0.65217566,0.9147161,1.2265462,0.7349287,0.94905764,1.1658602,1.2187707,1.189862,0.7557169,1.122343,0.77650225,1.3043191,1.0811509,0.677947,0.8164005,0.71414787,0.9349581,0.8476026,1.2301062,1.1978617,0.6654459,1.2711318,1.1749294,0.9298554,1.3477857,0.85399204,1.2511581,1.0144303,0.81517506,1.1297221,1.0127572,0.8101597,1.1523877,1.2310236,1.0844578,0.84604704,1.030251,1.3889967,0.74765384,1.1817154,0.75374675,0.0,1.0622549,1.216197,0.9174191,1.2102295,1.199184,0.9339498,1.0635915,0.92023164,1.2933745,1.2206151,1.0187385,0.8672933,1.1827109,1.1376239,0.72488713,0.9060117,1.3399906,0.93560433,1.3147923,1.1594598,0.89832646,0.95813924,0.9769714,0.8147477,0.8208003,1.2447156,0.7187719,1.0665574,0.9042558,1.476253,0.8706018,1.3307297,0.95924085,1.1892661,0.84169495,0.7904687,0.7449318,0.9847355,1.3008494,1.3078969,1.3202035,1.3309264,1.1916583,1.1473016,0.7777997,0.5551073,1.0196319,0.78764737,1.3125539,1.2514682,0.99367577,1.1353586,1.0098933,0.89414495,0.8639802,1.3290831,0.8334778,1.0157344,0.92143786,0.7070039,0.91849214,1.2412729,1.139661,1.0141364,0.8665322,0.9439247,0.66977537,0.97013515,1.1594439,0.94278,1.308119,0.8121282,1.3318744,1.04769,1.1922425,1.0922964,1.2256114,1.2857642,1.1111201,0.45719618,0.60581297,0.92601115,0.8425689,1.0661962,1.2838843,1.3679123,1.2333094,1.3329134,0.48562723,1.118351,0.9606104,0.98333895,1.094485,1.3311985,0.98690754
door,1.0516931,1.0592546,1.3944638,1.0179178,0.7638872,1.3739724,1.3323115,1.2248826,0.99033743,0.47899407,0.5434056,1.133028,0.5248072,0.9616632,1.0405148,0.76606894,1.0296428,1.1957167,1.1624331,1.2189037,0.9135194,1.3809974,0.77675366,1.1502132,0.9459242,1.1029547,1.3018718,0.86317635,0.6005887,1.0648487,0.2715758,0.9521797,1.1284703,0.9825118,1.2207593,0.54664946,1.1042385,1.3047931,0.4691983,1.1524739,0.9266015,1.0622549,0.0,0.78988004,0.9189912,1.068972,1.3235095,1.0349317,1.0022476,0.8730025,1.2229071,1.102836,1.0859226,1.0286821,1.2497885,1.2073349,1.1607049,0.8882465,1.1504143,1.2519779,0.7911509,1.3194427,0.8568497,1.1500046,1.0305529,1.212154,1.037222,0.9546117,0.9456266,1.0164412,0.84109926,0.96333015,0.40218055,1.1018391,0.6840132,1.3220679,0.9955636,1.0805163,0.94807947,1.0718571,1.2636395,0.9717636,1.1750164,1.231223,1.3457606,0.41450548,1.1905284,0.8483188,0.70838434,0.96519166,1.2693889,1.1673332,1.1437901,1.1956552,0.94847345,1.0868986,0.9707617,1.2169843,1.0581928,1.1525029,1.2951822,0.92150545,1.1685216,1.2372848,0.2719878,1.1165705,1.0548519,0.9954559,0.80086327,0.9108397,0.90103465,1.0423634,0.93607795,0.8599446,1.2300646,1.2102727,1.2612418,0.9239295,1.2574706,0.97486204,1.3624545,0.8945299,0.9720325,0.69209784,0.721789,1.3416305,1.287241,1.1716936,1.0554159,0.96325666,1.1859012,1.194429,0.79413486,1.0163066,0.53041965,1.2583714,0.48527783
drawer,1.3384823,1.0317854,1.060488,1.1716813,1.0960236,1.0461236,0.9833244,0.99827945,0.81652594,0.8062018,1.0269896,0.67497015,0.6875665,1.2488661,1.2102165,1.071305,0.91296524,0.9189348,0.9441582,0.7623803,0.95802116,0.95724136,0.855326,0.82665443,0.69355506,0.9403893,1.054689,1.0520008,0.851351,0.8488376,0.9355112,1.1538721,0.76392055,0.93434346,0.9972983,0.8691946,0.95943457,0.77602476,0.913902,0.8941002,1.261273,1.216197,0.78988004,0.0,1.23071,1.0373504,0.9943488,1.195382,1.068126,1.2422882,0.9549112,0.6332156,1.0748795,1.0931839,0.8721422,0.8771107,1.210724,1.065875,0.9589559,1.1358852,0.9360062,1.087674,1.2710756,1.0182928,1.1460555,1.039682,1.2604613,0.92349803,0.95531404,0.8301724,1.1406009,0.78173614,0.8984998,0.83353806,1.116563,1.0783077,0.9703524,1.2899771,1.1772833,1.0448245,1.0512282,0.5740015,0.91207457,1.1095119,1.0425037,0.6436781,1.1295137,1.2608027,1.0321991,1.2113941,0.7145942,0.76304245,1.0360892,0.93853855,0.7909188,1.1992373,1.0523515,0.72551346,1.2571901,1.0419961,1.1131039,0.920207,0.7879279,0.86772984,0.8361347,1.0374811,1.2003086,0.8418882,1.24612,0.95191455,0.9838528,0.86055946,0.6763236,1.1397761,0.71871954,0.93268967,0.8591642,0.87607425,0.71049404,0.837113,0.90778345,1.0327121,1.3274019,1.0678794,1.1687942,0.90892714,0.9804245,0.9943328,0.9059475,0.56524485,1.094107,0.6662062,1.0866152,0.9018492,0.6954797,0.8579607,1.0601248
dress,0.8168609,0.75439966,1.2841902,0.81195307,0.40090066,1.1971437,1.3270265,1.2408457,1.177987,0.7005452,0.69680053,1.2930814,0.7428155,0.4092672,0.87566304,0.7999965,0.91381055,1.2007087,1.4049613,1.4949028,0.8517153,1.2985929,0.910199,1.279304,1.3905826,1.2008027,1.2935058,0.9687396,0.9566485,1.0902545,0.75345707,0.776706,1.191761,1.0532491,1.3134868,0.69850916,1.0784019,1.4286942,0.82669944,1.4115882,0.85493684,0.9174191,0.9189912,1.23071,0.0,0.8352779,1.1679046,0.8863466,1.0503865,0.5892873,0.98398143,1.1331,0.9940539,1.1941128,1.0606619,1.2320172,0.9720353,0.8946867,1.1917423,0.9694791,1.0216342,1.0778275,0.564822,1.1576219,0.6556599,1.164279,0.98842984,0.9409436,0.907374,1.3277814,0.4901755,1.1812961,0.8838659,1.3942583,0.6995697,1.1359884,1.1755482,0.6277835,0.9852267,1.0602021,1.2918979,1.3222992,1.0174651,1.1782032,1.1364574,0.97775346,1.116303,0.5210351,0.50689584,0.81487894,1.4171345,1.3145983,1.2195344,1.3052987,1.2010647,0.81625235,1.2038178,1.4147085,1.0041323,0.9398866,0.9478746,0.8352623,1.2172501,1.2846985,0.85269266,1.2608802,0.9004231,1.013575,0.34180868,0.64336437,0.49695408,1.107527,1.2628458,0.7639573,1.3142911,1.2869784,1.018032,0.93643475,1.4066465,1.2550403,1.3882114,1.1207594,0.6351453,0.7805618,0.62699354,1.3940064,1.081986,1.171478,1.1941891,1.3445864,1.0836115,1.4003437,1.0117611,1.2464533,1.0592093,1.255955,0.8038769
ear,1.065795,0.8976182,0.9970537,1.1680908,1.0297161,1.0729799,0.97309214,1.0031067,1.2816186,1.0573782,1.0352384,0.8300381,0.9893744,0.99401677,1.1249865,0.95084274,0.9662224,1.2704055,1.1182578,1.0653772,1.2982354,0.94058895,0.98663104,1.1933986,0.9343738,1.1662302,0.9420247,0.96181023,1.0929538,1.1799413,1.0667198,0.9266645,0.9700595,0.776596,1.1110567,0.9339846,1.106193,0.94481486,1.172638,1.1579523,1.1100667,1.2102295,1.068972,1.0373504,0.8352779,0.0,1.026257,0.8674893,1.0745707,1.0252146,0.7041527,0.7013841,0.8505794,1.2694042,0.83737403,0.7776904,1.0130672,1.1478354,0.82256114,0.6984855,0.9386037,0.95142144,0.8773898,1.13938,0.8774298,0.9001908,1.1279655,0.8938766,0.93123937,1.031785,0.7587997,1.0134345,1.2232412,0.9833972,0.9667861,0.85775334,1.1356373,0.8623136,1.132619,0.96914667,1.0238483,0.67367685,0.773172,0.7238258,0.93998945,0.8677246,1.0428245,1.0509603,0.672763,1.2264949,0.88477814,1.0277978,0.9894096,0.94122285,0.7842026,1.1462215,1.2904167,1.0553817,1.0410771,0.9102955,0.9257091,0.91143996,1.1599288,0.9631729,0.93727064,0.96265066,1.0940108,1.1583974,0.9357526,0.95974284,0.57171714,1.167358,0.9814882,1.1012979,0.8972654,1.1701527,0.7859563,0.8184349,0.8890759,1.0384185,1.0448779,1.2128975,1.026047,1.0777466,1.2119849,1.1120367,0.77314746,0.9552633,1.1232773,0.69899863,1.3331547,1.1079781,1.1608444,1.0684417,1.1128488,0.9627996,1.1690375
egg,1.2278533,0.8584275,0.4157219,1.0703822,1.2913307,0.26754558,0.5344049,0.783392,1.1270888,1.215287,1.384647,1.0154138,1.395091,1.271675,0.99215275,1.3259938,0.928858,1.0943857,0.79436016,0.7771007,1.2684096,0.71122,1.1201642,0.8225453,0.9404829,0.9913138,0.54106337,1.232581,1.3505617,0.9729274,1.3667383,1.2029742,0.76494956,1.1009864,0.55891037,1.4048786,0.91257703,0.7263663,1.4288964,0.8178106,1.2100643,1.199184,1.3235095,0.9943488,1.1679046,1.026257,0.0,1.1427855,0.89732856,1.1370025,0.74839413,1.0864296,1.0364802,0.8940234,0.8936568,0.998763,1.004648,1.0535105,0.925616,0.86930877,1.0977149,0.7192732,1.1678588,0.79681325,1.0144653,0.8909662,1.1300792,0.9349345,1.1754274,0.8587153,1.2907445,1.0222383,1.3357866,0.7066926,1.290893,0.39862072,1.0528817,1.0302927,1.1529198,0.8185631,0.71670115,0.9524546,0.77796006,0.72685117,0.27645457,1.2822943,0.9609361,1.3104517,1.3105371,1.2081432,0.8383312,0.89963865,0.85215855,0.78753805,1.05418,1.2341388,0.93942964,0.8272996,1.0965881,0.6306126,0.66392887,1.2954943,0.8430389,0.62430567,1.3217486,0.9401215,1.1225677,1.1707608,1.2881205,1.2879881,1.1539588,0.77801657,1.0513886,1.1842495,0.900575,0.73136187,0.98687774,1.131195,0.756286,0.6960472,0.65444887,1.1834718,1.2225873,1.2646708,1.3267062,0.7190349,0.69454014,0.8316227,0.8470051,0.9474502,1.0367941,0.80097765,1.1146289,0.9847096,1.1648166,0.8036561,1.2876556
elephant,0.65119237,1.1456087,1.2801223,0.8219029,0.8958663,1.154147,1.2003338,1.1717483,1.0928824,0.9076632,0.87641054,1.2085714,0.9258631,0.85331213,0.7998438,0.9182807,1.0450971,0.82138443,1.267307,1.3022301,0.7792918,1.2840527,0.94458437,1.1900226,1.2490231,1.0077462,1.1541381,0.85784936,0.9693269,1.0507914,0.9387381,0.8962416,1.112127,1.07752,1.1506406,0.92595243,1.0145751,1.2934313,0.9766831,1.2518785,0.60972446,0.9339498,1.0349317,1.195382,0.8863466,0.8674893,1.1427855,0.0,1.0140616,0.91340744,1.1760536,1.0976856,0.71490777,1.1065278,1.1591073,1.1604527,0.72819823,0.95637345,1.2671688,1.0188491,1.0119607,1.0276909,0.9138031,0.95469683,0.92517674,1.1826863,0.6060809,1.0216718,1.0652931,1.1480412,0.84939504,1.1309777,0.9995273,1.1926616,0.90890074,1.1696436,0.9846264,0.8853821,0.8500461,1.0392371,1.2498469,1.2291558,1.1734724,1.1681231,1.1475419,1.0129935,0.9377535,0.88831353,0.9420791,0.5744861,1.2518623,1.1897278,0.9700083,1.2051462,1.1596493,0.94707,1.099564,1.1476687,0.70146316,1.0236496,0.95340437,1.0360532,1.1311231,1.2481138,0.967435,1.168057,0.8726214,1.045662,0.9076476,0.9174792,0.9946325,1.1032367,1.1249449,0.8731179,1.3080946,1.2270956,1.0746852,1.1280665,1.2432375,1.166895,1.1712508,1.0179291,0.8740314,0.95297945,0.7049297,1.2018745,1.221906,1.1942406,1.1130902,1.2094781,0.8469752,1.1162641,1.0194604,1.1171334,1.0531604,1.3161294,0.9920887
eye,1.0306727,0.98893154,1.0826017,1.0021017,1.0785707,1.0160096,1.085183,1.0764426,1.0272512,0.98265547,1.0529,1.1502904,1.0817116,1.0264416,1.0285071,1.0107647,0.9864761,1.0434545,1.0973575,1.05195,1.0247353,1.1135606,0.98639596,1.0650779,1.1304646,1.0840597,1.0036795,1.0299441,1.1715842,0.83828443,1.0284321,1.0413061,0.8597499,0.99185175,0.86607194,1.1516685,0.97362185,1.0808386,1.064652,1.0343317,0.9988769,1.0635915,1.0022476,1.068126,1.0503865,1.0745707,0.89732856,1.0140616,0.0,0.91996306,0.97350776,1.2090371,0.85700166,0.9862558,0.9368945,1.1997383,0.9985115,0.9665944,0.93239164,1.0552874,0.9612327,0.9965855,0.9606534,1.0293643,0.97701156,1.1688291,0.9928961,0.58483756,1.151542,1.0443722,1.1159161,1.0329392,1.0618871,0.71122456,1.0650063,1.039202,1.0738322,1.0383278,1.049232,0.98750097,1.0334849,1.0836921,0.914284,0.9065941,1.0628242,1.0871192,0.9741802,1.0521209,1.1454744,0.9295573,1.004962,1.0028651,0.9323139,0.94760966,1.0532216,0.9583168,0.9841343,1.058882,1.0206102,0.90196246,1.0420663,1.1531972,1.0275124,0.916714,1.0966412,1.1954339,0.9663448,1.035499,1.0786242,0.93983096,1.0376775,1.0812194,1.1019557,1.0430635,1.0914254,1.108527,1.0803387,1.131523,1.0760031,0.67133296,1.0682712,1.0636808,0.937611,0.98152244,1.0331073,0.98047894,1.0304645,1.0145817,0.89604783,1.0793382,1.063051,1.043626,1.0359832,1.041737,1.0138965,1.0366949,1.0049168
face,0.8991419,0.874344,1.1602652,0.89367986,0.7607285,1.1068527,1.1835828,1.1531229,1.2605395,0.89407754,0.83312285,1.2044953,0.93962497,0.68786085,0.9204011,0.9597646,1.1660838,1.1727859,1.2529066,1.3530631,1.009525,1.1814332,0.9183558,1.333327,1.3004981,1.1353463,1.1574423,0.97803557,1.0538152,1.1646562,0.85556453,0.888307,1.1037468,0.9796004,1.1515528,0.83704126,1.0372096,1.3367397,0.9065082,1.2828205,0.8642295,0.92023164,0.8730025,1.2422882,0.5892873,1.0252146,1.1370025,0.91340744,0.91996306,0.0,0.90031695,1.2401648,1.0103523,1.1004516,0.9544807,1.1520264,0.99819016,0.93331176,0.90145403,1.1410037,1.0467933,1.0333202,0.20877314,1.0965825,0.70219934,0.9516992,0.9411312,0.788342,1.1460383,1.2518191,0.76512665,1.1648624,0.9191897,1.1848353,0.6677782,1.0279431,1.1043558,0.81393486,0.9837955,1.0150982,1.0592437,1.3597755,1.0474516,0.9564924,1.065047,1.0047203,1.0231894,0.7263901,0.7622242,0.8540007,1.3089707,1.2390156,1.1779236,1.1760935,1.1965169,0.8755796,1.1260866,1.294385,0.9568921,0.86823225,0.99556077,0.9997461,1.2271001,1.1649945,0.8525994,1.2420342,1.002288,1.0830716,0.60062236,0.9496287,0.8551239,1.2377756,1.1778834,0.962987,1.1742711,1.2558175,1.2006667,1.0642511,1.3762071,1.226093,1.2535975,1.0691848,0.60054684,0.9336474,0.77694154,1.2318197,0.8851428,0.9899628,1.203669,1.3586891,1.1402807,1.3315501,1.0559971,1.0635904,1.0784711,1.176322,0.762594
