,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,vacuum,watch,window
corn,0.7335377,1.1727781,0.9455753,1.0372452,0.895107,0.8323326,0.8619467,1.0251604,0.8595234,1.0068178,1.1563134,0.972649,0.8808476,0.95347667,0.94432867,0.8922162,0.7421279,1.2279668,1.1132959,0.8368124,1.1619289,1.1513951,1.0458775,0.73324263,1.2128227,1.0441538,0.9728997,1.0386809,1.1238775,1.2020054,0.9816733,1.136144,0.84533083,1.0371517,0.0,1.110064,0.5545754,1.1628438,0.91638064,1.213304,0.98816776,0.99021125,1.0286288,1.1734996,1.1294224,1.0111161,1.0890884,1.0183014,0.89946985,1.0726962,1.0787832,1.0023433,1.1150805,1.1325603,0.7085245,0.9348165,1.1423398,0.9031803,0.95676804,0.80460715,1.0154699,0.95277584,0.959557,1.1644804,1.0046866,1.0215552,1.2199932,1.0975235,1.2537109,0.99233496,1.1979144,0.956854,1.1798588,0.9997693,0.77475846,1.0085595,1.0564507,1.1484687,1.263792,1.1402242,1.1031116,1.0743952,0.9954972,1.0697026,1.1272213,0.81655884,1.2397908,1.1731781,1.0520064,0.7850617,1.2022898,1.0638939,1.0810553,1.0073695,0.9462361,1.0940357,1.0557096,0.96979386,1.0386014,1.1145685,0.8775376,0.8880578,0.79252017,1.0240089,0.8784981,1.0949299,1.2075313,1.085222,1.2036245,0.751047,1.2520659,0.9053107,1.1886183,0.84802616,0.9134102,1.1507759,1.0510266,1.0885404,1.0840521,1.129024,0.97889894,0.81647307,1.0994589,1.141439,1.1437165,0.8487761,1.2609475,0.72117376,0.7682223,1.0964197,0.9971281,0.9222941,1.2324969,1.0482875
couch,0.84050107,1.462254,0.84382915,1.3882402,1.2250457,1.2527183,0.72495425,0.54576224,0.98580706,0.18033803,1.0688658,0.40307105,0.59156644,1.0381294,0.2781042,0.7635904,1.0168731,1.3385696,1.3142289,0.67622995,1.2820967,0.85909873,1.0066243,1.0920417,0.9415632,0.8768048,1.1349638,0.74216676,0.3962655,1.3350186,0.52810574,1.2065667,0.8690258,1.2805755,1.110064,0.0,1.0509781,1.4736044,0.28466046,1.3172858,1.2520027,0.73634446,1.093552,0.6514846,0.9359415,0.75229025,1.3482685,0.92978,0.9464238,1.2186383,1.4536564,1.0542302,1.1521026,1.340106,1.2130306,0.90943533,1.1983838,1.0061741,0.92838514,1.3636584,0.97899103,1.0262775,1.0548334,1.2593813,0.8292533,0.705729,1.2638595,0.74191123,1.2657304,0.58784723,1.3439877,0.98811823,1.3406055,1.0717323,0.7415688,0.94161814,1.2328169,1.4017844,1.1464367,1.3662976,1.4608073,0.7184429,1.0109584,0.6422173,0.74259496,0.7822393,1.3494879,1.3997599,1.0923722,1.2142584,0.6203005,1.1816881,1.1764328,1.3161585,1.0993824,1.3953488,0.8614954,0.92796946,1.3991683,0.6193279,1.0396382,0.6424602,0.89347357,0.7276194,0.8080825,0.753037,1.1832935,0.52048206,1.1343157,0.81421506,1.3800219,0.91414106,1.3350282,0.88638186,1.0063351,1.3463392,1.231353,1.0604186,1.3321328,0.83749485,0.7029424,0.546928,1.3344398,1.2850924,1.2361488,0.8874418,0.9790654,0.9962029,0.96690595,0.96718866,0.9343894,0.7403878,1.380255,0.63417196
cracker,0.7227173,1.2101845,0.8546074,1.0731134,1.165121,0.6872112,1.0353787,1.057995,0.8653223,0.9992255,1.219282,0.982538,0.6867547,0.7292901,0.8601564,0.9037838,0.9304844,1.3921922,1.2892561,0.919755,0.7647095,0.9475207,1.2532923,0.7666484,1.3622669,1.1427802,0.8892792,0.7986549,1.2288134,1.3677413,1.0458754,1.3341705,0.74722517,0.76291627,0.5545754,1.0509781,0.0,1.2683173,0.97672725,1.430318,1.1026089,0.76452017,0.9602202,1.1983637,1.1831756,0.9142828,1.0827627,0.9390765,0.84621584,0.9820104,0.9939733,0.93504655,1.0068345,1.2949715,0.7056024,0.9707604,1.1429291,0.6931919,1.0937271,0.83164525,1.0253307,0.5654601,0.8308773,1.262655,1.0131227,0.92851216,1.2933751,0.9767468,1.2252935,1.0700264,1.3432033,0.6344533,1.0425826,1.0176091,0.59063476,1.1010649,0.6722107,1.2988474,1.3249071,1.1677034,1.1842176,1.091059,0.9048512,0.927289,1.0514078,0.8849771,1.3435035,1.222856,1.098422,0.7400079,1.0650393,0.80687404,1.0496044,1.0274552,0.68911386,0.94932055,1.0850685,1.037137,1.0014538,1.1638378,0.71850955,0.8114017,0.92248887,0.99330735,0.75485134,0.9817007,1.3199984,1.1334733,1.3955077,0.96644306,1.3516113,0.9170806,1.2876716,0.82759154,0.70684296,1.3134465,1.1593381,1.0920298,1.0677849,1.1505915,0.93762606,0.9582436,1.3051288,1.1004527,1.3325533,0.74644953,1.260466,0.9916486,0.82985073,1.1830152,1.069317,1.0665363,1.3507333,1.140804
crayon,1.4776487,0.27987504,1.3584461,0.65414035,0.77330863,0.89136654,1.1762316,1.4448191,1.1971676,1.5343018,0.55997825,1.4802809,1.5860615,1.225254,1.506895,1.3701946,0.9822423,0.25202894,0.44671524,1.4257841,0.6267275,1.0306966,0.8751819,1.1693132,0.74369514,1.0969915,0.80775464,1.4209338,1.2703097,0.2868529,1.4905845,0.49871802,1.2777302,0.97390914,1.1628438,1.4736044,1.2683173,0.0,1.624985,0.25343978,0.7220835,1.4275568,0.95147276,1.1860839,0.90129197,1.4651899,0.6619984,1.2014127,1.3324808,0.794996,0.411727,0.93422097,0.7539166,0.37872136,1.1237714,1.2525964,0.79200906,1.1891661,1.1660504,0.6837551,1.2339633,1.2770958,1.1706734,0.5934004,1.2014432,1.2879115,0.5585419,1.3718659,0.42950022,1.3279989,0.36735833,1.2894942,0.53569084,0.98273057,1.552818,1.2001822,1.0238385,0.23453331,0.44571847,0.42337012,0.3105731,1.2040309,1.1513594,1.499022,1.3047906,1.3593415,0.18958986,0.17514408,0.86888015,0.993676,0.8926587,0.90571296,0.77398413,0.68181366,1.1122115,0.55589694,1.1270261,0.99880207,0.66384065,1.3394032,1.2472112,1.449055,1.2543855,1.4620821,1.4023263,1.3478498,0.48757172,1.4023695,0.4861499,1.3711066,0.1921075,1.1392093,0.24842322,1.3701456,1.3378811,0.41481102,0.6689525,0.7962298,0.51055855,1.2217355,1.4649265,1.5982981,0.31851518,0.5924268,0.42528743,1.2662424,0.62117565,1.1097772,1.3022416,1.0902531,1.2027338,1.2466259,0.29613584,1.3852589
crib,0.6040807,1.6156056,0.74919045,1.5211526,1.3014838,1.2254744,0.63106376,0.4313556,0.86707705,0.22432101,1.2900739,0.35473514,0.50745016,0.94470936,0.36107612,0.58197606,0.83392406,1.4914845,1.3953135,0.3304994,1.5355167,0.97611,0.9528083,1.0126622,1.0519193,0.8059452,1.1714356,0.7198179,0.43988943,1.480844,0.2491551,1.3165498,0.7268401,1.3689454,0.91638064,0.28466046,0.97672725,1.624985,0.0,1.495527,1.2093829,0.72274995,1.1695585,0.66733396,1.0450683,0.7049912,1.5033488,0.88841033,0.8939389,1.4000851,1.6106548,1.0182658,1.3852472,1.4226539,1.0156844,0.69647443,1.3299735,1.0725213,0.9173932,1.3267882,1.0029522,0.9441372,1.1002887,1.4710939,0.7758012,0.7489486,1.3632464,0.76843035,1.3939077,0.3985442,1.503349,1.0025991,1.5155754,0.98531514,0.68855834,0.8484426,1.306375,1.5533729,1.4285202,1.6105143,1.6243986,0.6652671,0.87330306,0.6617509,0.82460475,0.5527188,1.477299,1.5790551,1.1872263,1.202695,0.9977489,1.1783125,1.2160218,1.3078327,1.1480631,1.5716485,0.8394457,0.9151001,1.4516528,0.5363567,0.8939632,0.5816342,0.68134975,0.69622356,0.6528882,0.86219573,1.3216099,0.48567384,1.2735778,0.49940026,1.6345611,0.8380319,1.471736,0.79993194,0.94912535,1.4653862,1.2202406,1.1711223,1.4301763,0.76389396,0.58673185,0.24871182,1.4375829,1.5136967,1.3629847,0.7029989,1.28211,0.7963754,0.7527268,0.86693525,0.8455274,0.63523495,1.5689174,0.5514056
cup,1.4386739,0.32827032,1.4344443,0.66342854,0.7129564,1.0204208,1.0288656,1.3748007,1.257042,1.4291394,0.5765343,1.428956,1.5812396,1.3370605,1.4592781,1.4159025,1.0760556,0.07765055,0.34637892,1.364278,0.78915197,1.0891668,0.76041687,1.3221526,0.51740086,1.0889372,0.93701464,1.3695527,1.0769428,0.2547052,1.402189,0.4050988,1.2831478,0.94476944,1.213304,1.3172858,1.430318,0.25343978,1.495527,0.0,0.6721062,1.371225,0.9859896,1.0578226,0.88853866,1.4671628,0.7111423,1.2376882,1.3499513,1.03027,0.5975678,0.913945,0.95082426,0.40315264,1.264581,1.1832647,0.9095524,1.268758,1.1304498,0.95345926,1.2352003,1.4073863,1.3220136,0.59190595,1.257057,1.3392872,0.32787353,1.2952571,0.5107451,1.2959088,0.33529234,1.2731711,0.62170124,0.88686776,1.5757005,1.1152115,1.0330062,0.32592094,0.3137771,0.6262577,0.3686036,1.0635675,1.1655586,1.4016088,1.2283231,1.3641465,0.31391847,0.39557886,0.8236319,1.0638338,0.85479903,0.9809338,0.6769904,0.7227379,1.1480672,0.63831556,0.9634203,0.9740607,0.7998977,1.141427,1.2438836,1.4230583,1.3876822,1.3913916,1.4755986,1.3530548,0.3970524,1.2540724,0.41164374,1.3490393,0.27816832,1.1808461,0.20752728,1.310859,1.2396168,0.40651822,0.7104899,0.9224627,0.68933225,1.0641196,1.4060057,1.546339,0.28251505,0.77240074,0.39043057,1.4423004,0.48465097,1.0785557,1.3333784,1.0063459,1.1526328,1.2132424,0.3887514,1.2208078
dish,1.1597533,0.618427,1.2710557,0.7107258,0.75483704,0.94237185,1.0472538,1.0874748,1.035839,1.170192,0.7985417,1.1753993,1.2916136,1.0315032,1.2118933,1.0691074,0.9697106,0.66275793,0.4245491,1.2004409,0.87184024,1.1642764,0.9290405,1.1753706,0.9793085,0.92065614,1.09199,1.2643728,1.1365553,0.7025101,1.2030778,0.92185026,1.2238142,0.85683626,0.98816776,1.2520027,1.1026089,0.7220835,1.2093829,0.6721062,0.0,1.1499622,1.1218516,1.153702,0.86843014,1.3218014,0.86956,1.1793339,1.1207752,1.1306227,0.810078,0.7784562,1.2030019,0.7152548,0.9908665,0.9266106,1.0983763,1.2055037,1.0412006,0.8758899,1.2799234,1.074779,1.1960803,1.0269374,1.0511003,1.3148532,0.62486494,1.3986719,0.8176707,1.2414839,0.67953604,0.99332887,0.757987,0.8928179,1.2480415,0.9982337,0.93349504,0.75672174,0.8559624,1.0301002,0.6814501,0.98853266,0.9786586,1.3852913,1.393488,1.1431882,0.68490374,0.75192785,0.9236919,0.8280728,0.9457143,0.87473047,0.77557653,0.48439914,1.0491837,0.82801557,1.0863246,0.8265642,0.7198373,1.1204102,1.0299134,1.3684468,1.0489063,1.3038349,1.1462294,1.3664447,0.8232202,1.1852238,0.7519562,1.1136311,0.78531003,0.93677235,0.61400163,1.147779,0.9733756,0.7485371,0.98452336,1.1690358,0.80629545,1.1605873,1.2135624,1.2047174,0.66352963,1.050113,0.9091075,1.1791694,0.9282634,0.9454402,0.8981782,1.0390575,1.0656993,1.1585472,0.84251904,1.1593336
dog,0.70514023,1.3119538,0.9241577,1.167563,1.241198,1.0346369,1.0299196,0.87435603,0.8070533,0.67335975,1.1890976,0.82488847,0.643716,0.7799033,0.6485054,0.63357264,1.0479845,1.3492177,1.3131924,0.8829512,1.0457902,0.97572374,1.2320096,0.8311775,1.2732811,0.8897336,1.1597608,0.24058163,0.87923807,1.3530097,0.8605111,1.2488279,0.9281845,1.0624291,0.99021125,0.73634446,0.76452017,1.4275568,0.72274995,1.371225,1.1499622,0.0,0.81596476,1.0589219,1.1739737,0.78219074,1.1552082,0.8948219,0.94073147,1.2152624,1.1961489,0.96783584,1.1468681,1.3031938,0.80837697,0.8437425,1.2066414,0.76450324,0.9111886,1.2140791,0.9760408,0.7150967,1.0214388,1.1311017,0.73830277,0.7607267,1.2241416,0.8948733,1.2114086,0.90249294,1.3176638,1.0161939,1.2197473,1.0392072,0.653401,0.97077787,0.9585331,1.3341894,1.3626391,1.3621725,1.3380945,1.0309123,0.8281567,0.84317195,0.9191771,0.9111654,1.3008335,1.376888,0.9618474,0.98678315,0.99243623,1.08971,1.0426567,1.2556763,0.952544,1.1886708,1.0272858,0.9516174,1.1114911,1.0019689,0.63855076,0.8177897,0.83882,0.8538029,0.76433694,0.8566792,1.2895933,0.8840302,1.2997427,0.8625145,1.3251739,0.9185824,1.3130748,0.88266945,0.9102574,1.3036561,1.2663012,1.2137752,1.2212741,0.93663704,0.8034097,0.6915472,1.3161466,1.2600768,1.2429637,0.94364434,1.2369831,0.874578,0.92385405,1.0057422,0.9969752,0.85214394,1.346515,0.9074638
doll,0.95914626,0.97097033,1.1151485,0.71172863,0.960286,0.7836273,0.9516657,1.4631956,1.2533252,1.137415,1.1136222,1.3330767,0.91351736,1.1394497,1.0397426,1.1783231,0.78557384,1.0264883,1.0027025,1.0822333,0.8588154,1.2465247,0.7461671,0.80752337,0.9230321,1.040546,0.9224777,1.0491729,1.0666003,1.0234892,1.2330252,1.1453525,1.2365354,0.8732733,1.0286288,1.093552,0.9602202,0.95147276,1.1695585,0.9859896,1.1218516,0.81596476,0.0,1.1985373,1.1215491,1.0147293,0.64931685,1.2173367,1.071244,0.81057715,0.8489058,0.6863611,0.77737105,1.0729176,0.5800278,1.1458548,0.807801,0.55177194,1.266066,0.6539343,0.9745371,0.827104,0.7809899,0.57017595,1.1425127,0.98296463,1.0332794,1.1394101,1.030108,1.037091,1.0433108,0.92789495,0.93963397,0.9493915,0.8252121,0.90918535,0.7576189,0.96844757,0.9956738,0.7951019,0.9164943,1.2751241,1.2041245,1.1456692,1.1292291,1.0726614,1.128654,1.0490775,1.136437,0.8145194,0.7201573,0.8498951,0.72724605,0.99497133,0.78828406,0.8213943,0.8706733,0.9766092,0.86091626,1.2941208,0.8641881,0.994583,1.2596025,1.1281357,0.98854864,0.9993828,0.7876887,1.3171661,1.2796053,1.1905533,0.88698685,1.3630509,1.1227027,1.0186803,1.0695612,1.0743339,0.96414053,0.94383,0.89004815,0.76137733,1.1482477,1.16893,0.9141185,0.7773535,1.1239269,1.0564439,0.97707367,0.5984233,0.8081149,1.1851447,0.94254553,1.2037045,0.8560637,1.1914604
door,1.0112355,1.3250521,0.9004052,1.3063661,1.1502773,1.2522132,0.95112026,0.4747861,1.0185219,0.7135658,0.99571913,0.68415785,1.0852547,0.9535694,0.88934976,1.0109843,1.1192143,1.0705489,1.1997418,0.88631094,1.2437758,0.719827,1.0811212,1.1709563,0.76130235,1.0700308,1.0739434,0.88720524,0.5964484,1.0310442,0.399374,1.0318524,0.89454484,1.0963303,1.1734996,0.6514846,1.1983637,1.1860839,0.66733396,1.0578226,1.153702,1.0589219,1.1985373,0.0,0.7192925,0.9426969,1.3064569,1.0425448,1.0679882,1.1696296,1.259265,1.0967901,1.1563882,0.94125116,1.2292743,1.011332,1.0943756,1.2950059,0.7733556,1.3591583,0.9828928,1.1937097,1.092992,1.182336,0.8902495,0.93779,1.0780437,0.8227912,0.9070477,0.41225433,0.97114396,1.1243593,1.3339412,1.0405959,1.1537958,0.9350204,1.1866299,1.234947,0.8920729,1.2024325,1.3285354,0.57709146,1.025676,0.8391111,0.8454989,0.986402,1.0223253,1.092155,1.0732691,1.1479132,0.94687235,1.0757668,1.0456156,1.1992798,1.261088,1.3766367,0.9297332,1.0756812,1.2246015,0.26729727,1.0619915,0.9202607,0.9607601,0.90646106,1.2236001,0.98096836,1.0203961,0.26544583,0.8853788,0.9532296,1.223456,0.92724943,1.1549106,1.0842928,1.0570394,0.9933501,0.98557335,0.9337137,1.3289912,0.831852,0.9202523,0.8399381,1.229206,1.2188075,1.097799,0.96605206,0.85528195,1.1932409,1.1556239,0.70671755,0.9160998,0.729609,1.1732854,0.5719489
drawer,1.2812568,1.0156105,1.055858,0.9170716,0.87205803,1.2625949,0.8808786,0.8307309,1.210631,1.0879108,0.83065426,0.8205807,1.2110312,1.0205944,1.152842,0.94605714,0.9367952,0.98244417,0.772789,1.0132357,0.917427,0.80032647,0.84578514,1.0212,0.65266216,0.98970294,1.1448455,1.1888912,0.8347783,0.8873254,1.0570017,0.81311274,1.1645806,0.8694187,1.1294224,0.9359415,1.1831756,0.90129197,1.0450683,0.88853866,0.86843014,1.1739737,1.1215491,0.7192925,0.0,1.1930718,0.94840044,1.2178493,1.168579,0.9910449,0.9440758,1.188177,0.9945966,0.729421,1.263443,1.111492,1.0637969,1.1660023,1.0509373,1.0488808,1.2153544,1.2323518,1.0648258,1.0361071,0.84248924,1.1060151,0.8647208,1.1003733,0.56578964,0.95734936,0.810846,1.0865273,1.0289809,1.0212667,1.2795951,1.0423999,1.0016578,1.0386219,0.70510256,0.9591157,0.98790884,0.65834093,1.1389284,1.139468,1.0734035,1.0857906,0.8159714,0.75026655,0.79711545,1.0671607,0.81507903,0.93193173,1.0110493,0.8088135,1.1024286,1.0709515,0.8712326,0.7782286,0.9341477,0.79956836,1.165682,1.1739016,0.99551755,1.2035508,1.1735846,1.0805796,0.7517468,0.97689867,0.672518,1.2254636,0.8273053,1.079606,0.99764454,1.226522,1.126349,0.70425963,0.99745315,0.72058445,1.0701349,1.0422919,1.134948,1.1680346,0.91534394,1.0190966,0.95617354,1.1308498,0.75589114,1.0786198,1.0050473,0.9630207,1.0378923,0.8938272,0.90525436,1.0436107
dress,0.8366645,1.398662,0.420102,1.3756325,1.3089994,1.1422944,1.0845921,0.74478674,0.9330472,0.7177129,1.1359465,0.7053022,0.51901865,0.8602866,0.75093997,0.8355047,1.1592336,1.4355011,1.4743978,0.85305697,1.288395,0.8872388,1.2073588,0.8013754,1.1695671,1.0390474,0.98014206,0.7299444,0.9249809,1.437393,0.73951006,1.3097693,0.7402328,1.3171647,1.0111161,0.75229025,0.9142828,1.4651899,0.7049912,1.4671628,1.3218014,0.78219074,1.0147293,0.9426969,1.1930718,0.0,1.2771959,0.73487604,0.7908194,0.85713196,1.2902254,1.1836163,0.9121855,1.3849118,1.094519,0.9591594,1.0299126,0.7313781,0.93945134,1.2172636,0.65465236,0.9293588,0.6216753,1.1036994,0.99594074,0.7563454,1.3806334,0.5141365,1.340708,0.83144957,1.42328,0.79228973,1.235209,1.2156409,0.62709713,1.0459988,1.1494641,1.343344,1.3112861,1.0659795,1.4155174,0.84899217,0.8890299,0.4551158,0.5500889,0.7665356,1.4494834,1.4240125,1.1184721,1.2107933,1.1892898,1.2403156,1.3838496,1.397358,1.0517606,1.2786828,1.0811976,1.1710596,1.3264127,0.7791923,1.0257831,0.5993042,0.84485376,0.33165765,0.7517712,0.29578805,1.4133179,0.756791,1.2926136,0.8013933,1.3845954,1.0628726,1.3936026,0.74394107,0.9192176,1.3508434,1.2100766,1.0012139,1.1653374,0.96767545,0.40355217,0.6329622,1.4413083,1.02737,1.2263396,0.6879062,1.2211665,1.2322844,0.98300934,1.0277244,1.0168523,0.9020225,1.2371745,0.7362264
egg,1.3293074,0.482539,1.2537966,0.12537241,0.64876527,0.85479057,1.1705925,1.4649181,1.1943079,1.4002386,0.95120126,1.4905231,1.2217761,1.2513826,1.3321854,1.3313379,0.97272074,0.70592046,0.74937963,1.309123,0.62654704,1.1816318,0.84189755,0.93197834,0.94837844,1.083049,1.0037678,1.2477652,1.2992442,0.675009,1.435983,0.8613014,1.2805989,0.564157,1.0890884,1.3482685,1.0827627,0.6619984,1.5033488,0.7111423,0.86956,1.1552082,0.64931685,1.3064569,0.94840044,1.2771959,0.0,1.1821377,0.9706016,0.65672886,0.63564056,0.97163105,0.65765154,0.8569633,0.8976343,1.2528833,0.7202866,0.92220896,1.2228343,0.64276713,0.9969269,0.93004733,0.9154509,0.52594817,1.2541509,1.284208,0.84083176,1.3186158,0.86740637,1.3848604,0.6238785,1.1154218,0.59698534,0.93476975,1.1701548,1.106472,0.7692667,0.5101634,0.8178239,0.58183885,0.4745412,1.3246086,1.1400456,1.3030324,1.2168274,1.2153919,0.849593,0.8078544,0.93888974,0.85925525,0.88584375,0.93347484,0.8354503,0.7598764,0.52703965,0.46670967,1.1150503,1.0303209,0.6112613,1.4394159,1.1328607,1.3772074,1.286846,1.262827,1.2359179,1.1085175,0.7935044,1.4009424,1.0126845,1.3095127,0.5969413,1.1683915,0.80149174,1.1800493,1.0932982,0.88918674,0.75664353,0.9680433,0.6191111,1.1641527,1.3472981,1.3804138,0.6034472,0.53151155,0.8547772,1.3488331,0.9785647,0.8960786,1.0364748,1.2855426,1.1057453,1.3066933,0.60984194,1.3451703
elephant,0.88916516,1.205457,0.8482307,1.2226578,1.083344,1.1129864,0.99545807,0.69457483,0.5178189,0.7790308,0.8982761,0.77644527,0.83283204,0.95075727,0.7593891,0.92991495,1.2614013,1.2224032,1.2915418,1.0342079,1.0805684,1.0816003,1.2183788,0.9261656,1.2105088,1.0992457,1.0601401,0.63797057,1.099979,1.257796,0.95218015,1.1576478,0.90186524,1.2035501,1.0183014,0.92978,0.9390765,1.2014127,0.88841033,1.2376882,1.1793339,0.8948219,1.2173367,1.0425448,1.2178493,0.73487604,1.1821377,0.0,0.97821045,1.0643874,1.024212,1.1044207,0.9996187,1.2105943,1.0521376,0.9296813,1.1247792,0.8955393,0.64831674,1.1216606,0.9484968,0.9716726,1.0103415,1.1978168,1.004071,0.5703573,1.2498175,0.5583325,1.2806238,1.0227996,1.2382886,0.94298023,1.0989695,1.2463266,0.8189607,1.1685898,1.0825479,1.135006,1.0877582,1.0250514,1.1590881,0.9769091,0.5593719,0.5851878,0.5828167,0.95385206,1.1756889,1.1973118,0.9359064,1.0998526,1.0510025,1.1993304,1.3106399,1.2780426,1.1228592,1.0911314,1.1681987,1.1635796,1.1544313,0.9174122,0.96447194,0.75744945,0.959073,0.7956841,0.8528057,0.7131989,1.2480954,0.8364666,1.0513343,0.7807139,1.1807886,0.62128174,1.1937498,0.83413523,1.028345,1.1874306,1.0659026,1.0359622,1.0862199,1.1545494,0.73882896,0.8610459,1.2404281,1.124387,1.1028019,0.8759518,0.96088374,1.2689373,1.1818142,0.9023701,1.1701126,1.0604018,1.1496679,0.96923417
face,0.8555957,1.177306,0.8001438,0.9945575,1.1417003,1.0308901,1.186086,0.94492114,0.9582848,0.90234995,1.2284727,0.9270217,0.7569294,0.9457416,0.8959435,0.87408805,1.0459437,1.3076162,1.2936983,0.90233815,1.0736037,1.0243136,1.2419271,0.83838415,1.316632,0.945723,0.9840494,0.9374227,1.1116537,1.1867139,0.8215984,1.208847,0.8341324,0.90086854,0.89946985,0.9464238,0.84621584,1.3324808,0.8939389,1.3499513,1.1207752,0.94073147,1.071244,1.0679882,1.168579,0.7908194,0.9706016,0.97821045,0.0,0.8617535,1.174097,1.1696417,0.99631053,1.3162687,0.891576,1.0146084,0.67058975,0.96480787,1.0302984,1.091835,0.3391224,0.81373215,0.79611593,0.9208048,1.0688856,1.042042,1.2737328,0.88609153,1.3575127,1.0118289,1.1638638,0.90376145,1.0824617,1.0006951,0.7970898,1.0429112,0.84548545,1.1246703,1.361997,1.1367915,1.1836785,1.0578338,0.98165375,0.8347644,0.89475054,0.8777719,1.313617,1.309948,1.1495951,1.0692643,1.1688315,0.999979,1.2278516,1.1007988,0.951341,1.0396996,1.0746634,1.0769682,1.0475537,1.0269837,0.94492966,0.96913046,0.88480914,0.6756029,0.7979204,0.83711463,1.329489,0.8696489,1.2443236,0.92025995,1.2508872,0.9967602,1.2916936,0.95496356,0.815526,1.3042407,1.0389825,1.2223929,1.099054,1.0923189,0.8271173,0.84474087,1.1969718,0.91971695,1.1679293,0.9097054,1.3464875,1.042945,0.8906575,1.099972,1.0156087,0.946163,1.2072952,0.9371008
finger,1.2937295,0.8227541,0.7916595,0.76168895,0.99998605,0.9670101,1.2509437,1.2888057,1.1796427,1.2830931,0.9821916,1.2826374,1.0334879,1.0209937,1.2346797,1.262383,1.1484994,1.0433398,1.1101023,1.3189809,0.711119,0.94265234,0.9930509,0.9264058,1.0240577,1.1890011,0.84918594,1.2169285,1.2660563,0.92852247,1.3136703,1.0221813,1.0872009,0.93741477,1.0726962,1.2186383,0.9820104,0.794996,1.4000851,1.03027,1.1306227,1.2152624,0.81057715,1.1696296,0.9910449,0.85713196,0.65672886,1.0643874,0.8617535,0.0,0.76083165,1.124477,0.22261155,1.0400299,1.1089123,1.2981524,0.48596203,0.673182,1.1158026,0.70943063,0.6688383,0.947863,0.2552626,0.5648284,1.2612774,1.1241084,1.126748,1.0482929,0.9044051,1.2213542,0.9068945,0.9153447,0.79131544,1.1237777,0.97334087,1.1752665,0.87559295,0.74242675,0.91435724,0.34888625,0.7950157,1.1615256,1.1662499,1.0420018,1.002214,1.1820141,1.0109898,0.8222253,0.96179354,1.0059752,0.96423864,1.0466007,1.0763953,1.0734811,0.8211504,0.73849237,1.1589878,1.174805,0.84045744,1.2800715,1.2582626,1.1092782,1.2179191,0.9706218,0.9614671,0.76287735,0.9907956,1.2231035,1.12805,1.2624077,0.6946125,1.1117845,1.0476567,1.0404979,1.0054345,1.0438243,0.80080974,0.78654784,0.7215807,1.1793227,1.1196465,1.3275166,1.0330678,0.10182285,0.95008814,0.99940586,1.0064933,1.2320344,1.1825626,1.2551974,1.1241484,1.2487886,0.564241,1.2303206
fish,1.2260753,0.54266137,1.262265,0.62202775,0.6101794,0.7256429,1.2627454,1.3991195,1.1304119,1.5511484,0.59778666,1.4441942,1.3753734,0.9758986,1.4572029,1.3961267,1.0570834,0.63693047,0.6582026,1.3920317,0.5711818,0.89268476,1.0132501,0.9083703,0.933827,1.2691221,0.68709147,1.1454203,1.3906535,0.6933713,1.5061877,0.7915619,1.1520606,0.7833861,1.0787832,1.4536564,0.9939733,0.411727,1.6106548,0.5975678,0.810078,1.1961489,0.8489058,1.259265,0.9440758,1.2902254,0.63564056,1.024212,1.174097,0.76083165,0.0,0.90014285,0.7698897,0.7099719,0.7977886,1.2141614,0.84830904,0.9264392,1.140364,0.5545494,1.131668,1.1148533,0.98383486,0.7404187,1.2057498,1.1896739,0.80935043,1.1686482,0.69706833,1.3379936,0.63074714,1.0875103,0.51446724,1.1224681,1.2333949,1.2831063,0.74386096,0.5824429,0.63570225,0.5644728,0.48829067,1.1687398,1.0894308,1.2967784,1.138552,1.2796149,0.6271521,0.4330371,0.67038757,0.86128485,0.9431623,0.9889384,0.8824469,0.76265144,0.92373306,0.50565577,1.148781,1.2237177,0.62174517,1.3503377,1.0567164,1.3757993,1.2969588,1.3651772,1.2148923,1.1951662,0.59783924,1.4196993,0.5668905,1.2828376,0.49735606,1.210922,0.6064061,1.1768119,1.0903982,0.6509691,0.82838124,0.8265439,0.51242846,1.268986,1.3592461,1.5381153,0.65940934,0.67166716,0.7385442,1.0264165,0.7142723,1.1385453,1.1706305,1.117368,1.2634635,1.4249952,0.7106872,1.3922033
