,alligator,ankle,apple,arm,ball,balloon,banana,basket,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,mitten,nail,napkin,necklace,nose,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,scarf,scissors,shirt,shoe,shorts,sink,slide,slipper,sock,spoon,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,truck,vacuum,watch,window
bench,0.77348125,1.2396984,1.1955183,0.8938258,1.3248855,1.219803,1.1475945,1.2959895,0.8326526,1.1201893,0.0,0.9710034,0.7314188,0.7627728,1.1485727,1.2158399,1.1957536,1.134643,0.6374444,0.8529421,1.1914151,1.2214458,0.8596891,1.1293201,0.907755,0.8832528,0.86662567,1.2270485,0.9260781,0.699878,1.0290161,0.8961519,1.2572895,1.2042607,0.9906334,1.1217846,1.0707754,1.108165,0.57309514,1.0630013,0.98186857,1.048774,1.1317759,0.966568,1.2928227,1.2851737,1.2207989,1.1624445,1.07261,1.1931732,1.0181652,1.2444402,0.97235197,1.0354091,1.1694275,0.58267975,0.97104096,0.9482174,0.5206934,0.4967484,0.845755,1.0124555,1.0488374,1.2019914,0.7403374,1.1916037,1.2545588,0.94048935,1.2473161,0.8105148,0.7196476,0.94764954,1.0595589,0.95126224,0.9120869,1.1806865,1.2322676,0.71450126,1.0217495,1.162576,0.87174964,0.7910577,0.8449496,1.23171,0.84984595,0.96741664,0.66976184,0.59246135,0.7811956,1.3423231,1.0950048,0.99483967,0.9939962,0.85487294,0.7754187,1.338919,1.3564112,1.1166083,0.9050053,1.4570396,0.96640533,0.8384583,0.7087946,1.2313384,0.7337905
bib,0.55999875,1.2367064,1.1485281,0.5126392,1.2376463,1.2338269,1.3602499,1.2539399,0.40075862,1.4166584,0.9710034,0.0,0.7789439,0.39789748,0.5866593,1.423327,1.415997,0.84975415,0.828597,1.2161726,1.3343271,1.0917994,1.5014073,1.3092313,0.98157054,0.9830719,1.3192579,1.2845647,1.061881,0.8284897,0.81281996,0.53637123,1.239662,1.4688789,0.7816067,1.3715799,0.84970427,0.70088387,1.0913837,1.3523045,0.771163,1.113349,1.0017192,1.3047011,1.3015687,1.1497887,1.2089658,1.1164305,0.8465109,1.2669213,0.9579779,0.91208994,0.84026396,0.6273223,1.3632041,1.0015186,0.7512313,0.9930899,0.73465526,1.0928178,1.2925264,1.4216547,0.858735,1.3964782,0.6869946,1.1958462,1.3036102,1.173129,0.9551781,0.50829077,0.64772075,0.3496729,1.2859333,1.3048,0.9265001,1.3974916,1.3679651,1.028592,1.357096,0.91880953,1.2603567,1.0059906,0.772409,1.3431666,0.5993149,0.77368623,0.6498128,1.0051835,0.6386159,1.3979921,0.97227114,1.3584011,0.914616,0.6178147,0.42829847,1.3037784,1.2417666,0.7765918,0.97511727,1.0549507,0.58691394,1.1033643,1.1286786,1.4498454,0.7875129
bird,0.81118584,1.1772356,1.1015487,0.91912305,1.1702523,1.2069046,1.0558908,1.2677029,0.7147808,1.1064162,0.7314188,0.7789439,0.0,0.7261106,1.0688863,1.2350576,1.2225688,1.2125273,0.69215035,1.0480833,1.3064467,1.2002984,1.2421283,1.1622257,0.9113691,0.963198,1.2529612,1.2099152,1.1451228,0.69378114,0.90254104,0.744773,1.1615177,1.252977,1.062598,1.2200797,1.0662491,1.0774308,1.0159751,1.2854333,0.85221523,1.073293,1.0695006,1.0773827,1.1163723,1.2110348,1.1954678,1.1751001,0.7868459,1.1547354,0.9856361,1.0984546,0.8934214,1.0168067,1.1719956,0.9862216,0.8506386,0.96671236,0.5742536,0.90982455,1.1319532,1.3094947,0.98222584,1.1010689,0.89028895,1.146092,1.1436523,0.9209138,1.1102872,0.56978434,0.66432595,0.8365823,1.2165934,1.1384788,0.85879743,1.2125531,1.2227886,0.98907894,0.98435694,1.1644455,0.99269295,1.137054,0.7028942,1.25418,0.56880355,0.90740556,0.74705637,1.1219553,0.8643393,1.2200527,1.1090752,1.1538153,1.0532361,0.63978875,0.8461577,1.2330955,1.2110935,1.1344708,0.97670174,1.2696086,0.92403686,1.0059325,1.0939771,1.1743491,0.86884844
blanket,0.5038072,1.2837989,1.1962098,0.61786306,1.2871815,1.2372875,1.3593833,1.276087,0.17273962,1.419724,0.7627728,0.39789748,0.7261106,0.0,0.91563565,1.4333096,1.3919694,1.0855399,0.4688714,1.1555606,1.3301075,1.2271734,1.4031065,1.3993132,1.0027591,0.8982131,1.2277985,1.3414384,0.9525897,0.7288395,0.93387884,0.4710405,1.2406719,1.490216,0.8834036,1.334535,0.84702855,0.65048635,0.9612493,1.3118201,0.5630988,1.1306452,1.132809,1.334474,1.2874738,1.2021633,1.1803744,1.2240386,0.9875894,1.3166866,0.92710936,1.0652986,0.9426957,0.8756503,1.3948288,0.86538917,0.6249864,1.0143356,0.5494986,1.0373284,1.2675906,1.3824134,0.87806,1.3988013,0.40255725,1.2168142,1.2504923,1.0833874,1.1402123,0.4363777,0.60270625,0.6381677,1.3378034,1.302206,0.6886678,1.3047568,1.3314636,0.8739591,1.3795793,1.0460843,1.3227441,0.9538742,0.6793217,1.4323843,0.6062397,0.7395194,0.5771316,0.9502665,0.61632335,1.4323622,0.91375715,1.3526661,0.9824025,0.5449887,0.50986,1.3150656,1.288758,1.0614723,0.7782844,1.3007998,0.7738993,1.0298432,0.99698246,1.4502262,0.8273864
book,0.8619386,1.2268312,0.9846171,1.0108428,1.0579517,0.98253906,1.0034014,0.89126873,0.885368,1.1768383,1.1485727,0.5866593,1.0688863,0.91563565,0.0,1.1522313,1.1467918,0.4883265,1.1869259,1.0726675,0.9939648,0.8491984,1.3011057,0.8086751,1.0306644,1.1937026,1.0958474,1.2149254,1.0720148,1.1859572,0.73075545,0.9274913,1.092864,1.0307871,0.7074278,1.0858786,1.0584319,0.9654962,1.1516551,0.8265119,1.0555413,1.1536254,1.1124995,0.96790594,1.0425991,1.1684248,0.92837304,0.73352337,0.8290419,1.2472713,1.0901525,0.7979695,1.0577843,0.9491014,1.2253413,1.1417222,0.9661801,1.0648098,1.1553408,1.0885547,1.1044724,1.0980883,1.074106,1.2476645,0.96263593,1.1955624,1.1329914,1.1021696,0.8330654,1.059994,1.1017256,0.5024743,1.2311969,1.0677835,0.9037599,1.1285558,1.0793214,0.9770117,1.0120244,0.734163,0.9667462,0.9436338,1.0102904,1.0182331,1.0856602,0.9659141,1.1665428,1.0229717,0.8850101,1.1065694,1.0700186,1.0715084,0.9748052,1.0503634,0.5578517,1.037059,1.1753647,0.78152984,1.0687257,0.61578333,0.50859094,1.0942413,1.0921481,1.2000153,0.9696629
bottle,1.4618413,0.79257166,0.7146435,1.3940797,0.5663349,0.6822334,0.7188091,0.6739639,1.3689178,0.6120955,1.2158399,1.423327,1.2350576,1.4333096,1.1522313,0.0,0.36665845,1.1421556,1.2726386,1.2047051,0.6171572,0.906436,0.87685966,0.7146323,1.1285111,1.1135329,0.907585,0.8034863,1.1157228,1.307246,1.1978986,1.3291273,0.53574777,0.36195123,1.2797925,0.371073,0.9744767,1.243572,1.1938051,0.96261096,1.2679344,1.0021675,0.96605253,0.7048152,0.700406,0.88015294,0.83699733,0.7994112,1.0866857,0.7801939,1.2341527,0.8740331,1.1637423,1.2892681,0.71335316,1.3338821,1.2559687,1.1585561,1.3844509,1.2488171,1.0665104,0.50489396,1.237098,0.47347903,1.2938075,0.9020393,0.69767284,1.1461937,0.89993155,1.4988436,1.3838015,1.3037995,0.64001244,0.49350864,1.1532388,0.35889304,0.7158483,0.837685,0.71929425,1.1033733,0.8395392,1.2299206,1.2337244,0.5167966,1.4002886,1.2243227,1.3584263,1.0977235,1.214893,0.5277719,1.1498865,0.68608695,1.1787978,1.3686893,1.4297185,0.5966291,0.7489098,1.0593505,1.1445208,0.5976364,1.14241,1.1563572,1.2984914,0.4470048,1.2321298
bowl,1.4478998,0.79190266,0.68860334,1.4452733,0.39863366,0.5411323,0.75937593,0.7549654,1.4334306,0.54426205,1.1957536,1.415997,1.2225688,1.3919694,1.1467918,0.36665845,0.0,1.0746691,1.2878529,1.1528965,0.6458476,0.919652,0.81303006,0.6411906,1.0534348,1.1678652,0.8906737,0.767758,1.2662416,1.4055872,1.2075379,1.447079,0.5543097,0.29196805,1.3168508,0.3739242,1.165175,1.2650955,1.3041239,0.85449284,1.2738978,0.99588084,0.9575844,0.6601722,0.6619239,0.8156868,0.79644537,0.8856366,1.0964049,0.7872476,1.0680176,0.81526005,1.2976646,1.2159231,0.646241,1.2925532,1.3072221,1.2351481,1.418247,1.1267215,1.0317872,0.5184667,1.1374676,0.39886963,1.2364146,0.9136913,0.7047633,1.1906893,0.97705317,1.5268883,1.4750131,1.337492,0.50989544,0.54485387,1.0630817,0.39771974,0.8416709,0.7754661,0.7789075,1.1571869,0.71980226,1.2552714,1.290948,0.38806176,1.5028834,1.2199308,1.3962374,1.0643021,1.2351162,0.35354233,0.91275597,0.6227528,1.2969296,1.4971435,1.4619226,0.32164383,0.64975387,1.0346845,1.0505782,0.5644102,1.2732834,1.1729225,1.2348998,0.43437785,1.3242378
box,0.9558734,1.1896712,1.0240314,1.067087,1.1197177,1.0123155,1.0233908,0.7150509,1.087003,1.1508421,1.134643,0.84975415,1.2125273,1.0855399,0.4883265,1.1421556,1.0746691,0.0,1.2233887,0.92407876,0.7227851,0.94441485,0.9465086,0.7194617,0.91594607,1.180194,0.8654466,1.1530008,0.8943409,1.1503042,0.90098447,1.0642157,1.1445558,1.0653083,0.47855186,1.0534095,1.1143914,1.0450147,0.9282864,0.5819605,1.125643,1.0446354,1.18677,1.0119717,1.0515972,1.1352658,1.0047853,0.8833083,0.8890269,1.2013388,1.007669,0.8603737,1.0605648,1.0258843,1.1881673,1.0489573,1.0606722,0.83712775,1.2310202,1.0099456,0.8726629,1.0594789,1.0327601,1.2448983,0.98000026,1.2037652,1.1913749,0.93467396,0.94429773,1.1704547,1.1445292,0.7326769,1.2136735,1.1440526,1.0212599,1.1263806,0.97291076,1.0583916,1.0495882,0.5802598,0.93837154,0.8225893,1.064653,1.0348946,1.168243,0.92703855,1.1719822,0.8838852,0.95330065,1.071038,1.020704,1.0986222,0.88744915,1.1378257,0.6701679,0.9765365,1.1741695,0.7617332,0.9659914,0.69221085,0.733881,0.8961365,0.88353467,1.191561,0.86418194
bread,0.7155512,1.0573758,1.2148226,0.78994876,1.274983,1.1991128,1.1604844,1.2682267,0.5710741,1.1836041,0.6374444,0.828597,0.69215035,0.4688714,1.1869259,1.2726386,1.2878529,1.2233887,0.0,0.94685256,1.2364805,1.1892432,1.0490533,1.2468774,1.049257,0.72511804,1.0677462,1.1722212,0.8930073,0.70748013,1.1270697,0.7209512,1.2149506,1.3323356,1.0243347,1.2777374,0.7934195,0.87543905,0.8040517,1.1432362,0.83118385,0.9953182,1.0288932,1.1297575,1.3388095,1.2110417,1.2568814,1.1956519,0.8861916,1.1528195,0.98804027,1.2318931,0.9746599,1.0890479,1.2322146,0.8620016,0.9597865,0.95875764,0.65566367,0.8895979,1.0456517,1.1916418,0.9929806,1.2117997,0.6363026,1.0448946,1.1419103,0.9568277,1.0638478,0.6410044,0.59960103,0.9555745,1.2139194,1.145513,0.8513981,1.2335869,1.2244295,0.7114197,1.1581376,1.1861745,1.0337286,1.0674764,0.80451703,1.2571284,0.6406078,0.9185141,0.69863474,0.87920994,0.8320849,1.3009646,1.0278039,1.1417397,1.0388143,0.70679426,0.819757,1.336412,1.1718838,1.2034485,0.8715884,1.4175127,0.92938244,0.9250746,0.99181175,1.2411749,0.8290531
broom,1.0918123,1.0017978,1.2718722,1.0715407,1.2744685,1.1381149,0.9416639,0.9841303,1.2542534,0.94952476,0.8529421,1.2161726,1.0480833,1.1555606,1.0726675,1.2047051,1.1528965,0.92407876,0.94685256,0.0,0.92947865,1.0284625,0.53011316,0.9141721,1.046319,0.8821772,0.6568112,1.0466878,0.81544983,0.8458319,1.0105997,1.1731598,1.1836814,1.0848207,0.8775631,1.0434606,1.1392502,1.1137,0.8123995,0.8252734,1.1075441,0.81706655,0.9724452,0.8529503,1.0080886,1.0874325,1.1022555,1.0281768,1.0881972,1.1089343,0.970089,1.1561915,1.0973985,1.0706927,1.0218953,0.6805482,0.98759615,0.7590119,0.9897058,0.9150357,0.6958712,0.9594031,1.0236382,1.1868756,0.924764,0.90449,1.1375864,0.68665606,1.1277882,1.0340121,0.9482945,1.2516211,1.0814414,1.1130651,0.9071239,1.1318202,0.90934634,1.0003058,0.93303657,0.8725747,0.90458274,0.80419016,1.150361,1.1039559,1.0790589,1.0255336,1.0009934,0.86583537,1.2588677,1.1585445,1.0163155,0.8822489,0.94910246,0.9874497,1.0365759,1.1299531,1.1513033,1.1370708,0.7711381,1.2448215,1.0946996,0.78481585,0.30164993,1.1067128,0.89376473
bucket,1.3425276,0.93694204,0.9717896,1.2897063,0.8696602,0.7253233,0.69385755,0.13700616,1.4044712,0.8750442,1.1914151,1.3343271,1.3064467,1.3301075,0.9939648,0.6171572,0.6458476,0.7227851,1.2364805,0.92947865,0.0,0.96606356,0.6558765,0.7520269,1.0786785,1.1302073,0.7484099,0.94049084,0.86739755,1.2681308,1.1781067,1.379898,0.7738458,0.6965146,0.88724005,0.7339388,1.1609503,1.2267911,0.9964361,0.7371954,1.21773,0.93599325,1.1190231,0.6849228,0.8664201,0.94280744,0.81480634,0.92792684,1.0343229,1.0474408,1.0449443,0.7687032,1.2684388,1.1862288,0.9890695,1.0320673,1.2195374,0.95809984,1.4013314,1.1765462,0.87930363,0.70876575,1.1143249,0.8743361,1.0940022,1.0210061,0.9337444,0.9852941,1.0393797,1.4081227,1.3712367,1.1602994,0.93316233,0.865667,1.0422592,0.8058623,0.79403836,0.86372614,0.74788713,0.8481385,0.8180714,1.092913,1.2608879,0.7049384,1.4084356,1.1184231,1.3342289,0.97768354,1.1800582,0.7046496,0.9262819,0.75960517,1.0999244,1.3752128,1.1860437,0.6703375,0.883598,0.8569374,0.9861051,0.7462458,1.0828638,0.96383774,0.8880036,0.89376104,1.0402668
