,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,duck,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,mitten,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window,zebra
bed,1.0996716,1.0181754,1.5073045,0.5187409,1.27455,1.3758972,1.2414818,1.1232034,0.36231232,1.0979303,0.0,1.4058449,0.4935149,0.5406289,1.4026501,0.19795394,1.1306114,0.90388614,1.47404,1.404072,0.61342174,0.7091327,1.2997025,1.2185291,1.1369287,1.1842748,0.9400959,1.1779621,0.80106336,0.9109019,1.2908897,0.5336239,1.2274803,1.2114077,1.2477436,1.2894592,0.06426978,0.7177137,1.5249379,0.46533352,1.4005357,1.3537123,1.2175349,1.0578393,0.55772674,0.9858104,0.7766238,1.1326481,1.2677523,0.87985694,0.6534174,1.2544848,1.5175359,1.3361107,1.1425177,1.292995,1.3912405,1.2191708,0.82113147,1.160742,1.10273,1.0739423,0.68822634,1.1473085,0.85579455,1.2984755,1.3157022,1.2200278,0.41349292,1.015928,0.28927732,1.0477078,0.59419405,1.4289834,0.6583543,0.7638087,1.097013,0.78755474,1.0293525,1.352416,0.8705167,1.2616916,1.2479491,1.4141887,0.64899695,1.1341681,0.44369048,0.3325218,0.6053201,1.466064,1.4813635,1.4092301,1.1148864,1.1235777,0.61406195,0.7575558,1.4084452,1.4097852,1.3209128,1.0669321,1.0239673,1.3395433,0.5942267,1.3680866,1.319601,0.34739065,1.3129742,0.41314644,1.2798781,0.7830659,0.83831424,0.5206566,1.5156803,0.7821369,1.453552,1.1768768,1.5006819,0.7663686,1.4929425,0.9057342,0.3373878,0.41316527,1.3174846,1.309977,1.2323941,0.74737924,1.0471305,1.2884152,0.7397889,0.89385355,1.3769649,0.61161476,1.106795
belt,0.8394351,1.083336,0.5232221,1.3868281,0.9714545,0.78624517,0.7393402,0.8935213,1.3749648,1.1689277,1.4058449,0.0,1.2523562,1.311677,0.9542669,1.4332683,0.5514411,1.193606,0.3160957,0.41058415,1.4787962,1.2656829,0.9410257,0.8146054,1.0164195,0.78198814,0.9376224,0.7461945,1.3276511,0.6106997,0.58866704,1.2724233,0.9336296,0.6997156,1.1610299,0.9471597,1.3683736,1.402077,0.16799486,1.324348,0.57155323,0.9544037,1.1692792,1.2336751,1.2199097,0.9990408,1.0102487,1.1114553,0.9260326,1.1971201,1.2739375,0.75063276,0.65003705,0.7008077,0.8185293,0.7627611,0.8501316,1.0817823,1.368345,0.7685397,0.9064113,1.2277542,1.1814342,0.9978376,1.3510025,0.37435007,0.96998197,0.7908069,1.3073354,1.2714074,1.2157907,0.92638004,1.0600148,0.3106376,1.3215549,1.2978455,1.1987966,1.3388855,1.1150879,0.3505243,0.97022295,0.7212541,0.78248155,0.6242802,1.0961369,1.144529,1.2259719,1.2775433,1.4548268,0.21417391,0.3162892,0.8247091,1.0569272,1.1411979,0.9780178,1.2987785,0.56499636,0.31561065,0.9561132,1.1527128,0.97863793,0.465248,1.1739092,0.9937998,0.76801425,1.3366318,0.6757818,1.1776811,0.41974914,1.2050554,1.0417726,1.3422412,0.28929466,1.2624074,0.45168757,0.74409676,0.5276931,1.3115599,0.6498444,1.172997,1.2792273,1.4588714,0.9804879,0.73497534,0.6960381,1.3470356,0.7751484,0.8614551,1.2334185,1.1686826,0.6195321,1.2231522,1.1714468
bench,1.1689229,1.1531757,1.3986669,0.66045535,1.2610302,1.2637258,1.3231859,1.1345466,0.4838183,0.9893203,0.4935149,1.2523562,0.0,0.7636264,1.3229272,0.54885083,1.0325251,1.0185916,1.3206269,1.1761088,0.7394451,0.735713,1.1438118,1.0174049,1.1443001,0.9438247,0.8148187,1.1941673,0.8595562,0.7414222,1.2523329,0.4823407,0.9992577,0.9605212,1.249152,1.3391869,0.50781333,0.7018947,1.3539696,0.649605,1.1909484,1.3193135,1.2008868,1.1949817,0.36082995,0.654958,0.8557674,1.0696093,1.3137594,0.9336389,0.7812584,1.2730012,1.3676875,1.1380675,1.1842251,1.2266399,1.3741498,1.2323436,0.83004004,1.2000732,1.0769635,1.0365117,0.8416979,1.2013891,0.90584254,1.2950183,1.2508898,1.0683506,0.5998493,0.9872324,0.5137061,0.76910233,0.529465,1.1426601,0.8863535,0.92698544,1.1027488,0.83033144,0.9587512,1.2762511,0.90888906,1.1786258,1.2216603,1.3620535,0.50624627,1.2065433,0.63730067,0.5654568,0.8197845,1.319139,1.2891357,1.3196375,1.1971344,1.0043883,0.84032905,0.87239575,1.1797683,1.3074851,1.2442572,1.1137733,1.0472788,1.1793358,0.35703897,1.2638022,1.164237,0.5868676,1.172548,0.78452027,1.147754,0.61668277,0.49992293,0.7860493,1.3221271,0.9714283,1.3346143,1.1195614,1.2855124,0.8474208,1.3737793,0.9895214,0.63836,0.57371914,1.3044373,1.358908,1.1461627,0.7743523,1.0911044,1.3022735,0.7209042,0.70072114,1.2368956,0.64472675,1.1248678
bib,1.0061771,1.1265316,1.3708905,0.5621259,1.2132834,1.3340582,0.99317795,1.0509387,0.59883934,1.0386851,0.5406289,1.311677,0.7636264,0.0,1.3202548,0.4176097,1.2137837,0.56209254,1.3233097,1.2610788,0.43724978,0.74158454,1.2856635,1.1539733,0.9616804,1.2461319,1.0301305,0.980751,0.87340045,1.159279,1.1660546,0.8229266,1.1810544,1.1437681,1.135525,1.2546159,0.60081095,0.55235934,1.3511136,0.69635725,1.2427299,1.3465235,1.2302997,1.0800923,0.89557475,1.1033169,0.85488474,1.1025546,1.2003194,0.9824751,0.7363063,1.0956839,1.4392498,1.2134789,1.0484279,1.0791618,1.2400819,1.1902692,0.8003576,1.0009966,1.0537213,0.7813879,0.762467,1.0862328,0.78763247,1.1225635,1.3323679,1.0968665,0.6535517,0.95797884,0.68475825,1.0297569,0.94938886,1.3838418,0.8702743,0.8696009,1.0148544,0.85191023,0.8923635,1.2375747,0.901589,1.0310545,1.0807576,1.2947218,0.9170311,1.1107895,0.77969176,0.6018381,0.35457534,1.3198695,1.323144,1.4358984,1.0992261,1.2446831,0.8901137,0.7818296,1.2966094,1.1609974,1.3206286,1.0098878,1.099964,1.2490075,0.82421184,1.3642461,1.074862,0.5506956,1.0969911,0.7154696,1.2278459,0.97941715,1.0196542,0.6048134,1.2952509,0.6706382,1.3247539,1.1000797,1.366672,0.8299265,1.3265262,0.9044253,0.5731394,0.49826217,1.2269336,1.2185214,1.0482268,0.62042665,1.0764303,1.2030251,0.7293631,1.1254402,1.2582436,0.82827795,1.1446409
bird,0.715076,1.0678419,0.8816649,1.334583,0.90576875,0.8898131,1.0737969,0.9765143,1.364921,0.8224446,1.4026501,0.9542669,1.3229272,1.3202548,0.0,1.412824,0.9965401,1.0248296,0.9595462,1.0058073,1.2293761,1.207612,0.8172152,1.0707719,0.5485125,1.0127524,1.0787117,1.1552076,0.7534189,1.1203465,0.887824,1.2150333,1.1317595,1.0338246,0.880248,0.7963746,1.3647816,1.3372848,0.92647606,1.2754289,0.99669725,0.2892053,0.34604234,0.888934,1.2594845,1.117908,1.0937865,0.5864552,0.99065405,0.84151816,1.2495241,1.18289,0.21285069,0.82754207,1.1425467,0.99175996,0.23263502,0.5178436,1.1994312,1.0541204,1.0433555,1.2213709,1.286018,0.9457179,1.3063742,1.0727206,0.36656177,0.9928614,1.2596633,1.0751739,1.4110906,1.1101239,1.2067866,0.88671327,1.1929464,1.0617079,1.0994712,1.233984,1.2646582,1.091396,1.0389174,1.0958129,1.1474814,0.90789026,1.2562518,0.5435635,1.4080665,1.3930075,1.175539,0.8877654,0.9239406,0.27501005,1.0849555,0.55804133,1.1102598,1.2382147,0.76547635,1.0378872,0.38165474,0.87323296,0.84169436,0.94010866,1.2406721,0.24076045,1.0501426,1.3838464,0.80389076,1.3882253,0.93729454,1.1278666,1.2430177,1.3275781,0.91408527,0.9217926,0.8781396,0.96182096,0.8666979,1.0813681,0.7258787,1.1299317,1.281673,1.321358,0.90447736,1.0792577,1.1193988,1.326337,0.9281174,1.0163751,1.2144715,1.0278258,0.8398305,1.209081,0.65559477
blanket,0.9887126,0.9509382,1.5449284,0.5202551,1.2284569,1.3834217,1.2685598,1.0625275,0.4343065,1.0496027,0.19795394,1.4332683,0.54885083,0.4176097,1.412824,0.0,1.1530775,0.81874955,1.5006626,1.4132044,0.6229887,0.55290484,1.2375196,1.1953349,1.0819746,1.1972649,0.953045,1.1620238,0.73547375,0.95055175,1.3866757,0.58477145,1.1832793,1.1392503,1.1964242,1.2909799,0.2809986,0.6379684,1.535971,0.5222542,1.4306842,1.3821099,1.1779746,0.949896,0.6719067,0.9718515,0.7754183,1.1723206,1.2893069,0.8663789,0.75506115,1.2437305,1.5498778,1.2400956,1.194936,1.242681,1.3850273,1.2235541,0.81908584,1.2124195,1.0198317,0.98130167,0.77590185,1.1225066,0.7914305,1.355389,1.3291669,1.1957333,0.5483809,1.009642,0.3816104,1.0878553,0.7516812,1.4712647,0.68533653,0.69205767,1.0757229,0.74801123,1.0178909,1.3860581,0.83402264,1.239339,1.2461667,1.4351943,0.80468524,1.0819098,0.39615548,0.42655218,0.5916333,1.494338,1.4321324,1.4421942,1.0451525,1.1141226,0.6372012,0.62980884,1.3523039,1.401897,1.336256,1.0737202,1.0246379,1.330354,0.6996946,1.3575319,1.2588257,0.3465091,1.2788088,0.43218023,1.3449812,0.7860191,0.8704112,0.5464158,1.5256138,0.8046011,1.4661626,1.0913893,1.5089457,0.760386,1.4869406,0.8917039,0.44089758,0.48500407,1.3099736,1.3496711,1.2191294,0.71155024,0.9995248,1.3105891,0.77905977,0.94642425,1.3154472,0.58751667,1.121818
boat,0.9518807,1.0982525,0.87401795,1.2140107,1.0232918,0.88102674,0.97636676,0.9952438,1.0580703,1.1239624,1.1306114,0.5514411,1.0325251,1.2137837,0.9965401,1.1530775,0.0,1.0917175,0.6567426,0.7526239,1.2129815,1.1091537,1.0251901,0.85374755,1.0112097,0.8320769,0.96844244,0.95031345,1.1323532,0.7342021,0.86807424,1.0229461,0.9701608,0.78105485,1.0508684,0.9415767,1.1364444,1.1941962,0.6005376,1.1333221,0.7915162,0.9700581,1.0805587,1.2423582,1.0538903,0.89579374,1.0318873,1.1124264,1.1098204,1.0253128,1.1303715,1.016666,0.85861814,0.8122629,1.0818815,0.9809402,0.9843459,1.004106,1.146013,0.9740478,1.1178548,1.1584673,1.0843308,1.0311092,1.2388449,0.8459977,0.95002145,0.84553236,1.1346154,1.1906592,1.0886102,1.0080023,0.95326686,0.53356785,1.1977658,1.1497556,1.1539872,1.2328209,1.1903092,0.6404882,1.0803679,0.9818343,0.9813464,0.85986775,1.0395147,1.0482906,1.1233532,1.164995,1.2032028,0.634945,0.73602486,0.9455633,1.0968443,1.0608586,1.0322355,1.2396549,0.8332685,0.70728683,0.94969904,1.1169612,1.0372225,0.7484535,0.96850395,1.0517164,0.88946426,1.115498,0.812963,1.0556103,0.7938457,1.1204584,0.9680166,1.1056726,0.6549207,1.1081023,0.7737494,0.90360445,0.9184494,1.1019365,0.9374816,1.0889535,1.1205561,1.1363032,1.0007081,0.98783517,0.7232615,1.2094526,0.94208205,0.9342385,1.1008592,1.0395466,0.8078105,1.0493852,1.0178012
book,0.86803836,1.192607,1.1954865,0.9572243,0.9044324,1.0248634,1.0378871,0.77880037,0.9120624,1.1001627,0.90388614,1.193606,1.0185916,0.56209254,1.0248296,0.81874955,1.0917175,0.0,1.1361134,1.2347074,0.2990517,1.1094012,0.93603075,0.9123441,0.65697134,1.0353718,0.93369895,1.2598104,1.1095915,1.1139576,1.3036388,0.8468717,1.0771701,1.027166,1.0078112,0.99931717,0.9546659,0.68495727,1.1645766,0.59897697,1.0818031,1.0172644,1.0205419,0.842682,1.0393302,0.9626187,1.1749469,1.1252928,1.3666091,1.0823922,1.0581142,1.2957509,1.145226,0.9236246,1.2478015,1.183149,0.8416597,0.94575053,0.8268817,1.1944896,1.144297,0.619684,1.1000825,0.89674014,1.0118304,1.2161244,0.9996075,1.0025563,1.0193397,0.8919619,1.1550683,1.03598,0.9604393,1.217283,1.166619,0.8711015,0.85112965,1.072621,1.0517337,1.2713872,1.094177,1.3010719,1.325331,1.2032443,1.055179,0.97366047,1.1620075,1.0810721,0.29508746,1.1949857,1.0570307,1.1419646,1.0571861,1.1090512,1.051529,0.9745797,1.0452806,1.1201262,1.0411683,1.1567392,0.842639,1.0147725,0.78632766,1.131477,0.86069894,1.067004,0.8866222,1.0749509,1.2940425,1.0145329,1.1310672,0.77090955,1.2058305,0.6075096,1.2018323,1.099821,1.3153112,0.8766366,1.1156166,0.67996836,0.9889695,0.5363292,0.94326544,1.3820882,1.2960293,0.8641552,1.1122091,0.81980354,0.76000476,0.9534404,1.1608274,0.85796607,0.9687488
bottle,1.0468329,1.065633,0.58052576,1.4286206,0.84060705,0.66605383,0.7526132,0.75787723,1.4151752,1.2175361,1.47404,0.3160957,1.3206269,1.3233097,0.9595462,1.5006626,0.6567426,1.1361134,0.0,0.39949453,1.3805488,1.2391825,0.85063916,0.59759015,1.0972339,0.6557487,1.0161312,0.9898145,1.376122,0.74917096,0.562613,1.2532511,0.8176171,0.8049949,0.91590905,0.76152015,1.4447275,1.326622,0.30525815,1.2683201,0.2343862,0.9304445,1.1349369,1.0796126,1.2468115,1.0470715,1.0739266,1.1406082,0.8546816,1.278735,1.3149633,0.94621897,0.8024845,0.6090759,0.96972317,0.9190644,0.9430194,0.9790962,1.1015034,0.8946171,1.0504427,1.1258209,1.2765362,1.0150547,1.3706784,0.5932128,0.98041487,0.9189759,1.3175733,0.8518208,1.4053905,1.0983785,1.1430458,0.3729365,1.3558366,1.2395173,1.1253749,1.4393498,1.1666564,0.35275054,1.0236813,0.8790945,0.89554363,0.46973372,1.0984514,1.1006941,1.3486193,1.401545,1.4136996,0.30464405,0.4435711,0.86009115,1.0488046,1.2105712,1.1242232,1.2147896,0.5862384,0.37357545,0.9624255,1.0759101,0.876778,0.57616806,1.1978619,0.98224616,0.76895034,1.4423219,0.77493703,1.326242,0.6192445,1.1305755,1.1448071,1.2777086,0.37919235,1.2423599,0.33586305,0.79097265,0.51656187,1.1950929,0.71088344,1.0371616,1.397569,1.3645382,0.697137,0.78517914,0.6870306,1.3962938,0.7912071,0.65405643,1.2396456,1.0515302,0.5323407,1.2406154,1.1126546
bowl,1.1399052,0.96081513,0.576599,1.3586675,0.8970154,0.7135765,0.8028321,0.636635,1.2304424,1.2255718,1.404072,0.41058415,1.1761088,1.2610788,1.0058073,1.4132044,0.7526239,1.2347074,0.39949453,0.0,1.3264697,1.0486487,0.85436326,0.48576164,1.231262,0.53084993,0.973347,0.9490878,1.3683015,0.7246079,0.61377335,1.2295741,0.7612555,0.7639102,0.84859407,0.84393984,1.4057982,1.2759602,0.4185109,1.2546029,0.29463816,1.1075847,1.2418877,1.1540532,1.2350361,0.7468939,1.0224174,1.1391746,0.797542,1.376868,1.3551514,0.8640697,0.7601035,0.81422704,0.8230621,0.7598229,1.026873,1.1754229,1.0736071,0.96983755,0.8868531,1.0272092,1.3465153,1.1433312,1.2944338,0.7115364,1.1330314,0.80407554,1.4435076,0.99242973,1.297307,0.868172,1.075309,0.4033345,1.3051076,1.1652173,1.1286478,1.2726619,1.0786543,0.52349895,0.6728543,0.83948517,0.8369591,0.639409,0.9847187,1.1179669,1.2440197,1.3470534,1.479549,0.4094122,0.50507575,1.0159711,0.9939201,1.2317733,0.92248714,1.1981411,0.75717676,0.22972381,1.1015656,1.1396149,1.0310432,0.48651415,1.1083876,1.0799454,0.7754661,1.4513059,0.6569739,1.2719944,0.4240712,1.183879,0.6074007,1.2571877,0.33332837,1.371194,0.4696588,0.8451222,0.30678564,1.1439607,0.85915154,1.1699896,1.4170569,1.4065132,0.6476464,0.7613764,0.6304889,1.2704763,0.6496046,0.8236525,0.9431089,1.0404847,0.5532431,1.2604485,1.2405704
box,1.0821475,1.239078,1.3439435,0.70059353,1.0372727,1.1796396,1.067727,0.93113625,0.5575298,1.0629829,0.61342174,1.4787962,0.7394451,0.43724978,1.2293761,0.6229887,1.2129815,0.2990517,1.3805488,1.3264697,0.0,0.9480918,1.1865064,0.9086379,0.88581693,1.0243152,0.9804462,1.257844,0.9838116,1.1649324,1.4350333,0.65511197,1.0842998,1.166775,1.0373088,1.1284649,0.6639617,0.44847238,1.4600792,0.43009996,1.1956583,1.2292659,1.1109809,0.9672411,0.75572145,0.8431828,1.0748831,1.0762702,1.3678275,1.0512064,0.85741025,1.348037,1.3843031,1.2089487,1.2725501,1.3373857,1.1405342,1.0902994,0.5704135,1.2745112,1.1324458,0.5994246,0.96577144,1.0434321,0.88517696,1.4035711,1.191022,1.1526561,0.81607956,0.7357142,0.9070526,0.9594751,0.79904854,1.4512272,0.95696324,0.8104849,0.8031918,0.84753704,0.9143288,1.4431441,1.0558414,1.3597163,1.3329597,1.313974,0.7378099,1.0249939,0.9906592,0.8289783,0.21920407,1.469204,1.3658228,1.3421018,1.085892,1.1167123,1.0722013,0.906107,1.3450115,1.3036778,1.2115883,1.05815,0.8854141,1.1290742,0.5335908,1.3018167,1.0398072,0.8241987,1.1348287,0.90726846,1.4155939,0.941422,0.88987297,0.5315579,1.4642483,0.5141368,1.4212943,1.1993314,1.5055574,0.7013643,1.2888412,0.64061844,0.7843314,0.32370842,1.012586,1.4579062,1.3175843,0.6937085,1.2295357,0.9383717,0.4291426,0.85909927,1.3681091,0.7451373,1.0431044
bread,0.9952802,0.87313366,1.2573662,0.61003417,1.2491906,1.2851541,1.141919,0.927176,0.73717475,0.99505985,0.7091327,1.2656829,0.735713,0.74158454,1.207612,0.55290484,1.1091537,1.1094012,1.2391825,1.0486487,0.9480918,0.0,1.0995927,1.11447,1.2152537,1.0620164,1.0982165,1.0315186,0.7634696,1.0472233,1.130194,0.8572564,1.0242113,0.9821862,1.055883,1.1511445,0.73863286,0.8161576,1.2552397,0.8545966,1.1387205,1.2143301,0.96773726,0.9179106,0.89950585,0.84246016,0.9377985,1.0917735,1.069937,0.9260777,0.9213477,1.0134324,1.2328693,1.1018676,0.9058267,0.9772833,1.254947,1.1429417,0.8925096,1.1898332,0.97354996,1.0381925,0.95966065,1.117096,0.75073814,1.2487445,1.181889,1.0343702,0.90867317,1.0408108,0.7551882,0.95472485,0.98060524,1.1912448,0.65727115,0.81997824,1.1284244,0.8028883,1.0075324,1.1637076,0.7042178,1.1156278,1.1319301,1.2562251,0.9593544,1.1127547,0.68388855,0.7806566,0.99868846,1.1876299,1.1931477,1.2302411,1.078847,1.0633178,0.8307692,0.71902215,1.1705368,1.0835972,1.1164504,1.0486616,1.1940099,1.2115285,0.94027346,1.0859711,1.1658036,0.69503725,1.0776432,0.8043985,1.079339,0.82920545,0.83041877,0.88498056,1.1977726,0.990541,1.2351313,1.0667688,1.0940568,0.9322878,1.2850834,1.0636652,0.8031198,0.8624965,1.1969271,1.011843,1.0332534,0.8349711,0.8987194,1.325932,0.86685073,1.0945038,1.1334414,0.88033164,1.0959096
broom,0.9375529,0.887371,0.9546369,1.2648883,0.8386297,0.80069447,1.1147786,0.6651865,1.1794846,1.1655302,1.2997025,0.9410257,1.1438118,1.2856635,0.8172152,1.2375196,1.0251901,0.93603075,0.85063916,0.85436326,1.1865064,1.0995927,0.0,0.8080989,0.9036617,0.7552134,0.93506753,1.1670706,1.1592969,0.91961473,0.89273477,1.0562502,0.9294366,0.823054,0.8671082,0.598938,1.3307018,1.2275225,0.7785035,1.0565095,0.8185332,0.9021898,1.0559127,0.92728657,1.0196419,0.8630848,1.1769172,1.0411912,1.0535263,1.1938707,1.2217033,1.07601,0.7581452,0.6510395,1.0557976,0.77983415,0.82374465,0.8977509,1.0169556,1.1179316,1.0456734,1.0824293,1.1691983,1.1117312,1.2138915,1.0685022,0.9453862,0.77376664,1.1977334,1.0155255,1.3263891,0.85681593,0.98152184,0.7815458,1.201654,1.0415423,1.0329634,1.3064585,1.2070632,1.0227724,0.87401736,1.021144,1.125541,1.0354608,1.0828063,0.8635494,1.2552917,1.320745,1.1626135,0.81846166,0.76710546,0.91599405,0.78169024,1.1378915,1.0062559,1.0475197,0.59505886,0.948144,0.99839836,1.1778456,0.83373415,0.91190463,1.0863345,0.91570365,0.8818472,1.327819,0.6730062,1.3317292,0.8278558,0.92923236,0.95915174,1.258578,0.7796606,1.1812217,0.78331745,0.98603886,0.70953417,1.0381813,0.91158783,1.0446782,1.3372736,1.216969,0.8639908,0.9601114,1.0850381,1.1997889,0.76562023,0.94277203,1.2282104,0.7774446,0.8697411,0.94112784,1.0130972
bucket,1.2229973,0.9395356,0.9909592,1.2764598,0.7701266,0.6706804,1.1074467,0.5067821,0.9960297,1.1971043,1.2185291,0.8146054,1.0174049,1.1539733,1.0707719,1.1953349,0.85374755,0.9123441,0.59759015,0.48576164,0.9086379,1.11447,0.8080989,0.0,1.0832975,0.23045826,0.87398183,1.1523647,1.3892441,0.59936225,1.0011531,0.8716165,0.73268276,0.8713041,0.8910817,0.92093825,1.2721534,1.0503206,0.8499127,0.83528733,0.36550033,1.132035,1.2294514,1.0655396,0.9704173,0.60938704,0.981087,1.2415159,1.1721727,1.3688287,1.3656558,1.245165,1.0502931,0.8109623,1.2099088,1.0357754,1.0856713,1.1027924,0.70767033,1.2447999,0.914279,0.7409886,1.3665664,1.1499677,1.2542223,1.0757124,1.1325527,0.9177035,1.3129253,0.6550064,1.2019644,0.913189,0.86620533,0.73616624,1.3729856,1.0998131,1.0172229,1.2447875,1.0645336,1.0286394,0.7844374,1.1471668,1.2516743,1.0126373,0.77344286,1.1105897,1.110864,1.2630279,1.1872027,0.9096768,0.7686184,1.0682024,0.9989519,1.218391,0.91683435,1.125802,0.8749375,0.7287765,1.1422281,1.2120826,0.6787308,0.650112,0.73261595,1.1242747,0.7024747,1.2897179,0.7654034,1.1837304,0.87009585,1.0185457,0.60269064,1.001845,0.76668423,1.2272878,0.75169647,0.8251366,0.75475794,0.88336104,1.0528022,0.74044555,1.3136165,1.103706,0.57758474,1.1946138,1.0180398,1.1893495,0.7114076,0.6973191,0.9624468,0.6216761,0.66710585,1.0772531,1.1665068
butterfly,0.5640893,1.1638163,1.0183896,1.1758487,0.87649965,0.9987077,0.9819759,1.0062677,1.1259506,0.91918087,1.1369287,1.0164195,1.1443001,0.9616804,0.5485125,1.0819746,1.0112097,0.65697134,1.0972339,1.231262,0.88581693,1.2152537,0.9036617,1.0832975,0.0,1.1371884,1.0311483,1.0809951,0.86581916,1.1767522,1.1072869,1.063768,1.0892563,0.9882086,1.0096214,0.91275525,1.1469547,1.0723226,1.0296222,1.0141466,1.1285589,0.5248313,0.66871375,0.96814007,1.1634985,1.1212633,1.122286,0.8394227,1.2873988,0.8208165,1.1802077,1.2811673,0.6596174,0.7750815,1.2796037,1.0901884,0.2985822,0.7390022,1.0772179,1.1768032,1.1268551,1.0681106,1.1730398,0.83414507,1.2168373,1.0974461,0.52099943,1.0097435,1.0922985,1.0377271,1.2379403,1.1032503,1.117045,1.0859754,1.1390966,1.0457053,0.98171556,1.1211544,1.1487678,1.171115,1.1656773,1.2731714,1.2102679,1.0456898,1.1665139,0.74699605,1.2421023,1.2275382,0.8130007,1.0219252,0.97688526,0.67120343,1.0872172,0.7674274,1.0618819,1.1530695,0.76965415,1.1414976,0.59645337,1.0282619,0.85059774,1.0211358,1.1092547,0.58759516,0.93568134,1.1798445,0.9218345,1.1897175,1.1496282,1.1128968,1.246214,1.0264248,1.1149147,0.8062615,1.0417635,0.9778847,1.1888905,0.9849246,0.84092563,1.0020832,1.056846,0.99812096,0.9896546,1.3182508,1.2193162,1.0583775,1.1483669,0.9861359,1.0719569,0.9904975,0.98089397,1.0789258,0.71580327
can,1.2563922,0.8858392,1.0723243,1.2324482,0.9510275,0.82729214,1.1997961,0.5543639,1.0220768,1.135261,1.1842748,0.78198814,0.9438247,1.2461319,1.0127524,1.1972649,0.8320769,1.0353718,0.6557487,0.53084993,1.0243152,1.0620164,0.7552134,0.23045826,1.1371884,0.0,0.90873086,1.124655,1.3228877,0.41512978,1.0112227,0.7855999,0.65212226,0.82951653,0.9724201,0.95021135,1.2559137,1.2306402,0.8311517,0.8286593,0.42467153,1.0835598,1.1835624,1.0952839,0.8041388,0.4301815,0.9069222,1.1791049,1.1627489,1.3186095,1.3159283,1.1428523,0.9835268,0.85308045,1.10431,0.9261358,1.1464007,1.066057,0.89354223,1.1638229,0.90095055,1.0059004,1.3238459,1.1771927,1.242754,1.0477221,1.0795295,0.82724965,1.2855713,0.7924371,1.1506749,0.9100439,0.81239647,0.63247573,1.3150902,1.0993953,1.1229013,1.285641,1.1370792,1.0004023,0.6876036,1.0592058,1.1564152,1.097889,0.68341094,1.1146932,1.0609881,1.1898423,1.2847321,0.86619544,0.7890062,0.96759075,1.0808632,1.1494665,0.8906307,1.1557254,0.8593163,0.83733606,1.1036237,1.263427,0.70176536,0.6459531,0.6163546,1.0256929,0.8974098,1.2859676,0.76486576,1.1715438,0.75782025,0.93595165,0.54203254,1.1805551,0.7510569,1.2562914,0.8307147,0.88173056,0.7382051,0.9587133,1.0357362,0.86775833,1.2986951,1.2342839,0.84224975,1.0084976,1.0179254,1.2634666,0.534336,0.978723,1.0466166,0.57383144,0.70961297,1.0248481,1.0842689
car,1.0986834,1.0441213,1.1768132,1.0163057,0.96220124,0.99453187,1.2357395,0.9490324,0.878925,1.0635916,0.9400959,0.9376224,0.8148187,1.0301305,1.0787117,0.953045,0.96844244,0.93369895,1.0161312,0.973347,0.9804462,1.0982165,0.93506753,0.87398183,1.0311483,0.90873086,0.0,1.1599157,1.0771477,0.7750143,1.0495564,0.9686403,1.0439539,1.0488783,1.08062,1.1255423,0.9514217,1.0209357,1.1092777,0.8448055,1.0343444,1.0572643,1.0363485,0.9628947,0.7367868,0.9452281,1.0520172,1.1161408,1.1494343,1.073644,0.93062997,1.1638846,1.1027759,0.9197277,1.1245898,1.1227,1.0580301,1.0409409,0.9167011,1.0344676,1.0315598,0.94359696,0.92065185,1.092857,1.0399162,0.97217256,1.037929,1.0031288,1.0039504,0.97677946,0.9105662,0.9470634,0.95540136,0.9650933,1.1793984,1.0018209,1.0668588,1.0767106,1.0554324,1.1127226,1.0404648,1.0980955,1.0824199,1.1052899,0.7769433,1.0025817,1.0017543,0.92123014,0.9853981,1.1089731,0.99062955,1.1193917,1.0374751,1.0495515,0.95696664,0.9267806,0.92911994,1.0302345,1.0294554,1.1018208,0.89361465,0.8037751,0.7982228,1.0683174,1.0476781,0.93829536,0.99903065,0.9410786,0.9068753,0.76218885,0.78020585,1.0217085,1.0308121,1.0504221,1.057937,1.1317571,1.0282447,0.9401727,1.172209,0.83678627,0.9978852,0.9856776,1.0210817,1.230418,1.0616411,1.0070493,1.005798,1.0175223,1.0622243,0.81699973,0.99858445,0.7768268,1.0086176
