,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,cat,chair,clock,closet,coffee,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,sock,soup,spoon,sprinkler,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bed,1.2712401,1.1250106,1.4214027,0.85118073,1.2454814,1.3519456,1.4002724,1.0013677,0.68473035,0.8085033,0.0,1.2992138,0.75331235,0.4702257,1.2991133,0.23167104,0.6541787,1.4213777,1.3556385,0.5627929,1.1416526,1.1426096,1.4981763,1.328429,1.5525775,1.2562557,1.0092517,0.9330352,1.4093046,0.7938866,1.2679852,1.1942124,0.87154317,0.19366467,0.8509424,1.5325574,0.38536406,1.4997681,0.87525636,0.9029604,0.7778203,1.0253367,0.6416327,1.2634084,0.9685783,1.3732061,1.3724282,0.9050394,1.18065,1.1816257,1.2698536,0.8625457,1.2689052,1.1550834,1.2143542,0.81650233,0.96084124,0.887135,1.2819663,0.9209646,0.74083865,0.83307886,1.0712147,0.5585811,1.3194269,0.7477925,1.4684281,1.0428729,1.1182977,1.0434376,1.0895845,0.70185894,0.90650654,0.9466489,1.3666258,1.249996,1.39958,1.2411028,1.2689183,1.3133541,0.6099699,0.8532187,0.5323438,1.2308162,1.2818173,0.9826298,1.1104486,1.0933462,1.1179026,1.1337626,1.2996007,0.6971229,1.072349,1.2900132,1.1042422,0.67468166,1.0363021,0.8905082,1.0504156,0.61789167,0.6565337,0.6747866,1.2869707,0.68002737,1.183099,0.47365355,1.443542,0.79558945,1.4067158,1.4637861,0.80645514,0.71137506,0.6741029,0.7939731,0.35778844,1.4407866,1.4086503,1.344301,0.9481101,1.2542076,1.0656527,0.7420196,1.1250018,1.3070464,1.4461296,0.72100437
belt,0.8876102,0.7615664,0.99329686,0.96837103,1.1654806,1.0351566,0.9830951,0.9252771,1.0731965,1.0301557,1.2992138,0.0,0.7309718,1.2497514,0.98589724,1.2205676,1.1557581,0.8229678,0.74381846,1.2013246,1.0880698,0.82808465,0.75114214,0.75603294,0.60022163,0.84249526,0.7569599,0.688708,0.97029984,1.0658784,1.1438241,0.9515801,0.9594924,1.1557099,1.2976074,0.57487106,1.2708597,0.84353125,1.2907281,1.1634289,1.0517716,0.9118402,1.0880054,0.90851533,1.1423993,0.65553254,0.6405767,1.1675284,0.8174739,0.8344219,1.0902127,1.2328521,0.7544633,0.85089093,1.0073662,1.1788026,1.2237272,0.8968122,0.75779766,1.233861,1.2859285,0.99652416,1.0936118,0.9431157,0.56729937,1.2078001,0.7300379,0.90538317,0.9804776,1.1735078,1.0550594,1.2019191,1.071709,1.2226486,0.8066477,0.689711,0.6891129,0.9420134,0.88570285,0.6983118,0.96561676,0.90200526,1.268651,0.71344244,0.7056808,0.6608174,1.0552927,0.9996484,1.0624706,1.1589005,0.83355427,1.0717908,0.85779977,0.7176304,0.8477479,1.0609541,1.2697744,1.0390362,1.091613,1.083954,1.2339734,1.0487411,0.8447152,1.1981037,0.56838137,1.1943095,0.5859307,0.97732306,0.89532185,0.6155846,1.2435751,1.0720367,1.0518208,1.2652884,1.3713794,0.8979913,0.646479,0.8614474,1.0223528,0.6842192,1.247155,1.2166996,0.92374814,0.78436637,0.61143804,1.1216323
bench,1.138813,1.0441324,1.3716948,0.8979852,1.3223714,1.2455322,1.1736636,0.7975236,0.79982877,1.0187583,0.75331235,0.7309718,0.0,1.116129,1.2645627,0.85348487,1.0219105,1.1848418,1.0198454,1.0222287,0.9869412,0.97869277,0.90235823,1.0423918,1.0193336,1.0127404,0.9093473,0.35436237,1.3156893,0.88043875,1.1410078,1.0767249,0.60356915,0.5557176,0.9535775,1.1711215,0.8075067,1.1644934,1.1028545,1.1355385,0.6461487,0.79602623,0.8289186,1.2016691,1.2387275,1.2038405,1.1015499,1.0002533,1.0190843,1.1606337,1.3102139,1.0527458,1.1460913,1.1138037,1.2582228,1.0577703,0.9825131,1.0098295,1.2235184,1.1526438,0.99916357,1.040459,0.9708767,0.72781575,0.803583,0.7048747,1.086351,0.91430753,0.8779234,1.10877,0.9924109,0.9966737,0.77154505,0.98518974,1.3042575,1.0656102,1.1618261,1.1691225,1.2480049,0.68938196,0.8440331,0.7488029,1.0800322,0.9186527,0.9500847,0.7565867,1.0163152,0.86811984,1.023816,1.1961789,1.134548,0.8197312,0.7983594,1.1080811,0.68254143,0.9448404,1.1542742,0.898975,1.0611987,0.8612583,1.0929309,0.8882052,0.8469103,0.9829159,0.71738327,0.8794294,1.172271,0.94389194,1.1943396,0.874559,1.1497567,0.6157391,0.9564676,1.1424148,0.8395749,1.1881491,1.1730871,1.2269578,0.9863665,1.0891643,1.2960399,0.9180107,0.80941373,0.81273603,1.1635588,0.8371241
bib,1.1924306,1.1394018,1.3146129,0.7110215,1.1158134,1.2205261,1.2748809,1.1375453,0.80297357,0.87110114,0.4702257,1.2497514,1.116129,0.0,1.2357781,0.4606707,0.3797146,1.4528035,1.356545,0.3823645,1.1434327,1.2202609,1.4935933,1.2777624,1.570993,1.317517,1.0913482,1.2644205,1.4049097,0.9601146,1.0928522,1.1079578,0.9896595,0.7001214,0.86727506,1.5178505,0.59162587,1.4881797,0.80098397,0.85210115,1.0159802,1.1517429,0.65162116,1.198598,0.9086245,1.2679862,1.2816708,0.9984559,1.0893502,1.1455017,1.041951,0.793097,1.1723466,1.0751729,1.017219,0.8611883,0.95234275,0.71655583,1.310394,0.6127535,0.8404057,0.871176,1.1105253,0.6691465,1.315507,1.0400114,1.5638809,1.0086032,1.1234822,0.8746184,1.0587962,0.69554114,1.0838244,0.8859196,1.3662732,1.276007,1.2866482,1.2521296,1.3203967,1.39261,0.5836755,0.91512173,0.24175555,1.2274853,1.2514315,1.1970407,1.034659,1.2241681,0.9965985,0.954904,1.1718426,0.8442898,1.17376,1.3097328,1.2080394,0.7974184,0.76155204,0.77333665,0.9947615,0.5512733,0.690679,0.797981,1.3399323,0.7615627,1.3113643,0.6404721,1.4668177,0.8249834,1.3175372,1.464747,0.7931876,0.9742548,0.6185773,0.7124769,0.39084995,1.4309214,1.3225486,1.3596122,0.8339599,1.2935942,0.98023975,0.7016778,1.1114244,1.4937814,1.4920759,0.86983156
bird,0.57081914,1.0258803,0.68599784,1.3316786,0.86146265,0.8477572,0.7540268,0.9204123,1.2759917,1.0237836,1.2991133,0.98589724,1.2645627,1.2357781,0.0,1.2531655,1.0356511,0.8057951,0.7897446,1.213229,1.0417368,0.87743694,0.819335,0.7278594,0.71119773,0.6163722,0.8064085,1.1253761,0.6526449,1.1630455,0.8219298,0.9006891,1.2837216,1.347904,1.1083599,0.56871974,1.2682159,0.7811043,0.7707047,0.97107565,1.2298555,0.9946306,1.347079,0.9597999,0.8473071,0.8987438,0.54256696,1.021121,1.0679886,0.8908014,0.41158426,1.2646756,0.95121074,0.9619466,1.0523424,1.0969294,1.1486251,1.3187267,0.7143958,0.74559915,1.1531353,1.0732635,1.1575764,1.3944056,0.82496804,1.1858184,0.5885679,1.2341815,1.0791351,1.1933879,1.1531575,1.2041306,1.1741524,1.1652595,0.72063196,0.7028543,0.73975956,0.6491624,0.7279248,0.9852686,1.4485161,1.2661294,1.1340371,0.7465085,0.7343122,0.84614813,1.0904133,0.9401238,1.0928133,0.5576365,0.97343713,1.1720799,0.9940249,0.80100656,1.0341835,1.1216563,0.8079442,1.1780372,0.9438226,1.460924,1.1047437,1.2445091,0.9168995,1.1813397,0.90613604,1.2762269,0.68616164,1.296766,0.861898,0.80622315,1.1114235,1.2845584,1.3248084,1.2042395,1.3505437,0.65276766,0.88902867,0.7688689,1.1878531,0.6828196,0.83166164,1.2701982,1.0874602,0.85101026,0.604186,1.1625084
blanket,1.2294669,1.1420138,1.3367963,0.85223234,1.1376305,1.2410116,1.239159,0.91723967,0.8965584,0.82191896,0.23167104,1.2205676,0.85348487,0.4606707,1.2531655,0.0,0.6423682,1.3021234,1.3206258,0.6861269,1.015488,1.0659589,1.3840207,1.2826142,1.4694195,1.2675986,1.0262754,1.0288608,1.3767292,0.81391114,1.149724,1.1351852,0.8656844,0.47020096,0.8655769,1.4430318,0.56147826,1.4263644,0.8639134,0.91942495,0.89878345,1.1332341,0.7488599,1.2436095,0.9851506,1.441811,1.2956153,0.8807902,1.0743402,1.1864439,1.1444796,0.8806995,1.3310328,0.88527405,1.1309311,1.0312161,0.89005244,0.9567748,1.3172958,0.8779474,0.78830874,0.88782066,1.0040958,0.6999987,1.2008111,0.85521066,1.4761281,1.0968422,1.0248921,0.98208904,1.0007905,0.63388276,0.9883654,0.9081409,1.4065229,1.0916255,1.2667408,1.1638933,1.2763267,1.3300188,0.6910088,0.95854753,0.60908926,1.0966574,1.1247418,0.7137142,1.079115,1.0418384,1.0331725,1.044235,1.2063884,0.7425636,1.0534271,1.381777,1.1059022,0.68228155,0.96907836,0.88176954,0.9687919,0.73222786,0.6707213,0.9519814,1.317005,0.8860904,1.2451679,0.6757378,1.426435,0.72671884,1.364953,1.3888249,0.87098795,0.84338546,0.76126057,0.81166047,0.39428288,1.3232527,1.4424577,1.3914294,0.8622844,1.0347537,0.96513176,0.77469975,1.0646996,1.2748883,1.4080684,0.8299171
book,0.992313,1.2877581,1.2100511,0.97142404,1.0295004,1.2157019,1.1614761,0.89149165,0.9446013,1.075925,0.6541787,1.1557581,1.0219105,0.3797146,1.0356511,0.6423682,0.0,1.2086649,1.15922,0.15601134,1.114858,1.1400433,1.2144973,1.1320134,1.3288066,1.0993396,1.2427803,1.2025996,1.2309175,0.9521174,1.0392522,1.0424861,0.96957695,0.8910541,0.9735354,1.2412812,0.68530583,1.26676,0.84027326,0.8074102,1.011822,0.9280403,1.0099691,1.2511749,0.8652362,1.2896101,1.1509435,0.85429657,1.1926361,1.1925232,0.7941867,0.9259919,1.2099156,1.1195182,1.0071075,0.9734562,1.0181603,0.9359185,1.264863,0.5370191,0.90974057,0.97778434,1.0555669,1.0066547,1.1628621,0.97447336,1.3580383,1.1922338,1.1023486,0.9425502,0.9721881,0.8908427,0.97062737,1.0125341,1.3412211,1.2407602,1.2319064,1.1942712,1.1939604,1.1306858,1.0050616,1.140466,0.119313955,0.87027353,0.9411207,1.0525961,1.0855489,1.0425411,1.0190868,0.8926005,1.1519142,0.8725251,0.95205843,1.28767,0.9712073,0.8868791,0.6375725,0.9020055,0.90320504,0.9338787,0.85979044,1.0120525,1.2807713,0.84858835,1.189525,0.9119359,1.3694048,1.0624213,1.213738,1.2998413,0.9428888,0.95759416,0.95882016,0.8686728,0.5762079,1.2605472,1.3802099,1.3287985,0.98148906,1.2253698,0.7875682,0.79028064,1.0488756,1.2432641,1.3316243,0.94567865
bottle,0.95201826,0.97420186,0.5845027,1.3585212,0.8044224,0.67636013,0.8129824,0.8017359,1.182481,1.1505544,1.4213777,0.8229678,1.1848418,1.4528035,0.8057951,1.3021234,1.2086649,0.0,0.445462,1.2680985,1.041641,0.88976914,0.42644078,0.9383494,0.32610834,0.7268468,1.0287274,0.95073587,0.60429174,1.0615157,0.86271495,1.0387658,1.2199492,1.3923004,1.3072238,0.49171185,1.3050056,0.18233049,1.1945202,1.001938,1.160012,1.0356077,1.3185035,0.6795631,1.09356,0.8801739,0.6964425,0.9275109,0.97779644,1.0125521,0.93956405,1.1940945,0.99923176,0.99333405,0.96521026,1.2240751,1.1656439,1.3573315,0.6017373,1.1268282,1.282935,1.0918313,0.51794004,1.471676,0.9065958,1.0868119,0.43888068,1.164128,1.1272162,1.1595454,0.4806127,1.3121561,1.0282127,1.2619905,0.51451683,0.54537225,0.7074504,0.67681587,0.4268527,0.79079944,1.4170372,1.3025575,1.3476182,0.83935654,0.8244135,0.8151392,1.1510041,0.8327676,1.0442235,0.9773996,0.8953543,1.1138543,0.91310734,0.7915878,0.77907795,1.300127,1.1630919,1.3223557,1.1441399,1.3984083,1.0915416,1.3993213,0.86367774,1.1915317,0.6436502,1.2928076,0.5073028,1.1774307,0.83678615,0.79368055,1.0694953,1.240883,1.2861762,1.2202451,1.41455,0.44733393,0.84282947,0.7379074,1.1866856,0.50174594,0.7630198,1.1849673,1.0021849,0.6270606,0.42650878,1.2260386
bowl,0.7477362,1.0971384,0.5693134,1.261127,0.86015993,0.73804283,0.8399527,0.7966075,1.2046154,1.1288891,1.3556385,0.74381846,1.0198454,1.356545,0.7897446,1.3206258,1.15922,0.445462,0.0,1.2377334,0.91401064,0.8221618,0.42956734,0.8505018,0.44409359,0.74295896,0.9994829,0.978443,0.6992411,1.2145045,0.86132276,0.86346114,1.1506361,1.338156,1.1447312,0.49349588,1.3181994,0.37813896,1.2286557,1.1373639,1.14651,0.9712704,1.3358775,0.83379745,1.1371398,0.8571255,0.44713575,0.9618939,1.1762009,1.1075485,0.84369665,1.2773173,0.9364294,1.1000358,1.0694308,1.1809202,1.0194635,1.3090818,0.636584,1.114397,1.2546651,1.1472487,0.9603653,1.3757603,0.7553041,1.2225939,0.45676297,1.2140961,0.94767094,1.0656134,0.9684867,1.3438286,1.1465456,1.1029614,0.5866872,0.53714097,0.81040156,0.76284313,0.4822626,0.7611755,1.348933,1.2429596,1.2813414,0.8354982,0.8382225,0.8094492,0.9606266,0.86144435,0.6511961,0.9998533,0.95307434,1.2263334,0.8705829,0.6114011,0.81683636,1.2103293,1.1391884,1.2688764,1.161308,1.3543559,1.2165112,1.2866147,0.9315491,1.190684,0.39967686,1.2929724,0.51791453,1.3994917,0.8302868,0.7111618,1.1648724,1.2900109,1.2652873,1.1044604,1.19929,0.5438117,0.9155567,0.780989,1.2375778,0.52014565,0.995265,0.83973646,1.0071411,0.8341964,0.4997614,1.1214845
box,1.1860964,1.2730451,1.3019166,0.8901941,1.1052451,1.2603984,1.287666,0.8979164,0.74621475,0.9743468,0.5627929,1.2013246,1.0222287,0.3823645,1.213229,0.6861269,0.15601134,1.2680985,1.2377334,0.0,1.1983746,1.2048488,1.3216224,1.2129823,1.4299961,1.142374,1.2116193,1.1854019,1.271462,0.95053095,1.1186566,1.159692,0.9665142,0.76102567,0.97031784,1.4092175,0.5017561,1.3151205,0.874637,0.8043646,0.9111141,0.9294441,0.8495404,1.2462387,0.91217047,1.3497945,1.3166049,0.847612,1.2375225,1.2257102,1.0533239,0.73355603,1.2063375,1.1922123,1.0421908,0.8770002,1.0137897,0.8698675,1.3129187,0.71707344,0.82270885,0.9086245,0.997665,0.86412454,1.2998999,0.91042835,1.4216654,1.1281406,1.1457716,0.9000207,0.93286204,0.8718461,0.86187774,1.0296638,1.3808411,1.4000763,1.337563,1.2360634,1.2375653,1.158335,0.94277793,1.0408362,0.10251951,1.006088,1.072678,1.2641096,1.1544074,1.0693306,1.069063,0.9998229,1.2492714,0.7752178,0.9393316,1.3391232,0.9601515,0.85781765,0.8180957,0.91339755,0.93880135,0.7717789,0.73813796,0.8803599,1.3011699,0.68903995,1.1767132,0.67262673,1.4637904,1.0249023,1.256231,1.3808889,0.7934348,0.8798325,0.8113392,0.7861095,0.4583577,1.3645407,1.4413857,1.3822494,1.0134971,1.4074222,0.8608971,0.6928178,1.0336803,1.2738291,1.4260443,0.805131
bread,0.9902827,0.96398515,1.0179873,1.0434783,0.999899,0.9825913,0.8591348,1.0062846,1.2335465,1.0756332,1.1416526,1.0880698,0.9869412,1.1434327,1.0417368,1.015488,1.114858,1.041641,0.91401064,1.1983746,0.0,1.1297454,0.9011021,0.9705815,1.0086174,1.1414187,1.1311715,1.0668653,0.9041097,1.1366261,0.84097326,0.6220529,0.8912668,1.1351401,0.45799053,1.0248437,1.2476792,0.9653597,1.0171535,1.0027846,1.14802,1.0775044,1.2018712,0.99426425,0.9794766,0.9714445,1.0221077,1.1062005,0.87248206,1.0109663,0.99255604,1.2429241,1.0651422,0.88612115,1.0510222,1.0615033,0.19058663,1.0926884,1.0786965,0.9938865,1.1775334,1.2316655,0.9629527,1.1900871,0.87956727,1.0852858,1.0604718,0.90023035,0.37759507,0.9363359,0.9874755,0.8888174,1.1400869,0.31441957,1.04301,0.9829273,1.064835,0.99834913,1.0416807,0.98887765,1.0765914,1.2062922,1.1688552,0.9718629,0.96248335,0.7862376,0.48604834,1.0680075,0.42076683,0.9911963,0.893124,1.0768491,0.9695697,1.1239383,0.99051636,0.92310727,0.85857016,1.12958,1.1553601,1.1646672,1.125239,1.0990278,0.83147085,1.1743033,1.116198,1.1826572,1.0445561,1.0049564,0.9268532,0.9466552,1.2707965,1.2044439,1.2841902,1.2138363,0.92871237,0.90967524,0.93870044,0.9928814,1.0917059,0.942726,1.093343,0.8653408,1.0640925,1.1553557,1.0703106,1.1648024
broom,0.7866534,1.0707375,0.96165013,0.9940634,1.0101401,0.9183023,0.9794668,0.8027443,1.0173693,0.93756187,1.1426096,0.82808465,0.97869277,1.2202609,0.87743694,1.0659589,1.1400433,0.88976914,0.8221618,1.2048488,1.1297454,0.0,0.6992004,0.83928746,0.556296,0.78599894,0.90933937,0.8490878,0.958122,0.9471589,1.0297278,0.9356997,1.145177,1.1047943,1.2266032,0.76505667,1.0608065,0.86462325,1.1675962,1.1447526,0.6822276,0.96859163,1.1096399,1.0796953,1.0596997,1.013134,0.727419,1.0062847,1.0445876,1.1620182,0.904936,1.0486183,0.9762719,1.0387309,1.1469463,1.19831,1.1879802,1.1821856,1.021628,1.0934548,0.9404178,1.0467803,1.1094303,1.1504347,0.78239214,0.9663825,0.71614766,1.0640104,1.0048758,1.1078086,1.0817535,1.178131,1.056008,1.2447509,0.9998628,0.8019304,0.8536949,1.0046818,0.94869065,0.6973414,1.0842137,0.94877255,1.1868317,0.84932244,0.8536702,0.8922398,1.1243708,0.8336588,1.1426885,1.0233517,1.0556898,1.0842866,0.8921015,0.92032856,0.59569293,1.1770145,1.1309608,1.1278017,0.9041872,1.1934464,1.1700306,1.2473607,0.90552956,1.2068834,0.7489353,1.0316592,0.8947214,1.0386561,0.96468425,0.8665632,1.0097724,1.0935462,1.053145,1.0170467,1.2030369,0.95775735,0.99576026,1.0195566,0.99780977,0.7578201,1.0885596,1.17987,0.8511468,0.56246495,0.8734071,0.6929844
bucket,0.8409621,0.9279441,0.790799,1.2633729,0.882125,0.7147358,0.79773074,0.6994972,1.0865992,1.201618,1.4981763,0.75114214,0.90235823,1.4935933,0.819335,1.3840207,1.2144973,0.42644078,0.42956734,1.3216224,0.9011021,0.6992004,0.0,0.7574645,0.25285125,0.6378233,1.0224835,0.74229026,0.7027215,1.0942081,0.81388396,0.8708001,1.0892029,1.3940927,1.2334981,0.56511307,1.2952492,0.30445737,1.2066823,1.0569978,0.94811046,0.9028508,1.3550057,0.7761194,1.0654811,0.84809446,0.6252439,0.96673894,0.98891014,1.0488207,0.83485156,1.2201518,0.95825416,0.9141264,0.9830576,1.2893611,1.1217487,1.3205546,0.7438047,1.1786164,1.2971365,1.1951115,0.8366718,1.4004014,0.66288424,1.0312895,0.48341256,1.1798351,0.96237326,1.204395,0.8183157,1.2378978,1.1477613,1.1352276,0.7761567,0.49844545,0.7612569,0.86021745,0.75865364,0.46134418,1.3246307,1.2036494,1.4136403,0.77349603,0.77178264,0.7243882,0.9916191,0.75238675,0.9245937,0.9331185,0.8765056,1.2035022,0.8654709,0.79959744,0.57334125,1.3086435,1.1192981,1.224023,1.0716879,1.4198207,1.2779316,1.367631,0.8734728,1.2276303,0.5342902,1.3020086,0.68142843,1.2048534,0.7789522,0.6526153,1.1678039,1.2105215,1.3545036,1.3187772,1.4231591,0.47480154,0.8324221,0.83003557,1.1282766,0.48265266,0.9765473,1.2375573,0.90373737,0.51539654,0.6133738,1.0523331
butterfly,0.55946714,0.88424146,0.9017022,1.183099,1.0196306,0.87459356,0.8195723,0.9889463,1.1997409,0.9710627,1.328429,0.75603294,1.0423918,1.2777624,0.7278594,1.2826142,1.1320134,0.9383494,0.8505018,1.2129823,0.9705815,0.83928746,0.7574645,0.0,0.6491015,0.69636625,0.7659211,0.97722125,0.6950855,1.1832411,0.96790224,0.87040454,1.1679626,1.2605425,1.2210351,0.67996895,1.3355196,0.8616812,0.8965098,1.0410556,1.1015238,1.0375994,1.2117391,0.8137309,0.9393296,0.8019593,0.50289977,1.0162754,0.9576229,1.0237502,0.6636781,1.2403394,0.86420125,0.9316222,1.0148699,1.119035,1.1246848,1.2300377,0.8215594,0.9074976,1.262233,1.0869071,1.1470611,1.2065811,0.84262896,1.1374747,0.5689205,1.0362194,0.88695014,1.1453811,1.1665709,1.2183521,1.1450659,1.1646881,0.827902,0.8004081,0.8639766,0.8990578,0.8947414,0.8349755,1.2111405,1.0411983,1.198137,0.9175053,0.9138173,0.83184123,0.96974695,0.8942563,1.0347466,0.79388136,0.8157591,1.2393527,1.0925648,0.7368391,0.9075111,0.9872028,0.9718804,1.1105237,1.107972,1.2860035,1.2514635,1.1299556,0.8231526,1.2154559,0.7921934,1.2486036,0.69925743,1.1149832,0.7959873,0.7994565,1.1630766,1.1099318,1.2790473,1.195297,1.4030795,0.77894485,0.70000553,0.7182657,1.2563183,0.8204992,1.1173574,1.3045453,0.961478,0.88595235,0.6910239,1.0510796
can,0.69982606,0.8969533,0.64896476,1.3090497,0.93526775,0.6751423,0.7655566,0.77631027,1.154859,1.1261153,1.5525775,0.60022163,1.0193336,1.570993,0.71119773,1.4694195,1.3288066,0.32610834,0.44409359,1.4299961,1.0086174,0.556296,0.25285125,0.6491015,0.0,0.59700286,0.8990633,0.74081725,0.52514815,1.0866787,0.94582516,0.90498555,1.1788994,1.4401174,1.3642735,0.28230286,1.4078565,0.2395258,1.2922187,1.1452171,0.9734971,0.9379566,1.3231369,0.72190505,1.0844563,0.6679931,0.42418873,1.0117598,0.99619746,1.0543001,0.8550097,1.31827,0.7857322,0.9837998,1.0590587,1.2506158,1.264049,1.3954049,0.5813455,1.1978936,1.2894166,1.0968126,0.9863468,1.4158828,0.6544051,1.1031783,0.22405457,1.1129676,1.0521048,1.3257594,0.94368005,1.3790634,1.1722176,1.3263068,0.4788202,0.44542813,0.6003014,0.7305549,0.5016421,0.52299607,1.3697584,1.1534046,1.4896009,0.7411437,0.7254448,0.7240516,1.063493,0.7704866,1.0979885,1.0224504,0.88859,1.2578764,0.895981,0.61280054,0.5870038,1.2811718,1.2113391,1.2828486,1.1513001,1.4504368,1.3857024,1.346143,0.6815502,1.2741926,0.43151015,1.294642,0.38222885,1.2400701,0.7451949,0.59974515,1.2360741,1.2717862,1.3429668,1.3686849,1.6258025,0.46673644,0.61799484,0.5850178,1.2336183,0.4007647,1.042182,1.4191852,0.89771366,0.42118347,0.331576,1.0742035
car,0.8021977,1.0463313,0.82852274,1.2586362,0.9364495,0.8759646,0.9105878,0.7551675,1.0809529,1.0033702,1.2562557,0.84249526,1.0127404,1.317517,0.6163722,1.2675986,1.0993396,0.7268468,0.74295896,1.142374,1.1414187,0.78599894,0.6378233,0.69636625,0.59700286,0.0,0.8801849,0.8429801,0.69772905,1.1520813,1.0223563,1.1272913,1.1546383,1.2276607,1.2725377,0.6444597,1.1131576,0.67142195,0.99776214,0.9755464,0.8143168,1.0429028,1.2031729,0.9339338,0.96743804,0.9686897,0.66314054,0.88661253,1.1661124,0.9747153,0.76222193,1.1377786,0.94537205,1.0565268,1.1605585,1.1452321,1.2042341,1.3074934,0.7889631,0.97887564,1.220001,1.0465766,1.0611243,1.3039169,0.8869237,0.9291852,0.5326021,1.1611127,1.0561204,1.2174461,1.0457871,1.380401,0.9462079,1.2717468,0.77936697,0.794489,0.7957864,0.88580185,0.74815285,0.76420075,1.3600057,1.1986166,1.1891649,0.7678633,0.77562237,0.9094568,1.1638213,0.677005,1.144526,0.76096755,0.86019963,1.1651676,0.89720845,0.87942034,0.85344386,1.1895518,1.0145313,1.157271,1.0034219,1.340035,1.1598489,1.2176006,0.87708175,1.1296883,0.7692697,1.1261941,0.7389114,1.3223894,0.91345274,0.79669666,1.0153921,1.0274471,1.2195795,1.1945176,1.3023081,0.676839,1.0112972,0.8259163,1.2296138,0.808043,0.91609174,1.3103584,0.932563,0.65430295,0.5611216,0.73442084
cat,0.91666526,1.0461856,1.0119834,1.0052832,1.1058022,0.97167826,1.0197271,1.0629684,0.98533285,0.44529665,1.0092517,0.7569599,0.9093473,1.0913482,0.8064085,1.0262754,1.2427803,1.0287274,0.9994829,1.2116193,1.1311715,0.90933937,1.0224835,0.7659211,0.8990633,0.8801849,0.0,0.9006705,0.98481464,1.0949701,1.1202309,1.070637,0.9795811,0.9737117,1.0750039,0.9389137,1.0666837,1.0741978,0.7763344,1.0729759,0.9700636,1.1492144,1.0021775,0.8979356,1.0163615,0.9600469,0.786775,1.0456723,1.0468715,1.0006185,1.0038201,1.1131097,0.96109366,1.0210698,1.1611342,1.0362246,1.181814,0.9997447,0.8615128,1.0261213,1.1456097,0.95828885,1.1544433,0.9288158,1.0369761,1.1146662,0.80535734,1.0002791,0.9542731,1.2164559,1.1295004,1.0858912,1.0792152,1.1185355,0.8597124,0.92336476,0.9289811,0.80074346,0.948966,0.9813369,0.9995087,0.81143785,1.1588287,1.1049743,1.0815475,0.8931024,1.1073384,0.9571796,1.2074775,0.8718975,0.9713177,0.95362866,1.1117429,0.8472959,1.0010259,0.8521539,1.0515494,1.0321574,1.2106682,1.0631036,1.0534033,1.0385857,0.97977823,1.0996858,0.82185024,0.9765946,0.8036788,1.0968719,1.0314355,0.94195175,1.0268688,1.0046637,0.9832826,1.1414808,1.1890974,0.9753888,0.87842864,0.8975086,1.1391627,0.94746643,1.1369984,1.2110643,0.9137781,0.9731059,0.82881796,0.88212556
chair,1.0167242,0.9010383,1.2391096,0.98811287,1.2051127,1.1800758,1.1581322,0.7877679,0.7908791,1.0132165,0.9330352,0.688708,0.35436237,1.2644205,1.1253761,1.0288608,1.2025996,0.95073587,0.978443,1.1854019,1.0668653,0.8490878,0.74229026,0.97722125,0.74081725,0.8429801,0.9006705,0.0,1.0989894,0.9414107,1.1250153,1.1893889,0.9118427,0.6884648,1.2510939,0.9259329,0.8287251,0.9328904,1.2120045,1.0523968,0.6748177,0.76229143,0.8139545,1.1840504,1.1522548,1.0851766,1.024305,1.0413817,0.9557498,1.0857172,1.2025937,1.1930025,1.0288361,0.99209076,1.3618367,1.1070069,1.1108009,1.1936734,0.9485945,1.189202,1.1703757,0.8784758,1.0639039,0.8000754,0.7511195,0.615787,0.8256903,0.9763381,1.1316652,1.3205147,1.017664,1.0500348,0.75863445,1.234105,1.1020861,0.89575386,0.8847751,1.0281706,1.073361,0.49211186,0.9299057,0.72169566,1.2662532,0.9207982,0.9253247,0.77008986,1.1980155,0.8697376,1.2399521,1.2028904,1.0297394,0.770608,0.7830236,0.94195783,0.7057731,1.0128989,1.1890321,1.0420543,1.0366522,0.92169785,1.0719956,0.9244527,0.7745644,0.95226777,0.7016315,0.86569893,0.94150555,0.94250715,1.1137586,0.83788514,1.1289629,0.59162074,0.9751081,1.2596903,1.0992517,1.0342455,1.0010873,1.036487,1.1253057,0.87112516,1.1370549,1.1930118,0.98739564,0.48365402,0.8972864,0.906775
