,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
couch,0.8323638,1.4251373,1.1836623,0.7952696,1.2644569,1.2975149,1.2672858,0.8852231,0.73691916,0.43061805,1.2383149,0.36185837,0.8156066,0.73517644,0.55363655,0.95438343,1.2907783,1.1403067,0.5156746,1.2564564,1.153802,1.1207874,1.1350117,1.0191557,0.8420367,0.9521315,0.7957059,0.33254427,1.010614,1.2350533,0.5450898,0.8275454,1.1031859,1.3252463,0.0,1.2721732,1.4374843,0.3555835,1.2585542,0.7751374,0.92470765,0.7976732,0.67513025,0.51033866,0.76284885,1.2836926,1.3138919,1.1791778,0.96728057,1.2623897,1.0059927,1.1368482,1.0884148,1.1068914,1.2575096,1.1512455,0.9424716,1.3476183,1.0111177,1.3557632,0.93365055,1.0547092,0.9800408,1.1340503,1.180228,0.8241699,0.96726584,0.99092287,0.6799684,1.1321201,0.40889955,1.184571,0.97462225,1.0406498,0.99093235,1.0061706,0.79159725,1.0996203,0.71655387,1.1091543,1.4114623,0.9860915,1.2826302,1.3274305,1.3268135,0.69386756,0.8442414,0.7299366,0.7156484,0.7951168,1.4242492,1.3631197,1.0359814,1.2101144,1.0927494,1.0892798,1.1750786,1.0809891,1.1768491,1.1968895,0.6220759,0.8942767,1.234315,0.6121357,1.1571293,0.81824785,1.2068336,0.70402557,0.99141186,0.7341808,1.2885814,0.79317385,0.8017091,0.77167165,1.3809131,0.76016986,1.4075522,1.2557774,1.1130693,1.2115235,1.2020789,1.3659878,0.5006057,0.7966578,0.59261894,1.3784748,1.2957654,1.4308994,1.1139292,0.9206584,1.2812176,0.80551064,1.0836539,1.4235342,0.62600064
cracker,1.0548929,0.7803558,0.8159889,1.1025449,1.1524026,1.1643203,0.71757394,1.0713555,1.0810841,1.2914417,1.0418532,1.1789502,1.214427,0.9308756,1.1291486,1.0822375,1.0476747,1.0474306,1.1899556,0.3754499,1.1739514,1.1283737,1.0175791,1.1686847,0.949715,1.0177975,1.1670063,1.2853701,0.6018889,1.0566195,1.2812147,1.1250408,1.0305227,0.46388698,1.2721732,0.0,0.79175496,1.3367887,1.0814189,1.0524116,0.86249506,1.1322727,1.307687,1.1667612,1.195285,0.8336113,0.7923879,1.032866,1.0630914,0.78113127,1.1649544,0.84759593,0.9159181,0.9065514,0.93062884,0.8150703,1.0144218,0.77379775,0.71737283,0.809947,1.0701518,0.8506328,1.0386208,1.1556857,0.9931454,1.056667,0.9655371,1.127885,1.157659,0.9568566,1.1964793,1.0322102,1.0013537,0.6797596,0.8992394,1.2111859,1.0532243,1.2042402,1.0110134,0.54039264,0.83747077,0.9263458,0.829667,0.7441658,0.7689359,1.3205823,1.0135969,1.2199248,1.1561849,1.0808275,0.7940288,0.7927704,1.1492035,0.5219772,0.91438895,0.6455007,1.0933931,0.85068357,0.96339405,0.8130802,1.2953577,1.1976899,0.9040055,1.3636651,0.84401584,1.1161273,0.9941386,1.1772249,1.0031037,1.1964955,1.1085913,1.2681041,1.1389731,1.1420561,0.7859895,1.1138103,0.7869129,0.7256648,1.0368466,0.935115,0.9695443,0.9033716,1.2312539,1.1650031,1.2193568,0.9499465,0.72126335,0.72187245,0.89636236,1.1060637,0.92174405,1.1238062,1.1921126,0.74922407,1.2980903
crayon,1.4802642,0.38163245,0.93045104,1.4571767,0.6676774,0.52032226,0.65142536,0.78424776,1.5077436,1.609615,0.38327688,1.2321916,1.6082611,1.4487065,1.5310001,1.0526495,0.23589218,0.71172357,1.3600497,0.7708972,0.45171756,0.5873046,0.75601935,0.610634,0.9460728,0.9207954,1.314829,1.4313698,1.1132759,0.58440185,1.4388862,1.419003,0.9681785,0.74024105,1.4374843,0.79175496,0.0,1.6070844,0.35829848,1.3693849,1.022412,1.2653617,1.1852074,1.1882465,1.5386728,0.8603667,0.7844948,0.54645,1.3378901,0.7592737,1.265937,0.73922896,0.6901389,0.896245,0.5923623,1.0419945,1.4243356,0.3568461,1.1092542,0.5776012,1.3300431,1.0767299,1.306156,0.726346,0.8633109,1.0516797,1.2105953,1.1284187,1.4686033,0.53408056,1.4795594,0.5324773,1.1154897,0.99422,1.2341988,1.0478461,1.566607,0.5868073,1.3099604,1.1976318,0.24304664,0.8569862,0.7395555,0.6804986,0.62543094,1.2245951,1.4422787,1.5855751,1.4682856,1.3950202,0.078926325,0.091324866,1.0961499,0.9154309,0.40259862,1.0270183,0.48105967,1.0231154,0.94531983,1.0231515,1.4529884,0.6491486,0.6745594,1.3885927,0.7123546,1.3445011,0.6202568,1.5886631,1.2180775,1.468534,0.42522657,1.4572284,1.1907692,1.4004358,0.16818333,1.3233548,0.31176305,0.69030213,0.906326,0.6508565,0.6239792,0.4998104,1.4749175,1.5117564,1.5801872,0.41477716,0.74858564,0.35284042,0.90191513,0.9689525,0.5295899,1.5249888,0.4142661,0.28886068,1.1899931
crib,0.68168074,1.5831785,1.2756987,0.6357567,1.3632839,1.4246901,1.4144418,0.85049325,0.5736531,0.24165928,1.4218402,0.52232754,0.5237066,0.67201537,0.4269253,0.8035151,1.4346762,1.2491088,0.476274,1.4177403,1.2054462,1.256684,1.2321379,1.1715297,0.97220504,1.1144433,0.7139172,0.35891414,1.1536405,1.332375,0.33368397,0.7089041,1.027637,1.4095716,0.3555835,1.3367887,1.6070844,0.0,1.3735452,0.59593517,1.0078369,0.83237684,0.5370135,0.5221806,0.6216717,1.1692468,1.403485,1.2557895,0.7849908,1.3492596,0.8579314,1.1395303,1.1803215,1.2018725,1.3233697,1.161298,0.65643597,1.4393766,1.1364,1.4140121,0.8190491,1.1037393,0.9371663,1.2459209,1.2559763,0.8149395,0.9414845,0.9957326,0.6256037,1.2767494,0.23677951,1.3072358,0.9497064,1.1681739,0.9375513,0.9473779,0.6574506,1.1907384,0.7083749,1.1226193,1.5225718,1.1132103,1.2807629,1.3491981,1.4795258,0.6548642,0.73379695,0.5125104,0.63526845,0.58776784,1.5676591,1.5218196,1.017643,1.2571844,1.3450192,1.1433687,1.2647979,1.0900065,1.2100582,1.1916723,0.5606283,1.1413611,1.2240822,0.465141,1.2786635,0.73797905,1.3277756,0.5441551,1.0051785,0.6519412,1.3929789,0.52399796,0.8273139,0.58403397,1.5982506,0.67883164,1.4652181,1.3710703,1.2208627,1.3342171,1.3337697,1.4547758,0.52959925,0.60563153,0.41552627,1.5047019,1.3607047,1.498886,1.0904427,0.97950333,1.4338516,0.5210876,1.1908118,1.5148567,0.66553104
cup,1.5533347,0.50523686,1.081203,1.4204106,0.6548264,0.46920478,0.8348632,0.6792974,1.2746857,1.5388985,0.6360799,1.0982678,1.5057745,1.5137856,1.5212106,1.0254333,0.15218139,0.40528643,1.1333702,0.76379085,0.5013288,0.2743559,0.82404965,0.47689325,1.0354819,0.9085025,1.2808033,1.2300304,1.2981408,0.4662459,1.2888259,1.0909557,1.1171389,0.73117584,1.2585542,1.0814189,0.35829848,1.3735452,0.0,1.2081807,1.0304128,1.1592716,1.0168073,1.0768192,1.4400809,1.0606039,0.6648104,0.72172654,1.3236351,0.98457044,1.2569795,0.9477961,0.6727977,1.0210525,0.72491074,1.2138236,1.3404204,0.6210635,1.2446434,0.69652796,1.3356688,1.1360505,1.3361142,0.6892944,0.9391153,1.0917875,1.2513423,0.7150337,1.4744705,0.73092955,1.3395474,0.56063926,1.200277,1.149718,1.1696191,0.76813793,1.4855989,0.6305922,1.2222816,1.1311698,0.43551052,0.82948524,1.01042,0.88921607,0.6734338,0.95436513,1.3875797,1.4518611,1.408824,1.3538547,0.46743608,0.45346403,1.0177479,1.07409,0.5992421,1.0515773,0.39148152,0.8189746,1.0584557,1.0722672,1.2123876,0.5704902,0.8753882,1.0734012,0.79590327,1.3584714,0.7311636,1.5089738,1.2423891,1.3687721,0.36584926,1.3425822,0.92239374,1.4067516,0.45944893,1.2290171,0.4635868,0.8312552,0.7412229,0.71335334,0.70854264,0.5108136,1.3390982,1.3850979,1.4184973,0.38961637,0.9892226,0.65298736,1.091395,0.8939495,0.5880283,1.2801493,0.42784357,0.64081585,0.972961
dish,0.83115155,1.2522268,1.1391314,0.92081887,1.1485323,1.2796128,1.1150897,0.99800414,0.7365806,0.64269483,1.3764365,0.9483068,0.82686293,0.63330555,0.84702766,0.90623873,1.204336,0.8921664,0.8225087,1.1175692,1.2834008,1.2850461,1.214209,1.3322477,0.87825185,1.1274143,0.898085,0.8261304,1.0135204,1.0651331,0.64985514,0.7833762,1.0101855,1.0726655,0.7751374,1.0524116,1.3693849,0.59593517,1.2081807,0.0,1.0901262,0.9783704,0.867418,0.79338235,0.8272387,1.2043039,1.1648628,1.1913975,0.83332205,1.3223443,0.75359374,1.1213217,0.9823656,1.1872818,1.0692853,0.9560105,0.74751955,1.2527368,1.1966426,1.0974464,0.8565382,1.0434481,1.061032,1.2530539,1.0950689,0.9277388,1.0272512,0.8851083,0.92325217,1.169728,0.678544,1.1738945,1.1429003,0.82742405,0.78567183,1.0487134,0.86440325,1.2453722,0.79148257,0.8755566,1.2482108,1.1767696,1.3272505,1.3325404,1.2837191,0.89108175,0.7705705,0.77211016,0.91789544,0.8010654,1.340546,1.2654388,1.0643209,0.9716604,1.4131776,0.8348315,1.065237,0.69711965,1.1352569,1.1576964,0.84490705,1.1125238,1.2580756,0.7764931,1.1351917,0.8431538,1.2368042,0.7954947,1.0800369,0.9288407,1.2568095,0.7065575,0.818904,0.7595466,1.3596647,0.66582227,1.1732537,1.2890314,1.0783191,1.0191185,1.1024798,1.2899591,0.8064747,0.9149217,0.5472509,1.2420307,1.3288088,1.3225207,1.0862968,1.0854485,1.1993148,0.63847667,1.2589803,1.3769114,0.84587234
dog,0.88362586,0.97199553,1.0063916,1.2473688,1.0072936,1.1144403,0.90508807,0.97706777,1.1264148,1.0117626,1.020107,1.1177593,1.0849983,0.86961365,0.9722308,1.223072,0.9249094,1.124488,1.2060701,0.8386905,1.0707443,0.9103912,0.89671165,0.89285624,0.9770123,1.1718309,0.6010991,1.0631608,0.9028333,0.8587544,1.1173358,1.1598094,1.2048782,0.7345861,0.92470765,0.86249506,1.022412,1.0078369,1.0304128,1.0901262,0.0,0.6835339,1.126617,1.2052466,1.0744869,0.9972664,1.0031129,1.1011742,1.1073455,1.1480536,1.073049,0.94890887,0.71137667,1.0943203,1.1611984,0.7905345,1.0045096,1.0151057,0.7030722,1.0909486,1.1027567,0.8957604,1.0729971,0.8858707,0.89956653,1.0549507,0.9267249,1.1121818,1.0096202,1.2366143,1.0392588,1.0930052,1.1742516,0.99662614,1.0702643,1.1403602,0.88633215,1.1040909,0.8462077,0.9249929,0.92328537,0.902343,1.1121074,1.0169294,1.0537137,1.2374972,0.7058412,1.0206072,1.0655893,1.2098502,1.0379,1.0468999,1.0035769,0.92590654,0.70735765,1.0898658,0.8133613,1.1662705,0.9016615,1.0622177,1.000993,0.87773526,0.9826895,1.2042301,0.6046959,0.8719709,0.93398833,1.0286744,0.89969647,1.0968807,1.0041991,1.1124175,1.204653,0.92459553,0.8431553,0.9038361,0.91604096,0.68672675,0.9261213,1.1443963,1.0500442,0.98455316,0.96686244,1.0062209,1.1651336,1.0367882,1.056251,0.9410291,1.2102071,0.96221375,0.8011421,1.2564588,1.0861691,0.96862733,1.0747296
doll,0.6787329,1.0038682,0.64047146,1.0031172,0.9161096,1.1721269,0.96927375,1.1362104,1.1157076,0.85117894,1.3193543,1.0557585,0.8679471,0.97793406,0.90591985,0.88470256,1.1597916,1.1533654,0.9422787,0.9701339,1.3069866,1.0996093,0.99897176,1.2367235,1.1624781,0.6945257,1.1062392,0.98965067,0.97083044,1.0400805,1.1225555,0.9011287,1.2574573,0.9674232,0.7976732,1.1322727,1.2653617,0.83237684,1.1592716,0.9783704,0.6835339,0.0,1.2395884,1.1002069,0.9276233,1.1525671,0.9308314,1.2358117,0.9430461,1.0420308,0.8802129,0.9990028,0.91915303,0.9795958,1.1243128,0.625539,1.0092909,1.2649727,0.59451175,0.9937009,1.0086443,0.58402973,0.9310458,0.9208856,0.83317405,1.1920868,0.9940971,0.8756437,1.0839641,1.1996866,0.9924906,1.2844331,1.0887523,0.9348997,0.9183633,0.9503837,0.46660995,1.2253186,0.9995635,0.87811106,1.2011702,1.024647,1.2388234,1.180932,0.9443666,1.2022941,0.7456808,0.8943135,1.1375735,1.0265044,1.2971791,1.2165759,0.7783147,1.0070479,1.1990486,0.94835925,1.0853455,1.1310836,0.85330623,0.77181846,0.87931603,1.0469801,1.208669,1.1031029,0.9528382,1.0686655,0.92350453,1.0268949,0.87886685,1.055386,1.1527306,0.9469021,1.1665547,1.0223334,1.2118186,1.0293187,1.2344716,0.90348005,1.0939428,1.1006501,1.1499691,1.0180185,0.73909426,1.0485177,0.94527143,1.139381,1.0887481,1.2173336,0.9906874,0.95936733,0.5993062,0.9446291,1.2522035,1.241148,1.1403205
door,1.1418339,1.3849586,1.3441589,0.8626734,1.2718375,1.0241836,1.3032355,0.741159,0.62404263,0.7313868,0.87275314,0.6272073,0.93726945,0.9883265,0.8832272,1.0432174,1.0923892,1.0997275,0.7658605,1.3451977,0.58516735,0.9210628,1.094294,0.6854048,0.89773285,1.1289475,0.6372351,0.5733351,1.134398,1.0922123,0.24825299,0.9881902,1.0336477,1.2884185,0.67513025,1.307687,1.1852074,0.5370135,1.0168073,0.867418,1.126617,1.2395884,0.0,0.45698416,0.94802815,1.0474954,1.2819433,0.91143423,1.055133,1.1548114,1.1055663,1.1731889,1.0844928,1.0833526,1.0675544,1.3247055,0.8377146,1.2254735,1.3755133,1.35403,1.0308272,1.2840283,0.94905925,1.1398575,1.2238536,0.70911896,1.1335219,1.0440123,0.8818264,0.94079554,0.5571714,0.89465606,0.944125,1.2098459,1.1331108,0.9153362,1.1669686,0.70655036,0.91099423,1.2562654,1.2502227,0.9547374,1.0426143,1.1961362,1.3235655,0.5045448,1.1380024,0.8588748,0.76458156,0.85935384,1.1521525,1.1741818,1.0792246,1.2589779,1.0237781,1.2505131,0.9849166,1.0271659,1.241625,1.3191531,0.8893162,0.8874991,0.9607913,0.28085595,1.111188,0.91105366,1.2361485,0.8329029,1.2520163,0.81977636,1.0634648,0.66900045,0.75526035,0.9154412,1.2739241,0.8219959,1.1725028,1.2526549,0.9195174,1.0689389,1.0626534,1.2401164,0.8734006,0.79760057,0.8404833,1.3196447,1.1777495,1.2322824,1.1086718,0.92668086,1.41287,0.8599709,0.61991346,1.2129625,0.3666603
drawer,1.1120036,1.3738513,1.2640371,1.0039965,1.205295,1.1039637,1.196013,0.6044833,0.6984899,0.7325989,0.96759355,0.30835974,1.0663481,0.9977213,0.8258705,0.7096142,1.1900916,0.84825885,0.320665,1.2410387,0.82620096,0.99301016,1.082104,0.821576,0.7241931,1.0097097,1.0137624,0.52801704,1.0847147,1.0773772,0.5573606,0.8887621,1.0517856,1.2277958,0.51033866,1.1667612,1.1882465,0.5221806,1.0768192,0.79338235,1.2052466,1.1002069,0.45698416,0.0,1.0999583,1.1152843,1.2253407,0.93215406,1.1044618,1.2011355,1.0967553,1.0939472,1.0783391,1.103173,0.949072,1.1993575,1.0313718,1.2886213,1.1373992,1.1624013,1.1287503,1.1860689,1.1460615,1.2079617,1.1676835,0.76427644,1.0224866,0.96819246,1.0254774,0.8288827,0.5506791,1.0069236,1.0907601,1.0264393,0.9864855,0.90072775,1.1118354,0.8591677,0.90836036,1.1515442,1.3346698,0.8370657,1.1968664,1.2246494,1.2962534,0.48770893,1.1077219,1.0424006,0.96197015,0.6749017,1.1665263,1.120003,1.0100589,1.1134634,1.0368516,1.0624403,1.0621585,0.8009274,1.1911979,1.3004158,0.6703591,0.69250184,0.9920118,0.43382514,1.243684,1.091982,1.1247776,1.0052487,1.1042861,0.97015435,1.1618711,0.8988921,0.52391887,0.9796036,1.2752248,0.9048128,1.2052653,1.1856494,1.0168544,0.977996,0.99632925,1.210145,0.70264095,0.9192783,0.80785,1.1172222,1.2363927,1.3024951,1.1406944,0.85466605,1.2277213,0.65340304,0.83178097,1.2947924,0.7255902
dress,0.72260666,1.3733516,1.0598202,0.4303378,1.294545,1.4001763,1.3087311,1.329918,0.76159865,0.54002047,1.4200168,1.0153886,0.18325019,0.7157723,0.66344833,1.0993813,1.4181054,1.427282,0.94675654,1.3528411,1.3941643,1.3160851,1.2732431,1.2598453,1.1078643,1.1173502,0.7974252,0.7382444,0.9889148,1.4411039,0.67254186,0.8344135,1.0336609,1.3461206,0.76284885,1.195285,1.5386728,0.6216717,1.4400809,0.8272387,1.0744869,0.9276233,0.94802815,1.0999583,0.0,1.0804302,1.2683201,1.2548172,0.5610709,1.056372,0.7975625,1.2828186,1.2874594,1.0042334,1.397152,1.1436049,0.62870437,1.2470781,1.1030343,1.3706752,0.50178194,1.0136797,0.69744116,1.1141965,1.1531959,0.97083527,0.9866765,1.0462387,0.34226596,1.3381319,0.6592954,1.4002193,0.7771187,1.1563325,0.93518406,1.0942128,0.70612466,1.3456736,0.83298135,1.0827628,1.3587521,1.3114659,0.8947715,1.1627839,1.2899106,0.893851,0.79996884,0.21597445,0.33493632,0.7792948,1.5234588,1.5271639,1.0552632,1.157197,1.3612331,1.1103213,1.405211,1.2659727,1.09707,0.9076477,0.78032756,1.4137874,1.2418642,0.8233976,1.177949,0.5683551,1.2923689,0.16722405,0.8835691,0.33756036,1.4079268,0.58753663,1.1021069,0.5977937,1.4172566,0.8087158,1.3666933,1.3797019,1.2980889,1.3651803,1.4201062,1.3175876,0.725021,0.34957695,0.562658,1.4696171,1.0384284,1.2925992,0.9087391,1.1704042,1.4210563,0.7937,1.3832556,1.3140206,0.97223264
ear,1.220447,0.89982533,0.92975724,1.0774415,1.0834736,1.0156113,1.0516058,0.9775288,1.2221708,1.2147307,0.7628053,1.2040536,1.0163682,1.0519235,1.1054127,1.152371,1.034519,1.1835638,1.2167773,1.0487891,0.87247515,0.89287555,1.1277363,0.7412672,1.0679842,1.188025,0.99119943,1.1286625,1.0455583,1.1651112,1.169649,1.2085599,0.98315847,1.0286555,1.2836926,0.8336113,0.8603667,1.1692468,1.0606039,1.2043039,0.9972664,1.1525671,1.0474954,1.1152843,1.0804302,0.0,1.1204575,0.7609273,0.8973815,0.6009809,1.1977133,1.1205198,1.1288694,0.8047242,1.061894,1.1430677,0.97347313,0.5342018,0.9441179,0.9901869,0.81020105,1.0571747,0.869725,0.79216063,1.0179772,1.0738916,1.0256037,1.1969707,0.9920427,1.0662265,1.158628,0.9740529,0.87734437,0.99153197,1.0877461,1.1546758,1.107928,1.0091625,1.1212081,1.1933733,0.7786719,1.0175084,0.42027068,0.36444867,1.0151027,1.1789685,1.1677122,1.1241262,0.9748307,1.1844319,0.8107122,0.9343876,1.1781555,1.0419822,0.7450744,1.0575415,1.0220791,1.1970308,0.9747054,0.9854911,1.139637,1.1489052,0.39878213,1.2081428,0.81448996,1.0629345,1.1206459,1.0008194,0.9233531,0.99268585,1.0587387,1.1424948,1.3119389,1.0828938,0.7595068,1.1968608,0.9247756,0.7934612,0.8994477,1.1544833,0.9323683,1.0203178,1.1363542,0.9751902,1.2827863,1.005556,0.49589497,0.5425867,0.9063314,1.0579648,1.1207024,1.2078834,1.0023036,0.44339883,1.160409
egg,1.2516922,0.4212953,0.809906,1.2333604,0.4872499,0.53473836,0.81016636,1.0721048,1.0556214,1.3406968,0.9995021,1.1777406,1.2716662,1.3559124,1.2969807,1.0007433,0.7342677,0.620538,1.102538,0.39543116,1.0267943,0.8029151,0.93421406,1.0389085,1.2324362,0.70270145,1.3424121,1.3638175,1.0202091,0.522959,1.3439842,1.0743891,1.1072752,0.40559494,1.3138919,0.7923879,0.7844948,1.403485,0.6648104,1.1648628,1.0031129,0.9308314,1.2819433,1.2253407,1.2683201,1.1204575,0.0,1.033301,1.1889044,0.8627375,1.0695916,1.0096993,0.9773567,1.0052524,0.7985799,0.97081774,1.39396,0.92233145,0.9662636,0.6806873,1.2193713,0.87632143,1.2282385,0.89276034,0.96905,1.2646278,1.0811585,0.7948569,1.4176179,0.95688486,1.4342301,0.699083,1.1213553,1.0614965,0.8935817,0.87621987,1.1731936,0.9465138,1.3064214,0.59704787,0.66886663,0.8543382,1.0659702,0.8760812,0.25033462,1.2489139,1.1086016,1.3440328,1.4172466,1.1610596,0.8830528,0.80903894,0.9398662,0.848065,1.0166596,0.880043,0.8557781,0.7364446,0.9571461,0.60034704,1.2963829,0.9042236,1.0345192,1.2614439,1.1144704,1.3006681,0.85191566,1.4009458,1.1809254,1.3290105,0.7906959,1.2011122,0.9581474,1.3823484,0.8121902,1.1652656,0.731598,0.7574972,0.76476896,0.769599,0.85543096,0.546771,1.3655424,1.3105338,1.2158029,0.5252477,0.90027803,0.854452,1.1312485,0.9522588,0.60066515,1.103482,1.0273334,0.87919265,1.2058599
eye,1.3258868,0.76323956,1.0050638,1.2226204,0.9335898,0.56415015,1.0172207,0.8309369,1.2484607,1.2356033,0.36318862,1.0496895,1.2780186,1.1820478,1.2305983,1.0670214,0.7057904,0.81773216,1.1156915,1.0879667,0.39342654,0.770365,1.0220768,0.5179474,0.99411255,1.0321004,0.9843723,1.1648514,1.1353496,0.8852498,1.1752107,1.2283642,0.9335451,1.0520145,1.1791778,1.032866,0.54645,1.2557895,0.72172654,1.1913975,1.1011742,1.2358117,0.91143423,0.93215406,1.2548172,0.7609273,1.033301,0.0,1.1371421,0.83956206,1.1573337,0.9889471,1.0780941,0.91219074,0.8923038,1.1763154,1.2079072,0.65713346,1.1804264,0.9767928,1.1370366,1.0648496,1.1928046,0.8525611,1.0632107,1.083376,1.0698495,1.1315147,1.1854516,0.84820217,1.2351491,0.7552711,1.0293921,1.0593295,1.1511213,1.1589867,1.3227618,0.6784297,1.1480722,1.2457906,0.6558406,0.98144823,0.76435304,0.7945127,0.8748924,1.0217422,1.2431555,1.2679415,1.1402714,1.2248324,0.6229852,0.6486927,1.1152143,1.0156174,0.52349555,1.1056728,0.8033922,1.041589,1.0971315,1.164459,1.2507114,0.8491123,0.47110122,1.1052444,1.0361683,1.1446779,1.0159796,1.2344863,1.1907712,1.1431688,0.81280035,1.212841,1.1207621,1.1681442,0.6403494,1.1063206,0.66203797,0.90322196,0.9525318,0.97181374,0.84329766,0.7877873,1.2314589,1.1847456,1.2842257,0.7799143,0.8426721,0.74689615,1.1189601,1.0406257,0.99249864,1.2368404,0.6164998,0.5805206,0.98468125
face,0.8237955,1.143748,0.8845248,0.7044284,1.205069,1.221116,1.2657433,1.2748829,0.9837774,0.74600494,1.325311,1.1471597,0.5506991,0.715289,0.8899721,1.0293527,1.2679977,1.2880594,1.0281686,1.1829684,1.299864,1.355908,1.2302644,1.3326243,0.9913593,1.1243861,0.96007395,1.0357152,1.0659943,1.2783104,0.79955876,0.90334946,1.009079,1.1789167,0.96728057,1.0630914,1.3378901,0.7849908,1.3236351,0.83332205,1.1073455,0.9430461,1.055133,1.1044618,0.5610709,0.8973815,1.1889044,1.1371421,0.0,1.0275624,0.87369215,1.1772166,1.2133465,0.9831833,1.237487,1.0429636,0.70899296,0.97464585,1.1880016,1.2012964,0.18344355,0.8951952,0.8373963,0.93636245,1.1193241,0.9961342,1.0386565,1.0580081,0.8022981,1.3054981,0.88031816,1.3011763,0.93387455,1.0698898,0.8745078,1.1300689,0.7786107,1.2840474,0.8954462,1.0541772,1.1567429,1.4132007,0.8752094,0.94474036,1.1483235,1.0221255,0.7097429,0.6435869,0.7904898,0.86855817,1.3216305,1.3412306,0.99461216,1.1186974,1.3587466,0.9961899,1.2818048,1.1697829,1.0903485,0.8357621,0.9892732,1.3175797,1.1274946,0.9528526,1.074886,0.88636965,1.2470468,0.54725283,0.9439419,0.79984,1.280883,0.6154263,1.1330004,0.7492943,1.2604672,0.8599879,1.1560049,1.2947842,1.2135838,1.2750797,1.1982096,1.1836135,0.83771574,0.7476794,0.76375544,1.3478835,0.9553073,1.0613608,1.0701292,1.3140912,1.2496189,0.9065452,1.356703,1.1018282,1.0328312
finger,1.2544119,0.67090225,0.761347,0.8381959,1.0284324,0.9359276,1.0226624,1.0932035,1.2425916,1.3299683,0.781191,1.2170917,1.0168927,1.251428,1.2661237,1.1739447,1.0042822,1.1509326,1.2944578,0.8972366,0.93293506,0.8991369,1.0631977,0.8813895,1.1860934,0.9210544,1.2355807,1.1786661,0.71689457,1.1767719,1.2995203,1.2675883,1.0219839,1.0069839,1.2623897,0.78113127,0.7592737,1.3492596,0.98457044,1.3223443,1.1480536,1.0420308,1.1548114,1.2011355,1.056372,0.6009809,0.8627375,0.83956206,1.0275624,0.0,1.1643685,1.044927,1.1219699,0.56234276,0.9800452,1.156563,1.0464687,0.6214758,0.7347732,0.84808564,0.91169226,1.0299252,0.53124857,0.8234292,1.0372652,1.1442688,1.1987067,1.170227,1.0540458,0.93281996,1.2503686,0.9361423,0.6721064,0.96711427,1.0726897,1.1335223,1.0899006,0.9987342,1.2140449,1.1620811,0.7227706,1.0295647,0.36398113,0.5011984,0.78266996,1.2785298,1.2248043,1.1976227,1.070885,1.1759583,0.6992917,0.7977011,1.1715741,0.90514517,0.76174164,1.0638162,1.0298723,1.1816614,0.95401424,0.7166014,1.2916108,1.1853445,0.64714855,1.2815914,0.91067,1.1591004,1.113545,1.1128579,0.99538165,1.0113972,1.054082,1.1774995,1.2397996,1.2709585,0.6790087,1.2512211,0.92725366,0.8679796,0.95813304,1.077219,0.91140354,0.82832015,1.2132177,1.1340477,1.3149173,0.96112967,0.12381673,0.45326394,0.6268022,1.1627648,1.0161957,1.2936189,0.9931026,0.5016352,1.1824274
