,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,cat,chair,clock,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,face,finger,flower,foot,fork,frog,glasses,glove,gum,hair,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,mitten,mop,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pillow,plant,plate,purse,refrigerator,scissors,shirt,shoe,shovel,sink,slipper,soap,strawberry,sweater,table,tape,toe,toothbrush,towel,toy,tray,vacuum,watch
cat,0.8610274,1.1442472,1.1498337,1.0298353,0.7992008,1.0069395,1.0058522,0.8635471,0.8194283,0.8997554,0.9492849,0.91953254,0.7753922,1.0507548,1.2441218,1.1184454,1.263635,1.0012517,0.9859295,1.1479486,0.9574386,0.89651537,0.9039087,0.0,0.7256118,1.0057725,1.1366191,0.73577136,1.0129809,1.1767286,0.82102853,1.2100323,1.237734,0.597088,1.1501197,0.99049085,1.0261911,0.97113585,1.1823419,1.0259917,1.101028,0.953493,0.89041275,1.2094043,1.2106396,1.0205041,0.94553745,1.3453622,0.91905344,1.0666268,0.83015656,0.95105976,0.7956013,1.0619013,0.7733177,0.96736425,0.81929564,1.1229004,0.76818275,1.1859678,1.153914,0.86131227,1.1607735,0.77502644,1.1657875,0.91567886,1.0726119,0.60848993,1.1240487,1.141825,1.202378,0.7058501,0.9042727,1.2666914,1.1097683,0.9932403,1.1305349,0.9314627,1.0109441,1.0927821,0.83167183,1.1217335,0.9478099,1.0812604,0.83824205,1.0805422,1.204804,1.1384075,0.80118287,0.86844504,1.2642708,1.11693,1.091315,1.1203833
chair,0.9941655,1.4118267,1.0596179,0.9458502,1.0278685,1.0942338,1.2138734,0.7972201,0.7498841,0.66035193,0.51415575,0.8645086,0.6621268,1.0452358,1.0320371,1.4189148,1.1548136,0.56591344,1.2873232,0.8638376,1.3215301,0.9757114,0.7713777,0.7256118,0.0,1.1066321,0.83257556,0.43790275,1.0650593,1.5017471,0.4483981,1.4182788,1.2235374,0.67967784,1.1013304,1.0932714,0.56960803,0.88644993,1.400573,1.0099964,1.113484,1.0444218,1.0724312,1.3769765,1.1115729,1.2726449,0.9834275,1.4214293,0.95880747,1.0914645,0.8377049,0.59678286,0.6441305,0.9517958,0.7073469,0.8898359,0.2764814,1.354296,0.66419804,0.7643712,1.4756444,0.92987293,1.0990909,1.1716961,1.4357053,0.6721631,0.863915,0.7949114,1.0821518,1.4147396,1.4168177,1.032984,1.0625709,1.2514784,0.9202843,0.68241006,1.1802312,0.8599077,0.9874965,1.2370117,0.803262,1.4496845,1.2743976,1.3318048,0.80769247,0.89128345,1.4153817,1.2793493,0.84747285,1.0696478,1.2144669,0.9272839,0.88407147,1.2871085
clock,1.0154678,1.0049505,1.0201706,1.0630025,1.1625973,1.159488,1.1425807,1.0495483,0.9311628,0.87741464,1.0442495,1.0228736,0.8365834,0.7017357,0.69731516,1.1497833,1.1821848,0.84340525,1.027646,1.1518621,1.2143097,1.1379399,1.0966,1.0057725,1.1066321,0.0,1.1359639,0.88598657,1.033695,1.0604507,0.9354301,1.2274057,1.0035532,1.1394508,1.0646424,1.0574538,1.0004003,1.0254071,1.0921218,0.99459106,1.1328899,1.0470107,0.9364712,1.161393,1.0335124,1.0445722,1.1646278,1.1025202,0.99116474,1.0859563,1.2012128,1.157203,0.8253374,0.9801889,0.9749803,1.1294794,1.0399269,1.1817206,1.018072,1.0458589,1.1262131,1.0245249,1.0379883,0.97635174,1.0723959,0.9334895,1.0343813,0.97254395,1.0694577,0.981286,0.9862827,1.0635726,1.0827969,1.1153,0.92315507,1.1108569,0.93105644,0.9342606,0.71971285,1.2112892,1.0589598,1.0382193,0.9268018,1.0859377,0.90749454,0.74101466,1.1058347,0.99329776,1.0784276,1.1092011,1.0375385,0.706565,1.1593609,1.0187924
comb,0.9378369,1.2693048,0.75279033,0.8336433,0.8828213,1.0023175,1.3307841,1.0581119,0.8492462,0.6262861,0.6354024,0.9024584,0.90562046,1.0042157,0.87572145,1.3399574,0.89232314,0.8332146,1.3182089,1.1468098,1.338961,1.3422703,0.7251635,1.1366191,0.83257556,1.1359639,0.0,0.80779135,0.46925747,1.3119559,0.7303688,1.189188,0.9107859,0.8664879,1.121309,1.1802576,0.8844434,0.9298235,1.1315435,0.9789755,1.0613568,1.2614486,1.1897744,0.94782954,1.0289273,1.2347786,0.8137087,0.72433054,1.1143667,1.1362926,1.006554,0.74520016,0.9560316,1.1191256,0.9348861,0.9704313,0.89936775,1.0978962,0.7602642,1.03892,1.3055089,0.75626045,0.99272496,1.1734734,1.2322297,0.8392091,0.79096854,1.1393049,0.83035856,1.225696,1.18999,1.3301947,1.3304772,0.9688927,1.1193845,0.8412852,1.139648,0.94330037,1.1149192,1.1609902,0.8209352,1.4148338,1.2351482,1.3064239,0.9892728,0.76270247,1.1460185,1.357103,1.1894839,0.8198425,1.1336049,0.8556455,1.1981343,1.1239809
couch,0.89169496,1.4232596,1.147457,0.8587318,0.90462375,1.1130909,1.3412008,1.0647774,0.5592086,0.41955334,0.2672826,0.68739617,0.39780462,0.9040451,1.0951376,1.50357,1.3060304,0.72799087,1.3148961,1.1403056,1.4762672,1.276613,0.73317116,0.73577136,0.43790275,0.88598657,0.80779135,0.0,1.0402147,1.485199,0.4278177,1.5244534,1.2663512,0.73486745,1.1942946,1.2828124,0.9141118,0.65641314,1.393621,0.88191235,1.2972949,1.2566156,0.82957536,1.5558531,1.2497871,1.412481,0.9152998,1.408752,0.9101286,1.1556593,0.896829,0.90462327,0.4266622,0.9748398,0.5740814,1.1191857,0.653226,1.4993356,0.5003803,0.94166124,1.4952177,0.7983005,1.2525684,1.0017099,1.3304497,0.58680844,0.6733469,0.7221581,1.1729279,1.3856705,1.3774616,1.0383579,1.2767107,1.453323,1.1201383,0.8977803,1.2103174,0.6342797,1.0004532,1.4517252,0.7621825,1.4795103,1.1305053,1.3757161,0.51023185,0.7004545,1.5394124,1.2315365,0.9842002,0.9543718,1.4053882,0.8570425,1.2133226,1.2435575
cracker,0.85220075,1.0766149,0.8082278,0.7315611,0.95532376,0.8384944,1.2381991,1.0393096,0.80534303,0.74645144,0.99684423,0.95896196,0.85083175,0.9657116,0.7916132,1.3389666,0.83748776,0.91456735,1.1913717,1.1997474,1.3010612,1.3698535,1.0132903,1.0129809,1.0650593,1.033695,0.46925747,1.0402147,0.0,1.2783082,0.8415334,1.1848477,0.886925,0.75921744,0.9843842,1.135586,1.0012622,1.0935035,0.9806074,1.0226003,0.86270046,1.2607088,1.106743,0.89650285,1.0319371,1.1951222,1.1903534,0.6659514,1.1153727,0.90258306,1.1352866,0.9624494,0.8889383,1.125624,1.1098629,0.9814578,1.0045072,1.0873841,0.9148541,1.1434436,1.117836,0.6204395,0.99068326,1.0338185,1.1688756,1.0292966,0.9354572,1.0884132,0.6798347,1.2483335,1.2129166,1.2334522,1.3116039,0.86918485,1.0476364,1.0642011,1.1556499,1.0263097,0.9369842,1.1417906,0.8490703,1.2346872,1.2275738,1.1409024,1.0009391,0.83034194,1.0708247,1.1228788,1.1317384,0.6377786,1.1162177,0.81833977,1.2882662,1.1483746
crayon,1.1910574,0.5415581,1.1717353,1.3900149,1.2218065,1.2088292,0.514966,0.94145954,1.4151603,1.5076404,1.4388292,1.4054537,1.4260198,1.1670023,1.1546118,0.18580961,1.0026562,1.3687593,0.47115076,0.9074436,0.44063228,0.6107164,1.1737616,1.1767286,1.5017471,1.0604507,1.3119559,1.485199,1.2783082,0.0,1.5426679,0.37053466,0.97229534,1.4347148,1.0554444,0.7217372,1.2100437,1.3286698,0.7850244,1.1886225,0.9065496,0.65212107,0.97821534,0.46930546,0.987704,0.50588095,0.71773607,0.82804275,1.1551054,1.1138374,1.1511579,1.3218173,1.3982351,1.1224684,1.3295263,1.0977025,1.452574,0.42898285,1.5217134,1.1144023,0.36666292,1.2359688,0.95366484,0.89270455,0.3214712,1.3764274,1.4391774,1.2156097,1.0233636,0.23146874,0.1387462,0.72257054,0.5598797,0.82721347,1.1048964,1.3334018,0.6897805,1.4016471,1.1080279,0.44821644,1.1647482,0.2689556,0.4929278,0.4944871,1.468963,1.4318918,0.5171322,0.69053376,1.0166098,0.9982577,0.76602364,1.3962325,0.7328089,0.34882003
crib,0.68721855,1.4927828,1.1500764,0.7146645,1.0439888,1.0544419,1.4534686,0.9531063,0.41945714,0.18642521,0.4309101,0.58497155,0.5125699,0.78496313,0.92297363,1.5686893,1.1001153,0.52894175,1.4163772,1.0947983,1.4927428,1.3469578,0.88639206,0.82102853,0.4483981,0.9354301,0.7303688,0.4278177,0.8415334,1.5426679,0.0,1.459485,1.2033937,0.7369931,1.141312,1.2786541,0.74257916,0.79516226,1.3835049,0.92033905,1.2428083,1.2162597,1.1081599,1.4111774,1.1262265,1.3462574,1.0223911,1.2788216,1.0402027,1.2044767,1.1359327,0.86206496,0.63072526,1.0539365,0.73947704,1.0073692,0.45311612,1.3979441,0.69812095,0.9908011,1.5453,0.6584835,1.094664,1.2001086,1.4315823,0.46989048,0.6618365,0.8937116,0.99489063,1.4306328,1.3959274,1.3340405,1.2996855,1.2797508,1.024722,0.7402365,1.3093603,0.6938127,1.091647,1.3354365,0.48552436,1.5767287,1.2142788,1.4853072,0.64540476,0.5198288,1.4446365,1.4035699,1.0796382,0.87512887,1.3336518,0.7169924,1.1520827,1.1872009
cup,1.141315,0.6759158,1.077885,1.2359966,1.0615838,0.9649057,0.66595876,0.94467664,1.4394741,1.5120597,1.4106934,1.3204899,1.400138,1.2184707,1.1053329,0.22761834,0.494852,1.3182857,0.66521287,0.8489453,0.3216747,0.56167376,1.1876781,1.2100323,1.4182788,1.2274057,1.189188,1.5244534,1.1848477,0.37053466,1.459485,0.0,0.8007554,1.442591,0.92163897,0.79551977,1.1839079,1.3036644,0.6788558,1.1562793,0.9344729,0.8034827,1.2206753,0.552042,0.83658963,0.5943011,0.8283266,0.6716665,1.1504867,1.1864281,1.0969572,1.177144,1.3847148,1.0403258,1.3965334,1.1285084,1.3879135,0.37484545,1.5154284,1.0422536,0.53987825,1.2545093,0.8201315,1.0696932,0.44596088,1.3348451,1.3706745,1.2496737,0.91783834,0.49128532,0.50066465,0.9110124,0.69108045,0.61614466,0.9839595,1.0707463,0.71086836,1.3670721,1.1704249,0.44600904,1.1158587,0.51738006,0.762453,0.6226078,1.4525875,1.3541179,0.26035893,0.9243261,1.134393,1.0206609,0.5884107,1.3164159,0.68523955,0.585911
dish,1.0469937,0.6982254,0.68819463,1.0552608,1.0068144,0.8338938,1.0323024,1.0706695,1.2162594,1.1370113,1.1221465,1.1639987,1.1827811,0.9386996,0.75264597,0.9881636,0.56150067,0.98237884,1.0745264,1.0844811,1.0823735,1.1304158,1.0772843,1.237734,1.2235374,1.0035532,0.9107859,1.2663512,0.886925,0.97229534,1.2033937,0.8007554,0.0,1.1618409,0.91874564,1.0425503,0.9906022,1.2023212,0.4351467,1.1025835,0.9375377,1.1538835,1.2410693,0.83541393,0.77054733,0.8614595,1.12421,0.5856903,1.217886,0.9861524,1.0782493,1.1173944,1.1967647,0.9572462,1.2567581,1.1010582,1.2003243,0.8804276,1.1554506,1.0404745,0.80639553,1.103726,0.8319086,1.158218,0.8603659,1.2561218,1.1212521,1.2749381,0.85099775,1.0296662,0.91123146,1.227476,1.1917119,0.30119252,0.8702021,1.0965501,0.9032383,1.199121,0.9024743,1.0116358,1.1587973,0.8958585,1.1315093,0.92182755,1.2315468,0.96806794,0.60545427,1.0993829,1.269947,1.0949825,0.6235497,0.6832123,1.1638428,1.06335
dog,0.88613963,1.3132217,0.98246264,0.74788266,0.8747539,0.9339364,1.0859643,1.10569,0.64009845,0.80589545,0.8254889,0.7743417,0.73409003,0.96365833,1.1540133,1.4166172,1.2215034,0.9448585,1.1969131,1.2081735,1.3223903,1.2347383,0.8757321,0.597088,0.67967784,1.1394508,0.8664879,0.73486745,0.75921744,1.4347148,0.7369931,1.442591,1.1618409,0.0,0.9999602,1.1496043,0.9527252,0.8425325,1.1544156,0.89818716,0.9446957,1.2414598,0.9067835,1.2952541,1.1718637,1.3025036,0.9459376,1.2638154,0.89917916,0.7038549,0.8144942,0.7688526,0.7701169,1.0124418,0.7665197,0.787391,0.6815382,1.3674778,0.51475596,1.1312543,1.2531862,0.7784542,1.1287993,0.8716592,1.3678389,0.8817583,0.76280296,0.81608343,1.1201082,1.411813,1.4204605,0.9482158,1.246801,1.2548081,1.1923013,0.9262471,1.2886539,0.74652386,0.9564969,1.3695838,0.94319,1.3071936,1.168607,1.268275,0.5829481,0.95519817,1.4100049,1.0836709,0.94204485,0.8913843,1.3269616,0.90586686,1.3174376,1.185032
doll,1.0457928,0.92817056,0.8716992,0.9050036,0.9505143,0.56666106,0.9569709,1.1486225,1.0986309,1.2133703,1.2291889,1.1249496,1.1242787,1.0910171,0.87260485,0.9953589,0.7838386,1.0057063,0.9529488,0.8680443,0.9911827,1.054246,1.2226729,1.1501197,1.1013304,1.0646424,1.121309,1.1942946,0.9843842,1.0554444,1.141312,0.92163897,0.91874564,0.9999602,0.0,1.1484729,1.033625,1.1416088,0.8093679,1.0767026,0.9269632,1.0794915,0.9930071,1.0099716,0.7511399,0.92349,1.1668398,0.8932724,0.9798401,0.6711451,0.97817844,1.1008846,1.0757213,0.75095993,1.1773899,1.0436763,1.0854933,1.0952077,1.0922127,0.95515686,0.90023786,1.0514259,0.83674145,0.8904973,1.0262097,1.2221923,1.0587012,1.2067479,0.89857256,1.1637254,1.1345943,1.0050881,1.0379852,0.8131534,0.7715509,1.0946914,1.0536808,1.1169472,0.909899,1.0773066,1.242129,0.8521693,1.1720792,0.7657695,1.0729874,1.0858786,0.84304345,0.849816,1.1424627,1.0675107,0.59159184,0.989709,0.9624672,1.0578333
door,1.0924093,0.7751408,1.1058855,1.3488381,1.1003937,1.1772308,0.7344405,0.56564224,1.2000034,1.3659174,1.2578523,1.3302977,1.2091739,1.2430899,1.1785529,0.6437882,1.0712376,1.0798385,0.83124506,0.8688358,0.52056426,0.4414935,1.1929224,0.99049085,1.0932714,1.0574538,1.1802576,1.2828124,1.135586,0.7217372,1.2786541,0.79551977,1.0425503,1.1496043,1.1484729,0.0,0.8063019,1.1181304,0.95008373,1.19449,0.8994433,0.5716164,1.0197933,0.6574983,1.1145053,0.9373658,1.1261673,1.0972749,1.1574566,1.1150867,1.1508163,1.0344373,1.20865,0.97250295,1.2500967,0.77025354,1.1333036,0.60173035,1.3129313,0.997847,0.8745266,0.9351094,1.0372901,0.9616065,0.8791437,1.1745306,1.3459482,0.92845225,0.8383087,0.602559,0.7290757,0.66958475,0.5373213,0.8925848,1.1027371,0.90851593,0.72455096,1.3113065,0.9030208,0.54779524,0.99077594,0.7738365,0.75855815,0.80011064,1.3602568,1.435401,0.7719507,0.8960314,0.6470327,0.8082383,0.99822545,1.3604604,0.64194477,1.0540123
drawer,1.1177446,1.1748486,0.97474474,1.0879971,1.1692342,1.1462567,1.1733239,0.6783626,0.94847035,0.86357963,0.74848175,1.128464,0.9743659,1.0839152,0.7472453,1.2340413,0.99468577,0.19545496,1.1920261,0.7906318,1.1304848,0.84271896,0.916826,1.0261911,0.56960803,1.0004003,0.8844434,0.9141118,1.0012622,1.2100437,0.74257916,1.1839079,0.9906022,0.9527252,1.033625,0.8063019,0.0,1.08914,1.2245528,1.1161631,1.0340337,0.93374807,1.0437341,1.0732127,1.0993217,1.2046586,1.204375,1.1782144,1.0760573,1.0482606,1.0825099,0.8120446,0.98036367,0.8191373,1.076519,0.91669714,0.62791705,1.1860437,0.95518327,0.7407934,1.2977501,0.9036654,1.077075,1.1408477,1.2599814,0.8477629,1.0451556,1.1697397,0.76112413,1.0939896,1.0944369,1.0201074,0.96161026,0.9950482,0.9274754,0.69924796,0.9559373,1.1434102,0.95635736,1.1164669,0.85225964,1.1875547,1.1025255,1.1750969,1.1527519,0.94036573,1.1566675,1.0827819,1.00571,0.97814757,1.0481209,0.8277698,0.8224329,1.1997861
dress,0.9774213,1.2850759,1.0831,0.7426052,0.9266914,1.0963644,1.21426,1.1631672,0.814868,0.7277659,0.76828265,0.5166288,0.8607086,0.92277884,1.1201589,1.280098,1.2419257,1.0113297,1.2159166,1.1393983,1.2650425,1.2314255,0.76880467,0.97113585,0.88644993,1.0254071,0.9298235,0.65641314,1.0935035,1.3286698,0.79516226,1.3036644,1.2023212,0.8425325,1.1416088,1.1181304,1.08914,0.0,1.1974994,0.737055,1.1937745,1.2016588,0.9534659,1.3413725,1.1600076,1.2728786,0.9702975,1.2202952,0.7786823,1.074523,0.9978643,0.9062109,0.83407724,1.008913,0.7660841,0.9760903,0.90987754,1.306284,0.6780782,0.9871553,1.3244251,1.0347695,1.1789236,1.011735,1.2487705,0.73596025,0.48344588,0.82973623,1.1753417,1.2166138,1.2870967,1.2170651,1.2269305,1.3217813,1.0500723,0.90969104,1.2007476,0.4567541,1.1112127,1.299566,0.9190856,1.3450611,1.1246083,1.2459911,0.49524653,0.7483419,1.3124025,1.124736,0.9575414,1.1270168,1.2653584,0.88324744,1.1942868,1.1598568
egg,1.1982372,0.44392908,0.81225765,1.0949444,0.8561672,0.7625498,0.90322506,1.2102083,1.2656902,1.3434517,1.2856327,1.2632606,1.3379025,1.0184435,1.0654644,0.75653446,0.72420734,1.3201175,0.85151833,0.9915874,0.81146425,1.0141212,1.2248181,1.1823419,1.400573,1.0921218,1.1315435,1.393621,0.9806074,0.7850244,1.3835049,0.6788558,0.4351467,1.1544156,0.8093679,0.95008373,1.2245528,1.1974994,0.0,1.1104072,0.91072744,1.07079,1.0709754,0.8225506,0.8882711,0.72812045,1.0518616,0.5305071,1.1278758,0.91368,0.9886036,1.3104789,1.276767,1.0310755,1.3137482,1.1644607,1.3311605,0.6924982,1.2362107,1.0826815,0.49807686,1.1615366,0.87216014,0.99400187,0.5635823,1.34243,1.2517834,1.26813,0.9017408,0.88905585,0.90758955,1.021085,1.0087003,0.498415,0.9679442,1.2067363,0.9459958,1.2955964,0.8970139,0.81897825,1.1893828,0.6164687,0.9195862,0.5910884,1.2705741,1.228584,0.520153,0.8406719,1.1601367,1.0818417,0.6936502,0.9950741,1.0360578,0.88323236
face,1.0857255,1.246584,1.0826572,0.8113097,0.99626565,1.022959,1.0861341,1.1879461,0.9639233,0.86200726,0.8575144,0.6192087,1.0081496,0.98362744,1.0525424,1.1475796,1.145898,1.05271,1.1503955,1.123572,1.163545,1.2285821,0.92232466,1.0259917,1.0099964,0.99459106,0.9789755,0.88191235,1.0226003,1.1886225,0.92033905,1.1562793,1.1025835,0.89818716,1.0767026,1.19449,1.1161631,0.737055,1.1104072,0.0,1.0473535,1.1778069,0.88356996,1.148712,1.0707785,1.1544106,1.0336368,1.1322596,0.4600879,1.00373,1.0441173,0.88301253,0.999627,1.0213436,0.904134,1.162332,0.9312205,1.1847781,0.7924187,0.9868234,1.1306503,1.1830902,1.1203489,0.9516426,1.0853922,0.92628205,0.6808422,1.0615191,1.1790973,1.2355855,1.1958468,1.2135117,1.2096843,1.2064817,1.1371973,0.9115436,1.138928,0.5861716,1.017143,1.1629823,1.0994431,1.1604439,1.1883367,1.1338414,0.73481274,0.8166393,1.2009981,1.0231532,1.0708227,1.2318321,1.2288666,0.8807515,1.1610391,1.0341672
finger,1.1099974,0.81411064,0.84539574,0.91214573,1.0141315,0.83946353,0.95906675,0.97138375,1.1790366,1.2242134,1.1520206,1.13738,1.1584829,1.0986744,1.0037605,0.9863175,0.924694,1.1482298,0.8674632,0.9620129,0.9940197,0.9875471,1.1095822,1.101028,1.113484,1.1328899,1.0613568,1.2972949,0.86270046,0.9065496,1.2428083,0.9344729,0.9375377,0.9446957,0.9269632,0.8994433,1.0340337,1.1937745,0.91072744,1.0473535,0.0,0.9931531,1.1193371,0.75087667,0.9804682,0.8929946,1.0834242,0.91375077,1.0297942,0.3566879,0.8321614,0.9047457,1.1307714,1.1879842,1.2027301,0.9638707,1.0738317,0.860874,1.0382526,1.0553426,0.7011218,1.0154448,1.0503486,0.9594434,1.0418754,1.1115254,1.1066724,1.0480393,0.95645416,1.049727,1.0060068,0.9250876,0.99531156,0.86143583,1.0777357,1.0204904,1.0377054,1.133965,1.0994823,0.8095238,1.1612504,0.80162776,1.1771125,0.98003733,1.1378936,1.1194466,0.9360046,0.58811355,1.0404434,1.0002093,0.97277683,1.0533715,0.9659933,0.95375645
flower,1.051763,0.8523317,1.1310217,1.2644203,1.0978148,1.1363791,0.6426277,0.70004636,1.1484597,1.3542521,1.3002024,1.2740526,1.1939524,1.2360494,1.1100819,0.63202214,1.062153,1.0971153,0.7281749,0.8732209,0.53459436,0.49532288,1.1251209,0.953493,1.0444218,1.0470107,1.2614486,1.2566156,1.2607088,0.65212107,1.2162597,0.8034827,1.1538835,1.2414598,1.0794915,0.5716164,0.93374807,1.2016588,1.07079,1.1778069,0.9931531,0.0,0.9071743,0.76499707,0.9841414,0.81029576,1.1339362,1.102267,1.0255209,1.0876595,1.1151797,1.0824149,1.1654576,0.9215002,1.1377152,0.93594146,1.0946525,0.76590455,1.3803239,0.99735254,0.8528871,1.070003,0.9762976,0.9182346,0.88955975,1.2383152,1.3863027,1.0061786,1.0284909,0.63569736,0.72452474,0.5622866,0.079732895,0.9692441,0.9029299,1.00319,0.71776956,1.2986481,0.9825632,0.6468529,1.0098168,0.72550017,0.7537016,0.77304983,1.3335078,1.3777955,0.92231125,0.86009383,0.67261475,0.9614653,0.95789254,1.3598819,0.6581682,0.96819663
foot,1.1046164,0.9439812,0.98336136,1.0879743,0.8772868,0.96636295,0.8093295,1.0614916,0.90033793,1.1339695,0.9849811,1.1063412,1.018902,1.1335243,1.2537607,1.0364516,1.3015528,1.07026,0.7792083,1.1516,0.90896827,0.8881731,1.0909137,0.89041275,1.0724312,0.9364712,1.1897744,0.82957536,1.106743,0.97821534,1.1081599,1.2206753,1.2410693,0.9067835,0.9930071,1.0197933,1.0437341,0.9534659,1.0709754,0.88356996,1.1193371,0.9071743,0.0,1.2473449,1.0945421,1.0886533,1.124794,1.236348,0.68954015,0.7654253,0.7695219,1.1887989,0.9523677,0.88193583,0.7662439,1.0962936,1.0795604,1.2445604,0.8749906,1.0335683,0.85725677,0.9724832,1.1693988,0.39672232,1.050152,1.1007587,1.0713074,0.9332733,1.1113155,1.0504112,1.1275812,0.5432711,0.8409071,1.3572819,1.2085993,1.1980063,1.0820671,1.0311955,0.88603455,1.2603211,1.0988059,0.71620417,0.80878633,0.98825246,0.91109395,1.1316171,1.3643465,0.54384696,0.8677109,0.9938989,1.2920749,1.1583004,1.1780852,1.0906136
fork,1.062188,0.5966577,1.009204,1.2612072,1.1464187,1.1148862,0.7138587,0.82609916,1.3214148,1.4175987,1.4384286,1.3146802,1.3593016,1.2389996,1.0405139,0.5287134,0.8076204,1.2578185,0.6586821,0.8839739,0.58523995,0.8036074,1.0506641,1.2094043,1.3769765,1.161393,0.94782954,1.5558531,0.89650285,0.46930546,1.4111774,0.552042,0.83541393,1.2952541,1.0099716,0.6574983,1.0732127,1.3413725,0.8225506,1.148712,0.75087667,0.76499707,1.2473449,0.0,0.76673925,0.589399,1.0378529,0.6547787,1.1550596,1.0429281,1.2120329,1.066553,1.3936887,1.096766,1.4208663,0.8323271,1.2966509,0.4612676,1.495971,1.0954597,0.637362,0.9599992,0.7651136,1.0393058,0.7213781,1.2996081,1.3380764,1.2885772,0.72391266,0.46883148,0.48017114,0.82988274,0.75888824,0.6963714,1.0318081,1.1386029,0.7966099,1.3808644,1.1220355,0.5084479,1.0295329,0.6157988,0.77294505,0.70581937,1.4613706,1.4105175,0.4728952,0.9605695,1.0507226,0.7629748,0.68734527,1.3855994,0.78277886,0.7975151
frog,0.9849515,0.903044,0.94633317,1.0291564,1.0565673,0.898956,0.9712763,1.0054636,1.1658384,1.1984035,1.1976355,1.1582044,1.1298916,0.99317473,0.9400024,0.9369586,0.78399485,1.0775906,0.99472576,0.7903924,0.935547,1.023498,1.0529065,1.2106396,1.1115729,1.0335124,1.0289273,1.2497871,1.0319371,0.987704,1.1262265,0.83658963,0.77054733,1.1718637,0.7511399,1.1145053,1.0993217,1.1600076,0.8882711,1.0707785,0.9804682,0.9841414,1.0945421,0.76673925,0.0,0.83585155,1.2081556,0.8279766,1.1245193,0.9085261,1.145183,0.9815986,1.1035286,0.9299949,1.1735239,0.9764843,1.0015644,0.9475988,1.2246718,0.95534056,0.9911269,1.1401184,0.15084112,1.0904166,0.9928255,1.1704026,1.1070206,1.1831881,1.0249898,0.98343766,0.9858336,1.0260581,1.0019376,0.7952448,0.78083843,1.0605421,1.019975,1.1574624,0.96974075,0.902764,1.1523314,0.930956,1.1425948,0.950493,1.1545318,1.0724082,0.748402,1.0235591,1.1619053,1.1459192,0.34848857,1.0199813,0.85413843,1.1362802
glasses,1.1366189,0.71561,1.1405736,1.2656869,1.0922436,0.940525,0.6827687,0.9356716,1.2489822,1.4160146,1.3700097,1.2855157,1.2974005,1.1794562,1.0646821,0.4982776,0.9294788,1.3046594,0.46820396,0.82841635,0.5768602,0.8676594,1.2383122,1.0205041,1.2726449,1.0445722,1.2347786,1.412481,1.1951222,0.50588095,1.3462574,0.5943011,0.8614595,1.3025036,0.92349,0.9373658,1.2046586,1.2728786,0.72812045,1.1544106,0.8929946,0.81029576,1.0886533,0.589399,0.83585155,0.0,0.9458876,0.84891725,0.96497536,0.95900154,0.9818541,1.1701934,1.2840348,1.100399,1.2737075,1.0888424,1.2221048,0.6076415,1.4115466,1.051912,0.4833547,1.211331,0.83978677,0.8409729,0.7117692,1.2928884,1.3567774,1.0604081,1.089803,0.6800966,0.6489997,0.84060764,0.74360704,0.8274591,0.78197515,1.2849762,0.9288064,1.3271683,1.1118158,0.64196724,1.1495554,0.48440504,0.88866687,0.62965596,1.2972943,1.3422415,0.62787473,0.81628776,0.95564014,1.0920528,0.6894575,1.3349794,0.784394,0.646439
glove,1.082778,1.0697336,0.93455094,1.0822558,0.9519425,1.2050217,0.9355267,1.1772945,1.098888,0.9567799,0.8657804,0.9577751,1.1021788,0.96687055,1.2363662,0.7669155,1.1723205,1.2312202,0.971371,1.0812949,1.0034717,1.038368,0.7746346,0.94553745,0.9834275,1.1646278,0.8137087,0.9152998,1.1903534,0.71773607,1.0223911,0.8283266,1.12421,0.9459376,1.1668398,1.1261673,1.204375,0.9702975,1.0518616,1.0336368,1.0834242,1.1339362,1.124794,1.0378529,1.2081556,0.9458876,0.0,1.0102199,1.1000345,1.1839458,0.8059553,0.8919514,1.0977415,1.1655054,0.7366117,0.98580134,1.061772,0.8812948,0.81427836,1.0801865,0.9437104,1.159334,1.1125746,1.1340694,0.718167,0.8893336,0.8865582,0.98433363,1.2256995,0.8488176,0.7819135,1.1176234,1.1126249,1.1425197,1.2308086,1.022264,1.0646089,0.9440098,1.1836472,0.9241274,1.047669,0.9201987,0.8396808,1.011589,1.0075796,1.0198268,0.9586344,1.1082169,1.117899,1.1275386,1.1103894,1.104564,1.0213577,0.49611527
