,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cookie,1.0249381,1.0722935,0.84037507,0.9403625,1.0552889,0.7518836,0.7410756,0.8629356,1.0397825,1.0571368,0.9646646,1.0847449,1.1647975,1.0519277,0.984339,0.96582097,1.1781209,1.059068,1.1147004,0.8058801,1.0503558,0.9209953,0.9508309,1.0700576,1.2450318,1.1379683,0.9171729,1.0579371,1.2332805,0.9336182,0.7548053,1.0218354,0.73017395,1.0374912,0.0,1.1218199,1.1286616,1.0043178,1.2080965,1.1063594,1.0340679,1.0880133,0.8055988,0.96947527,1.0330796,1.1066622,1.0411876,1.0946344,0.9142112,0.66205674,1.0300316,0.9627371,1.1814675,1.1107619,1.0296533,0.9610659,1.176836,0.9552567,1.1862916,0.95156604,1.1902775,1.0118531,0.9528482,0.9768966,0.710868,1.0434834,1.1202368,1.0113349,1.0324225,0.9322407,1.0369371,1.2361246,1.0910522,0.96513927,1.2068673,1.1233121,0.72354037,0.8953386,0.8836725,1.0455352,1.0716614,0.8517286,1.1390263,1.1635813,1.187175,1.1315522,0.79711807,0.97630936,0.9967368,1.0277314,1.1066347,0.9683996,1.2223425,1.2266712,1.1480135,0.97618777,1.0468285,1.2710848,0.8700714,1.0721188,0.95439094,1.0273598,0.95239484,0.92805326,1.1141018,1.0662966,1.1007715,0.85705334,1.0971395,1.1146151,0.6620083,1.0788879,0.9624612,1.0430714,1.0551288,1.0183727,1.2360435,0.91982657,1.0612776,1.160411,1.2121701,1.0140852,0.99808586,0.88392615,0.6634057,1.2159873,0.87305033,1.0605019,1.0125245,0.9537222,0.7853356,1.19014,1.1778839,1.0650489,1.1741321,0.8787039,0.8069316,0.9477099,1.0719907,1.2251701,1.2225368,1.046274
corn,1.2984985,1.0527946,0.56507504,0.7838613,1.3592312,0.83166456,0.837711,0.69624877,0.8355467,1.158579,1.2468228,1.4066952,0.59508014,1.3185186,1.1975104,0.76352584,1.0448548,1.1584368,0.7556356,0.7881607,1.253495,0.6594524,0.90509725,0.8772862,0.74349165,0.63139516,0.9146743,0.89284045,1.294239,1.0288881,0.8773866,1.1824871,1.2457026,0.87839615,1.1218199,0.0,1.2893159,0.73991156,0.48975265,1.393626,0.79131716,1.1563387,1.1783243,1.2566594,1.159649,1.1075218,1.1953725,0.9744925,1.0642258,0.8937732,1.233877,1.2067751,0.8725223,0.7119458,1.0541838,0.97357947,0.6107731,0.8732972,0.818048,1.2885875,0.85182846,1.3761277,0.8033421,1.2738187,1.2256428,1.2004844,0.7642399,1.0521454,1.286912,1.1422341,1.3113893,0.53804684,1.3075079,0.7895198,0.60284775,1.1507282,0.92818165,1.1723194,1.4252002,1.1511433,0.9034625,0.68620527,0.6724791,0.7617106,0.917581,0.7624444,0.6955821,1.3368391,0.74108267,1.3294332,1.2141521,1.2621735,0.608573,0.5913962,0.7370125,0.5305519,0.85544753,0.53986675,1.0214826,1.0356818,0.8642331,0.9936494,1.0319372,0.7386782,1.3114034,0.9607259,1.2567285,1.0987397,0.91409993,1.0839537,1.3345505,1.21239,0.73174775,1.265144,1.1800678,0.9970235,0.6980561,1.2477617,0.82301223,0.913529,0.6782536,0.8570683,0.52336526,1.3783188,0.9621673,0.715041,1.1731025,1.3738176,1.3202941,1.4381548,0.68359804,0.84691495,0.6930624,0.9610408,0.8896505,0.91238236,1.3071616,1.0959277,1.0570084,1.0661879,0.6673234,1.0471311
couch,0.71436256,1.2209995,1.4384389,1.1273091,0.7305305,1.3653526,1.2792702,1.2242615,1.0060669,0.70599353,0.91860515,0.19761622,1.1738187,0.32362562,0.9410069,1.2293199,0.56497806,0.89355576,1.2574724,1.2332375,0.4381274,1.3051231,1.1222442,1.1362035,1.0275674,1.1250982,1.0409212,0.953066,0.31970084,0.86473936,1.252193,0.71447927,1.1067039,1.0972037,1.1286616,1.2893159,0.0,1.1262646,1.3921146,0.30854285,1.2537751,0.7345347,1.0993826,0.84796077,0.9407801,0.6435889,0.41395026,0.9629616,1.0356076,1.3932383,0.9063902,0.9754315,1.3014386,1.1777608,0.9522198,1.1231842,1.2982006,1.2135404,0.98637635,0.8969443,1.2577869,0.72257763,1.3612887,0.9092627,0.9809575,1.0363405,1.2521895,1.0747002,0.72728455,0.98482186,0.6395173,1.2369064,0.48545462,1.1253258,1.1906296,0.94780415,1.1120135,1.0129741,0.73954594,0.67214316,1.2311493,1.3435261,1.3892521,1.0804718,1.2605007,1.2904804,1.3474517,0.6799766,1.2209661,0.6773348,0.63795465,0.77564555,1.313092,1.3139863,1.2616575,1.2968986,0.991929,1.0354676,1.0262145,0.95862913,1.1397235,1.1356645,1.0936253,1.1635492,0.63605154,0.89543545,0.63255334,1.0215254,1.2110181,0.96181273,0.94190854,0.96175057,1.2401726,0.7620159,0.8766957,0.91808426,1.2249612,0.7124859,0.9660615,0.7740332,1.2552832,1.0914583,1.388987,0.6716924,1.1932579,1.2454714,1.1279426,0.70791054,0.7257126,0.7021148,1.3401492,1.3482943,1.3834066,1.1863093,0.934312,1.2330741,0.78161514,0.879555,0.78928536,0.7759688,1.3948789,0.7979045
cracker,0.8641155,1.0675274,1.1335821,0.8989415,0.8705858,1.3171642,1.2268814,0.5084193,0.97266287,0.9313859,1.1647067,1.0664057,1.3070242,1.0931388,0.52687746,0.9540477,1.0255208,0.8603675,1.2312701,1.1622125,0.95637834,1.0913517,1.23523,0.7459307,1.2856474,1.2068257,0.93231106,0.97977364,1.0906497,0.527923,1.2201116,1.0878029,1.1260269,0.6956321,1.0043178,0.73991156,1.1262646,0.0,1.1658003,0.9846163,1.2817414,1.1062841,1.0121819,1.0044298,0.9472639,1.1283627,1.0795344,1.0227624,0.8375937,1.1178534,1.0450048,1.0332681,1.1050375,1.0230682,0.9756596,1.0381969,1.0552084,0.6961987,1.1514049,0.9063319,1.0534725,0.9170737,0.7053476,1.0872904,0.86823237,0.8355782,1.3416257,0.9939287,0.91986895,0.9398762,1.0013608,0.98335385,1.0246359,1.1943147,1.0612414,0.870662,0.6330244,1.0898502,0.864473,1.0872322,1.0021695,1.1096413,1.2902625,1.0457655,0.92765033,1.1402333,1.1549344,0.979797,0.9040855,1.0102568,0.8956948,0.72720474,1.187237,1.2234485,1.0595651,0.60071766,1.0968529,1.2212636,0.39686137,1.0808336,0.92421734,0.9753445,1.1717259,0.9963338,0.9328491,1.156291,1.0081842,1.0682757,1.126399,0.5643343,1.0986675,1.0347552,0.7320784,0.94876164,0.9503452,1.0294338,1.044194,1.069756,1.3014718,0.9241248,1.1107342,0.93176675,1.1104331,0.97266203,0.998756,1.0712236,1.1002284,1.1064193,0.9728912,0.9687583,1.0994524,1.1387073,1.0294169,0.55487853,1.0417066,1.0249741,0.8018324,1.1033914,0.9221974,1.1603149,1.0957357,1.1162034
crayon,1.5488513,0.8995713,0.4228227,0.9728541,1.4409431,0.55345327,0.648237,0.9986029,0.739574,1.3785911,1.2376156,1.5232832,0.26598835,1.3614216,1.4887247,0.8903894,0.93340796,1.1454365,0.2469908,0.585466,1.4007127,0.38605148,0.63894176,1.0356773,0.40329236,0.4288323,0.9951968,1.1113002,1.325002,1.372873,0.65088725,1.2719673,1.2367635,0.90638703,1.2080965,0.48975265,1.3921146,1.1658003,0.0,1.5574782,0.33429444,1.1850506,1.1142539,1.3854172,1.2064425,1.1961557,1.241582,0.9471501,1.0971452,0.78424656,1.3251631,1.26778,0.6958243,0.632071,1.1605299,0.98125225,0.31058544,1.031537,0.7707343,1.4496498,0.65234464,1.5268956,0.68651474,1.3451251,1.4200301,1.317045,0.39155853,1.1121466,1.5088656,1.203398,1.4695566,0.3549068,1.3995146,0.5755513,0.51463485,1.1766615,1.1589401,1.1059058,1.643574,1.2343216,0.8297478,0.4902439,0.1454519,0.5681792,0.81840414,0.5145588,0.51807827,1.4645796,0.9005929,1.4897051,1.4529294,1.38814,0.14371216,0.08482838,0.46285045,0.807706,0.84179723,0.34209275,1.2957685,0.97351843,0.7733096,0.99706644,1.0403415,0.82431805,1.4795628,1.0011412,1.3712621,1.1188747,0.8478283,1.2833867,1.3087735,1.2091154,0.8382652,1.4541793,1.2549694,1.1133909,0.5149325,1.2543745,0.6822462,1.1025255,0.3735721,0.98290545,0.2504291,1.4085827,1.0331942,0.46067303,1.0988562,1.410433,1.4930854,1.5422574,0.468606,0.5881197,0.39495838,1.0136625,0.73236704,0.69972754,1.5261604,1.1985469,1.1487074,0.8510815,0.36904353,1.1156971
crib,0.6374351,1.2848254,1.585527,1.2789912,0.6345674,1.5209479,1.4235973,1.2303908,0.91146654,0.5150795,0.8580718,0.24541736,1.3359854,0.2884072,0.72378826,1.3509097,0.68169904,0.7636899,1.3878632,1.37382,0.33889896,1.4631861,1.1948292,1.0735215,1.1569006,1.2137966,1.1339839,0.88186467,0.326568,0.7940699,1.3632307,0.53021646,0.9791754,0.8948099,1.1063594,1.393626,0.30854285,0.9846163,1.5574782,0.0,1.392851,0.7399881,1.1502459,0.83226335,0.9500234,0.51551974,0.4118855,1.0801613,1.0382762,1.4824083,0.7859867,0.8586801,1.4161047,1.3035629,0.875089,1.1584884,1.4119513,1.2377683,1.1484134,0.70635164,1.3440084,0.74691486,1.4115198,0.80924827,0.78596735,0.9579887,1.4340158,1.0753404,0.62566626,0.92939705,0.62743044,1.3336642,0.29079533,1.2008069,1.2245777,0.9254698,1.0870448,0.9190821,0.6497195,0.6408003,1.2017193,1.5084405,1.5239432,1.2696888,1.3311872,1.3755509,1.4965165,0.47977388,1.32126,0.63732785,0.63856274,0.5823923,1.4510043,1.4683186,1.393,1.3409879,1.101855,1.2860627,0.8857268,0.94722944,1.2432045,1.1721026,1.1390679,1.2835414,0.5494207,0.9061857,0.44340515,1.0393143,1.2337645,0.74489284,0.86115533,0.83678246,1.2690456,0.675,0.9161683,0.9368123,1.4097186,0.6311478,1.0640748,0.69738674,1.503984,1.0195725,1.5652878,0.6374564,1.195714,1.3131001,1.0922303,0.5999023,0.6404026,0.49602818,1.5166206,1.4945201,1.441898,1.1548322,1.0897114,1.3212681,0.6711526,0.8031475,0.75912225,0.7619775,1.4909456,0.72432667
cup,1.5500467,0.99828243,0.5261738,1.1348212,1.4606543,0.5479982,0.5808558,1.0994744,0.5667911,1.399705,1.2076302,1.4525459,0.47146368,1.2294924,1.5105362,0.95249975,1.0464445,1.0337347,0.11747581,0.31595635,1.1253947,0.52178574,0.17896616,0.9997405,0.2794391,0.5517093,1.2289314,1.3068452,1.1445696,1.2988394,0.5371979,1.270033,0.8723943,1.0668324,1.0340679,0.79131716,1.2537751,1.2817414,0.33429444,1.392851,0.0,1.2382786,0.98203254,1.2730738,1.0573089,1.1809434,1.0952765,0.8599678,1.1696646,0.6871887,1.3650179,1.3114358,0.9847969,0.96221334,1.0253439,1.0133234,0.49353695,1.1030453,0.85157466,1.3439777,0.8965994,1.471239,0.78489316,1.4011549,1.273553,1.4156826,0.45119762,1.1162144,1.5167693,0.72053504,1.5569799,0.64032865,1.2139788,0.610921,0.72349215,1.1863093,0.9904019,0.7257229,1.5116147,1.1617501,1.0063474,0.56242645,0.3612032,0.59505326,1.0842661,0.72083604,0.5398419,1.3810757,0.98691505,1.5237782,1.5190476,1.3318627,0.31716323,0.32147825,0.5932,0.95185035,0.9193178,0.5822327,1.3145927,0.78035444,0.72041893,0.987963,0.9857237,0.8413795,1.3505993,0.93124896,1.1409231,1.1804448,0.9212463,1.2541589,0.9428806,1.2098167,0.9357469,1.503917,1.1618584,1.2119145,0.6422992,1.0718879,0.59079105,1.2011915,0.5505832,1.1164626,0.380602,1.3543767,0.77643317,0.53695154,0.95065486,1.3340129,1.4894689,1.3528354,0.2916149,0.8508688,0.7553269,1.0879748,0.71822965,0.5073817,1.3093855,1.1365455,1.1411154,0.7832665,0.65572935,1.0992204
deer,0.90189517,0.9613112,1.226369,0.89403236,0.92604995,1.2315551,1.3490567,1.2075082,1.0626636,1.0600564,0.9937543,0.84239596,1.0988927,0.79504913,1.1232233,0.9224535,1.0394716,0.96835357,1.2205966,1.2858216,0.80884355,1.1016765,1.1964945,0.93336767,1.1155434,1.0273378,0.6439632,1.1035298,0.6808275,0.8568262,1.3220147,0.9407142,1.1078025,1.1334339,1.0880133,1.1563387,0.7345347,1.1062841,1.1850506,0.7399881,1.2382786,0.0,1.1312177,1.0321952,1.0494374,0.94341385,0.8559515,1.1094259,1.0285807,1.2742898,1.0301358,0.9780807,0.951536,0.85364956,1.0604384,0.90309757,1.1498654,1.0901104,0.75113773,0.8038132,1.0488273,0.820292,1.1464795,0.85642433,0.97739375,0.9988373,1.1531866,0.9025993,1.0021037,0.8739599,0.7956925,1.0255308,0.73296106,1.11611,0.9350158,0.91649675,1.1757929,1.0915852,0.87176895,0.9035823,0.99182856,1.2546656,1.1827599,1.1316037,0.9577918,1.1449032,1.2450144,0.89376205,0.8657111,0.9282079,0.72129625,1.0650688,1.221103,1.1651998,1.1268563,1.0804999,0.7786926,0.9115151,1.0087483,1.077407,1.2042984,0.9592721,0.89532906,0.9983489,0.8150821,0.7423558,0.9048774,1.1178129,0.77084756,1.2013806,0.72805864,0.9193224,1.2085211,1.0117738,0.89363444,1.0719373,0.9840313,0.88319105,1.0676312,1.0778564,1.0233816,1.2252834,1.2577922,0.8099483,1.1198434,1.1448712,1.1935848,0.6165185,0.9572391,1.0014582,1.2888337,1.0031352,1.0407643,1.28622,1.0952603,1.3307921,0.9852997,0.8941997,0.7269547,1.0043726,1.0833174,1.0814627
dish,0.9651142,1.121108,0.81826496,0.8901954,1.1000658,0.6796504,0.5424278,0.90793264,1.1916877,1.0443894,0.92649955,1.057633,1.1854215,1.127718,0.9015583,0.96490264,1.1281431,0.92946184,1.0905792,0.79870737,1.0472322,1.0460384,0.9847028,0.9897247,1.2352419,1.1483463,1.0728606,1.1697998,1.2328501,0.948187,0.9508671,1.1313006,0.6886399,1.0932658,0.8055988,1.1783243,1.0993826,1.0121819,1.1142539,1.1502459,0.98203254,1.1312177,0.0,0.94754016,0.83198416,1.1863685,1.0871674,1.0973254,0.9881174,0.52901006,1.0097244,0.9770859,1.1011887,1.0387698,1.0067538,1.0731738,1.169687,0.6295423,1.0425328,0.9274315,0.9292757,0.97353995,0.7071804,1.0306653,0.9985692,1.0198286,1.0251662,1.0393666,1.0802311,0.91788864,1.1107498,1.2580881,1.1549344,1.0280931,1.1998073,1.0398549,0.7477735,0.9246065,0.8760012,1.0629746,1.0629488,0.9488825,1.070313,1.1341841,1.1367435,1.0755543,0.784114,1.1184628,1.0713542,0.98737603,1.1855923,0.978619,1.1631923,1.1707324,1.1154414,0.93006283,1.0810077,1.2409163,0.7832164,1.0399168,0.9519806,1.0237366,1.0742717,0.8851427,1.1445708,0.98818266,1.0973196,1.0227927,1.0626647,1.035526,0.8572105,1.1097754,0.95906544,1.123378,0.99323183,1.0557328,1.1316851,0.9929947,1.038526,1.1429582,1.0988537,1.0648279,0.9257301,0.9684324,0.7402412,1.1984612,0.85045516,0.9400823,1.0745606,0.89928204,0.8154112,1.0853188,1.1451098,0.84968305,1.1698198,0.59116644,0.78529406,1.0755626,1.0653049,1.1883308,1.159562,1.0390868
dog,0.2712388,1.2023275,1.218615,1.0957267,0.9291111,1.1725209,1.0118482,1.009082,1.1579384,0.87398636,0.61714375,0.7614995,1.2809973,0.98236644,0.8754105,0.7751523,0.94134957,0.8722255,1.2625037,1.1666192,0.9314506,1.282297,1.2386894,0.8589326,1.3684943,1.1810713,1.1990391,0.86175895,0.9974694,0.8869617,1.1096078,1.0228049,0.9272563,1.0927291,0.96947527,1.2566594,0.84796077,1.0044298,1.3854172,0.83226335,1.2730738,1.0321952,0.94754016,0.0,0.4041829,1.1095964,1.025502,1.0666199,0.9237943,1.0956391,0.9431607,0.7713183,1.319937,0.9498506,0.7870835,1.1802716,1.2891114,0.5977305,1.0603082,0.9093241,1.1581223,0.5630609,1.1106144,0.8301053,0.85196644,1.0267837,1.1410925,0.55370563,0.837847,1.0016918,0.8570254,1.3611102,0.9310033,1.3372691,1.3098567,0.741039,1.0489411,1.0407822,0.64661884,0.9030514,1.1487744,1.1971,1.3246578,1.1641724,1.2975379,1.3786365,1.1505426,0.8588006,1.0032773,0.6468511,0.94793606,0.9255228,1.3041668,1.3488017,1.285043,1.139539,0.770641,1.3184721,0.8221206,0.905061,1.0697393,0.55864745,1.2454536,1.1564177,0.7526212,1.1022398,0.9674353,0.8720333,0.93970853,0.91574955,1.0123237,1.0020754,1.0289221,0.8069495,0.6742654,1.0858401,1.2127092,1.0454062,1.1840533,1.0468419,1.121036,0.94759256,1.2215672,0.9502266,1.0732887,1.2358944,0.94537425,0.87369084,0.7962769,0.72496724,1.1461931,1.2964046,1.2925212,1.0234761,1.0951402,0.8456154,0.799839,0.9269461,0.9982058,1.1772865,1.3406444,1.0840417
doll,0.642734,1.1703689,1.0718788,1.0521394,1.1126364,1.0691226,0.87405527,0.991981,1.003479,1.2349803,0.72465277,0.9771901,1.201066,1.1701688,0.96062374,0.7455846,0.995821,0.75343156,1.0837886,1.0640689,0.9606873,1.1534443,1.0802405,0.7974325,1.2039359,1.0997305,1.1706738,1.1846784,0.99290854,0.799792,1.1081797,1.1605691,0.8955986,1.0811764,1.0330796,1.159649,0.9407801,0.9472639,1.2064425,0.9500234,1.0573089,1.0494374,0.83198416,0.4041829,0.0,1.270288,1.0987495,0.88915753,1.070047,0.9566453,1.125027,0.6813607,1.1763308,1.0080097,0.81046355,1.1832157,1.1746986,0.5120615,1.0317402,0.998046,1.0189731,0.7283804,0.8917051,0.8253731,0.9638358,1.0693673,0.88783216,0.83502054,0.99441177,0.81194305,1.1072142,1.3090339,1.0122337,1.3122823,1.1497135,0.7513067,0.96795577,0.992556,0.8110236,0.9784334,1.0834315,1.0473704,1.1724095,1.0905544,1.1940639,1.197746,1.0390259,1.1207184,0.87906706,0.92906684,1.119583,1.0241082,1.1541808,1.1837837,1.1079346,1.0234388,0.94208634,1.1726409,0.7412524,0.8467305,0.94594157,0.78528047,1.1244891,1.0105499,0.867321,1.1242677,0.99263865,1.132811,0.87607974,0.8482264,0.97913635,0.98404163,0.9719794,0.9572803,0.6970339,1.1949339,1.0393264,1.0233399,1.3254783,1.2555767,0.95629674,1.0938278,1.0337934,1.149876,1.0021116,1.1147021,0.9236867,0.8057953,0.85832363,0.92834526,0.9621971,1.1218169,1.1733782,0.939681,1.0071704,0.6134863,0.8942218,0.9857599,0.96898454,1.2014065,1.1742326,1.1897706
door,0.9932726,1.1037027,1.3550032,1.2870665,0.85829914,1.3264649,1.2274935,1.1439941,1.0096524,0.36945903,1.0071576,0.55685484,0.9801661,0.55287546,0.9986468,1.3278357,0.88322556,1.0794969,1.0736938,1.3087459,0.7208906,1.270774,1.1101023,1.2086701,0.82123655,0.9793792,1.2497946,0.5534749,0.69967717,1.0825,1.0250871,0.18272585,1.045952,0.8629272,1.1066622,1.1075218,0.6435889,1.1283627,1.1961557,0.51551974,1.1809434,0.94341385,1.1863685,1.1095964,1.270288,0.0,0.5972342,0.90154505,0.9494617,1.3811593,0.7422668,1.0206654,1.2815355,1.2121668,0.99622387,1.0549357,1.0818954,1.3864268,1.1525989,0.91876835,1.237015,1.1806644,1.5049336,0.9551844,1.0536171,1.1301502,1.2568964,1.1299638,0.7412468,1.1189234,0.7653996,0.94660354,0.6638185,0.86877936,0.9829063,1.1899049,1.2309866,0.97548354,1.0771267,0.8721045,1.2364607,1.2429084,1.2245922,1.1160178,1.219379,1.0664707,1.3354654,0.7195635,1.2634513,0.8761995,0.7471161,0.7607489,1.1195885,1.1208155,1.0754626,1.3121265,1.1352922,1.0765378,1.1365587,0.94896585,1.243539,1.1904118,1.0337726,1.2862916,0.93374044,1.0203996,0.39538133,0.92445856,1.2123327,0.9858162,1.1281391,0.9165314,1.0909339,0.78865504,1.2153912,0.8055848,1.2157781,0.46177292,0.7878828,0.39045823,1.4040074,0.7298851,1.264642,0.83126134,1.171837,1.0076374,1.074814,0.93847156,0.86713934,0.7867427,1.3727894,1.3497078,1.314438,1.2549187,1.0889773,1.4033754,1.0357524,0.91079646,0.79424787,0.52409583,1.2302618,0.39375472
drawer,1.0050855,1.1456914,1.2844598,1.1531038,0.8245906,1.2543995,1.150415,1.1843616,0.75225514,0.717976,1.0540737,0.5098914,1.0689439,0.14768243,1.0943873,1.1872157,0.73930407,0.77693814,1.1551641,1.0529163,0.17782342,1.1151584,0.97410077,1.0580575,0.9733996,1.0179664,1.1046004,1.08219,0.5531062,1.0237097,1.1346292,0.735959,1.0334301,0.89976174,1.0411876,1.1953725,0.41395026,1.0795344,1.241582,0.4118855,1.0952765,0.8559515,1.0871674,1.025502,1.0987495,0.5972342,0.0,1.0757685,1.0415776,1.2303433,0.92481506,1.0827641,1.2369144,1.1931149,0.9460831,1.0268016,1.0856168,1.2560785,0.99645066,0.9348088,1.2217884,0.9709372,1.2309518,1.0574282,1.0172896,1.0235103,1.2662276,1.1163995,0.9763513,1.0044621,0.9829268,1.0527718,0.49328858,0.9356088,1.1413571,1.1867378,1.0587206,0.9122787,0.91474867,0.80265296,1.1581182,1.1643826,1.2761699,1.0213896,1.1990062,1.130538,1.1843104,0.658738,1.2351241,0.9363826,0.9739811,0.618688,1.1674479,1.173521,1.261418,1.2263392,1.0228955,1.0635738,1.0057917,0.96010524,1.0432007,1.0963969,1.0957047,1.1019124,0.90888524,0.8841711,0.62258863,1.1045117,1.2857854,1.0038002,0.85314643,0.9889844,1.1704782,1.008539,1.0105499,1.0357697,1.2442362,0.74901927,0.8127767,0.79423547,1.2338547,1.0776455,1.3250352,0.6985612,1.0853399,1.1110104,1.0775878,0.87734866,0.9658216,0.76106864,1.2095941,1.291647,1.3236598,1.1681128,0.9890654,1.1397419,0.7497573,0.88090616,0.8416154,0.76162434,1.2587562,0.7892777
dress,1.1164844,0.8852953,1.0822157,1.1837848,1.1206226,1.0709381,0.99648565,1.0691164,0.86761475,1.0554432,1.156153,1.0945164,0.941561,1.079999,1.1141613,0.94244987,0.9604013,1.0255045,0.76252294,1.0803566,1.056601,0.9617355,0.8192415,0.9962809,0.6958405,0.9039482,1.1590786,1.0002446,0.8674232,1.1217041,0.95023465,0.9294721,1.19906,1.0500032,1.0946344,0.9744925,0.9629616,1.0227624,0.9471501,1.0801613,0.8599678,1.1094259,1.0973254,1.0666199,0.88915753,0.90154505,1.0757685,0.0,0.9284547,1.0971072,1.1292293,1.1403738,1.0620862,1.0164577,1.0755877,0.94338524,0.83029723,1.0924017,0.9541311,1.1372533,1.0505393,1.0854251,1.1397547,1.1008927,1.229887,1.1691293,0.8999382,1.051345,0.919016,0.90582335,1.0194473,0.8530571,0.9797466,0.9174289,0.82876974,0.8416623,1.181659,0.84409565,1.2056197,1.1128756,1.1583642,0.97160906,0.9887657,0.7177645,0.9709369,0.9212295,1.0343914,1.2330937,0.8130431,1.1133657,0.86383176,1.0525421,0.8216777,0.84551185,0.60809696,1.0452906,0.9283383,0.85138416,1.0696062,0.9693505,0.9550174,1.0087986,1.0112528,1.0754955,0.9955421,1.0421327,0.8935469,1.0789744,0.8702968,1.0168504,1.2129483,0.9823648,1.0124942,0.9083224,1.0142422,0.9821045,0.71968657,0.9359886,1.0111054,0.9448295,0.9817932,0.9682549,0.9578339,1.2121979,1.0894837,0.7890076,1.0243237,1.059756,0.94260025,1.2250613,1.030154,1.0262516,1.0184472,1.0612024,0.70999265,1.0638505,1.2351737,1.0219567,0.8999892,0.8013633,0.8957173,0.9340354
ear,0.8922701,0.84580195,1.0792708,1.0525467,1.0460806,1.0395058,1.0517441,0.9467161,1.0608381,0.89984494,0.99968094,0.9932213,1.1664939,0.96930575,0.9772711,0.8906764,0.9116597,1.1714906,1.075542,1.2507298,1.0909361,0.80262935,1.2191181,1.010715,1.1144252,1.1523267,0.8118354,0.7774228,1.0809857,0.91573894,1.0484499,0.998116,0.96735847,0.97042096,0.9142112,1.0642258,1.0356076,0.8375937,1.0971452,1.0382762,1.1696646,1.0285807,0.9881174,0.9237943,1.070047,0.9494617,1.0415776,0.9284547,0.0,1.0325085,1.0545468,1.100337,0.9570247,1.021218,1.117713,0.7689551,0.9796043,1.0482075,1.1901182,1.0233506,1.076057,0.9899693,1.1083357,1.1023432,1.1089209,0.9885254,1.1157032,0.80806863,1.0153257,1.0534759,1.0886534,0.9250631,1.0915706,1.0283792,1.0301305,0.7645134,0.99433076,1.034821,1.0143466,1.048736,1.155115,0.7735282,1.0661529,0.96592146,0.93307483,0.89307666,0.89974844,1.0952318,0.9217518,1.0836473,0.9970119,0.9660521,1.0582113,1.0885469,0.97829854,1.0013748,0.98162794,1.1277825,0.8746543,1.1538606,1.0918369,0.7444838,0.8943954,1.1008849,1.0590267,1.2017258,1.1213553,0.7486121,0.9762333,0.9602204,1.0290022,0.92788726,1.0176944,1.0686564,1.0033432,0.95382434,1.0081071,0.9849491,1.2036921,0.92934436,1.0277561,0.9812507,1.066984,0.97375894,1.0511928,0.98429096,1.1263796,1.0796475,1.1212327,1.119154,1.1185052,0.9807416,1.0602987,1.0564092,0.96657234,1.172618,1.1829221,1.0981531,0.8856828,1.0414805,1.033178,1.0403401
egg,1.311078,1.0113871,0.2859279,0.80393934,1.3016177,0.24328125,0.26269877,0.8653841,1.0655546,1.3599656,1.0397643,1.4074688,0.9984639,1.355055,1.2250116,0.65279186,1.2715316,1.1116347,0.78197753,0.59989285,1.2867905,0.6565447,0.81028247,0.9836009,1.0465856,1.0389653,0.9757033,1.2990106,1.4441365,1.094474,0.6813291,1.3210871,0.84782046,1.1958312,0.66205674,0.8937732,1.3932383,1.1178534,0.78424656,1.4824083,0.6871887,1.2742898,0.52901006,1.0956391,0.9566453,1.3811593,1.2303433,1.0971072,1.0325085,0.0,1.153927,1.0523068,0.8491772,1.07262,1.1246159,1.0153673,0.92696834,0.78841025,1.0065837,1.1513157,0.86507833,1.208361,0.626338,1.1194205,1.1152179,1.1378388,0.72433376,1.0431759,1.2981611,1.0366886,1.3465312,1.0995724,1.3442389,0.76031923,1.0221163,1.1382787,0.7141961,0.91672415,1.1695173,1.2314378,0.8625438,0.5667997,0.65345764,1.0179238,0.97865576,0.8232211,0.28779018,1.3110805,0.8315159,1.2662079,1.4246428,1.2551806,0.8684367,0.8803482,0.90017825,0.7791842,1.0621349,1.0465069,1.0225279,1.0740645,0.8019547,1.0024444,0.80270255,0.68815064,1.4015942,1.0655512,1.3178604,1.0338697,0.92205256,1.2209753,0.87992376,1.1074569,0.9135023,1.3171114,1.1240481,1.1350977,0.9424916,1.1525489,1.0515267,1.2820174,0.82389337,1.1231163,0.51856464,1.1720195,0.63664556,0.9808462,0.8295344,1.2066813,1.2599754,1.1998593,0.4283576,0.74793375,0.8756982,0.9152772,1.1607032,0.45979452,1.0766388,1.080481,1.2576013,1.242872,0.9029578,1.190588
