,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,frog,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,melon,milk,mitten,mop,motorcycle,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
bench,0.8879333,1.3912585,0.900874,1.3709966,1.315782,1.0773526,0.908523,0.6385655,0.68364465,1.2993777,0.0,0.8957341,1.3252311,0.7148223,0.750438,0.9882463,1.4036487,1.3282766,0.8477139,1.2540193,0.930182,1.1832607,0.95152485,0.97310436,0.8734659,1.0510681,0.47318006,1.3026042,0.6564508,1.0425333,0.28180194,0.96425176,1.4449819,0.7275805,1.4483926,0.91120887,1.0612959,0.67273176,0.9641764,0.81983984,1.102784,1.070984,1.0289196,0.88504016,1.2981427,1.2666435,1.2006515,1.2801849,1.2874645,1.3059436,1.2316409,0.7598063,1.3066381,0.865905,1.0337644,1.3563385,1.263951,0.8133309,0.56157786,0.7855046,0.7755302,0.72990894,1.1707271,1.15759,1.1461709,0.9594729,1.1241953,1.0715916,1.2772276,1.0435114,1.38255,1.3480946,0.82336736,1.0852206,0.68089753,0.7703197,0.9139546,1.345623,1.3856571,1.1132618,0.762668,1.1104811,1.3646019,0.98376495,1.2724025,0.852046,1.3132337,0.66862273,1.0813591,1.2135247,0.835204,0.9882099,0.7972203,1.0768975,0.9240221,0.7029482,0.86254174,0.9230797,0.5226065,1.3213428,0.9882516,1.32738,1.0906625,1.235694,0.972996,0.7209221,0.6081727,0.7763848,0.84323657,0.5594187,1.4233758,1.3026772,1.095215,0.9428236,1.1250328,1.2258761,0.95262945,0.7377814,1.0736556,0.5014111,1.3292856,0.58917725
bib,1.0649203,1.3831373,0.5894072,1.3975761,1.3121767,0.71768147,1.1389757,0.81456804,0.78589207,1.3505182,0.8957341,0.0,1.3704072,0.88969624,0.795333,0.8647491,1.4229912,1.428632,0.8699988,1.2127717,1.2188135,1.4246594,1.2824962,1.352291,0.7578125,1.0775971,1.0088124,1.3352385,0.88978225,0.6618765,0.70635766,1.0712264,1.3612325,0.87074196,1.398253,1.2343357,1.0971595,0.89149654,0.9309169,0.3739,0.8740012,0.86521035,0.955342,0.84586716,0.9041454,1.3111839,1.3562461,0.96278864,1.2679698,1.154394,0.89814377,1.0057906,1.1378338,0.7137562,0.56551856,1.3696933,1.0965644,1.1037546,0.64267653,0.7729236,0.831537,1.2221303,1.4176941,0.9121622,1.1048036,0.6587728,1.2760127,1.256576,1.1151087,1.0825281,1.1854943,1.1989905,1.0678056,0.98635316,0.44620705,0.5082427,0.8090613,1.3463162,1.3562143,0.91595584,0.81709504,1.3069758,1.3859053,1.0279021,1.220675,0.9189934,1.376429,0.7632546,0.9015265,1.2496458,0.8121882,1.1028811,0.3649829,0.91494477,0.8339443,0.92371553,0.87998366,1.0086415,0.88748604,1.1263618,0.9729218,1.2603269,0.8788741,1.2665195,1.0583187,0.97587335,0.9250996,0.5420642,1.1409981,0.7189754,1.3305798,0.9501979,0.9011215,0.8682056,1.1273698,1.3018044,0.9176795,1.0362593,0.8891213,0.9090806,1.1040621,1.0935048
bird,0.83534545,0.41490197,1.2732463,0.48386067,0.777666,1.1594076,1.2220386,1.2931386,1.3782194,0.33254647,1.3252311,1.3704072,0.0,1.2558013,1.2303433,1.2268531,0.35522014,0.534849,1.3061643,0.83080494,1.0484596,0.66454273,0.8044485,0.70903885,1.3143153,0.8269106,1.1256078,0.6386362,1.2506185,1.2607405,1.4152414,1.1571568,0.32399762,1.3609004,0.38083446,0.79072833,1.0136067,1.2502769,1.2011888,1.3339071,1.0866079,1.2671641,1.0792651,1.191635,0.8776219,0.3523624,0.6376194,0.8425733,0.71579266,0.5995332,0.91690403,1.1726894,0.8049452,1.1982538,1.3037742,0.49154758,0.75140464,1.1333225,1.398581,1.2272004,1.2326428,1.1027651,0.56956124,1.0531096,0.92618006,1.364773,0.8414211,0.8150891,0.63827074,0.86530304,0.4544288,0.70523816,1.1660442,1.054046,1.4569697,1.3657267,1.2875948,0.41291463,0.26010334,1.1759102,1.1373918,0.6750777,0.5007452,1.1301812,0.8030405,1.1353478,0.4155873,1.3655267,1.0463766,0.66092795,1.1928662,1.0565431,1.4049108,1.0719717,1.1052938,1.2039049,1.2484655,0.8429116,1.3133433,0.56868815,1.0978192,0.44899535,1.085168,0.60577077,1.1395596,1.1352297,1.2011442,1.3903533,1.1562643,1.4555176,0.4664302,0.8062633,1.1900826,1.3018346,0.76909584,0.83622617,1.302913,1.1219817,1.1826332,1.314951,0.56423575,1.1398098
blanket,1.0758688,1.2247062,0.946562,1.1151091,1.1716033,1.0714035,0.8314123,0.9162476,0.5833615,1.2548594,0.7148223,0.88969624,1.2558013,0.0,0.84534764,0.8644298,1.3323901,1.2226026,0.8118762,1.1765168,0.94169146,1.1724128,1.1567725,1.12226,1.0058864,0.9989966,1.032174,1.2698748,0.8172846,0.81976366,0.7180499,0.9450756,1.3550968,0.7468076,1.3915961,0.9173341,1.1417223,1.0745214,1.149931,0.92015195,1.164072,1.0930196,0.8593261,0.95753574,1.2604922,1.1920385,1.163753,1.1824985,1.1576073,1.2565644,1.07358,0.47483045,1.1660119,1.0178105,1.0194361,1.2976024,1.2693818,0.80235684,0.68174577,0.8986454,0.9218674,1.0393872,1.3575957,1.0599561,1.1901343,0.9171688,1.0644354,1.214902,1.3073266,0.9770012,1.3001467,1.2038206,1.1393981,0.72844183,0.6738199,0.8930625,0.8478948,1.3437216,1.3245003,1.1145542,0.73192793,1.1613066,1.2514647,0.8801172,1.0678504,1.0073901,1.3414326,1.0337669,0.8282035,1.3689332,1.0651219,0.9468698,0.7755537,0.9677485,0.90131223,0.75347674,1.021499,1.213711,0.57500905,1.3675493,0.7605513,1.2335851,0.7769184,1.3074864,0.8523629,0.76834583,0.9765817,0.8438584,0.79140365,0.6994095,1.3291008,1.2413719,0.9754603,0.9715891,1.048804,1.071197,0.89537543,0.82566136,1.0029465,1.0525569,1.2552958,0.96536124
boat,1.1629629,1.2098331,0.81387544,1.116702,1.1813163,0.87849116,0.7120336,0.69312024,0.65664876,1.2766049,0.750438,0.795333,1.2303433,0.84534764,0.0,0.98951703,1.3750565,1.2157929,0.65824944,1.1299682,0.8994922,0.98493105,1.1817286,1.1022887,0.840914,1.0600072,1.0152378,1.2245016,0.81611943,0.8216851,0.7476046,1.0697919,1.3957546,0.69829893,1.3919088,1.2055131,1.2287656,0.9886744,1.1269044,0.8858738,1.1708488,1.073002,0.8738414,0.8221508,1.3345807,1.202331,1.1526611,1.3520646,1.1903064,1.3014374,1.4059536,0.69395334,1.2821019,0.9034295,1.0645993,1.3861005,1.1413631,0.482162,0.74930584,0.9267396,0.7372228,0.9008397,1.3168081,1.0036279,1.1994462,1.0585493,1.1863989,1.1638939,1.2824228,1.3963846,1.4062527,1.1501739,1.1032203,0.9709758,0.81897074,0.8911424,0.96405655,1.3501507,1.3560019,1.0890927,1.077144,1.1428874,1.366803,1.02203,0.9754628,0.8545084,1.2922534,0.8423686,0.9020504,1.1366212,1.0904773,0.8726708,0.7114649,1.1695278,1.1575276,0.65644246,0.87944627,0.93632245,0.6919316,1.4390595,0.93103164,1.2548423,1.1002122,1.3539538,0.6463984,0.8121655,0.9251632,0.8608068,0.7043843,0.6238845,1.3307047,1.3630254,1.1177645,0.91793513,1.4533606,1.1740642,0.89755845,0.6327936,0.8836533,0.73332417,1.2911321,0.94157815
book,1.0617542,1.2312618,0.8498255,1.2442094,1.10408,0.89838666,0.72944987,0.9491544,0.65443224,1.1732925,0.9882463,0.8647491,1.2268531,0.8644298,0.98951703,0.0,1.1756513,1.0195117,0.47439092,1.1090317,1.1186012,0.9342732,1.0615546,1.058678,0.9901293,1.157268,0.9985896,1.1930438,0.9612243,0.93375707,0.9355645,0.7286954,1.146961,0.6836697,1.0774708,1.0494629,0.9448627,1.012184,0.5806358,1.0205086,1.1676276,0.94571215,1.0346379,0.9851749,1.1518962,1.1962545,1.0540853,1.1896106,0.9332252,1.2626368,1.1596501,1.0460234,0.8192692,1.040805,0.8485194,1.1480051,1.1766356,1.0856203,0.9907906,1.2057441,1.00509,1.0759327,1.133732,1.0659028,1.1073936,0.9113987,1.0006613,0.9037998,1.2538292,0.85131,1.268762,1.1084216,0.84274554,1.0972253,0.9315328,1.0908824,0.27765787,1.1165475,1.2173008,1.0087585,0.77544856,1.0813155,0.9221818,0.97117555,1.1679105,0.8925469,1.2308041,0.86570084,1.0745449,1.2385392,1.0576401,0.790571,0.9854643,1.0267247,1.0934546,1.062017,1.0286083,0.91950446,0.9205875,1.2571785,1.0226011,1.0965538,1.0601233,1.0998412,1.1602542,1.0315962,0.8938652,0.9247702,1.2094557,0.60615766,1.0467983,1.2299731,0.78705764,0.8056953,1.0567236,0.6668223,0.41084146,1.0712492,0.7403138,0.9382972,1.2567908,1.009288
bottle,0.9222581,0.4088807,1.3866553,0.41982448,0.57376415,1.1487999,1.1853267,1.428236,1.5178791,0.3063956,1.4036487,1.4229912,0.35522014,1.3323901,1.3750565,1.1756513,0.0,0.38652182,1.3255751,0.79697764,1.058727,0.44336867,0.7023072,0.6230027,1.3385578,1.0232679,1.0719454,0.57549906,1.3078725,1.316731,1.492825,1.0235486,0.21382844,1.4662375,0.10399628,0.80241,0.85758495,1.2851366,1.0957944,1.3010782,1.0197319,1.0281308,1.1932824,1.2220664,0.7683761,0.5462238,0.5463759,0.77260363,0.7718713,0.5103477,0.7926025,1.3274156,0.5830799,1.2253506,1.2970773,0.28445196,0.68329513,1.3279276,1.4744754,1.2407517,1.3223836,1.0688275,0.43047202,1.1488448,0.80630577,1.3117745,0.74502397,0.6217145,0.5294278,0.7914045,0.38906586,0.58351207,1.0396291,1.1853383,1.5249629,1.4038264,1.2466402,0.43783593,0.2687627,1.137299,1.2107342,0.7502135,0.40165335,1.097029,0.77114224,1.0819736,0.3134939,1.3763248,1.2286067,0.69835806,1.1532526,1.0581454,1.4771981,0.98333234,1.0185325,1.3780947,1.2621202,0.8080773,1.4403945,0.45283628,1.2184997,0.44490945,1.0937474,0.67572373,1.281372,1.2748281,1.1085263,1.4142468,1.2730746,1.5080351,0.2730509,0.6868207,0.9915366,1.1985432,0.6289462,0.6140172,1.2607058,1.3030852,1.2406279,1.3481095,0.502291,1.2002414
bowl,1.0432298,0.43275034,1.2758244,0.384889,0.45967543,0.99141765,1.0872574,1.246471,1.3826134,0.4316408,1.3282766,1.428632,0.534849,1.2226026,1.2157929,1.0195117,0.38652182,0.0,1.0481393,0.85937107,1.1167382,0.39755064,0.7190898,0.67230994,1.268103,1.0497228,1.1094949,0.673679,1.321202,1.2574875,1.4540044,0.9706441,0.45749915,1.3377414,0.28125197,0.8768705,1.0340645,1.2579261,0.9865968,1.4335837,1.1266806,0.9293282,1.0992824,1.2228295,0.9005264,0.6210357,0.68833953,0.9979745,0.75309956,0.7236984,0.9981031,1.1564227,0.5843993,1.2739146,1.2332805,0.33552074,0.91578907,1.1288176,1.5068034,1.2920601,1.1530067,1.1697581,0.49137896,0.93540514,0.8335425,1.3907222,0.85417247,0.77211523,0.6255835,0.8905069,0.66102964,0.6149793,1.0258062,1.1988062,1.5371357,1.508995,1.103018,0.5744486,0.48616564,0.9748025,1.1688282,0.8694206,0.28749204,1.0419531,0.67433476,1.0692182,0.42024994,1.3251433,1.1339309,0.9045939,1.2855988,0.96092236,1.4905885,1.0518193,1.142941,1.2612402,1.281977,0.6060607,1.3150375,0.69260573,1.2149947,0.56312454,1.1161695,0.6904955,1.1363343,1.2144084,1.1403906,1.4867251,1.1983145,1.3491503,0.3642224,0.8642038,1.0809783,1.0840365,0.89323455,0.5925036,0.97562057,1.1684502,1.1334912,1.286299,0.6754472,1.130075
box,1.173968,1.287453,0.75633895,1.2856784,1.1977146,0.88351876,0.5034373,0.74091244,0.40270376,1.3082519,0.8477139,0.8699988,1.3061643,0.8118762,0.65824944,0.47439092,1.3255751,1.0481393,0.0,1.1733716,1.1147537,0.7844782,0.93563145,1.1955786,0.8458847,1.1322705,0.96133715,1.3762026,0.805796,0.9776678,0.77366674,0.79219544,1.34409,0.38108015,1.2041681,1.1536754,1.0155495,0.943854,0.806166,0.92888206,1.1334782,0.948694,1.0575025,0.9329356,1.2880279,1.3219732,1.1902856,1.3360044,1.1282638,1.3834586,1.3351424,0.8418226,0.95494485,0.9799301,0.90668035,1.2978458,1.217959,0.8976698,0.8352059,1.0328847,0.8955487,1.0399908,1.2601326,1.1143197,1.0927917,0.9406653,1.1785227,1.0749941,1.3272663,1.1542637,1.3958757,1.2128282,0.8824388,1.0257173,0.7764256,0.9560656,0.7302876,1.3952191,1.4101632,1.0866835,0.8826231,1.1710998,1.1362973,1.0136658,1.2010235,0.85634017,1.3633871,0.7759405,1.0575945,1.3372643,1.0436447,0.8636655,0.8133735,1.1660831,1.134829,0.9477362,0.9022209,0.8294981,0.5934613,1.4306496,0.9566986,1.1902645,1.1513381,1.3399191,0.9080478,0.90627384,0.9774131,0.82793075,0.9772292,0.42661977,1.245665,1.3565693,0.9599767,0.75930333,1.3186789,0.746297,0.31702065,0.8706834,0.80820966,0.8073005,1.3321958,1.0022063
bread,0.86272633,0.7052597,1.2002459,0.6619359,0.7681006,0.87365466,0.9695042,1.3027911,1.2729512,0.8686613,1.2540193,1.2127717,0.83080494,1.1765168,1.1299682,1.1090317,0.79697764,0.85937107,1.1733716,0.0,0.9686579,0.90093887,0.9964565,0.91411716,1.0588186,1.1104879,1.1020935,0.7515912,1.2304324,1.0912614,1.2650177,1.0353304,0.78112245,1.1956567,0.8348479,0.8184986,0.8654473,1.2035793,1.026402,1.2289525,1.0107689,0.99461716,1.1036583,1.1112611,0.9124019,0.823826,0.750517,0.79254013,0.71624404,0.9003965,0.8769111,1.165591,0.91274565,1.1798949,1.0767854,0.7372469,0.903922,1.0663086,1.2523295,1.143717,1.144754,1.0558437,0.86291593,0.9398275,1.0315746,1.0754462,0.9337952,0.77332205,0.90394676,1.0198996,0.8641508,0.49517053,1.0436785,1.1300707,1.3373159,1.2888241,1.2346914,0.800243,0.8243826,0.9634179,1.0250664,0.79354435,0.85393745,0.79945374,0.5307269,0.9222708,0.8480959,1.2752922,0.83625007,0.700143,1.1370983,0.9554107,1.2981,0.9424985,1.0507064,1.1692083,1.1115406,1.2138159,1.2004795,0.84288913,1.1855346,0.96900094,1.0590743,0.759739,1.0051272,1.2127886,1.1277597,1.2550141,1.0413282,1.3040218,0.6998061,0.89122176,1.1388294,1.1061723,0.9640721,0.74063957,1.0373684,1.1443806,1.1065162,1.2234187,0.98763365,1.2183424
broom,1.046105,1.0843167,1.0828093,1.0227578,1.0030078,1.2295271,0.81663513,1.1123521,1.199328,0.99896777,0.930182,1.2188135,1.0484596,0.94169146,0.8994922,1.1186012,1.058727,1.1167382,1.1147537,0.9686579,0.0,0.95639294,0.8462974,0.8892399,0.99704003,1.0279554,0.84931535,0.9671821,1.0826328,1.0324651,1.1369013,1.041037,0.9662113,1.1325513,1.139602,1.0578445,0.9462117,0.911232,1.045282,1.1190506,1.0610411,1.1741365,1.0162026,1.1880369,1.1862378,1.0557096,0.98828554,0.9528937,1.1044768,1.1465238,1.0803506,0.9877076,1.240813,1.2509143,1.260618,1.1500525,1.1256819,0.61387956,1.0739343,0.95548266,0.82741356,0.33584362,0.93866163,1.0301291,0.82952625,1.1334245,0.43901134,1.0146464,1.2059526,0.88162726,0.96036136,1.0730687,1.0407828,1.0521315,1.1927664,1.1358353,1.0807437,0.92542017,0.96845347,1.0938768,1.0826101,0.9616009,1.1271889,1.0305034,0.87354,0.9329282,1.0969243,1.0564412,1.015427,0.98433274,0.9580253,0.9434911,1.2245054,1.0277449,0.85806197,0.6586658,0.88725597,1.2975104,0.92566854,1.1881483,1.1119239,1.0637115,0.9724719,0.93734187,0.7272014,0.72262305,1.0193021,1.1857626,0.4479041,1.1763697,1.0974772,1.1886742,0.9395329,0.9349083,0.81601465,1.1260529,1.2328051,0.84370995,1.1651764,0.83376694,1.1413813,0.89167166
bucket,1.0419326,0.6081737,1.2567294,0.5624913,0.6442535,1.1055245,0.7664678,1.160389,1.2162104,0.67687464,1.1832607,1.4246594,0.66454273,1.1724128,0.98493105,0.9342732,0.44336867,0.39755064,0.7844782,0.90093887,0.95639294,0.0,0.44713384,0.5516101,1.3587832,1.1569155,0.9158594,0.8892884,1.1663706,1.3811613,1.3089364,0.96248233,0.6601577,1.1120471,0.380679,0.7775862,0.82923234,1.1803937,1.0202501,1.2619094,1.1951785,1.0522468,1.163095,1.1935716,1.1168977,0.802265,0.63050437,1.0090094,0.8168028,0.9613598,0.9826788,1.2113318,0.78692925,1.3157343,1.367095,0.50142026,0.9975055,1.0889359,1.3557904,1.1673572,1.264437,0.914585,0.5395571,1.2233062,0.7701103,1.2517252,0.799251,0.62099445,1.0102075,0.7653564,0.80221045,0.74804944,0.81828505,1.2030838,1.4530232,1.395816,1.0866166,0.7916048,0.701102,1.1739686,1.055534,0.6896095,0.5722134,1.0643557,0.71155447,0.8715606,0.7110959,1.1747369,1.2265415,0.85668766,1.1654621,1.0433683,1.3744754,0.9826784,0.9508384,1.2020313,1.1640157,0.82478493,1.1375657,0.9066521,1.208136,0.69753265,1.0166962,0.83130515,1.1213429,1.0735575,0.9410771,1.3370895,1.1389004,1.2547386,0.4741763,1.0368165,1.0379272,1.1355208,0.7578311,0.49967945,0.92096007,1.1379448,1.1076103,1.0960282,0.98859227,1.0547827
can,0.92485315,0.89440405,1.2412981,0.92643076,0.9000661,1.3353693,0.9799637,1.087512,1.29786,0.79324234,0.95152485,1.2824962,0.8044485,1.1567725,1.1817286,1.0615546,0.7023072,0.7190898,0.93563145,0.9964565,0.8462974,0.44713384,0.0,0.64438677,1.3692756,0.8560542,0.47617972,0.98866373,1.1228577,1.3767302,1.0327786,1.0830313,0.804264,1.1728096,0.6283189,0.8220396,0.87095964,0.8670069,0.958242,1.0324025,0.89412916,1.1153214,1.1482248,1.233187,1.0398718,0.9090042,0.8840479,0.89692515,1.0649117,0.92861235,0.9092401,1.2602417,1.0892655,1.2133918,1.3186619,0.71496767,0.9697259,1.2484478,1.1283599,0.8444857,1.1546568,0.7585035,0.50836664,1.3283187,0.5465769,1.1764089,0.73738796,0.6816735,1.0285509,0.5868138,0.7283522,1.0336895,0.6287068,1.2083057,1.2852976,1.132365,1.0623977,0.76704466,0.7404807,1.2117946,0.8966575,0.692521,0.8169154,1.0594177,0.9891204,0.7532402,0.7607844,0.89483607,1.2864025,0.92733896,0.8972755,1.2808154,1.1853215,1.0035093,0.65416163,1.1368253,1.0407487,0.890275,1.1626239,0.8143061,1.1906601,0.7818289,1.0477952,0.739234,1.1845016,0.9841392,0.72543633,1.1898882,1.1006854,1.2588987,0.7390485,0.9630783,1.0524036,1.2781777,0.5396352,0.9537668,1.1260276,1.1690981,1.2036428,0.9005844,0.9505304,0.8413942
car,0.812389,0.72925735,1.3135782,0.6516091,0.73138726,1.1780812,0.9658574,1.1853958,1.307111,0.65679073,0.97310436,1.352291,0.70903885,1.12226,1.1022887,1.058678,0.6230027,0.67230994,1.1955786,0.91411716,0.8892399,0.5516101,0.64438677,0.0,1.3638226,0.98430645,0.7904514,0.84848356,1.2045102,1.2554109,1.1661828,1.0777053,0.76735497,1.2576839,0.6905598,0.65087175,0.803649,1.1172893,1.0578872,1.1519649,1.0244498,1.1752416,1.1023253,1.1028448,1.1510681,0.7896122,0.6069523,0.95240533,0.8554357,0.8961692,0.9788768,1.1419321,1.0603999,1.155454,1.3551741,0.5788571,1.0004874,1.0926136,1.1887136,0.9922665,1.2666279,0.8462643,0.66442883,1.1908822,0.89792126,1.2022953,0.78986394,0.65231526,1.0694087,0.78780836,0.8018872,0.8275465,0.8624897,1.093443,1.3115697,1.2864099,1.1682073,0.76283634,0.72334814,1.1629108,1.0047004,0.68497294,0.7308769,0.992301,0.73995537,0.8855149,0.7029918,1.1785556,1.1186821,0.7689243,0.9892465,0.9661788,1.2949133,0.9473864,0.87530047,1.1129212,1.2455168,0.98523563,1.1054621,0.9232016,1.1326785,0.7650817,1.0615226,0.767989,1.0919622,1.0822592,0.87399065,1.2004374,1.0503743,1.2864246,0.674518,1.0897746,1.000491,1.2336007,0.74532354,0.70382124,1.1786453,1.1151216,1.1266012,1.0642697,0.9952456,0.9618857
carrot,1.2397916,1.2219193,0.7030202,1.2881538,1.1248841,0.54420257,0.9902345,0.8162153,0.88824165,1.2292452,0.8734659,0.7578125,1.3143153,1.0058864,0.840914,0.9901293,1.3385578,1.268103,0.8458847,1.0588186,0.99704003,1.3587832,1.3692756,1.3638226,0.0,1.1077807,1.1382172,1.2536025,0.9447003,0.8405819,0.8935703,0.8778282,1.1518252,0.92338145,1.332753,1.228254,1.2091353,0.95671743,0.9939902,0.88059634,1.0025303,0.7411443,0.97314113,0.8979876,0.98713905,1.0409344,1.3093035,1.1760708,1.2327626,1.2239046,1.1436028,0.9057109,0.9775784,0.89045215,0.68423814,1.4241554,1.1138294,0.76208305,0.87492645,0.9998981,0.3424431,1.0369626,1.3684151,0.8390291,0.94319934,0.8415041,1.1193568,1.2958887,1.0625358,1.3127247,1.2984208,0.9809671,1.1117725,1.0105598,0.7903739,0.7697418,0.916864,1.2659872,1.2758784,0.8059732,1.1056936,1.25966,1.2757845,1.0689188,1.0905976,1.1136593,1.2980411,0.83195305,1.0123813,1.2225704,0.9923278,0.6717769,0.8263533,1.0991933,1.2202905,0.7133055,0.87458843,0.9591653,0.80500287,1.2577566,1.0015491,1.2960978,1.0361929,1.2011111,0.9593645,0.91622174,1.1135182,0.8740711,0.8951005,0.75197625,1.3529139,1.0979763,0.9051553,0.20717978,1.3434441,1.1082327,0.86047363,0.9122173,1.0376031,0.73507005,1.1674461,1.0477777
cat,0.93141675,1.0361984,1.1124824,1.081169,1.0008105,1.2555325,1.0817611,0.8769847,0.9549712,0.90625346,1.0510681,1.0775971,0.8269106,0.9989966,1.0600072,1.157268,1.0232679,1.0497228,1.1322705,1.1104879,1.0279554,1.1569155,0.8560542,0.98430645,1.1077807,0.0,0.8643054,0.96675813,1.0193828,1.1011626,0.9389289,1.2505971,1.0403645,0.9806771,1.0333487,0.941223,1.0125048,0.8336739,1.1180885,0.99567544,0.7858695,1.0764496,0.76139736,1.1078869,1.1497298,0.9370611,0.982843,1.0479519,0.9866685,1.041765,1.0762538,0.9942344,1.1640112,1.0056095,1.1917979,1.0006067,0.87427425,1.1410791,0.88696957,0.9606107,1.0871191,1.0185947,0.8825114,1.1306214,0.95872915,1.0451756,0.9400926,1.0203787,1.0180274,0.92185843,0.94105774,1.0764809,1.0379994,0.4664554,0.9448277,0.8582987,1.0311726,0.9110682,0.9121113,1.2319305,0.960754,0.9610286,0.92015094,1.0580223,1.106402,1.0768018,0.84238946,0.90379715,1.0132967,0.930511,0.7863032,1.2074633,0.9586968,1.1844461,1.0495669,1.1980639,1.0133053,0.89098245,1.0758361,0.9597838,0.39745003,0.9126178,1.2016958,0.9600773,0.91403496,1.0193263,1.0426917,1.0256306,1.0171344,1.0177978,1.0954816,1.1496074,1.062176,1.1976949,0.85221255,1.3170819,1.224327,1.042017,0.9710759,1.0785204,1.0208327,0.90745884
chair,0.91049135,1.2921168,1.0739723,1.2778732,1.2363567,1.2800146,0.8532791,0.7843996,0.94689345,1.0938123,0.47318006,1.0088124,1.1256078,1.032174,1.0152378,0.9985896,1.0719454,1.1094949,0.96133715,1.1020935,0.84931535,0.9158594,0.47617972,0.7904514,1.1382172,0.8643054,0.0,1.15077,0.799936,1.250963,0.51534665,1.1262704,1.2128583,0.9178108,1.0974723,0.9145384,0.8953254,0.6539803,0.8434973,0.85852396,0.9166124,1.131149,1.1098347,1.0710648,1.1976671,1.2702023,1.084553,1.0181701,1.2697012,1.1622088,1.0741844,1.0995115,1.3771394,0.9837246,1.1848385,1.046904,1.0864604,1.0975081,0.7407269,0.7895305,0.99025303,0.48984444,0.6865009,1.3258431,0.80892384,1.0971158,0.90172136,0.760738,1.243506,0.8384347,1.0779046,1.2912409,0.54196644,1.152149,0.9000156,0.8328913,0.9582749,1.0561236,1.0937191,1.1906717,0.70746964,0.9127369,1.1438658,1.0144414,1.2315633,0.70590055,1.0271657,0.6013036,1.2347091,1.0048997,0.7867137,1.1550264,0.9205962,1.0558408,0.76049477,0.9754934,0.89648396,0.8163654,0.9746483,1.0576911,1.0320678,1.1011114,1.1476519,0.97694045,1.1212801,0.9265983,0.44888043,0.9689622,1.0204824,0.68221134,1.174563,1.1808115,1.109727,1.1435301,0.77189004,1.2200519,1.1041257,1.0137277,1.1569631,0.4432416,1.2041839,0.67532074
clock,0.67939305,0.72507405,1.2707005,0.7020843,0.74046385,1.1358919,1.1606259,1.240984,1.3887007,0.5559658,1.3026042,1.3352385,0.6386362,1.2698748,1.2245016,1.1930438,0.57549906,0.673679,1.3762026,0.7515912,0.9671821,0.8892884,0.98866373,0.84848356,1.2536025,0.96675813,1.15077,0.0,1.2554435,1.1574153,1.3307633,1.1587113,0.44864738,1.3282936,0.58249176,0.97658575,0.98807424,1.1504774,0.9309237,1.3078599,0.9544275,1.1118649,1.0802188,1.1409262,0.77268517,0.69959795,0.8356431,0.7484816,0.68004525,0.47722024,0.86846304,1.3092344,0.85644716,1.1442369,1.217469,0.6423261,0.7564971,1.1381199,1.3646263,1.1583915,1.1705449,1.1290121,0.6800452,0.9909115,0.99074364,1.2524261,0.84620476,0.9433054,0.56070924,0.8688836,0.55457807,0.7769323,1.0831164,1.0265456,1.4040086,1.2459613,1.2137783,0.32366043,0.49413973,1.0893211,1.0434655,0.9664586,0.48941088,1.013435,0.8959681,1.0592521,0.39016008,1.296849,1.0654818,0.69134396,1.1464361,0.78979707,1.3844097,1.0237285,1.0946064,1.1946095,1.1293416,0.9777717,1.4491321,0.49624038,1.0418067,0.8239959,1.1482445,0.58947736,1.108878,1.1398358,1.0710114,1.3050934,1.1870047,1.4751018,0.47781515,0.74427056,1.0087123,1.1919758,0.78190696,0.934436,1.2244006,1.2958395,1.0725421,1.2911999,0.54577947,1.1118231
