,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,jacket,jar,jeans,knife,ladder,lamp,meat,mitten,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,spoon,strawberry,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bench,0.7570247,1.4923781,0.71617544,1.1411335,1.2049606,0.8259517,1.1645739,0.7204964,0.35211766,1.2482806,0.0,1.0736551,0.6546516,0.35326827,1.177633,1.3844191,1.4614444,1.0516602,1.159323,1.2872895,1.2625211,1.3438456,1.2752312,0.99879014,0.62096214,1.3893062,0.7877476,1.1771014,0.55999076,1.1452255,1.4982421,0.36808455,1.5619793,0.9328268,1.1280004,0.8333826,0.5082191,0.7693865,1.4790767,0.95493007,1.2910116,1.1499505,0.97580993,1.1792665,1.1990914,1.1215266,0.8197176,1.3206697,1.2799709,1.0511742,0.8288736,0.9253746,1.4307202,0.8228829,1.0279402,0.6843596,1.197823,0.34237778,1.1242156,0.93851453,0.86637086,1.452744,1.4280473,1.3521641,0.9451965,0.9337956,0.78035927,0.7091979,0.7963883,1.3258753,1.3486843,1.2846615,1.2223663,1.0439284,1.0513728,0.7965213,1.0001162,1.1296585,0.8714719,1.0046818,0.99852043,0.81019086,1.0208421,0.8917423,0.87960374,1.2506472,0.5047399,1.3905828,1.4465787,1.0320234,1.3468819,1.406653,0.8938304,0.8833497,0.50627756,1.2769313,1.2290174,0.7721338,1.4525566,0.84137744,0.8603952,0.9469908,1.2964189,1.438869,0.47419596
bib,0.97044706,1.0456159,1.1169986,1.1676211,1.0975789,1.0337716,1.0933932,1.0051959,1.0292689,1.1720972,1.0736551,0.0,1.0632759,1.0825484,1.1288763,1.0828488,1.1060816,1.0172051,0.96182764,0.9540837,1.1520824,0.9696694,1.0533183,1.000807,1.0552489,1.0117717,0.9391534,0.9523054,1.0175197,0.94177043,1.0793426,1.0352188,1.0641562,0.91831064,0.62364674,1.0190625,1.0433149,0.79718935,1.0513988,1.0185043,1.04044,1.1078002,0.9996975,0.939463,1.0081792,0.9587253,0.9308281,1.0554688,0.9592997,1.044508,0.9920676,1.0833672,0.946699,1.0675385,0.97649384,1.0046982,1.0541642,0.95129365,1.0900196,0.9968686,1.0017045,1.0527465,1.0206604,1.0208813,1.0213823,1.1065142,0.8669198,1.0475302,1.0688386,1.1783469,1.1480637,0.870453,0.9017279,0.9946031,0.8640802,1.0228226,0.86913216,0.9655087,0.96142554,0.84161425,0.9961393,0.8990068,0.99323606,1.0190119,1.122793,1.0086797,1.047919,1.0179753,1.0484116,1.0304118,1.1374137,0.9598043,0.9284693,0.9319775,0.9464588,0.9574761,0.9837065,1.0265589,1.0719926,1.0179493,0.8705701,1.0683295,1.0868263,1.0812907,1.0222594
blanket,0.7970158,1.2579634,0.75754696,0.98127514,1.1308895,0.9405292,1.170376,0.7869077,0.47374815,1.0561227,0.6546516,1.0632759,0.0,0.6019779,1.2875717,1.1870406,1.3009555,1.1991718,1.0574886,1.2546396,1.2457972,1.1815132,1.3184968,0.8021638,0.76469064,1.1005588,0.7880298,0.9891636,0.6571183,1.0053774,1.442053,0.61282516,1.3599842,0.839892,1.1809272,0.9027873,0.8096353,0.8071847,1.2760473,0.7934922,1.330363,1.1141202,1.053249,1.1539667,1.1456938,1.1173656,0.81456363,1.2737162,1.2418634,1.0312741,0.9188036,1.0029052,1.236789,0.7307804,1.1413255,0.74315596,1.171479,0.7398075,1.0195456,1.0092367,1.02324,1.3217123,1.3881482,1.3717208,1.0175772,0.9954522,0.9536609,0.71436745,0.89861625,1.3037593,1.3650496,1.071066,1.1518345,1.0705652,0.9621166,0.82906616,1.092993,1.2102714,0.93478036,1.1841072,1.0154401,0.7877037,1.060274,0.9580172,0.8267405,1.0002718,0.72226566,1.3074898,1.204057,0.9228251,1.2303046,1.3631417,1.1510322,0.97783434,0.69720936,1.2012135,1.1528623,0.833562,1.3970056,1.0165753,0.95645756,0.91838974,1.3194392,1.2972481,0.6129471
boat,0.71547437,1.2707487,0.73391217,1.0498278,1.1770386,0.8974039,1.2145178,0.7664981,0.54417056,1.10883,0.35326827,1.0825484,0.6019779,0.0,1.1885799,1.221708,1.2866915,1.2041553,1.1605203,1.371968,1.3170552,1.1985787,1.2567667,0.9178832,0.90627015,1.1772262,0.80774844,1.144454,0.7742048,1.1513652,1.3800465,0.5894394,1.4177761,0.97221917,1.2143929,1.0172396,0.7491365,0.80586016,1.3183458,0.88975453,1.2191386,1.1989628,1.1019748,1.1261582,1.2051679,1.066187,0.8741424,1.1939987,1.3032374,1.0418372,0.8825055,0.9519659,1.3164711,0.8517422,1.0890807,0.6735583,1.2229979,0.6137583,1.0772364,0.9713455,0.9848927,1.2834721,1.4349341,1.3390753,0.97717613,1.1015546,0.7979982,0.6894611,0.95340204,1.2217304,1.2274156,1.2800134,1.1877345,1.0603596,0.9773514,0.8030394,1.1607169,1.1149954,1.089864,1.1480422,1.0304804,0.7723038,1.0485846,0.89054155,0.7826917,1.0649171,0.5793698,1.2907091,1.2304928,1.0520569,1.208882,1.3370874,1.0541741,0.85041845,0.82182914,1.2318119,1.1547339,0.86028194,1.4161935,0.9138844,0.9318225,0.8751762,1.3401496,1.2461835,0.47663742
book,1.261982,0.7798698,1.2734866,1.0192189,0.8879348,1.1319562,0.64147997,1.0290054,1.3346508,0.80532616,1.177633,1.1288763,1.2875717,1.1885799,0.0,0.7693689,0.61297154,0.65739906,1.0512692,0.6872335,0.5717681,0.65035087,0.8958457,1.1964961,0.9412967,0.8232525,1.270011,1.0071049,1.3092799,1.0097862,0.6301234,1.2170646,0.62434405,1.2892039,1.0205635,0.9161063,1.0063316,1.2762868,0.7989783,1.2140138,0.9213817,0.9754797,0.99891794,0.83057815,0.7481361,0.9413936,1.3031301,0.98593056,0.9299538,1.0152793,1.3278432,1.286293,0.68508124,1.1984521,0.9411744,1.2780713,0.5934241,1.3082349,0.83244073,1.1035826,1.1899331,0.8551996,0.4737304,0.88513064,1.2427056,0.59864134,1.317915,1.2731439,0.86371195,0.64202815,0.49223304,0.6753685,1.0303874,0.9725901,1.0467715,1.2209853,0.8535735,0.60324186,0.88885546,0.8749225,1.0155702,1.3042696,0.97037446,1.0892527,1.0530308,0.7531542,1.2318488,0.80713296,0.7707302,1.0275462,0.614402,0.74312645,0.89194715,1.2280443,1.1781282,0.8458544,0.9970616,1.2184308,0.60593486,1.0504804,1.207215,1.0864737,0.78050244,0.7369671,1.3133855
bottle,1.3440564,0.1961925,1.2800653,1.0189747,0.99034244,1.2308745,0.7744837,1.2120225,1.3466384,0.39510936,1.3844191,1.0828488,1.1870406,1.221708,0.7693689,0.0,0.18393451,1.0077147,1.0639093,0.6478629,0.6195477,0.574014,0.98644644,1.0157986,1.2606785,0.5464803,1.143674,1.0231854,1.326402,1.0646288,0.3619287,1.3619328,0.19064045,1.1764444,1.0145528,0.99083185,1.3348277,1.2355793,0.7420794,1.0665151,1.0308611,0.82904243,1.0008596,1.0329809,0.8786427,0.9294741,1.1833041,0.6759839,1.1414824,0.9986456,1.2876427,1.3646216,0.5880945,1.2274286,0.98413455,1.3813236,0.7719687,1.3533523,0.47712874,1.2010646,1.3270042,0.41189647,0.56834924,0.7733117,1.2410104,0.9599634,1.2847149,1.3474932,1.215791,0.4535191,0.43138486,0.95542455,1.0345279,0.91650003,1.0764636,1.3081806,1.1173623,0.80792487,1.0356888,1.151512,1.220597,1.3085687,1.1682533,1.2674118,1.2417169,0.43365645,1.2765038,0.73575294,0.19590968,1.2360239,0.4551506,0.76005757,1.1575048,1.2440943,1.3393852,0.9272686,1.113974,1.340014,0.4035781,1.0971591,1.2714828,1.0062366,0.68885505,0.24707484,1.2063838
bowl,1.4262447,0.17792702,1.4370213,0.9529481,0.8167815,1.2434821,0.67559385,1.0943964,1.471801,0.40971434,1.4614444,1.1060816,1.3009555,1.2866915,0.61297154,0.18393451,0.0,0.8711766,0.85882616,0.6217082,0.48870242,0.5913511,0.7811612,1.0868287,1.2050484,0.51517767,1.1938552,0.9921135,1.4272695,1.029644,0.2773956,1.4500858,0.19854945,1.2498872,1.046319,1.0832388,1.2744424,1.3844302,0.5045028,1.1488152,0.8678458,0.7902622,1.0500365,0.96825826,0.78793985,0.8971132,1.2286468,0.6588445,1.0734223,1.1021986,1.3644412,1.380213,0.5818088,1.2861454,1.010022,1.4792383,0.75941133,1.4973568,0.48269147,1.1342558,1.3963962,0.366839,0.4432395,0.6803659,1.2297525,0.9610437,1.3751428,1.4392529,1.1899855,0.3584609,0.30009907,0.90164137,0.84074277,0.9682991,0.8726515,1.2706184,1.2125491,0.76205313,1.1372026,1.1650485,1.2496471,1.3992813,1.1536107,1.2088635,1.1989884,0.31340003,1.4092114,0.60837513,0.20834887,1.2721632,0.358379,0.5804906,1.1562456,1.2951528,1.4004853,0.841014,1.0091105,1.405225,0.3490156,1.2106363,1.2450203,1.0949807,0.7035409,0.2942074,1.3408092
box,1.0574718,1.0426477,1.2370912,1.2359734,1.0281698,1.0814608,0.7150214,0.8220329,1.0692799,1.0612729,1.0516602,1.0172051,1.1991718,1.2041553,0.65739906,1.0077147,0.8711766,0.0,0.9787228,0.50023615,0.6627972,0.7879064,1.1180482,1.2455355,0.82634854,0.96699035,1.0182987,0.8884753,1.1810763,0.9194032,0.97318834,0.9372859,0.8059716,1.1835049,0.9122074,0.90404093,0.8261962,1.1725276,0.8287473,1.2268808,1.0943964,0.9536699,0.8331336,0.9743519,0.8597107,0.8791759,0.9895748,1.1496079,0.9742883,0.99506414,1.2678065,1.2131389,0.9091386,1.3798336,0.44876528,1.2738538,0.8070148,0.95151097,1.0184188,1.0330827,1.0928166,1.1268371,0.79566395,0.96795887,1.1899478,0.73777074,1.243456,1.2943153,0.90255755,0.9785192,0.9649963,0.7523253,1.0153906,0.8632339,1.0584556,1.1527108,0.6851795,0.62090605,0.8012414,0.98410255,0.9054101,1.2709091,0.9966688,1.2305607,1.0472213,0.89522123,1.1521902,1.058851,1.0218639,1.0966898,0.89366055,0.91964734,0.8351357,1.1479356,0.90004647,0.66840005,1.159926,1.2102933,0.95781386,1.0151061,0.97444546,1.0230268,0.9388518,1.0202056,1.2365322
bread,1.050045,0.9258367,1.0969057,1.0192064,1.0165815,0.9930399,0.9729949,1.0249276,1.1292794,1.0100403,1.159323,0.96182764,1.0574886,1.1605203,1.0512692,1.0639093,0.85882616,0.9787228,0.0,1.1181343,1.0612949,1.1002647,0.86151665,1.0533156,1.2028434,0.9756049,0.98216283,0.55406904,1.1249416,0.45388317,0.98512185,1.1304569,1.0611497,0.9705174,1.0866452,1.2078147,0.99101776,1.1909403,0.753366,1.0866953,0.9028022,1.1449056,1.1593025,0.9010412,0.9851747,1.0564117,0.97207016,0.95983696,1.0702429,0.99394244,1.0132567,0.98964345,1.0941858,1.035662,1.002691,1.072725,1.0675476,1.1627696,1.0245068,0.78389734,1.1063527,0.9589332,1.0364012,1.0026014,0.9639736,1.1699673,1.1003768,1.0594902,0.92244494,0.9820741,0.98100483,1.136121,0.49538958,1.110712,0.6796918,0.9268592,1.2113613,1.0327322,1.1400377,1.1176507,1.1641996,1.0711734,0.91614664,0.9316443,1.1295264,0.9169496,1.1571933,0.8512139,0.9704487,1.0722406,1.033005,0.95210063,1.0947443,1.0205423,1.0665632,0.931628,0.9395916,0.9744394,1.042491,1.1397483,0.92705345,1.2028825,1.0786251,1.0343952,1.205503
bucket,1.196871,0.7229919,1.3907125,1.1649843,0.93249035,1.2721894,0.68403447,1.0120567,1.2656353,0.91246635,1.2872895,0.9540837,1.2546396,1.371968,0.6872335,0.6478629,0.6217082,0.50023615,1.1181343,0.0,0.4668938,0.5294578,0.989679,1.1972017,0.86163235,0.7229785,1.1246701,1.0394412,1.2603731,1.0836325,0.69204897,1.1902626,0.38161975,1.2287056,0.71974564,0.78950894,1.1661648,1.2464294,0.68177044,1.2029064,1.0398133,0.82736784,0.70724356,1.0377283,0.75254035,0.8546846,1.0970726,1.0750965,0.8759613,1.0364534,1.3601965,1.3527492,0.5419441,1.3731217,0.5646723,1.4096408,0.7119013,1.1179194,0.826425,1.1919312,1.2342077,0.774681,0.40888596,0.86808306,1.27283,0.7497992,1.3763146,1.3888744,1.1265407,0.8569285,0.74137664,0.66091454,1.0010715,0.7501168,1.1725923,1.2946949,0.80168533,0.60556453,0.7505394,0.92590696,0.9924882,1.3944805,1.0826257,1.305692,1.2691847,0.8281283,1.2902215,0.91007656,0.73372614,1.1348366,0.6641979,0.6629306,0.8669481,1.260577,1.0920993,0.66078424,1.0825652,1.3978801,0.5032217,1.1042542,1.0926473,0.96904165,0.6026486,0.7732915,1.2663133
can,1.3026068,0.71810865,1.3513272,1.0719445,0.71124125,1.307259,0.5333303,0.8008728,1.227005,0.5765634,1.2625211,1.1520824,1.2457972,1.3170552,0.5717681,0.6195477,0.48870242,0.6627972,1.0612949,0.4668938,0.0,0.778543,0.9072747,0.91663504,0.7136542,0.7604432,1.0197918,1.142814,1.291712,1.1404839,0.5310731,1.1597615,0.42880404,1.2380956,1.0848713,0.5502343,1.0971563,1.3708947,0.6933123,1.0739932,0.8871894,0.85699075,1.0084348,0.9415802,0.9091605,1.0106006,1.3625257,0.9248975,0.9041719,1.1079661,1.2939581,1.3883896,0.6047325,1.1450485,0.9172116,1.3262529,0.6522862,1.2207294,0.6544756,1.2666556,1.3540244,0.72012913,0.41251117,0.716871,1.281039,0.49290705,1.3994162,1.2633058,1.0355949,0.5290586,0.5046902,0.7577252,1.1340072,0.98374546,1.2154062,1.2623369,0.9111648,0.6320871,0.7903636,1.0438765,1.2150133,1.2725112,1.0361866,0.9855582,1.2728664,0.6748477,1.2465519,0.7012159,0.7105727,1.1036819,0.62971276,0.7604327,0.8518802,1.2398049,1.2248099,0.9561887,0.9702252,1.4296141,0.31659925,1.1997135,1.330337,1.0598431,0.40318418,0.682084,1.1943612
