,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
comb,0.98496264,1.1352286,1.3471993,0.84866697,0.81947625,1.1610008,1.3523133,1.112802,0.6593791,0.7107267,0.8859488,1.3137199,0.8940287,0.96841705,1.1506634,0.8500055,0.9597806,1.0379882,1.2735906,1.0466717,0.9007645,1.2804681,0.9689387,0.8668614,1.0464668,1.1465502,1.0520027,1.1378837,1.0911686,1.1624737,1.2173331,0.9434209,0.96885425,0.9808999,0.0,1.1887457,0.9483537,0.5911771,1.2523353,0.97125083,1.226372,1.1138494,1.2203786,0.97080696,0.76843894,0.9572629,1.2293094,0.87392396,1.12277,0.8266146,1.1834688,1.2696044,0.867581,1.0767057,0.8694736,1.1133821,1.0216943,1.0673084,1.1200091,0.9706184,1.2620205,0.7910099,0.8265599,1.3035975,1.141986,0.872847,0.92144,1.0109657,0.8591936,1.0370308,0.8339213,1.1587484,0.8780989,0.80254185,0.82372206,0.87219775,0.8779826,1.2729824,1.0612848,1.2592193,1.1187974,1.149459,1.2599423,0.71050656,0.96446824,0.83907723,0.9281277,0.8723719,1.0781032,1.108618,1.0780196,1.026934,0.9620229,0.9586015,1.1019949,0.8416754,1.0166148,1.3251919,1.0004535,1.2449855,1.2341859,0.74291,0.80535936,1.1788633,1.05676,0.6205239,0.7507204,0.98543686,0.914222,0.97469336,0.78404284,0.8250934,0.8074689,1.2313747,0.8285608,1.213156,1.0316877,1.0365256,0.9937515,0.7677476,1.3101761,1.1133119,0.89680576,0.836264,1.1409559,1.2732849,1.1337812,0.83782625,1.1286814,1.1897706,0.847841,1.0601621,1.011479,1.2795453,0.98557043
cookie,0.845288,1.0937787,0.33649707,1.047519,1.073869,0.56951916,0.798591,0.7640796,1.2333454,1.1560217,1.0837198,1.0526319,1.2208726,0.8276495,1.1277941,1.0983369,1.1574177,0.9722012,1.1546628,1.2258834,0.9736053,0.94865555,1.2304881,1.2189229,0.9035098,1.2609284,1.2401168,0.98066103,1.0767593,1.2114729,0.8909205,1.128035,1.1094112,1.0738485,1.1887457,0.0,1.0508815,1.0008658,1.1264051,1.13969,1.1850673,1.0203407,0.7693608,1.202728,1.1040798,0.75637114,1.0278668,1.1089061,0.8198458,0.95304394,0.96392655,0.98446894,1.1725665,1.0159731,1.2154104,0.60190445,0.9432167,1.0788033,0.93044496,1.099016,1.126926,1.0459001,1.0188884,0.9179741,1.0103934,0.9484027,1.021597,1.1954014,1.0551639,1.2549996,1.1592869,1.1403784,1.0811579,1.0593234,0.80604386,1.073358,0.98848385,0.8851099,0.47392285,1.059256,1.1015261,1.0651703,0.4159912,1.2308903,0.68127114,1.0306926,1.0643411,0.96665,0.19666016,1.1887739,1.1516744,0.93283856,0.9540274,0.5356429,1.202549,1.1440691,1.1923972,1.0612823,0.48412418,1.0753872,1.1005783,1.2625543,1.0314192,0.9748529,1.02575,1.0174661,1.0961696,1.1618336,1.0754149,1.1867759,1.0623064,1.2963533,1.0552418,1.1844811,1.1146164,1.1517333,1.1042433,1.0638387,1.3030728,0.9915817,0.77753866,1.0812045,1.0338643,1.0966656,1.0540732,1.0855132,1.0519421,1.1719161,1.2291185,0.93307793,1.0000125,1.0634716,1.2209768,1.0893059,1.1274351
couch,0.64338636,1.2325258,1.2961698,0.99278516,0.8812945,1.2341202,1.4533437,1.3269032,0.8551902,0.5858614,0.120361686,1.3308325,0.39410436,0.7513056,1.1437516,0.30066144,0.8944521,0.99863344,1.4399159,1.3518133,0.7971547,1.4288034,1.292559,1.0766461,1.195041,1.27203,1.0452366,1.3358345,0.77137166,0.70754945,1.4307468,0.90378785,0.7812598,0.6203526,0.9483537,1.0508815,0.0,0.90611994,1.4712677,0.6453679,1.4476061,0.81258154,1.1435602,0.78645843,0.859139,0.97564566,1.2878501,0.4761665,1.1970541,0.8230782,1.3316321,1.3065965,1.0506138,0.9946805,1.3637924,1.2307914,0.8905273,1.1698117,1.2375627,0.9970787,1.4190056,0.83667254,0.9818828,1.3926724,1.3112364,0.935201,0.5020732,1.1761487,0.49613512,1.489709,0.60821044,1.4029833,0.6579223,0.6877635,1.0167211,0.975784,0.84345245,1.2548466,1.1074855,1.3751528,1.3175788,1.2929695,1.3225985,0.7529436,0.95184577,0.5460365,0.6023039,0.86482567,0.8968276,1.4883915,1.4349889,0.9045339,1.0734675,0.9685182,0.92288,0.95295733,1.3691981,1.3776885,0.9988688,1.225479,1.276509,0.6754239,0.97885174,1.0508593,1.0505893,0.8328331,0.5846801,1.0103067,0.6922217,1.1949761,0.6362367,1.057354,0.4954967,1.3766584,0.73571205,1.2918496,1.0072913,1.2040508,1.4444135,0.9993005,1.3784157,1.1790955,0.50612414,0.48741734,1.3097303,1.4092029,1.2853906,1.1942405,1.2052704,1.1979674,0.87866247,0.9691892,1.0812088,1.4194359,0.6738323
cracker,0.9232056,1.1656818,1.181117,0.8578795,0.86925066,1.0706972,1.3092594,0.9075907,0.7336916,0.8390538,0.88300633,1.32671,0.94031966,0.860222,1.1824034,0.90070873,0.9707911,1.013295,1.2979107,1.0748202,0.8494809,1.0626209,1.3001392,0.9695782,1.0425118,1.2268407,1.1677651,1.2082196,1.069805,1.2076751,1.2411554,1.1072497,1.0455874,0.96859,0.5911771,1.0008658,0.90611994,0.0,1.3210235,0.87755865,1.2718959,1.0840962,1.1522808,1.0529034,0.9604776,0.81157315,1.1941655,0.9429444,1.0682523,0.8064944,1.1774758,1.2680526,0.85537124,1.0360054,1.1675653,1.0424889,0.92969656,0.98718905,1.1118743,0.9504429,1.2827059,0.837567,0.8548063,1.279568,1.161273,0.8248619,0.9009267,1.1250224,0.82847846,1.1881616,0.8365524,1.3441008,0.93722403,0.8292016,0.67910933,0.9535617,0.85731924,1.2087402,0.7396631,1.2549663,1.1553291,1.1778759,1.0987958,0.8449192,1.0709321,0.83859897,0.86277527,0.8551227,0.88557756,1.3059707,1.2892153,1.0316278,0.8990844,0.9322658,1.2196405,0.8589353,1.1205764,1.3210334,0.8986367,1.1884987,1.2140652,0.91703594,0.76432383,1.1853197,1.0238428,0.61542237,0.81672496,1.1816586,0.8627218,0.79896903,0.80731237,1.0037534,0.76203567,1.3618561,0.87292325,1.201987,1.0846997,0.82984877,1.1720612,0.72274923,1.1755959,1.0754477,0.8592971,0.8127212,1.2207388,1.2756034,1.1690023,1.0924039,1.2098459,1.1980166,0.83484524,1.0730352,1.1146333,1.3006841,1.032203
crayon,1.4079163,0.7461035,0.81440544,1.2027142,1.2313839,1.0210024,0.43074465,0.7173228,1.2169355,1.4417124,1.5035255,0.2837428,1.346319,1.4596353,0.9196651,1.3769284,0.97199297,1.0221114,0.14984405,0.6629474,1.3639916,0.34572655,0.6988181,1.0096887,1.0127653,0.5077263,0.85706425,0.46471834,1.2197726,1.0045143,0.4219457,1.0227047,1.2208434,1.2945938,1.2523353,1.1264051,1.4712677,1.3210235,0.0,1.3481109,0.28683305,1.219407,1.0183104,1.0884321,1.2651352,1.2107763,0.7548467,1.3303188,0.81274676,1.3009213,0.5439234,0.43403703,1.0877999,1.034014,0.589512,0.99146813,1.2305678,0.99146056,0.7278037,0.97084314,0.19673103,1.2779863,1.2162817,0.38169336,0.76803684,1.2553998,1.4155356,0.97216296,1.4428298,0.35655844,1.3389688,0.48330826,1.2740319,1.4290776,1.3281637,1.190707,1.2832341,0.50671804,1.2774231,0.18417609,0.5898339,0.4797008,0.8271873,1.383935,1.2102052,1.4777248,1.3864033,1.315833,1.3084286,0.13638133,0.26128232,1.2766762,1.0989839,1.2089124,0.63532245,1.1780057,0.6953062,0.57179403,1.3426752,0.71593916,0.3348862,1.3736258,0.937226,0.9822584,0.97759527,1.3662682,1.4859548,1.008396,1.4013352,0.7563833,1.3397437,0.9613745,1.5146699,0.27094007,1.1498528,0.6201972,0.94497496,1.0766144,0.5530156,1.1697382,0.49890995,0.6863467,1.4360825,1.5709314,0.5373592,0.3871873,0.44197893,0.78319645,0.59201896,0.68301195,1.4772668,1.038789,0.8030413,0.17921877,1.2508031
crib,0.8061174,1.2502407,1.2409097,1.0460068,0.85821074,1.1420982,1.3509529,1.2670872,0.6129507,0.6954881,0.7101955,1.3245428,0.44412386,0.9775946,1.0068394,0.79755414,0.9524741,0.70266914,1.2836845,1.1302345,0.48513198,1.3827631,1.120921,0.9114295,1.055079,0.98061055,0.97095,1.3604349,0.9080312,0.49183726,1.3044142,0.7001873,0.9795283,0.5751862,0.97125083,1.13969,0.6453679,0.87755865,1.3481109,0.0,1.2409194,0.944248,0.88949233,0.7377463,0.75600636,1.0458626,1.3109764,0.9362901,1.3076937,1.0474265,1.3221085,1.2873367,0.92283964,1.1826476,1.2307936,1.1009852,0.6355819,1.0771781,1.2818103,1.1196114,1.3692607,1.074737,1.1122296,1.3241572,1.1315248,0.7626033,0.9795952,0.9575032,0.9502802,1.2252445,0.3530422,1.0752925,0.97774994,0.85976964,1.1240475,0.92634696,1.0855697,1.2023941,1.0111063,1.3481183,1.1856197,1.2753729,1.2517147,0.71283233,1.031208,0.9131471,1.0165619,0.77313286,1.0239767,1.3479522,1.2886477,0.87547374,1.0290388,1.0740168,1.0419916,0.8914706,1.1733433,1.1506026,1.0558462,1.0806373,1.1364449,0.7423699,1.0336959,0.9972765,1.011351,0.7036058,0.954877,0.911886,1.0272306,0.9109603,0.8419224,1.0359452,0.6021903,1.2738098,0.8615198,1.1019785,1.0891283,1.0326033,1.1384311,0.92711675,1.3019482,0.9328965,0.9988099,0.5179429,1.1228366,1.4245355,1.2751746,1.1107877,1.1100647,0.8597325,0.6900958,0.9603351,0.81119317,1.4044152,0.68698084
cup,1.38201,0.81551343,0.8541036,1.0809199,1.303937,0.96161103,0.50804245,0.8220521,1.0075694,1.4142141,1.5188165,0.44284672,1.3044022,1.4431695,0.78195524,1.3392804,1.0285126,1.0131462,0.15169108,0.3417902,1.2784312,0.43806762,0.6904511,0.60770917,0.91512096,0.36774677,0.7215799,0.74512935,1.106723,0.8872651,0.4251963,0.8779565,1.2179399,1.1937696,1.226372,1.1850673,1.4476061,1.2718959,0.28683305,1.2409194,0.0,1.1248062,0.9856043,1.0563743,1.2864907,1.3180584,0.7273338,1.3136979,0.9720285,1.373097,0.8002185,0.6357438,0.96983033,1.1645001,0.66093236,1.0294293,1.2111021,0.61916846,0.86365384,1.0694045,0.28331888,1.3207226,1.2850003,0.5155558,0.81235576,1.3301736,1.4106853,0.6284102,1.564851,0.442006,1.3368243,0.39216042,1.2848085,1.4064758,1.2832699,0.98239714,1.3386936,0.73729104,1.1670134,0.31764817,0.6984728,0.6554516,0.8012264,1.1660178,1.1848507,1.4974546,1.4873803,1.2464392,1.3175954,0.3766806,0.52130127,1.2124227,1.1953547,1.2501981,0.64153665,1.0457363,0.6176362,0.633349,1.2741367,0.79952157,0.34858477,1.1661742,1.0458348,0.84884053,1.0971773,1.4459965,1.4612116,0.88783,1.4707878,0.86698335,1.3513825,0.7517603,1.4958757,0.39011788,1.2877662,0.45611507,0.8947949,0.8394772,0.47635186,1.29918,0.69146544,0.6707427,1.4587221,1.4105712,0.48440498,0.5152406,0.68521947,0.9607012,0.6084829,0.70904845,1.2637033,1.0552232,0.7678745,0.34564376,1.194632
dog,0.513732,1.1535547,1.0135183,1.0653014,1.0089092,1.0503094,1.0945878,1.1193765,0.9698414,1.019755,0.86793435,1.1006079,0.9031122,1.0322741,0.42374396,0.71279454,1.132061,1.0314518,1.1027453,1.0312982,1.0079477,1.1271656,0.97690934,1.1258259,0.85631,0.9980057,0.91750914,1.2001824,0.06107378,0.9084726,1.1158226,0.9941484,0.9950608,0.9504994,1.1138494,1.0203407,0.81258154,1.0840962,1.219407,0.944248,1.1248062,0.0,0.8616063,1.0746074,1.1397463,1.0235323,1.092694,0.8070054,1.0968649,1.1061605,1.2626938,0.9741703,0.9327127,1.0612435,1.2054214,0.8050569,1.007129,0.9916767,1.1512899,1.0897715,1.0838475,1.0214148,1.1347272,1.0842105,0.9621289,1.0517724,1.010321,0.9766496,1.0035425,1.1858634,1.0819173,1.0435066,0.8750237,1.0470446,1.095538,1.0200799,1.0417643,1.1581724,1.0046914,1.1522368,1.1526629,1.2449354,1.0593073,0.9907003,0.90553594,0.93309593,1.0057852,1.0719798,0.9954088,1.2218814,1.2253519,0.69717306,1.0785108,0.9318218,0.8688617,0.9409363,1.1198071,0.8674222,0.91022533,0.8810007,1.0647782,0.9762335,1.1055503,0.35081583,1.1210787,1.0991861,0.9874622,0.9413835,0.9996532,1.1668856,0.9293744,1.118676,0.9387175,1.1086687,1.0726311,1.0224544,1.0714651,0.9144786,1.1254637,1.0571363,1.1151348,1.1206695,1.0164684,0.95084953,1.0817072,1.1529785,1.1677544,1.1778828,1.03232,1.0516596,1.0571594,1.0396547,0.97872645,1.1314167,0.96241105
doll,0.8247695,0.8551831,0.6915976,1.149133,1.1264268,0.89951146,0.83443844,1.0395199,1.0712326,1.3230379,1.2463578,1.1182252,1.1772499,1.0181017,0.76319057,1.1411673,1.1719567,0.8120176,0.95280695,1.1041769,0.8573755,1.0152191,1.0070152,1.1002578,0.7980404,0.94987565,0.93096185,0.8839258,0.92127264,0.9015438,0.9371574,0.89706457,1.0501659,1.0368323,1.2203786,0.7693608,1.1435602,1.1522808,1.0183104,0.88949233,0.9856043,0.8616063,0.0,1.0066656,1.2245526,0.98035944,0.9860929,1.2395959,1.1018338,1.2084277,0.95446134,0.83533776,0.9408795,0.9642514,1.1655897,0.6198051,0.992782,0.92674273,0.9763016,0.971807,1.0029387,1.072415,1.0627507,0.69045675,0.8137062,0.96110445,1.2006365,0.965307,1.1414679,1.0715361,1.054978,0.91466904,1.1390532,1.0984205,1.2069929,1.0253608,1.0248,0.9679796,0.74136615,1.0433596,1.020973,0.9634121,0.7651715,1.197119,0.8602935,1.1133276,1.149214,1.0024734,0.87836313,1.1097531,1.0952505,0.85933006,1.0162475,0.94024336,0.9291674,1.001659,1.171174,0.68055093,0.9182835,0.6851809,0.95482737,1.1953039,1.1530533,0.66923493,0.9386842,0.9709583,1.1637805,0.9294089,1.1427112,1.0496418,1.1709423,1.4088051,1.0870347,0.9834646,1.1866821,0.9631997,0.9688103,0.99917483,1.0042273,0.96687484,0.86331093,0.87353086,1.2049613,1.1984317,0.9899001,0.9274625,0.998129,1.0722212,0.947743,0.69817483,1.1155158,1.0713081,0.8567282,1.0668347,1.085042
door,1.0143471,0.99567103,1.2527354,1.0805007,1.1868546,1.2578151,1.1141121,1.2277665,0.7621802,0.6807834,0.8513322,0.9954029,0.53701925,1.0841148,1.1599141,1.0114412,0.7411579,1.1061044,0.9903777,1.1556983,0.99334055,1.1721385,0.9060564,0.77803516,1.1230692,0.77121943,0.94952124,1.0021118,1.0562915,0.5565548,1.0914434,0.46820152,0.8972844,0.6119017,0.97080696,1.202728,0.78645843,1.0529034,1.0884321,0.7377463,1.0563743,1.0746074,1.0066656,0.0,0.70285636,1.0862594,1.1276107,0.9579327,1.1516626,1.0431612,1.1075741,1.144199,0.80894184,0.97484857,1.0032463,1.3695116,1.0174005,1.1398706,1.130998,0.98318845,1.102255,1.0207747,1.0365804,1.0993582,1.1260663,1.059037,1.0482204,1.0421988,0.861712,1.0634291,0.44669855,0.92009073,0.8724189,0.9352446,1.1980909,0.93428624,0.97189784,0.92914367,1.2110772,1.1270977,0.9835309,0.9419993,1.2521935,0.6415974,1.1748272,0.99007756,0.84055686,1.0495416,1.2008884,1.0754132,1.0012473,0.9257064,1.1600072,1.209098,0.9822581,0.727103,1.1574967,1.1188794,1.1822095,0.8205658,1.093116,0.44046605,1.1315296,1.1240433,0.9610554,1.0935816,0.95823514,1.1557786,0.8300494,0.9323926,0.71988696,0.9534555,0.9672418,1.1675514,0.9828303,0.945734,0.9754841,1.1076185,1.077693,1.110126,1.2872071,0.9153446,1.0299954,0.80894953,1.2027409,1.0779201,1.1444821,0.9029559,0.8779867,1.2147999,1.008444,0.9940532,0.60606873,1.1006124,0.58984303
drawer,1.1436961,1.2001227,1.2014426,1.0243771,0.92979485,1.0797106,1.2438841,1.2451348,0.845031,0.42895162,0.7601201,1.0743911,0.61106825,0.9459238,1.2611483,0.9747569,0.7937956,1.0306212,1.3375616,1.0863892,0.8245279,1.2988878,0.9389266,0.8655012,1.0532817,1.0419718,0.974775,1.1896316,1.1298653,0.9210203,1.1301776,0.92606837,0.963428,0.65545106,0.76843894,1.1040798,0.859139,0.9604776,1.2651352,0.75600636,1.2864907,1.1397463,1.2245526,0.70285636,0.0,0.94586354,1.1591163,1.0096321,1.0635257,0.8185785,1.0954905,1.219982,1.015567,1.0130267,0.878593,1.2194865,1.0073519,1.1399739,1.0281948,1.0490009,1.3082778,0.9015128,0.8891574,1.2643316,1.2342846,0.8818306,0.9119066,0.9658414,0.80433834,1.0266523,0.6386687,1.0490057,1.0482963,0.7530968,1.0460814,0.9956443,1.0078113,1.0824845,1.0807749,1.2833719,1.1265179,1.0528771,1.247772,0.48691976,1.1258596,0.9348185,0.7665531,0.80366445,0.9989684,1.0543454,0.90602815,0.90528554,0.98232234,1.0222127,1.2225316,0.985923,0.9391452,1.2416029,1.0773292,1.146286,1.2091819,0.54739124,0.95071393,1.3166567,0.9631871,0.8136806,0.8634652,1.1279513,0.82808614,0.9883592,0.84794974,0.59415543,0.7680253,1.2617438,0.8916204,1.1525439,1.2182003,1.1841516,1.0312381,1.0031959,1.323662,1.1113582,0.8951041,0.6522287,1.2469264,1.3292605,1.1854999,0.7822154,1.1587322,1.2597475,0.7506099,0.9755269,0.9141833,1.2063175,0.86944723
ear,0.78218955,1.1000706,0.7662919,0.85102487,1.024276,0.78978574,0.968121,0.9229193,1.053636,1.0295185,1.0002255,1.2390757,1.0328568,0.7988409,1.2086785,1.113295,1.2066602,1.1370373,1.3226769,1.2010009,1.006243,1.0783844,1.2407509,1.0823902,0.9810681,1.2241032,1.2700753,0.9535435,1.0698493,1.1668439,1.1277273,1.2085592,1.0609162,1.0871466,0.9572629,0.75637114,0.97564566,0.81157315,1.2107763,1.0458626,1.3180584,1.0235323,0.98035944,1.0862594,0.94586354,0.0,1.0150511,1.0508274,0.8081634,0.9143559,1.0003781,1.0299689,1.172533,1.0482845,1.2279646,0.8519708,1.0004375,1.1245244,1.0266433,0.9860827,1.223131,0.9936761,0.97312224,1.0739453,0.94963306,0.9267488,0.89965934,1.1453182,0.92018586,1.2056234,0.99229217,1.2017825,0.86955535,0.88445705,0.73603266,1.0296983,0.882266,0.9633335,0.6116797,1.2237194,1.0142819,1.1375821,0.8891243,1.0157006,0.8752471,0.9440029,0.87351495,1.0072613,0.7658767,1.2842815,1.1979959,0.95199585,0.8208038,0.6083084,1.2545875,1.1159453,1.0541579,1.0646089,0.7102577,1.0361066,1.1883442,1.1468909,1.1395762,1.101612,0.9775867,0.8481103,0.9478401,1.1036972,0.7842524,1.138501,0.9015763,1.1286879,0.9302231,1.2188728,1.1146879,1.1907834,1.1502099,1.0840135,1.2049923,0.91107965,0.8609589,1.0489651,0.87176466,0.9442467,1.0423172,1.1732005,1.0876501,1.1150211,1.1375749,1.0536454,0.87061304,1.1642455,1.1096556,1.2669306,1.1333864
egg,1.2171956,0.45651412,0.8299558,0.9295863,1.1913537,0.8239464,0.5679721,0.7978916,1.1215435,1.2468994,1.2959758,0.7872815,1.1473718,1.1836264,0.9751179,1.186985,1.0953418,1.2501343,0.7962552,0.7522888,1.3194201,0.61826247,0.8490019,0.9098783,1.0008241,0.8498872,0.9883548,0.6677714,1.0928267,0.9926726,0.7499509,1.0914986,1.1975927,1.1696848,1.2293094,1.0278668,1.2878501,1.1941655,0.7548467,1.3109764,0.7273338,1.092694,0.9860929,1.1276107,1.1591163,1.0150511,0.0,1.1505108,0.68758655,1.1207463,0.57705927,0.83649886,1.1338099,0.82281876,0.8169653,1.0254953,1.177093,0.8585456,0.80613065,0.8281042,0.76580954,1.0731779,0.8627136,0.702473,0.8506135,1.2642117,1.1727499,0.8890901,1.2404639,0.6903705,1.3436606,0.74080384,1.0317677,1.3368711,0.8806818,1.08687,0.96733,0.84892666,1.0079579,0.7900076,0.7201097,0.85902905,0.8174836,1.2104605,1.124862,1.2627953,1.1273417,1.2901531,1.1182884,0.7832091,0.71106553,1.1214137,0.9967893,1.1133174,0.8128079,1.1672376,0.72691387,0.7322876,1.1341063,0.83835506,0.91352296,1.23038,1.1350228,1.0757091,1.0615096,1.2990067,1.2900016,1.020317,1.0607164,0.963538,1.1871665,0.97274065,1.3360307,0.74513745,1.2732183,0.7475815,0.694415,0.9669661,0.6770136,1.1261731,0.83172464,0.87584335,1.1533493,1.2522492,0.8082013,0.3962494,0.75746477,0.9018613,0.7311403,1.0481014,1.1340188,1.1526757,1.0489208,0.7523303,1.1844445
elephant,0.7580012,1.134943,1.2768297,0.93601596,0.80662096,1.1911527,1.3394306,1.1741688,0.87628525,0.72566116,0.3738004,1.2552574,0.7303723,0.69816715,1.014406,0.37069035,0.88625187,1.2129104,1.2626318,1.2803822,1.0361527,1.2596809,1.1143562,1.1342827,1.1658683,1.2500489,1.0538245,1.2294508,0.7859838,0.95720756,1.3526341,0.98274,0.66044235,0.8394247,0.87392396,1.1089061,0.4761665,0.9429444,1.3303188,0.9362901,1.3136979,0.8070054,1.2395959,0.9579327,1.0096321,1.0508274,1.1505108,0.0,1.1014503,0.98539317,1.2922852,1.2384489,1.0225471,1.0350009,1.2576693,1.2310417,0.9697103,1.1597564,1.2392147,1.0508474,1.2234619,0.85944986,1.0448456,1.330852,1.2504783,1.0193044,0.6435814,1.1578442,0.6663293,1.3691944,0.81811416,1.3373839,0.5720416,0.71127987,0.8898335,0.9843122,0.8514975,1.294941,1.1583723,1.1942093,1.3091578,1.2992926,1.2558901,0.91037405,0.91835696,0.6201899,0.7273806,1.0120602,0.98564947,1.3576905,1.3902098,0.98057735,1.0971668,0.95131034,0.9073633,0.9369837,1.3702843,1.2658535,0.9227633,1.1614249,1.2116882,0.76026654,0.7776366,0.9818309,1.0987892,0.98096496,0.5872607,1.0927343,0.71616673,1.2047076,0.7665938,1.0356538,0.6025934,1.3035512,0.608209,1.2053782,0.9838581,1.1283886,1.349936,0.94877255,1.3020844,1.1449561,0.63433766,0.712003,1.1785024,1.2440534,1.2045236,1.226649,1.1756222,1.2291149,1.0031906,0.9251029,1.166603,1.2184212,0.79370415
eye,1.2081482,0.8109764,0.68237484,0.9873971,1.1292858,0.77916694,0.62554157,0.6263557,1.2771617,1.1874927,1.1724,0.74573207,1.2859945,0.9847778,1.1157267,1.1844817,1.1982328,1.2013835,0.9570363,1.0159028,1.2318275,0.7679566,1.0624273,1.0953398,0.97426605,1.0352951,1.1751252,0.7000017,1.1277221,1.2786112,0.71101844,1.299773,1.1224664,1.1978962,1.12277,0.8198458,1.1970541,1.0682523,0.81274676,1.3076937,0.9720285,1.0968649,1.1018338,1.1516626,1.0635257,0.8081634,0.68758655,1.1014503,0.0,0.9112066,0.6795924,0.8113512,1.2282457,0.8343683,1.0432496,0.88161695,1.1821918,1.0738841,0.54160213,0.96315426,0.8225117,0.92775345,0.9293434,0.73413074,0.85813326,1.1758844,1.0708213,1.1073474,1.1108317,0.9714024,1.3161163,0.9524944,1.1250587,1.2022247,0.84636045,1.1366196,1.0256472,0.5603987,0.90504676,0.8095291,0.869722,0.857046,0.79186934,1.1616826,1.091799,1.1507899,1.0077164,1.2103916,0.99282885,0.8374682,0.83903694,1.0273817,1.0250968,0.9087225,1.0953104,1.2722006,0.9508558,0.86369395,0.93124217,0.8601731,1.0069083,1.2361833,0.98295754,1.1242062,0.98699856,1.2047116,1.1238966,1.1778479,1.042397,1.087675,1.0149758,1.1013081,1.2545526,0.885962,1.1643566,0.98346674,1.0754416,1.0651399,1.0750952,1.0910106,0.74226296,0.87400687,1.0523826,1.3197414,0.84208405,0.7217911,0.6647725,1.1040813,0.98005694,1.0911336,1.276719,1.0954493,1.105834,0.73376703,1.1565108
face,1.0738248,1.1137352,1.138555,0.9356615,0.8708064,1.1159354,1.304388,1.1068804,1.1842024,0.72574157,0.74277335,1.213953,1.0165038,0.7714094,1.2561898,0.9581046,1.0095272,1.0703444,1.3221679,1.3451812,0.9703792,1.2191583,1.2963864,1.1368599,1.098654,1.3986897,1.2188778,1.0271791,1.1072581,1.269626,1.2257478,1.1830454,0.88491553,1.0107085,0.8266146,0.95304394,0.8230782,0.8064944,1.3009213,1.0474265,1.373097,1.1061605,1.2084277,1.0431612,0.8185785,0.9143559,1.1207463,0.98539317,0.9112066,0.0,0.8896895,1.2363303,1.0855999,0.7885778,1.1852139,1.1512654,1.0521275,1.209712,0.66270226,0.9515468,1.2915101,0.39874065,0.6284301,1.088142,1.2615516,0.93390554,0.54249716,1.1978263,0.6204424,1.3281994,0.94984293,1.3412712,1.0478926,0.71644163,0.81187266,0.9637692,0.685511,1.0258733,1.0459477,1.1194068,1.3028672,0.8914378,1.1043253,0.8727836,0.9465183,0.5300721,0.5297443,0.8512718,0.89217293,1.2067919,1.2166677,0.96617705,0.91294175,0.93136847,1.3849138,1.0614183,1.3051763,1.353483,0.94197667,1.2511486,1.2702177,0.8441838,0.9532151,1.2456149,0.9994998,0.8346648,0.53026915,1.1347065,0.52702415,1.1531157,0.7149852,1.0395737,0.8109132,1.2547153,0.9928765,1.3034859,1.1056484,1.1713306,1.3580271,1.0111028,1.1292803,1.1954572,0.5399651,0.86758935,1.3422751,1.1043211,1.0842963,1.0514605,1.3762493,1.3347502,0.9840081,0.9219902,1.2490358,1.1695275,0.9045899
