,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,comb,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,ear,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
belt,1.3180838,0.59798515,1.1261059,0.93480885,0.62668246,0.9151116,0.936621,1.2002618,0.9155736,1.2654299,0.0,1.0906515,1.1940522,0.90587574,1.2174772,0.8032289,1.1452428,0.5648947,0.92860174,1.143367,1.0086726,0.9621146,0.9523049,0.49184656,0.91483885,0.74854875,1.15712,1.1040468,1.2611043,0.92500156,1.0445223,0.96195614,1.2915196,1.2584481,1.041843,0.4721865,1.3883829,0.552775,0.9437493,1.2045957,1.0247928,1.1330818,1.0257776,0.89023423,1.1244576,1.1994507,0.84309125,0.33289444,1.0708985,0.91240394,0.7910836,0.8416139,1.3524989,0.79224116,0.9285425,0.91581255,1.2118146,1.175555,0.6769313,1.0931878,1.249304,1.2328237,1.2578996,1.1767551,1.1872005,0.71122026,1.4116998,0.71574986,1.330192,1.1443206,0.9976256,1.1071305,0.6736609,0.85478497,0.59995884,0.66616964,1.1666503,1.3209652,1.2599726,1.0037245,1.250189,0.3607695,0.44909048,0.8815825,0.6373088,0.85259223,1.1026864,1.0997604,0.53499234,0.8497568,0.6980951,1.2308927,1.0385963,0.9500251,1.2529367,1.2343928,1.1251218,0.9270245,0.51138604,1.1244336,1.0729102,1.2739197,0.3981011,1.1459672,0.7195276,1.0922761,0.86130154,1.1738989,1.3009884,1.4421022,0.76064265,0.77194464,0.71420485,1.1635709,0.5546937,0.9712601,1.2339274,1.1474651,0.7101526,0.44475865,1.2152606
bench,0.9439311,1.3766649,1.012464,1.4056312,1.3233292,1.3300622,0.85525334,0.6383957,0.90286434,0.7006732,1.0906515,0.0,0.87918234,1.2741616,0.71073943,1.0949984,0.8989379,1.3916541,0.980908,0.47224754,1.3906689,1.0924027,0.9586649,0.80423975,0.92324436,1.2553544,0.91027313,0.5423242,1.0596207,1.2726734,0.98676926,0.7591146,1.0365107,0.6391254,0.92738575,1.3331103,0.49651724,1.2950157,1.0031787,0.9418763,1.1467232,0.6394972,0.5992364,1.1530178,0.903645,1.0081073,1.2458141,1.1933836,1.0528561,1.1286135,1.0667218,1.2847202,0.92741346,1.2765734,1.00559,1.1925936,1.0048177,1.0338013,1.2097455,0.9959543,0.94017404,0.80353135,0.82689416,0.85631716,0.7292441,1.1173387,0.60337234,1.2164413,1.0265076,0.8990258,0.82521296,1.1790044,1.3769233,1.0322514,1.2248578,1.2575378,0.62162733,0.9217111,0.8576757,0.76915693,0.88683575,1.2611251,1.2851355,1.0592616,1.2921823,1.1145463,0.9970153,1.0489327,1.2420825,0.9693194,0.957771,0.66725075,1.2258639,0.9525187,0.9295114,0.83272743,1.0327895,0.88737005,1.3642876,0.7988334,0.9269639,0.7130674,1.3525043,0.89605665,1.1304985,0.94591516,1.2257321,0.99619824,0.8246408,0.5320127,1.2330301,1.378664,1.3496206,0.94659626,1.1075644,1.2886883,0.60491174,0.91625637,0.8813591,1.4255173,0.7935992
bib,0.80431926,1.4575338,0.99582726,1.3623053,1.5227144,1.3106933,1.2230958,0.80514723,0.68769085,0.5630652,1.1940522,0.87918234,0.0,1.3998499,0.35883498,1.4390802,0.7791035,1.4954759,1.489723,0.8234286,1.4343235,1.0259058,1.2660549,1.3757973,1.2155414,0.9031724,0.9100034,1.0999455,1.1969194,1.3410687,1.0101086,1.051122,1.14402,0.64335334,1.2459165,1.4832585,0.68104565,1.5249814,1.1545405,0.9344405,1.0731529,0.9840351,1.0121965,0.8193332,0.70338833,0.8111759,1.0547241,1.32738,1.0834962,0.96545917,1.4317887,1.3022511,0.8037729,1.1338475,0.73695946,1.2372532,0.8095578,0.64483607,1.1533961,0.9720039,0.66199946,0.846528,0.35271323,0.9930502,0.4582616,1.4687977,0.810046,1.5301263,0.9662069,0.6453657,0.9021177,1.0038505,1.3747504,1.2887654,0.9574857,1.3748264,0.8271206,0.6769906,0.32403094,0.5625214,0.48873693,1.4560598,1.4835126,0.80749214,1.3588,1.1092623,1.2702407,0.9230944,1.3947597,1.3463116,1.2818301,0.73579985,1.3045171,0.40803117,0.8531925,0.422489,0.8991963,0.6297939,1.4295299,0.8523557,1.1946414,0.70738935,1.4031609,0.75728524,1.4487803,0.73321587,1.4106278,0.83376765,0.41572988,0.64371574,1.4386034,1.2325845,1.2570801,0.8493506,1.1797884,1.3530836,0.83703727,0.8810948,1.0072954,1.4266746,0.9207414
bird,0.94490534,0.753238,1.0247414,0.69604826,0.72019124,0.71984583,0.8070363,1.3587198,1.0786251,1.2961731,0.90587574,1.2741616,1.3998499,0.0,1.3305066,0.6633663,1.0760696,0.7453407,0.890722,1.2357074,0.5286259,1.0056663,0.97824997,0.9845109,0.97818756,1.0102978,0.8379083,1.0567409,0.90237164,0.805943,0.99493515,1.2216713,0.9679516,1.2509396,0.90870976,0.76842165,1.289573,0.7420193,0.7771623,0.6861159,0.645281,1.2222334,1.163065,1.127962,1.1705285,1.3215485,1.0315244,0.770435,1.0171611,0.9755882,0.7599288,0.4376483,1.172216,1.0395921,1.0272504,0.92909265,1.2312535,1.2980384,0.9305381,1.0733235,1.1645606,1.1503,1.3389095,1.117557,1.3468335,0.6772108,1.1996437,0.71999717,1.0245652,1.0587354,1.0218107,0.8736738,0.892837,0.76997584,1.1049521,0.8618611,1.3325247,1.058822,1.3711365,1.2565814,1.2349311,0.7552428,0.7314842,0.9538384,0.79244196,0.8659278,0.9667906,0.9319853,0.67665446,0.6132759,0.866945,1.3704696,0.5882862,1.1885706,1.1000847,1.3459352,1.0116705,1.1783973,0.7703795,1.1799041,1.0616549,1.2384737,0.8058933,1.0877987,0.6700251,1.1748527,0.6980686,1.0923775,1.3408868,1.3621379,0.6874867,0.8750349,0.9319632,1.0997429,0.8076165,0.61221236,1.2643194,1.17156,0.954114,0.7233137,1.2066762
blanket,0.7574261,1.4478774,0.9869612,1.2902706,1.529572,1.324153,1.215048,0.6733732,0.58954895,0.31160152,1.2174772,0.71073943,0.35883498,1.3305066,0.0,1.4095783,0.9862953,1.5261345,1.4140546,0.868698,1.4363512,1.1482977,1.3137789,1.3175488,1.1469322,1.1425211,0.7663778,0.8657198,1.1760862,1.2548859,1.0733806,0.95846814,1.1122139,0.2748804,1.1950012,1.5141611,0.60544693,1.5509298,1.1419251,0.8389997,1.1885715,0.90430474,0.9717683,0.94764405,0.6411169,0.8504446,1.2374989,1.3081228,1.16069,1.0164918,1.4224088,1.3255233,0.8528002,1.2352815,0.88647926,1.3455026,0.9331411,0.88909245,1.2899216,0.9971055,0.7018247,0.7720283,0.43906313,0.9986714,0.43306577,1.4335649,0.6138945,1.4823775,1.0188333,0.69205344,0.98416084,0.89174604,1.3949803,1.2812597,1.2180122,1.3314196,0.6853453,0.5258404,0.4361344,0.5823398,0.6938518,1.457541,1.5240078,0.6096105,1.3247418,1.1897848,1.2612778,0.9614661,1.3845506,1.3707781,1.3178031,0.68618846,1.3678582,0.7293994,0.910505,0.5488673,0.80275035,0.716744,1.4960359,0.7765233,1.126927,0.62247753,1.421704,0.7277243,1.4628016,0.7765839,1.3954544,0.787106,0.47533417,0.57205737,1.4360554,1.3484648,1.3202136,0.9140872,1.1780627,1.3974743,0.8872297,0.9374584,1.1053393,1.461551,0.80768114
boat,1.3091333,0.47808284,1.0395061,0.79011047,0.57095486,0.6996815,0.6118537,1.2645972,1.2322847,1.3426709,0.8032289,1.0949984,1.4390802,0.6633663,1.4095783,0.0,0.96304893,0.28876376,0.62220985,1.1171635,0.6789998,1.0927941,0.7509859,0.63995755,0.5302116,0.9907828,1.1923782,0.93257153,0.91890305,0.8684843,0.9956846,1.1326125,0.9379641,1.348468,0.8683851,0.44659948,1.2225456,0.2824546,0.8808597,1.1374614,1.06252,1.1413445,1.0764638,1.2297873,1.2265686,1.2728238,1.0516723,0.81225455,1.0342885,1.0791291,0.62984335,0.8464509,1.2289433,0.9566465,1.2716613,0.8720101,1.2499529,1.3458291,0.85457206,1.0737355,1.3358445,1.2398326,1.4618125,1.1936414,1.4418404,0.55193645,1.2119914,0.6472502,1.1238748,1.4131861,1.0339528,0.9841855,0.7114557,0.68982124,0.97423184,0.52386546,1.2212899,1.3301914,1.4442036,1.3304164,1.2471952,0.5421697,0.5254066,1.0015398,0.67460495,0.9543319,0.9061167,1.2247229,0.6753458,0.59521455,0.716644,1.2419013,0.78147006,1.2077799,1.1660669,1.4203274,1.2240311,1.2224243,0.46679658,1.231679,1.0156598,1.1916332,0.563024,1.1551659,0.39025486,1.1732073,0.7196486,1.2133955,1.4342935,1.3125869,0.55274594,0.80074906,0.7888509,1.1494112,0.70605844,0.62250036,1.2083894,1.0653795,0.8611627,0.5528997,1.0849448
book,1.0539678,1.087817,1.0380989,1.0410633,1.0708663,1.0678318,0.77289104,1.0151918,1.1071831,0.80864215,1.1452428,0.8989379,0.7791035,1.0760696,0.9862953,0.96304893,0.0,1.0493722,0.9808582,0.47088897,1.1448699,0.9737221,0.949502,1.0741359,0.8955793,1.1155213,1.1475815,0.9913754,0.9380452,1.027759,0.76990163,0.94708365,0.89242804,0.9836516,0.94212127,0.98993444,0.64378226,1.0259131,0.94774437,1.0540282,0.84513974,1.135497,0.8627239,1.1258315,1.2294366,1.1176889,1.1425006,1.0144063,0.8147353,1.1757394,0.9849017,1.0038453,1.0538589,1.2136936,1.0549035,0.7729902,1.1159525,1.0468158,1.1204281,1.034941,1.1051517,1.0358847,1.0524397,1.0171988,1.2017583,0.98656654,0.97732127,1.1255366,0.91314137,0.9370421,0.8939514,1.1501586,1.2422463,1.0275173,1.2130951,1.0680664,1.0318236,1.0349474,1.0212682,1.273905,0.35072273,1.1076854,1.1815288,0.8492811,1.1659381,1.061605,0.951149,0.82471853,1.2026013,0.94751436,0.8506715,1.052721,1.0208957,0.86767805,0.77354455,1.1553648,0.99764353,1.1515875,1.1865331,1.1570299,0.99628884,0.8128472,1.2101595,0.8995925,1.0061948,0.94723064,0.9803959,1.0121514,1.0219252,0.65239596,0.89844406,1.2276229,1.1831704,0.8940456,1.1281961,0.68816674,0.65671337,0.95847523,0.9626819,1.2278454,0.995385
bottle,1.4132627,0.17688835,1.1066413,0.652791,0.31498593,0.62278485,0.7468418,1.4222833,1.2608321,1.4028299,0.5648947,1.3916541,1.4954759,0.7453407,1.5261345,0.28876376,1.0493722,0.0,0.64045876,1.2590215,0.6046945,1.0995845,0.71768165,0.5400435,0.7216927,0.9053934,1.2778821,1.1294644,0.9923098,0.74231184,0.94375014,1.1610265,1.0391701,1.4025322,0.89990056,0.16940576,1.4522358,0.06879449,0.90723276,1.2289487,1.0266097,1.1764212,1.2631395,1.1230543,1.2149736,1.2898052,0.93496317,0.5827836,0.9729632,1.0119554,0.7474258,0.8116913,1.3323987,0.81484526,1.2333685,0.67725,1.2348913,1.3438368,0.6844001,1.1428812,1.3867798,1.3609568,1.4971187,1.222677,1.4823512,0.66240877,1.4192708,0.5781071,1.1398089,1.3877434,1.1492133,1.0153712,0.41073203,0.76272917,0.781047,0.24550182,1.3712242,1.3729675,1.471277,1.3677727,1.3217556,0.36042,0.3555885,1.0604676,0.4523673,0.90744454,1.0067952,1.1951592,0.4735589,0.70535666,0.68687814,1.3705852,0.7488205,1.2992914,1.2561473,1.4475945,1.1960781,1.2438725,0.235331,1.2808204,1.0609291,1.3312765,0.27689207,1.2486979,0.29445553,1.1720256,0.7585882,1.2428794,1.4854081,1.4875288,0.49292266,0.6364017,0.59749687,1.2200184,0.6268993,0.54172504,1.3556066,1.1793677,0.85806435,0.3226453,1.2070208
bowl,1.370663,0.6721456,0.96126604,0.7542827,0.52388185,0.77273524,0.69351715,0.94626224,1.3009217,1.316834,0.92860174,0.980908,1.489723,0.890722,1.4140546,0.62220985,0.9808582,0.64045876,0.0,0.8998669,0.72999454,1.0426127,0.4843458,0.6766252,0.7994497,1.164621,1.2114537,0.9064064,0.42591214,0.668017,0.91553336,0.9939196,0.44969463,1.3571824,0.81794775,0.701707,1.1862166,0.5067229,0.9032899,1.141832,1.026773,1.1404362,0.888374,1.324561,1.3163537,1.2961193,1.0694492,0.7848791,0.8876152,1.2096124,0.46994662,0.89918965,1.1077487,1.0860106,1.1970779,0.8266834,1.3222891,1.2858922,0.98777336,1.1649698,1.4669751,1.0720803,1.496778,0.9582005,1.5390704,0.489905,1.2486801,0.5839296,0.94187605,1.3730586,1.1024393,0.9398333,0.82768095,0.5406721,1.1439252,0.68638223,1.0680008,1.2196184,1.484957,1.4862336,1.2319595,0.7850473,0.79705644,0.9923163,0.7481499,1.031853,0.24514508,1.1360089,0.7699195,0.76016265,0.82280046,1.2157714,0.8483231,1.3293328,1.0646414,1.4880496,1.1346312,1.3198776,0.81365204,1.2812538,0.3995942,1.2313491,0.8319262,1.2503247,0.6602022,1.1290739,0.48777282,1.2984802,1.4400766,1.1119584,0.58992034,0.99978185,0.9672481,1.1847204,0.80182624,0.6844121,0.7981517,1.180548,1.1626636,0.83127654,1.1990587
box,1.0568681,1.2802782,1.0450273,1.2469547,1.1827245,1.1856877,0.73345464,0.822772,1.1039344,0.77251804,1.143367,0.47224754,0.8234286,1.2357074,0.868698,1.1171635,0.47088897,1.2590215,0.8998669,0.0,1.2836769,1.1055763,0.7720442,0.83881885,1.0053993,1.2043982,1.0580729,0.7920524,0.93003345,1.1309669,0.84671515,0.8943405,0.8868833,0.8713121,0.9435521,1.2782717,0.569924,1.1664388,0.9420816,0.9803301,0.9452853,0.8953033,0.5916953,1.1391714,1.1357337,1.0061136,1.2008926,1.213979,0.89421225,1.1986674,1.0695438,1.2116122,0.8750787,1.2189343,0.9493948,1.0331204,1.0506977,1.0166901,1.1476796,1.0380322,1.0738833,0.9476536,0.93126607,0.8265713,1.0239501,1.1073551,0.825821,1.1331329,0.8946516,0.83868116,0.7902087,1.2120931,1.3604834,0.95919174,1.2477559,1.2030542,0.7118298,1.0243016,0.9742308,1.0774812,0.5674888,1.3129927,1.335085,0.9812509,1.3576914,1.0428671,0.899168,0.87592363,1.2127877,0.9199964,0.7029918,0.7821709,1.1182809,0.8896084,0.897414,1.0273875,0.98978466,1.00634,1.3181442,0.9787059,0.836564,0.8070403,1.3807237,1.0062699,1.050494,0.9476986,1.1210717,1.0130206,0.9237569,0.58023703,1.0492185,1.389236,1.3258328,0.9959117,1.1279223,0.97279567,0.42443377,0.93702936,0.9481291,1.387023,0.9284072
bread,1.2258135,0.5210325,0.98176265,0.53045714,0.58252007,0.6725389,0.821092,1.4000525,1.2095416,1.398801,1.0086726,1.3906689,1.4343235,0.5286259,1.4363512,0.6789998,1.1448699,0.6046945,0.72999454,1.2836769,0.0,1.0115906,0.94107664,1.017603,1.0155017,0.9231513,1.1400564,1.1694992,0.731675,0.7708438,1.0340183,1.263224,0.8305886,1.3675119,0.8405746,0.6794915,1.4224763,0.6130144,0.9491788,1.0351609,0.670312,1.2726828,1.2735425,1.0255778,1.2015787,1.176594,0.815061,0.7931653,0.9996336,0.88445306,0.7893616,0.68150586,1.1409785,0.7719931,1.0270435,0.77190673,1.1541167,1.1452854,0.75193644,1.2502685,1.3443313,1.3224187,1.3906231,1.0664426,1.431207,0.67120266,1.3552666,0.7717457,0.9998823,1.1151489,1.1200304,0.6216165,0.5535995,0.58582526,0.9449451,0.6956034,1.3485067,1.1079187,1.4085256,1.3559223,1.267774,0.7260817,0.59328157,0.9100344,0.5555459,0.90788954,0.7342494,1.0800385,0.6237731,0.72474825,0.76688063,1.4320455,0.7625506,1.2116007,1.1864047,1.3713269,1.0579664,1.2080907,0.5709988,1.2776333,1.0794048,1.4400816,0.60334384,1.3079157,0.6519851,1.1289198,0.59364104,1.158473,1.4346566,1.3655213,0.5636834,0.6019796,0.6582648,1.1410016,0.78614104,0.6236275,1.2350695,1.2780633,1.0198526,0.4851581,1.2862468
broom,0.939976,1.1094078,1.0449203,0.91572267,0.94028735,0.9620756,1.0435131,1.0779072,1.0099093,1.1548579,0.9621146,1.0924027,1.0259058,1.0056663,1.1482977,1.0927941,0.9737221,1.0995845,1.0426127,1.1055763,1.0115906,0.0,1.0177474,0.9850173,1.0464185,0.9225219,1.1447923,1.0692086,0.97741795,0.7796068,0.9727423,0.9646481,1.0076439,1.197221,0.8771494,0.92147505,1.0871997,1.0705009,1.0603269,1.2246628,1.0190983,1.0097895,0.8831917,1.0378001,1.1289034,1.0397636,0.95631623,0.8687113,0.8455767,0.9833855,0.81146836,0.7504323,1.1364928,1.016281,1.0559022,0.8476026,1.0962535,1.0280738,1.0431762,0.7732675,1.1365354,0.9756528,1.1648444,1.0543078,1.1583867,0.83978397,1.1336786,0.7890085,0.97391903,1.0118256,0.91293967,1.0019886,1.0445929,0.93312794,0.9743178,1.1427226,1.1485573,1.1820921,1.1692003,1.0826185,0.97470343,0.8349384,0.844951,0.926542,0.955691,0.8791586,0.9194133,0.930979,0.98684657,0.9930814,0.9755963,1.0664365,1.067758,0.9441673,0.734011,1.1588123,1.0024387,1.0711871,1.051245,1.0416259,1.0054548,1.1091584,1.020174,1.0423535,1.1281457,0.9082203,0.8768188,1.1052142,1.1692122,1.1020815,0.9897732,0.9782184,0.9398294,0.69127244,0.9441732,0.9279426,1.0875924,1.0839043,0.9221806,1.0313417,1.1133502
bucket,1.2482531,0.93048257,0.95203346,0.87146187,0.6415742,0.9341309,0.5592707,1.0298475,1.3206515,1.3608173,0.9523049,0.9586649,1.2660549,0.97824997,1.3137789,0.7509859,0.949502,0.71768165,0.4843458,0.7720442,0.94107664,1.0177474,0.0,0.48194218,0.83030736,1.112147,1.1873571,0.70863533,0.80491835,0.8171841,0.8756328,1.0200156,0.84170175,1.3450575,0.88983667,0.8588413,1.1073271,0.5291091,0.9329159,1.059713,0.88471323,0.95490843,0.7724893,1.2758278,1.278729,1.2702448,1.0288762,0.9354067,0.8433405,1.1246636,0.69813675,1.0602523,0.96439904,1.1626318,0.7908002,0.8714796,1.2781742,1.1562881,0.94473743,0.9459279,1.4124806,1.0177798,1.3816923,0.73713565,1.3779675,0.77360594,1.0540026,0.60159594,0.78747785,1.02266,0.9336612,1.099221,1.0334665,0.5703185,1.0423148,0.9569771,0.9787987,1.1560448,1.3729159,1.3129504,1.1157926,0.98614216,0.96459395,0.9345157,1.1001266,0.9276165,0.6374046,1.1469249,0.9732098,0.7478516,0.8176052,0.9174857,0.72173405,1.1266875,1.0376425,1.3606787,1.0539117,1.1428066,0.8946743,1.1511368,0.5706491,1.1272053,1.0084165,1.2582641,0.6844353,0.796648,0.7942801,1.3476446,1.3905764,1.1433954,0.6344958,0.97412324,1.0972762,1.0068908,0.63586515,0.74809355,0.823026,1.1280048,0.81541884,1.0258201,1.1373308
can,1.3752625,0.7172822,1.0687515,1.042011,0.5532046,0.9100044,0.60770667,1.0913298,1.1538575,1.2834426,0.49184656,0.80423975,1.3757973,0.9845109,1.3175488,0.63995755,1.0741359,0.5400435,0.6766252,0.83881885,1.017603,0.9850173,0.48194218,0.0,0.9313616,0.9116962,1.1984242,0.66719633,1.0437901,0.8876912,0.86912477,0.90499556,1.0742092,1.2700508,0.8758544,0.6193687,1.1718091,0.42709982,0.8903582,1.1793103,1.0891399,0.69906497,0.8309592,1.1956089,1.1542877,1.3070267,1.035553,0.7123564,0.9239658,1.0562972,0.7035576,1.0526373,1.3278637,1.0593684,1.1085612,1.0230511,1.2734942,1.3021228,0.9115115,1.0012583,1.3937953,1.1422174,1.3930814,1.0147187,1.2622325,0.72758526,1.1203029,0.51824355,1.0969622,1.2662838,1.0270958,1.1582687,0.9333241,0.64837116,0.8528781,0.6698688,1.0296694,1.4014869,1.4104905,1.0804102,1.2904243,0.6029228,0.60053134,0.9839421,0.83310443,0.7609197,0.9004078,1.1812773,0.61367,0.65363574,0.6596168,0.9312283,0.8781148,1.2198305,1.2181894,1.3540299,1.1197767,1.0760406,0.5690521,0.9944667,0.9107778,1.2377044,0.7054443,1.3009071,0.5154878,0.9709663,0.8831514,1.3028575,1.3919911,1.2325888,0.7405497,0.92080903,0.9756449,1.1423057,0.5093812,0.9212536,1.0498779,1.1923895,0.6873191,0.7810863,1.0837966
car,1.1214933,0.86174506,1.0760778,0.9311102,0.8585578,0.94839346,0.85959685,0.8839801,1.011499,1.0393906,0.91483885,0.92324436,1.2155414,0.97818756,1.1469322,0.5302116,0.8955793,0.7216927,0.7994497,1.0053993,1.0155017,1.0464185,0.83030736,0.9313616,0.0,1.0740635,0.97687,1.0355608,0.9830812,0.96777666,1.0414059,0.9156337,0.9647213,1.1072497,1.0832084,0.75011104,1.0127412,0.695015,1.0229474,1.0516299,1.1548342,1.1468258,1.0062512,1.2085706,1.0570526,0.9903499,1.2499864,0.7971159,1.075501,1.1904094,0.7789244,0.98205465,0.9918618,1.0790589,1.1387486,0.918488,1.0429308,1.2873269,1.0200735,0.94836295,1.0115358,1.1019607,1.1885054,1.0193945,1.1795977,0.8031722,1.0741813,0.914065,1.1655174,1.2049594,0.778754,1.0910957,0.9689178,0.99180955,1.1687043,0.82643425,0.91976666,0.98498666,1.0978968,1.1355737,1.0830345,0.8016237,0.92985153,1.0623374,0.8577618,1.167543,0.96895427,1.1256418,1.0728604,0.92090666,0.9868308,0.93361926,0.99276894,1.1380503,1.0186024,1.0989307,1.2705283,1.1851223,0.9157243,1.003507,0.8299737,0.78592134,0.92120916,0.90555245,0.82446265,1.1798636,0.94898295,1.065436,1.1464928,1.0634909,0.769829,1.1118104,1.0692046,1.1195997,0.98275644,0.8274067,0.98092353,0.89862776,0.9864749,0.91215736,0.9360355
carrot,1.1709408,0.87981445,0.9882595,1.0265539,0.94027585,0.9963856,1.1040581,1.249722,0.96171826,1.3448285,0.74854875,1.2553544,0.9031724,1.0102978,1.1425211,0.9907828,1.1155213,0.9053934,1.164621,1.2043982,0.9231513,0.9225219,1.112147,0.9116962,1.0740635,0.0,1.1483979,1.2534018,1.1837665,1.0640045,1.0487738,1.1397722,1.1936978,1.295152,1.1122519,0.86331266,1.3233136,0.95288336,0.98781174,1.1889191,0.8795635,1.0908684,1.1311456,0.63337034,1.087578,0.85818136,0.5766805,0.766053,1.0460851,0.79543203,0.97907776,0.9831726,1.0787909,0.45254874,0.8274881,0.91790885,0.8988161,0.6718452,0.60788023,1.0051929,0.9881592,1.1106833,1.116654,1.1866727,1.085682,0.9686512,1.2967505,0.9877535,1.1790674,0.94314796,1.0091524,1.0175654,0.7250702,0.9829641,0.44966877,0.9405215,1.2033647,1.2424524,1.0939598,0.9400564,1.0794815,0.71011645,0.6029347,0.9155962,0.8519478,0.8267803,1.1344334,0.955884,0.83511424,1.0108478,0.96719384,1.0942625,0.96294475,0.7928663,1.1251739,1.0274357,1.1127163,0.88548833,0.6944152,1.0594912,1.1505384,1.253084,0.6634506,1.2380816,0.99906605,0.9478865,0.99066675,1.1870534,1.1437196,1.3598905,1.0029814,0.586272,0.66486657,0.9356069,0.81151664,1.1007669,1.2622765,1.0643281,0.8404406,0.56254464,1.1916671
cat,0.5139998,1.2266579,0.9561156,1.1109782,1.2466774,1.1897924,1.2051429,0.7855508,0.799216,0.79936373,1.15712,0.91027313,0.9100034,0.8379083,0.7663778,1.1923782,1.1475815,1.2778821,1.2114537,1.0580729,1.1400564,1.1447923,1.1873571,1.1984242,0.97687,1.1483979,0.0,0.9437536,1.1086352,1.1973317,1.1129025,0.8992976,1.0527031,0.77820945,1.2255127,1.3525076,0.80855966,1.3222778,0.97420245,0.1129334,0.9595087,0.88022554,1.0767871,1.0485663,0.8506751,0.8177045,1.2229613,1.1462414,1.1184552,1.0865154,1.1563996,0.94197476,0.8067697,1.1288748,0.84435594,1.2427533,0.81199336,0.97387064,1.1389419,0.91341996,0.66821426,1.0097065,0.7912144,0.94331163,0.73269,1.2168918,0.69535744,1.1006682,0.988778,0.9223041,0.9263456,0.8700285,1.2150415,1.2221102,1.1944128,1.1585722,0.86889905,0.57065237,0.75986576,0.77406156,1.0111946,1.2294075,1.31557,1.1643189,1.1417,1.0898492,1.1314803,0.96554595,1.1815805,1.1386389,1.2652984,0.8255838,0.97816753,0.96154493,1.0812911,0.7591052,0.8941778,1.0452917,1.2809519,0.7605324,1.0538106,0.91772854,1.2826272,0.8996552,1.2525215,1.0822409,1.1930257,0.9515408,0.80261433,0.8256068,1.2564759,1.2662585,1.2928317,1.0602294,1.1536425,1.2010484,0.94057095,0.9371034,1.1756494,1.246418,0.7985295
chair,1.006019,1.1756731,1.0433087,1.2085267,1.0621659,1.1252184,0.6334407,0.8513549,1.0437907,0.8256731,1.1040468,0.5423242,1.0999455,1.0567409,0.8657198,0.93257153,0.9913754,1.1294644,0.9064064,0.7920524,1.1694992,1.0692086,0.70863533,0.66719633,1.0355608,1.2534018,0.9437536,0.0,1.0575515,1.0947686,0.9218299,0.88476425,1.0448247,0.7580924,0.87920344,1.1984464,0.5936202,1.0360277,0.8676118,0.91301686,1.0034463,0.6697395,0.82953215,1.2329284,0.9725588,1.2101399,1.2595406,1.1854907,0.96319073,1.1451373,0.8981582,1.1813221,1.0022031,1.3001428,1.0967023,1.2260189,1.1476687,1.2309322,1.1098028,0.92925596,1.0701019,0.8569709,1.0628203,0.9790369,0.996012,0.9214482,0.47196758,0.75549394,0.9595712,1.0762842,1.0424285,0.995613,1.333869,0.8058593,1.1696811,1.1346517,0.867747,0.97291213,1.0877036,0.9789177,1.1344328,1.2274431,1.1644651,0.89592975,1.2373877,0.92011726,0.915047,1.096908,1.0480767,0.749779,0.93432975,0.8003329,0.8578462,1.0979526,1.028691,1.0844147,0.9552249,1.0532148,1.0487081,0.87621677,0.9386942,0.90115047,1.2487831,1.053991,0.9049788,0.96521753,0.9287087,1.1278883,1.0596857,0.6468613,1.0161558,1.2351332,1.2603731,1.0571008,0.96933115,1.0488968,0.85962784,1.0277308,0.8030168,1.2667652,0.75073683
