,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
belt,1.3550997,0.8551693,0.4588942,1.2120299,1.0426483,1.035664,1.1662303,1.3468674,1.261693,1.4365339,0.0,1.2845168,1.4555459,0.7198845,1.2058072,1.1400242,0.9158107,0.68044436,1.240878,1.3630627,0.42996716,1.2368331,1.0740238,1.1391864,0.52162004,0.4411999,0.9086609,1.1373955,1.2281747,0.5970664,1.1330783,1.4161961,1.2962693,1.3550087,1.0639374,0.24885213,1.4513054,0.5659886,1.1894886,1.1973097,1.3746976,1.1949395,1.242529,0.5272433,0.901514,0.7331686,0.5108093,1.0534188,0.61448807,0.78935134,0.8657807,1.2454624,0.6003755,0.24895442,1.1035745,0.7321155,1.1631117,1.1577146,0.29653597,0.8923456,1.3234195,1.2023355,1.3537754,0.75058925,1.3466908,0.6731081,1.2286148,0.65650207,0.7887405,1.3486314,0.6853458,1.3447337,0.25119054,1.3326979,0.63444924,0.60386336,0.57055646,1.2587205,1.2618768,1.3333697,1.277504,1.349877,0.4450022,0.44059956,0.7684788,0.8711567,1.1169324,1.1743928,1.227661,0.5512686,1.0799066,0.5276905,1.279407,0.8152878,1.169857,1.2178925,1.2627203,0.6761641,0.99697167,0.6807716,1.1741138,1.1023893,1.3784534,0.17713392,1.3429036,0.60333633,0.9929832,1.1461802,0.93800515,0.6302738,1.1366583,1.1254365,1.4092343,1.5199553,0.35083258,0.6572784,0.46748716,0.78173625,1.2730503,0.82703567,1.3974146,1.2075866,1.1583695,1.1328115,0.22979826,1.2852504
bench,0.8609359,1.0723137,1.3804739,0.88590705,1.0402427,1.0310427,1.1052394,0.8932518,0.63574624,0.40976012,1.2845168,0.0,0.86148405,1.1783113,0.7581825,0.94250596,1.0823812,1.2865951,1.1950446,0.5865333,1.4834242,0.68671805,0.9565543,1.2120404,0.99941874,1.0452306,0.9188378,0.8008827,0.44952023,1.4311407,0.71836406,0.52978075,0.8357438,0.40771633,0.9805264,1.4387057,0.5157892,1.3404737,0.87473005,1.2516928,0.46953595,0.50001234,0.9338863,1.4179456,0.86653316,1.247046,1.289695,1.1495552,1.2549422,1.405323,1.3260567,1.1239861,1.2608563,1.3824341,0.94438374,1.2583437,0.88651705,1.1250081,1.4210154,1.3039782,0.8532763,0.70506203,0.67251277,1.3316181,0.6229609,1.3660421,0.7764248,1.2099313,1.1446861,0.8385589,1.281828,0.87151635,1.4095681,1.0094659,1.2285879,1.3417214,1.3536325,0.40933245,0.8710788,0.7876309,0.59917754,0.846127,1.3589075,1.3224213,1.2481747,1.1006618,1.2959081,1.0176365,1.1408291,1.3100287,0.9654689,1.115104,0.547474,1.3960541,0.92373794,1.0458056,0.72232115,1.345633,0.96478665,1.2675443,0.7022122,0.82697916,0.5639933,1.373404,0.63891256,1.4019632,1.0418956,1.0371969,1.3857988,1.3534892,0.9102755,0.7276826,0.6672588,0.45581412,1.4054555,1.2530715,1.0669103,1.0012759,1.0173155,1.3448589,1.008687,0.9426676,0.92792743,0.91825527,1.4415232,0.72442776
bib,0.8034152,0.973467,1.4034971,0.6109911,0.97262937,1.0002271,0.91878915,0.93816686,0.7747392,0.55335927,1.4555459,0.86148405,0.0,1.3682371,0.83512425,1.0347083,1.0774641,1.4625044,1.0049682,0.7432655,1.4607813,0.732039,1.0250583,1.1477526,1.4946156,1.4048975,0.98415595,1.0353585,1.088234,1.3085324,0.88719034,0.8256965,0.837588,0.67482674,0.9431026,1.581535,0.7111097,1.5348624,0.9894943,0.9353031,0.7716583,0.80557585,0.61984956,1.3564665,1.0619332,1.1252025,1.2384624,1.2099762,1.1928562,1.3982255,1.1377602,1.0175245,1.1783532,1.4331118,1.0215409,1.2059927,0.6794629,0.7939853,1.4440795,1.2764945,0.69672424,0.55465317,0.47841036,1.478184,0.9266734,1.4441966,0.786892,1.3123701,1.2929046,0.5845411,1.325202,0.64110696,1.4002012,0.7267716,1.0966696,1.3909515,1.3225247,0.7742989,0.6857944,0.39556015,0.6001861,0.49633956,1.5391258,1.4905658,1.295831,1.24411,1.2072413,1.0860243,0.9317309,1.3208842,0.9125065,1.4000146,0.8361845,1.4586576,0.6294734,0.9097427,0.4535033,1.2112384,0.9562653,1.4141495,0.8649395,1.021668,0.5464883,1.5610946,0.6808598,1.3240969,1.057944,0.8788551,1.3269302,1.3592402,1.003065,0.8712926,0.4698398,0.52100205,1.5425949,1.144447,1.3684895,1.0974473,0.8444417,1.2236456,0.70794106,0.84028083,0.8905638,1.0731275,1.4154006,0.8496767
bird,0.6678858,1.0833046,0.891403,1.0996695,1.1571993,1.1199763,1.1037236,1.2380191,1.1994618,1.3421988,0.7198845,1.1783113,1.3682371,0.0,1.0174744,0.9408392,0.97804856,0.84177685,1.1079017,1.2760565,0.82991046,1.0381798,1.1427317,0.6455195,0.86674136,0.5099926,1.079976,0.69523203,0.99135274,0.83605725,1.157508,1.2015857,1.1881452,1.2616858,1.1581392,0.6899246,1.2648195,0.8255026,0.7085016,0.9439737,1.1666623,1.1499608,1.301739,0.92658544,0.85958594,1.0003725,0.69769126,0.7825432,0.96946,0.68948114,0.7422247,1.0550553,0.85722136,0.70175415,0.9553509,0.8798352,1.0035263,1.1279373,0.7005019,0.5956862,1.1800625,1.2097462,1.2455593,0.70007193,1.0722942,0.69039893,1.0197765,1.0018759,0.9452659,1.2663254,0.7215245,1.234046,0.89625835,1.0123018,0.9914148,0.8139368,0.9646065,1.0966104,1.1780237,1.2963066,1.1790837,1.2670811,0.65759426,0.734463,0.95335186,0.90777504,0.91041446,0.8436734,1.1339009,0.91075915,0.8042526,0.66904473,1.0620381,0.45080584,1.1031727,0.93986845,1.1629326,0.77959406,1.0862067,0.85870206,1.2061603,0.92451143,1.3107609,0.7189583,1.1717384,0.8355767,1.0559441,1.1586585,0.8023152,0.6834599,0.9590318,0.90675044,1.2829344,1.360142,0.7502743,1.0048931,0.926861,0.77689236,0.95562845,0.9300997,1.2314868,1.0160866,1.2033075,1.0339377,0.8123776,1.088203
blanket,0.7013333,1.0953279,1.2737222,0.8821798,1.0432459,1.0146347,1.0089866,0.69131815,0.7322968,0.4313426,1.2058072,0.7581825,0.83512425,1.0174744,0.0,0.83747745,0.9230132,1.3364849,1.092551,0.89962333,1.3447821,1.0166385,0.9248438,1.0201674,1.1774977,1.0731238,1.0859232,0.6878164,0.87133086,1.2625755,1.0578903,0.8314441,0.93931925,0.5929521,0.9635132,1.2952253,0.80206895,1.3751941,0.8066983,0.9387747,1.0732973,0.9974071,0.9721557,1.295543,0.8029825,1.1933922,0.9685862,1.0059658,1.2104847,1.2274762,1.0037316,1.0997294,1.2725346,1.2716262,0.890783,1.099483,1.075748,1.0889957,1.2728748,1.0910785,0.88838106,0.7607433,0.54491043,1.2398188,0.9981102,1.1946185,0.847576,1.0942887,1.1998322,0.6804165,0.9860004,0.8562968,1.3197613,0.59867287,1.2275561,1.1593131,1.2178595,0.9686423,0.8253703,0.79113746,0.8053162,0.8436183,1.2502415,1.2668518,1.2607992,0.5840397,1.0937293,0.986606,1.0677016,1.2232984,0.9701947,1.1299701,1.0428865,1.1282518,0.8913225,1.0538154,0.8937824,1.0044807,0.91166043,1.3037876,0.8894927,1.0688492,0.7710493,1.2503223,0.74306726,1.1796657,0.9015648,1.1772268,1.2401826,1.222958,0.9910839,0.98712164,0.8457219,0.8226423,1.3446889,1.1968821,1.1578698,1.091272,0.55783135,1.1029396,0.9104915,0.9230267,0.94933575,1.1830698,1.3489028,0.9501833
boat,0.99812883,1.107382,1.0723588,1.098417,0.98143286,0.93528056,1.0143286,0.86004525,0.8203336,0.9453866,1.1400242,0.94250596,1.0347083,0.9408392,0.83747745,0.0,0.83027494,1.0303693,0.97914135,0.83610237,1.1075318,1.1188598,0.7294258,0.9752693,1.0041683,0.91457725,1.0603477,1.0809278,0.905737,1.1466652,1.1191337,0.8472286,0.98908347,1.0534017,1.1433623,1.0200473,0.88956606,1.0496842,1.0925815,0.893101,1.1171651,1.0883124,0.99202424,1.0944296,0.93616545,1.09144,1.13889,0.9886586,1.2309331,1.0405627,0.8164973,1.004703,1.1580336,1.1756332,0.8760376,0.8149296,1.1134458,1.124192,1.1263422,0.9356708,0.70397776,1.0288448,1.088822,1.0079943,0.79928935,1.0055988,0.9121814,1.0134816,1.005078,1.0932347,0.9951945,1.1437626,1.165448,0.987937,1.1798134,1.1104949,1.0355142,1.1333816,1.1738851,1.0130447,1.1207936,0.9994809,1.0341341,1.0381418,1.143224,0.98806775,0.9095274,1.0037442,0.97875106,1.063255,1.0398455,1.0666785,1.0838232,0.97620624,1.0914667,0.9200937,1.0601516,1.0578264,1.0058906,1.1093359,1.0154369,0.9680252,0.8740932,1.0627958,0.86551285,1.067097,1.0265371,1.1259363,1.0325567,1.1015046,0.8780819,1.0085064,1.0756832,0.92139125,1.0043638,1.1637596,1.0434213,0.9733188,0.97455573,0.60307634,0.93738574,0.91951644,0.8465023,0.9670047,1.1408277,0.93851066
book,1.0466559,1.0093725,0.9661763,1.2318435,1.1225276,1.0704386,0.98984647,0.88682604,0.98576796,1.1675211,0.9158107,1.0823812,1.0774641,0.97804856,0.9230132,0.83027494,0.0,0.77899003,0.8573092,0.5301086,0.9865846,1.3269466,0.8319222,0.873278,0.81029505,0.85357285,0.9940957,1.1432774,0.9917263,0.97416925,0.7314056,0.91611475,1.1454439,1.1776525,1.1975955,0.80588806,0.91824317,0.81198245,1.1413856,0.635811,1.1367304,1.0196053,1.0853822,1.0256271,1.2518301,1.0409144,0.9247676,0.931275,1.2062588,0.82597023,0.76653945,0.89978665,1.1037157,0.97366273,1.0063006,0.52822137,1.2327354,1.0976008,0.9422908,0.83546364,0.96858597,1.1653012,1.275974,0.78303003,1.1074266,0.93296957,1.1602206,0.9624884,0.85374856,1.1895673,0.83675563,1.3416727,1.0157126,0.95134175,1.1048453,0.9644107,0.92451483,1.2153788,1.3218828,1.1514946,1.3677747,0.64676356,0.78331125,0.7813069,1.143131,0.7758119,0.7957649,0.9558531,0.8835225,0.99435806,0.91810197,0.9656471,1.1136345,0.8788904,1.0568236,0.9842558,1.1962507,0.86354434,1.0555928,0.82154715,1.1286578,1.0639713,1.1612847,0.8564116,1.1948644,1.0851071,1.0797306,1.2085685,0.8027695,1.1358135,0.9372114,1.0404558,1.2424265,0.91003215,0.7407851,1.1121507,1.0067712,1.0697286,0.94690174,0.5070404,0.85143673,1.0061632,0.8443263,0.96300197,0.9236325,1.1467705
bottle,1.3525984,1.0678991,0.5673216,1.4005818,1.0996989,1.0753955,1.1204913,0.9441489,1.1698185,1.4930058,0.68044436,1.2865951,1.4625044,0.84177685,1.3364849,1.0303693,0.77899003,0.0,0.80444443,1.0354116,0.64136493,1.310152,0.73094136,0.8919302,0.45644498,0.75145113,1.1431236,1.1511346,0.9831264,0.7121338,1.0296429,1.1265217,1.2128594,1.3470567,1.1832843,0.53829825,1.2751899,0.16906035,1.1469486,0.9153999,1.129001,1.2614409,1.2373298,0.7167503,1.1721205,1.0146186,1.0052955,0.8401147,0.9150871,0.6334544,0.96046793,0.6257802,0.9339138,0.5523774,1.001415,0.8306497,1.2855011,1.155475,0.6322104,0.66391236,1.2777224,1.382712,1.5308847,0.6271832,1.1076543,0.5765011,1.3119656,0.80582666,0.7275774,1.4223714,0.7788352,1.3395216,0.63719493,1.1469299,1.0011827,0.6570093,0.6093543,1.2102228,1.3141698,1.3952885,1.4220794,1.3195565,0.5972412,0.60332656,0.7862247,0.80871713,0.7028751,0.91065186,0.9267122,0.6127364,0.9924388,0.67042667,1.0534933,0.5949756,1.2655652,1.1160144,1.4005433,0.8009603,1.0752618,0.52287316,1.2306327,1.0258164,1.4014518,0.5939574,1.3948076,0.8380858,0.94573706,1.1219752,0.6084287,0.70985377,1.1963313,1.1684399,1.3770105,1.2708943,0.39541268,0.9407564,0.79697955,1.028679,1.1246201,0.58132863,1.1132835,1.238253,1.0902324,0.44386923,0.58897823,1.2523236
bowl,1.1633903,1.134813,1.0561227,1.1555096,1.0358225,1.029107,0.75225896,0.46946502,0.8068805,1.2173095,1.240878,1.1950446,1.0049682,1.1079017,1.092551,0.97914135,0.8573092,0.80444443,0.0,0.90497625,0.90331763,1.1749923,0.623482,0.7261299,0.88718665,1.2147303,0.98039895,1.1811144,1.022476,0.92473626,1.062356,0.9860481,0.9424947,1.2204858,1.0871567,1.0670472,0.92536813,0.7001787,1.1706814,0.8906925,1.1480353,1.0781795,1.0243129,1.0749527,1.2516713,1.1558933,1.108869,0.87499326,1.2458644,0.6474486,0.9874811,0.5646552,1.206612,1.1841872,0.9626615,0.9222904,1.2404271,0.9530437,1.2114658,0.91228706,1.0122362,1.2381818,1.2314854,0.67950183,1.0180755,0.85735524,1.0541432,0.8395999,0.699636,1.1999899,0.9641341,1.1062257,1.1625857,0.81479895,1.1942148,1.0119969,0.990506,1.0793362,1.1983562,1.2095217,1.3262619,1.0041982,0.9563586,0.9839778,0.98872465,0.8954993,0.43657947,0.858768,0.14740443,1.0859197,1.1176449,1.1806948,1.0377731,0.9491845,1.1286577,0.9703907,1.2418346,1.0187123,1.0715697,0.6105653,1.1651165,0.6375502,1.2283955,1.1606374,1.2015907,1.0285647,1.0695218,0.87852013,0.43098104,1.1414802,0.98570615,1.1654721,1.1704408,0.920896,0.91811657,1.1965212,1.1576128,1.2283485,0.8584164,0.8683711,0.45296937,1.0559026,0.9797767,0.8546581,1.1465784,1.1274768
box,0.91487026,1.0551767,1.3592802,1.0040151,1.0136807,0.97494024,1.0308949,0.67112046,0.5840955,0.7187878,1.3630627,0.5865333,0.7432655,1.2760565,0.89962333,0.83610237,0.5301086,1.0354116,0.90497625,0.0,1.4804713,0.98094755,0.6268422,1.0466522,0.90783596,1.2262326,1.0121025,1.0322471,0.7147006,1.361093,0.5802388,0.65927315,0.97046244,0.7551861,1.0937599,1.4126463,0.38689977,1.1231829,1.0033841,0.83641315,0.640644,0.5991236,0.9198011,1.3757735,1.1637027,1.2043811,1.3301973,1.0861583,1.3454051,1.3094769,1.0179497,0.9458014,1.2933002,1.3618298,0.94767565,0.9138043,1.0002818,1.0402687,1.3920386,1.1631892,0.8293921,0.8303782,0.87369627,1.2781692,0.79418325,1.2776082,0.9363403,1.2368768,1.1035972,0.8601879,1.1661297,0.9668983,1.4244196,0.8212541,1.2755857,1.2558479,1.2856534,0.6476531,1.0036554,0.85102165,0.9412467,0.48007643,1.3618176,1.2906681,1.2858064,1.0583179,1.1209157,0.9831593,0.97004473,1.2990568,0.77842325,1.170854,0.6558806,1.2558101,0.94688535,1.0092716,0.830898,1.2351773,1.0239911,1.1526912,0.73859257,0.9855661,0.7400577,1.3988912,0.9402832,1.4578571,1.0984595,1.0625263,1.2071426,1.3825918,0.95954835,0.81315756,0.8076037,0.501695,1.2762926,1.2834406,1.1846714,1.163401,0.86562246,0.83422804,0.7953353,0.92981327,0.8327873,0.8450978,1.3704301,0.8903456
bread,1.3671994,0.8924048,0.42795384,1.2761613,1.0241827,1.0461088,0.8379661,1.2344353,1.4216993,1.5295931,0.42996716,1.4834242,1.4607813,0.82991046,1.3447821,1.1075318,0.9865846,0.64136493,0.90331763,1.4804713,0.0,1.3158402,1.1678733,1.0442262,0.744347,0.7263973,0.9637275,1.1346238,1.3076968,0.58912253,1.2500501,1.3824937,1.054766,1.4400172,0.9801384,0.3627534,1.5070889,0.50851583,1.1490648,1.0078849,1.4641424,1.3511934,1.2469532,0.28903615,1.1074998,0.7557836,0.6933711,1.0111552,0.57941556,0.6722312,0.79744345,1.0624386,0.6422576,0.43900204,1.1758388,0.7814809,1.1643968,1.0474304,0.3679763,0.8360524,1.3178728,1.3390069,1.4198638,0.61844647,1.3346817,0.68448985,1.1298337,0.5967014,0.7185278,1.3890595,0.76465976,1.2917423,0.35875797,1.3015754,0.74103844,0.6537581,0.5322665,1.4331715,1.2611547,1.3648888,1.3555728,1.4237716,0.54417276,0.55945617,0.47053385,0.89039034,0.6516443,1.1328862,0.91811675,0.5218627,1.0602382,0.6904057,1.4091806,0.6485121,1.2266849,1.1294726,1.4011481,0.75472486,1.0387619,0.569449,1.2899181,1.1401758,1.4731746,0.31617707,1.4183354,0.48288673,1.0171992,0.8704768,0.6885357,0.5912932,1.1295538,1.1886809,1.3986254,1.5139133,0.32765067,0.66716486,0.73693144,0.9154747,1.2595284,0.72468346,1.1911869,1.285888,1.1342006,1.1398814,0.42190522,1.367824
broom,0.7388167,1.0692067,1.2613611,0.6770848,0.96379304,0.989326,1.0754626,1.0842016,0.8819556,0.6638833,1.2368331,0.68671805,0.732039,1.0381798,1.0166385,1.1188598,1.3269466,1.310152,1.1749923,0.98094755,1.3158402,0.0,1.1517211,1.0879918,1.339262,1.0846623,0.98809564,0.8849114,0.9259793,1.2644587,1.0293366,0.8621602,0.7908527,0.7042588,0.98046136,1.4025891,0.78765154,1.3660291,0.89767843,1.146839,0.68998975,0.8057666,0.88821036,1.3177974,0.8467942,1.2521346,1.0147918,1.13409,1.2090406,1.3275105,1.2038252,1.0589528,1.1629255,1.3232656,0.735985,1.2676282,0.8100401,1.0696824,1.3666103,1.1521627,0.8946706,0.6977045,0.6128706,1.3103876,0.7235731,1.3703401,0.7155286,1.2371161,1.1993517,0.7318981,1.1369935,0.71856046,1.2672243,1.0218327,1.2157601,1.3713278,1.2581881,0.6316486,0.7162944,0.73225206,0.52473176,0.84982866,1.3574078,1.3489372,1.1236424,1.3335121,1.196091,1.0808412,1.1086645,1.2067174,0.99844897,1.2527677,0.6939289,1.2997243,0.85586876,0.8665283,0.6724043,1.1946272,1.064671,1.2822847,0.7442821,0.8960387,0.70425725,1.4020835,0.5101106,1.330934,1.0739821,0.8455197,1.2805822,1.201359,0.955138,0.7119076,0.6157131,0.7389492,1.4513376,1.2288369,1.1950371,0.95345664,1.0605354,1.4157822,0.9995597,0.9145173,1.0774438,0.976089,1.3433061,0.8274118
bucket,1.1707658,1.1327696,1.1306462,1.1328313,0.897898,0.864338,0.9902268,0.403863,0.35613072,1.0757828,1.0740238,0.9565543,1.0250583,1.1427317,0.9248438,0.7294258,0.8319222,0.73094136,0.623482,0.6268422,1.1678733,1.1517211,0.0,0.99206907,0.61447847,1.0602924,0.9736301,1.1499048,0.79601955,0.9863789,1.0077815,0.9521858,1.0796971,1.1433688,1.0802058,0.9734672,0.7804794,0.60431457,1.181136,1.0000957,1.1271122,0.9969908,1.0114404,1.1429303,1.0220138,1.1164439,1.1252502,1.0522366,1.2128274,0.9361349,0.94243824,0.8778068,1.2129928,1.0352511,0.8826436,0.7963013,1.2322373,1.1108642,1.1288296,0.9848239,1.0398178,1.123493,1.1394765,0.92105,0.8952359,0.866976,1.104584,0.88962764,0.85480636,1.0015489,1.0322355,1.114683,1.1628077,0.822317,1.1946616,1.0323834,1.0874565,0.92855334,1.1294701,1.1448511,1.1938748,0.9917846,0.98484814,0.98106635,1.1126839,0.8680207,0.9833344,1.0212839,0.7634381,1.1472757,0.8803086,0.98312014,0.9631343,1.0144955,1.1218401,1.0517132,1.1212044,1.0224295,0.9597725,0.89381397,0.9419259,0.8311753,1.0152119,1.0329984,1.1298382,1.0833323,0.8417063,1.1974541,0.84528756,1.1412001,1.1395241,1.0885011,1.152893,0.9142274,0.8851079,1.198803,1.0191675,1.0837251,0.81803524,0.64530766,0.78236574,1.1127218,0.9870202,0.84048593,1.0994381,1.1126884
butterfly,0.81020975,1.1055775,0.99208343,1.1539121,0.96300626,0.98047674,0.9943515,0.9323461,1.1012913,1.2062149,1.1391864,1.2120404,1.1477526,0.6455195,1.0201674,0.9752693,0.873278,0.8919302,0.7261299,1.0466522,1.0442262,1.0879918,0.99206907,0.0,1.0497569,0.93746793,1.147563,0.9799414,1.0603212,0.81029296,1.118743,1.0557739,1.0245004,1.1810861,1.1758535,0.9588072,1.0370755,0.8817167,0.9248911,0.8271531,1.0850382,1.1046952,1.1142895,1.1112572,1.2029297,1.0913689,0.87553406,0.6194945,1.1678,0.7116169,0.76399815,0.760244,1.1107383,1.0134157,0.9803179,0.8478296,1.1056489,1.0318502,1.0651128,0.6744867,1.0431863,1.2482691,1.2195294,0.7560937,1.0764302,0.77742195,1.0628891,1.0790168,0.936136,1.1566061,0.8774098,1.0909524,1.0944458,0.8856314,1.152379,0.8975784,0.9819283,1.1688454,1.1027939,1.1935216,1.3058764,1.009979,0.8717451,0.9485121,1.0620229,0.91446126,0.70622486,0.69196266,0.751021,1.0107126,1.0481075,0.9520885,1.1063187,0.6448194,1.1007934,0.89096916,1.2200912,0.91708565,1.1283859,0.93543935,1.1677492,0.80010843,1.2373594,1.0386161,1.0836518,1.0260029,1.1201127,0.98842716,0.6975219,0.947894,0.8921888,1.0140973,1.2366118,1.1398621,0.89557934,1.128141,1.1427397,1.0690457,0.878906,0.8439335,0.8529126,0.9055326,1.0570673,0.96068275,1.0514404,1.029854
can,1.3932421,0.8655529,0.7683754,1.2923661,1.1934835,1.1160836,1.1441487,0.8617971,0.9086237,1.4309366,0.52162004,0.99941874,1.4946156,0.86674136,1.1774977,1.0041683,0.81029505,0.45644498,0.88718665,0.90783596,0.744347,1.339262,0.61447847,1.0497569,0.0,0.70028925,0.89091295,1.0422935,0.70736086,0.8533609,0.96440476,1.2143774,1.3623631,1.3186859,1.0503778,0.5047702,1.1531335,0.37027204,1.1240239,1.1327978,1.0971469,1.0151513,1.322375,0.803503,0.98414856,0.8429642,0.96658796,0.94970345,0.72032785,0.71034425,1.0021234,1.043694,0.8175596,0.5678103,1.0029209,0.84154177,1.2998328,1.0976793,0.5881614,0.89581716,1.3224487,1.253862,1.4348301,0.6268926,1.0768088,0.6479274,1.2775033,0.65932405,0.6801237,1.3426895,0.76910734,1.3820975,0.7505069,1.1183233,0.7954864,0.62401515,0.77952933,1.0231963,1.3820337,1.4623582,1.3355713,1.3204854,0.5333878,0.50264525,0.81701696,0.6631632,0.9466028,0.9705421,0.9834329,0.8263804,0.8961246,0.54397345,0.9570489,0.7895999,1.2310195,1.1997895,1.2934909,0.8119215,1.000834,0.52927613,1.1348591,0.8450853,1.3803575,0.51156914,1.4538151,0.81553924,0.8147073,1.2206522,0.73075247,0.7735524,1.1837718,1.1658918,1.4156115,1.3165458,0.45279294,0.8199047,0.5127671,0.86924314,1.0824997,0.7958086,1.2121572,1.3054428,1.1600888,0.80363333,0.6555872,1.2453194
car,1.1388438,1.127894,0.7086608,1.294168,1.0418932,1.0332353,1.2194253,1.2474084,1.1436949,1.264794,0.4411999,1.0452306,1.4048975,0.5099926,1.0731238,0.91457725,0.85357285,0.75145113,1.2147303,1.2262326,0.7263973,1.0846623,1.0602924,0.93746793,0.70028925,0.0,1.0541526,1.0266122,1.0655929,0.7001606,1.1345584,1.2388673,1.1501285,1.1962948,1.2071984,0.5844111,1.2901529,0.65883493,1.0637261,1.0700763,1.191249,1.1498849,1.213915,0.83544534,0.80814004,1.0374391,0.61054385,0.8833178,1.0448027,0.85271764,0.8600136,1.1291312,0.9186125,0.52476585,0.9042068,0.7012688,1.0854698,1.3194478,0.6099269,0.70456934,1.2312816,1.1236916,1.2978373,0.8212147,1.1699753,0.70125735,1.0140676,0.7428531,0.73597527,1.4307287,0.6464616,1.4035516,0.68280494,1.2757305,1.0015512,0.8277408,0.77801293,1.1485804,1.28573,1.2242818,1.2095944,1.267906,0.647081,0.7096387,0.97329247,0.841923,1.0144019,1.0382472,1.2239032,0.8211562,1.1351576,0.53469896,1.0943179,0.7130436,1.1293142,1.2264835,1.1930408,0.6868299,1.0442041,0.778054,1.1084186,0.9424005,1.2560827,0.5660547,1.0114301,0.8389075,1.1508442,1.2043546,0.9837775,0.8183985,1.0863076,0.8569023,1.3194867,1.3715262,0.5327233,1.038848,0.63015896,0.88141876,1.2042086,0.8069557,1.3631874,0.93500084,1.0593153,1.0464622,0.63546956,0.99724394
carrot,1.0771408,0.7841891,1.1367651,0.8364595,1.110617,1.0821512,0.7851684,1.0915977,0.9611391,1.1415963,0.9086609,0.9188378,0.98415595,1.079976,1.0859232,1.0603477,0.9940957,1.1431236,0.98039895,1.0121025,0.9637275,0.98809564,0.9736301,1.147563,0.89091295,1.0541526,0.0,1.1423007,0.9664105,1.043904,0.9729853,1.1420773,0.87421036,1.1333619,0.9137895,0.8079037,0.97754246,1.0902331,1.172167,1.0838792,1.0159471,0.88873875,1.0072284,1.0498924,0.9769437,0.7572919,0.98689073,1.170676,0.9642853,0.82587904,0.9640317,1.0909061,1.0268222,1.1058745,1.0515444,0.8987474,1.0954167,0.71755874,1.1008143,1.1984556,0.9720528,1.0807505,1.0326577,0.8241394,0.923564,1.0233245,0.89455616,0.7017439,0.9128297,0.9826231,1.1167709,1.1017776,1.0868394,1.0054483,0.9064676,1.1081177,1.1061759,0.93181515,1.1316568,1.1460758,0.97447366,0.9635358,0.78519213,0.73515856,0.97930926,1.0690866,1.0553328,1.1274023,0.8387593,1.1200513,1.0829582,1.0047244,1.0016005,1.2660465,0.9991811,0.6251911,0.94311243,1.1271185,0.97524357,0.804753,1.1481317,0.85175955,0.95487905,0.92404974,1.1561363,1.035484,1.0075336,1.0112818,0.8790875,1.0314378,0.8382895,1.0306492,0.9719677,1.0445449,1.0792123,0.87834024,0.8282516,0.63436127,1.0117726,1.0804398,0.852736,1.0868402,1.0977536,0.9858052,1.0211201,1.1092176
cat,0.45940524,0.9249714,1.1481676,0.87066066,0.95102733,0.91544855,1.1258535,1.0465108,1.1356663,0.8056242,1.1373955,0.8008827,1.0353585,0.69523203,0.6878164,1.0809278,1.1432774,1.1511346,1.1811144,1.0322471,1.1346238,0.8849114,1.1499048,0.9799414,1.0422935,1.0266122,1.1423007,0.0,0.7447077,1.2368121,1.0389311,0.9539709,1.0570759,0.7549505,1.1158282,1.2417111,1.0281835,1.2081937,0.13373041,0.8632909,0.93652743,1.0748072,1.0276623,1.0971754,0.90641165,1.0877928,0.98735875,1.0228884,0.9582629,1.2253517,0.99905026,1.1173894,1.0091664,0.99171275,0.96565473,1.125523,0.85174644,1.0154146,0.9796969,0.916206,1.1387248,0.8246167,0.7690079,1.2063823,0.96609193,1.1853511,1.0067941,1.2239318,1.147779,0.85994005,0.8936719,0.9568183,1.1938493,0.67540306,1.0277615,1.0308825,1.2061691,0.9120962,0.9599425,0.9244943,0.8118179,1.138808,1.2187877,1.2228674,0.96068096,0.83504796,1.0518941,0.97153217,1.2577422,1.1033618,0.76075494,0.9649137,0.97605884,0.74094415,1.0140283,1.1243823,0.82318145,0.8985478,0.8355453,1.2303348,0.98685014,1.1272299,0.9842042,1.1195152,0.96122324,1.0302029,0.8720162,0.99202585,1.2157784,0.949363,1.1227571,0.72440124,0.8987537,1.0170783,1.2021418,1.0234803,1.0907191,1.0162061,0.63761944,1.1482912,1.2422028,1.1062993,1.0421395,1.1519313,1.2114947,0.98909235
