,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,cloud,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
crayon,1.561214,0.71233314,0.39671028,0.93156064,1.414998,0.45189846,0.4683966,0.658446,0.9555563,1.4212141,1.360168,1.565092,0.1486125,1.4105171,1.518859,0.91960305,1.4305921,1.3219292,0.83368313,0.24673903,0.42217135,1.3709246,1.1116756,0.58111775,0.7628888,0.8032345,0.39393914,0.7553412,0.65330756,1.3355163,1.2295179,0.5268393,1.4495578,1.1341331,0.7957544,1.0192702,1.1223036,1.0537362,1.4998307,1.4050438,0.0,1.5451198,0.29652917,0.28653622,1.1411788,1.3370149,1.2303903,1.2837334,1.0300014,1.4459558,0.782035,0.6787841,1.2963817,0.5981039,1.3171372,0.66443586,0.36297423,0.95291966,0.8639269,0.3534727,0.886215,1.1174723,1.5165527,0.84464014,0.7441962,1.3096061,0.6714489,1.2891322,1.2478808,0.5248227,1.1603315,0.95811546,1.2484183,1.4526106,1.4142673,1.4405721,0.47617137,1.3219154,0.4381832,1.4316196,0.6768097,1.2038153,1.2378285,1.3601213,1.1562532,0.7608658,1.3663428,0.32791722,0.3803993,0.49908614,0.76434314,0.45298254,1.3266246,1.3463032,1.5493484,1.362289,1.3119829,0.9689928,0.12879503,0.1299485,1.0865805,0.87116194,0.74729085,1.3182558,1.1262938,0.5563886,0.8889576,1.1905752,1.0569451,0.4906295,0.96208227,1.3450395,1.0324416,1.085264,1.280046,1.0005546,1.0094658,1.0326455,1.5333531,1.0243276,1.1240771,0.45954013,1.319437,0.76065695,1.4800572,0.19487631,1.3477819,0.58010036,1.2585064,1.2414179,0.2049371,0.7290335,1.1358439,0.38406664,1.3655502,1.3944197,1.0854594,1.6140023,0.5544913,0.544579,0.4883089,0.9679241,0.47373635,0.7053321,1.3035557,1.1721978,1.1501572,0.6511334,0.98670727,0.26167738,1.3383034,1.1291713
crib,0.587259,1.4265001,1.5955977,1.2490389,0.8078441,1.5112913,1.4915526,1.384989,0.81358284,0.41737926,0.79203725,0.3232472,1.495482,0.34089577,0.7293657,1.0550457,0.5270803,0.6131373,0.8804204,1.4833916,1.3697915,0.4577037,1.1323409,1.090597,1.0841334,1.1307292,1.2208245,1.1251111,1.2658217,0.77052116,0.49622208,1.3866887,0.41107213,0.94601387,1.1651978,0.7484666,0.9880139,0.95739764,0.42385447,0.68470746,1.5451198,0.0,1.4446639,1.4073371,0.7791705,0.7692238,0.83691436,0.61877316,0.7046211,0.75165504,1.3967257,1.4761565,0.827527,1.3576964,0.9234924,1.5019318,1.5021946,1.0111905,1.2943215,1.312518,1.1526508,0.934465,0.70147055,1.3129134,1.3514516,0.7554556,1.2452751,0.9754735,1.0531983,1.491931,0.81560063,1.0977162,0.77105343,0.71389794,0.77419394,0.7587314,1.2147298,0.51438206,1.3319702,0.84736395,1.2608025,1.0258158,0.7784,0.9705209,0.85068345,1.31216,0.96183175,1.5282718,1.3426461,1.5151801,1.4238919,1.6015388,0.51229435,0.7513914,0.6319448,0.8855016,0.67722875,1.141134,1.4150075,1.4262397,1.0461578,1.3100961,1.0704554,0.85078496,0.7959732,1.2254833,1.0845714,0.9594854,0.9054651,1.2442598,1.1960242,0.5133949,1.1542617,1.0065832,0.76574546,1.160409,1.1356555,0.81658787,0.7223884,1.0254816,1.0977504,1.3796282,0.4514854,0.991524,0.4639067,1.5655193,0.6651547,1.3327723,0.869313,1.070924,1.5196176,1.1899371,0.9084766,1.4774667,0.5366996,0.8391906,0.8240671,0.34076262,1.2938328,1.5524008,1.493226,0.8735702,1.2904133,1.0463445,0.65963006,0.8148912,0.8655354,1.1958908,0.850536,1.5330861,0.5918598,0.92670083
cup,1.5850061,0.8243798,0.36391723,0.75384665,1.459194,0.4143815,0.4830923,0.91616297,0.7115575,1.3818392,1.3773527,1.5672218,0.21950471,1.3843727,1.5080884,0.8464323,1.5214658,1.3257129,0.9255644,0.085954964,0.1918664,1.2616727,1.0713805,0.5856747,0.40432483,0.7925489,0.2850535,0.64131856,0.87514067,1.2721958,1.0212077,0.43865478,1.3968788,1.1653432,0.6971812,1.2324449,1.1194403,1.2212088,1.4675543,1.4534378,0.29652917,1.4446639,0.0,0.42002386,1.0820503,1.2842315,1.1252936,1.1442676,1.068409,1.4499563,0.8749245,0.58513975,1.3002827,0.6233653,1.2959843,0.83960915,0.5541533,0.7894449,0.8858134,0.5016939,0.99226177,1.2356538,1.3530813,0.8943157,0.8119961,1.2830257,0.8580666,1.2946271,1.3134253,0.4540708,1.2427845,0.98704815,1.3921038,1.4505739,1.0773267,1.5330414,0.80003965,1.331092,0.2991895,1.4466774,0.8639735,1.1662318,1.1446859,1.4220804,1.1324828,0.9476028,1.336766,0.38230324,0.40765262,0.6307328,0.8011538,0.49017113,1.1761211,1.3647269,1.5586944,1.4200003,1.3840628,0.8322107,0.44898456,0.3737297,1.0542656,1.0691966,0.68151057,1.2823524,1.0372083,0.4580357,0.9296774,1.1494334,0.89237684,0.29635155,1.0468551,1.154175,0.9046344,0.9850901,1.3018489,0.74903345,1.2501848,1.2459855,1.5044171,0.9852484,1.1462216,0.3477583,1.234433,0.64895326,1.5055153,0.25693786,1.4237345,0.5517823,1.1802998,1.1794994,0.29874122,0.83797103,1.2736765,0.4386528,1.2578126,1.4178617,1.0879059,1.5001764,0.41325247,0.62960386,0.7196454,1.2750914,0.48540443,0.6362219,1.0904177,1.2151878,1.0580444,0.66135734,0.8357187,0.28609967,1.2934676,1.1427855
deer,1.3660543,0.74560994,0.52654207,1.0269915,1.3179111,0.6308193,0.63577974,0.83366406,0.94254965,1.3843007,1.2682933,1.3982526,0.3643645,1.3499888,1.3290936,0.93757874,1.3374112,1.3281249,0.8680389,0.36559117,0.59236884,1.2715882,1.091067,0.69735134,0.8374388,0.906808,0.4711709,0.81752914,0.70614445,1.2315818,1.1806854,0.66000134,1.2822978,1.0202421,0.8884284,1.0614177,1.2057234,1.140682,1.3221331,1.2902143,0.28653622,1.4073371,0.42002386,0.0,1.1280985,1.2316654,1.1681168,1.1407127,1.1466881,1.2973063,0.73630047,0.78174776,1.223894,0.68898517,1.1824607,0.71932673,0.5145242,0.88546634,0.9339495,0.63855237,0.9185276,1.0881212,1.2955292,0.8814661,0.87027013,1.2005287,0.71167034,1.1499758,1.1872357,0.62990713,1.2387528,0.91680044,1.2703458,1.3347754,1.2588975,1.3336034,0.77448153,1.2892122,0.6365603,1.3323689,0.735284,1.1254791,1.1684604,1.2970579,1.1779345,0.7501455,1.257992,0.43733913,0.5128993,0.60957795,0.7859196,0.5656046,1.2924805,1.2526839,1.3522509,1.2794483,1.2246995,1.0306045,0.46206057,0.46598268,1.106328,0.906601,0.85477287,1.2232171,1.0034599,0.70693535,0.82992315,1.1339355,1.0600586,0.68139815,0.9640881,1.2644843,1.0440837,1.0098354,1.2330872,1.0237911,1.1816374,1.1917571,1.334678,1.0783052,1.100039,0.6507758,1.2339146,0.89353245,1.3801086,0.3874687,1.3190666,0.6746112,1.2448711,1.152411,0.45458603,0.8605275,1.172449,0.48069435,1.3037084,1.3006868,1.0958512,1.4348102,0.76510745,0.58632797,0.5657529,1.0955048,0.5804688,0.8262979,1.2598579,1.1199625,1.1606053,0.51481485,1.0314152,0.43861997,1.1598886,1.1158258
dish,0.9603965,1.1445243,1.0322928,0.9610671,1.033343,1.0878327,1.0473673,0.9806968,0.9216459,0.8754772,1.0583591,1.0016087,1.1733824,0.84327793,0.95338714,1.0270057,1.0628464,0.8166226,0.82916284,1.0686834,0.94331425,0.71663105,0.9597927,1.05767,0.9793806,1.018616,1.0577484,0.94225883,0.95851874,1.0138931,0.9336195,1.0485033,0.88534516,1.1203287,1.0233105,0.9604773,0.93162173,0.9017254,0.972544,0.95416564,1.1411788,0.7791705,1.0820503,1.1280985,0.0,1.024242,0.9007133,0.85734373,0.80835587,1.0859025,1.1838331,1.1302168,1.0914973,1.1954967,0.970314,1.15773,1.1327742,0.7867751,1.162272,1.0526193,0.9721484,1.0825183,0.7326399,1.1033895,1.1076677,0.9654757,0.8380781,1.0215515,0.96146464,1.1778238,1.1383559,1.067077,0.8513923,1.0174543,0.694536,1.0412788,0.9743332,0.94187003,1.114984,1.077124,1.0272808,0.8507104,0.85528356,1.0330129,0.9591227,1.1270921,0.9456438,1.163523,1.1079028,1.1632288,1.1396122,1.1364361,0.8187598,1.0695977,1.0329652,1.0798945,0.8417667,0.97284746,1.1067415,1.1055615,1.0228595,1.0506368,1.0826024,0.6831498,0.94529176,0.92517644,1.1645964,1.0969005,0.88251996,1.0272967,1.1737696,0.80387783,1.0181062,0.9117219,1.0752599,0.89601713,1.0919719,0.9968714,0.9648847,1.1338389,1.1258361,1.2006066,0.9330527,0.898787,0.9592278,1.1830325,1.0667022,1.1216825,1.1544547,1.0516793,1.0615478,1.214216,0.93541324,0.9402492,0.9394279,1.0195831,1.0005631,0.8369051,0.97673726,1.194695,1.1070703,0.8234564,1.0910089,0.8709088,0.6670721,1.0109196,0.9505137,1.0975974,0.9603796,1.2013607,0.8708292,1.0441501
dog,0.5656732,1.2250897,1.2639141,1.1980034,0.9515961,1.1705918,1.1866757,1.1636027,1.123233,0.9500354,0.6119625,0.7505604,1.261006,0.84547967,0.9698822,0.42959672,0.75966847,0.88466555,1.0607245,1.2267209,1.2145293,0.93913543,1.0437577,1.2118785,1.1208162,0.96736705,1.2837176,1.0081673,1.2604656,0.017779112,0.9022273,1.2348655,0.8993222,1.0049491,1.1020474,1.1217328,1.0814376,1.0532564,0.7087648,0.9121124,1.3370149,0.7692238,1.2842315,1.2316654,1.024242,0.0,0.84314454,0.96809995,1.1321248,0.8710708,1.2079326,1.2042012,0.75960386,1.0804197,0.88875526,1.275684,1.0368636,1.0538679,1.0861359,1.2875621,0.79130006,1.0332733,0.9507802,1.1107303,0.94661134,0.85141945,1.2043929,0.8513355,1.0568419,1.0658478,1.0199777,0.69750655,0.9647959,0.81253695,0.91625255,0.85787284,1.315012,0.9529752,1.1997259,0.91109455,1.1952064,1.0129722,0.95978606,0.8368516,0.8931107,1.2004586,0.99786025,1.2610985,1.2850416,1.3111122,1.1748345,1.2784486,0.9392276,0.7982389,0.9111597,0.8647021,0.9898976,1.0406387,1.3245728,1.3456392,0.7008853,1.1927894,1.0451233,0.9734411,0.9234421,1.1930501,0.53038216,1.0564824,0.96250176,1.1261662,0.8793868,0.9662928,1.0200236,0.5383017,0.9310385,1.0853264,1.0915798,1.0495504,0.89124584,0.7975662,0.9871744,1.1259191,0.9438493,1.1388052,0.94542044,1.2374678,0.90172625,1.1565328,0.8664641,0.9561388,1.2831872,1.1323351,1.042661,1.2220589,0.6190026,0.9188452,1.0291419,0.76718754,1.2080897,1.2305682,1.2689216,1.1523814,1.2354707,1.0766357,0.9162247,1.0049226,0.9673928,1.090875,0.94901913,1.2476631,0.93179286,1.0507824
doll,0.5976671,1.1573327,1.036384,0.9774042,1.0061103,1.0047683,0.9820307,1.042152,0.8095509,1.1916928,1.0534377,0.9356861,1.200777,0.9818696,0.8411704,0.71686316,0.8712912,0.9582989,0.72858095,1.1054403,1.0302111,0.7831559,1.0744247,1.0367945,0.8524596,0.8390289,1.2192007,0.94860953,1.0660608,0.8847664,0.8523098,1.0820738,1.1604048,1.091883,1.0667138,1.3124232,0.8701358,0.97811216,0.85601395,1.0638772,1.2303903,0.83691436,1.1252936,1.1681168,0.9007133,0.84314454,0.0,1.1136862,1.1877003,1.0143701,1.1579263,0.9404221,1.1875426,1.0842637,1.0285256,1.1366928,1.1254938,0.8246839,1.01394,1.1559749,0.5761907,0.9138628,1.0735849,1.1232603,0.8887708,1.026298,0.9419252,1.0536226,0.9681267,0.9447053,1.0455961,0.91965055,0.892395,1.0371732,0.9669965,1.0584289,1.3511047,1.0651311,1.0967551,0.9417368,1.1109256,0.97583866,0.88139516,0.8878506,0.91939217,1.2279164,1.0678705,1.2693262,1.1296695,1.2371716,1.147115,1.1127262,1.1154761,0.9352444,0.8799523,1.1661483,0.93129563,0.7117812,1.258582,1.1920683,0.684891,1.1810524,0.7633872,0.93586963,0.9590313,1.1151426,1.0107924,1.0399567,0.7371203,0.93151283,1.1991211,1.1530917,0.96883196,0.64290524,1.0723058,0.92433816,1.1257312,0.89325225,0.96731055,1.037103,1.0844424,1.0278782,0.99524325,1.2726783,0.9791778,1.2236582,1.1369575,1.0289073,0.9770259,1.0119035,1.1835485,0.9117285,1.064778,1.0960473,0.6813108,1.1132516,0.85535836,0.89939886,0.8939696,1.1274729,1.2833999,1.1272898,0.99980813,0.4575566,0.874043,1.0141343,0.8148656,1.1512616,0.86912096,1.2078644,0.9945936,1.0780509
door,0.9469178,1.1260602,1.3163722,1.2332722,0.856988,1.3282467,1.245268,1.289637,1.0321131,0.56082433,1.036957,0.6832654,1.1979156,0.53517604,0.8802832,1.1192634,0.97608036,0.9088421,1.1274819,1.1251252,1.2218016,0.811437,1.180567,0.830702,1.0937115,1.1778488,0.826159,1.0742251,1.0966526,0.9217341,0.63437474,1.1582129,0.3297215,0.9782768,1.0864898,0.9244704,1.1458617,1.1641058,0.6487537,0.8653878,1.2837334,0.61877316,1.1442676,1.1407127,0.85734373,0.96809995,1.1136862,0.0,0.6302425,0.82094896,1.1440128,1.2954632,0.9367713,1.2127054,0.92428005,1.2158798,1.3660066,0.9882315,1.0989549,1.2479042,1.2655363,1.0241343,0.82661664,1.1131701,1.2967271,0.7661849,1.2792692,0.9526108,1.0350991,1.2774165,0.93755925,1.0989015,0.8365647,0.8116251,0.8548708,0.87131876,0.984194,0.5611955,1.0688847,0.8587731,1.0672969,1.1438844,1.0398885,1.0693696,1.0258732,1.1955593,1.0371337,1.2203631,1.0326426,1.184052,1.1406338,1.291968,0.5674229,1.0844468,0.81356746,0.74108,0.91754323,1.1887654,1.2003213,1.1869314,1.0683411,1.090966,1.1366314,0.9752932,0.78325236,1.103675,1.1602266,1.1610453,0.98338765,1.1180178,1.1156092,0.3146168,1.180392,1.0310136,1.0226222,1.0797652,1.106961,1.088049,0.8206582,1.1900165,0.9123343,1.1032943,0.2926793,0.91180885,0.73907614,1.2618384,0.94896364,1.1144068,1.001951,1.0895537,1.238491,1.1220412,0.9012468,1.2446864,0.95074755,0.83167666,0.9985235,0.675554,1.2898841,1.226553,1.2466254,0.9832489,1.0941234,1.2122712,0.84169424,0.93295217,1.0139544,0.9629307,0.71288335,1.2253246,0.5033107,1.034846
drawer,1.1615901,1.0540291,1.2467164,1.0199245,0.9865185,1.1278975,1.0453892,1.128073,0.936779,0.5496969,1.2490156,0.86919594,1.060333,0.5568656,1.1049882,1.2481203,1.0239524,0.75471795,0.7939897,1.1830406,1.0076978,0.58425707,1.0977273,0.892678,0.98711604,1.1538,0.7774129,1.0371621,1.0343367,1.1193618,0.7753226,0.98571134,0.63496673,1.0599096,0.7901518,0.7306122,1.0453346,1.1746343,0.86585283,0.94252765,1.0300014,0.7046211,1.068409,1.1466881,0.80835587,1.1321248,1.1877003,0.6302425,0.0,1.012104,1.0907522,1.1454957,1.1725659,1.0611467,1.0764701,1.1090082,1.1660258,1.0688908,1.0643542,0.87265396,1.1122845,1.1979067,0.9594516,1.0661811,1.176644,1.1009357,0.9480224,1.1687592,0.9897743,1.238924,0.8709862,1.2132473,0.7924625,1.0540464,0.8537334,0.94040364,0.7070162,0.7602686,0.95422256,0.9924315,0.88619095,1.0564953,0.95240515,1.1032841,1.1146245,1.041905,1.0517315,1.2026304,0.95824194,1.0730723,1.0594102,1.1181927,0.4895286,1.1801544,1.0672975,0.92554075,0.6897054,1.1897129,0.84675765,0.90069664,1.1039914,1.0032943,1.056797,1.038628,1.0681494,0.799268,1.1402019,1.0713342,0.9995421,0.9020035,0.9633179,0.6004118,1.1083333,1.2432096,0.9979884,1.0029033,0.95610195,0.8061992,1.0794674,1.0358214,0.9881924,1.1367583,0.708739,0.55611265,0.92437863,1.1882764,0.93954927,0.9259602,0.9960882,0.965429,1.0260063,1.1127238,0.8286432,1.1353498,1.1512384,1.0696152,1.0886815,0.71464354,0.9572779,1.1931696,1.0749958,0.8386117,1.0037693,1.0072802,0.64709425,1.1533244,1.1187655,0.9893179,0.8338313,1.1548458,0.967279,1.0927819
dress,0.80816424,0.9981203,1.402119,1.1204393,0.50604886,1.4432199,1.4514,1.1986787,1.0871195,0.76814264,0.860075,0.5818672,1.3741689,0.7119125,0.36684024,1.2690048,0.59456176,0.9027193,1.1893964,1.390285,1.4570575,0.8799483,1.0022943,1.3173335,1.2674701,1.3030667,1.2606201,1.2205424,1.099513,0.8785887,0.9118465,1.4675515,0.6475269,0.9436937,1.3174853,0.86927384,1.2140183,0.97694415,0.61839634,0.73837507,1.4459558,0.75165504,1.4499563,1.2973063,1.0859025,0.8710708,1.0143701,0.82094896,1.012104,0.0,0.98835653,1.300794,0.8741062,1.3194046,0.7912331,1.0239265,1.4319249,1.1211971,0.96822697,1.386919,1.2893362,0.97432154,0.7255646,0.9856044,1.0620649,0.93475866,1.2394596,0.6762032,0.6965488,1.221047,1.0131196,1.0075194,0.92874956,0.46705687,0.8768512,0.32843018,1.1605421,0.7603985,1.5128729,0.59876627,1.042975,0.96589226,0.91884935,0.6593585,0.9810852,0.9959009,0.8023068,1.2714369,1.2844179,1.0095626,1.1018877,1.3223473,0.74162626,0.8824743,0.2640773,0.31619084,0.8809381,1.318264,1.3843819,1.4482179,1.1333203,0.8540018,1.219511,0.83731204,0.99835676,1.4159622,1.0640725,0.8054427,0.9562762,1.4349787,1.0634583,0.70847714,1.167531,1.1130083,0.9703926,1.2307341,0.7407251,1.0761149,0.3262105,1.0253155,0.4069909,1.2148706,0.8122238,1.2489264,0.6690241,1.3359048,0.8241609,1.4315503,0.86561316,1.0130378,1.38411,1.209677,0.9529805,1.3517394,0.9565479,0.36858505,1.0917292,0.6876528,1.4823003,1.1174034,1.1885848,0.9028821,1.2360467,1.375988,0.96689385,1.0525914,1.1065483,1.0886416,1.1321728,1.2774575,0.941597,0.8008565
ear,1.311022,0.50857854,0.7108145,0.85000676,0.9671901,0.9203479,0.9051446,0.85166025,1.2035967,1.3582425,1.1383839,1.3433304,0.82886064,1.3659031,1.0378519,1.213845,1.3315496,1.3588625,1.1794908,0.8543016,1.0046788,1.3125504,0.99071914,1.0337313,1.202373,1.0996431,0.9212005,1.1422259,0.8116662,1.2140121,1.2719901,0.98099494,1.1727831,1.1397942,1.1257023,1.0986341,1.1562893,1.2499727,1.2557338,1.1558837,0.782035,1.3967257,0.8749245,0.73630047,1.1838331,1.2079326,1.1579263,1.1440128,1.0907522,0.98835653,0.0,0.7671765,1.0256144,0.7656629,0.83472383,0.25082016,1.0344688,1.1078944,0.68574566,0.867833,1.1403048,1.0780503,0.97228414,0.40438354,0.8597743,1.25013,0.8842006,0.7302009,0.6044099,0.6756047,1.1957021,0.9443558,1.106112,1.148988,1.2041187,1.0307373,0.83809316,1.2160157,1.0068058,0.8872694,0.8854166,1.0436503,1.1939269,0.92347294,1.2046988,0.29169726,0.9399344,0.51003355,0.91671443,0.28621364,0.31198692,0.63970184,1.2015,1.170732,1.0589488,0.9530836,1.1740118,1.2014043,0.8442733,0.84683853,1.1550246,0.57723033,1.2288018,1.245763,1.1513922,1.1035764,1.0100532,1.0321482,1.1969395,1.0755566,0.58425695,1.2590129,1.1069907,1.1254282,1.1251527,1.0312549,0.8766706,1.1602874,1.0559349,1.0369198,0.82286537,0.81139493,1.2785351,1.2492759,1.2949963,0.6092131,1.333657,0.9283881,1.1058183,0.97179264,0.74926233,0.9769002,1.066463,0.72137976,1.2898284,0.99538267,1.1809603,1.3444833,1.0763991,0.28997052,0.40034884,1.0459527,0.9692225,1.1673667,1.2923921,1.2380497,1.1633366,0.80252683,1.1502953,0.5540043,1.2455897,1.1180652
egg,1.3744414,0.7631843,0.31442368,0.75916064,1.2752901,0.27712876,0.3265953,0.72760975,0.9261466,1.3863897,1.254534,1.4442471,0.6914276,1.4523919,1.2543577,0.9209326,1.3584651,1.3822627,1.1198097,0.6298672,0.49549377,1.3721395,0.8519907,0.9075,0.76447874,0.9045657,0.82380694,0.8644954,0.8600648,1.2069467,1.1495912,0.50068843,1.4445304,1.1574569,0.62750834,1.3084669,0.89644396,1.045119,1.3773215,1.3159657,0.6787841,1.4761565,0.58513975,0.78174776,1.1302168,1.2042012,0.9404221,1.2954632,1.1454957,1.300794,0.7671765,0.0,1.2298001,0.5330938,1.1523577,0.6910121,0.69210017,0.96460646,0.7529361,0.8078429,0.9295627,1.0938435,1.3533275,0.86506504,0.84682894,1.2499409,0.83608174,1.1189334,1.1492622,0.5563407,1.178423,1.123206,1.2390012,1.4051831,1.2314985,1.3501338,1.0684887,1.3576397,0.5870545,1.1833173,0.9257768,0.88648206,1.1226747,1.0958648,1.212201,0.8710467,1.0711948,0.56317365,0.7313348,0.75109124,0.7128062,0.2870717,1.3443108,1.1866102,1.3218111,1.2803624,1.35499,0.6643879,0.8513619,0.7818606,1.034122,0.7913959,0.8044865,1.2331219,1.2029256,0.6697729,0.95800906,0.88937837,1.0931455,0.7343861,0.72097194,1.3889121,0.80332386,0.9607636,1.1781839,0.68704677,1.1625304,1.2888763,1.3118007,1.0087452,1.0879581,0.7223687,1.3417192,0.96778065,1.4028504,0.6173159,1.3299297,0.58537364,1.0632235,0.6453396,0.60533565,0.88888425,1.2008841,0.52363706,1.234925,1.2774024,1.2046348,1.4187562,0.4872182,0.62794864,0.7145288,1.3386457,0.75392115,0.75344646,1.1894898,1.2564576,1.1142378,0.866473,1.1341894,0.6514861,1.3481135,1.171891
elephant,0.7106406,1.1461535,1.2150123,1.2156359,0.8708714,1.2219237,1.2882338,1.1564131,1.1559043,0.67749965,0.20042187,0.62817293,1.2063463,0.9247755,0.8982123,0.97045,0.678407,0.98766655,1.3370047,1.2726564,1.3262084,1.0878822,0.8378113,1.297634,1.2711601,1.1227999,1.3114295,1.1298472,1.1842695,0.70862556,1.1564069,1.2231967,0.77976334,0.89334416,1.193754,0.8690294,0.87008977,0.8359196,0.8380311,0.64342743,1.2963817,0.827527,1.3002827,1.223894,1.0914973,0.75960386,1.1875426,0.9367713,1.1725659,0.8741062,1.0256144,1.2298001,0.0,1.0372742,0.9066487,1.1513208,1.1264809,1.3129293,1.2113317,1.3110938,1.206931,0.9154661,0.7533683,1.0082259,1.2522591,0.82494056,1.3509315,0.8497051,1.0706862,1.2107782,0.93722177,0.8930346,0.9623806,0.6601003,1.095192,0.76809466,1.127084,0.9633986,1.2574489,0.920715,1.1828206,1.1961782,1.015159,0.9691374,0.97903985,1.0630838,0.68399143,1.0528798,1.3419027,1.1461247,1.0676329,1.2471874,0.9995479,0.3256768,0.8058114,0.8198673,1.0833216,1.1506848,1.2726803,1.3043532,1.0417721,1.0777936,1.2907865,0.9454329,1.0636914,1.375891,0.9612992,0.80986893,1.2949258,1.3301146,0.8567186,0.85432786,1.0051985,1.1000173,0.522187,1.1769058,0.9454348,1.0929171,0.843876,0.9841836,1.0503489,1.2745422,0.74861085,1.1190852,0.6375762,1.1557182,0.45459545,1.2835053,0.9949646,0.97299504,1.2944705,1.1703186,1.0274146,1.2887558,0.99288857,0.67582023,1.1117936,0.883783,1.3028845,1.1862767,1.0885451,0.9519611,1.3360494,1.3594856,1.2619593,0.78773016,1.1088593,1.2458878,1.2912375,1.123899,0.78959095,0.67443836
eye,1.3478086,0.8535175,0.56111896,0.8298451,1.3728511,0.46001303,0.50895596,0.8306111,1.0095202,1.3806484,1.1953043,1.367843,0.55982035,1.3985515,1.3192823,0.84110326,1.309164,1.2450134,1.0301375,0.64706206,0.61150247,1.2736701,1.0191693,0.90500975,0.7741398,0.77858794,0.7516006,0.8353801,0.97660357,1.0930501,1.2302477,0.56375,1.3228067,1.1506307,0.58334136,1.1886954,1.0301905,1.0735477,1.3297746,1.3351173,0.5981039,1.3576964,0.6233653,0.68898517,1.1954967,1.0804197,1.0842637,1.2127054,1.0611467,1.3194046,0.7656629,0.5330938,1.0372742,0.0,1.1324584,0.8017459,0.6289772,1.0267634,1.0122668,0.8061268,0.82297593,1.1611243,1.2430077,0.6581998,0.90222645,1.179729,0.8280034,1.064296,1.2125063,0.580992,1.1657815,0.97148126,1.2446556,1.3322513,1.3154632,1.3615613,0.9837574,1.2940388,0.63551813,1.3175637,0.8902706,1.1030518,1.1991968,1.201318,1.1170853,0.75314355,1.2538841,0.63415295,0.82435834,0.7324432,0.635556,0.49785686,1.240334,1.1451029,1.3875581,1.2892066,1.3161283,0.9048941,0.73916656,0.71789616,0.97842556,0.9647415,0.8771129,1.2360299,1.1602737,0.7816199,0.9162563,1.1891496,1.0514936,0.7111227,0.49760228,1.314318,0.99544644,0.9467145,1.1640587,0.76324016,1.2243812,1.2216928,1.3585094,0.97170347,1.1352878,0.80121917,1.2040584,0.9584313,1.3471509,0.6021485,1.2312146,0.6296347,1.2830853,0.8621471,0.670997,0.954641,1.2050946,0.64284414,1.1375515,1.2916504,1.0924255,1.4304323,0.5542903,0.72606456,0.6734864,1.3429627,0.8536255,0.8103432,1.234443,1.1085358,1.0383517,0.7746344,1.1130043,0.5412611,1.2218162,1.1557024
