,alligator,ankle,apple,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,coat,coffee,couch,crayon,crib,cup,dish,dog,doll,door,dress,egg,elephant,eye,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,spoon,sprinkler,stick,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
belt,1.2778836,0.81587994,0.7298419,0.87915933,0.76949716,1.1548423,1.1981391,1.1479963,1.1858962,1.2495124,0.0,1.1916088,1.1254365,0.5502347,1.1244993,1.33011,0.44646198,0.5920061,0.91982394,1.0713038,1.1483221,0.926975,0.56149447,1.0782459,0.7010206,0.91809094,0.7676919,1.1681458,1.1995869,1.1960899,0.3925364,1.2139319,0.6414792,1.0807031,1.1321098,0.8906126,1.2042756,1.2531456,0.6750118,0.9883755,0.8969929,1.259548,0.9672196,1.1329608,0.7027527,1.0282093,0.979863,1.1256227,1.0248387,0.49087763,0.8864657,1.2809864,0.91704977,1.2083904,1.1267247,0.44903833,0.99976367,1.3770854,1.2896355,1.0625075,1.3671541,0.57946026,0.8225477,0.53660786,1.2660491,1.2681795,1.1465186,1.325926,1.1642892,0.84245634,0.55937976,0.6834127,0.3827653,0.9064132,0.73127484,0.91054773,0.7954323,1.2596662,1.1738465,1.2499901,0.4037286,0.42399645,0.901546,0.8734357,1.1755996,0.7321746,0.9289862,0.961875,0.995845,0.916488,0.80229384,0.8295952,1.187017,1.2571137,1.3231723,1.2026632,0.9505447,1.0774028,0.9367848,1.2077183,0.941381,1.4212377,0.39999628,1.244917,1.0159574,1.1008295,0.82616955,1.337405,1.2130249,1.3395606,1.2489593,0.8982022,0.6471806,0.48692977,1.2272824,0.8360622,1.1843855,1.1072505,1.2040935,1.1898558,0.8421189,0.6668237,0.3857581,0.94276685
bench,0.95892334,1.1342144,1.4488665,1.3682412,1.4108546,1.2930708,0.6495018,0.45389938,0.9426046,0.6152556,1.1916088,0.0,0.84668255,1.244721,0.7874998,0.72533965,1.3421483,1.330513,1.2957813,0.9500147,1.2959862,1.2032598,1.0974139,0.9917547,0.95793134,0.60652125,1.3447677,0.567803,0.67731637,0.59399056,1.3600563,0.56710553,1.3685688,1.1094974,0.9856654,1.2658391,0.5647136,0.7933847,1.42443,1.0463301,1.2243149,0.9764709,1.1469976,0.97730494,1.3525063,1.1947461,1.0606725,1.2940652,1.1359248,1.3549424,1.2228086,0.74924386,1.3534489,0.86824226,1.0528309,1.4217508,1.1047449,0.8314528,0.74422675,0.8905382,0.8291657,1.1474662,0.80247915,1.1745282,1.0448089,1.0181973,1.0420893,0.78346956,1.101091,1.1046616,1.4046228,0.9236814,1.3207667,1.2441047,1.4241099,0.6024975,1.0966638,0.7821254,0.6046601,0.9395551,1.2561026,1.2507443,1.0179771,0.8395469,1.0442399,1.1961117,1.3005295,1.2323714,1.3348305,1.088447,1.1076441,0.67305756,1.0771968,1.0865184,0.8471811,0.7026639,1.0970744,0.69876176,1.0653722,0.58904916,0.87919366,0.6775716,1.2942213,0.9078445,0.97842383,0.7771172,1.1107616,0.6065819,0.6907423,0.6892214,0.4815039,1.2634505,1.3226935,1.2071779,0.8301329,0.91993785,1.1148725,1.0815458,0.8793149,0.7648249,1.0390337,0.9964517,1.3575978,0.7771509
bib,0.76192385,1.0097195,1.3439547,1.3262242,1.3029478,1.0460526,0.6784058,0.85959697,1.0174782,0.62566054,1.1254365,0.84668255,0.0,1.2950786,0.7234114,1.0515127,1.3166174,1.3366821,1.3006372,0.8797276,1.1036762,1.3234798,1.3929607,1.2302628,0.90262306,1.1214247,1.1906073,0.7452696,0.88161016,0.76311666,1.3570516,0.94028115,1.4105486,1.1922691,1.1798558,1.2763649,0.8703886,0.6116981,1.2802058,0.8922249,1.0476027,0.8176974,0.8856107,0.9496619,1.2069199,1.1939873,0.9412578,1.1577814,1.1916307,1.2512751,0.9915791,0.9606859,1.1982156,0.74856174,0.80887157,1.2454718,1.1758409,0.93801856,0.7481509,0.8370071,0.72961426,1.249691,1.1737125,1.1264762,0.9243433,0.90411896,0.57714695,0.92583734,0.86608183,1.0379825,1.271888,0.8713916,1.2844067,1.0587019,1.29954,0.86799055,1.0453095,0.22169119,0.65610987,0.9047533,1.3129706,1.2777135,0.8666893,0.9365952,0.90790516,1.2399793,1.3730636,1.1811342,1.3067946,0.823421,0.9906413,0.8800917,0.9958977,0.93307745,0.9254229,0.48314524,0.86987865,0.7640748,1.2920718,0.9440103,1.1696913,0.9728773,1.1931732,0.87173164,1.030046,1.0078441,1.1398166,0.9554507,0.55801123,0.93071777,0.8139474,1.1716437,1.0689299,0.99383795,0.7046412,0.8395263,1.2635666,1.1653048,1.0487283,1.0919052,1.2843492,1.017894,1.269151,1.098405
bird,1.2159036,0.8552812,0.6784904,0.8538019,0.6988843,1.0074732,1.2512155,1.1565655,1.113392,1.306282,0.5502347,1.244721,1.2950786,0.0,1.2841958,1.2463355,0.3562628,0.6288624,0.81135666,1.245246,1.0512699,0.9149387,0.7470197,0.95598614,0.8832449,1.1376293,0.79603744,1.1759893,1.2743227,1.3271298,0.36455917,1.267663,0.69270575,1.1943028,1.0818595,0.7874824,1.22696,1.3095826,0.59316814,0.948181,0.9775173,1.2376094,0.94147986,1.1386724,0.6023533,0.90898085,0.9981308,0.935245,0.98405194,0.5365593,0.86426675,1.20047,0.9116813,1.1599845,1.1225985,0.43996155,0.88372564,1.2854748,1.1812725,1.0467472,1.2594438,0.68315053,0.80555975,0.76270974,1.064523,1.2320452,1.2661017,1.2925636,1.123943,0.8593491,0.53200996,0.77704036,0.44647628,0.9323501,0.62855494,1.0066633,0.69861394,1.3687489,1.2555342,1.2128158,0.33732015,0.36788136,0.9296116,1.0939807,0.97106016,0.7263974,0.9613675,0.8660084,0.8622048,0.9916952,0.9226199,1.094949,1.1382456,1.1314592,1.3245014,1.3533604,1.033101,1.0565178,1.0029863,1.0916181,1.0297328,1.3785484,0.4824127,1.1169161,1.134716,1.1727939,0.7821918,1.3368907,1.3208716,1.3396174,1.2701046,0.9442819,0.66973984,0.7355993,1.2495265,0.9404997,1.0912565,1.1764431,1.1439102,1.2054344,0.88070893,0.83950776,0.6415274,0.878974
blanket,0.8885933,1.1958594,1.2546124,1.1457565,1.2110255,1.0711558,0.81087315,0.8284201,0.9905585,0.49911314,1.1244993,0.7874998,0.7234114,1.2841958,0.0,0.773211,1.2570701,1.2969964,1.1261781,0.8172534,1.0584557,1.090219,1.1507496,1.0305576,0.90250117,0.8419878,1.1637474,0.8914696,0.6575514,0.5904302,1.3390026,0.7577979,1.237387,0.9950453,0.9820051,1.1726592,0.90280575,0.8266529,1.313068,1.0170357,1.1780024,1.0711768,1.1722893,0.92041636,1.1874589,1.1202811,1.0717195,1.1144748,1.1276088,1.3347735,1.0685203,0.85112673,1.2207984,1.11202,1.1018534,1.2739899,1.1586373,0.8579056,0.87601954,1.1236894,0.86786854,1.2119787,0.9390601,0.95462465,1.059408,0.9389937,0.8461137,0.93556565,1.0579324,0.9138046,1.3054112,0.7459324,1.3241457,1.1741879,1.3093532,0.85959935,1.1565062,0.6827595,0.8380122,0.87779754,1.2253228,1.2272785,1.2322413,0.46374905,1.0031236,1.1682103,1.1182249,1.1614869,1.1829323,0.9478864,0.95746773,0.8408096,0.86810875,0.9639682,1.0081977,0.9253638,0.99696547,0.8666563,1.0157522,0.8668039,0.9422909,0.89892745,1.2260231,0.68243134,1.0083851,0.8655474,1.0772209,0.8993204,0.962311,0.89052427,0.621886,1.1387856,1.308931,1.1470983,0.9636316,0.45637363,1.0621438,1.0091963,0.9460235,0.98161894,1.0706784,0.97878724,1.2425772,1.0343539
boat,1.0721719,1.0492251,1.2592221,0.938492,1.2021933,0.9217418,0.8198642,0.71291465,0.87154174,0.8959728,1.33011,0.72533965,1.0515127,1.2463355,0.773211,0.0,1.2933977,1.2229985,0.90275514,0.78822255,1.0280031,0.6078862,1.0427675,0.82455,1.1003047,0.8678813,1.2785468,1.0839833,0.96631676,0.96454674,1.2947007,0.32832634,1.1307784,0.912966,0.99593544,1.1630676,1.0009491,0.920014,1.2602819,1.1204517,1.1841849,1.0467018,1.2077672,0.87901515,1.182799,1.1010824,1.1183777,0.8833723,1.1385726,1.3930786,0.99487823,0.6934918,1.1238955,1.1403924,1.0754743,1.2879927,1.1589785,0.6544272,0.8314401,1.1877431,0.61303276,1.2904072,1.0200877,1.2271404,1.1090839,0.84235764,0.9721123,0.6855298,1.1257474,1.0758487,1.3635926,1.1340383,1.3860625,1.2514589,1.1808966,1.0801483,1.2367812,0.93719256,0.89634204,0.9280992,1.2890043,1.2762388,1.1691635,0.9351716,1.1177016,1.2439923,1.0650872,1.238622,0.997672,1.0892385,1.0543752,1.1023121,0.88567775,1.0488527,0.61317545,1.1084875,0.9708457,0.9856147,0.6801076,0.9530765,0.89099866,0.36848593,1.2453426,0.6936862,1.0954303,0.636388,1.0367584,0.42366827,1.1097224,0.4138772,0.8722988,1.0605669,1.3357351,1.2818629,0.9873861,0.98837537,0.47812653,0.9497036,0.8606992,0.71839464,0.95097065,1.253726,1.300138,1.0395135
book,1.3038299,0.94392395,0.38466823,0.69830644,0.6534997,1.0505538,1.3264269,1.2574418,1.1690421,1.3043044,0.44646198,1.3421483,1.3166174,0.3562628,1.2570701,1.2933977,0.0,0.41522324,0.70509017,1.2376816,1.0318408,0.73387563,0.5755244,0.98154855,0.90527,1.0452181,0.78273433,1.2353334,1.2435812,1.2996738,0.19524461,1.3004522,0.43898153,1.1250961,1.117257,0.7750292,1.3026091,1.3511856,0.42794704,1.0496571,1.0050385,1.2357194,1.0087467,1.0964803,0.45925748,0.9319895,1.0628842,0.9894565,1.01028,0.39839542,0.81938434,1.237719,0.83365977,1.2440628,1.208942,0.2620381,0.929494,1.2989144,1.3078558,1.1996284,1.3187261,0.71155155,0.90289754,0.6947573,1.1325252,1.2024161,1.269466,1.2236646,1.1333401,0.89652634,0.28103852,0.82992667,0.3358556,0.93349254,0.4197796,1.1319252,0.91646016,1.3850738,1.2940159,1.20154,0.31404692,0.25856674,0.9829647,1.0545565,1.1006614,0.7752291,0.8493187,0.91116315,0.75668705,0.9838674,0.982941,1.0805231,1.127333,1.1947429,1.3104424,1.3792901,1.069594,1.1898568,0.95671946,1.2305168,1.0415583,1.3491783,0.42918158,1.101354,1.1448883,1.178531,0.75709707,1.3017443,1.3639023,1.3148997,1.3434559,0.89022577,0.63774633,0.6797547,1.2304605,0.979221,1.0283641,1.1347594,1.1712224,1.2247047,0.8809842,0.86853385,0.42743152,0.98689127
bottle,1.356888,0.9697653,0.36803854,0.5423368,0.5020412,0.8493359,1.2891622,1.4090588,1.2011477,1.4267952,0.5920061,1.330513,1.3366821,0.6288624,1.2969964,1.2229985,0.41522324,0.0,0.4842646,1.118451,0.78266054,0.4804716,0.29968637,0.8724456,1.0254622,0.8596015,0.6487467,1.3413379,1.2108042,1.302237,0.32167232,1.3376476,0.15338975,0.93929225,0.98528475,0.7682227,1.3577102,1.2886648,0.56866986,1.1951032,1.1284225,1.3448778,1.2071532,1.1768209,0.4729929,0.62846196,0.98192865,0.7201731,0.6477016,0.5993219,0.4786635,1.3227324,0.66252565,1.310785,1.2928158,0.36947215,0.8622212,1.3541167,1.3338614,1.224554,1.3162564,0.68095255,0.8095236,0.6344759,1.2912093,1.2229482,1.0570607,1.2333504,1.1976846,1.0518796,0.5263888,0.8773689,0.4161054,1.0872462,0.53481543,1.2778577,1.0672154,1.4501238,1.3672302,1.2378627,0.532545,0.5317114,1.0732285,0.97780055,1.1924921,0.50402826,0.67412335,0.6834873,0.77822226,0.7433419,0.91616464,1.1399431,1.2232493,1.231363,1.262695,1.4846741,0.7420834,1.2527674,0.65555555,1.3882949,0.86784613,1.3311105,0.36972702,1.2259166,0.90278476,1.1557269,0.82694525,1.2332618,1.4629446,1.3798542,1.3391081,0.781515,0.8445219,0.82397544,1.3093596,0.9603381,0.73078066,0.9101934,1.1328819,1.0124712,0.71581095,0.76551354,0.3135664,1.0129082
bowl,1.2331749,1.0187023,0.6654834,0.5479411,0.5113052,0.38886642,1.1142501,1.153527,1.0055804,1.3781564,0.91982394,1.2957813,1.3006372,0.81135666,1.1261781,0.90275514,0.70509017,0.4842646,0.0,0.9781571,0.34343576,0.30958343,0.5772676,0.895361,1.1263947,0.89726555,0.9056339,1.440185,1.178862,1.2649211,0.6899857,1.1733605,0.40123564,0.7476218,0.9218074,0.92029375,1.3807528,1.2794158,0.6463754,1.2236208,1.2501154,1.269881,1.2619406,1.1851269,0.65790284,0.5149525,0.8325881,0.5248583,0.6427811,0.999953,0.6038533,1.1582732,0.6896068,1.3486457,1.204543,0.7166834,1.0432757,1.1554778,1.3392168,1.2965071,1.1790245,0.88555336,0.9441882,0.8428012,1.1811379,0.95345825,1.027284,1.169757,1.2137278,0.9292722,0.88519037,1.067698,0.88266855,1.2312112,0.68276846,1.1935143,1.123233,1.373686,1.3977265,1.135715,0.77269816,0.79930615,1.2605772,0.8798165,1.0935009,0.64327896,0.5715397,0.7728234,0.5539548,0.8439529,0.938494,1.2648947,0.9164076,1.1105367,1.1041763,1.5021203,0.8531299,1.3512775,0.59063375,1.2979921,0.55108863,1.1656337,0.7487018,1.0783038,0.82090044,1.0873051,0.8231629,1.1441778,1.4650741,1.2089238,1.2831053,0.6382232,1.0964617,1.1223311,1.2003673,1.0679336,0.55672663,0.6613138,1.0114436,1.0816435,0.8224057,1.010778,0.7785722,1.0398945
box,0.8785738,1.1937611,1.3155917,1.0651269,1.1562046,0.85805047,0.7112976,0.91526616,0.9734487,0.89991075,1.0713038,0.9500147,0.8797276,1.245246,0.8172534,0.78822255,1.2376816,1.118451,0.9781571,0.0,0.8923526,0.84079134,0.96622044,0.9635692,1.1298524,0.8327937,0.76294285,1.1127098,0.91902256,1.0199149,1.2870294,0.8547384,1.0751722,0.7394667,1.0495718,1.1687746,0.9905855,0.9918057,1.2710693,1.1528901,1.0478731,1.1245872,1.292161,0.8188924,1.272606,0.98952097,0.99633485,0.94759613,1.1341939,1.3663857,0.9729004,0.9519885,0.9847509,1.1457301,1.1225818,1.3099327,1.2827386,0.8905618,1.0415832,1.2074227,1.026171,1.083601,1.0045719,0.5000017,0.97331077,0.9207871,0.8435523,0.8574685,1.2100923,1.0161024,1.334024,1.1499517,1.3469112,1.2046111,1.312675,1.0428509,0.9672973,0.9422253,1.0678375,0.71344197,1.2137578,1.2004161,1.2137899,0.8535616,0.9105244,0.996326,0.92527294,1.225389,1.0724268,0.80003595,0.32006788,0.942644,0.93931943,0.8342645,0.77327716,1.1288326,0.90638304,1.1373917,0.80519474,1.0777748,0.84208924,0.82561374,1.2316813,0.98806864,0.9699462,0.87794733,1.0018786,0.92650753,1.2133435,0.89680004,0.89208573,0.9926522,1.3744028,1.2664905,0.92640364,0.99383396,0.7422619,0.8126222,0.9156905,0.86384195,0.8730363,1.0658771,1.1223478,0.9785048
bread,1.0040202,1.0791271,0.84160024,0.7312067,0.684662,0.28045022,1.0019735,1.1760172,1.0100938,1.2293242,1.1483221,1.2959862,1.1036762,1.0512699,1.0584557,1.0280031,1.0318408,0.78266054,0.34343576,0.8923526,0.0,0.71211964,0.91862106,0.9941179,1.1804614,0.9920086,0.87480474,1.3368238,1.0971437,1.1628687,0.9562538,1.2363087,0.7693069,0.73144436,0.930259,1.0232662,1.2405084,1.1216992,0.795848,1.1656369,1.1672763,1.1610446,1.162533,1.1401925,0.848016,0.70905983,0.82466805,0.63508826,0.7485762,1.1298525,0.7672844,1.1566207,0.73701036,1.1826386,1.1012979,1.0122699,1.1039842,1.0959023,1.2121238,1.1188265,0.98429674,0.91339964,1.0407155,0.91838086,1.0237778,0.7560455,0.9034215,1.0833914,1.0522573,0.8459759,1.0659376,1.1194403,1.0935603,1.180513,0.871355,1.1879873,1.0983697,1.1790212,1.3056383,1.0288302,1.0287249,1.0473715,1.217562,0.9357028,0.96129346,0.86033183,0.6708075,0.7943319,0.65741855,0.72566843,0.872337,1.2457219,0.7531308,0.9376659,1.0105789,1.3098276,0.8957643,1.2986479,0.7593737,1.2192872,0.7240888,1.1361425,0.9874541,1.0482688,0.7880866,1.1467298,0.9300078,1.2215031,1.3040068,1.2615447,1.1702609,0.6963324,1.164967,1.1489924,0.9531316,1.0693424,0.67981374,0.64671695,1.0095878,1.0334024,0.93140453,1.0572151,0.94678336,1.1451235
bucket,1.2833309,1.0292996,0.6803601,0.4979512,0.65908587,0.6533655,1.1087576,1.0887077,1.0001385,1.3493426,0.926975,1.2032598,1.3234798,0.9149387,1.090219,0.6078862,0.73387563,0.4804716,0.30958343,0.84079134,0.71211964,0.0,0.45094192,0.88540035,1.1214452,0.8906385,0.96046513,1.4213301,1.1897516,1.3077106,0.70513195,1.0349194,0.3180098,0.76455444,0.95804614,0.88884205,1.3436737,1.2106651,0.73500115,1.2288378,1.233464,1.3196975,1.2706621,1.0548941,0.6767365,0.7439084,1.0357726,0.563814,0.80337584,1.0170333,0.5777141,1.0720663,0.71635556,1.4289176,1.2003291,0.74304026,0.96466815,1.0654534,1.2659287,1.3715621,1.045605,0.99294865,0.9469631,0.88188994,1.2385337,0.97201914,1.0027283,1.0180783,1.2082267,1.0295066,0.8918177,1.0269645,0.89853215,1.1995183,0.75144464,1.2650993,1.214502,1.3636415,1.2542813,1.0518546,0.8285753,0.80819017,1.2145067,0.94919604,1.2142186,0.77636373,0.65155673,0.92052907,0.6794869,0.90820366,0.9455837,1.175765,0.98292017,1.1328666,0.9141819,1.5027376,0.82881296,1.283675,0.43163723,1.2831647,0.741765,0.88299936,0.7617903,0.97508544,0.9409265,1.0245874,0.84144557,0.97147435,1.4760342,1.0597987,1.230433,0.7682413,1.0743067,1.0604552,1.2276642,0.9612001,0.29929864,0.7720598,1.0117338,0.9523756,0.8284311,1.0686806,0.7548003,1.092843
can,1.3411281,0.99524474,0.5893203,0.6466787,0.6331928,0.96338546,1.21709,1.150464,1.1158003,1.331378,0.56149447,1.0974139,1.3929607,0.7470197,1.1507496,1.0427675,0.5755244,0.29968637,0.5772676,0.96622044,0.91862106,0.45094192,0.0,0.85971326,0.9151932,0.6659589,0.7368438,1.2697845,1.1847378,1.216676,0.50056976,1.0944476,0.2840938,0.8930273,0.98025596,0.9033068,1.2168169,1.2477852,0.7745279,1.2038703,1.1771425,1.3191217,1.2963476,1.1023461,0.6845678,0.71457714,1.0855818,0.89810145,0.8737591,0.7861053,0.7199437,1.2531238,0.84922326,1.3313928,1.3445065,0.577826,0.95579785,1.3254542,1.3061485,1.2377058,1.303822,0.7535907,0.6515769,0.57786113,1.2971087,1.2549012,1.1909752,1.2024244,1.2529039,0.9934343,0.70392513,0.78459644,0.54612386,1.139884,0.6940059,1.0876601,1.135715,1.4481293,1.245805,1.1610284,0.5921555,0.602828,1.1603914,0.83381236,1.2433944,0.5150263,0.7559462,0.81845546,0.8868694,0.81263435,0.8924024,0.8297885,1.1947696,1.2115607,1.282777,1.4498112,0.8786744,1.1111478,0.65997815,1.2400749,0.73521626,1.2001644,0.50345373,1.1214132,1.0694981,0.9987035,0.8255953,1.0897071,1.4285697,1.2212127,1.2564021,0.7994027,0.96071815,0.87666076,1.2476472,0.81347615,0.77512527,0.94436365,1.0145185,0.96757466,0.6170698,0.7820883,0.4390579,0.8711218
car,1.0972271,1.0847182,0.92566836,0.9038461,0.97827566,0.9606904,1.0928234,0.9493994,0.9839451,0.9977596,1.0782459,0.9917547,1.2302628,0.95598614,1.0305576,0.82455,0.98154855,0.8724456,0.895361,0.9635692,0.9941179,0.88540035,0.85971326,0.0,1.057742,0.8680909,0.9791988,1.1343673,1.088032,1.0250751,0.98924017,0.9449066,0.91827464,0.96807706,0.9172688,0.9595241,0.98671633,1.0912592,1.0659057,1.0737034,1.1300833,1.0847573,1.2239654,0.764405,0.907677,0.8078512,1.0904781,0.8959102,0.9674273,1.0870444,0.9291009,0.84544885,1.048225,1.0963931,1.207999,1.0071073,1.009169,0.8624121,0.99027544,1.2336345,0.89308286,1.008201,0.7920978,0.96765256,1.1740592,1.0518785,1.1215872,0.7078668,1.1975771,1.0834686,1.0534331,1.1773589,1.0534105,1.16142,0.9726244,0.9788201,1.1642784,1.1665934,1.0920047,0.99265754,0.9812576,1.0100923,1.1871876,0.9756169,1.1371285,0.8272614,0.9242822,1.0031033,0.982196,1.1113985,0.9393532,1.0894935,0.9908968,1.1258948,0.79613316,1.1694388,0.9431356,1.1210617,0.80336654,0.9510081,0.92982507,0.75644684,0.97705543,0.9387441,1.1226555,0.9177165,0.9802713,0.86144304,1.1331134,0.8838113,1.1042073,1.1060901,1.2230282,1.2270966,1.1035839,1.120281,0.73238987,0.99240327,0.79121244,0.71005636,0.7377063,1.0864384,0.9668098,0.88980305
cat,0.9133824,1.0527973,0.97362554,1.0465336,0.93862003,1.1388416,1.1497895,0.81625533,0.91194445,0.9618063,0.7010206,0.95793134,0.90262306,0.8832449,0.90250117,1.1003047,0.90527,1.0254622,1.1263947,1.1298524,1.1804614,1.1214452,0.9151932,1.057742,0.0,1.0756159,1.0449975,0.97590667,1.1155294,0.98431057,0.91412646,1.0030099,1.0468714,1.1793705,1.1623168,0.979582,0.8369672,0.99632657,0.932225,0.60261095,1.0318961,0.99676114,1.0059435,0.9460753,0.8587316,1.1496202,1.0069481,1.1441064,1.1467798,0.9194271,1.1280417,0.925895,1.1755409,0.90641046,1.0740098,0.8492101,0.89291775,1.2112404,0.9211456,0.93281394,1.0451193,1.0012649,0.8180344,0.9761008,1.1118873,1.0505089,1.2560675,1.1090808,1.0988966,0.753958,0.8792229,0.84293735,0.76797044,1.032001,0.9348951,0.72742724,1.0832963,0.9667721,0.94141984,1.0725513,0.8462187,0.86231375,0.9059015,0.97127134,1.1423444,0.99332654,1.1328297,1.1019119,1.0297003,1.2212812,1.1319058,0.52013505,1.0410618,1.1158929,1.1543878,0.94761187,1.138093,0.9684928,1.1370363,0.9426218,1.1214129,1.0803221,0.9195509,0.98533505,1.1652848,1.0754873,1.0310397,1.1359589,0.9152268,1.0883076,1.0379616,1.0637357,0.9428235,0.773952,1.0753943,0.88102585,1.2289959,1.209916,0.9557153,1.1306328,1.0047326,0.98507166,0.9606052,0.9101789
chair,1.1562277,1.1052341,1.122629,1.0703704,0.9983175,1.0057915,0.8745663,0.9320831,1.0974934,1.005564,0.91809094,0.60652125,1.1214247,1.1376293,0.8419878,0.8678813,1.0452181,0.8596015,0.89726555,0.8327937,0.9920086,0.8906385,0.6659589,0.8680909,1.0756159,0.0,0.9859918,1.0461645,0.7479884,0.69320977,1.0334345,0.780816,0.8921584,0.7987983,0.93354774,1.1747789,0.98990756,1.0511463,1.1794813,1.338947,1.2797263,1.232194,1.2497852,1.0441673,1.1703216,0.8080126,0.9691528,1.0546554,0.9314597,1.160669,0.88503116,1.0924308,1.1051623,1.1772113,1.197403,1.0917844,1.125087,1.1380292,1.0725881,1.2168335,1.1524769,0.9641832,0.61523545,0.7331127,1.2332962,1.1770225,0.93013585,1.0386943,1.1223854,1.0716119,1.1761482,0.8652123,1.0431045,1.2399557,1.1386855,0.9020556,1.204495,1.1056491,1.0879673,1.1046991,0.9838658,0.9756895,1.1329827,0.613481,1.2532811,0.7646481,0.8546441,1.0230787,1.1464449,0.84738755,0.92919123,0.8296683,1.1553681,1.0994276,1.0708382,1.1303716,0.86526877,1.0128951,0.70835006,0.94628394,0.62534976,0.98900145,0.9292345,1.124348,0.8982556,0.64125574,0.91702354,0.7733974,1.15715,0.9410764,0.7988251,1.0630835,1.2371074,1.0310911,1.0266291,0.8525335,0.8884308,0.7947085,0.8425187,0.7741501,0.64147115,0.73087764,0.9333542,0.7421858
clock,1.0771081,0.9638021,0.696517,0.76165193,0.7091632,0.9379763,1.2393444,1.3836025,1.1368647,1.2916617,0.7676919,1.3447677,1.1906073,0.79603744,1.1637474,1.2785468,0.78273433,0.6487467,0.9056339,0.76294285,0.87480474,0.96046513,0.7368438,0.9791988,1.0449975,0.9859918,0.0,1.3095922,1.13961,1.2523334,0.7299061,1.1989403,0.7335732,0.9269468,1.0586946,0.846642,1.1948491,1.1813399,0.75170684,1.0278717,0.713289,1.1211112,1.2094289,1.002984,0.8292561,0.7927357,0.9828294,0.94880897,0.90667677,0.6883839,0.85830784,1.263419,0.8392148,1.1421741,1.2855457,0.6938874,1.0637248,1.2231767,1.3103336,1.1609036,1.2535627,0.7570026,0.9053888,0.36229175,1.0623649,1.1532768,1.1722786,1.2025044,1.1296868,0.97723365,0.68958724,1.0296819,0.66997755,0.93491364,0.7348151,1.2742958,0.79923296,1.2427763,1.2802781,1.0348264,0.77142304,0.76336205,1.0579975,0.99325395,1.0466053,0.6889152,0.7150241,0.7571864,0.87268484,0.8435043,0.47774947,1.1686444,1.1026245,0.984528,1.2034194,1.374918,0.86745745,1.2277529,0.9262024,1.2714291,1.0654885,1.3443496,0.68497497,1.1986234,1.0049578,1.0709665,0.890353,1.2381285,1.3603129,1.2769194,1.1887505,0.7203013,0.98010963,1.0024738,1.2018276,1.0188534,1.0121257,0.9088941,1.1061194,1.0553546,0.78695464,0.91560733,0.60042894,1.0107309
coat,0.92789173,1.0436966,1.3366576,1.3242302,1.3542056,1.2768269,0.7973682,0.7218691,1.0440619,0.5258411,1.1681458,0.567803,0.7452696,1.1759893,0.8914696,1.0839833,1.2353334,1.3413379,1.440185,1.1127098,1.3368238,1.4213301,1.2697845,1.1343673,0.97590667,1.0461645,1.3095922,0.0,0.85749006,0.5907184,1.308924,0.85186934,1.4075799,1.2251489,1.0808845,1.1333323,0.5855314,0.8258305,1.2530894,0.8544351,1.008732,0.8060409,0.9571248,1.0143745,1.2826864,1.3445375,1.0749221,1.3434153,1.1983562,1.1877332,1.2622368,0.95628893,1.25266,0.67102593,0.96721256,1.2230191,0.9237081,0.90221316,0.60261816,0.5965835,0.90242016,1.2346625,1.0465088,1.2148085,0.8882723,1.0516465,0.913873,0.8778479,0.98126626,1.1268461,1.1465855,0.8415095,1.2200618,1.0153662,1.2678106,0.6201102,0.9924302,0.6741674,0.6210577,0.93817484,1.21622,1.2127488,0.9131906,0.97806317,0.8630891,1.2396772,1.3810577,1.2132245,1.3436413,1.0887216,1.188743,0.68454254,1.0773954,1.0185862,0.99561214,0.45908153,1.2012637,0.6169155,1.3841776,0.5701695,1.1449275,0.93057823,1.3211122,0.8876413,1.1176822,0.97666353,1.2799945,0.80051565,0.47357643,0.81726396,0.7342165,1.1649114,1.0571878,1.071705,0.8855041,0.93265986,1.35214,1.2442334,1.0023474,0.9945804,1.2112854,0.96095234,1.3582928,0.7989924
