,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scissors,shirt,shoe,shovel,sink,slipper,snow,soap,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
bed,0.5007218,1.2372729,1.520132,1.1964527,0.57901144,1.4090166,1.2871308,1.287797,1.2013543,0.495499,0.0,1.2334678,0.4787913,0.47811043,0.95827705,0.16803414,0.54853255,1.4626268,1.1227261,0.5117627,0.7308345,1.311007,1.2023169,1.2131635,0.54636437,1.4897798,0.8244897,0.61919016,1.2861772,0.65897346,0.66807044,1.4340987,1.1299973,1.249952,0.5815582,0.762169,1.5074706,0.8502575,1.5567183,0.9534755,0.9543847,0.9435906,0.9840447,0.71172374,0.91278505,1.4112182,1.5326351,0.7570405,1.1423701,0.8686792,1.2277956,1.3010157,1.3206412,0.996648,1.2986063,1.061179,0.61390126,1.3701794,0.9276414,1.5370774,0.81229424,0.7028088,0.6901767,1.5001366,0.7106159,0.6538197,0.3883043,1.3921223,0.49286407,1.042231,1.0580013,1.3783191,1.2316507,0.9954364,0.92893964,0.85157293,1.2055991,1.5841839,1.5005358,0.7867163,1.489699,1.4547573,1.5055487,0.68244874,0.8998047,0.4649986,0.5337027,0.5055399,1.0607166,1.4028263,1.384856,1.0084013,1.4139495,1.1761004,0.6868507,1.3109474,0.6620875,0.9974571,1.4466661,0.615583,1.2795261,1.4805248,0.769441,0.7603833,1.2116104,0.9295418,0.47166556,1.1205118,1.3634534,0.53533125,1.5206797,0.7912693,1.4642783,1.1546452,1.2893003,1.5373132,1.5256373,1.0579343,0.52755475,0.29623318,1.3376703,1.5439401,1.4799411,1.0020314,0.96227807,1.4378914,0.5519868,0.8194359,1.4541764,0.8653015
belt,1.2811086,0.9129146,0.953933,1.3440689,1.2222564,1.0180879,0.9231125,1.0467998,0.8314153,1.2427406,1.2334678,0.0,1.0436813,1.2825215,1.2131548,1.0789194,1.1758932,0.7389741,1.0124998,1.2571495,1.0418087,0.66136223,0.8032702,0.80738604,1.1690993,0.705457,1.2626017,1.1001272,0.88969356,1.2557567,1.1141894,0.9147988,1.0145838,1.1060134,1.0312145,1.3153682,0.3131681,1.1072943,0.79828256,1.0933248,1.2114903,1.1446441,1.0711886,0.8303524,1.2279539,0.81301606,0.6888162,1.20752,0.53646183,1.2669827,1.0040921,0.7813323,0.8466802,1.1854779,0.7095489,1.0278627,1.2991017,0.7144569,1.2333916,0.7026673,1.2181678,1.2330611,1.3080844,0.59971577,1.2632272,1.0470434,1.1279049,0.807373,1.1297313,0.71297705,1.0187653,0.6552813,0.7350097,1.2588544,1.1287711,1.3604312,0.6945226,0.8231876,0.5909616,0.89809716,0.7578751,0.8442932,0.8949727,0.9172012,1.1947371,1.1750557,1.1313509,1.2472093,1.2192335,0.40483844,0.41307604,0.9636435,0.7632102,0.65917575,1.2792075,0.83056843,1.171649,1.0929724,0.7933919,1.0312793,0.82701045,0.54281205,1.0514847,1.2889757,1.0733411,0.89418375,1.1475096,1.0626383,0.7064669,1.2354331,0.71174836,1.1817626,0.89591116,1.1109128,1.1237411,0.5091701,0.5219577,1.0095965,1.177552,1.3442628,0.96446717,0.7204476,0.80201125,1.0029843,0.7305401,0.8309962,1.2832515,0.72084713,0.62484384,0.9140914
bench,0.9255413,1.2594814,1.3462727,1.0369163,0.8187592,1.3762053,1.1962042,1.0795131,0.890182,1.0238266,0.4787913,1.0436813,0.0,1.0173213,0.9686753,0.5766362,0.9724556,1.2440417,1.1740835,0.92087835,0.83378017,1.1249113,1.0189402,0.95412445,0.7759695,1.2283143,0.92944723,0.31721777,1.2834331,0.7916186,0.8410632,1.2308711,0.89010876,1.2035688,0.124923706,0.7532873,1.2353381,0.6425503,1.3035384,1.0944442,0.9776466,1.0950592,0.7769536,0.71471715,0.964595,1.1511214,1.3759975,0.8971073,0.98813695,0.93501997,1.0796055,1.1745471,1.1868527,1.0222682,1.0836633,1.0895698,0.9760148,1.1714879,0.9530482,1.3325822,0.8580148,0.8351264,0.9491615,1.1858503,0.91368794,0.99998677,0.76617324,1.141815,0.5392513,1.0133349,0.8198391,1.2803124,0.9998026,1.0291898,1.2703226,0.9231506,1.0002782,1.2802976,1.3632002,0.7396009,1.3139348,1.2623008,1.2993171,0.5792998,1.03325,0.6845258,0.52953964,0.9825413,1.0236704,1.1513085,1.151945,0.78924537,1.0971745,0.9362597,0.9446291,1.0953668,1.0788867,1.0293069,1.3043258,0.6719226,1.0174695,1.3411427,0.7102529,0.92737687,1.2674302,1.0178875,0.65848374,1.1198899,1.0645218,0.81429875,1.2997737,1.0320156,1.3276663,1.1126786,1.245275,1.2019379,1.3003198,1.0043159,0.73526716,0.6267945,1.2134013,1.2968554,1.2217433,0.9605442,0.72265863,1.2997406,0.978766,0.8492041,1.2498912,0.7358178
bib,0.6358683,1.146483,1.233857,1.1163166,0.73862165,1.1289654,1.087628,1.1513466,1.0745332,0.116117954,0.47811043,1.2825215,1.0173213,0.0,1.0228653,0.5938412,0.509403,1.3557644,0.55715895,0.19255131,0.65561134,1.3946115,1.0517769,1.3450489,0.83470094,1.2881701,0.99895614,1.0875227,1.2235494,0.9657605,0.88791835,1.2848247,1.2328377,1.0410949,1.100634,0.7634555,1.4867218,1.0601687,1.3224125,0.6619691,1.0608419,0.8325654,1.1884149,0.93450415,0.895581,1.4140362,1.3561869,0.8751329,1.260308,0.9986788,1.1681452,1.2885318,1.3109936,0.96036226,1.3647408,1.0087403,0.7139416,1.367576,0.93692636,1.1955019,1.0041019,0.8972931,0.59094447,1.4205515,0.8495681,0.7362504,0.71756613,1.3068964,0.8249789,0.99795026,1.1748592,1.3556881,1.2142894,0.8595879,0.43918252,0.8411129,1.2062043,1.4228612,1.4087193,0.8200519,1.3977166,1.4292942,1.239375,0.89341927,0.9643891,0.7248992,0.9197772,0.4405684,0.9578543,1.4201483,1.4324726,1.171023,1.2400041,1.4748003,0.7280749,1.3979552,0.11639148,1.0102364,1.3087246,0.8298343,1.3450156,1.4079607,1.0388749,0.8881743,0.87262356,0.9284793,0.74941987,1.0779777,1.2798308,0.2804619,1.4560928,0.8298178,1.2667611,1.0617168,0.9317421,1.4310832,1.3860455,0.9078392,0.78227234,0.44089162,1.1711301,1.4494376,1.369173,0.8001551,1.1841052,1.1330613,0.1335125,1.078257,1.4402516,1.1097708
bird,0.8262391,1.1020674,1.292506,0.9510971,0.9779544,1.1392012,1.2024486,1.1249657,1.0524606,1.0235039,0.95827705,1.2131548,0.9686753,1.0228653,0.0,0.9961956,0.9334445,1.2201154,1.194043,0.98232394,1.0329207,1.1299045,1.1943628,1.1498079,1.0306767,1.2536596,0.3867696,1.0002303,1.047664,0.9159271,1.0383267,1.256483,0.9753091,1.0382533,0.9920799,0.75187016,1.3032069,0.610174,1.3348191,1.0815812,0.5058149,0.8984543,0.99026126,1.0292029,0.9272591,0.9646076,1.3003085,0.42912853,1.1303359,0.91753745,1.1577307,0.9153565,1.0080813,1.0098828,1.0941695,0.59808445,0.60887897,1.2100798,1.0181315,1.2374098,0.93452257,0.57492596,0.9573695,1.2315468,0.6554868,1.0465771,0.99836934,1.1913576,0.97136605,1.1369126,0.99543184,1.2025322,1.14189,1.0271691,1.0471581,0.8581158,1.0967498,1.2635915,1.2653584,1.0968914,1.1782507,1.2378964,1.2689315,0.95767206,0.2938459,0.9529827,0.94156003,0.98603517,0.96721125,1.25768,1.2364615,0.8760351,1.1765597,1.1333258,0.87284106,0.9956964,1.0729357,0.9445229,1.2592596,0.9823258,1.0098981,1.2308011,1.0043288,0.5053912,1.1078392,1.0959493,0.9497489,1.062965,1.2201264,1.0364993,1.2079302,0.86839926,1.1579832,1.0548389,1.1643763,1.1853325,1.2471145,0.9382101,0.96298563,0.97033685,1.2311932,1.2873378,1.2203401,1.1049883,1.1095421,1.136611,1.0125585,1.1429483,1.2282468,1.0529671
blanket,0.5514974,1.2091,1.4068599,1.2122389,0.56631774,1.4234918,1.2042913,1.2680851,1.207783,0.70713186,0.16803414,1.0789194,0.5766362,0.5938412,0.9961956,0.0,0.674616,1.4460485,1.1917753,0.74270463,0.5051866,1.2905627,1.2268136,1.2657273,0.6019223,1.3566024,0.85394657,0.6244717,1.326551,0.7830788,0.6913712,1.3991857,1.03983,1.3185797,0.7029563,0.74506646,1.4155915,1.0484219,1.577055,0.94548357,0.983656,0.9292094,1.0896648,0.67783505,1.0027866,1.284397,1.4537176,0.80202115,1.1317514,0.88598007,1.1555521,1.2642359,1.3275468,0.9875434,1.2491713,1.087904,0.75247866,1.2682612,0.8521475,1.4212481,0.7981849,0.7482568,0.68554544,1.3647704,0.81656015,0.7274673,0.4025849,1.4055809,0.39725804,0.9628434,1.1747894,1.3589656,1.1406294,1.0090685,0.9800571,0.78341323,1.0802392,1.4522704,1.4137802,0.57778674,1.3219192,1.3408203,1.4508975,0.6776726,0.9080712,0.30758446,0.44807744,0.6548566,1.1200706,1.3215806,1.3358426,0.9268065,1.2782001,1.1629026,0.7041389,1.3441296,0.8126984,0.9580376,1.3799471,0.49790746,1.3701489,1.4066368,0.8712718,0.89217615,1.2931659,0.9092425,0.35063612,1.0935727,1.2405188,0.7033841,1.4429412,0.7445612,1.4808552,1.1282722,1.3226712,1.4508121,1.4026636,0.97823083,0.49641824,0.59252673,1.4264312,1.4060189,1.3399413,1.0115792,0.78516734,1.4631827,0.7840232,0.8886106,1.3006794,0.8850948
book,0.26368243,1.0287822,1.3213139,1.1384605,0.8401717,1.1808383,1.1467903,1.1478643,1.0406134,0.5449375,0.54853255,1.1758932,0.9724556,0.509403,0.9334445,0.674616,0.0,1.2775798,0.9829918,0.31112254,1.0198407,1.3068236,1.0214225,1.188639,0.7982157,1.3241265,0.8724197,0.98081505,1.1401148,1.0008119,0.919859,1.2169046,1.2023442,1.1133976,1.0121069,0.91974914,1.3068372,0.90723,1.3653264,0.9705391,0.87240225,0.55257714,1.1411417,1.0272709,0.9003642,1.3842866,1.3244295,0.84181726,1.1849002,0.94336694,1.1939592,1.0753706,1.1226614,0.925285,1.2024804,0.7407197,0.63720363,1.2718219,0.9709285,1.2771119,0.9590361,0.90322846,0.7865064,1.2516422,0.8807061,0.6758379,0.6058767,1.3293571,0.9357723,1.0219938,1.1072972,1.2096796,1.2336394,1.0220543,0.8791708,0.926755,1.2528561,1.390447,1.3298852,1.1228586,1.3642396,1.3765323,1.293565,1.0020804,0.85270745,0.8801136,1.0298171,0.21471775,1.0719926,1.2279413,1.2285808,1.1116229,1.253392,1.3341544,0.43255424,1.1465093,0.63818365,0.90999544,1.2188579,0.8639262,1.1407685,1.3271732,1.0013523,0.74803156,1.016493,0.9397333,0.85793215,1.0203891,1.3272223,0.76065516,1.3380913,0.85412073,1.2117603,1.0287989,1.1304455,1.3935988,1.3307433,0.95252615,0.82465565,0.5429114,1.2070283,1.3855603,1.3256077,0.964108,1.2616619,1.0145252,0.5611428,0.9312003,1.3566124,1.0772529
bottle,1.3549306,0.7222719,0.775301,1.0919005,1.243232,0.7833489,0.84709847,0.9096087,0.7122848,1.3257624,1.4626268,0.7389741,1.2440417,1.3557644,1.2201154,1.4460485,1.2775798,0.0,0.96342564,1.3226135,1.1922154,0.6850597,0.6031313,0.67928034,1.2345899,0.722066,1.2833327,1.1708784,0.80917186,1.2014,1.1752443,0.81481004,0.8770908,1.0170037,1.1475563,1.2625841,0.47561324,1.1463844,0.4083042,1.2041736,1.1933761,1.2079759,0.92260253,1.1936822,1.1170286,0.8115491,0.5239645,1.3103069,0.8404026,1.2461427,0.8978687,0.8092496,0.76356083,0.9228729,0.8649008,1.1429129,1.2840071,0.7122198,0.93664336,0.6070457,1.1797884,1.2972916,1.2448412,0.6055028,1.2507111,1.2551343,1.3056486,0.4705912,1.3071874,1.1195632,0.9867504,0.65766156,0.8390913,1.0924764,1.1541897,1.0351917,0.94805413,0.6946157,0.4591292,1.1005697,0.63825285,0.62132096,0.72130835,1.1268494,1.2406733,1.3252994,1.2981955,1.27851,1.1262608,0.7505423,0.75344676,1.0358988,0.8721939,0.55635655,1.2254851,0.7601825,1.2704475,1.0653167,0.59649897,1.1737213,0.609643,0.6369843,1.0104185,1.2753496,0.928257,1.1282811,1.3142617,0.8189121,0.8012886,1.2959486,0.51462674,1.1860667,0.73827064,0.7955222,0.9273392,0.5361668,0.5360297,1.1399695,1.2849838,1.3401508,0.7313969,0.5606133,0.6060389,0.943399,0.92399585,0.6457017,1.3188293,0.95036495,0.5545713,1.081775
bowl,1.1953151,1.034434,0.75865865,1.0087565,1.2462744,0.78861666,0.6924902,0.8841879,0.81489015,0.49781072,1.1227261,1.0124998,1.1740835,0.55715895,1.194043,1.1917753,0.9829918,0.96342564,0.0,0.56580466,1.0460762,1.1319017,0.73180884,1.033905,1.2635019,0.83815,1.3206875,1.2497419,0.96222174,1.2004242,1.2293891,0.80423915,1.221562,0.80284834,1.1741598,1.0729612,0.9863567,1.0870066,0.60091394,0.5342626,1.2831479,1.0188372,1.1871098,1.095008,1.117005,1.1327962,0.85680014,1.1900342,1.0155803,1.1655798,1.048294,1.0949092,0.9740693,1.074677,1.1867177,1.1150492,1.0569388,1.1071508,1.1680701,0.61025685,1.2415322,1.170466,0.9728654,1.0392498,1.1146096,0.9579076,1.2176472,0.8464948,1.2764592,0.9374623,1.0673536,1.0894852,1.0696852,0.9374307,0.3323332,1.1521425,1.0119112,0.9954241,0.91853136,1.0780269,1.0737191,1.0001928,0.71366084,1.1810348,1.2363588,1.2139769,1.3036793,0.9302951,0.83416736,1.0304672,1.0576283,1.2409096,0.88123703,1.1554084,1.0649298,1.1600531,0.32483953,1.158141,0.9163642,1.1738644,1.1088991,0.8405019,1.2174392,1.1932932,0.46936727,1.0610708,1.2686114,1.0730344,1.0293729,0.4193259,1.0850418,1.1504328,0.7670015,1.0344045,0.50355744,0.9326883,0.8266932,0.9537845,1.1869801,0.93727016,0.6912981,1.0659469,1.0313922,0.7609833,1.211266,0.7575655,0.4566818,1.1884313,1.1477892,1.12548
box,0.5399631,1.1489908,1.347646,1.1369607,0.8546367,1.148039,1.1434072,1.1856215,0.9742375,0.14008445,0.5117627,1.2571495,0.92087835,0.19255131,0.98232394,0.74270463,0.31112254,1.3226135,0.56580466,0.0,0.9933921,1.3273253,0.9626451,1.178738,0.76414514,1.3737648,0.96560496,1.0085639,1.1962922,0.9284005,0.9022713,1.2731246,1.2458163,1.0214943,0.97552234,0.8647808,1.4224452,0.81025535,1.3107226,0.79169023,1.0055196,0.7288773,1.0534172,0.8847038,0.90227413,1.4977839,1.4071633,0.85458076,1.2105964,0.99979234,1.2847552,1.2128017,1.1795089,0.96211106,1.254719,0.9159303,0.5702547,1.4057924,1.0471407,1.290975,1.0229441,0.91427565,0.7455669,1.4395173,0.82811606,0.69364977,0.72433704,1.2577267,0.963832,0.9867421,0.9820613,1.28648,1.2800913,0.95308465,0.4920925,0.9673676,1.2762938,1.4609206,1.4233024,1.0638885,1.5102601,1.4756168,1.311733,0.8625864,0.96705025,0.92054486,1.040627,0.35647106,0.9556997,1.3255756,1.3276947,1.1988566,1.336279,1.421963,0.6119039,1.2577612,0.22688448,1.0009252,1.3182501,0.9445109,1.1643094,1.4013741,0.8474299,0.8140665,0.8659402,0.9439157,0.88705826,1.0902071,1.3313909,0.32140708,1.4776236,0.9005522,1.2639055,1.0740713,0.9565117,1.3914624,1.401762,0.97905594,0.82634956,0.29931086,1.1377211,1.5366334,1.4396956,0.849623,1.2818716,1.0701028,0.0962137,0.997644,1.5346091,1.0242772
bread,0.9953408,1.0904235,1.115782,1.1064575,0.6570179,1.3103191,1.1211594,1.095796,0.9811558,0.91937906,0.7308345,1.0418087,0.83378017,0.65561134,1.0329207,0.5051866,1.0198407,1.1922154,1.0460762,0.9933921,0.0,1.1206757,1.0523548,1.175565,0.98860294,1.060309,1.0354125,0.8095093,1.3153061,1.0418305,0.966379,1.1388264,0.9565998,1.2921299,0.9394834,0.72225565,1.2377726,1.2218989,1.2448658,0.91807026,1.062543,1.0301751,1.0819151,0.8775024,0.92790806,1.0142845,1.2318814,0.9395035,1.1615429,1.0598125,0.897323,1.2183646,1.3280172,0.9653159,1.1870248,1.1706185,1.1367135,1.0501268,0.8044654,1.134343,0.9166386,0.9931725,0.712747,1.0528194,1.0619663,0.98707443,0.8244778,1.2273349,0.52250904,0.89941347,1.0903666,1.2995629,0.7373915,0.9534205,0.9794182,0.7677935,0.92987365,1.0424533,1.2851022,0.11747581,1.017115,1.1541779,1.1980966,0.67803735,1.0374306,0.47641987,0.57431626,0.9080482,1.1655686,1.1828021,1.2199622,0.82267904,0.88773113,1.13246,1.0322813,1.3046029,0.85541606,1.0126804,1.2363858,0.6027683,1.2399112,1.2597296,0.9477313,1.1710522,1.2261002,0.8946519,0.55532956,1.012924,0.8011588,0.8433463,1.185407,0.9085556,1.2854515,0.9806315,1.0921134,1.1009502,1.1970603,0.86015415,0.78863114,0.9702973,1.2813151,1.0544136,1.1113558,0.86625683,0.4974028,1.3309947,0.96322715,1.0108315,1.0311335,0.99857044
broom,1.2971046,0.9604185,0.96615756,1.1268597,1.1683826,0.9763442,0.97296417,1.0430914,0.88796794,1.3132931,1.311007,0.66136223,1.1249113,1.3946115,1.1299045,1.2905627,1.3068236,0.6850597,1.1319017,1.3273253,1.1206757,0.0,0.9380119,0.60726106,1.0303233,0.7479017,1.2246768,0.9788923,0.80562323,1.0261014,1.1133394,0.7669318,0.90628016,1.1175164,1.0140955,1.336406,0.44832623,0.9483614,0.7578628,1.2930315,1.204207,1.269037,0.8969017,0.99850774,1.0806867,0.718395,0.68140936,1.1331213,0.59552795,1.1606467,0.9671176,0.86178744,0.80055165,1.1922612,0.56250197,1.1698568,1.2230332,0.757627,1.2648461,0.78772295,1.1320269,1.2299151,1.3645418,0.7401178,1.1218739,1.1870557,1.2531345,0.8405273,1.2134792,0.90859556,0.8253968,0.61612177,0.7215378,1.2464948,1.1884845,1.3900324,0.82507,0.6509344,0.54682857,0.89650905,0.7177291,0.58344483,0.9234815,1.0449883,1.215001,1.2657722,1.1614904,1.3055152,1.1620314,0.54863995,0.5383068,1.0199283,0.80064774,0.44076478,1.2249279,0.7020007,1.3013067,1.1345243,0.8724719,1.2754452,0.79653597,0.5570895,0.79837453,1.2663062,1.0458403,1.0821898,1.2482165,1.0988303,0.72396046,1.323869,0.71816397,1.2194697,0.72588426,1.140248,0.9858575,0.5116174,0.62117016,1.2358422,1.2400818,1.2531214,1.0339836,0.64615154,0.77690053,1.0580281,0.65661633,1.0041155,1.3382555,0.7713523,0.7149878,0.8423452
bucket,1.2214141,0.9444408,0.8455983,1.1019219,1.352202,0.80952317,0.78559375,0.9677867,0.64352053,1.058667,1.2023169,0.8032702,1.0189402,1.0517769,1.1943628,1.2268136,1.0214225,0.6031313,0.73180884,0.9626451,1.0523548,0.9380119,0.0,0.6698205,1.1150146,0.82614064,1.2067586,1.0690682,0.8871581,1.1884694,1.0083863,0.8529788,1.2165102,0.888407,0.9572418,1.2725341,0.79422706,1.0347439,0.57673955,0.90598863,1.0506787,0.94652414,0.875348,1.0486017,1.0470128,0.98643345,0.81590897,1.2692785,0.97760856,1.2114766,1.1491845,0.716923,0.83182156,0.9808646,1.0597227,0.98175967,1.1202141,0.97290087,1.0764568,0.82839024,1.2727268,1.3392544,1.3195558,0.71203446,1.279477,1.1503705,1.1766943,0.5523424,1.2620488,1.1006296,0.8522806,0.85289216,0.93117946,1.1143731,1.0048149,1.1651275,1.0450943,0.8946111,0.8346532,0.9792206,1.0054526,0.9957899,0.7354016,0.9155218,1.3225993,1.3442823,1.2977786,1.1063149,0.970359,0.93051684,0.91658014,0.97922564,0.9725018,0.8789425,1.1869684,0.8558525,0.9795125,0.99552333,0.70493025,1.1571854,0.64350736,0.84915745,0.9487735,1.2119863,0.8251582,1.110794,1.2108727,0.98889756,0.8527502,1.0604738,0.86828864,1.186692,0.79788494,0.9722255,0.9058153,0.68618685,0.67582256,1.0097635,1.2048995,1.153214,0.66234934,0.9621522,0.9638019,0.9162314,0.9051734,0.50651455,1.0495144,0.9384607,0.9920719,0.9842852
can,1.3338182,0.88387424,1.0868092,0.9846129,1.3154917,0.981909,1.0491867,1.0969318,0.7113132,1.2645506,1.2131635,0.80738604,0.95412445,1.3450489,1.1498079,1.2657273,1.188639,0.67928034,1.033905,1.178738,1.175565,0.60726106,0.6698205,0.0,1.1004488,0.98131895,1.3106267,0.80788666,0.638575,0.92011267,1.1665354,0.772938,1.0693334,0.9337266,0.81267285,1.3893487,0.7122957,0.725104,0.6471053,1.3583592,1.2803586,1.2298924,0.65782344,0.8778923,1.0951829,0.77674675,0.8776532,1.1777686,0.7832049,1.2789636,1.2007923,0.83840525,0.6057408,0.9617492,0.75215614,1.2736967,1.1194069,1.034012,1.1476834,1.0443,1.2338439,1.2612332,1.4356612,0.91931635,1.0949194,1.1411942,1.1377996,0.50674015,1.2261919,1.0312132,0.571751,0.63932425,0.91064423,1.2059269,1.1861113,1.2934203,1.1151056,0.7088251,0.78842545,0.9153257,1.0021516,0.7938283,0.9624772,0.765913,1.2504462,1.3341699,1.1421897,1.1734997,1.1785823,0.73048425,0.6801031,0.92194027,1.020388,0.60647124,1.2517959,0.6789577,1.2675887,1.0446398,0.8373344,1.2184762,0.57664824,0.7410797,0.60615987,1.2075399,0.7352761,1.174256,1.2692704,0.91958535,0.7635112,1.2454671,0.93447846,1.168052,0.6926175,0.9891907,0.8582802,0.6696565,0.77470297,1.3182406,1.201938,1.123742,0.7218619,0.9401418,0.98994994,1.2536464,0.6156153,0.9425899,1.2600932,0.8133187,0.93238056,0.81337494
car,0.6424562,1.2402911,1.3669318,1.2338648,0.7389463,1.2715924,1.2508441,1.2111208,1.1474239,0.79492605,0.54636437,1.1690993,0.7759695,0.83470094,1.0306767,0.6019223,0.7982157,1.2345899,1.2635019,0.76414514,0.98860294,1.0303233,1.1150146,1.1004488,0.0,1.3160105,0.7553806,0.84434587,1.1825719,0.717975,0.36894035,1.317141,0.8995512,1.202524,0.84536624,1.008889,1.2255265,0.87041813,1.3966112,0.9497295,0.82616866,1.0039338,1.001494,0.71870184,0.89133406,1.2484974,1.3320754,0.8005986,0.9993785,0.88335294,1.2317283,1.151073,1.1534328,1.1139588,0.9111838,1.0554718,0.6782189,1.0976588,1.0834782,1.4119196,0.81058335,0.9276469,0.9380134,1.2615111,0.85660875,0.90401816,0.59716725,1.1527956,0.746676,0.99565125,1.1079732,1.1041496,1.2235664,1.051469,1.0245711,1.0254209,1.1772782,1.3871119,1.2950608,1.0471298,1.283709,1.2939475,1.3566821,0.73443764,0.9599848,0.8713111,0.7700374,0.79643273,0.9265961,1.1547002,1.18021,1.0855927,1.3068393,1.0580575,0.5874641,1.0676289,0.90921795,1.0346541,1.2509899,0.9588207,1.0171868,1.2988794,0.57904494,0.78576905,1.2845671,0.8218558,0.62974465,1.1804572,1.2045779,0.8825761,1.2371005,0.8275901,1.3434818,1.1743395,1.2578769,1.2686007,1.3588336,1.0135247,0.69573134,0.59471893,1.3050833,1.3188717,1.2646599,1.0830815,1.058007,1.2935143,0.8182064,0.84606194,1.2984927,0.7937722
carrot,1.3763115,0.95948994,0.36828828,1.0288274,1.220366,0.7540024,0.5072065,0.7822956,0.909694,1.3131794,1.4897798,0.705457,1.2283143,1.2881701,1.2536596,1.3566024,1.3241265,0.722066,0.83815,1.3737648,1.060309,0.7479017,0.82614064,0.98131895,1.3160105,0.0,1.3106402,1.225292,0.9536748,1.2655865,1.1581094,0.6878399,0.86448,1.020594,1.182805,1.1783469,0.52650225,1.3165035,0.5977167,0.9114579,1.191623,1.1336701,1.1448904,1.2867198,1.2035041,0.808156,0.3539803,1.2709658,0.64256734,1.1014209,0.59532917,0.90470505,1.0568005,1.0661916,1.0074613,1.0319977,1.433401,0.61818,1.0592653,0.36407113,1.1386144,1.3240814,1.1903328,0.46718633,1.3224589,1.3175598,1.3188059,0.8683867,1.2299309,1.0787292,1.1955953,0.92307806,0.6929213,1.1297283,1.1494402,1.1755412,0.59727114,0.49496716,0.4646151,1.051616,0.5682146,0.56218076,0.16536784,1.3087864,1.2272995,1.1984842,1.2091988,1.3425345,1.1068554,0.76910514,0.77230227,0.9144304,0.56311256,0.7506986,1.2607259,1.0264486,1.1534921,1.0569991,0.47631514,1.0970074,1.0169971,0.45813382,1.3485892,1.2954648,0.8638505,1.2111722,1.2859855,1.038377,0.7981436,1.2429461,0.5856806,1.2096324,0.5147045,0.9843753,0.8953676,0.6540201,0.28507543,0.9651285,1.2983389,1.5279055,0.8903669,0.4064603,0.5202758,0.8867473,0.98946786,0.7562281,1.3423777,1.255584,0.62600696,1.1728461
cat,0.67448795,1.1944315,1.2496111,0.99965876,0.9008573,1.1130192,1.2246184,1.1251602,1.1880877,1.0058484,0.8244897,1.2626017,0.92944723,0.99895614,0.3867696,0.85394657,0.8724197,1.2833327,1.3206875,0.96560496,1.0354125,1.2246768,1.2067586,1.3106267,0.7553806,1.3106402,0.0,1.0915012,1.0843842,0.9513303,0.79528904,1.2700977,1.0164552,1.0266109,0.99921536,0.6297065,1.3720534,0.72603154,1.4078486,1.0012873,0.11127597,0.7374655,1.0830339,0.98338944,0.87388676,1.0093632,1.3077288,0.5409149,1.1231028,0.8078412,1.1914432,0.9718787,1.100281,1.0463189,1.1279198,0.44110602,0.5007646,1.1324496,0.99537003,1.3432331,0.7744868,0.4408791,0.90735215,1.2204595,0.6560038,1.0439237,0.9152716,1.2336732,0.9249027,1.1762866,1.1222248,1.238528,1.2648222,0.9572403,1.0992635,0.7711637,1.1967636,1.3021342,1.3007505,1.1925349,1.1828214,1.2571936,1.2966695,0.99119467,0.35573626,0.87485105,0.92717004,0.97916484,0.89750576,1.2893581,1.281575,0.9345587,1.29998,1.216682,0.78494096,1.0974882,1.1066158,0.8740158,1.2117023,0.96687794,1.0089344,1.280834,1.0430976,0.37806898,1.2659702,1.0681204,0.84061146,1.118861,1.3142649,1.0329914,1.1438,0.8517736,1.2647481,1.0930445,1.3097825,1.3890674,1.3491523,0.906644,0.8916949,0.91117895,1.2517519,1.2946923,1.2525586,1.1956313,1.2660971,1.1049507,0.9955012,1.1614738,1.2768364,1.0968764
