,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bed,0.6865847,1.2103446,1.4037857,0.5975527,1.1561149,1.3411851,0.9125011,1.1447936,0.61878884,1.0021805,0.0,1.383374,0.5171542,0.4543128,1.2856094,0.26943588,0.60429174,0.606643,1.4124672,1.3615837,0.845213,1.008913,1.4347159,1.4461019,1.5173874,1.2885941,1.2444324,0.8513386,0.937532,1.3351209,0.6584832,1.0368596,0.76216424,1.338959,0.4691347,1.0654955,1.4887234,0.46563625,1.329467,0.6866869,0.74445456,0.9714004,1.08694,0.719705,0.98380715,0.91951877,1.3523359,1.295856,1.4104626,1.0980058,1.0951192,1.0933067,0.99520326,0.9645223,1.3555968,1.0694358,0.81861377,1.0109009,0.6867537,1.000575,0.89243495,1.4880173,0.9775785,0.69533306,0.62445074,1.4142658,1.2695007,1.4470754,0.79704523,1.0597956,1.0921763,0.8050765,1.014787,1.2599101,1.3283008,1.2390466,1.5133877,1.3463717,1.3556014,0.83919483,0.99399686,0.4149437,0.62941873,0.4500342,0.9659818,1.5265174,1.4862679,1.1384948,1.1636022,1.034043,0.7140082,1.2355517,1.4857082,0.68220305,1.2993965,1.0431916,1.4201562,1.0142596,1.1036448,1.1475059,1.2694836,0.5572189,0.8481293,0.8589318,1.3217094,0.56676936,0.98093504,0.46682787,1.5604993,0.46147186,1.323463,1.0876359,1.1825249,1.403115,1.2877638,0.62317216,0.5212708,0.48508346,1.4771206,1.3698051,1.154071,0.825057,1.0753005,1.018886,0.5242328,0.7984948,1.3386925,1.4963806,0.7802893
belt,1.3660125,0.8819733,0.81303334,1.0709195,1.0161783,0.90576947,1.1655326,0.94025457,1.2653345,1.0971481,1.383374,0.0,1.1427504,1.1785803,0.8544321,1.2509271,1.2046946,1.1614525,0.833292,0.7603948,0.99732,0.8279597,0.740711,0.6319865,0.5767552,0.92733276,0.7235198,1.1408623,1.0248256,0.9059819,1.2815108,0.8559544,1.1709251,0.814502,1.2571572,0.94454587,0.5906325,1.3447051,0.8749988,1.3578326,1.2560742,1.1022973,0.8395652,1.178619,1.1269112,1.255541,0.5983546,0.7932553,0.8630627,0.75133425,0.89325595,1.0830079,1.1220586,1.1369667,0.8167159,0.7443957,1.2129471,1.06944,1.3256909,1.091861,1.0324911,0.7415665,1.0822698,1.188467,1.0465648,0.41285002,0.7296718,0.8326689,1.2453306,1.066341,0.98427886,1.0739106,1.1325088,0.8383441,0.7974981,0.79623616,0.55640167,0.92028403,0.7057765,1.0803938,1.2290514,1.2828746,1.0783103,1.3087204,1.143316,0.5485004,0.5689115,1.054655,1.0103366,0.82425624,1.3130739,1.0448228,0.61652154,1.1139612,0.98704886,0.9458999,0.5119965,1.0442241,1.1693335,0.959841,0.7614022,1.2484357,0.9164105,0.8564296,0.5253438,1.3302752,0.93191576,1.3509377,0.49822533,1.3121709,0.74645007,0.7142217,0.83274764,0.8605613,0.6198053,1.2438593,1.2871859,1.3809178,0.7354307,0.67989075,0.67086416,0.93863094,0.8266315,1.169456,1.3218765,1.1754738,0.8734975,0.53673947,1.2312137
bench,0.9392967,1.2482017,1.5252311,0.74310446,1.3805504,1.542915,1.0086789,1.0064875,0.50098056,1.0386187,0.5171542,1.1427504,0.0,0.62721944,1.3640752,0.49067938,0.58427656,1.0359112,1.4352974,1.4446275,0.8958694,1.0015671,1.3133326,1.3410162,1.3386307,0.91504514,1.0556989,0.7962991,0.5057473,1.4315908,0.5160551,0.91635835,0.65245926,1.3414023,0.26411027,0.9978629,1.5765203,0.42312706,1.4382789,0.7704426,1.0175693,0.67546314,0.77801347,0.73898923,0.9317267,0.96842104,1.3362342,1.2538185,1.5270394,1.1670288,0.9924547,1.3306544,0.989811,0.8881826,1.3051388,1.0340085,0.8139725,1.31798,0.7047316,1.1234012,0.88591456,1.4820737,1.0032005,0.60767233,0.40188926,1.1097063,0.9606445,1.3905971,0.82540345,1.022151,1.046162,0.82860863,1.1458733,1.1707176,1.4768419,1.054927,1.49996,1.2927713,1.4239042,0.46310675,1.1936293,0.54084325,0.4487146,0.8498478,0.9563621,1.5547459,1.5132718,1.1265312,1.0607401,1.0239135,0.82397574,1.239157,1.5495806,0.7560242,1.3338466,0.90202296,1.2980491,0.71955174,1.2624646,0.9163144,1.28951,0.52496254,0.7926613,0.7429379,1.0497123,0.7305331,0.5771013,0.5306072,1.5570847,0.62547326,1.4268367,1.0327096,0.8700475,1.3254318,1.2622,0.61826783,0.50369555,0.82930684,1.5276455,1.4598093,1.1783665,0.8513961,0.92979956,1.3507794,0.68576586,0.76346624,1.2699112,1.4878109,0.6702184
bib,0.8065226,1.1107309,1.3772918,0.5220587,1.1784999,1.4110405,0.6627781,1.1632917,0.8749598,1.0484254,0.4543128,1.1785803,0.62721944,0.0,1.4537172,0.54731,0.8564792,0.7365478,1.5010941,1.4885519,0.9993425,0.82688296,1.3583316,1.2370867,1.5542787,1.1421356,1.0065632,0.96132314,1.0931582,1.4660602,0.8209171,0.9346007,0.6916489,1.4102416,0.72067606,0.9730425,1.4860871,0.6816405,1.5041239,0.76918924,0.6735469,1.1116077,1.1240684,0.68609256,1.076994,0.85806936,1.0716479,1.2368468,1.4564148,1.0007575,0.85239226,1.1239686,1.0524956,0.9634386,1.1344173,0.8300893,1.0185393,0.9154186,0.5639633,1.0279295,0.5640853,1.3794473,1.0556897,0.6158024,0.47625434,1.2377162,1.3964965,1.5518847,0.83609605,0.98002124,1.1322314,0.5347208,1.1417192,1.0998821,1.3344111,1.1109974,1.2785288,1.3143226,1.1993024,0.9024445,1.0149649,0.17259443,0.50290215,0.50604475,0.9348051,1.4780823,1.4600642,1.1316124,1.0586064,1.054424,0.76888806,1.3284807,1.5480258,0.6291071,1.1844065,1.0080687,1.510617,1.1193378,1.2532235,0.9007917,1.1265938,0.39082134,0.6789061,0.6341042,1.1695441,0.7772827,1.0018543,0.55489945,1.4270835,0.73400986,1.4341538,0.89355415,0.95071596,1.2855875,1.2685013,0.63089985,0.39499575,0.6582386,1.5312809,1.1926453,0.9258115,0.4840933,1.0648803,1.08184,0.519219,1.0185388,1.5666765,1.3526999,0.9631164
bird,0.82442117,0.95829976,0.8936525,1.2890515,0.8991213,0.69487214,1.2419798,0.8871489,1.1643519,1.1186137,1.2856094,0.8544321,1.3640752,1.4537172,0.0,1.24226,1.2163937,0.9463318,0.7221574,0.8206991,0.9667985,1.1049368,0.7406539,0.8501285,0.6467252,0.96988225,1.0502235,1.0839517,1.048576,0.5727638,1.2783468,1.167983,1.2073538,0.7578964,1.2781113,1.0638409,0.68886054,1.2528933,0.7670968,1.1319268,1.0615586,1.0558815,0.94982505,1.2427609,0.99649453,1.183284,1.0843565,0.411097,0.5439849,1.0551043,1.1389446,0.54764366,1.0185788,1.0829824,1.0403022,1.0693295,1.1603758,0.9361209,1.2970681,1.0476379,1.3383236,0.7761265,0.86556053,1.2462738,1.4619572,0.89262223,0.71481127,0.5621151,1.2230535,1.1137419,0.9115845,1.2988055,0.96589476,1.0296615,0.9711627,0.88718486,0.71769434,0.9018882,0.9670886,1.2786297,0.8552271,1.4613358,1.4430063,1.1206354,1.1319307,0.6595763,0.7127769,0.6010493,0.9190855,0.8968911,1.1293182,0.56347007,0.65895295,1.1958882,0.91904825,0.94762486,0.6513032,1.0284586,0.57875884,1.1027474,0.741007,1.3844239,1.0456879,1.2114367,0.894484,1.1259325,1.1441314,1.3044075,0.7426714,1.1908679,0.8046958,1.11532,1.0553559,0.74871993,0.68826616,1.1218573,1.3619949,1.1749914,0.64457226,0.9521556,1.1542565,1.2936027,0.9632434,0.79022175,1.2770123,1.0493617,0.6197993,0.77744293,1.0905077
blanket,0.81963676,1.155778,1.4225616,0.7286073,1.1794596,1.3218743,0.9111842,1.0472986,0.70294243,1.0244005,0.26943588,1.2509271,0.49067938,0.54731,1.24226,0.0,0.72242653,0.8622139,1.394515,1.3667684,1.0086752,1.0031344,1.3525218,1.3427014,1.3243983,1.1851534,1.2125615,0.7856436,0.8308712,1.2908815,0.6664817,1.0621562,0.76448387,1.2766752,0.38774705,1.0277845,1.482856,0.5598212,1.3474975,0.7160779,0.85410196,0.9178195,1.0414531,0.7004768,0.94938314,1.0697477,1.366591,1.0604415,1.3226769,1.0426764,1.1363938,1.1344287,0.9390064,1.0219421,1.3516185,0.82858557,0.86731577,1.1067362,0.8903514,0.99642324,1.0130928,1.287425,1.0238678,0.6647297,0.5868521,1.3452218,1.2039115,1.3024777,0.7268883,1.0716062,1.053946,0.7041038,1.0914497,1.1034472,1.3909783,0.8509844,1.4363674,1.2243109,1.4382951,0.8673194,1.0276462,0.47197616,0.60135335,0.73562634,0.90600145,1.511505,1.4505177,1.1391947,1.0592896,0.60464114,0.7815478,1.1034157,1.4004327,0.74992794,1.2495897,0.88331974,1.3511118,0.9434848,1.132437,1.1033884,1.295633,0.65469056,0.68417084,0.811162,1.2083968,0.8442033,0.95562387,0.63921624,1.4206467,0.41833866,1.3122005,0.9462901,1.0631306,1.2839593,1.2833092,0.6745336,0.66791964,0.80898124,1.4163418,1.3747478,1.2048683,0.9260171,0.5743743,1.1655957,0.7395466,0.8945851,1.2921878,1.4412184,0.79472965
boat,0.96874964,1.2836484,1.2053565,0.8429853,1.1649667,1.2587206,1.0296732,1.156881,0.60099983,0.92960566,0.60429174,1.2046946,0.58427656,0.8564792,1.2163937,0.72242653,0.0,1.0623595,1.2404416,1.144897,1.0666434,1.0400916,1.325352,1.2979084,1.2806559,0.9244759,1.1152422,0.7951672,0.8497441,1.2110579,0.78846514,0.9709107,0.8777037,1.1103692,0.5807268,1.0834126,1.282126,0.65310305,1.1612084,0.92020804,1.055512,0.8944235,1.0225186,0.8772516,0.7983008,0.90615946,1.2525771,1.1901436,1.2899665,1.2001897,1.0986189,1.2291874,0.7994226,0.91812825,1.1763542,1.1313144,0.7635156,1.2424728,0.7994698,1.035847,1.0460082,1.3509471,1.00845,0.8126188,0.699279,1.1634666,1.112683,1.2467833,0.981506,0.9611867,1.0979723,1.0558456,1.0641593,1.2154762,1.1521435,1.1995218,1.3242816,1.2215686,1.1549864,0.79316545,1.1366512,0.79970026,0.7187962,0.9088617,1.0198514,1.3091277,1.3232996,1.1232985,0.9993857,1.1171825,1.0303705,1.1488547,1.2817061,0.87151545,1.2056587,1.0595256,1.1915896,0.92129284,1.1613883,1.0186342,1.2670763,0.71269184,0.97055984,0.87843764,1.1467361,0.7502016,0.8170758,0.7071698,1.3594077,0.73338276,1.128539,1.0896727,1.111436,1.3029901,1.1261938,0.8957002,0.7311454,0.80207855,1.2700834,1.285636,0.96861583,0.99806833,1.1197631,1.2533947,0.8765919,0.69735134,1.135072,1.3363354,0.76404065
book,0.57988995,1.1101941,1.1584024,0.9076159,0.91019773,1.0501132,0.93402153,0.809993,0.9965523,1.1398052,0.606643,1.1614525,1.0359112,0.7365478,0.9463318,0.8622139,1.0623595,0.0,1.0453641,1.1660517,0.31785166,1.0774792,0.9645356,1.1922857,1.1938872,1.1757953,0.9612647,1.3040869,1.0147804,1.0078871,1.1477995,1.213165,0.94770616,1.0915847,0.9851389,0.80255294,1.0864652,0.83400166,1.1133908,0.90246713,0.6341814,1.1686462,0.9193899,0.9744899,1.2098619,1.1340054,1.2401175,1.1128181,1.0275923,1.1693752,0.89982265,0.61275667,1.195076,1.0434617,1.2581317,1.0595541,1.0972966,0.34115875,1.0304404,0.9293493,0.92878276,1.2230067,0.9507258,0.97776496,1.1651156,1.2728076,1.038073,1.1296844,1.0359846,1.0333871,0.7246729,0.8629691,0.86464095,1.0503942,1.2550142,1.0795891,1.1852603,1.2458025,1.1801348,1.0751789,0.7504753,0.92395353,1.1226785,0.17203593,1.0148411,1.0804437,1.0695363,0.9070916,1.1513141,1.1713946,0.6991361,0.9669191,1.0597229,0.9093145,1.053695,0.76553696,1.1640961,0.9348728,0.82434535,1.2041267,0.77281684,1.1250994,0.94689286,1.1075628,1.2059801,1.0107757,1.159743,0.70273197,1.2778666,0.9283974,1.0753189,1.0370661,1.1666434,0.91756433,1.2058377,0.78165007,1.0153135,0.49912888,1.0971935,1.2260193,1.2319052,0.78997105,1.1707702,0.47582114,0.48117328,1.1367258,1.1491597,1.2431433,1.1103709
bottle,1.2897203,0.94204724,0.430192,1.3041426,0.82503486,0.61898667,1.2388566,0.73826677,1.1814485,1.1886221,1.4124672,0.833292,1.4352974,1.5010941,0.7221574,1.394515,1.2404416,1.0453641,0.0,0.27615756,0.8896196,1.0359625,0.39469647,0.98134774,0.33458292,0.9529289,1.139879,1.2392602,0.908028,0.5478609,1.1904148,1.2326589,1.2438424,0.95020014,1.2694031,1.1376089,0.3840766,1.3246294,0.17079496,1.2966478,1.230261,0.9696303,1.0008293,1.1413062,1.1579578,1.1892821,0.91795784,0.91607773,0.53675157,0.9751018,0.9753957,1.1043041,1.1557243,0.94477916,0.92754734,1.0775912,1.2470398,0.8075089,1.3273817,1.0258948,1.3016016,0.7484827,1.1460727,1.2773898,1.4770968,0.698154,0.7242713,0.4466979,1.2540421,1.0546602,0.68959975,1.2884331,0.9759598,0.9926218,0.45203346,0.7944077,0.68488085,0.84265906,0.7036999,1.0657471,1.158205,1.5395793,1.4837904,1.2689984,1.2162884,0.41198617,0.4134829,0.99600255,1.0476232,0.88085705,1.2079302,0.6454595,0.39748073,1.3615427,0.8990725,0.9333989,0.37004304,0.83835745,0.9859054,0.99845284,0.9647008,1.4419154,1.1204925,1.3537166,0.89333934,1.2220247,0.997599,1.3471544,0.46439457,1.3370423,0.4999761,1.0778008,1.0475321,0.7211387,0.8064425,1.2596056,1.4572846,1.1382372,0.4359957,0.8266671,0.9444134,1.2811574,0.9801696,0.820223,1.3056988,1.1676697,0.40620923,0.52948815,1.0542119
bowl,1.3418785,1.0152941,0.33945334,1.3631995,0.84790206,0.61274534,1.3295882,0.91395,1.153976,1.0118048,1.3615837,0.7603948,1.4446275,1.4885519,0.8206991,1.3667684,1.144897,1.1660517,0.27615756,0.0,1.0424119,0.91649187,0.5462938,0.94218946,0.4221394,0.90047455,1.1032822,1.1103094,1.1291056,0.66864896,1.3001785,1.0903592,1.2672284,0.8306847,1.3607086,1.1538124,0.27784038,1.341532,0.1246866,1.3314326,1.3017101,1.1216661,1.0520701,1.2483608,1.053813,1.0891461,0.8411355,0.8818173,0.59884393,0.96179473,1.1216983,1.1045617,1.040065,1.0751766,0.8155055,1.1477102,1.0739377,0.96742195,1.3542005,0.9984005,1.3709781,0.6756238,1.0411497,1.4234419,1.457833,0.6669526,0.8986479,0.5324187,1.1980809,1.076864,1.0264761,1.4750793,0.8813976,0.9054607,0.20909894,0.94229263,0.69610083,0.7741356,0.5612997,1.2262883,1.1558981,1.5262861,1.4569002,1.3397717,1.1920472,0.36028123,0.3963784,1.0323162,1.0613618,0.86528504,1.2278173,0.88627666,0.23756456,1.3483729,0.95329124,1.1621956,0.31790215,1.0880451,1.0102823,1.1069425,1.0242391,1.4248285,1.1260576,1.3235025,0.8559202,1.18231,1.0076475,1.3493247,0.37237448,1.2038015,0.34183514,1.1086142,1.0687999,0.8790177,0.74356854,1.3609991,1.4520202,1.2187519,0.31300724,0.7573114,0.6897203,1.3883191,1.0138592,0.8960954,1.3227916,1.097547,0.55321014,0.49772918,1.1346084
box,0.81904495,1.1126744,1.0957386,1.0117038,0.9099696,0.9643432,1.1132109,0.47388095,0.810738,1.2264787,0.845213,0.99732,0.8958694,0.9993425,0.9667985,1.0086752,1.0666434,0.31785166,0.8896196,1.0424119,0.0,1.032008,0.5967518,1.2036527,0.84958345,1.0285788,1.0039092,1.3409449,0.7679546,0.9102528,1.082,1.2556559,0.91816837,1.072518,0.8846602,0.7880732,1.0649564,0.6481079,0.9282316,1.0394123,0.8473586,0.95568633,0.58667743,1.0152692,1.2049947,1.2339787,1.2736185,1.1787037,1.0107155,1.2216127,0.9328473,0.8468816,1.2016594,0.99847525,1.318339,1.003331,1.1718194,0.5505785,1.1536071,0.90378886,1.0918747,1.1594107,1.033558,1.0147426,1.2636266,1.174452,0.7381412,0.8651386,1.115755,1.0270231,0.5172801,0.9737241,0.9048031,0.9799811,1.2658484,0.9056071,1.208646,1.2625668,1.14605,0.80088055,0.961923,1.1184212,1.2407954,0.54229075,1.0643365,1.046764,1.0063246,0.92369705,1.18992,1.1027282,0.8312378,0.932543,0.97841436,1.055729,1.0424855,0.5627859,0.88105905,0.6774606,0.9208379,1.1649112,0.91709954,1.2351768,1.028631,1.1826382,1.1523589,1.0308713,0.9366871,0.77892816,1.2121781,1.0409248,1.0128212,0.9758226,1.1504451,0.9079333,1.066071,0.81012464,1.1273628,0.7260569,0.9949479,1.2541368,1.2218282,0.96623313,1.0684775,0.6205654,0.57035244,1.0997787,0.9446512,1.1297009,1.0501629
bread,1.1485705,1.0198268,0.96877235,0.92706865,1.0925087,1.0140921,0.90760106,1.1028781,1.0020278,0.95847285,1.008913,0.8279597,1.0015671,0.82688296,1.1049368,1.0031344,1.0400916,1.0774792,1.0359625,0.91649187,1.032008,0.0,0.9727166,0.89766574,0.9514504,1.1351126,1.074614,0.99387735,1.0493608,1.1157751,1.0910761,0.87544405,0.9609673,1.0766102,1.0054532,0.93418676,1.0014678,1.0212964,0.988109,1.0762362,1.0258489,1.093419,1.0313172,1.0400157,1.0237952,0.91600627,0.8673626,0.9594154,1.1245918,0.96471804,1.0005723,1.1868993,1.0100808,1.041604,0.94640034,0.9482256,1.0923657,1.0863236,0.9424646,1.0407878,0.92194045,0.94387925,1.1236238,0.956453,0.9280887,0.91863817,1.166973,1.1109074,0.96903294,0.9824497,1.1264547,0.8914635,1.1365819,1.0087851,0.87615603,0.8371624,0.87257373,1.0621033,0.83894455,0.9931739,1.1521981,0.87063086,0.86413074,0.9751472,1.1370004,1.0009756,1.0491902,1.0930188,0.9955031,1.0214169,1.0901135,1.1569077,0.95102197,0.99222475,1.0003682,1.0541797,0.9180978,1.0841384,1.2924805,0.96210134,1.0844853,0.91254735,0.80428493,0.85952604,0.9659553,1.0025227,0.9473373,0.9917244,0.9391899,1.0626372,0.98653334,1.016277,0.86040944,1.1002345,0.8884702,1.0324361,0.8854915,0.97649395,1.0095756,0.9184902,0.83220243,0.8843181,0.8282386,1.1557782,0.9925168,1.1100986,1.1125312,0.9431392,1.1285511
bucket,1.2765081,0.8442583,0.6163364,1.2896721,0.7479651,0.616663,1.2023462,0.40424353,1.1046668,1.2870301,1.4347159,0.740711,1.3133326,1.3583316,0.7406539,1.3525218,1.325352,0.9645356,0.39469647,0.5462938,0.5967518,0.9727166,0.0,0.9607328,0.2608142,0.8762798,1.0368268,1.4245172,0.8129625,0.56766284,1.2134539,1.1695851,1.2143517,0.8514593,1.2047646,1.1240841,0.5850095,1.1493708,0.46131945,1.3428817,1.1027112,1.0156388,0.7660277,1.1787086,1.2180042,1.282733,0.9555056,0.8899926,0.5755832,0.9765918,0.9677474,0.9763754,1.2370418,0.949859,1.0247221,0.7837771,1.3807799,0.76495886,1.4086654,0.9528998,1.2729408,0.65491736,1.131022,1.2235994,1.4341832,0.7648831,0.65936446,0.45488614,1.3073707,1.0700088,0.6786992,1.1079265,1.0270913,0.8659855,0.8005575,0.73557323,0.77283895,0.94164723,0.77603453,0.98405194,1.1034831,1.4566574,1.4448895,1.2526617,1.1663291,0.6169096,0.6307601,0.93524885,1.1049196,0.7830498,1.2492293,0.6489267,0.5156264,1.298586,0.8068744,0.6654422,0.41434318,0.8010545,0.95467085,1.0931797,0.8390111,1.4587066,0.95170194,1.208496,0.8191314,1.2626482,0.9417344,1.2862656,0.5170334,1.4082947,0.7380691,0.8251295,1.110798,0.66256595,0.7444271,1.0640628,1.428679,1.1973536,0.43077195,0.8329071,0.984994,1.2052263,0.94870675,0.6861974,1.1498984,1.2669626,0.599291,0.58971834,1.2058959
butterfly,1.1263168,0.8611325,0.8443235,1.2358105,0.9546459,0.8379233,0.8515985,1.1122789,1.3550755,0.98116124,1.4461019,0.6319865,1.3410162,1.2370867,0.8501285,1.3427014,1.2979084,1.1922857,0.98134774,0.94218946,1.2036527,0.89766574,0.9607328,0.0,0.7899926,0.9571903,0.714582,1.0984589,1.1421872,0.9163031,1.2565465,0.94355005,1.2386832,0.66889656,1.3974164,0.7981533,0.63624614,1.4217353,1.0200961,1.2384276,1.0708989,1.0976005,1.0676003,1.2391974,1.0429535,1.0400056,0.60041565,0.725174,0.74387133,0.89803797,0.8880518,0.7904937,1.0106897,1.10653,0.655615,0.95234114,1.1172775,1.078516,1.1943235,1.046942,0.9951502,0.56891155,1.0055012,1.2183355,1.1476847,0.6980644,0.90993595,0.85799897,1.1330664,0.975375,1.0341889,1.0973856,1.0876336,0.8416381,0.8066033,0.7967383,0.44117373,0.73627234,0.7330221,1.2724967,0.8981598,1.3070836,1.1462841,1.2443433,0.93415904,0.626867,0.657979,0.9706346,0.9243645,0.92619157,1.1805484,1.0258484,0.69561654,1.156062,0.74647576,1.1367877,0.832116,1.2118278,0.8413182,0.9809428,0.6357054,1.2655545,1.1207316,1.0720792,0.6895547,1.2851741,1.1822084,1.3827639,0.6121638,1.335401,0.79806185,0.9686899,0.92578053,0.74458694,0.75950307,1.2907199,1.2871709,1.3202837,0.84208596,0.64319634,0.8005846,1.0254947,0.85726285,1.024047,1.3293498,1.194527,0.98116547,0.6860574,1.1855625
can,1.4220495,0.87660885,0.64213085,1.420101,0.8919873,0.627404,1.3409373,0.56309134,1.1096997,1.2186296,1.5173874,0.5767552,1.3386307,1.5542787,0.6467252,1.3243983,1.2806559,1.1938872,0.33458292,0.4221394,0.84958345,0.9514504,0.2608142,0.7899926,0.0,0.8416997,1.0700617,1.1782367,0.8329643,0.5241152,1.1884516,1.1255386,1.2685564,0.7887273,1.1925535,1.1400224,0.46622652,1.2956867,0.3682692,1.40954,1.3100755,0.8573166,0.8053568,1.3016177,1.0879356,1.285672,0.87072587,0.73254627,0.52519906,0.94189,1.1674106,1.0709082,1.1036603,1.0669878,0.8848579,0.89465535,1.2794113,1.0172969,1.4762472,1.0936655,1.4136057,0.5017916,1.1591151,1.299715,1.4404806,0.576474,0.51579446,0.313273,1.342603,1.1208763,0.7751074,1.3295643,1.0500793,0.89313245,0.65278435,0.6108334,0.5270747,0.7117067,0.7733824,1.0473833,1.1717464,1.6179199,1.4449407,1.4716731,1.2177682,0.46590734,0.4798748,0.93672085,0.986126,0.53988534,1.32829,0.62940097,0.32699597,1.4122986,0.91756743,0.8988327,0.18728328,0.7196928,0.9891028,1.0178175,0.9547733,1.4971056,1.0429318,1.2167993,0.6289463,1.3735082,0.9461458,1.4495075,0.35767913,1.3574183,0.57460165,0.9649759,0.9612191,0.7554209,0.5931523,1.2997054,1.5108633,1.4146619,0.34931046,0.76472396,0.9571952,1.3406162,0.74284077,0.9608844,1.4616199,1.2272472,0.46691835,0.46882927,1.057879
car,1.1654356,1.0602442,1.0366282,1.2014246,1.1625322,1.1247299,1.1319829,0.91071045,0.8530938,1.07049,1.2885941,0.92733276,0.91504514,1.1421356,0.96988225,1.1851534,0.9244759,1.1757953,0.9529289,0.90047455,1.0285788,1.1351126,0.8762798,0.9571903,0.8416997,0.0,0.7941345,0.91812056,0.8757919,1.0210602,1.0876241,1.0770605,1.051255,0.9638439,0.99911076,0.981169,0.8955753,0.98090863,0.9809415,1.1841989,1.1801696,0.9316494,0.88886356,1.1293844,0.8961631,1.0963982,1.0031395,0.79223394,0.9416322,1.0861285,0.8411652,1.0572443,0.9022211,0.8900946,0.94889134,1.0469247,0.9916571,1.0981873,1.088759,1.0572811,1.0570296,1.0027632,1.0822022,1.0363014,1.0590031,0.7449216,0.87072355,0.89546,1.1151041,1.031591,1.0218945,1.2301815,0.7360822,0.9482484,1.048607,0.891704,1.0388193,1.0100213,1.0143969,0.8825561,1.0425032,1.1659697,1.100345,1.2305964,1.074132,0.84674704,0.8324973,1.028752,0.86819893,0.9334113,1.0241841,0.911467,0.86113703,1.1244109,1.0676701,1.0159112,0.8121947,0.8831203,0.9692316,0.9011887,0.9051633,1.102532,1.1002499,1.0390376,0.8352076,1.1538513,0.72176284,1.0639256,0.9641684,1.0342234,0.936759,0.9909925,0.9568216,0.86741877,0.9608272,1.0268948,1.1267543,1.2109438,0.8454816,1.0516438,0.9161118,1.0524904,0.9838218,1.1116112,1.064259,0.8488052,0.9989092,1.0172278,0.8231831
carrot,0.9832127,1.0563576,1.0314502,1.0506115,1.1171361,1.1556184,0.8509923,1.1059014,1.2059168,0.95305026,1.2444324,0.7235198,1.0556989,1.0065632,1.0502235,1.2125615,1.1152422,0.9612647,1.139879,1.1032822,1.0039092,1.074614,1.0368268,0.714582,1.0700617,0.7941345,0.0,1.0456853,1.1077303,1.2270406,1.1656239,0.9133273,1.0946238,0.8102416,1.189583,0.73459274,0.823355,1.1684577,1.2251285,1.1736628,1.0801668,1.1133583,1.0656298,1.1568848,0.9754409,1.0631337,0.8424878,0.8128305,1.0016023,1.0250542,0.6976358,0.73547894,0.9810866,1.0797527,0.8975196,1.0063828,0.99437094,0.85808694,1.1008377,0.8704205,0.8464651,0.9584541,1.16433,1.0719744,0.97367656,0.7853404,1.0572569,1.1954886,1.0881842,1.0302072,1.0454255,1.0085868,0.9571229,0.77937096,1.0679402,0.9537615,0.91663474,0.9489998,0.8334496,1.0521584,0.84448075,1.1197305,1.081687,1.0354012,0.8445798,0.84643364,0.843323,0.8964869,0.7990916,1.1426733,0.8741411,1.1533374,0.9969493,1.056924,0.93898064,1.0716183,1.0784757,1.071245,0.98498684,0.9790531,0.6166488,1.18277,1.167043,0.9720661,0.7352494,1.2247796,1.0084364,0.98352206,0.9898047,1.2142737,0.9410855,0.88619864,0.9091066,0.89235115,0.9356502,1.1154809,1.1684064,1.1146318,0.9861293,0.9747223,0.81984836,0.7876115,1.0344301,0.961509,0.9673531,1.0582498,1.2482929,1.0021166,1.1479405
