,alligator,ankle,apple,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,muffin,nail,napkin,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,vacuum,watch,window
belt,1.2103574,1.1015173,0.6589209,0.8305804,0.752515,0.74396944,1.2396258,1.2505655,1.0430074,1.4058983,0.0,0.86950415,1.3078296,0.5463463,1.3220148,1.1842852,1.0367334,0.7331774,0.55897015,1.3238996,1.0322484,0.8821177,0.50336444,0.31386006,0.7143325,1.0522985,1.1326406,0.77253497,1.019887,1.1873271,1.304066,0.9795846,0.9225457,0.9325726,1.3135426,0.9981594,0.52006733,1.3079029,0.41689938,1.2387547,0.8991707,1.1915725,1.1036569,0.8824769,0.7531025,1.0338894,1.0260413,1.2887414,1.0549573,0.6569389,0.9263458,1.0747614,0.4679489,1.1138244,1.1651852,0.6392647,1.0459869,1.0915799,1.1942948,1.2360511,1.3051043,0.9915529,1.0299373,1.2848556,1.4171165,1.2716103,1.3519833,0.8186413,0.98095953,0.6390183,0.67670965,1.2476084,1.3995755,1.2628814,0.95556676,0.9471786,0.40943718,1.1163511,0.8912781,1.2395318,1.0405382,1.37638,1.0908319,0.763664,0.6308435,0.57382286,0.6807202,1.2712734,0.6963991,0.9564466,0.96474695,1.0142106,0.8888533,1.0418806,1.0375673,0.8905307,1.2562692,1.0700504,1.16633,0.9010687,1.3996086,1.22419,0.6410386,0.795642,0.47295934,1.1165423,0.62378013,0.97501636,1.0095023,1.0535593,0.59187216,1.2601628,1.4129155,1.4396174,0.44384253,0.93962723,1.0641086,0.6143458,0.5179175,1.0498823,1.1602896,0.9790028,1.2360458,0.76829696,0.5133981,1.3096964
bench,1.0018609,0.99897623,1.170217,1.0796804,1.2187653,1.0653173,0.925913,0.7116357,0.92774206,0.7534411,0.86950415,0.0,1.0421245,1.1884911,0.9257461,0.79773235,0.8861981,1.2170547,1.0383416,0.95692194,1.0452495,1.2280829,0.96875685,0.84720063,1.028305,0.97086406,0.90415996,0.8267423,0.9577775,0.95052004,1.0604972,1.0602664,1.0167809,1.1412545,0.6899681,1.0209566,1.1539862,0.8473263,1.0418261,1.0494547,1.162168,0.6958869,0.6620242,1.1279577,1.2410524,0.949422,1.166658,1.0834922,1.1800116,0.9589261,1.1792933,0.9718498,0.95843196,1.2523668,1.170177,1.0659431,1.0526015,0.76043296,1.1136819,1.083526,1.1306969,1.1515956,0.95231366,0.8714613,1.0473226,1.2109718,0.8723363,0.568871,0.6547762,1.1179852,1.0184207,1.1614885,1.0480341,0.9361454,1.1056606,1.283722,0.9208499,1.1967611,1.262661,0.74395084,0.8367199,0.9638385,0.73912406,0.90455496,1.0729158,1.0123314,0.80300003,1.1575043,0.95400137,1.024354,1.0721424,0.9582904,1.0618451,1.2000479,1.1308523,1.1411449,0.79991853,0.8082488,0.9714183,1.2005408,0.9561972,0.99740875,0.66817486,1.0734725,0.7803803,1.1252447,1.1232362,0.7228485,1.1036618,1.1907325,0.9925397,0.9955711,0.9602376,0.8085479,0.9904948,1.1818388,1.0258361,0.9838383,0.9789616,1.3458526,0.8454305,0.9190941,0.9431579,1.0772829,1.1218945,0.790637
bib,0.66583073,1.0098389,1.2740148,1.2519183,1.2358313,1.2128607,0.90845907,0.7667916,0.9824032,0.6419766,1.3078296,1.0421245,0.0,1.2906339,0.6282787,0.8071807,0.9171603,1.3722502,1.416029,0.75216365,1.1270245,1.1981778,1.2718778,1.3562675,1.3489646,0.93034315,0.94486874,1.2045851,0.99845976,0.7536641,0.8401951,1.1490524,1.2778735,1.1872362,0.8687533,0.98404133,1.3439994,0.82520753,1.405771,0.9423419,1.2504232,0.9751554,0.8676804,0.9977417,1.2463298,0.83790356,1.1852993,0.8554265,1.0555266,1.2099994,1.2719969,0.7481961,1.3681753,0.90149236,0.9753363,1.3484427,0.9965922,0.9101654,1.0067847,0.87477463,0.8037518,1.1116258,1.0136057,0.8414178,0.7137979,0.9399339,0.4978038,0.91374123,1.0225546,1.3136185,1.1758516,0.93637097,0.5181327,1.0171124,1.2121412,1.2033048,1.3232368,1.1376569,1.2204593,0.89616704,0.8147858,0.6550504,0.8044789,1.1558158,1.2953653,1.2174679,1.103131,0.49209058,1.1588273,1.0715915,1.1901677,0.94320726,1.0833873,1.0529728,0.999299,1.0033025,0.90983725,0.9180422,1.0184985,1.0900424,0.48756635,0.54140437,1.0063225,1.2321414,1.2111983,0.9594542,1.1969581,0.75386083,0.63799804,1.1373435,1.2802944,0.99796987,0.6680413,0.6989166,1.3725429,1.1279442,1.0189117,1.2573802,1.2410218,1.1078172,0.9753306,0.9245647,1.0240813,1.2577424,1.3336484,0.7789246
bird,1.2352486,1.2031202,0.49828,0.76598126,0.81174135,0.6196979,1.2965066,1.3884847,0.92418844,1.4717165,0.5463463,1.1884911,1.2906339,0.0,1.3083797,1.2117008,1.147762,0.58986026,0.4899001,1.346577,1.038654,0.877054,0.5824441,0.5606396,0.6355674,1.199029,1.1879236,1.0198693,1.0653689,1.1392527,1.1433681,0.98051775,0.8453756,0.9169217,1.4323673,0.94582194,0.40111822,1.4102014,0.45347106,1.1770777,0.6781903,1.3046274,1.368289,0.95745677,0.6059209,1.0370321,0.9639351,1.3014568,1.029467,0.62158513,0.64758164,1.2051651,0.3786385,1.0100983,1.1194408,0.520086,0.94932157,1.0836469,0.96720743,1.2248898,1.3686892,1.0212402,1.0323625,1.3336234,1.2720022,1.2688682,1.3799083,1.1103601,1.1689899,0.47438884,0.71598595,1.3044567,1.3411031,1.294105,0.970962,0.672235,0.45997036,0.8399015,0.7018993,1.3887808,1.0706884,1.3874972,1.2505031,0.8644289,0.43115646,0.44209367,0.95556706,1.1758989,0.6697034,0.9684894,0.7767967,1.114982,0.9188727,0.89723974,0.9266147,0.9488901,1.3589538,1.0525948,1.0699543,0.8238354,1.3979928,1.2749425,1.0100356,0.67614967,0.728572,1.2174759,0.51044023,1.1053023,1.1418046,0.85227954,0.64870954,1.2478467,1.4045169,1.484625,0.57017493,0.85564566,0.9611157,0.5689316,0.51137096,0.9769215,1.2663279,0.9960458,1.276202,0.80221516,0.52355754,1.3538139
blanket,0.5151687,1.2086011,1.3988826,1.3018385,1.2523644,1.294106,0.75905144,0.71008325,0.9672842,0.24255717,1.3220148,0.9257461,0.6282787,1.3083797,0.0,0.85215044,0.7346949,1.3404386,1.2907306,0.74265647,1.2294731,1.1161983,1.1670548,1.384532,1.1773831,1.1808369,0.7963561,0.97232544,0.9260307,0.71035725,0.8675212,1.1703813,1.1442406,1.1904799,0.45367992,1.0995136,1.4131713,0.4292881,1.42698,0.6684823,1.0350182,0.82835436,0.98127735,1.2466292,1.3678418,0.77032673,1.3050461,0.9922327,1.3066125,1.327213,1.1053727,1.1139793,1.3534551,0.9809271,0.8620912,1.5205035,0.96267575,0.83448905,1.0149554,1.0152758,0.9612885,1.1724582,0.89410317,0.67718303,0.74991703,0.9669458,0.7715882,1.0732659,1.026742,1.3491999,1.2997633,0.94046605,0.6625957,0.9024294,1.252039,1.2922987,1.2101263,1.1813909,1.2993869,0.82741517,0.75746226,0.83203375,1.0067266,1.0508326,1.4156802,1.2783316,1.1814059,0.6459365,0.8970687,1.140765,1.0902097,0.9430258,0.95354277,1.0488003,0.94300914,1.034755,0.8342672,0.8518468,0.9472366,1.3193351,0.79508114,0.9345257,1.0482856,1.1266499,1.20734,0.7039933,1.3637272,0.7768818,0.9769568,0.99966913,1.4030868,0.6222725,0.766336,0.61635536,1.2999444,1.4034617,1.2107022,1.1427494,1.1142826,0.7287055,0.84881866,0.8929847,0.9963509,1.0313807,1.4849539,0.7525738
boat,0.97050154,1.0993679,1.3031119,1.2900461,1.2632285,1.3337897,0.8889328,0.6618711,0.94038725,0.7331069,1.1842852,0.79773235,0.8071807,1.2117008,0.85215044,0.0,0.9582236,1.3045918,1.277714,0.81738615,1.2527418,1.2456034,1.1357185,1.2108306,0.91050565,1.1324291,1.0076473,1.1326652,0.72447866,0.8136589,0.88640636,1.1444812,1.1989766,1.2176194,0.8718722,1.2029142,1.3589474,0.83936924,1.325059,0.92611516,1.2352983,0.7174034,0.8470264,1.2201902,1.3540006,0.9443177,1.1191566,0.88283384,1.1511161,1.1660001,1.0918585,1.0817578,1.2366495,1.0546219,0.85333514,1.2899581,1.2190132,0.8137792,1.0990102,0.8685745,0.9295263,1.1221592,1.0373497,0.8136357,0.8671867,0.9824359,0.7848526,0.77434665,0.89393723,1.1920781,1.273237,0.9292273,0.863211,0.5387335,1.1983253,1.2857839,1.31995,1.1767132,1.3054013,0.8049885,0.91164505,0.8208676,0.90551746,1.0821323,1.2184643,1.1025065,1.1760972,0.8912059,1.180123,1.1836067,1.0560838,0.8617102,1.1058359,1.159908,1.0768362,1.0474808,0.8035712,0.9102713,0.85215265,1.011518,0.753658,0.9672729,1.0168234,1.0275366,0.9332322,0.90073407,1.3253796,0.75228614,0.99457777,0.9678652,1.2769237,0.8509236,0.7433384,0.67916423,1.1699466,1.2609506,1.1180553,1.1391084,1.207058,1.144204,0.8150692,0.97995037,0.6583657,1.1634054,1.3389297,0.5004139
book,0.7228019,1.1391075,1.0969496,1.1904638,1.0085871,0.96904385,0.8959525,0.969389,1.1471934,0.8971493,1.0367334,0.8861981,0.9171603,1.147762,0.7346949,0.9582236,0.0,1.0611033,1.0279406,0.42933452,0.97623646,0.91676825,0.97023416,1.0547262,0.97021616,1.0404263,1.0427204,0.8162754,1.0733895,0.59876597,1.1050388,0.87629426,0.98301923,0.94210976,0.9155864,0.988389,1.0407312,0.7447949,1.1004956,1.0078971,0.94564474,1.0713146,0.84834373,1.0665727,1.129116,1.1372695,1.1666584,1.0526752,1.1318357,1.1035277,1.0142722,1.071877,1.1828156,0.8091651,0.96368694,1.2657945,0.9883933,1.151683,1.026441,1.1216568,0.98872113,1.0694598,1.0764961,0.8653355,1.02223,0.91344875,1.1202031,1.1245573,0.95827943,1.133487,0.9966733,0.8850068,0.98256457,0.9088307,0.99210733,1.1204287,1.0761609,1.2291452,0.9870297,0.9897151,1.1352394,1.0716304,1.1614614,0.8316837,1.1176553,1.1161704,0.92008823,1.1484042,0.89928573,0.8305634,1.0586002,0.8451191,0.99074537,0.8227636,0.863012,0.84453547,1.0060799,1.1234995,1.0064547,1.1274244,1.1158922,0.9244566,1.1107688,1.0882425,0.99760324,0.8335273,1.0447592,1.1199062,0.9410073,1.1457719,1.1455758,0.87056285,1.0310687,0.90997344,1.0660039,1.2042131,1.1800699,1.0426265,0.9583028,0.7320893,0.78253675,1.1497597,1.0009202,0.9847421,1.1458178,1.0413343
bottle,1.3630713,1.1094767,0.45829082,0.74978405,0.5938043,0.65117735,1.1062964,1.3086495,1.1330967,1.4482188,0.7331774,1.2170547,1.3722502,0.58986026,1.3404386,1.3045918,1.0611033,0.0,0.3363738,1.241179,1.003439,0.29249442,0.721416,0.62575024,0.61306703,1.0806768,1.2267534,0.851101,0.99328303,1.1680872,1.1752139,0.9713733,0.7923933,0.8889107,1.3453825,1.1025879,0.47434938,1.2934908,0.23746836,1.1721245,0.7408882,1.2795446,1.2357045,1.0220033,0.72884154,1.2652445,0.95248485,1.2122447,1.0198629,0.78489137,0.74023485,1.2276802,0.5498308,0.8861406,0.9061269,0.61176836,0.9505196,1.3158236,0.9522774,1.1845485,1.2995771,0.942184,1.1253701,1.3454146,1.2530497,0.7084148,1.4450569,1.1926018,1.1867751,0.6580351,0.72982234,0.9628258,1.3809485,1.2232784,0.93863475,0.5931589,0.63368565,1.0053722,0.59314406,1.2503988,1.2911296,1.3368531,1.2468551,0.8140262,0.58728606,0.6908808,1.0172098,1.2625997,0.8846122,0.9946341,0.814201,0.9639703,1.0394146,0.9556575,0.88878554,0.95525485,1.192544,1.3177553,1.2222352,0.8320972,1.3809983,1.2826304,1.0399895,0.7373388,0.69658494,1.0149345,0.53184414,1.3357285,1.0976547,0.8976605,0.6596638,1.1824768,1.3293588,1.2584443,0.50335246,0.8912045,0.98720765,0.50402856,0.7217896,0.6760009,1.0513324,1.2223788,1.1950836,0.6496686,0.51033443,1.3009125
bowl,1.3272294,1.1469221,0.33293664,0.6596891,0.6298311,0.4947422,1.2626276,1.3764782,1.0749574,1.4647784,0.55897015,1.0383416,1.416029,0.4899001,1.2907306,1.277714,1.0279406,0.3363738,0.0,1.3281269,0.96316177,0.5232438,0.48910737,0.4813071,0.40749633,1.133299,1.2431843,0.7630558,1.0151494,1.2309405,1.2038311,0.8971258,0.88385135,0.9318895,1.3531263,1.0240524,0.2626511,1.3791139,0.20434475,1.2470663,0.67520607,1.3208989,1.2429243,1.0266753,0.5957844,1.1877707,0.9587876,1.278995,0.9594609,0.652837,0.62191343,1.2446194,0.4133005,1.0793664,1.0738196,0.45153028,0.9157629,1.2363379,1.091582,1.2824988,1.3697255,0.94273585,1.0973577,1.3805388,1.3824857,1.1395891,1.5148613,1.1188726,1.2392873,0.61064553,0.5671575,1.2036415,1.4416438,1.2316382,0.9614824,0.50589323,0.42224205,1.0141459,0.5847032,1.3770666,1.2081543,1.4288381,1.3243338,0.82260364,0.3997321,0.51624966,0.83734536,1.2265646,0.70136154,0.9437635,0.8000009,0.9728425,1.0213801,0.98671854,0.99690276,1.0578011,1.3335068,1.2624665,1.1731857,0.9004247,1.5322986,1.4050164,0.9947315,0.662563,0.6289202,1.2148821,0.40925223,1.3110416,1.19577,0.91744745,0.4344654,1.2155026,1.4804169,1.5007696,0.29762447,0.7629632,0.8739681,0.47855234,0.534974,0.8256495,1.1535249,1.1518685,1.2134988,0.7014544,0.3675183,1.3328552
box,0.7301929,1.0231302,1.2971563,1.252617,1.1827655,1.1237301,0.7390582,0.55047756,1.2106878,0.68597114,1.3238996,0.95692194,0.75216365,1.346577,0.74265647,0.81738615,0.42933452,1.241179,1.3281269,0.0,0.92334956,1.0284809,1.1960073,1.3735402,1.2789727,0.9281264,0.9767204,0.9754064,1.039315,0.65568966,1.0096841,1.01137,1.1886109,0.97681546,0.70857507,0.86303544,1.3695903,0.6272355,1.3731784,0.97481626,1.18682,0.8398365,0.73167515,1.1521763,1.2798073,1.1247137,1.2149915,0.87302303,0.99829274,1.2435409,1.1232269,0.9960933,1.4438115,0.7789289,0.77090776,1.4306039,0.93555635,1.0881425,0.7917396,0.9340328,0.67335427,1.1123745,1.127864,0.74622107,0.81340766,0.87745476,0.8360499,1.0875316,0.96519554,1.2652004,1.12146,0.76220286,0.84498614,0.80844903,1.0145341,1.2170333,1.3079675,1.2250867,1.1182464,0.7210165,1.1388232,0.88610005,0.96541667,0.8759067,1.3336662,1.3430741,1.0146805,1.0304589,1.1576731,0.87773514,1.1169449,0.5295112,1.1607558,0.8776188,0.9200431,1.0105758,0.7508272,1.0489368,0.94262946,1.1447327,0.81177366,0.82500625,1.0957955,1.2943851,0.9576353,0.8562328,1.2984978,0.93951,0.9796764,1.1777141,1.3293489,0.8376732,0.725301,0.47240162,1.2844074,1.1591686,1.0968814,1.2830727,1.2114978,0.89849454,0.5900659,1.1667812,0.908144,1.0446877,1.373362,0.80772537
bread,1.0051954,0.8610574,0.788291,0.7257043,0.8117218,0.71214783,1.2269605,1.1627082,1.128014,1.3293014,1.0322484,1.0452495,1.1270245,1.038654,1.2294731,1.2527418,0.97623646,1.003439,0.96316177,0.92334956,0.0,0.99524033,1.0603361,1.1122965,1.1596811,0.70739007,0.9266466,1.126313,1.1931834,1.2721001,1.1146134,0.7590902,0.9728906,0.28821278,1.256954,0.4752643,0.83780223,1.3145813,1.0296733,1.1019077,1.0331534,1.244241,1.0593396,0.8787827,0.79764044,1.1065978,0.8787814,0.954871,0.6329999,0.7766403,1.1188034,0.94490415,1.0277739,0.8813131,1.0915256,0.9410752,0.87599695,1.1236998,0.7535026,1.060736,0.82858205,0.93295467,1.1703061,1.1319909,1.173479,0.9534055,1.1477114,1.2410624,1.1401731,0.8843178,0.6347796,1.0618165,1.0311828,1.1100894,0.3079797,0.7301195,0.9514514,0.84735197,0.41465104,1.2204113,1.2287436,1.1371691,1.1330743,0.9773418,0.88883,1.0273021,0.79810905,1.0923054,0.9802965,0.303851,1.2357006,0.7452449,1.2063859,0.62731034,1.0240322,1.0855525,1.226028,1.0775173,1.0851912,1.0334059,1.2363772,0.9687751,1.1130533,1.1178958,1.063439,1.066113,0.910905,1.3071339,1.0252097,1.1321878,0.8078952,1.1151252,1.2066205,1.1326191,1.0541157,0.62301683,0.84294295,1.106201,0.95819926,1.0647442,1.1545303,1.1856486,1.0965414,1.1436001,0.89003503,1.2873409
bucket,1.1512197,1.1880087,0.8535685,0.8635343,0.6540295,0.8311224,0.89347523,1.1285138,1.1843219,1.2197641,0.8821177,1.2280829,1.1981778,0.877054,1.1161983,1.2456034,0.91676825,0.29249442,0.5232438,1.0284809,0.99524033,0.0,0.830346,0.83465445,0.7147145,1.0146215,1.122703,0.7870114,0.91030484,1.0949829,1.1523634,0.8796762,0.85390687,0.88654125,1.1189849,1.0799663,0.7710652,1.0466986,0.5066539,1.0745107,0.85171807,1.1764266,1.0876889,1.0918053,0.8430202,1.2482898,1.0117427,1.1857494,1.1098692,0.9852774,0.8029809,1.2479573,0.9364675,0.64798474,0.64735484,1.0454348,0.886047,1.283155,0.9881424,1.2067299,1.1840129,1.0545707,1.0948367,1.1958716,1.1030095,0.49615186,1.3862714,1.27432,1.1587403,0.86329675,0.88872916,0.7631494,1.2084041,1.0317153,0.9423499,0.8300688,0.87561375,1.0494034,0.79960513,1.0956086,1.2727904,1.2283595,1.2891996,0.86316705,1.0042654,1.0190982,0.9581378,1.2090267,0.9182821,0.9672722,0.82661086,0.88601494,1.0184845,0.7694517,0.74380946,0.90113616,1.0487294,1.3029525,1.1199709,0.7707678,1.3114719,1.197364,1.1536604,0.83689773,0.8921903,0.9620737,0.8485502,1.3550606,1.0311843,0.9794359,0.9309163,1.0030271,1.2225344,1.0528356,0.72727084,1.0876448,1.1477306,0.88783973,0.89537454,0.47946966,0.84730613,1.2246164,1.0358241,0.6658069,0.9115109,1.2385136
butterfly,1.1768708,1.2157276,0.6756774,0.78291,0.7535255,0.81021154,1.2281728,1.2442424,0.94905186,1.3248081,0.50336444,0.96875685,1.2718778,0.5824441,1.1670548,1.1357185,0.97023416,0.721416,0.48910737,1.1960073,1.0603361,0.830346,0.0,0.5914925,0.6343205,1.1080176,1.132639,0.78889596,1.036975,1.0919247,1.127675,0.9759845,0.9223665,0.8837127,1.293756,0.9485618,0.60578084,1.2280333,0.51875365,1.1737399,0.6949261,1.1184785,1.2666969,1.0157723,0.7888833,1.053496,1.0656248,1.285678,1.0672519,0.682558,0.7221346,1.2503377,0.62363493,1.108805,1.0846282,0.7565727,1.0492902,1.0362277,1.0743074,1.16353,1.2739432,0.94140065,0.96660894,1.2986679,1.3147321,1.2313504,1.4696634,1.028948,1.1662707,0.6715895,0.8033198,1.1708649,1.348315,1.1523442,0.91852367,0.8509898,0.5983674,1.164648,0.8581244,1.2907017,0.9961529,1.3211535,1.3090265,0.8347002,0.7602311,0.75697196,0.8423139,1.1585953,0.7542899,0.98220664,0.7886443,0.967594,0.87102747,1.0035502,0.9682775,0.9477288,1.2129772,1.0726426,1.0342044,0.87319547,1.3715465,1.4138602,0.79803836,0.74608684,0.69572276,1.1890274,0.82219905,1.0458618,1.1319798,1.0279523,0.6658155,1.201438,1.3795528,1.3474305,0.58652425,0.9764533,1.0700879,0.6130994,0.6542443,0.9137623,1.2197495,0.96492875,1.1808956,0.7256943,0.72700834,1.1331153
can,1.3571374,1.084165,0.71051335,0.82759255,0.84137267,0.7724448,1.3243573,1.2690562,1.0607703,1.4291798,0.31386006,0.84720063,1.3562675,0.5606396,1.384532,1.2108306,1.0547262,0.62575024,0.4813071,1.3735402,1.1122965,0.83465445,0.5914925,0.0,0.54190445,1.0591078,1.1816933,0.57169265,0.9908232,1.1782675,1.1338077,0.9888423,0.86452967,1.0196038,1.303617,1.0761371,0.5110811,1.3383834,0.27316868,1.2292854,0.7312995,1.0569072,1.0921671,0.9165541,0.6996758,1.0756415,0.99644893,1.2662299,1.0031664,0.7835481,0.7600116,1.0192056,0.52209383,1.2697138,1.1705674,0.53663224,0.9842686,1.1899922,1.1996806,1.2332758,1.3516254,0.97782516,0.9596358,1.2926699,1.255741,1.2971784,1.2964404,0.87629783,0.8912089,0.64614785,0.8505731,1.20783,1.441573,1.2900229,1.0143296,0.8060389,0.40857357,1.0786636,0.9211197,1.2192829,1.0913792,1.3544083,1.0596745,0.68207073,0.5939615,0.5981229,0.82580847,1.2802347,0.65500647,1.0692606,0.7268727,1.1714811,0.8439083,1.1686966,0.992426,0.92080414,1.1518803,1.1856084,1.0579238,0.93191636,1.3871413,1.2247604,0.74043787,0.62120867,0.6586394,1.2465687,0.5739628,1.1051284,1.0257952,0.95584023,0.6487607,1.2412034,1.4013577,1.4684285,0.4236747,0.85724485,1.0524113,0.6468342,0.50800616,1.0599979,1.240988,1.0747129,1.1847469,0.6536024,0.5206311,1.2273836
car,1.3154659,1.2488012,0.7731869,0.9352294,0.85064244,0.77845454,1.0968394,1.3010621,1.0505129,1.3377374,0.7143325,1.028305,1.3489646,0.6355674,1.1773831,0.91050565,0.97021616,0.61306703,0.40749633,1.2789727,1.1596811,0.7147145,0.6343205,0.54190445,0.0,1.2841656,1.1617453,0.7496557,0.8232497,1.0931224,1.1903648,1.0458778,0.8457216,1.007115,1.2453837,1.1219414,0.6228664,1.1626346,0.5069139,1.0769542,0.6343478,1.0494232,1.1908216,1.0840999,0.7532412,1.183364,0.94405997,1.2506131,1.1689504,0.9671729,0.6115689,1.2515371,0.66903687,1.131703,0.8858739,0.7331202,0.9708529,1.1414359,1.1463847,1.1714817,1.3423942,1.0332432,1.0297744,1.2554457,1.2704725,1.1465914,1.4291133,1.095672,1.0632535,0.67871743,0.95487887,1.0558977,1.4260741,0.9347123,1.0780591,0.87027687,0.6366494,0.9789852,0.89542407,1.2104377,1.1237638,1.3257166,1.3134253,0.825268,0.7205826,0.6667955,1.015906,1.2350094,0.69120884,1.0113459,0.71197724,1.1171364,0.88526535,1.0304339,0.931432,0.8618481,1.1623136,1.2515285,1.0614245,0.8375912,1.4053916,1.3407937,1.1138177,0.5820838,0.849627,1.1040413,0.6886442,1.1830858,1.1049637,0.82210267,0.86709774,0.9462056,1.3014345,1.4166726,0.39521176,1.056327,1.114256,0.7200199,0.6095836,0.74993014,1.0060176,1.1012641,0.9371096,0.6546295,0.75849885,1.0806223
carrot,0.8572489,0.7374297,1.0288092,0.7538682,0.91105956,1.0070732,1.162022,0.8907692,1.1070709,1.1263013,1.0522985,0.97086406,0.93034315,1.199029,1.1808369,1.1324291,1.0404263,1.0806768,1.133299,0.9281264,0.70739007,1.0146215,1.1080176,1.0591078,1.2841656,0.0,1.093845,1.1401575,1.1193706,1.1589394,1.0000646,0.89461,1.0998375,1.0056338,1.1210309,0.7463242,0.94499695,1.2022935,1.1063439,1.2340326,1.2612239,1.1448344,0.7604426,0.76546204,0.9729287,0.9715396,0.9996208,0.83879334,0.50261414,0.7268431,1.3263905,0.7830702,1.1615508,0.7321508,1.0164459,0.9109175,1.0181023,1.0802928,0.85585284,1.0003772,0.6046779,0.9789142,1.1647861,0.9920819,1.0486343,0.8183645,0.9243078,0.8916315,0.89622813,1.0795968,0.8761836,0.9298142,0.75300956,1.038174,0.874244,0.8158445,1.0583509,1.0024759,0.97989964,1.1125743,1.0075673,0.90696466,0.9012011,0.979146,0.9655466,1.1236818,0.7396362,1.0379215,1.2447491,0.9412472,1.3024664,0.91563594,1.259316,0.9613713,1.1755401,1.1482325,1.1131023,0.8766118,1.1105695,0.7581582,0.9435066,0.77135766,0.9389545,1.3237967,1.0849711,1.0291245,1.0011896,1.026021,0.9683219,1.2125595,0.7690509,1.1652956,1.0688599,0.90354633,1.2421228,0.5517764,0.6742694,1.1549481,1.1965616,1.1555455,1.1267029,0.98957545,1.0047302,1.2747618,0.9437119,1.1634095
cat,0.8893547,1.0134419,1.2372212,1.077054,1.1405717,1.1584697,0.9724051,0.91188926,1.0433413,0.7584208,1.1326406,0.90415996,0.94486874,1.1879236,0.7963561,1.0076473,1.0427204,1.2267534,1.2431843,0.9767204,0.9266466,1.122703,1.132639,1.1816933,1.1617453,1.093845,0.0,0.99967617,1.0123032,0.9866058,1.028174,1.0946419,1.0533979,1.0176505,0.72518086,0.9978979,1.2877858,0.8585474,1.2462878,0.36366302,1.015638,0.8429722,0.95389867,1.0385953,1.195137,1.0216333,1.0011501,0.90883714,1.1466694,1.0767359,1.0492033,0.9780679,1.1484263,1.0314312,0.9889337,1.1780295,0.8518783,0.8490125,1.0520165,0.94917595,0.9853948,1.0304906,0.5851908,0.89609027,1.0006175,0.9851585,0.85997134,1.0295588,0.9777216,1.2063701,1.1484817,0.9753402,0.8846495,0.9788035,1.0196699,1.254307,1.1104798,0.7595606,1.1336021,0.86181283,1.0281163,0.9058231,0.8916306,1.0941973,1.2587478,1.2095572,1.0301281,1.0219164,1.053856,0.9940191,1.0487711,1.09067,0.68472934,0.9147743,1.0178185,1.0406675,0.9009327,0.97034484,0.9007234,1.1092529,0.9311132,0.9730997,0.9983611,1.0382699,1.1607602,1.0058031,1.2295394,1.014395,1.0272754,0.94255686,1.1942139,0.68172103,0.89577055,0.8298702,1.1629568,1.1872435,1.1346568,1.1636779,1.1671118,0.9942304,0.95746386,1.0554899,1.0161515,1.048449,1.1905172,0.90194637
chair,1.2012589,1.0830127,1.0627154,1.117512,1.0020432,0.9568323,0.918758,1.0963111,1.1970613,0.9630131,0.77253497,0.8267423,1.2045851,1.0198693,0.97232544,1.1326652,0.8162754,0.851101,0.7630558,0.9754064,1.126313,0.7870114,0.78889596,0.57169265,0.7496557,1.1401575,0.99967617,0.0,1.1475034,0.973683,1.0694999,1.1115298,0.9660341,1.0431417,0.83490133,1.1702522,0.9477181,0.7832842,0.69463617,1.034272,0.80087715,0.7708529,0.8524035,1.1001642,1.0073484,1.2286471,1.1090996,1.1495692,1.1352534,1.180153,0.87710655,1.009341,0.99037147,1.1942704,0.9850982,1.004246,0.9430376,1.2336806,1.206343,1.1948149,1.1878548,1.043897,0.93592536,1.0349046,0.98282707,1.1168796,1.1836221,1.0052693,0.7550585,1.023971,1.0718712,0.9856216,1.286009,0.9632291,1.099196,0.9670827,0.7745483,1.1935457,1.0840712,0.80397004,1.1873108,1.1274565,1.0012978,0.7655759,1.030294,1.0239077,0.95290476,1.1181694,0.829823,1.0113422,0.81637526,1.1228957,0.84002805,1.0561918,0.9180825,0.8201299,0.79473656,1.2478923,0.9645682,1.1107603,1.1574092,1.1335385,0.8234338,0.91145325,0.9125974,0.9844845,0.8877389,1.1650428,1.0276778,1.0582255,1.0017002,0.85686576,1.0597645,1.0367593,0.7767639,1.1238406,1.1623102,0.9269932,0.8304056,0.7847997,0.86576486,1.2433853,0.8604631,0.64728427,0.9361253,0.95056176
