,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cookie,1.1685375,0.99643075,0.6766598,0.89398736,1.3658602,0.9692822,0.9879031,0.6507609,0.94995075,1.2063501,1.1680222,1.3481289,0.9873958,1.3717692,1.3870592,1.0975521,1.2882507,1.0182912,1.1118675,0.9028039,0.79480267,1.1180754,0.12029481,1.2569543,0.99735594,0.76591605,1.1777577,1.214865,1.0827453,1.3508646,1.2712095,0.468763,1.044586,1.3596696,1.2160791,0.93149287,1.3389305,0.0,0.7115511,1.2167928,0.21555531,0.88592684,1.4195112,0.8870014,0.8834897,0.81324995,1.2070589,1.0481147,1.2978003,0.9472289,1.2136123,1.06325,0.6012072,1.3399105,1.0712602,1.2305925,1.0860391,1.2388464,0.8148148,0.9584738,0.90752685,0.6987579,0.85031366,1.1523827,1.0853118,1.3363168,1.0099207,0.95390546,1.2346433,0.97695196,1.2478933,0.35232353,1.2812933,0.80749667,1.0209352,1.2109183,1.3959439,0.8123313,1.415858,0.71360534,1.0172703,0.8176304,0.91055626,0.63846475,0.9736549,1.30659,1.2661693,1.1115975,0.44745213,0.875813,0.86258096,1.100822,0.95837075,0.68116957,1.1452712,0.7296207,1.4327935,1.4425201,1.2629664,0.50505656,0.8679654,0.9318042,0.89753133,0.2344538,0.93451875,1.2788785,0.3052883,1.0883878,0.54964864,0.8989554,0.84703237,0.71818006,1.0065453,0.94612837,0.82723075,0.9738721,0.7527975,0.8937146,1.2928282,0.81106806,1.4272429,1.005712,1.3985314,0.99794716,1.3192092,1.2314452,1.2918208,0.8088196,1.1663635,0.48235118,1.2211508,0.89874053,0.70665693,0.98971796,1.1800417,0.8151522,1.1973788,1.4011806,1.1764886,0.61024576,0.97533953,0.9550182,1.0539302,0.9177854,0.8349551,0.89553124,1.1222912,1.1226528,1.1717432,0.78358567,1.3100867
corn,1.2067204,0.85002726,0.60887927,0.82737076,1.1920576,0.75639963,0.8835442,0.3002774,1.122282,1.2378567,1.1703453,1.4089214,0.8084518,1.2437538,1.1879274,1.0856404,1.3563632,0.96274877,1.1222174,0.92742187,0.740628,1.2022434,0.658173,1.1687145,1.0719922,0.84627324,1.1545656,1.1193745,0.7969253,1.1952118,1.2187895,0.98084295,1.0549186,1.3849834,1.1723983,1.0522387,1.2920983,0.7115511,0.0,1.2952769,0.7696941,0.69885933,1.4091138,0.91077536,0.7878445,1.0361642,1.2711928,1.0943055,1.3414096,0.9386766,1.1154395,0.7974412,0.6762339,1.286912,0.9226538,1.1566995,0.7986939,1.1961181,0.8564954,0.9351081,0.6349963,0.82281345,0.898923,1.1249241,1.1285855,1.3381258,0.85875624,0.8693581,1.1549611,0.74419963,1.1513582,0.9184065,1.0248771,0.83278227,1.1009169,1.0431701,1.3119192,0.93730116,1.2517142,0.84019065,1.1667509,0.91464823,0.9751583,0.72183514,1.0399822,1.231882,1.2032313,0.9286036,0.8294358,0.707926,1.0904025,0.9008009,0.80995774,0.65341634,1.2819455,1.0166626,1.2979428,1.2587477,1.2374474,0.74427724,0.76214373,0.72156435,0.7999355,0.5027826,1.0999016,1.3113732,0.8494148,1.1072565,0.95819765,1.0527123,0.84345686,0.657287,1.1286181,0.9994299,0.70403016,1.1328208,0.74335355,0.8812525,1.03626,0.7789905,1.2631427,1.1685174,1.2181467,0.97479165,1.3561361,1.2265342,1.0855588,0.7695569,1.129882,0.7259201,1.0323604,0.96538067,0.77812153,1.0210232,0.8927842,0.9621104,1.2372696,1.3033067,1.2568364,0.66935694,0.72051233,0.72042674,0.8957318,1.034176,0.7814123,1.0707016,1.0831579,1.2191815,1.107691,0.6876563,1.3229249
couch,1.0758995,1.1450069,1.3023317,1.2208999,0.83805275,1.2935164,1.1062621,1.3325428,0.6755805,0.90826666,0.9653115,0.5542807,1.2231275,0.69104046,1.0336828,1.0814507,0.61395025,1.0208663,0.98651487,0.9275169,1.054357,0.8614229,1.2871425,0.8102597,0.8308544,1.2269627,0.68407226,0.8985876,1.2380067,0.90956175,0.4365633,1.0218889,1.0825049,0.56383854,0.9059026,0.88673884,0.79347295,1.2167928,1.2952769,0.0,1.2300878,1.307807,0.5424701,0.970435,1.067312,0.920781,0.9217308,0.97246975,0.4978873,0.94890136,1.0561872,1.2828782,1.271246,0.7621342,1.2794212,1.0735373,1.2374161,1.0000081,1.2281752,0.9280181,1.3093852,1.0299727,1.2297107,1.0725427,1.0620086,0.7222141,1.269075,0.99405116,1.0271623,1.3310738,1.0285802,1.1670241,1.0818869,1.007367,1.0399898,0.8946763,0.8242758,0.95460856,0.83073515,1.0314502,0.67278636,1.0837594,1.1012452,1.1387105,0.87148124,0.97101665,0.84295607,1.1108272,1.2416314,1.3355942,0.7633039,1.086159,1.2090832,1.2775154,0.67027295,0.94737506,0.86924994,0.7058344,0.962362,1.03319,1.2040068,1.2836878,1.1583909,1.326066,1.0548766,0.5549033,1.1985385,0.8272686,1.1338739,1.0706034,1.0166847,1.2066009,0.7181783,0.89906263,1.2930856,0.57821214,1.0921123,1.1437631,1.0462993,0.9544419,0.8698139,0.9412907,0.78428966,1.0211445,0.6063173,0.84150165,0.89900315,1.249817,0.97149813,1.1168082,0.88515776,1.064988,1.1142739,1.0809523,1.016691,1.1744874,0.8271547,0.79026616,0.8062035,1.2664034,1.3048385,1.2822418,1.1459017,0.76953804,1.1160887,0.8610345,1.0529609,0.74266374,0.6041517,1.2469524,0.6572537
cracker,0.9687024,1.0166287,0.93457466,0.76087755,1.1672138,1.083259,1.1397674,0.7662723,1.023036,1.1193773,1.089989,1.1932139,1.116811,1.2189876,1.1186349,1.0612109,1.1221482,0.8202544,0.91189915,1.0666571,1.05478,0.932567,0.40131927,1.1471845,1.0969998,0.7593475,1.1941385,1.1644781,1.0544388,1.2646451,1.2806227,0.4130391,1.1193513,1.2411948,1.234805,1.0135249,1.1086879,0.21555531,0.7696941,1.2300878,0.0,1.0505776,1.2259449,1.0905757,1.0941474,0.7739627,1.1100501,0.9866295,1.2332466,0.99488974,1.2375938,0.99967456,0.8869392,1.343505,1.0809859,1.154436,1.0010618,1.1418636,0.92783266,1.0126346,1.0169115,0.9138394,0.86973715,1.0114247,0.8453278,1.2414234,1.0309633,0.94950235,1.1522391,0.89040536,1.1179113,0.51024216,1.0518304,1.0918193,0.98675776,1.0717387,1.3034633,0.88846034,1.2926364,0.908411,1.0336465,1.064847,0.8173901,0.76086843,1.058502,1.1026998,1.1420821,1.0396457,0.523507,1.0841179,0.9122778,1.0845188,0.9700904,0.89563346,1.1180644,0.8859804,1.2312727,1.362875,0.9732165,0.6286357,1.0663383,1.0654594,0.9697352,0.46812117,0.9243573,1.1232078,0.4267462,1.0784354,0.66468376,0.8471625,0.9594654,0.9559874,1.0420922,1.0316277,1.0652401,1.0453465,0.87980384,0.85671806,1.1825997,1.0209082,1.3303555,0.9113434,1.3135847,1.0506591,1.2583342,1.1873447,1.0896304,1.0165147,1.1362107,0.70815736,1.1268566,0.83946437,0.9479591,1.1227772,1.093564,0.8737444,1.1001961,1.3197632,1.0636563,0.9125973,1.029192,0.9852313,1.1432295,1.0324775,0.9014398,0.7832089,0.97080415,0.9786644,1.1588848,0.98657936,1.2346131
crayon,1.2664092,0.88819915,0.4050491,1.1377308,1.4581547,0.8218702,0.66391927,0.5138408,1.0106438,1.378998,1.2079183,1.4942136,0.21380955,1.12226,1.441648,0.9636899,1.4532394,1.2151022,1.1214856,0.5478889,0.4004324,1.3000624,0.66969067,1.0444876,0.94511485,0.94742215,0.8789413,0.99602556,0.4773876,1.1770738,1.0236312,1.2853092,0.989617,1.4367299,1.1613952,1.11254,1.3564339,0.88592684,0.69885933,1.307807,1.0505776,0.0,1.5697953,0.45110327,0.4491799,1.2791944,1.3823375,1.1718345,1.3914435,0.82469964,1.0257932,0.61437243,0.5992072,1.159558,0.8377558,1.2396159,0.87617856,1.1470404,0.5943997,0.91363657,0.54916835,0.5872544,0.7523854,1.1756896,1.1982473,1.4318211,0.6519337,0.7893626,1.0517784,0.6043937,1.2865672,1.0292264,1.3246663,0.42104518,1.037066,1.1145712,1.4354041,0.8553982,1.3398316,0.551788,0.89273083,0.57104206,1.1663359,1.0227146,0.88537693,1.4334943,1.2232786,1.1056229,1.0770944,0.23838973,1.0414884,0.72367084,0.7780925,0.30459666,1.3555303,0.9418165,1.4907901,1.4126582,1.4516424,0.91912663,0.10705006,0.08237171,0.9045703,0.62683743,1.1465243,1.2352418,1.0182059,1.227148,0.9951949,1.064981,0.9852042,0.5978594,1.093172,0.87898463,0.68426716,1.1253535,0.7300589,1.0937464,1.1088034,0.6316824,1.4054301,1.1610467,1.3379843,0.85465616,1.4805349,1.3006412,1.2117426,0.38218558,1.00758,0.55226386,1.1044742,1.3168864,0.493486,0.5858867,0.98137665,1.048394,1.3298669,1.4664187,1.4273567,0.4194135,0.585259,0.5360677,0.31014943,0.7653016,0.5460995,1.3725886,1.2064648,1.3695376,0.912322,0.35309327,1.3816459
crib,0.75180745,1.3696122,1.5906261,1.0555445,0.54806983,1.2650735,1.3194659,1.492472,0.9141903,0.31553805,0.8307553,0.2615463,1.5376618,0.56405395,0.5995866,1.0887482,0.36069596,0.8270842,0.79591405,1.3305562,1.4289398,0.6455101,1.5549712,0.77511495,1.0935861,1.2653219,0.91358036,0.8346524,1.365807,0.66671526,0.7883779,1.0283977,1.0572244,0.35287154,0.80387026,1.0283751,0.3945179,1.4195112,1.4091138,0.5424701,1.2259449,1.5697953,0.0,1.35905,1.4134296,0.8421542,0.73316664,1.006349,0.39833724,1.0318388,0.9069241,1.4019873,1.5303912,0.61321014,1.1781199,0.78274083,1.3118055,0.7606761,1.4424098,1.1910447,1.4906564,1.4238293,1.3149924,0.80777454,0.8210957,0.28468347,1.3377372,1.3297822,0.79247224,1.3217967,0.7892846,1.2392486,0.8807624,1.5065179,1.097007,0.7532987,0.5407766,1.193378,0.56642413,1.3807509,0.91871566,1.3371565,1.025611,1.341112,1.0626755,0.71949947,0.54589856,1.0049461,1.3047717,1.5615847,0.97249454,1.3118775,1.3590355,1.5503778,0.5324443,1.1605488,0.51308703,0.5367609,0.49585062,1.274795,1.5175543,1.5797577,1.2229948,1.5688304,1.1283039,0.47293812,1.2537706,0.85815114,1.1151409,1.185699,1.3245072,1.514888,0.977344,1.0960677,1.4690511,0.8628297,1.4209019,1.084513,0.855524,1.4196588,0.5552074,0.96370375,0.64698446,1.086401,0.251929,0.57146156,0.6048308,1.4901613,0.8834353,1.3882542,0.89567494,0.85678387,1.4989729,1.256412,1.034085,1.2330629,0.60964537,0.507712,0.4737308,1.5758047,1.4897172,1.4629111,1.358646,1.0910221,1.321924,0.67443025,0.7921721,0.58298326,0.9091686,1.578024,0.39348269
cup,1.4120985,1.0170586,0.59952116,1.1551278,1.3904136,0.9297917,0.58888555,0.78060657,0.8048462,1.2503848,1.3167553,1.4210641,0.54190606,1.1756337,1.5261862,1.0954627,1.411393,1.2240316,1.1474885,0.13197827,0.31538832,1.0946294,0.7743648,1.0469518,0.28421313,1.0122968,0.600591,1.0544591,0.85006046,1.3216941,0.89538413,1.1097658,0.9488158,1.258379,1.1524601,0.6372756,1.4082134,0.8870014,0.91077536,0.970435,1.0905757,0.45110327,1.35905,0.0,0.5790533,1.0567814,1.4179472,1.142653,1.1282845,0.9311111,1.2121098,0.86007994,0.58536196,1.2275033,1.177042,1.3538686,1.0919366,1.080154,0.8729006,0.72284395,0.80236787,0.6154967,0.9846495,1.2100317,1.2849929,1.0784843,0.9903718,0.8640806,1.2538021,0.9231774,1.3889961,1.0526513,1.3548288,0.58521926,1.0445361,1.1821623,1.4000747,0.47826314,1.4351637,0.6416955,0.571473,0.5352935,1.1593273,1.001318,0.46531892,1.470105,1.3171968,1.1924279,1.0785855,0.61627275,0.82993484,0.8568949,0.8933084,0.60080886,1.0512508,0.78373486,1.4810073,1.4177705,1.458154,0.935832,0.48053932,0.5347446,0.9978427,0.7384763,1.089562,1.2881367,0.9869578,0.8499249,0.8927596,1.0689446,0.94365376,0.7661221,0.8039494,0.6873082,0.8466862,0.7370528,0.6708925,0.988824,1.2239395,0.62128556,1.442771,1.1493728,1.3466543,0.6630846,1.2258102,1.0582719,1.2932843,0.7321391,1.0723017,0.48805976,1.094172,1.0971689,0.5058361,0.50280267,1.0947951,1.0859377,1.169989,1.4372594,1.2359016,0.5388887,0.8782115,0.82698566,0.41493136,0.61759067,0.68823755,1.1122042,1.2320461,1.1965774,0.6184098,0.62586963,1.2000959
deer,1.1655095,0.9108726,0.60461867,1.1386757,1.3873479,0.95193106,0.81526566,0.7041922,0.9181171,1.3850124,1.1104088,1.3817539,0.50497895,1.2056422,1.334779,0.8961268,1.3272166,1.3091938,1.1468308,0.6122023,0.5791415,1.2095064,0.6836374,1.0930392,0.9165368,0.96675396,0.8769239,1.0339103,0.6502999,1.1986836,0.88887167,1.2086313,1.0595239,1.3420727,1.1107817,1.0647043,1.3810952,0.8834897,0.7878445,1.067312,1.0941474,0.4491799,1.4134296,0.5790533,0.0,1.2436448,1.0991416,1.0020913,1.2479517,0.8717786,1.0474313,0.769824,0.672442,1.2119097,1.0004226,1.2933604,0.95671016,1.196007,0.5897041,0.95594215,0.5872473,0.74086684,0.74335563,1.1433579,1.1035035,1.3767014,0.86138403,0.73756903,1.1564817,0.8557829,1.3000691,0.99549603,1.2859219,0.49518478,0.651304,1.1928763,1.3266084,0.85535437,1.2889289,0.802064,0.93632025,0.7336275,1.136371,0.9237261,0.9295919,1.2969711,1.2508099,1.1341002,1.062238,0.5385497,0.978919,0.79905736,0.9136786,0.54104966,1.2718112,0.90743315,1.3765243,1.2449356,1.4205229,0.78516847,0.42218298,0.48219532,0.87542635,0.73096615,0.8895361,1.2004337,1.0332121,1.1413274,1.1108872,0.7977673,0.80680704,0.5819532,0.85278594,0.8200707,0.77902126,1.0040658,0.7169252,1.149331,1.1355556,0.63706315,1.304602,1.1256077,1.146063,0.9968716,1.3750485,1.3167286,1.3247082,0.44222546,1.0809002,0.66979074,1.1064839,1.3292009,0.73867035,0.8224038,0.99719304,0.93554264,1.1556582,1.3045729,1.4313631,0.61497104,0.71727216,0.7005583,0.5950914,0.7304932,0.6852587,1.359475,1.1105257,1.2212424,0.86485505,0.56194776,1.2509009
dish,1.0715814,1.2212472,1.1492014,0.9737901,0.93518186,1.0275989,1.0606904,1.0034263,1.0234126,0.7710275,1.062365,0.87650377,1.307245,0.8945186,1.0355463,1.1640781,0.87540627,0.78687227,0.9033635,1.0728943,0.9187012,0.8281503,0.91926056,1.1389432,0.8645805,1.0972236,0.9447796,1.0759486,1.2921127,1.2166439,1.0994945,0.58293885,0.90729123,0.8819761,1.1073319,0.7881639,0.9052835,0.81324995,1.0361642,0.920781,0.7739627,1.2791944,0.8421542,1.0567814,1.2436448,0.0,1.1141555,1.03945,0.8968247,1.1098882,1.1987569,1.2608954,1.0595138,1.1590049,1.2148064,1.0298457,1.1738025,1.0381068,1.2507579,1.0524057,1.2675049,0.9574295,1.2475922,0.9728097,1.02686,0.8722502,1.2707351,1.1305355,1.1644299,1.1537768,1.0470934,0.86915296,1.0019394,1.3303566,1.0930386,1.1234112,0.99037516,0.91196674,1.0584775,0.90450543,0.9375524,1.1109279,0.93485737,0.8150233,0.8329595,1.0051123,1.0381753,1.028075,0.9384387,1.3027868,0.7769023,1.2343941,1.1044757,1.1886128,0.7221402,1.1254553,0.9942226,1.0677359,0.85161173,1.0554558,1.302451,1.293793,0.98943603,0.99358505,1.0060321,0.9416818,0.8354847,0.9154412,0.5400113,1.0410554,1.0328671,1.2018504,1.0993943,0.98931885,1.1951139,0.9317605,1.190966,0.87391114,1.0469104,1.2556303,1.0319268,1.045647,1.0520281,0.79080904,0.86285216,0.70100456,1.0945059,1.3289328,1.1047628,0.69419396,1.0020703,0.6782315,0.9947833,1.061489,1.0937442,1.0352771,0.96002126,0.9979326,0.7872243,1.0855649,1.2892778,1.2489909,1.1542094,1.0578238,1.1470008,0.10366899,0.983417,0.8408276,1.134152,1.3645725,0.9079199
dog,0.3274749,1.1890595,1.3100715,1.110984,0.8952141,1.0237529,1.1967757,1.3733113,1.0763897,0.9243582,0.49627703,0.7609819,1.3870158,0.97879905,0.654256,0.8263097,0.79325557,0.9859475,0.8991024,1.3873069,1.4703639,0.9452499,1.2995572,0.9467306,1.284147,0.8102617,1.2707288,0.8046011,1.2488927,0.50100446,1.1344432,1.0493441,1.0742211,0.81166875,0.8800546,1.1842148,0.7701777,1.2070589,1.2711928,0.9217308,1.1100501,1.3823375,0.73316664,1.4179472,1.0991416,1.1141555,0.0,0.7338027,0.8451811,1.2678416,0.8815412,1.3581047,1.3472904,0.7404322,1.0880389,0.77451295,1.2746398,0.8508969,0.8740125,1.111627,1.3538309,1.3328991,0.7510071,0.8600507,0.662161,0.8116137,1.2121637,1.0898249,0.64300853,1.1155869,0.7196724,1.0995971,0.99538344,1.2185885,0.48471648,0.89199144,0.82693124,1.2142245,0.72219604,1.3711042,1.2446568,1.2611206,0.87689644,1.235721,1.2324686,0.6171349,0.6239724,1.0788549,1.019435,1.3294069,1.2044603,1.230387,1.312444,1.2904694,1.0323055,0.78979313,0.66994846,0.74007106,0.6656412,0.9038451,1.3188852,1.4066274,0.9418319,1.292984,0.5828208,0.9167196,1.0760226,0.9778173,1.280725,0.43492454,1.273524,1.310562,0.9887712,1.2117276,1.1194452,1.1222812,0.9929445,1.0889858,0.9321694,1.1318973,0.76319826,0.9169501,0.88450056,1.2408705,0.803306,1.0587199,0.7929175,1.1765256,0.83202064,1.3943536,1.0676212,1.0188293,1.3754696,1.2634741,0.8722891,0.8813662,0.6746817,0.75203615,0.82730776,1.3376491,1.3240312,1.2859852,1.3292565,1.2554555,1.0683578,1.1097517,0.84734714,0.83240247,1.1173158,1.2503107,0.83635986
doll,0.875194,0.9385817,1.0708239,1.0413687,1.0074189,0.9976061,1.0593176,1.0681611,0.92837757,1.1696017,0.87827265,0.9191675,1.1954819,1.1893297,0.48050427,1.1535714,0.90200156,1.1103554,0.8567687,1.108943,1.1841282,0.9989213,1.0639693,0.9445393,1.0232819,0.7878517,1.2520958,1.0145912,1.1513046,1.0895056,1.1254022,1.0012608,0.98742396,1.0234431,1.0996555,0.89693904,0.99499565,1.0481147,1.0943055,0.97246975,0.9866295,1.1718345,1.006349,1.142653,1.0020913,1.03945,0.7338027,0.0,1.1402496,1.1921955,0.9510603,1.1730018,1.0660224,1.1047236,1.1184182,0.93711543,1.0570188,0.98482746,0.99189425,0.97108346,1.076561,1.1042912,0.8471019,0.7946925,0.86671376,1.0922552,1.0583508,0.82581604,1.0825003,1.0254346,0.95837563,0.9444017,0.9515977,0.952522,0.8362355,1.1005288,1.0162548,1.0284791,0.673171,1.1470381,1.1938362,1.1591923,1.024667,0.91975605,1.1972685,0.70145714,0.91406196,1.1012712,1.0116752,1.1577841,1.1912961,1.0382206,1.1427858,1.0753686,1.1033988,0.90814507,0.49177277,0.9984687,0.9939827,0.9065628,1.1794206,1.1640949,0.717002,1.092578,0.8535427,1.0809809,1.035293,0.9854727,1.1977718,0.76690733,0.9056454,0.9955782,0.94988275,1.1141248,1.0816925,1.0062484,0.84822536,1.1690972,1.0582517,0.90567315,0.9833659,0.7687428,0.9926807,0.98313683,1.156708,1.1562883,1.0430447,0.99924445,1.0683074,1.1590232,0.93987435,1.151681,1.1289299,1.0942384,0.99019516,0.58587897,0.8827342,0.8931371,1.1213562,1.0855786,1.0481579,1.1461983,1.105934,1.1951805,0.6776036,1.0413086,0.897904,0.9214783,1.0181129,1.0156538,1.1133955
door,0.9626671,1.1899538,1.4012601,1.1017456,0.6752931,1.2580583,1.1917312,1.465223,0.9560275,0.7185212,0.96761423,0.6271269,1.3089769,0.7310091,0.9169423,1.1472692,0.7638994,1.0174665,1.0525604,1.0991427,1.3435495,0.8862141,1.3820809,0.7312949,1.0110422,1.242334,0.76490235,0.8652141,1.282291,0.74724895,0.6355114,1.0015253,1.0573523,0.4099239,0.82799625,1.0275432,0.7187846,1.2978003,1.3414096,0.4978873,1.2332466,1.3914435,0.39833724,1.1282845,1.2479517,0.8968247,0.8451811,1.1402496,0.0,1.0160716,1.0455918,1.1487641,1.3589091,0.71022534,1.171452,0.79339075,1.1878715,0.88976914,1.3720582,1.0258132,1.3261211,1.2610934,1.3528469,1.0389066,1.0568397,0.46039122,1.2159498,1.2802066,0.83842087,1.3656894,0.72993976,1.1759068,0.88894475,1.2926116,1.1332242,0.74180967,0.6595757,1.0627589,0.7952296,1.2319393,0.6680746,1.0816346,1.0495427,1.2840493,0.9091836,0.9175307,0.79293764,1.024319,1.2690895,1.3477757,0.9800302,1.2108458,1.1253173,1.3496436,0.5731871,0.96732634,0.7901758,0.65594304,0.7816454,1.1476682,1.3279757,1.3810956,1.1858692,1.4229426,1.1756694,0.77651596,1.1586035,0.82052886,1.0879164,1.162673,1.2012899,1.3313706,0.9406667,1.0340073,1.34633,0.6559596,1.2507175,1.171518,0.8902827,1.2341628,0.6983043,1.1094722,0.73799086,1.0709038,0.19418013,0.7683457,0.7867393,1.379899,0.88869905,1.3206735,0.9364828,0.98591083,1.3367906,0.9867525,0.9222396,1.2095795,0.8160598,0.6977892,0.6023356,1.4745333,1.2908448,1.3468819,1.1470375,1.012936,1.4120748,0.85927874,0.9532471,0.7149022,0.7634827,1.3705077,0.2285456
drawer,1.1264904,0.8592209,1.0119652,1.012146,1.0801649,1.0169652,1.050513,0.80005956,0.8763824,1.0592328,1.1474423,1.1655312,0.80684197,0.8442257,1.1914657,0.9365784,1.1365843,0.89626867,1.0375485,0.91029024,0.8483137,0.8186401,0.90454066,0.78306115,0.98103344,1.0284307,0.69948477,0.9622033,0.6858908,1.1741636,0.72897667,1.1658161,1.0495049,0.9931137,1.0216897,1.0914798,1.1277866,0.9472289,0.9386766,0.94890136,0.99488974,0.82469964,1.0318388,0.9311111,0.8717786,1.1098882,1.2678416,1.1921955,1.0160716,0.0,0.98001707,0.7580064,1.0505794,1.149971,0.8035995,1.1390123,0.8199624,1.1959676,0.8395431,1.0527415,0.8381299,0.8931912,0.8036072,1.1321093,1.0307037,1.1855354,0.88458353,1.0436413,1.1765597,0.9292755,1.1232376,1.0809523,1.0389992,0.89823425,1.06489,0.8187741,1.21804,0.9661544,1.1543208,0.7719039,0.69829273,0.983898,1.2222865,1.0460135,1.0515306,1.101914,1.1663786,1.0306169,1.0145094,0.93713534,0.9976025,0.8624259,0.9743928,0.97439,0.95689374,1.1076227,1.2528708,1.0773647,1.1771914,0.9536231,0.8254459,0.7132311,1.0708884,0.8846185,1.0492246,0.9270756,1.1400192,1.0682195,1.0611144,1.1386824,0.96729004,0.8786615,0.7757099,0.72195077,0.89477015,1.006047,1.1034521,1.00716,1.0540726,1.0179459,1.161479,1.0142276,0.9944078,1.0529004,1.1019728,0.9513618,1.046282,0.7651391,1.0758168,0.92685145,1.0219696,1.2015861,0.8513973,0.86683285,0.97883594,1.0550156,1.0497239,1.1820278,1.1668943,0.81734747,0.8393128,0.81701887,0.94889146,0.84297204,0.9210741,1.01207,1.0790938,1.0729268,0.72804344,0.9035308,1.1260991
dress,0.9530749,0.8327832,1.1304741,0.92986584,0.7984925,1.008527,1.2190998,1.1120796,1.2083597,0.9185412,0.9921508,0.9131384,0.9731599,0.9978551,0.7989387,0.9476112,0.95365477,1.1665819,1.1308959,1.162492,1.1840032,1.1754954,1.1652327,1.0547093,1.2868924,1.259173,1.1068196,0.8445556,0.8756779,0.8140867,0.9343617,1.2160922,1.0386405,0.9085899,0.74418294,1.1932166,0.9735468,1.2136123,1.1154395,1.0561872,1.2375938,1.0257932,0.9069241,1.2121098,1.0474313,1.1987569,0.8815412,0.9510603,1.0455918,0.98001707,0.0,0.9209579,1.1585728,0.780635,0.7417862,0.7039243,0.84090185,0.83527446,1.0324616,1.1744288,0.9140884,1.2739506,1.0936744,0.97001964,1.0170939,0.97189367,0.78465533,1.0068146,0.93529195,0.9793239,0.6859008,1.102963,0.89145154,1.0405784,1.0399164,1.0228049,0.62131,1.2214079,0.5732614,1.2533581,1.1816149,1.1994733,1.1242565,1.1933377,1.1698066,0.87727576,0.77216786,0.9531955,1.1759276,0.9240828,1.1444874,1.0562756,0.9795821,1.0183828,1.1058612,1.1476544,0.71582997,0.52651155,0.9701143,1.0350565,1.0007803,0.99401754,1.0547049,1.147268,1.104234,0.9407193,1.1946286,1.092226,1.218018,1.1612083,1.0127169,0.9746888,1.1917639,1.2426759,1.030377,1.1319224,1.2733958,1.1080623,0.7803098,1.2111062,0.5058614,1.1182516,0.6093836,1.2202103,0.9448304,1.0431443,0.9362905,0.80553377,0.8885062,1.2304374,0.96106035,1.1804585,1.273971,1.1405634,1.0693808,0.96154445,0.91283613,0.49513167,0.8849561,1.1378235,0.81941956,0.974216,1.0746981,1.1074028,1.1452066,1.1900696,1.0988637,0.9929696,1.1656897,1.0068737,1.002508
ear,1.247189,0.4444008,0.8248464,0.81173354,1.0573708,0.95563924,0.9644465,0.81543756,1.2343593,1.3286633,1.157712,1.4269257,0.43693984,1.139399,1.104856,0.8958301,1.3768375,1.2603121,1.328088,0.9050931,0.92774284,1.2784935,0.9144168,1.0037698,1.1110915,1.1569004,0.9646329,1.132253,0.40450954,1.0963649,0.80331284,1.1815913,1.1679173,1.3110989,0.9715502,1.2153499,1.2780108,1.06325,0.7974412,1.2828782,0.99967456,0.61437243,1.4019873,0.86007994,0.769824,1.2608954,1.3581047,1.1730018,1.1487641,0.7580064,0.9209579,0.0,0.8109998,1.1475738,0.61635065,1.003857,0.32533437,1.163767,0.8461335,1.0229951,0.37598628,0.977403,0.99858624,1.1623621,1.0920972,1.352066,0.50855064,0.70925987,1.0584137,0.7453959,0.8863187,1.1525428,0.67865056,0.76020044,1.1039641,0.9956471,1.1458908,1.0502435,1.134559,0.96877086,0.965066,0.90180945,1.1241733,0.9466835,0.96664286,1.0553493,1.309418,0.79860854,1.0782678,0.5316984,0.9821486,0.6584549,0.47334862,0.7098214,1.2892002,1.1278642,1.2372656,1.0609835,1.3444401,0.91105443,0.67527235,0.50774336,1.0370317,0.8291242,1.0989428,1.1738803,1.2436988,1.1747738,1.2104654,1.1667684,0.6962654,0.57655907,1.082485,1.029163,0.88663286,1.2002509,0.99733126,1.0790802,0.96421653,0.94027907,1.084528,1.0948054,0.91210544,1.088649,1.3010554,1.2295448,1.1485062,0.65629244,1.0050193,0.9790773,0.93026483,1.2847373,0.92061055,0.66946554,0.8950358,1.0293636,1.3130809,1.2060039,1.4055989,0.90742224,0.27583492,0.47300065,0.6913498,0.834172,1.0760384,1.3644629,1.148103,1.2475506,0.97984993,0.6804018,1.215955
