,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
cookie,0.8433778,0.92474926,0.82301855,1.2934092,0.95286727,0.8389826,0.9778263,0.8871918,1.1543329,0.8409908,1.0318906,0.62665963,1.1730465,1.2795804,0.87467843,1.1317964,1.0965999,0.78454065,0.9068766,0.67417514,0.8899782,0.535219,0.967684,1.0132614,0.7550086,0.70549065,1.0193323,0.7356883,0.8659196,1.1882842,0.51523906,0.7454653,1.1159039,1.0640345,0.73996973,1.0906707,0.0,1.2620698,0.85934734,0.73687696,0.8897338,0.82928735,1.2896566,1.301829,1.1170425,0.8650934,1.2673085,0.94289464,0.7523023,1.2533929,1.2678556,0.8940129,1.2170242,0.89214945,1.2139428,0.88084984,0.70502716,0.79495096,1.1805452,1.0280889,0.9014873,1.054177,0.705373,0.86734164,1.3013511,1.0912714,1.1959232,0.8661692,1.0091851,1.2744324,1.3211719,1.2965703,0.902356,1.2105519,0.89514244,1.2529395,0.77886516,1.1736606,1.1341437,0.7480169,1.0122393,1.210177,1.1622062,0.7858062,0.8718111,0.6392498,0.7676436,1.0000225,0.71973705,1.0429567,1.2300389,1.3438401,1.1705775,0.97944385,0.7680673,0.7142569,1.0628977,0.7067742,0.6781692,1.0141675,0.54827744,1.2919245,0.9990667,1.1087196,0.94094193,1.2616055,0.9608947,1.1198455,1.1441202,1.0288665,1.1596508,0.9750517,1.3401152,0.9587367,1.1980939,0.68570966,1.3017796,0.9400771,1.3533715,0.8249057,1.2772996,0.5231661,0.94603044,0.63765275,0.7016723,1.0431744,0.83536047,1.4080756,1.2441444,1.2193861,0.7070797,0.9285056,0.9221545,1.1179472,0.7046863,1.1577983,0.906332,1.1296579,1.1004893,0.9556145,1.1389514
couch,1.1451614,1.1156237,1.4606622,0.6480517,1.247705,1.2673969,1.2324803,1.0618142,0.5462054,0.96806693,0.5596118,1.3163989,0.182271,0.7977048,1.2973614,0.41844642,0.8947727,1.2927425,1.5078764,1.4596845,0.83065885,1.2114091,1.0144856,1.18237,1.4127085,1.229785,1.0330187,1.279784,0.7711942,0.39732194,1.4320326,1.1927173,0.75936043,0.9430079,1.0640426,1.0714855,1.2620698,0.0,1.0632613,1.5152304,0.6512881,1.4757075,0.6006809,0.97235423,0.84316343,0.76649714,0.77925813,1.2743781,1.368284,0.5966806,0.7586253,1.3839203,0.84136283,1.119248,1.1391083,1.1792071,1.4866216,1.3404529,0.99492276,1.0285312,1.4142945,1.1561704,0.9936188,1.296395,0.7320404,0.93565136,0.91891235,1.4833547,1.0703963,0.70249176,0.59665066,0.7265345,1.3060825,0.4847393,1.3055118,0.61342084,1.1663297,0.77862704,0.8734063,1.4418089,1.0853832,0.7587325,0.9060401,0.995535,1.5304701,1.0851802,1.4535009,1.1951576,1.5014778,0.7417419,0.7531851,0.5957191,0.55376416,0.84541184,1.4619596,1.4571356,0.90705556,1.0813774,1.2715083,1.2302197,1.4013755,0.6895298,1.4121777,0.9440034,1.0960404,0.81399107,0.9080452,0.8810129,0.7546444,0.89333093,0.7004202,1.1397989,0.5337177,1.1984229,0.66867894,1.415857,0.5701256,0.84917337,0.4426694,1.4486307,0.7103121,1.2370399,1.0930694,1.0360862,1.3228652,1.0557245,1.1733558,0.689258,0.6062924,0.44431716,1.4458084,1.3878093,1.2592925,1.2487959,1.0846323,1.1185161,1.088756,1.0440606,0.98891574,1.3867676,0.7699265
cracker,1.0063212,1.1733173,1.2024622,1.0284206,1.1400896,1.146903,0.77993155,1.0750747,0.87180287,1.062184,0.9649795,1.1603498,1.0368882,0.9860251,1.1046481,0.83860075,0.9938762,1.0864019,1.117891,1.1625661,0.9613832,0.44630116,0.82193184,1.0449802,1.1516329,1.2351284,1.1793482,1.1140046,1.0671995,1.1652691,0.66127753,0.97780466,1.2311009,0.9599989,1.0217059,0.8708682,0.85934734,1.0632613,0.0,1.1016932,0.9644546,1.1274186,1.0638844,1.0999216,1.1065031,1.1040113,1.0513157,1.0843524,1.0706362,1.0604755,0.9878641,1.1415426,1.0731415,0.95718765,1.074357,1.175235,0.97950697,1.0437474,0.9874753,0.97308236,1.2030007,1.06761,1.0431045,0.8297857,1.0058165,0.9087735,0.99066263,1.2592413,1.0019975,1.0973548,0.88959044,0.935073,0.81478894,1.1086026,0.93238455,1.0975415,1.0345398,0.9013142,0.7907857,1.0547497,0.9416088,0.8726002,1.1505876,0.9558202,1.1659597,0.73744357,1.1816797,1.0977666,1.1887486,1.0162482,0.79160786,1.0274622,1.0936345,0.8495686,1.0669577,1.0385898,0.9253519,1.1635835,0.3906306,1.0102723,0.94532466,1.0595247,1.0738502,0.99927527,1.1244786,1.0791708,0.8911254,1.1328869,0.6501592,0.7483417,0.9662477,0.9878761,1.0367151,1.0256406,1.1325351,1.0690218,1.0466245,0.9412022,1.0064734,1.2203155,1.0497577,0.9774866,1.0399333,0.81428874,0.9515526,0.9664401,0.87812054,1.1467214,1.0625087,0.92412657,1.194536,1.1249586,0.87733746,0.9506621,0.7640181,1.0915223,1.0244591,1.096279,1.1663665,1.181747,1.0631245
crayon,0.94515204,1.008733,0.2688855,1.4709723,0.74274933,0.5490241,0.9482205,0.7624843,1.4593675,0.87930906,1.2958081,0.29047287,1.4862279,1.4670177,0.80795205,1.5601935,1.1053485,0.60140264,0.25227082,0.22209239,1.1418407,0.9720903,1.0378717,0.844688,0.5572572,0.4448223,0.8565794,0.70452034,0.958835,1.3689036,0.7746242,0.9413889,1.1690292,1.1493068,0.9390729,1.0033756,0.73687696,1.5152304,1.1016932,0.0,1.1967225,0.26150578,1.4743447,1.25546,1.213028,1.0246578,1.3892363,0.80132234,0.66031396,1.4580904,1.3228719,0.62797546,1.279988,0.89326084,0.95071155,0.878652,0.5223614,0.73194873,1.1244531,1.2950733,0.32285357,0.9029629,0.86100584,0.8117684,1.3982767,1.2236459,1.2663195,0.43024313,1.0938133,1.3767376,1.3703039,1.2835917,0.88240045,1.4362673,0.59026027,1.2643495,0.92811036,1.3229951,1.3454875,0.45198363,1.1023607,1.4521309,1.2135973,0.9015988,0.31842297,1.0657578,0.48952907,0.87084,0.38690722,1.2464641,1.386967,1.521389,1.435458,1.2848327,0.043874502,0.07054174,1.212797,0.6646068,0.9924699,0.8145839,0.44295454,1.4541218,0.6044533,1.1865623,0.7603874,1.3111105,1.090433,1.2588192,1.3170944,1.3033912,1.3369328,0.89081913,1.5371213,0.89716035,1.3549862,0.5963739,1.2652564,1.0634221,1.3961232,0.2051022,1.2808113,0.4250437,0.93408734,1.1319765,0.82188976,0.61911684,1.0239408,1.4072866,1.344266,1.5208337,0.5007025,0.5471058,0.69614804,0.74939203,1.0740982,0.9437775,0.96655566,1.0739255,0.82128507,0.20603979,1.1539323
crib,1.0127919,1.1488707,1.2770003,1.0000981,1.2205646,1.1616852,1.194555,1.0083483,0.65111923,0.86241686,0.09791827,1.0414231,0.6001479,1.0235294,1.0632017,0.7010286,0.89395756,0.96648484,1.2765062,1.1567589,0.73155934,1.0011814,0.8844106,1.1116158,1.0985436,1.0830756,0.8595969,1.1239074,0.79555094,0.79120797,1.0697554,1.0621511,1.032778,0.9766767,0.9438957,1.0140461,0.8897338,0.6512881,0.9644546,1.1967225,0.0,1.2262442,0.95185584,1.251169,0.9935088,0.80339086,1.0620675,1.2685465,1.2806377,0.85555786,1.0178958,1.3374856,0.9890939,0.88968754,1.2031815,1.1165395,1.019486,1.0328674,0.94879687,0.8269596,1.3397504,1.18151,0.77425635,1.0312713,1.0231031,0.9199813,1.087841,1.352948,0.95305604,0.9450826,0.7838532,0.89384544,1.1670693,0.8752858,1.0619069,0.88180864,0.94170856,1.0261616,0.9214906,1.293229,1.1258574,1.0525833,0.94789606,1.0852139,1.3901461,0.85665834,1.2818909,1.1727046,1.3914413,0.8793402,1.0356318,0.9276252,0.94983494,0.7201118,1.1464448,1.141752,1.0035787,0.8846512,1.004662,1.1821576,1.0735532,0.9703251,1.3530383,1.0485579,1.0777366,1.0163978,0.7992078,0.96821105,0.85314775,0.9197911,0.9373306,0.92364764,0.9488644,1.0667003,1.0297191,1.2412164,0.80701745,0.7962884,0.8026802,1.2848669,0.81010467,0.98495066,0.89962655,0.948065,0.9970039,0.99782145,1.0037562,1.0413829,0.92946154,0.7458487,1.1927063,1.378345,1.1152732,1.0795753,0.90628356,1.166816,0.92845714,0.9990464,1.1756172,1.2763113,0.8507392
cup,0.9888288,1.0324056,0.24124157,1.4952395,0.6079116,0.4807635,0.909889,0.56635916,1.4061196,1.0866433,1.2900012,0.50945485,1.4653503,1.3676001,0.79199404,1.5406796,1.0826672,0.4931196,0.045895875,0.15173805,1.0433327,1.0854015,1.163606,0.39805853,0.56764126,0.28701198,0.80128175,0.993403,1.0982832,1.2375503,0.8216225,0.855409,1.1850873,1.2307937,0.86666536,1.0593185,0.82928735,1.4757075,1.1274186,0.26150578,1.2262442,0.0,1.4070429,1.0998205,1.0646632,1.0405384,1.2746332,0.9636078,0.61947393,1.4109458,1.3408637,0.8400369,1.242157,1.0580165,0.7285788,1.025693,0.6719308,0.8223937,1.1461194,1.0582521,0.5483959,0.80413806,1.0130366,0.88004816,1.4200287,1.1814758,1.3805647,0.436908,0.9935527,1.3294547,1.4775141,1.3442385,0.53713846,1.5088596,0.80972326,1.1612251,0.86922216,1.3157777,1.3291283,0.49485356,0.82198423,1.4517119,1.233401,0.89305824,0.4087894,1.0258987,0.76789176,1.072029,0.470626,1.0488818,1.4125218,1.4548144,1.444454,1.2508396,0.31131756,0.3807611,1.2806356,0.7050673,1.0549861,0.663268,0.4728741,1.3532217,0.46272588,0.91181004,0.6343008,1.0653313,1.1911513,1.2122167,1.3212428,1.2830918,1.3641948,1.1232474,1.53538,0.8089409,1.3784714,0.63946575,1.2663597,0.92101896,1.428619,0.38317126,1.2856464,0.7288611,0.7946774,1.0494275,1.0297339,0.79403716,1.0701901,1.314443,1.3392193,1.3997916,0.408576,0.6954752,0.9558566,0.9263379,0.99405605,0.8154359,0.819191,0.92973566,0.6976092,0.37575173,1.0873433
dog,0.83033764,1.162484,1.3589684,0.74437135,1.1044147,1.197802,1.1415851,1.212556,0.84456515,1.0367715,0.859406,1.4093789,0.73484516,0.7919288,0.9752756,0.6440704,0.9348139,1.3613747,1.3895744,1.4286124,1.0774028,1.1979964,1.118534,1.2126176,1.1356059,1.396674,1.0540969,1.3196862,0.8359232,0.84328926,1.31844,1.1484692,0.8934429,0.99432325,1.1036699,1.0652095,1.2896566,0.6006809,1.0638844,1.4743447,0.95185584,1.4070429,0.0,0.75448227,0.99010736,1.1130056,0.8030307,1.2514489,1.3008643,0.33337235,0.73115134,1.3641747,0.84217626,1.0493773,0.995824,1.0753646,1.3813089,0.9826732,0.89810306,0.97735345,1.3505688,1.1270204,1.0705777,1.2380891,0.7045955,0.9462996,0.9815828,1.3383962,1.0105495,0.21574658,0.65273076,0.9312823,1.1555856,0.6987797,1.2507153,0.8642855,1.1611419,0.81886196,0.8076581,1.2776169,1.0394958,0.76829803,0.7893118,1.0565779,1.4339695,1.1976721,1.4330344,1.01222,1.4072983,0.94279283,0.6239375,0.6699042,0.7074954,1.0002842,1.4433722,1.4656589,0.9647403,1.2992165,1.184642,1.0538924,1.4510478,0.17919421,1.1888355,0.89956886,1.1669134,0.8834108,0.94972575,0.48272955,0.79853576,0.869117,0.7508823,1.1411417,0.6456172,1.1468846,0.8523909,1.3911209,0.72595507,1.0900216,0.68405044,1.4262011,0.71937394,1.3060381,1.1228665,0.9591247,1.197,1.1043034,1.1516185,0.6241321,0.75747925,0.69824314,1.3548341,1.3481575,1.2851663,1.2025847,1.1562746,0.974151,1.1144055,0.99476135,1.0893422,1.3246943,0.9871726
doll,0.8232569,0.918799,1.0176564,0.9067005,0.8592565,1.0991571,0.80731726,0.95004076,1.1672914,1.3290398,1.1832154,1.3335364,1.0970893,0.6772095,0.86597705,0.8840741,0.7803204,1.0017174,1.0642679,1.2213902,0.9587583,1.153837,1.0598849,0.9390163,0.9529494,1.1924721,1.0366604,1.1637346,1.3301864,0.9812323,1.0525537,1.0250833,1.0705369,1.0040374,1.1907096,0.98679245,1.301829,0.97235423,1.0999216,1.25546,1.251169,1.0998205,0.75448227,0.0,1.0145894,1.1720029,0.68661773,1.0814824,0.9107722,0.94911593,1.0307577,1.070829,0.997226,1.0188416,0.67813724,0.9193529,1.1347543,0.81355226,1.2282205,1.0595084,1.1847663,0.6169858,1.2551917,1.0151383,0.9177966,0.9918912,0.8962223,0.93876386,0.887854,0.8379829,1.0602808,0.95367974,0.91504735,1.041904,1.1497694,0.93272704,1.1509678,0.9931295,0.8662502,1.0458006,0.84644663,0.5305831,0.68045974,0.9920276,1.1015203,1.0701646,1.1652582,1.1439701,1.020848,1.007686,0.9743406,0.7816797,1.1033947,1.1024432,1.2557905,1.2617844,0.9932937,1.1437074,1.1432109,0.81973433,1.2941923,0.750844,0.8231436,0.6620311,0.9334874,0.81479776,1.2508793,0.69894445,0.919858,1.0107056,0.7778256,0.9923498,1.0015484,0.7987831,0.9052416,1.0805328,1.2105703,1.1826932,0.9399502,1.1915828,1.0222584,1.2876468,0.971342,1.0907844,1.1377168,1.1131142,0.9732384,0.4411959,1.0549607,1.0435789,0.97550195,1.0486498,1.2416399,0.92419887,0.98376787,0.38205892,0.89756376,0.9460351,1.0001771,1.2110201,1.1068302
door,1.0500221,1.1807771,1.2436339,0.9928907,1.2184896,1.2485349,1.0724063,0.8653139,0.8586013,1.1888858,0.95188147,1.1138785,0.7459966,0.9668575,0.9765151,1.0665495,1.0587167,0.8798509,1.0563346,1.1193843,0.71731925,1.2397417,0.9861883,0.80263984,1.0596534,0.91330516,0.9072902,1.1354094,1.0086501,0.6416316,1.1138082,0.7669419,0.6078963,1.0241379,1.1099895,0.8875872,1.1170425,0.84316343,1.1065031,1.213028,0.9935088,1.0646632,0.99010736,1.0145894,0.0,0.62864375,0.90841496,1.0833555,1.2398319,0.8649403,1.0045145,1.2025046,0.8460723,1.1999378,0.83622146,1.1908208,0.9473918,1.1536757,0.8915907,0.9066757,1.2101208,1.1194617,1.1408826,1.1008668,0.99249554,1.0192716,1.0970365,1.221303,0.88108695,0.91697276,0.97269,1.086134,1.0235479,1.0336978,1.053203,0.55814075,0.7896656,1.0402498,0.9197382,1.2397064,0.7924522,1.0764798,0.9452174,1.1852081,1.2053154,1.055786,1.151784,1.2251757,1.2093593,0.6091677,1.0283154,0.9576306,0.9002863,0.8743235,1.2105477,1.2154524,1.0445542,1.0886271,1.1884604,0.7947419,1.0789444,0.9550244,1.185451,0.9967601,0.8627377,0.5382661,1.0874883,0.9487299,1.1499335,0.97461236,1.0796479,0.9648632,0.9599427,1.1745293,1.0591923,1.0002478,0.82571566,0.8255178,0.89236975,1.2744962,0.9581454,1.2322427,0.97175235,1.0108762,0.9469592,1.1208806,1.0701823,0.8313702,0.9565091,0.8583737,1.1682297,1.227031,1.1018323,1.0517126,1.0202202,1.0746086,0.8655621,0.95969856,0.6342051,1.1968045,0.3921135
drawer,1.044497,0.96804357,1.1484166,1.1426293,1.1828301,1.132529,1.0667176,0.71834713,0.87026083,1.0777338,0.86262876,0.8775787,0.50567377,1.2265906,1.0617918,1.0523444,1.0165006,0.6614586,1.1000257,0.9011881,0.3500399,1.0747007,0.81694746,0.82215166,1.0238439,0.69274026,0.9511271,0.91345906,1.0431195,0.5564445,1.1013713,0.85517704,0.8297629,1.0458186,0.91657937,0.9377786,0.8650934,0.76649714,1.1040113,1.0246578,0.80339086,1.0405384,1.1130056,1.1720029,0.62864375,0.0,1.1308055,1.0301435,1.1079161,1.0556229,1.1750746,1.0752964,1.0795356,1.0162631,1.0797524,0.9667747,0.7916338,1.1071141,1.0843531,1.1562248,1.0926836,1.0436561,1.0562762,1.1020463,1.2049494,1.0802832,1.0888832,1.0879463,1.0288007,1.130626,0.99833894,1.1106073,1.032988,1.0369228,0.7424648,0.74931127,0.8822807,1.1049087,1.0199238,1.1737636,0.9328895,1.1959126,1.0038685,1.004277,1.1732934,0.9077678,1.0606654,1.104995,1.1458513,0.45191252,1.2155442,1.2260361,1.0504375,0.76949465,0.95815504,0.90075356,1.0936472,0.7563729,1.1888874,0.95518696,0.9236234,1.1155921,1.1741238,0.7905241,0.55135316,0.7934892,1.0560051,1.010953,1.1512458,1.1258426,1.1331489,0.8416373,1.2021295,1.0656452,1.0462114,0.9778447,0.9539358,0.6833805,0.97973293,1.0739541,1.1536536,1.0053029,0.7220379,1.0116847,0.75677776,1.0792553,0.94202036,1.0185786,1.1038367,0.97103876,0.98806334,1.0716462,1.0305692,0.95438457,0.893249,1.1108522,0.684875,1.183701,0.7243773,1.120604,0.8778985
dress,1.0361441,1.0829519,1.3493037,0.69479203,1.1056387,1.2162349,1.0896473,1.0694997,0.96630377,1.2003459,0.9583805,1.2977374,0.89799845,0.23263192,1.1588199,0.69775033,1.0101479,1.2170477,1.2767026,1.405531,1.0649443,1.1918533,0.97395325,1.0374705,1.2029388,1.2064793,1.1704412,1.1372184,1.1270504,0.7748341,1.2061154,1.1518824,0.77812326,0.8225602,1.2248361,1.0397817,1.2673085,0.77925813,1.0513157,1.3892363,1.0620675,1.2746332,0.8030307,0.68661773,0.90841496,1.1308055,0.0,1.0056504,1.2272997,0.88232964,0.8515921,1.1250657,0.85016793,1.1615186,1.0234842,0.9958887,1.3315465,1.1652066,1.0684937,1.0179914,1.2656126,0.912609,1.1535901,1.0600098,0.70170003,0.9538436,0.90679467,1.2397407,1.0514697,0.8920944,0.94060147,0.6372499,1.1292535,0.64974135,1.2677536,0.82462347,1.2218318,0.8165126,0.8613174,1.2491353,0.92423046,0.6465961,0.90727246,1.1468601,1.3137746,1.0014331,1.1735152,1.1050307,1.2598839,1.0059354,0.8619407,0.14681053,0.5623025,0.9029696,1.407776,1.3949032,0.8780992,1.1962318,1.1354331,1.1157309,1.430047,0.76003647,1.1742027,0.96611184,1.1657218,0.76080894,1.0947609,1.006652,0.87099886,0.8928736,0.5840189,1.12813,0.45251197,1.0944455,0.6276953,1.1857064,0.9182168,1.209473,0.75899154,1.297627,0.869453,1.2919588,1.0453116,1.1389415,1.2771387,1.1675078,1.0925974,0.6555188,0.77353764,0.8147738,1.2982798,1.1358399,1.1401644,1.0614295,0.9129056,0.8980753,1.1682804,0.8974669,1.0213805,1.3128626,0.9558135
ear,1.1572921,0.57908034,0.84918445,0.93114734,0.97373766,0.95765114,1.0669061,1.0681467,1.2922425,1.038492,1.329346,0.75451255,1.2602781,1.0409214,1.1330165,1.2664471,1.2588154,1.148509,0.9422083,0.9915137,1.2381759,0.88125396,0.9708628,1.1564286,0.9960418,0.81493974,1.1016449,0.4857788,1.0652053,1.093711,0.88208586,1.1079159,0.75741994,0.78077793,1.0733633,1.0304254,0.94289464,1.2743781,1.0843524,0.80132234,1.2685465,0.9636078,1.2514489,1.0814824,1.0833555,1.0301435,1.0056504,0.0,0.7999931,1.2288538,0.99423456,0.24094868,1.0818884,1.0183033,1.1512275,0.53716415,0.96710175,1.0731115,1.171108,1.0577142,0.4856652,0.9595318,0.98657393,0.8784865,0.9187026,1.2584412,0.5511154,0.59429824,1.1818637,1.2118272,1.2294176,1.008633,1.1678402,0.90932304,1.003937,1.163998,1.0643313,0.9192682,1.0811666,0.77613336,1.1248515,1.0149026,0.984318,0.98875564,0.5729734,1.0381346,0.33737952,0.44372785,0.56513315,1.2427025,1.0774217,1.1357913,0.95199305,1.1505306,0.8872705,0.8408467,0.9690554,0.89828694,1.0689158,1.0170633,1.0520595,1.1665822,0.7828039,1.2058082,1.086561,1.1813273,1.1331434,1.0908527,1.2588514,1.1935463,0.9837219,1.0647142,1.0771598,0.83944017,0.8351644,0.78232896,1.1767896,1.308717,1.3311974,0.5343573,1.2190304,0.89369845,1.1240098,1.1512921,0.96350557,1.0658189,0.80833113,1.1219726,1.1919426,1.3628865,0.94016117,0.34492594,0.6117733,0.8975493,1.053448,1.162039,1.3372421,1.1111116,0.976839,0.7267623,1.1346787
egg,1.0863893,0.7505036,0.43268108,1.2751663,0.47768784,0.51340103,0.8339209,1.025545,1.2574874,0.98821753,1.3568647,0.90062624,1.3998849,1.2101991,0.9407202,1.3466383,0.9769416,0.82379395,0.6228949,0.60525507,1.1476426,0.84283066,1.182945,0.9106205,0.82362854,0.82288206,1.0188824,0.775671,1.2082065,1.3427824,0.71166015,0.88403076,1.2396343,1.1335618,0.8054363,1.2667456,0.7523023,1.368284,1.0706362,0.66031396,1.2806377,0.61947393,1.3008643,0.9107722,1.2398319,1.1079161,1.2272997,0.7999931,0.0,1.349245,1.0542161,0.6310207,1.2455989,0.9954872,0.90061176,0.90438443,0.99052763,0.8685826,1.2555265,1.0289513,0.60141194,0.88447064,1.0151544,0.70579475,1.1156962,1.0976347,1.0709563,0.4809801,0.9372006,1.2940247,1.4388319,1.2304759,0.77675164,1.351191,0.9817111,1.2550032,0.8736936,1.1845089,1.290929,0.47354388,0.9269967,1.0662663,1.1303903,0.80663794,0.4095332,1.0792266,0.7191468,0.7665065,0.4503727,1.146843,1.3221241,1.3206843,1.3766539,1.1741017,0.72293293,0.74068177,1.0275949,0.929405,0.9183619,0.892094,0.61958706,1.2786088,0.4814061,1.0653994,0.9675679,1.1733788,1.2377459,1.0986439,1.2457347,1.0351381,1.1449155,1.104784,1.3580368,0.81452703,1.1834313,0.7426138,1.236323,1.0624253,1.3025954,0.6003153,1.3517652,0.76895833,0.9615895,0.94105136,1.0078503,1.0311065,0.7693184,1.2877394,1.2367946,1.3656999,0.41697657,0.6229043,0.9404853,1.0031849,1.1172988,0.726964,0.9944907,1.1346724,1.1213422,0.6712083,1.1681849
elephant,1.0512214,1.1747338,1.389709,0.68917274,1.1731449,1.2109885,1.2570975,1.2476947,0.7155926,1.0027926,0.7583484,1.3725115,0.6419842,0.86873907,1.046139,0.6912453,0.93476355,1.3781862,1.4110599,1.4358764,1.0775993,1.1984751,1.1479008,1.2135522,1.2912776,1.3548589,1.0347708,1.2700185,0.7830219,0.76237106,1.3219647,1.0840851,0.865854,0.95701885,1.0950731,1.0191305,1.2533929,0.5966806,1.0604755,1.4580904,0.85555786,1.4109458,0.33337235,0.94911593,0.8649403,1.0556229,0.88232964,1.2288538,1.349245,0.0,0.7416419,1.3299911,0.7311542,1.0904592,1.0314591,1.1666386,1.3930037,1.1721284,0.8357429,0.9034089,1.3365729,1.272885,0.9866526,1.2412643,0.67182213,0.9634892,0.9260659,1.4409719,1.0212796,0.28565514,0.59783065,0.9483101,1.2448841,0.6768964,1.2340325,0.76600945,1.0391963,0.8238429,0.80432266,1.3464533,1.0465246,0.8462191,0.85175693,1.1073738,1.4185637,1.2398063,1.367064,1.0870252,1.4228758,0.9144126,0.7081146,0.7040168,0.67097366,0.92481816,1.4143634,1.4164672,0.9783327,1.325637,1.1458626,1.1337132,1.3956792,0.34017438,1.2944291,1.0537257,1.2365863,0.87969154,0.8650708,0.50533783,0.8201976,0.86358345,0.7418302,1.1516685,0.6165368,1.2958734,0.83750206,1.3816994,0.63378686,1.0054796,0.6045939,1.4327514,0.67945814,1.2939091,1.1294698,0.92665285,1.180878,1.0635784,1.1501703,0.7158477,0.7142369,0.6341603,1.4351921,1.357026,1.1734542,1.1724476,1.23738,1.1478238,1.1421173,0.9837218,1.030784,1.3138592,0.83272666
face,1.2296184,1.0868642,1.253185,0.65629137,1.0980895,1.1162758,1.1644708,1.3668453,0.82913864,1.0444384,0.93768454,1.3350847,0.9007518,0.7890438,1.2306598,0.9001591,0.9818542,1.4074174,1.3085382,1.3867061,1.2307339,1.0684911,1.1972513,1.2801408,1.2811364,1.4146374,1.0857047,1.0872996,0.9218742,1.0317718,1.2323213,1.145741,1.0109332,1.0305862,1.0740287,1.137369,1.2678556,0.7586253,0.9878641,1.3228719,1.0178958,1.3408637,0.73115134,1.0307577,1.0045145,1.1750746,0.8515921,0.99423456,1.0542161,0.7416419,0.0,0.99143165,0.71836746,1.1280851,1.1003314,1.2566893,1.3788221,1.232581,0.806008,0.84273535,0.97494256,1.3589823,1.0560615,1.0184497,0.2295655,0.91569746,0.71704197,1.1765907,0.9802204,0.73536396,0.77319837,0.882826,1.18249,0.77200663,1.2258424,0.95821524,1.1632669,0.7171104,0.9367273,1.1863173,1.0952601,0.85896593,0.9497305,1.08517,1.1400774,1.3361015,1.092549,0.77764857,1.2118142,1.1075486,0.8001204,0.62815017,0.7469795,0.99301624,1.2948966,1.2922157,0.7969572,1.4468666,1.1088301,1.2432969,1.2837465,0.77369773,1.0309068,1.2105945,1.275934,0.9921299,0.9646946,1.0318892,0.90073264,0.8404422,0.6185889,1.155088,0.5282896,1.2143366,0.8089046,1.3084133,0.684403,1.1331031,0.68738425,1.1759686,0.8008547,1.1317067,1.2807682,1.0003006,1.2914755,1.0764965,1.1072338,0.98833627,0.67127943,0.76325023,1.2873677,0.98009974,1.0536181,1.2240517,1.3896656,1.1215172,1.3290597,0.93264997,1.276492,1.1295624,0.9126385
finger,1.1808956,0.53753316,0.6667004,0.8707992,0.90431213,0.8519657,1.0835911,1.139891,1.3806598,0.96549016,1.3867791,0.6743289,1.3951246,1.1231115,1.0949229,1.3937612,1.2701015,1.0615623,0.8332708,0.79458606,1.325155,0.8422077,1.0874085,1.1646992,0.91309464,0.8155453,1.1850948,0.33108544,1.1153998,1.2785606,0.8815011,1.1223701,0.8912653,0.8966351,1.0163333,1.0366104,0.8940129,1.3839203,1.1415426,0.62797546,1.3374856,0.8400369,1.3641747,1.070829,1.2025046,1.0752964,1.1250657,0.24094868,0.6310207,1.3299911,0.99143165,0.0,1.1127341,1.0197171,1.1635383,0.4769249,0.89034414,1.0315455,1.2322017,1.0855892,0.37109882,0.90720594,0.9959836,0.78981066,0.961679,1.2338829,0.48852533,0.49448115,1.2548645,1.2947314,1.3732686,1.1015104,1.1188716,1.0457412,0.9285233,1.3109992,1.0660256,0.8930829,1.120965,0.6461514,1.1516564,1.0120503,1.0745596,0.9383486,0.35040903,1.0930861,0.22137892,0.34012753,0.36477214,1.3353424,1.1588941,1.2257104,1.0556557,1.2326658,0.7221493,0.66722673,0.9380754,0.84649533,1.078185,1.0258378,0.9245957,1.2716238,0.70875347,1.2827857,1.0653548,1.329795,1.1341869,1.137492,1.3006458,1.264643,1.0393906,1.1249686,1.1676483,0.80679923,0.8073988,0.71714264,1.2009243,1.3118842,1.3617985,0.3759486,1.2930362,0.7679386,1.0199349,1.1602244,0.9097441,1.0283297,0.76216894,1.2595291,1.2138066,1.4865708,0.8194965,0.10837281,0.48607057,0.852384,1.1320767,1.1683196,1.3040698,1.158858,1.0714406,0.5765128,1.1990042
