,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
coat,0.94753206,1.3173286,1.2370609,0.9036968,0.87637776,1.2546283,1.221047,1.2391586,1.0854166,0.8287106,0.6795043,1.3424388,0.7990432,0.64682335,1.1784662,0.6855602,0.8597655,1.1938866,1.2542601,1.4510019,0.95772797,1.2255967,1.1145545,1.2169012,1.2075408,1.3185952,0.94770765,1.055572,0.8720066,0.89720887,1.2319677,0.7521683,0.0,1.3628695,1.1158668,1.2149812,1.2000557,0.68912566,0.8246263,1.3632203,0.7069937,1.320631,1.0942836,0.80051166,0.7910918,0.9337372,1.132776,0.38043034,0.93633693,1.3683609,0.69205576,1.1943103,0.9146712,1.1924925,1.0277007,0.99822086,1.3296152,1.1409223,0.78218967,1.3040981,1.197829,0.6656805,1.2414632,0.52106476,0.98992634,0.9281212,1.2021241,0.91240275,0.8895276,0.5545629,1.1383295,0.74797046,1.3772103,0.908333,1.2020053,1.0648632,0.873086,0.957472,1.0416605,0.6984066,1.0957212,0.6339645,1.0262206,1.208422,1.3034878,1.2283268,1.2857535,1.1135347,1.2607039,0.9052894,1.1684995,0.44626176,0.60336685,1.1936364,1.0746241,1.3555312,1.317815,1.2354916,0.85735404,1.2605894,0.8832979,0.8950581,1.3401674,0.89992464,1.2234309,1.187801,1.0980595,1.181594,1.2501678,0.79114074,0.8870598,1.2617995,0.8871284,1.304692,0.46513855,0.9863232,0.8270853,1.2891103,0.72542745,1.2278322,0.70293343,1.3906158,0.68861973,1.291291,0.7572202,1.048982,1.3929319,0.99611515,0.9516892,1.1426778,0.75116897,0.41388512,0.66304183,1.2476537,1.249501,1.1509616,1.1025612,1.1580714,1.0902646,1.0120486,0.89307845,0.9332564,1.0685967,1.2876214,0.88630676
coffee,0.86193705,0.51333123,0.9078888,1.1832001,1.2059624,0.87315047,0.9369794,0.95914197,0.97249484,1.1838597,1.2259125,0.40685225,1.1609609,1.3735472,0.68413925,1.281462,1.2379124,1.00593,0.7066068,0.5020809,1.0999689,0.84339,1.0400523,0.80759025,0.6586126,0.49286163,1.093028,0.8916785,0.8578411,1.0741683,0.83145577,1.2814223,1.3628695,0.0,1.0323534,0.899161,0.96194494,1.2041397,1.2666427,0.5411422,1.2894285,0.597222,0.9996426,1.1674265,1.2878485,1.1903647,0.8171203,1.4127868,1.1368014,0.6419686,1.1606104,0.8735167,1.1321129,0.6753323,1.2660828,1.1090447,0.74340415,0.75213176,1.2511356,0.52650774,0.9136157,1.2118508,0.92967415,1.2943769,0.9580416,1.1546403,0.74639034,1.1587111,1.2045372,1.2214996,1.0597082,1.1550006,0.68357706,1.1159357,0.9121214,0.87331295,1.0243994,1.0543171,1.0266278,1.3213696,0.9414697,1.2193851,1.0652871,0.8787428,0.6128168,0.8899754,0.8092155,0.7259825,0.75484395,1.0539031,0.99197996,1.3934839,1.1824299,0.8189262,1.0294333,0.6237888,0.71208924,0.725041,1.2105093,0.5802314,1.1281512,1.1885628,0.6557294,1.1241814,0.6800643,0.9512197,1.0306675,0.86140037,0.75586855,1.3176111,1.2219329,0.67982763,1.2132282,0.80813676,1.3274772,1.2076294,1.0847797,0.9698609,1.1910677,0.6492233,1.3077378,0.46237576,1.2837954,0.55749905,1.253428,0.86310685,0.7179079,0.9389812,1.1917077,0.96032906,1.3049414,1.3822408,1.3032628,0.8415237,0.74376,0.86382556,1.001975,0.9112241,1.0052344,1.0704715,1.2082479,1.071082,1.0577079,0.5458809,1.1828904
comb,1.0604708,1.0747844,1.0592313,1.0015185,0.8784806,1.1152914,1.0789413,1.00405,0.8110782,0.8252695,0.90548575,1.003008,1.0166789,1.0094843,1.0672786,0.8549398,0.7009324,0.95445615,1.0092728,1.0457586,0.9800777,1.1629206,0.89261043,0.99188304,1.0526694,1.018064,0.96992826,0.99237883,0.96182436,0.9388518,0.82249624,1.0961117,1.1158668,1.0323534,0.0,1.0330327,0.89978623,1.0895175,0.9143051,0.9493828,0.9047384,1.0561416,0.98316926,1.1468444,1.1168313,0.9814044,0.9937521,1.0914149,1.0500114,1.2038527,1.0942656,1.0420934,0.9950511,1.0665369,1.0009813,0.9401935,0.75729454,1.0546292,0.851845,1.0527158,1.2216866,1.0564576,1.0086627,0.94890445,1.1837819,1.0534103,1.0968014,1.1324399,0.79064393,1.0276866,0.93041855,0.9984743,0.80540293,0.87017035,0.8465487,1.0255207,1.2822285,1.0096202,0.88152325,0.9781069,1.0037557,1.0335896,0.965371,1.1244075,1.0897276,1.0733047,0.85574406,1.055796,1.1776445,0.94430566,1.1157277,0.97919786,1.0535481,0.9783887,1.1833185,0.8565465,0.824661,1.1016484,1.1340215,1.1103268,1.2145991,1.0092096,1.063948,1.1947649,1.1485089,1.1963544,1.0085891,0.86559856,1.056843,1.020144,1.1547813,1.1343727,1.0059853,0.8629143,1.0189041,1.0323567,1.0985929,0.886848,0.8328644,0.94962025,0.89140594,1.1079799,0.95757055,1.0669435,1.046895,1.010902,0.85939866,0.9025487,0.8151438,1.1327269,1.081201,1.0576432,1.0197656,0.92361754,1.1136279,0.9168267,0.7273828,1.0229188,1.1333823,0.9255004,1.0228665,1.0260552,0.960961,1.0421484,0.87421125
cookie,1.0770777,1.0722185,0.9362211,0.9802789,1.2190859,0.85887945,0.86082196,0.5432098,0.8818561,1.1844457,1.1733782,1.0443459,1.1647499,1.125792,0.97343326,1.1295048,1.0020376,0.8137723,0.92928183,0.6464348,1.0034087,0.33601463,1.1138691,0.7852063,1.0102752,0.9408185,0.94098145,1.0381671,1.2156694,1.1696153,0.6591233,1.0445114,1.2149812,0.899161,1.0330327,0.0,0.562122,1.2631061,1.0432839,1.0245491,1.1998544,0.79347205,0.767894,1.0442135,0.9074107,1.0125403,0.95877063,1.2162818,1.209438,1.0193188,1.2184987,1.2349032,1.0765282,1.04826,0.8490193,1.2008543,0.8138119,0.9781375,0.9985957,1.152171,0.968134,1.0695928,1.008915,1.2883196,0.9814868,1.2664338,1.071226,1.0789987,1.0703305,1.2020531,0.7137172,1.3313293,0.91490626,1.1037083,0.8999829,1.1549921,0.8598173,0.85281664,0.9211098,1.0779667,1.1895167,1.1074944,1.0671698,0.44013405,1.148643,0.833463,1.0178986,1.269305,0.9862385,0.97646105,0.8894416,1.1796876,1.3373512,0.8898359,0.29981244,1.010163,1.0112398,0.912436,1.1448237,1.166966,0.68181175,1.0072345,0.32051283,1.0168648,0.9363731,1.0017705,0.90261686,0.7887603,0.8320317,1.0829707,1.0411313,0.75595224,1.0496012,0.9988266,1.3159328,1.0274359,1.2672195,0.8275442,1.204386,0.9241572,1.2244657,1.0703698,0.99207824,0.8920495,1.2611833,0.651562,0.8174247,1.0318738,1.0411888,1.0341687,1.1025697,1.2606341,0.9858596,0.8922795,1.2218246,1.2168667,1.1554425,0.9078042,0.8701785,0.5811753,1.0364572,1.0058827,1.0894917,1.0711129,1.1118681
corn,1.0533326,1.1725441,1.001202,0.92181367,1.1007711,0.9237808,0.842275,0.5560732,0.98138016,1.015717,1.1789763,1.0933069,1.0888717,1.1039778,1.0630511,1.1160179,1.001789,0.8474997,0.986071,0.63227904,0.96748346,0.73574185,1.0306516,0.73221993,1.0976989,1.0363339,1.0399181,0.68600416,1.2969105,1.2036157,0.746569,1.1026461,1.2000557,0.96194494,0.89978623,0.562122,0.0,1.2526262,1.0026238,0.9633165,1.1888081,0.7875266,0.779664,1.136493,1.0019095,1.0919375,0.97443074,1.1575894,1.1259743,0.9622636,1.1679952,1.115304,1.1451678,0.97314155,0.96547693,1.1474493,0.7831006,1.0286245,0.9433072,1.2356877,0.94667226,1.1123275,0.78001624,1.2307779,1.0342319,1.1012778,1.1773915,1.1097629,1.0649763,1.1420643,0.682953,1.2487489,0.8425618,1.081919,0.90781844,1.1600653,1.0288107,0.8009434,0.725199,0.9696881,1.1239026,1.1317141,1.0351778,0.7356944,1.1530654,0.74830985,1.1447333,1.2388139,0.95973456,0.8957098,0.95252883,1.1258926,1.2818422,0.81159353,0.6581694,0.941768,0.9130279,0.87703824,1.168611,1.2289717,0.8138164,1.0731547,0.58107436,1.1221573,0.99691725,1.029986,1.0410972,0.88722986,1.0424992,1.1528443,1.1127068,0.8279802,1.0946186,0.91597784,1.2745038,1.0448157,1.2527845,0.6311003,1.2136532,0.92428684,1.1917617,1.1398987,1.1488004,0.9582371,1.1230241,0.6717763,0.79190224,0.9118867,0.8597008,1.0030487,1.1421553,1.245242,0.98031604,0.81664187,1.1548448,1.0569974,0.7187006,0.7997123,0.93627584,0.74584305,1.1356363,1.0188055,1.1593927,1.1646276,1.054468
couch,1.0643399,1.3917477,1.4347501,0.9443033,0.6321898,1.3774301,1.3848727,1.4871374,0.9653981,0.517564,0.37623435,1.3959767,0.24072719,0.69958663,1.2597244,0.41950345,0.8625617,1.1230915,1.4271933,1.3705393,0.7159128,1.3420918,0.9071898,1.247477,1.370089,1.2075393,1.061352,1.003892,0.6293292,0.50207645,1.3352942,0.5790753,0.68912566,1.2041397,1.0895175,1.2631061,1.2526262,0.0,0.6914328,1.513932,0.45381224,1.3797325,1.0982425,0.5601199,1.0373673,0.79243875,0.98348075,0.5916488,0.95566505,1.3877165,0.7090899,1.2192408,0.9241329,1.3633158,1.0261427,0.9242093,1.4872487,1.288192,0.8317934,1.412705,1.3165114,0.7610487,1.4524604,0.6757532,1.2198821,0.94698155,1.3635728,0.90273464,0.657272,0.77911043,1.0855639,0.5874297,1.526737,0.73590946,1.0700723,1.1700352,0.7641689,1.0157013,0.9973314,0.7371919,1.0518882,0.6992961,1.2358044,1.2488198,1.3936671,1.1639035,1.416856,1.0361714,1.3649442,0.74345964,1.393448,0.6409841,0.56717217,1.0765847,1.1305588,1.501312,1.4625316,1.2320305,0.71864593,1.0740583,1.0872941,0.78558975,1.391851,0.80011475,1.3240215,1.302753,0.9125643,0.9837343,1.3423247,0.6370697,0.8480236,1.3751807,0.88114685,1.4775426,0.53812265,0.80715734,0.6648517,1.380627,0.60012114,1.2048181,0.48448932,1.4302268,0.5195408,1.3973515,0.74502057,0.9942618,1.537408,1.0897247,0.82593197,1.280026,0.5786692,0.5406517,0.45601726,1.3185,1.3397558,1.1663878,1.0592407,1.1012852,1.3446074,0.8989694,0.79167295,0.9905544,0.83227456,1.3745868,0.721591
cracker,1.0786457,1.2817824,1.3510181,0.7804419,0.51318234,1.2384785,1.2514031,1.1936638,1.0638279,0.88626254,0.7766061,1.3978426,0.7321861,0.48092026,1.2707338,0.62516177,0.8951081,1.2325273,1.43129,1.3827038,0.99821395,1.0116684,1.1713407,1.3284845,1.3668125,1.443104,1.1988176,0.9978036,0.8539138,1.0237497,1.2370846,0.93233216,0.8246263,1.2666427,0.9143051,1.0432839,1.0026238,0.6914328,0.0,1.4572513,0.8610889,1.4519143,0.8939189,0.7350668,1.0605384,1.0533268,1.2068664,0.74049985,0.80447996,1.1656097,0.84984946,0.9150141,0.9306892,1.2758037,1.0765498,0.6270046,1.326978,1.2476901,0.94471604,1.2866817,0.87277335,0.9834057,1.2685182,0.70897865,0.94796515,0.52778256,1.403338,0.90000355,0.91611594,0.92086333,1.1127254,0.7440107,1.4086537,0.9431902,1.0715566,0.99390024,0.7194832,0.872789,1.0245026,0.47633052,1.0646508,0.9000308,1.02801,0.8791126,1.2477977,1.0558518,1.1041102,0.9365054,1.2475415,0.99953884,1.1606688,0.741464,0.81329685,1.1672294,0.8276085,1.4121711,1.3665748,0.9069925,0.7386303,1.2177336,0.8306111,0.98934335,1.2415655,0.89348453,1.1195387,1.1225864,1.1383405,1.1817663,1.2241426,0.8794231,0.83561546,1.2112467,0.45992792,1.4236364,0.67055917,0.6785108,0.8515303,1.2062135,0.9771232,1.4010385,0.8118012,1.3382516,0.82798606,1.36548,0.6383853,0.8537956,1.37697,1.1221145,0.8964176,1.046228,0.91894734,0.71869755,0.73827237,1.2870328,1.0614748,0.8947618,0.9794221,1.0096426,1.4067757,0.98302746,0.9748959,1.146688,1.2414347,1.3201565,0.97128916
crayon,0.9151083,0.44938982,0.5888895,1.2694229,1.3630035,0.6806878,0.75899994,0.6380992,1.0177824,1.3900322,1.4802871,0.19543016,1.4670179,1.4959315,0.5929538,1.499686,1.2684836,0.84801227,0.19419372,0.5403925,1.2981037,0.94994617,0.9466443,0.77062243,0.45744115,0.4533683,0.9120008,0.855348,1.1894302,1.2175246,0.8500916,1.3979514,1.3632203,0.5411422,0.9493828,1.0245491,0.9633165,1.513932,1.4572513,0.0,1.4458102,0.44531846,1.2255915,1.3862259,1.1050774,1.1986679,0.93882906,1.4391794,1.1743385,0.4900419,1.309124,0.824854,1.187283,0.45998394,1.1120195,1.1581457,0.4480152,0.7231839,1.2880216,0.29842103,0.74693257,1.177534,0.54231524,1.4336269,0.95877135,1.2543561,0.47644782,1.2003679,1.3860191,1.2878077,1.0968624,1.3945633,0.26732546,1.2441416,1.0446887,0.893956,1.3623204,1.1279902,1.0548103,1.4764345,0.8940355,1.372815,0.9210893,1.1511838,0.28780812,0.83880186,0.6307476,0.948249,0.54044104,1.2925252,0.7784523,1.4444695,1.3704399,0.8709358,1.2110497,0.17999756,0.28627628,0.9256797,1.3643765,0.61628294,1.1314754,1.2208579,0.75511754,1.1716917,0.6292585,0.8780406,1.0582123,1.0153131,0.59126997,1.4059316,1.2662294,0.6574658,1.2134333,0.4725784,1.5185535,1.3624994,1.2947202,0.678409,1.2859333,0.5146385,1.3521674,0.2122665,1.3521655,0.17803276,1.2897613,1.2343893,0.38261187,1.0107616,1.1745162,0.6995175,1.4260229,1.5415953,1.5202101,0.72093916,0.5918755,0.80766267,0.8881754,0.85563004,0.59000385,1.2549683,1.2308726,1.0266956,0.8842576,0.21862084,1.2578048
crib,1.1055659,1.4185443,1.41296,0.975821,0.851623,1.4427214,1.3998274,1.3466722,0.6012521,0.48275554,0.3639604,1.4040544,0.36108077,0.6970482,1.3012717,0.47264528,0.77540946,0.9340578,1.3375301,1.2773376,0.4819795,1.3788526,0.75113016,1.0810299,1.3611958,1.1410388,1.0362302,1.1003549,0.82798326,0.27916902,1.1610718,0.38483822,0.7069937,1.2894285,0.9047384,1.1998544,1.1888081,0.45381224,0.8610889,1.4458102,0.0,1.2770267,1.1290879,0.75158894,0.93969566,0.54599553,0.8424782,0.67128944,1.0323675,1.474656,0.8468266,1.3426287,0.94033563,1.393211,0.9188042,1.0189154,1.2875209,1.2911252,0.7844788,1.4467577,1.4269994,0.8175783,1.4122074,0.7536626,1.2330704,1.0878979,1.3633249,1.0030197,0.68042195,0.7483757,0.97507685,0.7928928,1.3876741,0.25308293,1.0774106,1.2085441,0.9506564,1.0668776,0.850621,0.83655596,0.9757492,0.7746079,1.1863124,1.3170174,1.4766463,1.1623421,1.3680038,1.1987271,1.4429038,0.5867832,1.3347445,0.59392524,0.73317116,1.029292,1.1604798,1.4048566,1.353822,1.379337,0.8244467,1.1805698,1.0566698,0.7694131,1.317853,0.9264867,1.3938668,1.4081413,0.8589659,0.89456975,1.3269024,0.5102851,0.9618585,1.3567338,0.8926262,1.3567965,0.6552628,0.8741302,0.84664094,1.24671,0.49149096,1.1584071,0.5144489,1.4676933,0.65885407,1.3966444,0.8438962,0.99598,1.4400036,0.9994389,0.8396819,1.3241987,0.6019905,0.5981636,0.5275063,1.1956558,1.4410492,1.2548397,1.0503182,1.0934627,1.203013,0.7543465,0.8224845,0.94065493,0.7565776,1.3985541,0.6042582
cup,1.1471748,0.78369224,0.6636613,1.060005,1.3518697,0.66097355,0.6703344,0.73647076,0.75543034,1.2474247,1.3984687,0.5301074,1.3013853,1.4330759,0.8485333,1.4601142,1.2643962,0.69915247,0.23432863,0.33201063,1.0091648,0.91843516,0.89431083,0.14995205,0.7644763,0.31647444,0.9003161,0.95600086,1.3125553,0.9722921,0.617313,1.171343,1.320631,0.597222,1.0561416,0.79347205,0.7875266,1.3797325,1.4519143,0.44531846,1.2770267,0.0,0.9977665,1.2782251,0.97392946,0.9788144,0.78303516,1.3182255,1.2642497,0.7928052,1.3089424,1.0688785,1.1813972,0.85453093,0.9783432,1.2364941,0.67355543,0.9884604,1.0169324,0.7411784,0.861508,1.1414998,0.7881349,1.441873,1.1096978,1.3500288,0.5963495,1.1941679,1.2125007,1.1660042,0.52136266,1.4607463,0.57838815,1.0881095,0.83882475,1.1040381,1.3567458,1.1780723,0.67628425,1.4590957,1.0050259,1.3211081,1.1093818,1.0152329,0.7337903,0.70072484,0.8878958,1.227556,0.7233129,0.96338433,0.77093637,1.360371,1.3607084,0.7493459,1.0743005,0.5290392,0.5848938,1.0509498,1.3587236,0.871832,1.1901227,1.0469854,0.7093542,1.0672332,0.8793674,0.8907892,0.8948852,0.6601638,0.6894638,1.1210257,1.2340515,0.82437867,1.1949934,0.76833725,1.462062,1.2538847,1.3067588,0.730407,1.2174636,0.5237813,1.3374333,0.6440717,1.2592819,0.4509756,1.2856505,1.081238,0.6335484,1.0273204,1.2161962,0.8755908,1.2993927,1.4129221,1.224217,0.59362286,0.8998702,1.0404212,1.0362903,0.7583341,0.6239108,1.0395179,1.1442193,0.8900811,0.8282566,0.58328605,1.1331586
dish,1.0895591,1.1790533,0.99791026,0.8764614,0.95225495,0.6895496,0.7206337,1.0655329,1.1411583,0.88701355,1.0618469,1.2234972,1.0101901,0.98815864,1.1138444,1.0346872,0.86443436,1.0750747,1.1932468,0.8431264,1.0194668,0.72062933,1.1171482,0.96132886,1.1679193,1.1920384,1.1053731,1.015693,1.1143389,1.2512081,0.7045757,1.0792185,1.0942836,0.9996426,0.98316926,0.767894,0.779664,1.0982425,0.8939189,1.2255915,1.1290879,0.9977665,0.0,1.0444343,1.2265164,1.053344,1.1154361,1.075296,0.9344815,0.97005516,1.0413905,1.0279813,0.9936848,1.0934323,1.0810416,1.1797924,1.1001499,1.0745401,0.82377756,1.2111765,1.0961672,1.0234271,0.99033463,0.9967799,1.0035225,0.95616364,1.2708406,0.9368651,0.8574827,1.1980989,0.68138146,1.1150537,1.1187102,1.1343052,0.39062953,1.057083,0.9175681,0.90961397,0.94542253,0.92036116,1.1404811,1.0017784,1.0650957,0.658461,1.1324697,1.0133055,1.0179536,1.0267457,0.97136664,1.0288485,0.96501637,1.0572069,1.1667695,0.9275404,0.7938273,1.1508031,1.1267756,0.9024564,0.9889859,1.2795607,0.94654953,1.0205147,0.77900314,1.0701135,0.982761,0.90525466,1.1982727,1.0685048,1.0186118,1.0897566,0.9431865,1.0536999,1.1123307,1.1052983,1.0484234,1.0773649,1.1256132,1.0056195,1.0570412,1.1290128,1.0199577,1.291376,0.9735837,1.1137981,0.9767253,0.75177574,1.0127516,0.970125,0.8513074,1.1414858,1.0729817,1.0496063,0.8753582,0.87222004,1.1630971,1.0583591,0.9514481,1.0951781,1.217891,0.8748574,1.031403,1.0795987,1.2610333,1.2030767,0.9348834
dog,0.78298163,1.3424262,1.1812872,0.97084796,0.9373978,1.1993232,1.1852789,1.1845243,1.0163078,0.95911163,0.78271,1.3620069,0.75518185,0.89357567,0.9564165,0.79196227,1.0211189,1.1531339,1.2641095,1.2780299,1.002807,1.0834637,1.0181527,1.1663102,1.0611888,1.238243,0.9242716,1.1790476,0.39916992,0.86702865,1.1646304,0.7374842,0.80051166,1.1674265,1.1468444,1.0442135,1.136493,0.5601199,0.7350668,1.3862259,0.75158894,1.2782251,1.0444343,0.0,0.7901045,0.9594883,1.1200739,0.7719669,1.0569277,1.3117368,0.90890574,1.2903683,0.9778731,1.153712,0.89497906,0.9914784,1.2900413,0.9397991,0.9366758,1.3238292,0.991136,0.8839794,1.299279,0.8016149,1.1359172,1.0721947,1.2188432,0.5628078,0.82354975,0.7804457,1.069174,0.8617889,1.3368351,0.9523563,1.1335256,1.1983947,0.7605399,0.943284,1.0845386,0.7619189,1.0387555,0.7703221,1.1253163,1.0092031,1.3329147,1.1400099,1.2810931,1.1860112,1.2487979,0.9497705,1.0569825,0.82167554,0.80744624,1.1954858,0.8998624,1.3268751,1.2948909,1.2169033,0.45130837,1.257302,0.8556626,0.8081435,1.2489338,0.26600307,1.2104326,1.0934252,0.9013135,0.9815772,1.0636512,0.8398789,0.4361235,1.171792,0.92985606,1.252213,0.8431011,0.84975284,0.9368877,1.1565467,0.8912449,1.2284131,0.7837111,1.333349,0.65307176,1.3222516,0.96370554,0.95677316,1.2954984,1.0720533,0.95379984,1.2117825,0.5986742,0.750391,0.80953705,1.1953304,1.2846305,1.194701,1.1755307,1.1022419,1.035654,1.0215776,0.85709876,0.9600011,0.90394616,1.2869217,0.9985051
doll,1.0089656,1.1878088,0.75243634,1.0333645,1.2373086,0.9714049,0.8972169,0.88094205,0.845642,1.2048013,1.0376377,1.1875237,1.1197118,0.8497517,1.067216,1.0066457,1.1842235,0.9265069,0.9744113,1.1328402,0.9763701,1.0313882,0.9551843,0.87910485,1.075327,1.0780147,0.95141315,1.1527146,1.126281,0.95417494,0.99447936,0.90193546,0.7910918,1.2878485,1.1168313,0.9074107,1.0019095,1.0373673,1.0605384,1.1050774,0.93969566,0.97392946,1.2265164,0.7901045,0.0,0.96861196,1.0969532,0.7760358,1.1223124,1.1676438,1.1088328,1.1701679,0.853243,1.1768641,0.58113134,0.9177497,1.0259131,1.0112114,0.989821,1.212954,0.83994544,1.0489571,0.9490025,0.9952755,1.0243237,1.1375662,0.87993276,0.91011333,1.0622354,0.76285577,0.93391293,1.1603687,1.0612075,0.9562144,1.2585547,1.2210674,1.04892,1.0028409,1.0353994,0.8691304,1.0262331,0.89289683,1.0471735,0.9963581,1.1658801,0.92387664,1.0241297,1.2836607,1.0752481,1.0941856,0.81328213,0.7176054,1.0328293,1.1395047,0.8949195,1.0868015,1.0513855,1.1900812,0.8848186,1.0684695,0.97948307,0.86359453,1.1099982,0.8277183,1.1714177,0.82432115,0.6837284,0.93224937,0.91307724,0.88392776,0.81893015,1.016571,0.80683684,0.9232134,1.0487628,0.8518983,1.076021,0.9110404,1.0485512,1.1819199,1.1066482,1.0894264,0.8971203,1.1549517,0.92839503,1.2002167,1.0398858,1.0803068,1.2034407,0.807089,0.66288984,0.86985874,1.0621468,0.9278094,1.0908357,1.2105502,1.123173,0.85001355,0.42165178,1.016326,0.6995853,0.94719195,0.8353531,1.1469834,1.1438068
door,1.1469758,1.2770556,1.1569457,1.0633368,1.0799514,1.2351888,1.1768036,1.1572013,0.8117149,0.81105053,0.8010262,1.0931898,0.6898897,0.97360545,1.0950851,0.9513858,0.877594,0.8020483,1.0156348,1.1813518,0.69022673,1.219975,0.61941427,0.87702656,1.1339327,0.81715465,0.99416864,1.0430344,0.9932948,0.5441619,0.8088019,0.39777893,0.9337372,1.1903647,0.9814044,1.0125403,1.0919375,0.79243875,1.0533268,1.1986679,0.54599553,0.9788144,1.053344,0.9594883,0.96861196,0.0,0.63633657,0.8822807,1.0994403,1.2609179,0.9870478,1.1891418,0.911354,1.2266978,0.89753115,1.1014315,1.0983201,1.2031385,0.86518013,1.2359643,1.2479328,0.9244409,1.2803867,0.97345144,1.1341248,1.1254847,1.1965413,1.0205649,0.9858247,0.8978565,0.8964022,1.0921667,1.1310034,0.66187006,0.8419109,1.1228015,1.0593842,1.1919812,0.7814969,1.1271877,0.81889474,1.0230143,1.1633258,1.2009145,1.2337952,0.94175124,1.0248576,1.1690319,1.2867324,0.57933366,0.90687156,0.9576384,0.9190243,0.8261275,1.085538,1.1209056,1.0992519,1.1952925,1.002253,1.0591865,1.1836828,0.76981556,1.1359375,0.96380055,1.3292551,1.288791,0.9785685,0.82258046,1.1307627,0.5177479,1.0168644,1.2092495,0.92455584,1.2211894,0.9475693,1.0322003,0.9492001,1.097671,0.706632,0.8862519,0.90653163,1.3000159,0.7940613,1.1322582,1.1718845,1.1130428,1.1929595,0.7894273,1.100803,1.2186072,0.9995504,0.844335,0.9232582,1.2022185,1.2738503,1.1223555,1.1486447,0.94093555,1.1669228,0.99693733,0.89352643,0.7679674,0.56145746,1.2247665,0.45549428
drawer,1.0251399,0.96867436,1.0648321,1.118772,1.2117345,1.1586835,1.1335881,1.0161121,0.5976431,0.92903614,1.027773,0.8102225,0.72732866,1.216004,0.9525578,1.1202841,1.0764999,0.48315787,0.9295525,0.7900347,0.45013392,1.0193518,0.78290397,0.68181837,0.91181135,0.5659865,0.97159815,0.9369102,1.1010833,0.5785765,0.8943532,0.9132858,1.132776,0.8171203,0.9937521,0.95877063,0.97443074,0.98348075,1.2068664,0.93882906,0.8424782,0.78303516,1.1154361,1.1200739,1.0969532,0.63633657,0.0,1.2031221,1.1579785,0.99796754,1.142221,1.0453529,1.0616848,0.9514799,1.1007928,1.0095787,0.7878015,0.96527195,1.0527283,1.0198416,1.0550804,1.1790593,1.0257459,1.270363,0.9216297,1.1214566,0.86889946,1.1059068,1.0716622,1.0507013,0.9912856,1.1362791,0.7997742,0.74659806,1.0124763,1.0932145,1.0856993,1.1241318,0.89980686,1.2335657,0.94673693,1.1074965,1.0040221,1.1020502,1.0780802,0.70674014,1.002047,1.0682769,1.1165943,0.4934399,1.0273483,1.2581868,1.1376282,0.54651767,1.003252,0.9020728,0.9061068,1.0699129,1.0867305,0.7010458,1.2183899,1.0582982,0.9005421,1.0686858,1.1197422,1.1123168,0.76098776,0.5364553,1.0018083,0.8570841,1.1079817,0.9758363,1.1256964,0.89712834,1.204483,0.9835259,1.038434,0.95965284,1.1013287,0.47116542,1.187212,0.8972845,1.1201305,0.95403886,1.1704338,1.1228054,0.8668262,0.9177065,1.2110003,1.1131418,1.0817176,1.127223,1.129099,0.97132796,1.0467334,1.0366628,1.0422032,0.74828464,1.0225805,0.89583933,1.1296772,0.78566265,0.79423934,1.046603,0.93454665
