,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,cloud,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,mop,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
coat,0.82574415,0.85971,1.3468039,0.70168746,1.2073445,0.9889118,1.0580395,1.2105267,0.68845844,0.6468546,0.61434865,1.3753862,0.56216085,0.829617,1.2763364,0.73176545,1.2826283,1.2994707,1.3186388,1.3724842,1.0867921,1.2666856,0.83396727,1.3090008,1.3181765,1.340667,1.1142712,1.1388367,0.87678623,0.61506814,1.0044426,1.2454239,0.72436005,1.0806986,0.0,1.0956054,1.2104242,1.1039592,0.5126981,1.2306672,1.4389759,0.8878054,1.3598702,0.9704068,0.6825353,0.8600575,1.0056655,1.0929489,0.61916983,0.9423824,1.2523363,0.7482915,0.7058244,1.1337986,0.9931147,1.4696805,1.2571027,1.0903347,1.3731012,1.3587166,0.7835252,0.79801553,1.3523557,1.3710504,0.8530888,1.2705514,0.60915077,1.2384418,0.89842415,1.3208823,0.7421187,0.98802847,0.48525155,1.1201947,0.37758756,1.3495742,0.85108423,1.3054065,0.9477899,1.1321185,0.7928087,1.050021,1.112816,1.2667813,1.167541,1.301948,1.3526969,0.8633971,1.4324844,0.73675174,0.86908376,0.509512,0.37334108,0.9043503,1.4327103,1.4027418,1.2993128,1.2205935,0.9542824,1.0553514,1.3416151,0.76681304,1.03501,0.83930874,1.2825239,0.7906978,0.9569783,1.0671551,1.2075438,0.39834142,1.3001363,0.7810736,1.336872,1.0036074,0.68090045,1.3974445,0.8671897,1.3177826,1.1780175,1.0911807,1.4422345,1.1077217,1.2160299,0.8819358,0.3857622,0.6266363,1.4279822,1.237518,0.9918299,0.8573807,1.2699587,1.4129922,1.3199885,0.923392,1.0563208,1.0812018,1.302278,0.97162503,1.208125
coffee,1.2678316,1.0884389,0.84944534,1.2452687,0.9332121,1.0752937,1.0155141,1.0606103,1.0692551,1.0922902,1.2112323,0.8566799,1.1959693,1.4036396,1.0518752,1.1799296,1.146688,1.1038305,0.85229784,0.47742665,1.1134166,0.6277245,1.2299066,0.93401474,0.8413499,0.69465625,1.1111177,0.9769891,0.98350143,1.1196734,1.0340173,0.84575474,1.0248557,0.84753793,1.0956054,0.0,0.83318603,0.8524362,1.157465,0.67125964,0.79496926,1.3368703,0.7057234,0.9684106,1.1389345,1.2566744,0.98917276,0.9276019,1.3598121,0.8540857,0.8188957,1.0608525,1.1645164,0.94282585,1.1728476,0.6811359,1.1969854,1.0690446,0.77399784,0.9351599,1.0382175,1.0765911,0.65567505,0.9326198,1.0669608,0.73167163,1.1575215,0.9210406,1.1461512,0.81801903,1.2153707,1.1466206,1.2793059,1.0623997,1.2096936,0.8183226,1.2622918,0.6975348,0.7084488,0.9329664,1.2321537,0.8047843,1.0571507,0.5571637,0.76856846,0.6996711,0.6918471,1.0509139,0.70912015,1.0773644,1.2440012,1.3582165,1.1527814,1.161885,0.73944485,0.7066691,0.5021211,0.7136091,1.2006001,1.1796968,0.45777547,1.2117857,1.0244219,1.1678149,0.92278206,1.2809533,0.9347159,1.0915743,1.1925226,1.2250896,1.0701126,1.1443888,0.9491277,0.66316146,1.223059,0.7212874,1.195193,0.5799846,0.88015985,0.5822866,0.9245696,1.1489124,1.0520585,1.3620336,1.1878875,1.2539256,0.7623801,0.75515866,0.8710314,1.1200577,0.71644956,1.0984254,0.89193714,1.1069432,1.0767194,1.0060425,0.7220846,1.1479092,0.8872182
comb,1.1167507,1.0861081,0.9362967,1.2708457,0.98451596,1.0425447,1.028438,0.6876716,1.1847696,1.2834433,1.3045532,0.73955154,1.1796879,1.1760805,0.9203465,1.1871073,0.91800416,0.7528527,0.8621544,0.75123596,0.9171824,0.86515135,1.1135375,0.7532791,0.79173183,0.7346543,0.996783,0.8293762,1.1004432,1.1416912,0.96241695,0.7392414,1.1551893,0.887447,1.2104242,0.83318603,0.0,0.93924236,1.2523865,0.9600977,0.7151848,1.1188829,0.79870486,1.0470821,1.1915528,1.1451422,0.8756966,0.87052363,1.2163948,1.0721835,0.9433515,1.2346992,1.2445526,1.0134373,1.0857925,0.68678594,1.0094621,0.91276795,0.50548923,0.7910693,1.1382208,1.0405838,0.8953837,0.88594306,1.2790997,0.77013505,1.2500387,0.8298547,1.1633227,0.82247114,1.1625662,1.0508698,1.2450306,0.998565,1.240792,0.6271185,0.99935573,0.76514715,1.0438297,0.9048557,1.1192048,0.91838396,1.0112598,0.81519914,0.93753445,0.7305062,0.840871,1.2083693,0.84845805,1.0770488,1.1394485,1.3368704,1.2271549,1.0618303,0.64454335,0.74480987,0.8759488,0.83150494,1.1630859,1.1053565,0.736065,1.1169757,0.9471719,1.0021293,0.66840076,1.0674325,0.97905195,1.0179247,0.8095914,1.3315606,0.7850359,1.0997539,0.76660424,0.9462786,1.173749,0.8239324,1.1865221,0.8002658,0.8821855,0.80092347,0.6978163,1.1055548,1.0280942,1.0788174,1.3235761,1.3372232,0.7682841,0.9452929,0.9381656,0.9897118,0.7073677,0.8744426,0.69659895,1.169445,0.9734591,0.8477162,0.94189835,1.1069274,0.94018775
cookie,1.0436809,0.974265,0.9424058,1.1972817,0.7817741,0.9046624,0.5520279,1.0027003,0.9762409,1.109728,1.2509212,1.1223441,1.148392,1.0695066,1.1156709,1.1025765,1.033501,0.9400809,1.0984008,0.773812,0.79198015,0.86055845,0.99289626,0.9945569,0.9054043,1.1257769,1.1499527,0.9404565,1.241286,1.2147683,0.6838168,0.76504517,1.1958874,1.0261425,1.1039592,0.8524362,0.93924236,0.0,1.258728,0.7434193,1.0811312,1.1685622,1.0597297,0.87284243,1.1280581,0.9921073,1.0339588,0.86019146,1.1719565,1.0644432,0.7918391,1.200043,1.0615528,0.956681,1.0731843,0.91469264,1.0337341,1.0361985,0.8843206,0.880013,1.0075548,1.0184921,1.0950408,0.95134526,1.1175263,0.7588484,1.0945948,1.006995,1.0371737,1.0217258,1.1596099,1.1537069,1.256711,0.8628477,1.176069,0.9771166,1.1986828,0.9476489,0.67779845,0.92331463,0.9343447,1.0066798,0.8430606,1.084188,1.0102079,0.80218583,1.0046376,1.0090578,0.8535156,1.0414331,1.0041995,1.1781354,1.2003192,0.83477354,1.0387565,1.0701734,0.50071055,1.0737469,0.8449498,1.0805007,0.8414454,1.1408908,0.8457135,0.991461,1.0150636,1.0060838,0.89171845,1.0910746,1.0223076,1.215027,1.0012506,1.14458,1.042043,0.84829044,1.1054839,1.108433,1.1721995,0.8434612,0.9708987,0.5527513,1.0568267,1.05154,0.9060706,1.0963324,1.231968,0.9897004,0.6808493,1.0836446,1.0329949,1.0722406,0.8711546,0.9629917,0.81407315,1.054126,1.0322781,1.217693,1.0910889,1.146297,1.0717605
couch,0.6989342,0.8495723,1.5307524,0.7386879,1.3258849,0.98683643,1.1100118,0.9508561,0.5420746,0.60945904,0.16594934,1.4558543,0.28856063,0.831926,1.2321032,0.39774156,1.276382,1.2602245,1.4590263,1.5051374,0.9559295,1.3803008,0.7726249,1.2473674,1.474628,1.242236,1.0530286,1.1804507,0.57768506,0.3670631,0.9786079,1.2749118,0.5602835,1.0811098,0.5126981,1.157465,1.2523865,1.258728,0.0,1.4334745,1.588525,0.5826849,1.4881694,0.89650077,0.50665474,0.67367136,0.95209277,0.98581064,0.6694669,1.0762519,1.4571021,0.6180758,0.68979174,1.2543086,0.94031554,1.5018849,1.258171,1.2697852,1.4131035,1.4633887,0.7608381,0.7100297,1.4766448,1.4380623,0.7261751,1.5110381,0.6480745,1.3891168,0.8800834,1.486423,0.6710705,0.75562966,0.55689645,1.1737494,0.4160776,1.4379735,0.61180335,1.1588869,0.9646537,1.171919,0.7451835,1.0841507,1.0540692,1.302007,1.3165352,1.4346449,1.471092,1.0109359,1.4968188,0.6102923,0.74734867,0.45565367,0.43986326,0.85552,1.5812598,1.5575789,1.4269303,0.9977635,0.8612292,0.9725043,1.4272685,0.7295055,1.1553125,0.7027145,1.1816478,0.81832594,1.0046637,1.025878,1.2045385,0.4665944,1.2670867,0.7797333,1.4475293,0.92899066,0.5784099,1.4964871,0.5750753,1.5197768,1.1596711,1.2150437,1.5166458,0.95981485,1.3644922,0.77671045,0.50165075,0.4538443,1.574024,1.3926326,1.1879987,0.8024359,1.3650328,1.494412,1.2823554,0.7980354,0.9877835,0.9583651,1.4551727,0.7592783,1.2106713
cracker,1.243823,1.3440163,0.5227319,1.2533373,0.74794567,1.1952496,0.8818301,1.1201594,1.3705927,1.2402045,1.4034051,0.7008827,1.4121565,1.2769365,0.87336075,1.3464346,0.9394359,1.0089988,0.6985784,0.5452502,1.1178365,0.4940058,1.241603,1.0164654,0.5816039,0.8454899,1.0921621,1.0627086,1.2026591,1.2872725,0.8773861,1.0018418,1.1379466,0.8100604,1.2306672,0.67125964,0.9600977,0.7434193,1.4334745,0.0,0.5638516,1.3362916,0.66865724,1.2096449,1.2961884,1.3146331,1.1938584,0.9770742,1.3980718,0.8835565,0.73949105,1.2085512,1.1233468,0.9203948,1.1903621,0.53948593,1.0107492,0.9372051,0.72128415,0.62060523,1.1110387,1.2377675,0.5743785,0.8024617,1.1812145,0.5059918,1.228343,0.63320446,1.2419657,0.6563101,1.2359011,1.2799548,1.296716,1.0553339,1.3509448,0.74558794,1.3321662,1.0034851,1.0884385,0.98441315,1.2448415,0.8935169,0.9776529,0.75134534,0.7219614,0.5686301,0.59522384,0.99340385,0.52922624,1.267251,1.1582029,1.4781433,1.2790871,1.1940393,0.5714377,0.5176265,0.50426936,0.9297511,1.0202932,1.2204713,0.4220804,1.2494826,1.0489142,1.277261,0.91519016,1.3177003,0.96295357,1.0239818,1.0567412,1.3367894,0.9121834,1.2389717,0.70750606,1.0936495,1.3076291,0.5293439,1.2403603,0.40941906,0.91602933,0.616542,0.68907714,1.1834434,0.6828804,1.3136594,1.2808093,1.3360755,0.55290973,0.6882695,0.7517575,1.2481054,0.6803697,0.6587699,0.70706147,1.2049315,1.0842229,1.1243527,0.55766547,1.2503829,0.7085403
crayon,1.4680653,1.2211354,0.29841954,1.2186764,0.65486765,1.0992829,1.0639534,1.0372292,1.4989438,1.3923678,1.6086516,0.45755166,1.5590371,1.3590305,0.84455985,1.5724895,0.74291337,0.7161157,0.25017273,0.35117704,1.1380143,0.49683183,1.2456087,0.6317283,0.6160007,0.50604993,0.8727259,0.79000044,1.3760035,1.4461521,1.1580356,0.8817039,1.322202,0.9325455,1.4389759,0.79496926,0.7151848,1.0811312,1.588525,0.5638516,0.0,1.3788764,0.25761628,1.2306979,1.4831727,1.3882748,1.0978178,1.05612,1.4341955,0.94160676,0.6736757,1.4367573,1.3677222,0.7751189,1.240448,0.51519316,0.8430602,0.7953155,0.5617187,0.64652854,1.2737767,1.4614581,0.39297688,0.5827631,1.2780745,0.4654504,1.4387379,0.49250215,1.2665558,0.43820858,1.3806489,1.2103556,1.4431896,1.0312369,1.535362,0.36066508,1.2909796,0.90720356,1.1923177,0.94379455,1.4513321,0.81047225,1.1681006,0.42391938,0.5187913,0.49828517,0.4776076,1.1544595,0.3380003,1.3712538,1.4400706,1.6127942,1.5078437,1.2810951,0.13592315,0.07960957,0.69341385,0.848246,1.2774906,1.1325482,0.4134581,1.3350737,1.0795988,1.2231802,0.6799766,1.3360713,1.0610477,1.0917778,0.8345027,1.5705376,0.8430154,1.2284052,0.3959936,1.0618145,1.4400401,0.2249021,1.3922589,0.20120436,0.8144847,0.91557026,0.41036785,1.080693,0.64637506,1.2852892,1.5012622,1.567881,0.47265637,0.4828223,0.6666727,1.1262524,0.5181,0.40023172,0.7044727,1.2361664,0.9873774,0.77090526,0.31289458,1.2512486,0.8044572
crib,0.8106806,0.9851355,1.4287648,0.87166584,1.2976316,1.0144732,0.9702288,0.66505814,0.5580055,0.9110814,0.45395577,1.389797,0.36301303,0.8177836,1.1727934,0.6414213,1.0529587,0.8864918,1.3102444,1.3463433,0.58496773,1.4396284,0.75545734,0.9926924,1.4409176,1.0841826,0.91685563,1.1074933,0.8336894,0.41983306,0.9602736,1.0733836,0.6933632,1.1664586,0.8878054,1.3368703,1.1188829,1.1685622,0.5826849,1.3362916,1.3788764,0.0,1.3556727,0.7775307,0.8519009,0.72591734,0.8820704,0.7751858,0.7461441,1.2831142,1.3482188,0.90131503,0.86256576,1.3357446,0.62169003,1.3857945,1.0229084,1.3028662,1.1899879,1.3263683,0.946381,0.8513244,1.46016,1.3623663,0.8646792,1.4911548,0.85807717,1.248666,1.0602579,1.4140825,0.86686593,0.5920679,0.814128,1.0730821,0.84185636,1.230464,0.2676587,0.9822768,1.0461955,1.0179988,0.822751,1.1055114,0.94391036,1.2992948,1.4176159,1.3556119,1.3929163,1.1386,1.3091484,0.5365438,0.83830845,0.66588056,0.90547615,0.72797394,1.3363106,1.3498158,1.2902083,1.0537975,0.8011345,0.83510816,1.3391806,0.8927189,1.2414746,0.7546531,1.019284,0.7327845,1.1793077,1.0846593,0.9284367,0.8243643,1.1954027,0.97345287,1.199154,0.7996229,0.5210289,1.4700224,0.73355484,1.4434519,1.0989237,1.2726222,1.2866774,0.7784794,1.1347315,0.76926196,0.82340354,0.45286477,1.4229499,1.5242628,1.3214855,0.9671326,1.3147085,1.2339845,1.0275431,0.82193244,0.9303636,0.92835104,1.4421157,0.6115767,1.1714826
cup,1.4890306,1.1687269,0.28605092,1.1849723,0.7579951,1.0623361,1.152478,0.9509286,1.4409096,1.3099449,1.5444655,0.528235,1.532404,1.3127569,0.8612716,1.5853887,0.8340676,0.7830527,0.05679977,0.21038258,1.147845,0.506842,1.3475604,0.44125742,0.7014021,0.38336945,0.8327974,1.0215045,1.3363667,1.4002111,1.1549169,0.7956705,1.1438296,1.0024453,1.3598702,0.7057234,0.79870486,1.0597297,1.4881694,0.66865724,0.25761628,1.3556727,0.0,1.1299965,1.4200666,1.3301404,0.89801294,1.1203258,1.3231759,1.0629413,0.79557484,1.3411691,1.3391051,0.9425602,1.1735256,0.64241433,0.8053163,0.9465813,0.7972795,0.8300066,1.3002164,1.379789,0.4159171,0.60105604,1.2203223,0.69046164,1.4187411,0.41598785,1.3791814,0.42165947,1.3148627,1.206804,1.3429754,0.7781007,1.5314898,0.62383455,1.2310948,0.76456213,1.1457084,0.9659635,1.5126308,1.0494742,1.191279,0.40067446,0.5903958,0.5150772,0.6827158,1.21767,0.3530516,1.2463957,1.4109461,1.5336368,1.4491115,1.3366652,0.37312412,0.27183473,0.64171857,0.8843601,1.3798318,1.073445,0.35879183,1.2332757,1.1311404,1.2145888,0.7293587,1.1447052,1.1208422,1.1050384,1.0705624,1.4704933,0.9420353,1.1848373,0.45464635,0.9267726,1.3230276,0.2526114,1.3377609,0.2493797,1.0787377,0.9865666,0.4264047,1.1001298,0.7129149,1.1926049,1.414528,1.4930432,0.47430485,0.5134414,0.8408544,1.307017,0.5441512,0.40611142,0.68555325,1.1791321,0.90877414,0.84802413,0.35334837,1.1466342,0.88975984
dish,0.9467962,0.8984689,1.1858218,1.0718637,1.0085837,0.86768925,0.8799039,0.7680303,0.43176252,0.9563292,0.83678997,1.2158748,0.8091085,0.94650376,1.1806083,0.85826004,1.0514594,0.9697942,1.138164,1.0374117,0.8411379,1.2226423,1.0378718,0.9301738,1.3176969,1.1400207,1.03351,0.93200517,0.9925693,0.9046333,0.9604123,0.6503161,0.93520045,1.0644608,0.9704068,0.9684106,1.0470821,0.87284243,0.89650077,1.2096449,1.2306979,0.7775307,1.1299965,0.0,0.94950104,0.9170362,0.95694685,1.0134989,0.9989331,1.1009407,1.0974201,1.0044813,0.9474233,1.152068,0.921445,1.2046099,0.91812754,1.2593616,1.1655688,1.2409029,1.091888,0.7405514,1.2396479,1.1685332,0.9161296,1.2850007,0.955181,1.1253752,0.99552727,1.2573966,0.986823,0.68741506,1.0135204,0.7909465,1.0297983,1.1570344,0.88628775,0.7116019,0.75865084,1.1418716,0.91054565,1.2271465,0.9519109,1.1524577,1.1971983,1.2437683,1.1862881,1.0609773,1.135583,0.77970386,0.946825,0.9526226,1.0641915,0.8026401,1.2143787,1.2191675,0.99249077,1.1240335,0.9664325,0.86277926,1.0784389,1.0051333,1.0913595,0.8938068,1.0816367,0.9490087,1.062862,1.1195002,0.83965373,0.9685979,1.1342863,1.1507144,1.1963937,0.39662296,0.8968738,1.2580925,0.89860255,1.1924084,1.0481467,1.0967611,1.2264513,0.72902954,1.1487349,1.0067686,0.9748337,0.6513,1.0824869,1.266875,1.2344842,1.0413158,1.2494335,1.158248,1.0200799,0.92713535,1.0461884,1.2158957,1.1863151,0.8439546,1.2258453
dog,0.36602235,0.93468165,1.3734382,0.85705316,1.1916046,0.96165544,1.1177152,1.060151,0.765254,0.83390796,0.5246216,1.3691883,0.6704597,0.85525656,0.95320785,0.45470226,1.048463,1.2231008,1.3488667,1.470228,1.0703195,1.2545811,0.83357304,1.2911335,1.1452558,1.2969832,0.96929806,1.2275746,0.3307091,0.7422005,0.9773728,1.1807612,0.7706498,1.0491195,0.6825353,1.1389345,1.1915528,1.1280581,0.50665474,1.2961884,1.4831727,0.8519009,1.4200666,0.94950104,0.0,0.77592224,1.1055125,1.1213454,0.74793315,1.1543639,1.301431,0.65252376,0.74244523,1.328626,0.8994555,1.2405773,1.0254592,1.2606893,1.3847439,1.171346,0.7100214,0.8334198,1.3881787,1.3573346,0.78107995,1.3934712,0.70588,1.3068511,0.95888615,1.3503199,0.2474873,0.7893526,0.736464,1.0848764,0.6487683,1.360545,0.86364746,1.2577834,1.017303,1.1432767,0.7149562,1.1380877,1.0160879,1.3655608,1.3448826,1.4069884,1.4254177,1.0150166,1.4561579,0.82009387,0.6757866,0.6215118,0.62921554,0.93118066,1.4688954,1.4573137,1.356277,1.0419968,0.8710667,0.85864264,1.3751816,0.2995541,1.0913763,0.9101956,1.1948618,0.89685756,0.9639563,0.6943153,1.0773549,0.6676842,1.1337206,0.92171764,1.3638572,1.0912333,0.75587434,1.4252576,0.6530616,1.4160078,1.15972,1.2211764,1.3501316,0.97588813,1.2134169,0.76090336,0.69552165,0.6783125,1.420069,1.3456142,1.2729744,0.9381144,1.4115276,1.2732897,1.2240946,0.8558808,0.99784225,1.1292257,1.3701408,0.95289236,1.1403382
doll,0.8155983,0.64886063,1.2324243,0.9939485,1.0310771,0.7359299,0.85987806,0.8954818,0.88242805,0.86974317,0.794265,1.318779,0.7526016,0.63677037,0.9620338,0.83001816,0.9673379,0.9111824,1.2790176,1.317368,0.74837303,1.4188849,0.8309324,0.99145174,1.2046918,1.1685131,0.87393034,1.2217898,1.0044782,0.83965605,0.8341217,0.96716446,1.0438265,1.1813889,0.8600575,1.2566744,1.1451422,0.9921073,0.67367136,1.3146331,1.3882748,0.72591734,1.3301404,0.9170362,0.77592224,0.0,0.96040565,0.8799901,0.6922732,1.257308,1.2364316,0.99176806,0.9842428,1.2275507,0.90139705,1.3150513,0.94946486,1.1399462,1.1432772,1.0152367,1.0595186,0.97468024,1.4061762,0.96349764,0.9700775,1.3476508,0.9458237,1.2271729,0.8847124,1.250379,0.84607005,0.8202561,0.85828197,0.9568747,0.8261514,1.183666,0.74547327,1.0710673,0.94293106,1.042435,0.7670507,1.1775606,0.7647099,1.2211752,1.3434548,1.2909982,1.3778985,1.0675918,1.3001075,0.7937416,0.8402775,0.7216805,0.9220451,0.8597182,1.3815768,1.382793,1.1245615,1.0131916,0.9656061,0.8950324,1.3343912,0.73648036,0.81400406,0.78976405,0.98408985,0.6702875,1.2178812,0.7613887,0.8507354,0.85613817,0.98593986,0.88843745,1.1993487,1.0535468,0.85889554,1.3685403,0.9450973,1.3849373,1.0608058,1.2258852,1.1722083,0.8291577,1.1223384,0.44845557,0.95176274,0.77437276,1.1772225,1.3452786,1.4278638,0.987691,1.301785,0.9304039,1.0071874,0.94773334,0.78659356,1.074961,1.4117544,0.92422414,1.2634887
door,1.0055082,1.0341773,1.1688355,1.1048397,1.234348,1.092287,1.1921183,0.86799836,0.9791639,1.0624025,1.0249285,1.076257,0.94981897,0.99814975,0.92049617,1.161292,1.0637838,0.751336,0.9642919,0.9931965,0.7669966,1.1695307,0.94626063,0.8455155,0.9753261,0.79000974,0.9644829,1.0605984,1.0658798,0.8998225,0.97268724,0.7357384,0.6983445,1.0195613,1.0056655,0.98917276,0.8756966,1.0339588,0.95209277,1.1938584,1.0978178,0.8820704,0.89801294,0.95694685,1.1055125,0.96040565,0.0,0.72706664,0.9652904,1.130693,1.1930655,1.1159252,1.0912402,1.0908724,0.88899875,1.0135913,0.98663276,1.0174077,0.89046264,1.0160669,1.1513027,0.9990265,1.068712,1.14076,1.0466062,1.1553199,1.0963863,1.1068583,1.1707221,1.0796827,1.041436,0.8937877,1.0216836,0.8775077,1.1376013,0.94956756,0.6871558,0.71748424,1.081624,0.8695032,1.160762,0.95845807,1.0512675,1.0064269,1.1512138,0.98673457,1.0989766,1.1754367,1.0691644,0.71038944,1.0676506,1.0634028,1.0865943,0.8979761,1.012471,1.06893,0.97175884,1.0025568,1.1469585,0.9644261,0.9825661,1.0023978,1.0869298,1.030388,0.7967881,0.5932028,1.1353269,0.96889955,0.99613166,1.0782433,1.0840585,1.0719495,1.0498549,0.90030277,0.8594886,1.1401812,1.0541557,1.13064,1.1555452,1.0814766,0.9741903,0.8677449,1.0784864,0.9389231,1.079546,1.005061,1.0939591,1.1275698,1.0950652,1.0674719,0.9354031,1.1125244,0.97506374,0.9710482,0.77402586,0.67621696,1.1378306,0.6069465,1.0632643
drawer,1.1761026,1.0609722,1.2028193,1.1870813,1.0819372,1.1702573,0.9865375,0.7283584,0.8581567,1.1628435,1.0641291,1.1136009,0.7260295,1.1309991,1.1168283,1.105977,1.0985104,0.67186433,1.2103771,0.92314005,0.39150864,1.2490892,0.7969525,0.85222244,1.0034068,0.78254914,1.1496291,0.9967687,1.2306005,0.6686568,0.8173801,0.9877025,0.95037055,0.9473122,1.0929489,0.9276019,0.87052363,0.86019146,0.98581064,0.9770742,1.05612,0.7751858,1.1203258,1.0134989,1.1213454,0.8799901,0.72706664,0.0,1.1565945,1.01262,1.1043419,1.2859215,1.0662998,1.032323,0.8593093,1.1086792,1.1207886,1.0736531,0.7262962,0.95993614,1.1451262,1.0558436,1.0742214,1.1034389,1.2653399,0.969489,1.1282644,1.0745314,1.0136764,1.0516902,1.2237002,0.9675865,1.2186341,0.9597031,1.046821,0.82410127,0.7206291,1.0090971,0.9835278,0.7853764,1.0322275,0.6816473,0.88648516,1.0053017,1.0790135,0.93998784,0.9488143,0.94109887,1.0655705,0.55221,1.1654067,1.211137,1.0773969,0.7617252,0.9819659,1.0378504,0.93935335,0.8866986,1.0800878,1.1395388,0.94018614,1.1591834,0.9873029,0.75772524,0.6292393,0.770591,1.2556946,1.1236755,0.91531074,1.2534893,0.897377,1.0455148,1.0278357,0.8140638,0.95327175,1.0786424,1.2067311,1.0489647,0.7143227,0.7056397,1.0568957,0.9954929,1.075205,0.9242534,1.2363808,0.926414,0.9697881,1.0711665,1.0081083,0.93037605,0.92316955,1.0534061,0.746097,1.2014105,0.99047196,0.7120461,1.1483994,1.0349809,0.9753852
dress,0.81616807,0.82674086,1.3767252,0.7661487,1.2020845,0.94639003,1.1098964,0.9449287,0.8922142,0.6592362,0.6351004,1.2205911,0.7441182,0.38397783,1.100411,0.6346563,1.1389585,1.1480093,1.2613462,1.4721143,1.0225593,1.3392395,0.81412923,1.118026,1.3039787,1.2558612,1.0015805,1.1789749,0.8791796,0.811499,1.0180708,1.116002,0.8391354,1.1882033,0.61916983,1.3598121,1.2163948,1.1719565,0.6694669,1.3980718,1.4341955,0.7461441,1.3231759,0.9989331,0.74793315,0.6922732,0.9652904,1.1565945,0.0,1.1495811,1.363308,0.66432923,0.83156186,1.1768404,0.9299041,1.4159625,1.0592237,1.0405028,1.3608029,1.3420603,0.7665441,0.9115259,1.4003301,1.2084017,0.8366077,1.3911297,0.6931766,1.2346861,0.93032706,1.3118653,0.78083926,0.89302886,0.4804781,1.0412068,0.5427361,1.3864596,0.79290926,1.2510214,1.0788445,1.0575938,0.69438374,1.1631364,1.0144877,1.3115145,1.3345182,1.3207574,1.3611503,0.9993461,1.374521,0.89620036,0.63695544,0.22330528,0.5217552,0.9333873,1.4511142,1.464308,1.389595,1.2039206,0.8085003,0.9288325,1.5088401,0.78165627,1.0576509,0.7564088,1.196474,0.71837115,0.98559594,1.0187005,1.0754718,0.36542064,1.1081921,0.54311,1.2137328,1.2360756,0.7948983,1.4211401,0.7613528,1.4129716,1.1531776,1.3683796,1.3396554,1.0154551,1.1456857,0.6427633,0.48718023,0.73708236,1.3992836,1.3142006,1.2359215,0.93392855,1.2739018,1.2079103,1.2865665,0.882464,0.99912256,1.0945882,1.3804625,0.8984068,1.2084988
ear,1.2125568,0.9960809,0.8990299,0.9443672,0.88563955,1.0867487,1.1134201,1.22708,1.1502081,0.9874091,1.1436405,0.7403622,1.1502844,1.1371181,1.153727,1.0587584,1.2476764,1.3228912,1.0957624,1.0513637,1.24859,0.91512334,1.0712371,1.2806545,0.9800802,1.0378906,1.3128948,0.7443259,1.131713,1.0161812,1.0365809,1.2291893,1.0460849,0.9674615,0.9423824,0.8540857,1.0721835,1.0644432,1.0762519,0.8835565,0.94160676,1.2831142,1.0629413,1.1009407,1.1543639,1.257308,1.130693,1.01262,1.1495811,0.0,0.7071755,1.0259883,0.83489704,0.3293854,1.223748,1.0844072,1.2286001,0.6147413,0.99534863,1.0850805,1.015191,0.9170549,0.5909594,0.857362,1.1923039,0.70831627,0.6928695,0.97803605,0.5772939,0.6820563,1.2138886,1.2325226,0.9696787,1.281008,0.8008199,1.0756464,1.2521229,1.174647,0.88666785,0.9661812,1.0070801,0.8155856,1.1609502,0.8249642,0.53251004,0.82371664,0.5018752,0.46749902,0.9343638,1.2550836,1.1256251,1.0495085,0.78072,1.1275005,1.0008069,0.9845771,0.9460118,1.0114758,1.137785,1.2416337,1.0094078,1.2868193,0.804222,1.0312552,1.2213795,1.2023635,0.9731426,1.1904197,1.1859874,0.9242424,0.93104327,0.830284,0.9184639,1.2219846,1.1697948,0.71941257,1.2179811,0.9332965,0.83061266,0.70053047,1.0686804,1.2968183,1.080359,1.29917,0.8629731,1.2035166,0.9555632,0.4149934,0.36893326,0.84270275,0.80994046,1.2045152,1.2941364,1.2055244,1.2707243,1.0175388,0.69062847,1.2763135,0.6678753
