,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
belt,1.2047192,0.6411267,0.8893843,1.0571572,0.9774202,0.9472097,1.0802898,1.0435984,1.2348369,1.0592277,0.0,1.0584387,1.085834,0.96757686,1.0883124,1.1795899,0.9706804,0.94873136,1.2361575,1.0392553,0.9640634,1.1910499,1.0406015,0.84427464,0.91246104,0.6875356,1.1242777,0.86294645,0.9747246,1.1357718,1.0284027,1.0838342,0.97998476,1.0598984,0.7221402,1.2516834,0.98919016,1.0431612,1.1200314,1.0572946,0.8996834,0.7982428,0.9003659,0.68355435,1.0476643,1.0978453,1.105592,0.62290657,0.7710529,1.1997844,0.6648985,0.96690214,1.2120194,1.0659778,0.74082994,0.8733798,1.2010784,0.9941831,0.90541494,0.8257488,0.79500175,1.0841604,1.039083,1.0355377,0.895349,1.1017609,0.998172,1.1098449,0.9714667,1.1738741,1.299354,1.2059224,0.9664155,1.1846665,0.7790572,0.953008,0.59761536,0.6803191,0.6245908,0.986891,1.0127066,0.94119114,0.94811195,1.2916452,0.706196,0.81582904,1.1435899,0.744782,1.1767076,1.1775112,1.1565125,1.0972098,0.9575584,1.069466,1.0064282,1.1125615,1.1484007,1.0104479,1.0318701,1.0800774,0.8751633,1.0455096,1.0266882,0.62250113,0.8338977,1.0503167,1.218937,1.1348857,0.69067913,0.9428492,0.7400435,1.2416499,1.0148917,1.1705772,1.0150114,0.9194462,1.1513692,1.1185615,0.6992557,0.65246207,0.84424496,0.9911822,1.1240554,1.1209466,1.1566159,1.0468023,0.64659315,1.1263568
bench,0.8086666,1.1001844,1.2974994,0.4800458,1.315626,1.3020896,1.3516216,0.9687072,0.5052395,0.2701155,1.0584387,0.0,0.6691431,0.4224999,0.88919264,0.97904783,1.4924364,1.3649757,0.8113961,1.4408548,0.9504672,1.1443487,1.1859698,1.307198,0.73074853,1.1909376,0.77324337,0.60331374,1.5602207,0.61347175,0.6801511,0.8275597,0.2566023,0.9982734,1.437766,0.41498572,1.4813561,1.1924984,0.96658164,1.1383816,0.96843874,1.11583,0.7545309,1.1599997,1.3010335,0.5973389,0.94385374,1.2979548,1.306173,1.4276081,1.1641034,1.3219271,1.2701108,0.67532873,1.3162042,1.0715177,0.6386852,1.0188334,0.9426808,0.8206408,1.401891,1.0096722,0.6700626,0.4116584,1.2801298,0.45083284,1.4433594,1.052434,1.4450753,0.90521276,1.2727729,1.0148864,0.75221825,1.2787819,1.3143592,1.1911243,1.3197658,1.2751893,1.0666424,0.7409738,1.155272,0.51639,0.61919594,0.71467024,1.4016457,1.3029941,1.2745705,0.9498828,1.1763431,1.2680583,1.4178572,1.1892173,1.4485502,1.2923499,1.2246287,0.7608716,0.5524165,1.2556422,0.74155277,0.9205169,1.4567795,0.47906363,1.0382513,0.92007744,1.5261892,0.6301193,0.7524841,0.5214828,1.4592748,1.4670403,0.9719528,1.013176,1.5303427,1.1719588,0.6386969,0.59522516,0.2537588,1.4354993,1.3527718,1.4341252,1.0637023,1.1878216,1.3648558,1.0699897,0.8475736,1.2963948,1.4188715,0.57911915
bib,0.53273124,1.0207037,1.3250759,0.51285785,1.4423008,1.4101776,1.1541281,1.2061152,0.7296344,0.58313257,1.085834,0.6691431,0.0,0.5405704,0.82210535,0.7030214,1.5574977,1.45232,0.7473752,1.3866904,1.0942293,1.1855938,1.1144092,1.4471694,0.9266442,1.0661023,0.8485339,1.0385758,1.5189815,0.8511853,0.94645375,0.811513,0.68736607,0.78034294,1.4261031,0.6142062,1.5499349,1.1553667,0.88221663,0.8887688,1.1115793,1.3292413,0.7316556,1.0538533,1.2397641,0.68305975,0.8160425,1.213645,1.0526743,1.3520156,1.1051764,1.2663155,0.9261093,0.6547126,1.271688,0.83710986,0.76636094,0.7292744,0.9608173,0.62743485,1.4366436,0.82723176,0.8226752,0.5030492,1.3126493,0.6732728,1.4912013,1.2310894,1.581267,0.8379109,1.1543489,0.9054358,0.5183737,1.1441199,1.3944174,0.98241574,1.2127085,1.435911,1.193424,0.8857657,1.0046102,0.32414258,0.71155375,0.390105,1.4228785,1.1834279,1.2315556,1.024907,1.1082306,1.2249081,1.3030751,0.9339947,1.3600085,1.3022578,1.3115461,0.90286344,0.8481125,0.98791414,0.7284221,0.8406141,1.4291873,0.47522795,0.9168756,0.984989,1.6004543,0.93156546,0.86786234,0.6710956,1.4954971,1.5033151,0.82509315,0.8109914,1.5118234,1.107788,0.5789583,0.57392484,0.59266925,1.4136705,1.3427005,1.2032375,0.7713493,1.0192289,1.2749903,1.0311179,0.9305451,1.4147534,1.4461188,0.8326111
blanket,0.7026329,1.0116234,1.2554147,0.5199499,1.3126507,1.3120867,1.2406051,1.1484156,0.7208981,0.14139682,0.96757686,0.4224999,0.5405704,0.0,0.9377654,1.0823725,1.497824,1.3688302,0.90269184,1.3737683,1.0480645,1.2659054,1.1811042,1.2470704,0.8980955,1.1224768,0.8351929,0.70981526,1.5250019,0.7280133,0.9867558,0.9519509,0.38595533,0.9491591,1.3737814,0.5749746,1.5104548,1.1907758,0.9508151,1.1224773,1.0264852,1.2466655,0.70983315,1.0208317,1.2923355,0.51726997,0.9803139,1.2193534,1.1652867,1.4486582,0.9771353,1.3001511,1.142936,0.73545134,1.2312391,0.74967104,0.84928477,1.0567111,0.93495125,0.8318486,1.3475286,0.9058145,0.8217232,0.19981754,1.2523581,0.3940338,1.4630042,1.1968181,1.4829885,0.8061725,1.3184718,1.1134151,0.6758435,1.2954378,1.2859635,0.9557007,1.1883857,1.2517118,1.0477744,0.8193859,1.0131598,0.29120576,0.47075403,0.753021,1.3440205,1.3019437,1.2790896,0.6452442,1.1936653,1.3318114,1.3785354,1.1379607,1.4342523,1.221895,1.24569,0.89988655,0.78119326,1.1125562,0.7557795,0.98892635,1.3942583,0.3950938,1.0009001,0.7662029,1.4606162,0.7797148,0.9563454,0.6845002,1.3515582,1.3922874,0.723116,0.99105114,1.5226842,1.1667132,0.49013925,0.4285125,0.50331765,1.4532082,1.2882046,1.265111,1.0864177,0.98760647,1.4010754,1.173027,0.97143614,1.3922598,1.3417778,0.8037908
boat,0.896217,0.9998877,1.250874,0.9981834,1.1783544,1.0748565,1.1185424,0.9041356,0.8290168,0.95989645,1.0883124,0.88919264,0.82210535,0.9377654,0.0,0.86155415,1.246922,1.000913,0.8551253,1.2135687,0.9968033,0.7974434,0.8733055,1.1222883,0.78604335,1.2791555,0.95798844,0.95013696,1.1579411,0.9003438,0.92566854,0.8991573,1.0500989,1.1283937,1.2838099,0.76037145,1.2210584,0.97197014,1.0449107,1.0505826,0.9895997,0.95628756,1.0065352,1.2160331,1.037034,0.8351035,0.95977473,1.2945037,1.1770803,1.1654061,1.188746,0.91853154,0.9977776,0.8573843,1.1955401,1.0359513,0.85177404,0.96546763,1.1435149,1.053365,1.1567197,1.0099348,0.8100188,0.87123746,1.1130682,0.9881688,1.0554376,1.08955,1.1720006,0.8087349,0.91818917,0.87217003,0.95281154,1.0882587,1.3142192,0.97013783,1.197741,1.2434388,1.2018734,0.8660276,1.1303685,0.93451947,1.0297164,0.7996661,1.249193,1.1592515,0.9141751,1.0743881,1.1381071,1.0954113,1.0639899,0.97136915,1.2197318,1.0358709,0.9219361,0.8857032,0.81257474,1.2019573,1.021532,0.89253944,1.0847218,0.9758306,0.9789307,1.1687009,1.1480685,0.88927615,0.88009953,0.59700805,1.2322537,1.292124,1.0527471,0.89896584,0.974133,0.8795334,0.8805026,0.9526444,0.8999346,1.0732963,1.3367529,1.1800404,1.0309954,0.9341746,0.988658,0.7931666,0.88727653,0.9814949,1.2380222,0.8694309
book,0.7574439,1.1830572,1.1512347,1.0603119,1.1079955,1.059579,1.0982442,0.84570175,0.9493305,0.95079416,1.1795899,0.97904783,0.7030214,1.0823725,0.86155415,0.0,1.0898843,1.0160342,0.40937805,1.1229421,1.1360888,0.84710866,0.93930507,1.0044388,0.9973005,1.291462,0.94751525,1.0985355,1.0645076,1.0370765,0.8742015,0.8982239,1.0686269,0.9743722,1.1735182,0.768335,1.0955743,0.9841086,0.9049308,0.77379763,1.1209247,0.87110454,1.1170781,1.2579167,1.0601342,1.2082751,0.83615094,1.2859015,1.2024117,0.8889595,1.09843,0.9034109,0.74935466,1.0076808,1.235966,1.0051333,0.7905968,0.38357687,1.1410825,1.0224503,1.1470494,0.9318147,1.1038216,1.0727499,1.0678824,1.230825,1.0246055,0.9261682,1.1002097,1.0649476,0.8683931,0.49306715,1.016062,0.91622007,1.2381785,0.9097473,1.2786925,1.2040278,1.202809,1.1238769,0.93474233,1.0974841,1.2779491,0.30008078,1.1587629,1.0290047,1.0313181,1.0150561,0.903473,0.8793623,0.8151183,0.7706007,1.1505284,1.0573101,0.82209265,1.0285093,1.0392472,0.98852414,1.1127163,0.97711974,1.1648921,1.1245719,0.88747525,1.362015,1.2241948,1.1437178,0.94102323,0.8933096,1.1932023,1.1733968,1.1683513,0.96552503,1.0702041,0.89645755,0.9640123,1.152876,0.824185,0.83235174,1.2759128,1.146534,0.9334502,0.91518575,0.7484664,0.7901157,0.98260444,1.0706949,1.2626808,0.98665
bottle,1.4702437,1.0143726,0.6329414,1.448097,0.5304086,0.6364517,0.8268554,0.84309614,1.4951634,1.522271,0.9706804,1.4924364,1.5574977,1.497824,1.246922,1.0898843,0.0,0.6350176,1.1415446,0.6622435,1.016581,0.596001,0.85741675,0.38493097,1.1253672,0.97795135,1.2822105,1.0929762,0.3207925,1.2870086,1.0930468,1.2155302,1.3767288,1.3110224,0.38620216,1.4814932,0.09696394,0.91535264,1.1952484,1.0459287,0.9493222,0.8295946,1.238991,1.095335,0.7661345,1.3427532,1.2033035,0.82596594,0.90994394,0.49541497,0.92581546,0.8829749,1.0519065,1.3674488,0.69157624,1.1372833,1.3148363,1.0895298,1.1547383,1.4396467,0.40333414,1.2164568,1.2465436,1.4556084,0.50393736,1.3993917,0.4628216,0.7069719,0.30158985,1.2262428,0.85034895,0.95240915,1.4342132,0.92907083,0.4547956,0.87781906,0.73573595,0.6137123,0.7593975,1.1821697,0.91335666,1.5276833,1.3194534,1.4053574,0.41852367,0.7406516,0.7646872,0.9553201,1.0121261,0.70301837,0.7532831,1.0694895,0.69392353,0.564739,0.6576615,1.1526271,1.3009746,0.96826607,1.3133986,1.2961547,0.35930395,1.4912803,1.1302502,1.005184,0.31326866,1.1820931,1.3165987,1.3881354,0.34449303,0.24436635,1.1215583,1.264874,0.4734707,1.0313815,1.3933861,1.4916058,1.486464,0.48995775,0.60526645,0.62555087,1.1937728,0.838696,0.5547511,1.0802575,1.1250565,0.4637488,0.4094112,1.2730365
bowl,1.4032439,0.98522085,0.73891073,1.3929477,0.69335896,0.7207499,0.8188064,0.8280689,1.1569759,1.3683424,0.94873136,1.3649757,1.45232,1.3688302,1.000913,1.0160342,0.6350176,0.0,1.041772,0.47325408,1.1021732,0.68297595,0.99942356,0.6200704,1.1685553,1.1229962,1.1536511,1.1896507,0.5878069,1.283955,1.0267733,1.2602695,1.3864537,1.1618459,0.75623786,1.3070625,0.5028182,0.5283973,1.1539359,1.0811896,1.090388,0.780764,1.2943119,1.0812962,0.5504991,1.343461,1.0800017,1.0300393,0.9491517,0.829685,0.9550355,0.6793164,1.0362021,1.222423,0.90027136,1.114402,1.2611604,1.1532258,1.1942414,1.3515582,0.7724681,1.2282041,1.1901919,1.454315,0.6935147,1.4589571,0.6556323,1.0593468,0.6472726,1.2052131,0.66407084,0.916138,1.3085818,0.5642422,0.75204813,0.87459147,0.9951196,0.7545616,0.9312098,1.0516601,0.96902376,1.4580932,1.4063452,1.3009951,0.7404019,0.9313629,0.6752481,0.8997489,0.84372747,0.9148932,0.3463738,1.0773612,0.68634,0.94021416,0.68893945,1.1212028,1.1838256,1.071426,1.2566512,0.875317,0.8327972,1.4398551,1.0546954,1.1541617,0.5470197,1.2393426,0.94293517,1.3112247,0.60674644,0.6057092,1.1453137,0.74088806,0.5068633,0.8928894,1.3951553,1.3605802,1.3594291,0.33625394,0.89274734,0.8840113,1.2499048,0.88576955,0.78329104,0.5905537,1.17153,0.9146926,0.79661417,1.2887386
box,0.7280167,1.2014138,1.3127122,1.0113094,1.2503309,1.2022816,1.2511014,0.6652249,0.7910564,0.8168183,1.2361575,0.8113961,0.7473752,0.90269184,0.8551253,0.40937805,1.1415446,1.041772,0.0,1.1896067,0.9386578,0.7217969,1.0785406,0.87528443,0.8911511,1.3720739,0.9269494,0.8552957,1.2130101,0.75811213,0.8019191,0.9145869,0.89219403,0.890408,1.3756804,0.53068566,1.13797,0.9638478,0.9379203,0.9787198,0.9315685,0.75485593,1.1072598,1.187483,1.1403725,0.9802835,0.9543811,1.4445093,1.3712633,1.0396909,1.140091,1.0977769,1.003037,0.7760808,1.3308182,1.072574,0.88295054,0.7492547,1.0881097,1.1390692,1.2953736,1.0073253,0.92827797,0.8913022,0.98867834,0.98633915,1.165955,0.88973135,1.1835352,0.8810381,1.0550132,0.4053427,0.8719841,0.8960451,1.3776269,1.0403475,1.416429,1.2880268,1.2762029,0.80272055,0.9979528,0.9637622,1.007436,0.38879508,1.3840497,1.2602546,1.059876,1.0596173,1.0139849,1.0108595,0.92597246,0.9267976,1.2337813,1.0265584,0.76810044,0.7821168,0.9772151,1.1297312,0.93642664,0.949357,1.2845184,0.9777605,0.87175304,1.1541147,1.2697265,0.90184164,0.8655229,0.87276506,1.3741617,1.2564948,1.1291263,0.96139187,1.2473383,0.9919694,0.72522295,1.1204568,0.7268374,0.90377706,1.4679245,1.3519709,1.1149518,1.0183336,0.9978361,0.78632855,0.9320282,1.0337013,1.3960041,0.8599092
bread,1.1944602,0.9814092,0.6933624,1.3339252,0.68695676,0.7558274,0.6374841,0.8383049,1.3659011,1.4182682,1.0392553,1.4408548,1.3866904,1.3737683,1.2135687,1.1229421,0.6622435,0.47325408,1.1896067,0.0,1.1637073,1.0219076,0.98335904,0.81880367,1.2349046,0.92029107,1.2112347,1.2364482,0.6719193,1.3661478,1.1271322,1.1856818,1.371526,0.9550788,0.69873357,1.3965912,0.6509471,0.6802518,1.1140766,0.94317526,1.1537445,0.86185426,1.172394,0.9788785,0.7038934,1.2498842,1.1104498,0.85160327,0.7250483,0.79269546,0.9662594,0.815875,0.90148664,1.3812582,0.80422544,1.0916325,1.2829493,1.1512356,1.1634672,1.2519915,0.805908,1.0509703,1.2541587,1.4420177,0.8423725,1.3753645,0.5991813,1.0647767,0.78322446,1.0893971,0.6510991,1.1349796,1.268085,0.34416044,0.73917997,0.8255856,0.86503905,0.8163267,0.92332685,1.2171221,0.7985553,1.411293,1.304847,1.3411957,0.73791444,0.86253023,0.78685594,0.94187856,0.4298182,0.96556604,0.23826313,0.95153344,0.48620653,0.8946559,0.87180936,1.3001614,1.1893024,0.9420392,1.1739933,1.061968,0.7495508,1.4154364,1.0032332,1.1159519,0.6035217,1.3269241,1.2017424,1.2900708,0.5881121,0.5143329,1.1434048,0.8097702,0.6002516,0.9570873,1.4045646,1.3300909,1.4101617,0.5053444,0.7406928,0.76225173,1.1637807,0.86111665,0.7910067,0.92430085,1.1540482,0.9482787,0.73039216,1.3253803
broom,1.0996683,0.98436946,1.313918,1.112865,1.2633685,1.2232326,1.1646179,0.8135227,0.8931823,1.0318333,0.9640634,0.9504672,1.0942293,1.0480645,0.9968033,1.1360888,1.016581,1.1021732,0.9386578,1.1637073,0.0,0.8831194,0.98870146,1.0132704,0.8684124,1.0802964,0.97686577,0.61813974,1.04454,0.68657875,0.9156527,0.84606004,0.9656368,1.0169675,1.0675824,0.8673417,1.0247194,1.0378278,1.0363537,1.2113754,0.4470657,0.8196566,1.1294434,1.0340621,1.1721237,0.9985818,1.1168379,1.1792568,1.1966627,0.997475,1.0814879,0.83283436,1.2750235,0.9403,1.2068468,1.1522437,1.0460464,1.3290033,1.0732371,1.1336042,1.2102774,1.0380104,0.7809937,1.0081973,1.0177913,0.91111386,0.7626103,0.49330598,0.8416355,0.96340346,1.1928183,0.9145575,1.0235223,1.0869524,1.2102039,0.9899306,1.1532953,0.98093045,1.0364876,0.6887511,1.164479,1.1454813,0.8229235,1.0663465,1.111058,0.8921343,1.0015143,0.90983015,1.1369157,0.93700355,1.1283847,1.0138923,1.0807588,0.85893166,0.9505306,0.5556332,1.066574,1.0923768,1.0443352,1.0836949,1.0129279,1.0516694,1.1003109,0.8498207,0.853467,0.5315342,0.9326274,0.997791,1.2080648,1.0887053,0.9828748,1.142159,0.78503233,1.0658861,0.94705033,1.1283076,0.9697856,1.2405587,1.2650228,1.1051491,0.9674581,0.90479803,1.2788105,0.96943116,0.923671,0.5362365,1.13817,0.80069685
bucket,1.2724848,1.028424,1.1663172,1.3125392,0.96353173,0.8351928,1.0923784,0.67112494,1.0252941,1.266403,1.1910499,1.1443487,1.1855938,1.2659054,0.7974434,0.84710866,0.596001,0.68297595,0.7217969,1.0219076,0.8831194,0.0,0.89300954,0.5631085,0.93003577,1.2543173,1.1533072,0.866987,0.8160526,1.0240355,0.89779204,0.89173186,1.1901345,1.164553,1.0277199,0.9825775,0.5072802,0.7771757,1.1859529,1.1035949,0.9501644,0.85126173,1.2837139,1.3583946,0.7139993,1.1932347,1.1625888,1.2702262,1.1541902,0.73895234,1.0898418,0.83217996,1.0874565,0.92423534,1.23439,1.0380743,1.1217321,1.0092471,1.2654498,1.3471082,0.94971955,1.2358867,0.9425975,1.1874657,0.71209186,1.2161102,0.78416014,0.76079714,0.694021,1.0666636,0.7904209,0.62176013,1.0183396,0.86441076,1.1635926,0.79922825,1.182693,1.100638,1.0950694,0.9038684,1.1330676,1.3094556,1.206602,0.98540974,1.036341,0.97906935,0.65228325,0.9405833,1.0654377,0.7528272,0.83582294,1.053831,0.9445223,0.8257195,0.73931515,0.8206479,1.1399755,1.2155929,1.2317805,0.9311756,0.8482977,1.3040818,1.0662887,1.2103059,0.80278826,1.0299938,0.86999345,0.97600675,1.0008632,0.8617823,0.98998433,0.9842372,0.6923868,0.9825458,1.1129147,1.3600447,1.1686853,0.6243046,1.2035422,1.1086268,1.0564764,0.73853636,0.71896535,0.7116296,0.9806772,0.5779478,1.0779332,1.0900109
butterfly,1.1254648,0.99565214,1.06597,1.1746174,0.972542,0.90614396,1.0155976,0.9243622,1.2739537,1.2020797,1.0406015,1.1859698,1.1144092,1.1811042,0.8733055,0.93930507,0.85741675,0.99942356,1.0785406,0.98335904,0.98870146,0.89300954,0.0,0.94845283,0.8939201,1.0610863,1.0272545,1.063351,0.9425192,1.1785244,0.9973774,0.96582025,1.187968,1.1370497,0.98153126,1.2223438,0.9499195,1.0111831,0.97176564,0.8153876,0.9959436,0.9541526,1.0987701,1.136921,1.0377975,1.1497587,0.932164,1.0405892,1.0115825,0.7440753,0.960528,0.86330974,0.81297827,1.2420468,1.0038099,0.9347042,1.0802782,1.0046074,1.02713,1.1150624,0.84695387,0.9858237,1.1263287,1.0863501,0.9389457,1.1222116,0.8366905,0.9255559,0.8837207,1.0365155,0.9608948,0.95969135,1.0529145,0.9111862,1.0768111,0.8792758,1.0045818,0.94714195,1.0490979,1.1685009,0.9736717,1.1870055,1.0522147,1.1181782,0.972148,0.90456235,0.91058654,0.91554195,1.0228459,0.82955945,0.96370435,0.89679646,0.9040078,0.66352665,0.91956943,1.1471999,1.0899274,0.96947294,1.1754991,1.1905183,0.85083866,1.1453887,0.9423666,1.0854441,0.91583246,1.1245431,1.2208314,1.0686985,1.0061661,0.96785975,1.0659885,1.1111078,0.79245305,0.7968186,1.0731692,1.1194975,1.2314917,0.9706118,1.0063862,1.0118785,0.9924632,0.80622816,0.87508327,1.0903722,0.8880529,0.8112386,0.98915344,1.090575
can,1.2902851,0.9764718,0.8627,1.4158262,0.7494857,0.7452907,0.9948448,0.70415086,1.3534409,1.3261094,0.84427464,1.307198,1.4471694,1.2470704,1.1222883,1.0044388,0.38493097,0.6200704,0.87528443,0.81880367,1.0132704,0.5631085,0.94845283,0.0,1.0096496,0.95412564,1.28756,0.80687463,0.5337022,1.1182233,1.027326,1.1739314,1.1924256,1.258795,0.6139433,1.2174473,0.39270175,0.87495756,1.2144797,1.110691,0.82353544,0.54535073,1.191154,0.9657562,0.96014684,1.3112943,1.2030988,0.9195587,0.94523484,0.78274316,0.76280165,0.93288255,1.0037555,1.2405748,0.88216436,0.9507038,1.2540164,0.9728238,1.1772405,1.3747649,0.6336466,1.2379415,1.1708537,1.3012452,0.41839647,1.2910929,0.70533514,0.7817048,0.518961,1.2221229,1.0230724,0.90873957,1.3037614,1.0212978,0.7600043,0.89720905,0.8711585,0.6736985,0.83557117,0.8885121,0.8990677,1.3709574,1.2154454,1.2823067,0.6461527,0.87737226,0.89860845,0.8404583,1.1130265,0.8974552,0.78638214,1.1189682,0.8586101,0.7238188,0.5510707,0.9261763,1.2601639,1.0000905,1.2508069,1.2872066,0.61076236,1.3893988,1.0831228,0.8528836,0.4895333,1.0466193,1.2656426,1.336921,0.5264462,0.50119966,0.9155047,1.3415303,0.75842464,1.0334114,1.0663923,1.3661025,1.329375,0.58689415,0.78900516,0.74599135,1.1910142,0.88191915,0.69899166,1.0106984,1.1817946,0.6410316,0.64668727,1.1842885
car,0.9656091,1.0743482,1.3377448,1.0260323,1.2979543,1.231821,1.225333,0.6836536,0.87580574,0.85231453,0.91246104,0.73074853,0.9266442,0.8980955,0.78604335,0.9973005,1.1253672,1.1685553,0.8911511,1.2349046,0.8684124,0.93003577,0.8939201,1.0096496,0.0,1.1519041,0.89086807,0.63852,1.2361915,0.74132395,0.7942903,1.0141058,0.7939973,1.0796614,1.2231662,0.6465442,1.2047135,1.016905,0.9781361,1.0241923,0.7815108,0.864277,0.98617977,1.126609,1.2473305,0.861148,0.9820674,1.2196723,1.1618795,1.1457043,1.2167959,1.1286057,1.1530141,0.7471142,1.1454424,1.1710085,0.9368966,1.090033,0.9739786,1.0627205,1.0754834,0.95724094,0.7073251,0.80187315,0.9431682,0.8762954,1.1295635,0.8315132,1.1610858,0.9592709,1.1960411,0.97204214,1.04385,1.148325,1.1951042,1.0492427,1.203009,1.095501,1.0719576,0.5962939,1.0844233,0.9283524,0.8377791,0.9448514,1.1845028,1.2034267,1.0291464,0.90053624,1.1208359,1.0057304,1.1935575,1.010214,1.106786,1.0417972,0.95557845,0.6708213,0.934277,1.1676419,1.0554518,1.1055355,1.1653763,0.8906889,1.047715,0.97251254,1.1344509,0.6954435,0.9760322,0.8294169,1.2318885,1.2308409,0.99835837,1.2197685,1.1032178,1.0162843,0.77377194,1.0090358,0.8053478,1.2146094,1.2633338,1.1454071,1.1279888,1.0059012,1.2279686,0.8906931,0.81856,0.77276516,1.2492515,0.6147872
carrot,1.0468348,0.71428096,0.6678148,0.8972432,0.7889359,0.77613306,0.82864594,1.280382,1.2757856,1.2002485,0.6875356,1.1909376,1.0661023,1.1224768,1.2791555,1.291462,0.97795135,1.1229962,1.3720739,0.92029107,1.0802964,1.2543173,1.0610863,0.95412564,1.1519041,0.0,1.2469101,1.0943617,0.9249997,1.2287965,1.3522683,0.98054874,1.071412,0.93340826,0.6089102,1.376693,0.99927706,1.2063341,1.1762465,0.9244456,1.098235,0.96411437,0.87901187,0.42682445,0.8779983,1.0731213,1.1207054,0.227655,0.5402876,1.2262979,0.62647355,1.0655732,1.0410755,1.1335504,0.68448544,0.7318773,1.1715539,0.8510643,0.79742324,0.5041391,0.8294159,0.97967535,1.2254368,1.2052953,1.0178479,1.001132,1.0640833,1.2610203,1.0582049,1.1322877,1.1440077,1.2785064,0.8768568,1.1827397,0.6492979,1.0821819,0.47245765,0.71303606,0.62392145,1.1444317,0.944609,0.98774827,0.926165,1.2871193,0.6786789,0.6768011,1.181094,1.0995815,1.0778879,1.2690687,1.1752796,1.0125676,0.7358664,1.2397679,1.1971364,1.2051375,1.0619988,0.74424213,0.99081796,1.1133941,0.8577747,1.0189971,1.0645334,0.6685128,0.9557342,1.2060983,1.2329681,1.1836485,0.7143402,0.8765443,0.6331601,1.1798905,1.1190817,1.1916778,1.064421,0.8529632,1.2491344,1.1698892,0.36229366,0.53302366,0.6435626,1.1577302,0.9781084,1.2897084,1.1801969,1.1844598,0.5919631,1.2961931
cat,0.7888311,1.1077453,1.2094289,0.85437477,1.2222733,1.2300406,1.1224482,1.0953417,0.63414276,0.75582147,1.1242777,0.77324337,0.8485339,0.8351929,0.95798844,0.94751525,1.2822105,1.1536511,0.9269494,1.2112347,0.97686577,1.1533072,1.0272545,1.28756,0.89086807,1.2469101,0.0,1.0029851,1.2476139,0.80831075,0.77423143,1.0577943,0.83129376,0.9859379,1.3369036,0.7488195,1.3065326,1.0948327,0.15963691,0.99921256,0.9737271,1.1953478,1.0035824,1.1006227,1.1415374,0.83550584,0.8147756,1.3178809,1.0618279,1.0742974,1.2244933,1.1501739,0.92614084,0.8449521,1.1722275,1.1922843,0.9126778,1.0662491,0.9015907,1.0239675,1.1758803,0.7903677,0.92389524,0.82976913,1.1282846,0.84267074,1.2271136,1.0054861,1.2006054,0.92904425,1.0644165,0.9563832,0.9894458,1.0549341,1.2063379,1.1750617,1.3114715,1.0082496,1.1782808,0.93524516,0.983779,0.90662307,0.9373133,0.81763136,1.3025473,1.2810292,1.0182762,1.0550275,1.0078363,0.94214565,1.1967633,0.92200756,1.1120206,0.96194685,1.079181,0.92915237,0.8948456,0.9058836,0.7436338,0.92195594,1.3081888,0.8273238,1.0453875,1.0767918,1.3071315,0.92854697,0.83344126,0.9525311,1.3066795,1.3440866,1.1306769,0.9913838,1.1850417,0.87004185,0.95378435,0.889398,0.73072505,1.2351772,1.3131773,1.3356023,1.1521492,1.1446581,1.233596,1.0221446,0.9073748,1.0872098,1.2863799,0.5493291
