,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sandwich,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
bench,1.0154355,1.2811699,1.0410781,1.2732818,1.1338174,1.157646,0.84157646,0.72614676,0.86001194,0.8671391,0.0,1.0200498,1.1017345,0.88474554,0.70075905,1.1453736,1.0036969,0.7880965,1.1511719,0.94586515,0.82484937,0.88011384,1.077538,0.97336674,0.80365825,1.1112312,0.9547845,1.1446209,1.0523809,0.7827139,1.1416758,1.1257235,0.8296014,1.0889677,1.2004383,1.0166732,1.0748215,0.82723147,0.6994074,0.97242737,1.2385201,0.8919717,1.0365715,1.138321,1.050257,0.86684096,1.0667341,0.9712337,1.0256616,1.030852,0.8931894,1.2402232,1.0648487,0.8834237,1.1779289,1.0563755,1.0074841,1.1027617,1.1070049,0.9611949,1.0572888,1.0118797,0.98931015,0.8033571,1.0158576,1.046481,1.2376899,0.8501585,1.0306176,1.0273939,0.9490399,1.2751334,0.83041394,1.0239635,1.2138344,0.8023232,1.0238928,0.9606448,0.9506618,0.79002297,1.0220418,1.0013387,0.9659885,0.7809577,1.1127312,0.84052414,0.9758626,1.2376808,1.02173,0.971802,0.78240734,1.0187104,1.0798639,1.0099428,1.0295712,0.9876938,0.9476856,0.9537949,1.2189475,0.9278712,0.7593267,1.0442127,1.0610504,0.9735387,0.7122035,0.9315711,1.055583,1.1097317,1.0082514,1.0011878,0.99507976,0.8316418,1.145769,1.2228494,1.2141632,1.093734,0.7681918,1.065711,0.9320229,0.8819857,1.2725258,0.7865384
bib,0.75453377,1.3612903,0.5355606,1.3229364,1.4032028,1.1788144,1.2009441,0.8288937,0.7158142,1.3261292,1.0200498,0.0,0.99592817,0.554541,0.96770835,1.4049444,1.3774102,0.89142054,1.4107469,1.4135416,1.2957085,1.1396235,1.0597041,0.99807256,1.238497,1.2379605,0.7951752,1.0533961,0.7018106,0.6567254,1.1623288,1.4021707,0.9149388,1.4876423,1.1619319,1.0236819,0.76836365,1.0064046,1.1146946,0.34588504,1.2621047,0.97763443,0.66769266,0.9299002,0.9000613,1.0275126,0.8993612,1.4107269,1.1955471,0.9405507,0.9366393,1.0636972,0.88816595,0.8791453,1.0577384,0.7302425,0.7830102,0.5657839,1.0210392,0.8365859,1.2119275,0.5965141,1.4391031,0.89950424,1.3746371,0.94868755,0.9958367,1.1878685,0.6932554,1.0696068,0.8428508,1.2646319,1.3748121,1.0235556,1.3770907,0.9412403,0.76734024,0.35648584,0.65075415,0.71902984,1.3486452,1.3204391,1.1323392,1.3743144,1.2680969,1.0640068,1.2455273,1.2085515,0.5943482,1.2599361,0.8771587,1.1845798,0.86527455,0.8855268,0.9773318,0.3996293,0.8289347,0.6277746,1.4194806,0.82024676,1.3398747,1.1615993,1.4375169,0.9510819,1.2755961,0.9980336,0.98726684,1.4576993,0.99475354,1.1211802,0.5529046,0.74068266,1.4146192,0.93248147,1.2109231,0.90938437,1.2955608,1.2886262,0.9330219,1.3101133,1.1351365,0.9153473
bird,0.72587705,0.95136595,1.1353649,0.9440897,1.1271622,1.0257293,1.1442486,1.0778046,0.9607277,1.127826,1.1017345,0.99592817,0.0,0.984103,1.0343953,1.1184819,1.1970888,1.124896,0.8698294,1.2391603,1.2005018,1.0281788,0.8061067,0.9022251,1.2383075,0.9014996,0.97593784,0.89096373,0.9980769,1.072257,0.70545596,1.1260449,1.1467353,1.1817191,1.0198891,0.7487121,0.98418754,1.1894804,1.1476638,1.016765,0.8967454,1.1279528,0.7830024,0.96460897,0.6842004,1.0259244,1.0191115,1.173764,0.92892444,1.089827,0.9525185,0.8194709,1.0256414,1.1122742,0.94649655,0.8326588,0.878626,1.003546,0.9999466,0.99082434,0.90136945,1.0199056,1.1157507,1.0480604,1.2190038,0.70708406,0.93505454,1.1500664,1.1273627,0.8612655,0.7396343,0.9297878,1.2012584,1.0744618,1.0118582,1.1737274,0.54245746,1.0742241,1.1215782,1.0238628,1.1753652,1.151194,1.1409109,1.1261725,0.7017379,1.1161355,0.9682824,0.96764785,0.8413799,1.0213444,1.1529497,0.7006364,0.78854215,1.0842426,1.1793784,1.1024077,0.88008827,0.9725833,1.0681927,1.0898379,1.1681001,1.2009972,1.0316017,1.006788,1.0920936,1.152316,0.9825288,1.1102489,1.0337555,1.0235286,1.1292897,1.0082823,1.0436969,0.85919094,0.9048886,1.0801094,1.1969597,1.0117643,1.1007382,1.2910726,1.0084561,1.1871862
blanket,0.6889111,1.4564723,0.7108555,1.3926702,1.4367597,1.1106546,1.0023814,0.45516384,0.14563417,1.2811639,0.88474554,0.554541,0.984103,0.0,0.971471,1.4870415,1.3639934,0.7612705,1.3902359,1.3804076,1.2009959,1.1301557,1.2215466,0.8161698,1.1153786,1.2432244,0.5856604,1.1893412,0.822736,0.29749614,1.2546651,1.5182453,0.6378453,1.543819,1.2432609,0.939716,1.0036036,0.8709599,1.0137652,0.5386369,1.3899202,0.7651799,0.8563529,1.2962041,1.016778,1.020523,0.97947,1.4929175,1.2362785,0.918502,0.7536627,1.3234868,0.8767548,0.80289584,1.163254,0.8621986,0.75464666,0.87739074,1.2478936,0.79006535,1.2148296,0.4605986,1.4747741,0.7412927,1.4273936,0.86655533,1.0854421,1.2527144,0.81669176,0.90951073,0.82049,1.3579459,1.1859398,1.3249252,1.4333224,0.72150934,0.7480094,0.52965134,0.5244782,0.69406706,1.4550768,1.446881,1.0142826,1.1656162,1.2907646,1.0626976,1.1678554,1.4397905,0.47772086,1.1751024,0.6837994,1.1859987,0.88083595,0.93095726,1.0597202,0.56626385,0.6228483,0.62791693,1.5668479,0.6526961,1.2049236,1.2449208,1.3874965,0.9534487,1.1593988,0.92952806,0.9842166,1.5114843,0.9310162,1.0309706,0.6911287,0.62950045,1.4669479,1.1950858,1.2827507,1.0470196,1.1038765,1.3663757,0.8988205,1.2982044,1.435086,0.8437296
book,0.89481103,1.237357,1.0503188,1.1640377,1.0959859,1.124035,0.8657894,0.97886646,0.8881312,1.1242324,0.70075905,0.96770835,1.0343953,0.971471,0.0,1.0860946,1.1059785,0.46973008,1.1961248,0.9645117,1.0770798,0.82784307,1.0686667,1.0704328,0.99137247,0.9650328,1.0924817,1.1702555,1.120561,0.9076947,0.9997896,1.124708,0.8030334,1.1412524,1.1691786,0.7832834,0.837553,1.2149384,0.941951,1.0548892,1.254358,1.1812022,1.0350463,1.1844245,1.002841,0.9178629,1.0670664,1.1171808,0.82911676,1.0379163,0.8962696,1.2331725,0.990805,0.70990163,0.84564185,1.1516522,0.6433295,0.99841464,1.0913541,1.1396475,1.1076167,1.0988822,1.1410087,0.9909706,1.0961745,0.9318406,1.081097,0.70093346,1.1320186,0.9480438,0.939208,1.173142,0.906636,1.252682,1.1633806,1.0874463,0.9194736,0.9836641,1.180767,0.28895378,1.0641997,1.0354697,1.0293814,1.1545706,1.0393323,0.9541738,0.94325894,1.2176244,0.7905992,0.8338725,1.0984948,0.8988149,0.8080152,0.97208023,0.8073069,1.0393122,0.9215053,1.1375684,1.1740816,1.0377394,1.0345677,0.95242465,1.1132748,0.67833364,1.1009202,0.97257334,1.0260283,1.2130759,0.97621506,0.853282,0.92804056,0.81683326,0.9801267,1.2489371,1.1935036,0.9464827,0.9164399,0.73362297,0.9577504,1.0605395,1.2612369,0.99254763
bottle,1.4221344,0.46411538,1.3490667,0.54126406,0.4660803,1.1163757,0.897722,1.4550284,1.4567406,0.48351097,1.1453736,1.4049444,1.1184819,1.4870415,1.0860946,0.0,0.81342745,1.3254144,0.6453165,0.46607697,0.6411183,1.0051492,0.97989464,1.1705241,0.78563905,0.90028465,1.2863877,0.9950055,1.2585609,1.3995001,0.96745783,0.20456517,1.2157587,0.25331467,1.0302022,1.0729487,1.0481328,0.971847,1.1396688,1.3358855,0.69236696,1.1344427,1.2327625,0.8904042,0.9691015,1.0385242,1.1041244,0.5160562,0.797033,1.0021573,1.291752,0.68799424,1.1193687,1.1306027,1.0756396,1.1534138,1.2852526,1.3565991,0.7525258,1.0925065,0.7604354,1.442616,0.3857718,1.3047403,0.48058414,1.2725953,1.1266774,0.7367107,1.1887418,1.1489645,1.3088408,0.26313424,0.6353486,0.68488723,0.39160484,1.2567322,1.2669833,1.3889697,1.3190632,1.358748,0.39626944,0.5220518,1.1834344,0.54925156,0.7914472,0.9822338,1.0402293,0.35751414,1.5078912,0.9032761,1.2974403,0.9298462,1.2909019,1.2290399,1.1998125,1.3893375,1.344795,1.2944205,0.21426404,1.263305,0.80654484,0.87823045,0.43146336,1.0519065,0.6778999,1.0537846,1.2996526,0.3623044,1.2088354,1.0038921,1.3468726,1.3770835,0.64707315,0.8841766,0.4702226,1.0630665,0.6725199,0.6691394,1.3436412,0.66078055,0.49802345,1.1554673
bowl,1.2422222,0.816684,1.2823439,0.85912585,0.7678416,0.46071696,0.8552425,1.0670525,1.3545772,0.9392737,1.0036969,1.3774102,1.1970888,1.3639934,1.1059785,0.81342745,0.0,1.079006,0.6746713,0.6766327,0.90482414,0.9550679,0.8879777,1.1442981,1.0318146,1.0386107,1.2146606,1.1003962,1.2055926,1.4044611,0.9121568,0.93074745,1.180856,0.6892402,0.48104233,1.1097137,1.2102237,1.1159918,0.947695,1.279441,0.5721859,1.1302792,1.2447388,1.1287656,1.2117534,0.971262,1.2019683,0.6949103,0.9963693,1.0778939,0.93463117,1.1805509,1.2035589,1.2092669,1.0078211,1.3125019,1.1025234,1.2047207,1.1983968,1.2276189,1.0956331,1.4196126,0.87609136,1.1436476,0.69919366,0.77550256,0.9272027,0.8195089,1.2306432,1.1058106,0.99094635,1.0532063,0.81408495,1.0584127,0.79437804,0.9840639,1.1621852,1.320042,1.3729973,1.222669,0.946713,0.9565731,0.52773076,0.9321279,0.78774685,0.97665083,0.33973128,0.98964715,1.2976434,0.98364925,1.0490264,0.9268789,0.9006169,0.6058161,0.6440303,1.3773583,1.2251898,1.4287022,0.8986796,1.1460017,0.34898603,0.7322163,0.99443424,1.0910088,0.8590469,1.0804855,0.49200714,0.6314465,0.9215849,1.0937423,1.2396652,0.96168464,0.5261467,1.2118177,1.0762495,0.8968216,0.99844044,0.98939085,0.3679508,0.91050786,1.1236159,1.0644225
box,0.9020676,1.4038416,0.8932224,1.313566,1.2551332,1.096947,0.6142974,0.5866963,0.6212944,1.2558568,0.7880965,0.89142054,1.124896,0.7612705,0.46973008,1.3254144,1.079006,0.0,1.3860791,0.909105,0.8858251,0.93611944,1.1448944,1.0696954,0.95772606,1.1668669,0.7961745,1.2404362,1.1066638,0.6387643,1.1556586,1.4064455,0.47490907,1.2297635,1.1054183,0.9571287,0.87343824,0.9857912,0.7738539,0.89138407,1.3985848,1.0994263,0.9696137,1.3224472,1.2349409,0.8051142,1.1057786,1.3597875,1.2345,1.1271487,0.6189125,1.4025922,1.0388296,0.85548675,0.86866355,1.1078491,0.48044872,0.9071687,1.2029533,1.1383073,1.2267799,0.91293323,1.3913946,0.78108084,1.2535114,0.86485434,1.05448,0.74680245,1.0781381,0.9599229,0.95287746,1.4396237,1.0182638,1.3985109,1.3408656,0.7629232,0.99974376,0.83838236,1.0160782,0.41157568,1.289876,1.2511042,0.8939619,1.3055872,1.2735469,0.94838184,1.0487436,1.4541761,0.6093878,0.9268684,0.7406344,1.0729598,0.6793195,0.8143387,0.83969486,0.8510716,0.8913574,0.96619654,1.3953128,0.8720137,1.0201926,1.0192187,1.4016774,0.8850002,1.2109014,1.0259168,0.87364817,1.4464314,0.761809,0.7822254,0.76414114,0.6850795,1.0986307,1.3076923,1.4109651,0.9517118,0.9893651,1.032147,0.7349253,0.99996114,1.4464645,0.8782722
bread,1.1908187,0.6283163,1.3182003,0.7396853,0.8586632,0.59793854,1.0889322,1.4710934,1.4272313,0.8429259,1.1511719,1.4107469,0.8698294,1.3902359,1.1961248,0.6453165,0.6746713,1.3860791,0.0,0.9070552,0.9633131,1.0624475,0.7688008,1.1242042,0.8482859,0.81644744,1.2128282,0.8298839,1.1382891,1.4524871,0.3671782,0.6408626,1.3882089,0.6635821,0.75277853,1.0672781,1.1388036,1.145275,1.0903759,1.2810729,0.5474205,1.1343102,1.2454087,0.88904625,0.9355086,1.182121,0.8844452,0.5061482,0.76066786,1.0284381,1.3208263,0.72716534,1.0385904,1.2378211,1.0259589,1.1805542,1.168016,1.1953917,0.97818923,1.1007546,0.7932546,1.3355842,0.4426515,1.2394915,0.8232957,0.8477075,0.99724114,1.0499518,1.1436307,1.1258192,1.0383185,0.72947514,0.8248878,0.73495615,0.6154103,1.3042532,1.0135626,1.4204264,1.221239,1.3730764,0.6640732,0.61259884,0.7901467,0.7316309,0.13575459,1.175749,0.45888275,0.582258,1.3496246,0.902061,1.3556399,0.9346591,1.057274,1.1249356,1.0326141,1.4023192,1.1684904,1.2405877,0.5450847,1.3746781,0.86596155,0.8631439,0.6212044,1.211843,0.9110658,1.0510758,0.80371505,0.4000137,1.2361362,1.172572,1.4180404,1.256979,0.6978393,0.83391327,0.759822,1.1848216,0.94795245,0.83339345,1.0794808,1.0275004,0.6613997,1.2933962
bucket,1.3365217,0.69862705,1.3762395,0.78006756,0.6629432,1.0057106,0.41792375,1.1957653,1.3297558,0.7807492,0.94586515,1.4135416,1.2391603,1.3804076,0.9645117,0.46607697,0.6766327,0.909105,0.9070552,0.0,0.23299319,0.94224167,1.081734,1.1782612,0.6571575,0.9085998,1.2382666,1.0755979,1.212122,1.220189,1.1088139,0.647928,0.8732263,0.32276177,0.92404,1.09227,1.0697095,0.87130344,0.94214255,1.1897643,0.8259748,1.1534039,1.356967,1.0227795,1.0784771,0.90621555,1.1517874,0.63533807,0.9094202,1.0844252,1.0560861,1.0084945,1.01406,1.1433418,1.0232551,1.364094,1.0740068,1.3653142,0.97660834,1.2043731,0.7971163,1.3981885,0.68261445,0.9920246,0.5234518,1.2277483,1.1557645,0.4791165,1.1355939,1.1426405,1.1946995,0.83046603,0.46308768,0.86657643,0.6544684,1.0423615,1.2513622,1.3185282,1.2794247,1.2128406,0.7334434,0.79049873,0.9597644,0.67728305,1.0181152,0.8566351,0.98742867,0.7109774,1.3363693,0.7922083,1.0703373,0.99375373,1.1456763,1.081373,1.1245363,1.390192,1.1486552,1.3129979,0.5379875,1.1981685,0.77497125,0.7825539,0.6182556,1.0843865,0.7428515,0.9990874,1.2251911,0.6201618,1.1003964,0.6352854,1.2993741,1.3082978,0.6313465,1.0695698,0.9449017,1.1007841,0.48891658,0.7760917,1.1093268,0.5236754,0.8553525,1.0639403
can,1.3088453,0.8868946,1.1768022,0.99322045,0.87416506,1.1257385,0.46928334,1.041028,1.1446491,0.71161216,0.82484937,1.2957085,1.2005018,1.2009959,1.0770798,0.6411183,0.90482414,0.8858251,0.9633131,0.23299319,0.0,1.0561322,1.1545337,1.0732383,0.48712015,0.96900827,1.0658982,1.0323282,1.1528869,1.0284903,1.1518188,0.71985644,0.84282553,0.5316259,1.0965171,1.069141,1.0056887,0.7066195,0.85975873,1.0259917,1.0554962,1.1137779,1.3225381,0.9891149,1.1198264,0.93270296,1.029213,0.6458186,1.026287,1.2083597,1.0405132,0.94797516,0.91360116,1.09199,1.1000794,1.22969,1.132331,1.1968955,0.90938747,1.2029333,0.7732413,1.1882814,0.6400013,0.865596,0.6538421,1.2502189,1.3129328,0.73291254,1.0128251,1.1294326,1.0878428,0.8733469,0.5582586,0.73595333,0.8424202,0.8238765,1.2773743,1.2264398,1.0169691,1.2506582,0.7051983,0.7606422,1.026597,0.57691264,1.0676417,0.87365353,1.0911567,0.7469688,1.2180604,0.8137567,0.881674,1.0806932,1.2398279,1.1637475,1.1952783,1.1760775,1.0581454,1.0353305,0.59848225,1.129472,0.872852,0.98271906,0.6387215,1.2030941,0.70373905,0.98101217,1.2860141,0.6508844,1.1610637,0.6594668,1.1860516,1.2718894,0.9599726,0.9760578,1.0068668,1.1582081,0.5147664,0.98458284,1.1544867,0.47205555,0.8041414,1.041475
car,1.0745833,1.1058265,1.1186957,1.0869237,1.0167081,1.0932184,0.91713524,0.9232151,1.0435685,1.0035398,0.88011384,1.1396235,1.0281788,1.1301557,0.82784307,1.0051492,0.9550679,0.93611944,1.0624475,0.94224167,1.0561322,0.0,1.12786,0.8195842,0.97240233,0.8656339,1.2046888,1.1124663,1.1733409,1.0058961,1.1022135,1.0652473,0.8739828,1.0552683,0.93546474,0.92406684,0.9323605,1.0278132,0.83578485,1.1553751,1.0425055,0.98278004,0.9960265,1.0884883,1.0529191,0.9418237,1.1973178,1.0024307,0.7436639,0.809717,0.9317763,1.114876,1.0410833,1.0013866,1.0535078,1.087733,1.1524173,1.2532926,0.9478384,0.781709,0.9977487,1.1470422,1.0507873,1.011817,0.9800502,1.0927498,1.0269414,0.8997881,1.2070912,0.84238845,1.1118485,1.0787328,0.93352723,1.2309296,1.1055675,0.8105627,0.9718819,1.0368576,1.1245548,0.94814074,1.0771838,1.0938126,1.132915,0.97361505,1.0181605,0.89214563,0.9779392,1.1340492,1.1647037,0.8388409,0.862608,0.91874564,1.0805246,1.1011014,0.8604233,1.002475,1.2072171,1.0844209,1.0791283,0.9031184,0.8040586,0.91896963,0.9513242,0.7527452,0.83894694,0.9357043,1.0836537,1.0215144,0.9671558,0.73343986,0.9769088,1.0954694,0.7980027,1.2389896,1.1390157,1.1328189,0.9372822,0.49480498,1.042015,0.8368974,1.1322589,0.7778868
carrot,0.8757235,0.7759673,1.0469595,0.71847034,0.78353363,0.90644616,1.1785754,1.251589,1.3072143,1.0868838,1.077538,1.0597041,0.8061067,1.2215466,1.0686667,0.97989464,0.8879777,1.1448944,0.7688008,1.081734,1.1545337,1.12786,0.0,1.1069514,1.0601616,1.0741458,1.1406687,0.94629556,0.9707253,1.3057703,0.6892905,0.9698838,1.2816167,1.0160898,0.81028926,1.0436187,1.0731106,1.1480418,1.0892103,1.1571366,0.75895053,1.1429912,1.0850945,0.759325,0.849411,0.9694181,1.043596,0.8970597,0.9822659,1.0278326,1.0343316,0.9264441,0.9432887,1.1359024,0.86521405,1.0629263,1.0526091,0.83360726,1.0069238,1.0821874,1.0251429,1.1104953,0.91582763,1.1458956,0.9894927,0.9308846,0.794111,0.9630619,0.8818479,1.0234829,0.8061359,0.9608195,0.94103634,0.79480153,0.7203899,1.2322662,0.8579533,1.2203541,1.0836271,1.1878549,0.9685762,0.92595303,0.9548206,1.0771599,0.7874963,0.96216774,0.89615536,0.79894423,1.1195421,1.090621,1.1854329,0.8171004,0.9278819,1.0789891,1.0586337,1.1519154,1.0773185,1.1854503,0.9229016,1.235572,1.1163547,0.8355802,1.0603604,1.0829377,1.0265101,1.0135868,0.9092075,0.90519387,1.1125042,1.1349167,1.2164977,1.2290013,0.9071528,0.790383,0.8743059,0.97698635,1.0440123,1.020424,0.9769574,1.13288,0.86386156,1.1345692
cat,0.83440125,1.1666262,0.9564711,1.1367667,1.1749249,1.1558951,1.0361351,0.8428828,0.77974224,1.0827687,0.97336674,0.99807256,0.9022251,0.8161698,1.0704328,1.1705241,1.1442981,1.0696954,1.1242042,1.1782612,1.0732383,0.8195842,1.1069514,0.0,1.0449517,0.79879403,0.96181256,1.1318948,1.0967139,0.7117566,1.0676854,1.1984402,0.9136928,1.2695849,1.0469183,0.33435035,0.877346,0.88766503,1.0404025,1.0019906,1.1323316,0.8059808,0.9723686,1.149961,0.9255436,0.98537725,1.1293796,1.1566389,0.9409377,0.93928736,0.9672628,1.0838668,0.8937736,0.9534106,1.1754386,0.91292506,1.1164955,1.0912888,0.9634135,0.8248978,1.1240469,0.9027817,1.1001053,0.9035564,1.076074,1.005714,1.054098,1.0782918,1.064952,0.75115716,0.8906112,1.0908586,1.1111745,1.123367,1.2320395,0.8979906,0.66261375,0.9377924,0.88709956,1.0028157,1.1596283,1.2027587,1.231126,0.9323826,1.0815778,0.817745,1.1045041,1.1439292,0.89249134,0.8337664,0.9072443,0.8118534,1.0927664,1.1152104,0.9775248,0.904621,0.9434899,0.88201344,1.150564,0.85181636,1.1393279,1.2273492,1.0227987,0.90213484,1.0341215,0.9699552,1.0817258,1.0627286,1.1029652,0.7844915,0.93006545,0.9743616,1.1700926,1.1407542,1.1046425,1.1385062,1.1146629,1.0894145,1.0988495,0.9602009,1.1130381,0.7956313
chair,1.2611341,0.96831363,1.0742122,1.0169537,0.92530555,1.1622018,0.7290355,0.9771693,1.0233957,0.8970827,0.80365825,1.238497,1.2383075,1.1153786,0.99137247,0.78563905,1.0318146,0.95772606,0.8482859,0.6571575,0.48712015,0.97240233,1.0601616,1.0449517,0.0,0.9497291,0.9854065,1.0342342,1.1678354,0.95670664,1.095896,0.77208084,0.7480844,0.79198253,1.092009,1.0817603,0.98583424,0.61670744,0.6929615,1.0609837,1.0996397,0.9302759,1.2726908,0.93682456,1.1855952,1.0068773,1.0614237,0.62212574,1.0671597,1.0909771,1.172339,0.9647484,1.0843991,1.0664334,1.0566489,1.1377723,1.2030841,1.1793772,0.9192382,1.1653054,0.88818383,1.2232159,0.6255472,0.8635225,0.6562281,1.2426665,1.2632954,0.87218726,1.0806208,1.1094153,1.0705266,0.9341565,0.6614995,0.7976663,0.91390276,0.832445,1.2650023,1.2057203,1.0909994,1.2523265,0.694743,0.66991997,1.1274376,0.7540026,0.95122445,0.9023749,0.99048984,0.80149955,1.2498457,0.80481386,0.8566512,1.1146458,1.292712,1.1204201,1.0406082,1.1652689,1.1144052,1.0776603,0.7321465,1.01368,0.89690316,0.8824408,0.7551088,1.1431311,0.81087744,0.969434,1.2279029,0.6771697,1.1246024,0.90420014,1.2048557,1.0864546,0.8979999,1.0381237,0.99091756,1.1297154,0.6279278,0.9182686,1.1421393,0.4746474,0.8291498,0.89343405
clock,1.1236025,0.7454264,1.2662607,0.72544974,0.84466344,0.94416696,1.096311,1.2641827,1.1362321,1.0005896,1.1112312,1.2379605,0.9014996,1.2432244,0.9650328,0.90028465,1.0386107,1.1668669,0.81644744,0.9085998,0.96900827,0.8656339,1.0741458,0.79879403,0.9497291,0.0,1.1999843,0.90165275,1.1733744,1.2199608,0.8493673,0.9208736,1.1577116,0.8899516,0.95755833,0.6981256,0.6839022,1.0912459,1.0225396,1.2840792,0.75683033,1.1600902,0.9387125,0.9944402,1.1272395,1.0246813,1.0317533,0.9136945,0.66055495,1.0870448,1.1961955,0.7453873,1.0075117,1.1172758,0.9900055,0.9056193,1.1170483,1.1725255,0.6087282,1.1048402,0.8887449,1.2174647,0.90034556,1.2459137,0.847586,1.1002574,0.77626145,0.92115337,1.2202573,0.79034686,1.097739,0.83272016,0.983275,0.94248056,0.8206171,1.1936653,1.0262632,1.1969752,1.2242208,1.1287965,0.9353162,0.9169273,1.0872198,0.90306234,0.8398052,0.9545167,0.9782626,0.8218653,1.1131164,0.21742022,1.2410964,0.8269165,1.1567163,1.1717277,1.0927981,1.2268124,1.1860445,1.167276,0.8094946,1.1512183,1.1225505,1.0152246,0.7387599,1.0404408,1.0037634,1.0482197,1.1492674,0.86383975,1.1470847,0.76461256,1.1197624,1.2093428,0.85659903,0.87207156,0.9172429,1.1368507,1.013196,0.5823258,1.2341957,0.948908,0.8518908,1.1124244
closet,0.67799026,1.3771137,0.82161003,1.300406,1.3530333,1.0277641,0.90572715,0.6368653,0.5684787,1.2517384,0.9547845,0.7951752,0.97593784,0.5856604,1.0924817,1.2863877,1.2146606,0.7961745,1.2128282,1.2382666,1.0658982,1.2046888,1.1406687,0.96181256,0.9854065,1.1999843,0.0,1.159093,0.96905154,0.6626453,1.0840961,1.3676732,0.65191257,1.368114,1.1670053,0.9257731,0.87775016,0.51897585,0.9646498,0.6683331,1.3079069,0.8532098,0.8439781,1.2898667,1.072567,0.90588397,1.1646783,1.305892,1.3126669,1.0072813,0.74844414,1.2654614,1.2170625,1.001653,1.2229953,0.8325434,0.71210074,0.96424127,1.1714957,0.8516215,1.2440178,0.7913195,1.2958459,0.82635957,1.1943434,0.843737,1.1857442,1.1217061,1.0134765,0.85171294,0.86562556,1.2651447,1.248145,1.2440763,1.346026,0.73157215,0.8354678,0.7214174,0.8057898,0.82149804,1.3189592,1.3275008,0.96653795,1.2672644,1.1220454,0.9514085,1.0166712,1.267766,0.6963958,1.1635879,0.6312432,1.0431933,0.75535965,0.915343,0.95805943,0.7648799,0.90602523,0.857733,1.3660601,0.75495034,1.1517172,1.0881116,1.4266635,1.0520375,1.2170624,1.2070773,0.88823354,1.3193944,0.92494434,1.0692706,0.78315353,0.69343185,1.4485817,1.2485228,1.2572591,0.98621166,1.1696198,1.3731849,0.85529804,1.0349442,1.3423727,0.7225845
coffee,1.2230172,0.7524389,1.0362955,0.88487697,0.95113707,1.0372446,1.2462813,1.273211,1.2272553,0.8766228,1.1446209,1.0533961,0.89096373,1.1893412,1.1702555,0.9950055,1.1003962,1.2404362,0.8298839,1.0755979,1.0323282,1.1124663,0.94629556,1.1318948,1.0342342,0.90165275,1.159093,0.0,0.8996414,1.2074429,0.92367685,0.7924207,1.321902,0.90489805,1.0188121,1.2206165,1.1162109,1.1220106,0.9957155,1.1250043,0.79876876,1.1340277,0.98337686,0.5420742,1.0342692,1.1778108,0.6505662,0.8510221,1.0122694,1.0917592,1.198031,0.40104675,0.82284087,1.0258131,0.67413175,0.68308336,1.1077999,0.8239146,0.7267211,1.0788646,0.55834204,0.9917374,0.7684147,1.1299428,1.0073074,1.2213976,0.89372617,1.2102101,0.79156595,1.1091863,1.1132321,0.71528935,1.0870489,0.5635792,0.8068841,1.2286642,1.1864116,1.1694896,0.9589144,1.1276962,0.7687498,0.7310927,1.103511,0.8975922,0.93812907,1.1887286,1.1237643,0.69357353,1.156513,1.1499708,1.2421776,1.2299271,1.2005825,1.1465423,1.1450206,1.1105297,1.0422179,0.9436017,0.7918726,1.1389487,1.0664852,1.1617619,0.74685836,1.0690138,0.9459164,0.94509864,1.2157909,0.8511269,1.169699,1.2077768,1.1208379,1.224643,0.9200067,0.44061983,0.7391385,0.9780252,1.0830208,1.1128669,1.2351098,1.1362301,0.44470286,1.2716115
