,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,eye,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,sink,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
belt,1.424294,0.6303687,0.6607902,1.3153496,0.92207056,0.7963734,1.3144203,1.0662076,1.3121481,1.4691468,0.0,1.3200338,1.2091635,0.88393927,1.304024,1.043537,0.6504998,0.9163172,0.9682314,1.1830642,0.57778025,0.9198073,1.3231763,0.45837927,1.3699057,0.70545244,0.8753764,1.0608075,0.9938118,1.1387956,1.172051,1.2239177,1.3242486,1.1052041,0.4555019,1.450095,0.8185153,1.306716,1.2843491,1.1063082,1.0308032,1.2445809,0.96546173,0.75214696,1.1844349,0.75921625,0.6872357,0.68190855,0.6559527,1.2834346,1.3230629,0.3889345,1.2592492,1.1736076,1.1394747,0.9302918,1.1412737,0.7328625,1.2402555,1.2370812,1.3272978,1.1864232,0.54451066,1.1919572,1.0857891,0.98373765,1.405319,1.0826018,0.53415704,1.0549998,0.4953819,0.6366476,0.53171706,0.9019332,0.9900214,0.95900524,1.2266688,1.0709776,1.3143065,0.63440984,0.6353362,1.0262825,1.0277408,0.92858225,0.7957736,1.1643023,0.9882222,0.72431165,1.1691216,0.8117278,0.5092191,1.0855014,1.1361648,1.27994,1.2361981,1.1750739,0.61624706,1.23629,0.42252862,1.0152531,0.5816188,0.7397479,1.015309,0.6408191,1.4401033,1.2343723,1.3281412,1.051868,0.76318944,0.66414124,1.220825,0.62438786,1.1949695,0.9852312,0.7988403,0.42512918,1.1215451
bench,0.6848757,1.3114705,1.3637869,0.7938068,1.4254208,1.3242571,1.0043938,0.8778034,0.662243,0.50245625,1.3200338,0.0,0.8577178,1.2771127,0.7606259,1.142681,1.288738,1.2092141,1.123927,0.75993645,1.3598617,1.0949883,0.69924575,1.196952,0.6177856,1.4891605,0.81471074,0.30205065,1.2244747,0.56448513,0.80948347,1.0172317,0.1590023,1.1267924,1.5250913,0.19654202,1.3182766,0.6690579,0.9956945,0.6447652,0.8297123,0.6893232,1.4394279,1.2661418,0.8051076,1.3116558,1.3343613,1.4080565,1.2815843,1.0496598,0.8789856,1.4326806,0.7915172,1.2868934,0.84475213,1.1781286,1.011419,1.2944311,0.93900543,0.7245827,0.8955741,0.65739715,1.4041698,0.42808026,1.0197573,1.0389191,0.85759735,0.8335724,1.3077526,1.1761888,1.4890902,1.2953167,1.2485253,0.9259613,1.0981956,0.8885838,0.6599363,0.69841087,0.7885051,1.4558406,1.450302,0.62230015,1.112055,1.1019589,1.190995,0.7150128,0.90723765,1.4566559,0.5719985,1.3754108,1.4469934,0.98626244,0.971629,0.68588793,0.8640095,0.77999175,1.2012649,0.7579466,1.4003179,0.95598096,1.3513043,1.4773865,1.179385,1.4135157,0.4152416,0.70617926,0.7324637,1.2215481,1.4569584,1.4013963,0.88455737,1.278012,1.2803692,1.0314196,0.92414784,1.4074068,0.5485233
bib,0.47093654,1.2437882,1.3011101,0.6257311,1.2389449,1.2973042,0.8263139,1.1881279,0.8263359,0.57292587,1.2091635,0.8577178,0.0,1.192067,0.64537686,0.9867998,1.2253437,1.3352594,1.1383061,0.8814809,1.3098918,1.1709194,0.7426226,1.3846488,0.79047024,1.365494,0.8861814,1.0647404,1.1296515,1.0670886,0.909844,0.85058856,0.7966416,0.9011209,1.4294313,0.76710296,1.3097459,0.7163675,0.9155061,1.1525052,1.1165197,0.63822836,1.3126043,1.03349,0.8943167,1.10353,1.2937677,1.4445133,1.310304,0.6264223,0.78266644,1.4245517,0.50995195,0.95428205,0.9675603,1.1986308,0.68313396,1.2092409,0.77545273,0.76422095,0.89685047,0.566851,1.3612072,0.9871405,1.1242858,0.90914166,0.78077114,1.051979,1.1394424,1.0427228,1.3600975,1.3761959,1.0416071,0.8653543,0.97175944,1.1414814,0.588408,0.78226197,0.53295076,1.3810241,1.3809125,0.8488319,0.9910174,1.0946594,1.175352,0.88492644,1.1761259,1.4161799,1.1265097,1.3673161,1.4128219,0.982124,0.8573519,0.53864664,0.6041513,0.57935447,1.3587047,0.874998,1.4048977,0.8768703,1.2043184,1.1135789,1.1822888,1.2463298,0.76336354,0.6651069,0.66589165,1.0817014,1.3220177,1.0166736,0.76078737,1.3820877,1.0430517,1.1740074,1.2141905,1.1672406,1.1104592
bird,1.2525935,0.8386923,0.96902287,1.2547946,0.85579973,0.66995764,1.1467057,0.8425013,1.2408668,1.3779676,0.88393927,1.2771127,1.192067,0.0,1.267631,0.8316133,0.7105589,0.83981436,0.7941629,1.1551784,0.80887514,0.94996357,1.0332922,0.74788034,1.2551216,0.78585625,1.0938385,1.0440238,0.5910763,1.1490915,0.925483,1.0288731,1.3883958,1.096023,0.73395944,1.3586133,0.72551113,1.288362,1.200071,0.865376,0.72913563,1.2548977,0.84847856,1.0677104,1.2160014,1.0095859,0.73417556,0.6520199,0.5416161,1.1599977,1.2263448,0.64823395,1.3629825,1.1276668,1.173378,0.5987103,1.2925515,0.8751127,1.1391612,1.2061062,1.2492522,1.4133375,0.6684756,1.0858302,0.6611414,1.2303911,1.2969112,1.204875,1.0008433,1.0075301,0.98781765,0.59566194,1.0822934,1.3043246,1.0822799,0.90769535,1.3766787,1.3464651,1.2028191,0.5893733,0.61143875,1.132161,0.99643075,0.8376624,0.8409465,1.1623244,0.8402867,0.63732904,1.0389165,0.5921579,0.7981243,1.048886,0.82211363,1.3000292,1.0784794,1.4149032,0.67128444,1.1683462,0.7594638,0.93541664,0.8105734,0.759606,0.636588,0.91430193,1.343112,1.3327378,1.2851737,0.9391205,0.9347621,0.9971196,1.3139588,0.6434159,0.93852806,0.90249157,0.6184197,0.9708047,1.0927068
blanket,0.61231315,1.2169467,1.3170035,0.6843226,1.3219545,1.2988452,0.8144918,1.0875535,0.78871286,0.24761832,1.304024,0.7606259,0.64537686,1.267631,0.0,1.0971664,1.204079,1.278382,1.1236413,0.87873536,1.2987428,1.0087049,0.835547,1.3887382,0.6503628,1.316107,0.8430719,0.94553804,1.1610204,0.9609676,0.9252694,1.0133284,0.7152387,1.0936496,1.3516922,0.636522,1.3276637,0.6409476,0.8112035,1.057419,1.0835068,0.89612055,1.260826,1.1458349,1.0116442,1.208525,1.3582375,1.3747514,1.1806334,0.6155121,0.72304,1.3410586,0.77910554,1.0086613,1.006546,1.2566909,0.8575164,1.2103412,0.7831434,0.594418,0.953019,0.48273468,1.276719,0.9790542,1.147536,1.0762304,0.8244797,1.0354068,1.1534408,1.1111581,1.407548,1.3008299,1.1256363,0.9388605,1.1243783,1.0448525,0.45924187,0.8148274,0.6678503,1.341879,1.3636721,0.5521147,1.0489421,1.208847,1.2026427,0.7836976,1.1131525,1.3833222,0.9972625,1.4393184,1.3066378,0.9484407,0.8856299,0.7770483,0.45032448,0.5816511,1.3298182,0.89637536,1.2632748,0.9301042,1.1087397,1.1336027,1.2395785,1.1033996,0.72892,0.7185774,0.14420712,1.1502972,1.3440149,1.1407369,0.84816825,1.2989957,0.98632383,1.1522957,1.2722654,1.2067728,0.95470315
boat,1.1004155,1.1565957,0.98810625,1.1751117,0.7875298,0.8989257,0.83132666,0.96377665,1.159142,1.1561493,1.043537,1.142681,0.9867998,0.8316133,1.0971664,0.0,0.7224802,0.8500985,0.80566907,0.8724257,0.71601266,0.89644706,0.97508556,0.9385102,1.2519358,0.8243679,1.3331671,1.159707,0.87760925,1.2080672,1.1211053,0.803683,1.2161409,0.81798494,0.9644248,1.2496711,0.8417873,1.2768323,1.0147563,1.1041207,0.9832822,1.1596372,0.71466386,1.0869102,1.187415,1.0294348,0.9965908,0.9808834,0.8360933,0.8820618,1.1161627,1.0674744,0.9893276,0.72587,1.2513199,0.97976226,1.084575,0.99930006,1.1228607,1.2249405,0.97109616,1.1639298,0.95634127,1.1322517,0.9752635,1.0758469,1.0108912,1.2406584,1.0706946,0.8715925,0.9875251,0.7440309,1.0813129,1.192801,0.81177676,0.8619702,1.1692322,1.2367495,1.0276147,0.9305496,0.9924613,1.0431439,0.6759683,0.94119006,0.61736625,0.91239035,0.7540188,0.9308853,1.1582719,0.86759484,1.011659,1.0838188,0.9659187,1.2275075,0.88849723,1.1092803,0.95596474,1.1163601,0.87924945,1.1053385,0.962943,0.7308922,0.8445939,0.98971605,1.2054162,1.2585545,1.0537138,0.62364364,0.9723963,0.9726699,1.0749444,0.76561093,0.6480701,0.6507504,1.0141504,1.0473993,1.3111486
book,1.4041586,0.8465163,0.660195,1.435612,0.813576,0.77036023,1.2491081,0.8457906,1.2460579,1.3236132,0.6504998,1.288738,1.2253437,0.7105589,1.204079,0.7224802,0.0,0.7663802,0.5652119,0.7601309,0.46955782,0.7930394,1.1990101,0.6793563,1.2940904,0.68368405,1.3063126,0.9679542,0.75946057,1.3285146,1.123123,1.1919165,1.3824966,1.1926882,0.3897223,1.3803456,0.64349765,1.4943504,1.2616005,1.1581422,0.8832854,1.2962922,0.80922663,1.1048176,1.3143095,1.0598868,0.61227876,0.6620252,0.651999,1.2000804,1.2741377,0.6585606,1.3369048,1.0343933,1.3505845,0.85905075,1.4001076,1.0474555,1.2482775,1.3139132,1.2838047,1.334203,0.21603763,1.2291362,1.0511019,1.0464952,1.4230123,1.2374799,0.96016055,1.1736208,0.6282365,0.21703851,0.9937672,1.3203645,1.0270342,0.80066115,1.276447,1.3579293,1.0759233,0.32936478,0.4609226,1.1157376,0.8243717,0.7419599,0.32402444,0.9422965,0.7393959,0.6803327,1.2690108,0.72042847,0.5628483,1.0731899,1.1566575,1.4298881,1.0580928,1.3125764,0.54918265,1.1706418,0.6090444,1.0385151,0.5597611,0.6778854,0.92202055,0.6902109,1.3683609,1.4719617,1.1458502,0.8872189,0.96293616,0.77051145,1.1913074,0.22992396,0.8862021,0.5445802,0.85527754,0.7471254,1.3012016
bottle,1.3718882,1.0205094,0.6784897,1.4088566,0.71500146,0.68015146,1.2148032,0.5931989,1.2050494,1.3202312,0.9163172,1.2092141,1.3352594,0.83981436,1.278382,0.8500985,0.7663802,0.0,0.5582253,0.9518786,0.8828312,0.6567638,1.2178676,0.6275848,1.2373248,0.61861783,1.2766111,0.975392,0.6453074,0.96136975,1.1852374,1.038991,1.3181331,1.2360047,0.6752242,1.2119554,0.19014072,1.3801674,1.0405282,0.9294059,1.004591,1.2919841,0.7853795,1.2475249,1.1807637,1.2355309,1.0479369,0.6052872,0.8577965,1.2921184,1.0794654,0.9068164,1.2325689,0.8616639,1.2112167,0.9257275,1.388052,0.90963644,1.1309141,1.1926489,0.6324503,1.4082508,0.7609159,1.0483177,0.7403004,1.2580521,0.9590021,1.1711543,1.2192435,1.1450735,0.80670846,0.61964977,1.2586105,1.2879062,1.048561,0.66816175,1.3347981,1.3794663,1.3417455,0.6423264,0.6480209,1.3156519,0.8731786,0.66310716,0.8960093,0.919024,0.6798814,0.6821059,0.7849492,0.6292931,0.8617863,1.1159121,1.0154923,1.2894971,1.3293053,1.331397,0.7341684,1.1436813,0.94592524,1.1265714,0.9507731,0.86818993,0.6123358,0.7174879,1.2045557,1.3272722,1.1690581,0.6356897,0.9420517,1.0858021,1.2348717,0.612878,0.683391,0.8071747,0.6031556,1.0562721,0.9915752
bowl,1.3492672,1.0756117,0.87782544,1.3325269,0.8777354,0.8118188,1.2247446,0.628651,1.0201025,1.228314,0.9682314,1.123927,1.1383061,0.7941629,1.1236413,0.80566907,0.5652119,0.5582253,0.0,0.61141247,0.90438426,0.43016958,1.0892376,0.85127115,1.2237384,0.89086336,1.2066832,0.917742,0.7808178,1.0260892,1.2241311,1.0442009,1.2130086,1.2620019,0.9071152,1.1842213,0.45827758,1.3228728,1.0828578,0.9698097,0.9030057,1.2520189,0.8547859,1.1822011,1.2742026,1.1308069,1.0781305,0.84060514,0.868165,1.2556849,1.1771845,0.98013717,1.0980246,0.9162174,1.2988329,0.9696933,1.2934674,0.9590272,1.1003692,1.1473162,0.89130276,1.2420375,0.7542733,1.0173522,0.92153835,1.2058518,1.0040339,1.1897433,1.1571892,1.1178437,1.0028766,0.5149889,1.2773168,1.2944815,0.95491415,0.71061337,1.2171392,1.3553535,1.0831535,0.7782378,0.8954021,1.0233732,0.9036707,0.8160205,0.6785629,0.5467762,0.5816715,0.9092309,0.89584386,0.8819812,0.7776567,0.9957447,1.0046012,1.3074833,1.20626,1.2382154,0.7556887,0.91756344,0.99420506,1.0615442,0.80105287,0.84755147,0.80020595,0.85154164,1.2065028,1.3601449,0.9907838,0.69925976,1.0451343,1.0751399,1.1746609,0.5412617,0.8057121,0.691219,0.81862736,1.02936,1.0997261
box,0.99916774,1.1364079,1.1916572,1.0511699,1.1804982,1.1501154,1.0163851,0.8410569,0.9016777,0.7887664,1.1830642,0.75993645,0.8814809,1.1551784,0.87873536,0.8724257,0.7601309,0.9518786,0.61141247,0.0,1.0610164,0.7261534,0.8326575,1.0904219,0.8895248,1.1279244,1.1400412,0.76533145,1.0695189,1.008863,1.0470315,1.023874,0.78367704,1.211277,1.1702305,0.7107203,0.97362894,0.98501545,0.997978,0.97963464,1.0083907,0.9032624,1.1936784,1.1086564,1.0599337,1.2011375,1.232283,1.237774,1.2664841,0.9751724,1.0025984,1.2319883,0.86186355,1.0520501,1.1320738,1.1675674,1.1124344,1.1406786,0.98506916,0.9431425,0.8929523,0.8538133,1.0112516,1.0138816,1.1515296,1.0164453,0.9415717,1.1237463,1.2073317,1.1430292,1.222204,0.9376481,1.1564081,1.1033654,0.94825506,0.671963,0.8219125,0.9715883,0.8028522,1.1233114,1.2224369,0.90732396,1.0169513,0.9505417,0.844921,0.45252156,0.77088046,1.202007,0.92648983,1.18555,1.1299515,1.067719,0.93555766,0.9582535,0.9001981,0.8577255,1.0565064,0.9508075,1.2175622,1.0229397,1.0300041,1.0249599,1.1705503,1.0810721,0.77471095,1.0032644,0.78758377,0.8716235,1.2981611,1.1606046,0.9652097,0.9356215,0.8907051,0.7824429,0.9884601,1.1169585,1.0091802
bread,1.4582839,0.7349724,0.7760128,1.3608677,0.79279256,0.8929569,1.1703207,0.9581725,1.3810432,1.4733298,0.57778025,1.3598617,1.3098918,0.80887514,1.2987428,0.71601266,0.46955782,0.8828312,0.90438426,1.0610164,0.0,0.87919796,1.3278108,0.638252,1.4211366,0.55152684,1.1819955,1.0998032,0.97268397,1.2179693,1.1812816,1.0515938,1.3992586,0.87881464,0.49517024,1.4901342,0.82334733,1.3603433,1.2175738,1.2104882,1.0875795,1.3121862,0.6787844,0.7898079,1.23543,0.8682852,0.6772128,0.5641364,0.61323094,1.2545285,1.3633897,0.4861005,1.2981069,1.0964708,1.2221286,0.90276986,1.252735,0.96829337,1.2469301,1.3097509,1.349816,1.3567319,0.41873133,1.2396383,1.2152288,0.97952354,1.3853743,1.089513,0.6728883,0.7156089,0.5334342,0.46766257,0.7009801,1.0530113,0.90716106,1.0634426,1.3706188,1.1786667,1.3359947,0.55161476,0.64337254,1.1108139,0.50296605,0.8921579,0.290519,1.1464655,0.8747029,0.59126985,1.290888,0.6188631,0.5689523,0.982383,1.3560023,1.3852284,1.2166883,1.2711256,0.72344804,1.2946267,0.4037189,1.1088225,0.68372095,0.7028073,1.0646621,0.5976344,1.463135,1.3698076,1.2369787,1.0050832,0.758312,0.7165002,1.2861753,0.45570588,1.0030425,0.5369496,1.0215849,0.6062823,1.2421849
bucket,1.2566483,1.0718312,0.9698721,1.3085115,1.0175714,0.8918926,1.2061846,0.6647856,1.1494827,1.2523174,0.9198073,1.0949883,1.1709194,0.94996357,1.0087049,0.89644706,0.7930394,0.6567638,0.43016958,0.7261534,0.87919796,0.0,1.0958148,0.71634305,1.3469425,0.8372028,1.1427839,0.8994434,0.92650044,0.9301546,1.2101716,1.1561147,1.122001,1.282965,0.98196566,1.2085977,0.5579651,1.231859,0.9824122,1.0038036,1.0836667,1.2196621,0.94862366,1.1197475,1.2973609,1.055918,1.1167904,0.9342067,0.8801991,1.2234882,1.258497,0.99457246,1.0151145,1.0303173,1.2788734,1.1012264,1.2579665,1.0112418,1.132005,0.96353596,0.97985446,1.0528553,0.90833026,0.9113666,1.046526,1.1675119,1.0248606,1.1819677,1.0465947,1.0837091,1.0439178,0.56506383,1.0712299,1.2115893,1.0033846,0.5924589,1.0556159,1.0565933,1.2302039,0.9447878,1.022065,0.8111378,0.9783129,0.8087198,0.86120695,0.29289114,0.7207473,0.97489756,0.91574866,0.85908026,0.858245,0.9033359,1.0185312,1.1927111,1.1549382,1.0054168,0.7635221,1.1325577,0.9051325,1.1303383,0.65390086,0.7082046,0.9685132,0.6364521,1.2254437,1.2045274,0.97565615,0.8014509,1.0015619,1.063951,1.1699924,0.5578201,0.8330498,0.820488,0.7787645,0.8940088,1.0940812
butterfly,0.5522374,1.2819577,1.3218467,0.79970413,1.3412265,1.1623361,0.74173844,1.0901911,0.77587116,0.7007416,1.3231763,0.69924575,0.7426226,1.0332922,0.835547,0.97508556,1.1990101,1.2178676,1.0892376,0.8326575,1.3278108,1.0958148,0.0,1.300097,0.7309692,1.2606391,0.95003957,0.97852933,1.0858984,0.9734711,0.8517748,1.0110027,0.71228254,0.9251363,1.378728,0.61766696,1.2456012,0.75394976,0.8691414,1.0582585,0.97454953,0.78528816,1.2174466,1.1919591,0.91839975,1.2331164,1.0978824,1.3544015,1.2625642,0.6832211,0.83278275,1.4026399,0.71593755,0.99644506,0.9705284,1.1561807,0.91087633,1.1981791,0.86849123,0.89740026,0.80494,0.7726662,1.3055449,0.7586765,1.0193083,1.0490634,0.7389415,0.932755,1.30352,1.0635965,1.4763918,1.2664323,1.1854469,1.0335883,0.96664745,1.0415572,0.77218795,0.92128265,0.6882554,1.3339442,1.3052212,0.8762316,1.0727959,1.1434425,1.1158063,0.7849275,0.9304287,1.3491621,1.0054313,1.221858,1.3660693,0.9366642,0.7057995,0.83183265,0.5842229,0.8433895,1.2113161,0.81127113,1.3655603,0.9041978,1.3091514,1.2055521,1.0702754,1.34672,0.6323702,0.8711678,0.85237956,1.0271932,1.3411794,1.1845319,0.77055186,1.2595264,1.008871,0.9688397,1.0596586,1.2987375,1.0307176
can,1.4593761,0.7742549,0.7593558,1.4111881,0.8086184,0.6782247,1.3569074,0.79603493,1.3080174,1.5495224,0.45837927,1.196952,1.3846488,0.74788034,1.3887382,0.9385102,0.6793563,0.6275848,0.85127115,1.0904219,0.638252,0.71634305,1.300097,0.0,1.4747618,0.6893806,1.1154602,0.8079647,0.8830145,0.96877295,1.0411472,1.2236258,1.3116908,1.1575955,0.60155225,1.3640589,0.5413099,1.4196621,1.1509655,0.8230823,0.8547927,1.3725314,0.8529206,0.9324143,1.3306406,0.79548854,0.6775537,0.6646723,0.55127716,1.4274004,1.3682933,0.48740202,1.3621142,1.0231119,1.2300013,0.7439065,1.2500086,0.8472146,1.3321049,1.274181,1.2030774,1.343476,0.63152665,1.0201727,0.9099514,1.0408973,1.3707125,1.2040668,0.7726912,1.046644,0.6924845,0.5284239,0.7297015,1.0657556,0.9702242,0.62307596,1.3506575,1.1584984,1.3486756,0.64624476,0.6340655,0.98983413,1.0450898,0.76707566,0.79053915,0.9958296,0.7553025,0.68343496,1.0041789,0.6844385,0.5500116,1.1616595,1.1945677,1.4384493,1.3754653,1.281959,0.5860978,1.2842909,0.49313575,1.1912374,0.690942,0.7574401,0.82297087,0.6834953,1.4123876,1.4515696,1.3887222,0.8039601,0.7202084,0.84252363,1.2374678,0.53291595,1.0651975,0.85226035,0.5393063,0.620032,1.0611846
car,0.5443435,1.2701112,1.2011241,0.7300778,1.261799,1.2889578,0.8389447,1.0673271,0.73970366,0.39332378,1.3699057,0.6177856,0.79047024,1.2551216,0.6503628,1.2519358,1.2940904,1.2373248,1.2237384,0.8895248,1.4211366,1.3469425,0.7309692,1.4747618,0.0,1.4462662,0.5805982,0.8485498,1.1229985,0.8723727,0.7782339,1.0556871,0.5921042,1.1103209,1.3596922,0.35427064,1.3925467,0.5565122,0.97454655,0.9913404,1.063739,0.55392885,1.270616,1.2061567,0.780262,1.3596559,1.1919143,1.3391285,1.3664483,0.6699045,0.29916096,1.3955164,1.0081913,1.0998772,0.8784982,1.2026415,0.9652709,1.2888727,0.5415863,0.7376022,0.87077093,0.78891766,1.3053458,0.80489004,1.0919914,0.8896045,0.9079814,0.5499662,1.2936026,1.2732772,1.3454053,1.4243869,1.3899603,1.0422505,1.1796995,1.1772487,0.7225406,0.87995243,0.7077038,1.3572192,1.2993541,1.014154,1.1831118,1.2321476,1.3063874,1.095371,1.0255541,1.39789,0.7906836,1.3564584,1.4073644,1.0438294,0.84319067,0.6363442,0.59369224,0.78233504,1.2023485,0.8175515,1.4443343,0.5604175,1.3177159,1.4124653,1.1318275,1.302556,0.37700045,0.53493494,0.72839886,1.2181206,1.4409714,1.2938354,0.7984585,1.4261267,1.0913061,1.195565,1.2354882,1.4495138,0.58675563
carrot,1.4033546,0.7557732,0.601727,1.3371747,0.59005713,0.70844394,1.0517311,0.93480587,1.3538003,1.4841824,0.70545244,1.4891605,1.365494,0.78585625,1.316107,0.8243679,0.68368405,0.61861783,0.89086336,1.1279244,0.55152684,0.8372028,1.2606391,0.6893806,1.4462662,0.0,1.2975783,1.2684748,0.82445663,1.2218059,1.2363986,0.98868185,1.501678,1.0598317,0.42106164,1.5356846,0.5906717,1.4194338,1.068981,1.1635885,1.1315303,1.3268973,0.56874377,0.88860005,1.2113183,0.86445856,0.65201247,0.5369866,0.7668129,1.2199445,1.2914784,0.6186797,1.2367831,0.87320036,1.2022865,0.95381176,1.2374785,0.81682014,1.2245834,1.2283971,1.072121,1.4470078,0.56128085,1.3299356,0.98925453,1.0917063,1.0825362,1.248889,0.84256744,0.75011754,0.44392836,0.6160394,0.8543134,1.125566,0.717261,0.9746465,1.4279046,1.2368292,1.3966327,0.51059055,0.5114965,1.2794943,0.9192946,0.8647802,0.76623976,1.1385849,1.0150696,0.4540456,1.2458227,0.50699973,0.6223305,1.024857,1.0874112,1.374696,1.2362728,1.3508136,0.72098374,1.2812887,0.56443596,1.1639686,0.6637588,0.6911469,0.8906604,0.5471274,1.4744701,1.3931745,1.2846248,0.8305671,0.5994856,0.78135,1.2500615,0.6219826,0.755264,0.90475583,0.87056375,0.7133643,1.2745345
cat,0.84130347,1.0707542,1.1785111,0.7354545,1.3175755,1.2306582,1.0085521,1.1396623,0.82279867,0.8722794,0.8753764,0.81471074,0.8861814,1.0938385,0.8430719,1.3331671,1.3063126,1.2766111,1.2066832,1.1400412,1.1819955,1.1427839,0.95003957,1.1154602,0.5805982,1.2975783,0.0,0.8776615,1.2171961,0.84570503,0.7296427,1.1650463,0.78009117,1.1616359,1.1888121,0.8041434,1.3186932,0.54240286,1.1679934,0.8609281,0.90061635,0.7075133,1.3073484,1.0903639,0.96378964,1.0806053,1.0477024,1.1222783,0.98275024,0.98653036,0.7389753,1.0316191,1.0314629,1.3704566,0.93577623,1.1793052,0.88460046,1.1023654,0.67247945,0.7658434,1.1660163,0.7615304,1.1539123,0.8553531,0.9777922,0.9296702,1.051627,0.636852,1.0633289,1.1177034,1.2336949,1.2231125,1.1243294,1.036812,1.146578,1.0546296,0.8429141,0.8948988,0.9150173,1.2376711,1.1865345,0.7629185,1.2224089,1.25014,1.2520128,1.153008,1.095301,1.2109003,0.7493188,1.1597333,1.1648779,0.86104953,0.93038887,0.77569515,0.8663033,0.825049,1.0167596,0.82067895,1.1479534,0.47037888,1.0286914,1.2475073,1.1988484,1.055235,0.9430705,0.5604286,0.94843423,1.3836806,1.2959938,1.0368198,1.0028145,1.2244506,1.4239221,1.2865998,1.0663298,1.1928582,0.6135795
chair,0.9961005,1.1644278,1.2553649,0.99638754,1.328274,1.1653414,1.2926068,0.6633657,0.7353178,0.80755347,1.0608075,0.30205065,1.0647404,1.0440238,0.94553804,1.159707,0.9679542,0.975392,0.917742,0.76533145,1.0998032,0.8994434,0.97852933,0.8079647,0.8485498,1.2684748,0.8776615,0.0,1.1002384,0.53367734,0.81050396,1.2859554,0.44973218,1.3649535,1.2274325,0.4267279,1.0086042,0.9815628,1.1353455,0.49846405,0.7372223,0.9404274,1.315223,1.2840419,1.0369442,1.1283865,1.1626496,1.1633024,0.93453664,1.32975,1.1041708,1.080258,1.0821232,1.3843431,0.9873506,1.0076388,1.1581069,1.2421882,1.0837256,0.80005336,1.068463,0.89302725,1.0622582,0.4926461,0.935418,1.0813932,1.1252663,0.94561255,1.2689935,1.2999027,1.3141783,0.89220035,1.1459576,1.0692439,1.1225489,0.7679182,0.85926855,0.8600802,0.9726467,1.1522814,1.1881154,0.69840217,1.1832106,0.9678136,0.9848382,0.78103673,0.7935126,1.2673464,0.50786394,1.1733806,1.1175898,1.1449907,1.0411428,0.8781538,1.1243535,0.9205202,0.80255514,0.812407,1.1993833,0.99372417,1.0581292,1.2988681,1.0935609,1.1407554,0.69365805,0.9467438,0.9234975,1.2221217,1.3156384,1.3502423,1.0052505,0.88053274,1.3349361,0.92237663,0.65539515,1.2265141,0.49047172
clock,1.2278218,1.0461833,0.7770264,1.3844751,0.6658097,0.55627316,1.2036823,0.57053316,1.3099555,1.2107593,0.9938118,1.2244747,1.1296515,0.5910763,1.1610204,0.87760925,0.75946057,0.6453074,0.7808178,1.0695189,0.97268397,0.92650044,1.0858984,0.8830145,1.1229985,0.82445663,1.2171961,1.1002384,0.0,1.1059945,0.983255,0.8646077,1.3587103,1.1169407,0.72093356,1.1894681,0.5860202,1.3364202,1.0860211,0.88763344,0.8626987,1.2740037,0.86356974,1.1863772,1.1894345,1.2742279,0.857648,0.56845284,0.78334725,1.0463384,1.1408255,0.94716525,1.4718275,0.8787849,1.19327,0.8245793,1.4284171,0.97668135,1.0078065,1.1006871,1.067629,1.428824,0.81585044,1.0392417,0.5195026,1.2201259,1.3446336,1.1706607,1.207246,1.1060247,0.907238,0.7070334,1.2703971,1.3899264,1.020617,0.8206279,1.3607097,1.4253986,1.1196327,0.6675476,0.64982694,1.2750064,0.7837663,0.6753583,0.90248966,1.0935246,0.6787565,0.66419905,0.9962775,0.5817034,0.8542123,1.0695412,0.8277492,1.2595398,1.0342826,1.4629548,0.81174725,1.2116209,0.88627,1.0062357,0.8766635,0.73905224,0.4673233,0.8692635,1.2175713,1.323293,1.1464503,0.7233217,1.0448457,1.015433,1.3091897,0.76190263,0.64502877,0.7844614,0.7360623,1.1162812,1.0795944
