,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,duck,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
comb,0.90135676,1.0022175,1.2465606,1.0109988,0.68510044,1.1197518,1.202114,0.99499655,1.0063099,0.93972814,1.0466212,0.9016734,1.1524063,0.6349147,0.9167625,1.025271,0.9005515,1.0102305,1.018054,1.180498,1.1213461,0.8375251,1.1771593,1.0447272,1.1927502,1.2581639,1.2161673,1.122003,0.7992015,0.95830745,0.84877217,1.214244,0.9714517,0.88624156,0.9164441,0.0,1.1003224,0.9227035,0.8785602,0.7721954,1.1478397,0.64990515,1.1938707,1.16508,0.9079347,1.0898762,1.1728264,0.87558174,0.9010969,1.1645082,0.98104036,1.1738333,1.0339324,1.0803319,0.8813523,0.86907995,1.0295136,1.251461,0.69799864,0.98601884,1.0885469,1.0490484,0.7421399,1.1553512,0.8115237,1.0856801,0.90436786,0.7975136,0.8681866,0.68090016,1.1021314,1.1428134,0.81438804,0.92676145,1.1652201,0.8377615,0.9181183,0.77103513,1.0780855,0.87660635,1.048588,1.1658857,0.9606904,0.75283456,1.075479,0.7830031,1.2112006,1.2332156,1.1919875,0.9708618,1.0796275,1.1661506,0.7412664,1.1772088,0.8393216,0.8652268,0.8699242,1.0606338,1.109448,1.1228864,0.9888872,1.0911412,0.95679873,1.0550452,1.1859454,1.0533029,1.1218376,1.2348065,1.0776932,1.1991069,0.9296595,0.83997047,0.9591216,1.2958375,0.87171054,0.9578026,0.8232242,0.748762,0.9291612,0.8038484,0.92173594,0.9328696,0.93855613,1.1140177,0.9778199,1.1747285,0.717976,0.9953173,1.0513066,1.1106226,1.1683426,0.8346342,0.95303667,1.0106916,0.90010655,1.0800123,1.0408,1.1663201,0.71265996,0.92820865,0.9879768,0.9643174,1.0157678,0.9431034,0.9280645,1.1762996,0.94648635
cookie,1.0476838,0.93696123,0.75194776,0.8505728,1.1475341,0.9170087,0.9706957,0.7348207,0.9684993,1.1283755,1.0051873,1.2178073,1.1378207,1.2278955,1.0215704,1.0989392,1.1871715,0.85850424,0.9505596,1.0933838,0.80730164,0.8073376,0.63343555,1.1917179,0.96321434,0.5139818,1.1856709,1.1077902,1.0626163,1.2468652,1.2719418,0.8673506,1.0925057,1.0470735,0.8452767,1.1003224,0.0,1.0131493,1.2267374,0.67505276,1.1812254,1.1680279,1.0475367,0.935866,0.74442697,1.0650136,1.0663021,1.1451174,1.1814594,0.987818,1.178313,0.8604766,1.1444861,1.0443317,1.11779,1.0918444,1.0144285,0.9744252,0.9809415,1.013911,0.6796917,1.0088384,1.160303,1.2057364,1.1528953,1.1816866,0.72240984,1.1165967,0.8699834,1.0573573,1.1614578,1.1182196,1.049551,1.1627641,0.92934996,1.2538213,1.1299611,1.1857316,1.0424173,1.1930537,0.7696606,0.82958376,0.9795833,1.0813817,1.0928829,1.0697675,0.37645644,1.1341457,1.0479431,1.0872017,0.99334896,0.6118978,0.94354653,0.91958797,1.1763494,1.2411395,0.8927822,1.1838722,1.1765833,1.0640259,0.734581,1.0220356,1.1990676,0.34732866,0.97825915,0.8172256,1.0526787,0.62163967,0.90634465,1.1804615,1.0547497,1.1967406,1.0409416,0.86791384,0.88115036,0.75490874,1.1526414,1.1645017,1.0912987,0.9581268,1.0088786,1.02916,1.1530616,1.1437762,1.0715657,0.9497935,1.1300157,0.6690622,0.9213432,1.0635543,0.72054166,1.0812304,1.104225,1.0548882,0.95349985,0.840456,1.0872325,1.1569767,1.0941828,1.2632377,0.9689625,0.80715466,1.041249,1.0652713,1.1885383,1.1529312,1.2128167
corn,0.8191632,0.8974436,1.0106227,0.788222,0.7402984,1.0396997,1.1693892,0.84723836,1.2051276,0.8283956,0.8669009,0.8567784,1.3483492,1.0548166,0.75306064,1.0169429,0.93189776,0.77791625,0.8355026,1.2345065,1.0276887,0.8032462,1.1109517,1.2241589,1.2765954,1.1910461,1.3624245,1.0349839,1.1004301,1.0137016,1.1876261,1.1741107,1.1665697,1.0434673,0.9313439,0.9227035,1.0131493,0.0,0.9212674,0.9623313,1.1821922,0.9907157,1.2250456,1.0747302,0.88824785,0.99915874,1.2159423,1.21356,1.0650244,1.0634773,1.2417396,1.0655284,0.9613959,1.1043534,0.9583913,0.9891425,1.1499848,1.1761979,0.886045,0.98956335,0.9045305,0.97608674,0.9126456,1.2447302,1.0790315,1.0130249,0.8884374,0.9884217,0.9380199,0.7468283,1.1379412,0.8699774,0.8620566,0.7362324,1.2587628,0.91506433,0.93754625,1.1084054,1.1284347,1.287291,0.9773724,0.9282939,1.0539984,0.88233906,0.8080743,0.99236006,1.1811963,1.2001932,1.1263638,1.2142391,1.1068887,1.0472091,1.1691643,1.2024263,0.8590705,0.9761406,0.62035125,1.1422048,1.1271408,1.2394536,0.9808736,1.0157131,1.2394193,0.9113735,1.1240184,0.8615307,1.2389021,0.995849,1.1009634,1.2855422,1.1191807,1.1118406,0.8294672,1.1668683,0.92374194,0.8588452,0.9627129,0.82075375,0.8331524,0.896345,0.90331155,0.81733865,0.6824029,1.2664447,0.9641229,1.2158449,0.9922784,0.8251357,0.9116829,1.2180308,1.1041703,1.0751834,0.8198484,0.7984571,0.75903606,0.971822,1.1507807,1.2247185,0.61547,1.1100851,1.023571,0.8062927,0.89811456,0.9608465,1.2768548,1.2766018,1.0875409
couch,0.61598015,1.1382782,1.447263,0.9863405,0.5221224,1.2084115,1.3422666,1.2828475,1.1808853,0.8192961,0.66995835,0.12249982,1.3369125,0.39369524,0.5377877,0.91631484,0.23822588,0.8771123,1.0463483,1.442714,1.2728565,0.813395,1.3257871,1.2871397,1.4633127,1.3386978,1.3380737,1.155948,1.2410597,0.73337686,0.5823387,1.3669045,0.7388383,0.65610486,1.0412023,0.8785602,1.2267374,0.9212674,0.0,1.0963793,1.5100961,0.3859476,1.4454908,1.2261825,0.99499756,0.6810701,0.8998778,0.80578893,0.85590124,1.2098501,1.2129697,1.4001808,0.8244662,1.3600383,0.6140595,1.2501838,1.3693504,1.420859,0.9087658,1.5420713,1.0191765,0.8904356,0.87285936,1.4141531,0.81835294,1.0823499,1.3832238,0.75131065,0.8299514,0.84754777,1.0456532,0.9318238,0.895629,0.2967403,1.1757402,0.2498833,1.3778802,0.59280527,1.3895984,0.9861137,0.9163106,1.3255714,1.0635791,0.6023723,0.94859517,1.0347694,1.366566,1.3853868,1.3038869,1.2539994,1.3260211,1.4219453,0.8565533,1.1607668,0.40923464,0.45049226,0.65745336,1.526553,1.5485669,1.1627592,1.2514908,0.9866636,0.62134916,1.0865622,1.3267374,1.2987669,1.1621188,1.2054476,1.12126,1.3018748,1.2221062,0.56431043,0.8104118,1.3719275,0.7473903,1.0190233,0.47961146,0.91020024,0.42922544,0.90168846,1.0847344,0.89349246,0.4624868,1.37834,0.58481526,1.4453869,0.8427012,1.0516893,1.3835063,1.4217331,1.4427776,0.6614867,0.3606634,0.6935285,0.51358724,1.2596755,1.3639055,1.3563366,1.0002023,0.70338,0.96839154,1.0849028,0.8233843,1.0596884,1.1232352,1.4841655,0.73027307
cracker,0.8220258,1.0791891,0.97010607,0.83164155,0.86138093,1.1041762,1.1763563,0.45151597,1.2599224,1.0831065,0.8554132,1.0867816,1.2687159,1.1224205,0.76692855,0.8558189,0.8970839,0.9764587,1.1033344,1.2936167,1.0421498,0.9268641,0.6841835,1.1159955,1.2111087,0.8034909,1.3309916,1.2234039,0.70044255,0.8121611,1.2601355,1.2449492,1.1667895,1.0170165,1.0019859,0.7721954,0.67505276,0.9623313,1.0963793,0.0,1.2314466,1.0989876,1.2827101,1.0395488,0.788002,0.95666397,1.1809145,1.1640838,1.1291643,0.9582615,1.0480516,1.1580864,0.95100915,1.1783937,1.0432163,1.0530634,0.9303612,1.14718,0.79607284,1.096519,0.6958881,0.94796795,0.76805246,1.231897,0.8816711,0.8086072,0.8492316,0.9493702,0.7045178,0.7773992,1.1966128,1.0951412,0.8559154,1.0926682,1.155216,0.9680111,0.9877775,1.0881624,1.2885952,0.99581206,0.80492675,0.8617241,1.0658731,0.6973813,0.9784701,0.9496957,0.6906692,1.2329963,1.1125354,1.0713282,1.057062,0.7321884,0.8292414,0.9591627,0.9003857,1.0292287,0.82431686,1.2271117,1.2324935,1.003158,0.67746115,0.9673422,1.1196442,0.5803029,1.1832786,1.050007,0.891184,0.8759186,1.0816021,1.4230244,1.0391296,1.1604483,0.8979216,1.0398583,0.6762926,0.81003714,0.9119189,0.8970884,1.0483419,1.0116879,0.9763093,1.0659363,1.1185405,1.2987953,0.948794,0.9637822,0.86819327,0.82603186,0.97186476,1.2805605,0.93912023,1.0708746,1.0960449,1.0752832,0.95127904,1.0401057,1.1239227,1.1961982,0.8060482,1.1150473,1.0305734,1.0489078,1.0793769,0.9427908,1.3091327,1.2148712,1.084176
crayon,1.5526596,0.96452105,0.68742675,1.305167,1.5320706,0.698889,0.5097517,1.0941116,0.86158985,1.2343627,1.3438283,1.5421093,0.27593386,1.3098606,1.5724273,1.2618973,1.5340235,1.2843993,0.8846004,0.314578,0.96730274,1.4199114,0.742738,0.40402716,0.33140522,0.7904202,0.2726993,0.8395915,0.74880725,1.2777493,1.1415572,0.64652985,1.1631494,1.2512767,1.1476804,1.1478397,1.1812254,1.1821922,1.5100961,1.2314466,0.0,1.5143709,0.43980813,1.0763407,1.3564732,1.4388592,1.0129472,1.083803,0.9800037,0.98912245,0.541151,0.6440542,1.2387373,0.40549904,1.2919652,0.61786526,0.3986659,0.47818637,1.2221345,0.42917538,1.3055044,1.2653725,1.3194143,0.17822981,1.0621189,0.86501694,0.83960146,1.1379174,1.3321612,1.3040273,0.6648428,1.2307103,1.2029558,1.4308944,0.8756663,1.4528917,0.5100003,1.299737,0.55444586,0.83122814,1.3882284,0.6245755,1.0647047,1.433995,1.2371019,0.96063477,0.82108015,0.1800223,0.724508,0.54170287,0.6356499,0.791554,1.2458696,0.88221043,1.5445961,1.3506712,1.5341628,0.061447978,0.07770407,0.78815603,1.0057123,1.200897,1.0334814,1.2484456,0.61047846,0.8822839,1.0293074,1.1490659,1.0363414,0.32940757,0.7062073,1.2971741,1.1996772,0.827839,1.425142,1.3122686,1.4041294,1.0309738,1.5056312,1.2338351,0.90902966,1.2872849,1.4273357,0.23800564,1.3742272,0.3389094,1.1601164,1.2898417,0.759278,0.48954403,0.6527896,1.2606866,1.5196618,1.2784864,1.6084318,0.86138237,0.43633556,0.1638788,1.0612245,1.0366381,0.97245884,1.1965194,1.1791182,1.0144678,0.5676589,0.13961154,1.1254735
crib,0.70255786,1.2099814,1.5037973,0.97677314,0.5826428,1.4046614,1.4351789,1.3076861,0.75578743,0.7024392,0.8755311,0.34929454,1.318127,0.2176032,0.648773,0.9665529,0.44775867,0.83678526,0.9757714,1.3724705,1.0450147,0.63850117,1.4626598,1.2967522,1.3707385,1.3525512,1.2508838,1.1240908,1.2393702,0.88249916,0.27247465,1.2688689,0.58117527,0.6876389,0.9412707,0.64990515,1.1680279,0.9907157,0.3859476,1.0989876,1.5143709,0.0,1.2983224,1.1065286,0.8920312,0.8225095,1.0388701,0.60207886,0.7910732,1.1271966,1.311347,1.4569888,0.9530617,1.4549723,0.8762652,1.3574395,1.3909343,1.3216159,0.9682201,1.3859942,1.0887419,0.8570204,0.7329569,1.4886074,0.9880466,1.1390481,1.2842282,0.9362553,0.92287916,0.9542321,1.2719848,0.8679141,0.88602704,0.62352467,0.87539077,0.5612959,1.2681665,0.32860732,1.2296805,0.9583992,0.9419157,1.3613151,0.92324865,0.77249855,0.96853435,1.095655,1.413079,1.5049403,1.1792449,1.3120816,1.4221907,1.4461865,0.6189573,1.2627728,0.56642014,0.6116332,0.614906,1.4877796,1.5165744,1.2325684,1.1984986,1.0335355,0.65882206,1.0685537,1.2063265,1.0692312,1.108034,1.2233045,0.95467246,1.1692195,1.2567091,0.4638111,0.8898033,1.298353,0.7459004,0.94999135,0.6910046,0.8343439,0.636551,0.906494,1.0402138,0.7192764,0.53876984,1.4141446,0.65508294,1.4539982,0.9137545,0.9948751,1.264671,1.3466973,1.4227763,0.62092173,0.564429,0.7632896,0.3599884,1.2411679,1.4927545,1.4177017,1.0035517,0.71952295,0.97117996,0.8261651,0.76607096,1.0890905,0.9067637,1.5384209,0.6185228
cup,1.5310123,0.9639977,0.82048666,0.94916147,1.436142,0.83299035,0.64372057,1.0383375,0.65689945,0.9932365,1.3020115,1.5299535,0.57517564,1.3421073,1.5655438,1.3317176,1.5588348,1.236804,0.9618657,0.2779507,0.49872476,1.1821743,0.7762674,0.7091927,0.33593774,0.928131,0.33250237,0.86267895,1.0918292,1.3076982,0.913067,0.6959473,0.9260766,1.1248242,0.9063687,1.1938707,1.0475367,1.2250456,1.4454908,1.2827101,0.43980813,1.2983224,0.0,1.0644997,1.1484863,1.3184266,1.0262365,0.9016189,1.0841923,1.000836,0.812554,0.54301584,1.3113341,0.71861964,1.2804774,0.8631212,0.8304932,0.5786727,1.1688824,0.47207546,1.3292872,1.207784,1.2630994,0.5295645,1.1911922,0.9755113,0.811207,1.2203705,1.307208,1.307894,0.86724937,1.2537119,1.2934262,1.4368609,0.6441669,1.5018803,0.6479388,1.1508156,0.47362,0.9990406,1.3311234,0.77552927,0.7033957,1.4729125,1.2804816,1.1160926,0.86785525,0.48470616,0.5455145,0.83192366,0.73105305,0.84482425,1.1138109,1.0421637,1.5372715,1.3973387,1.3902236,0.47389203,0.44824743,0.9093456,0.9462375,1.2556107,0.96552414,1.2085388,0.61524874,0.70677793,1.0623038,0.9841311,0.6892232,0.46496028,0.8436434,1.057212,1.2685572,0.9071563,1.2514699,1.0999708,1.4946694,1.3079664,1.3602773,1.1959909,0.82182395,0.9187945,1.3642116,0.5657275,1.4104233,0.50286037,1.0940036,0.9702698,0.5721499,0.48651874,0.7654953,1.2401861,1.3518198,1.2483021,1.3548765,0.95952314,0.64871013,0.5299807,1.1247802,0.96707463,1.070549,0.93661284,1.1361439,1.1473923,0.5966388,0.50669736,0.98463863
deer,0.7397857,0.9522273,0.93711746,1.0360458,1.2051522,1.1317908,1.1291142,0.94029164,0.8283685,1.180486,0.97620034,1.2159073,1.0675346,1.1350411,1.1863041,0.6832925,1.2125036,1.0538502,1.0394424,1.0065117,1.009215,1.0269448,1.1016581,1.1200496,1.1334039,0.8805514,1.0938212,0.94873005,1.1286168,0.8556169,1.1390873,0.8441379,0.97926193,1.0896392,1.0003326,1.16508,0.935866,1.0747302,1.2261825,1.0395488,1.0763407,1.1065286,1.0644997,0.0,1.0004749,0.60752916,0.96803826,1.023259,1.1651853,0.5612844,1.1428154,1.0124748,1.0800302,1.1094573,1.0500128,1.1298765,0.9811956,0.8683176,1.1314956,1.0074537,0.84746456,0.64545804,0.9891424,1.111355,1.2084916,0.9766343,1.0373011,1.171053,1.0858577,1.1314112,1.1764505,0.7513001,1.1438991,1.1907556,0.7915523,1.2722242,1.0911921,1.0162184,0.90041316,1.1733798,0.68721944,1.0056804,1.0136565,1.216193,0.812109,1.0858544,0.92144144,1.1108526,0.8562134,1.1601266,1.0737739,0.9267707,1.0599664,0.82107043,1.2110807,1.2102468,1.1538943,1.0762749,1.0358601,0.8277878,1.0300522,0.5281833,1.1784399,0.9723079,0.9388766,1.0505927,0.64058304,0.77230734,0.87888944,1.0397264,1.0942483,1.0955516,1.209392,0.5210501,1.1500216,0.95919365,1.1029556,1.1778328,1.1732402,0.9896531,1.1623334,1.169629,1.2160527,1.1111797,1.1093735,1.0026115,1.205302,1.0155551,0.985792,0.95502335,0.92904,1.1171225,1.1706033,1.1090015,1.1396327,0.96542263,1.1028008,1.0856308,1.2026709,1.126751,1.1216153,1.0175956,0.94511473,1.0012172,1.0665028,1.0878383,0.99139833
dish,0.919115,1.0838407,1.0191545,0.57522297,0.8136282,1.0726856,1.1490777,0.75486577,1.0959947,0.77287066,0.97780627,0.9387724,1.3271536,0.93957645,0.73279953,1.1318442,0.9586592,0.6410727,0.95160055,1.3188851,0.45321888,0.6875716,0.9595734,1.2235808,1.0216192,1.1156943,1.369281,1.1369398,1.1070641,1.0877874,1.141576,1.1304028,1.1752304,1.1305263,0.67557347,0.9079347,0.74442697,0.88824785,0.99499756,0.788002,1.3564732,0.8920312,1.1484863,1.0004749,0.0,0.98972917,1.2687709,1.1723549,0.95865446,1.0589292,1.2782506,1.0529684,0.9530827,1.2547566,0.9704823,1.2484459,1.3310084,1.2508818,1.0057147,1.1900144,0.9272995,0.9374722,0.9213543,1.4003992,1.2158065,1.1184572,0.9060923,1.1367033,0.75316197,0.89462537,1.31086,0.9348574,0.9441167,1.0071633,1.1672175,0.9654934,1.0761427,1.0729955,1.2225761,1.2004869,0.86981034,0.91914845,0.9259609,0.92360187,0.8718226,1.0603788,0.99003714,1.3112152,1.2031735,1.2466143,1.2252665,0.95593244,0.85291106,1.2035553,0.8765608,1.0208546,0.7033601,1.3827081,1.3654119,1.2403287,0.80746114,1.0322002,1.2469195,0.828182,1.2892189,0.5263225,1.0711749,0.98954725,1.039838,1.2925488,1.2698171,1.1506505,0.9263476,1.211139,0.76743937,0.28479457,1.048513,0.9781341,0.85703975,0.9824986,0.7105348,0.65151024,0.8527632,1.340981,0.9740173,1.1451528,1.0848997,0.26641852,0.87022996,1.273838,1.1282568,0.9796104,0.8809794,0.9737072,0.60980475,0.84874606,1.3467827,1.2768507,0.8105227,1.2187262,0.9673329,0.57226616,1.0166748,1.0127689,1.3933419,1.3799614,1.1992732
dog,0.28093332,1.0445342,1.2374415,0.98528934,0.80206966,1.1672394,1.2832358,1.0937207,1.0812478,1.0947762,0.55655384,0.7106807,1.3550935,0.88188446,0.8229546,0.5761585,0.70345527,1.0229397,1.1191477,1.3153827,1.184743,0.954857,1.094543,1.3346301,1.4172804,1.0995542,1.3244436,1.0834448,1.1948175,0.43345577,1.0248923,1.1807044,0.94570005,0.83991826,1.0641577,1.0898762,1.0650136,0.99915874,0.6810701,0.95666397,1.4388592,0.8225095,1.3184266,0.60752916,0.98972917,0.0,0.83353347,1.0339508,1.14913,0.952313,1.1927748,1.2215092,0.89737594,1.2772785,0.8356737,1.2410676,1.1773636,1.229188,0.87035346,1.3490739,0.7861935,0.5083198,0.9393089,1.3652844,0.971442,1.0209775,1.2368312,0.9430376,0.8732693,0.92083657,1.1741909,0.7426629,0.97862834,0.80098087,0.9700317,0.80103683,1.3242936,0.85439426,1.2874554,1.1332062,0.57391626,1.2574198,1.1072885,0.8511449,0.7236177,1.0696089,1.0963744,1.3371336,1.1600801,1.2882601,1.1483923,1.2281474,0.9295416,0.8125896,0.78956765,0.88748276,0.89107704,1.4315099,1.4122493,0.8725676,1.1064888,0.43427074,0.9377711,0.95515937,1.1560482,1.3022854,0.56051064,0.918748,1.0721732,1.2971365,1.1637163,0.91468906,0.96447915,0.8824478,0.871948,0.9877636,0.807227,1.110619,0.80388415,1.0118489,1.1836307,1.0939018,0.86393356,1.3643425,0.8048208,1.3486505,1.0112096,1.0277072,1.2149593,1.2068107,1.2369672,0.96223336,0.76638436,0.8242191,0.83078694,1.1852403,1.2853682,1.3285348,1.1185102,1.0421339,1.0486457,1.1327055,0.9888394,1.0527875,1.1944947,1.3805118,1.031261
doll,1.0406202,0.9143864,1.0416812,1.1255844,1.0530361,0.8233609,0.834154,1.1060313,0.8761956,1.3774987,0.9525447,0.987758,0.86902684,1.0509593,1.0109888,0.9727301,0.9011118,1.2260332,0.9254402,0.8471676,1.2220961,0.9873773,0.9231433,1.0600199,0.88524836,0.9665276,0.87951565,1.0099615,0.90861005,1.0720145,0.9624976,0.9408158,1.0506018,0.88412106,1.1397712,1.1728264,1.0663021,1.2159423,0.8998778,1.1809145,1.0129472,1.0388701,1.0262365,0.96803826,1.2687709,0.83353347,0.0,1.0738276,1.1329725,1.0481726,0.88731885,1.008066,1.0294462,1.0379643,1.020909,0.8575818,1.0774055,0.9099972,0.85824335,1.1184078,0.7989328,1.0949433,1.0502732,0.97370785,0.5284418,1.1665353,0.8622786,0.94986534,0.89960635,0.8724567,0.72905606,1.1494131,1.0535278,0.95220286,0.7765715,0.9106455,1.1098009,1.0294948,1.1474304,0.8805156,0.9290935,1.2989517,0.9392413,0.73442096,1.1895941,0.9561093,0.9969216,1.0295832,0.95328957,0.91227067,0.9510239,1.1971924,1.0715455,0.79699516,0.887363,0.9567433,1.1499007,0.99478686,0.9946093,0.7275988,1.0173281,1.021946,0.7937648,1.1276956,0.9146063,1.282834,0.9150411,0.87146455,0.9330214,0.9168716,0.8423501,1.0860591,1.1258038,0.86686987,0.9902284,1.2625837,0.77963924,0.892758,1.0751022,0.86029583,1.1608382,1.3128457,1.0731345,0.85171336,1.0404058,1.0830617,0.8450501,1.2123187,1.114064,0.919023,0.9989853,0.6274765,1.0473897,0.97198224,1.1580497,0.9357085,0.8456919,1.0714468,1.0988251,0.9331113,0.5689311,1.1790829,1.1182002,1.0478523,0.927864,0.8727216,1.1379839
door,1.0691705,1.0993352,1.2200981,1.1994835,0.9908595,1.2106568,1.0352414,1.2715445,0.8414912,0.81817204,1.1367412,0.8638445,0.9840404,0.718872,1.1549562,1.0698136,0.9580184,1.1306207,1.1084402,0.9806186,1.0932896,0.99734056,1.3504965,0.9752761,1.1169369,1.1762712,0.81120116,0.88688767,1.1595516,0.86426187,0.44920862,0.95694673,0.23909402,0.78510535,1.0653136,0.87558174,1.1451174,1.21356,0.80578893,1.1640838,1.083803,0.60207886,0.9016189,1.023259,1.1723549,1.0339508,1.0738276,0.0,0.8099957,1.0262622,0.9868293,1.0876348,1.0815666,1.0651449,0.8735813,1.1022592,1.1047649,1.0041949,1.1006134,1.0275573,1.2297127,0.989658,0.9276552,0.9852168,1.0973024,0.8885627,1.270469,0.87945426,1.2120932,1.0739604,0.95741415,1.0673757,1.0213542,1.0308965,0.8982918,0.976007,1.0789082,0.475568,0.75025654,0.84577775,1.1870718,1.0995613,0.9512885,1.1040975,1.0976657,1.1199515,1.1964526,1.0737263,0.99392235,1.0362111,0.9958618,1.1767143,0.7307316,1.1347486,1.0017774,0.8863409,1.0875865,1.0466971,1.0720685,1.1301247,1.3021406,1.0632014,0.701038,1.2767929,0.9179388,1.1662319,1.0154018,1.2459557,0.8968949,0.8079381,1.0691656,0.32466495,1.0340947,1.0794722,1.0925431,1.1400039,1.064799,0.9998865,0.9968677,1.1016191,1.1510019,0.84008986,0.9421745,1.0951383,0.9597701,1.1716102,1.0477853,1.1996335,1.0935336,0.88089234,1.1274467,0.95154005,0.9883975,0.9907871,0.9382606,1.132363,1.0884936,1.0696689,1.1190035,0.7812897,1.1848527,1.0738196,0.8112183,0.99713206,0.5991399,1.1068068,0.40331483
drawer,1.0224283,1.0834486,1.0980365,1.1242111,0.8911022,1.0620989,0.9814221,1.2152729,0.9355614,0.749102,0.99630064,0.76718354,0.87400234,0.5456158,0.9452598,0.9212831,0.82492465,0.87133473,0.94141054,1.0837651,1.062902,0.89171475,1.187772,0.90290695,1.0068873,1.0939858,0.9068922,1.0040102,1.0581714,0.88540846,0.7948471,1.0046934,0.99615705,1.0599769,0.95191807,0.9010969,1.1814594,1.0650244,0.85590124,1.1291643,0.9800037,0.7910732,1.0841923,1.1651853,0.95865446,1.14913,1.1329725,0.8099957,0.0,1.1122191,1.0193795,1.1536278,0.91389626,0.98412925,1.0709982,1.063733,0.9552154,1.1373733,1.1779158,1.1437474,1.051842,1.1592247,1.0522368,0.9582044,0.9733947,0.91289276,1.2154216,1.0712268,1.044644,1.0602975,0.9903533,0.9106647,0.8158746,0.86557055,1.1993476,0.782228,1.0212171,0.8932367,0.94431823,0.9311848,1.1974515,1.0177696,1.0553614,0.9638927,0.9488642,1.0969797,1.1373122,1.0299971,1.1471184,0.9784572,1.1124973,1.101662,0.70637375,1.0367298,0.93604934,0.78507555,0.91910434,0.97926354,1.0084996,1.0269607,1.1539065,1.0936415,0.9089353,1.2262213,1.1293167,0.9355205,1.1073024,1.2137961,1.0052224,0.8183409,1.0350617,0.8167108,0.8883208,1.1112636,1.1653677,1.0592003,0.95404345,0.76228994,1.0082377,1.0446326,0.9923906,0.852843,0.90946525,0.86931264,0.86631656,1.0861919,1.0559294,1.0646182,1.2036049,0.9611938,1.1247646,0.96131015,0.9695913,1.0562371,0.8743763,0.9179419,1.1015747,0.9638923,1.1331674,0.8444495,0.959753,0.8704716,1.0344898,0.9121927,0.918856,1.0277996,0.99695694
duck,0.9431696,0.9705744,0.93542844,1.0402704,1.1918632,1.090452,1.1064061,0.85267293,0.91065127,1.0781263,1.0419002,1.209629,1.0151964,1.0938518,1.1486572,0.53761566,1.1853132,1.1032804,1.0677075,1.0220032,0.97666943,1.0852706,1.0815135,1.0544192,1.0750736,0.7946932,1.0581036,0.92559874,1.0312682,1.0001861,1.1062826,0.85478944,0.9942434,1.1460491,0.99601394,1.1645082,0.987818,1.0634773,1.2098501,0.9582615,0.98912245,1.1271966,1.000836,0.5612844,1.0589292,0.952313,1.0481726,1.0262622,1.1122191,0.0,1.1678045,0.9823952,1.0890365,1.0641516,1.1171447,1.1441436,0.88387036,0.87640685,1.1075792,0.8745615,0.8393276,0.83243954,1.0244845,1.0526946,1.158323,0.9923544,1.0477422,1.1287906,1.010858,1.2047136,1.1458662,0.8476673,1.0676919,1.2040024,0.8878206,1.2082511,0.93203056,1.0717541,0.88638204,1.1577804,0.94216174,0.9380927,0.98314583,1.1784372,0.92224663,1.1132448,0.92596555,1.0831026,0.80219793,1.1213751,1.0932822,0.8638061,1.0243038,0.8512987,1.1996396,1.1908573,1.1312977,0.9668374,0.949343,0.8710411,1.0252591,0.78525823,1.093489,0.95421946,0.9325705,1.0163802,0.85424644,0.683655,0.894439,1.0190073,1.0185049,1.1132507,1.1266928,0.485385,1.1277707,1.0522676,1.132536,1.0283178,1.2151148,1.0326495,1.0617644,1.0985622,1.121792,1.0524154,1.0805248,0.8806656,1.142444,1.1171174,0.90497345,0.9615643,0.9645474,1.0810089,1.1981664,1.0701469,1.1484808,0.9096259,1.1079533,1.0450743,1.0954261,1.1014098,1.0817013,0.99310845,0.93873405,0.9288662,1.0315977,1.0240988,1.0073625
