,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
bed,0.69592404,1.2198167,1.4182327,0.4680884,1.2549922,1.3686007,1.2893734,1.3853186,0.7327944,0.7934978,0.0,1.0616821,0.17090237,0.51994646,1.1896659,0.20162344,0.98352003,1.479913,1.4632727,1.0150225,1.2827662,1.3029063,1.2927834,1.4378879,1.0938295,1.4082491,0.8261508,0.94922405,1.4559906,0.9517069,0.66806465,1.2237713,0.69915694,0.16232455,1.0028135,1.6045916,0.6813016,1.5430986,0.95404637,0.8565124,0.99993455,0.99893004,1.1117005,0.50813866,1.2418445,1.4814796,0.9121948,0.6676574,1.2128628,1.4170043,1.4030893,1.2442459,1.4493284,1.2032993,0.81614965,1.113149,1.3962176,1.3664141,0.6409518,0.9466629,0.8615901,1.4252453,1.1936656,1.1108041,0.4324541,0.90063804,0.34379625,1.4549751,0.57056606,1.4150865,0.93263257,0.90928817,0.9265218,1.0325583,0.95443505,1.3716468,1.4695871,1.061693,1.0115362,1.1887835,0.81158507,0.7178906,0.32497668,0.59716785,1.1352234,1.4530752,1.5453138,0.6995332,1.2120107,1.411598,1.5408975,1.0890787,0.6243321,1.1869928,0.8545691,0.9485216,1.2465873,0.9010997,0.775653,1.3471706,0.52062804,1.0257577,0.6977421,1.3401109,0.7292868,0.87014055,0.6340871,1.3812076,0.7965491,1.0175117,0.81525064,1.4361564,0.9786945,1.1570557,0.42231548,0.3911246,1.5609195,1.2939985,1.2130508,1.3861096,1.4635845,1.2871865,0.83215743,1.3476394,1.4579306,0.67486346
belt,1.0051523,0.7130395,1.0336589,1.0321686,1.0865915,1.0834451,1.0904286,0.9918813,1.1320945,0.92858976,1.0616821,0.0,0.959441,1.0392607,0.97769785,0.9096886,1.1577909,1.1293472,0.84556687,1.1114395,0.9401131,0.7896142,1.0819215,0.7652149,1.0584601,0.9025,1.01582,1.0291603,0.9381771,1.047254,0.9718702,0.9983506,1.0668349,1.0002494,0.9164165,0.83626175,1.2225729,0.9208617,1.1408786,1.0838988,1.1133008,0.92682207,0.8100681,1.1219051,0.8508612,0.9208753,0.9543817,1.1900755,0.77123475,0.92126673,1.1056421,0.7712736,0.9312499,1.2311478,1.1415124,0.9479312,0.95697105,1.0596671,1.1985811,1.286736,0.92571634,1.0820819,1.1157864,0.9202593,1.0789665,1.1435994,0.93380594,0.74829304,1.1366358,0.819465,0.811555,1.086369,1.1641399,0.8781979,0.87612796,0.8427058,0.80010515,0.6458792,1.1298647,0.99307567,0.96895665,1.1071854,1.0706778,0.84751403,0.7811384,0.81358635,0.8615031,0.7678791,1.1854647,0.97369796,1.0273794,1.0284567,1.001631,1.0253398,1.077331,1.0745614,1.134347,1.0630168,1.0810357,1.006967,1.0643302,1.121597,0.7645569,1.0395466,0.9138626,1.1534897,1.2123939,0.78201896,0.92939395,0.8948542,1.0798529,0.91992885,1.0174098,1.1817878,1.0878123,1.1871482,0.9990924,0.7981967,0.74542767,0.9059342,0.8252038,1.3030775,1.2893293,0.9777137,0.85585654,1.0402703
bench,0.59646565,1.2486838,1.4136761,0.48265457,1.2941684,1.4501365,1.3058966,1.3612896,0.77611476,0.74357796,0.17090237,0.959441,0.0,0.54439074,1.1772788,0.2963841,1.0399863,1.5273818,1.3736392,1.0093505,1.2811213,1.2444261,1.2173846,1.2424715,1.0687201,1.351475,0.79945254,0.80474496,1.4808316,0.9358036,0.6991002,1.1886783,0.68908584,0.17935252,0.9636582,1.5547185,0.695748,1.4852651,0.89928734,0.83352506,1.1044459,0.9315384,1.0586145,0.51543623,1.194227,1.4314818,0.8713701,0.79915714,1.1877954,1.4256674,1.4679946,1.2275956,1.4434805,1.2041547,0.8961142,1.1462152,1.3102779,1.3808241,0.7387446,0.9706056,0.85968506,1.4473559,1.232887,1.0468283,0.43867135,0.8468484,0.3592493,1.3344245,0.6306344,1.382733,0.90529346,0.84167093,0.93033046,1.0366619,0.9038337,1.4275506,1.3223126,0.99146914,1.0355523,1.1109763,0.75017595,0.82855296,0.44860935,0.4516554,1.0643308,1.4221532,1.5126042,0.5887409,1.2678968,1.3275515,1.5440927,1.0805691,0.71736264,1.2019448,0.83399594,0.98927355,1.2712649,0.8731992,0.74182606,1.3539855,0.5849101,1.0544754,0.6537307,1.3202533,0.7038596,0.89833534,0.65616524,1.3380773,0.8958363,0.8863591,0.9461817,1.4099139,1.0140237,1.1512022,0.42938632,0.45556033,1.5783801,1.3154272,1.1651438,1.3576756,1.3809631,1.3723536,0.94762903,1.2347596,1.4750984,0.7588438
bib,0.78995895,1.1389985,1.3949656,0.49683046,1.2230041,1.3911543,1.2863606,1.3395386,0.8174317,0.8760245,0.51994646,1.0392607,0.54439074,0.0,1.1874311,0.6513114,1.0883222,1.4726593,1.5206192,1.1193216,1.2366297,1.320426,1.2948798,1.4152898,1.204864,1.317108,0.9273975,1.1138153,1.3919775,0.9849208,0.51710665,1.2361484,0.70989025,0.6753946,0.9825828,1.5702636,0.92255044,1.4421904,0.93831146,0.94480336,1.0815669,1.0578722,1.1917951,0.26333266,1.0869577,1.425277,0.9095659,0.61053365,1.1217448,1.4501339,1.376095,1.20389,1.4465734,1.1820847,0.74686885,0.9653024,1.2919062,1.3027959,0.51986396,0.9226662,0.7322581,1.3966439,1.2190747,1.1428974,0.60956043,0.8347481,0.6067567,1.4280455,0.7850847,1.3259015,0.8597864,0.8195025,0.9431285,0.82946384,0.9627973,1.3781483,1.4549475,0.6372826,0.90846795,1.0798136,0.9460178,0.7154488,0.2555492,0.57857245,1.0404966,1.4805858,1.5014625,1.0245519,1.1706104,1.3426201,1.4597619,1.1652615,0.6144655,1.1156398,0.986882,1.0904346,1.2851497,0.84249175,0.44210273,1.4165777,0.09863269,0.9835993,0.68025494,1.3856637,0.83974427,0.902992,0.6909919,1.466008,0.84930956,1.0089883,0.8827066,1.4247688,0.9175098,1.1841353,0.3401755,0.66884893,1.570419,1.2084923,1.0923581,1.3265388,1.4453689,1.3476129,0.90567905,1.4362849,1.4221241,0.7367011
bird,0.8717276,1.0661179,1.0171021,1.1637455,1.0253445,1.0203371,0.85329646,0.84556276,1.1482259,1.0069591,1.1896659,0.97769785,1.1772788,1.1874311,0.0,1.1592606,0.7519351,0.9690035,1.0340216,0.96128064,0.9391273,0.9661058,1.0695615,0.9655283,0.9232786,0.95044196,0.95075464,0.94630027,0.88790005,1.0873511,1.1672463,0.977476,0.9740331,1.1826901,0.93007606,0.8318037,1.0206741,1.0117096,1.0119249,0.92577064,0.93301916,1.0726696,0.9405945,1.2301062,1.0898429,0.93082285,1.0227476,1.128101,1.15269,0.79980284,0.90920323,1.0300605,0.8696816,0.74098575,1.0463395,1.076678,0.93598723,1.0007368,1.1425663,0.98696995,1.1436855,1.0051835,0.81804585,0.88294715,1.0654273,1.049602,1.0801957,0.8680221,1.0680106,0.83052623,1.0794638,1.0046704,1.0896704,1.162532,0.983508,1.0597186,0.8964686,1.163185,1.0481822,1.1031054,1.116584,1.0842457,1.2112801,1.1766721,0.9527552,0.894771,0.8267866,1.009404,0.9495152,0.7775749,0.9336526,0.8727158,1.113656,1.005281,1.0314983,1.0899726,0.63919437,1.1006222,1.1513158,0.8522234,1.2020824,0.96933424,1.1319349,0.88307875,1.1262913,1.1083586,1.2131499,0.9273219,0.97153586,1.0686176,0.9624282,0.8533313,0.998542,0.8301211,1.2208863,1.1508552,0.87513196,1.0787574,1.0973037,0.90919214,0.88559115,0.9335223,1.0838081,0.884707,0.9152063,1.1205561
blanket,0.76026654,1.0413139,1.3071191,0.6350731,1.1416852,1.2779784,1.2700254,1.2812667,0.95060724,0.88131833,0.20162344,0.9096886,0.2963841,0.6513114,1.1592606,0.0,1.0493428,1.3644025,1.2694998,1.0617645,1.2357637,1.2159975,1.133503,1.2475163,1.0280231,1.2747271,0.87875867,0.9497408,1.4266939,0.9200894,0.73298,1.0853229,0.8670682,0.28954273,1.0380065,1.478178,0.8103986,1.3818674,0.96282065,0.88968754,0.8990237,1.0390593,1.1108468,0.6899554,1.0997494,1.362634,0.9616112,0.88634205,1.1142309,1.2969699,1.3373269,1.0684813,1.3907506,1.2019479,0.981835,1.1058006,1.1245564,1.2515111,0.8836044,0.9985255,0.831817,1.2906426,1.1475947,1.1033133,0.37667143,0.95330137,0.32497287,1.3675578,0.67732155,1.3090148,0.8768828,0.9177846,0.8311987,1.0036337,0.85683346,1.3063614,1.2596356,0.97891814,1.0385851,1.0386444,0.8863745,0.80012363,0.4460231,0.5720321,1.1247877,1.371912,1.4526671,0.43729544,1.1474198,1.3113968,1.4206744,1.0564319,0.6945373,0.9872558,0.8505164,1.0643584,1.2326065,0.9665975,0.84048927,1.2657006,0.6864121,0.9499889,0.567199,1.258744,0.85010695,1.0168264,0.8574399,1.2918118,1.0054054,0.8063773,0.9356029,1.3499808,1.1608397,1.1442722,0.6164636,0.7022029,1.4400876,1.1344612,1.1473091,1.3290231,1.2848554,1.247769,1.0017091,1.271302,1.3510271,0.8557525
book,0.9939931,1.1071461,1.0669388,1.0920094,0.93926466,0.9582421,0.9218528,0.7637448,0.99850154,1.1622539,0.98352003,1.1577909,1.0399863,1.0883222,0.7519351,1.0493428,0.0,0.9582359,1.0631881,0.59294826,1.0722871,1.0710082,0.9536733,1.0762994,0.8340807,0.99775136,1.0824559,0.93178844,1.0048269,0.8100938,1.1904587,0.95129675,0.97972053,0.92101616,1.0276951,0.8842201,0.7399901,1.0904392,0.928584,1.1188983,0.9118923,0.9894398,0.9253183,1.1176077,1.2536633,1.0031043,1.2004818,1.0261302,1.2487155,1.0552195,0.9909693,1.193142,0.9739848,0.84556806,0.90360636,1.1819663,1.1121274,0.95650923,1.0283643,1.0094643,1.1071398,1.0802802,0.9162289,1.1205868,0.85797715,0.9411583,1.062608,0.9353368,0.97035867,1.0597079,1.1525398,1.0770633,0.98779684,1.1610246,1.0922792,1.1898899,1.0974869,1.2381195,1.0886412,1.0540107,1.0112644,1.0343664,1.043218,1.1679525,0.75776345,0.8199892,0.9450701,0.89773834,0.8790049,1.0512382,0.9597138,0.97575694,1.0334,0.8995048,0.8095212,0.8569485,0.91840285,1.083748,1.1228385,0.81330776,1.0846212,0.75919724,1.1462531,0.9274655,1.1580479,0.94110954,1.1056496,1.1098815,0.88680655,1.0832797,1.0134676,0.94072306,0.98739004,0.85585874,1.2019794,0.8685213,0.92827344,1.2332659,1.2477146,0.9055627,1.0798973,0.63399804,0.8423841,0.9971171,1.1141644,1.031482
bottle,1.3837824,0.80107594,0.56189847,1.4226063,0.6569401,0.40912342,0.7530986,0.519413,1.3735702,1.2486198,1.479913,1.1293472,1.5273818,1.4726593,0.9690035,1.3644025,0.9582359,0.0,0.5417355,0.9782017,0.8636457,0.8131226,0.70011115,0.63754845,0.8224305,0.7215994,1.2497494,0.9802368,0.4437256,1.0320789,1.2791965,0.7744734,1.3537306,1.3890917,1.0845168,0.46983063,1.1748323,0.24242622,1.1270549,1.1689061,0.7955431,1.1073248,1.1413542,1.3739618,0.88046557,0.5858188,1.1574898,1.2798673,0.87194276,0.5606708,0.57590437,0.8122951,0.6178208,0.9009679,1.1566945,1.0329641,0.43093646,0.5653225,1.308375,1.2019658,1.2567475,0.36061954,0.81412154,1.0178844,1.3669062,1.0293989,1.4595762,0.80238825,1.2781754,0.7032909,1.1671292,0.9093663,0.81202984,1.1345752,1.1077466,0.44677794,0.61676663,1.0607731,1.0875796,0.9658161,1.3083718,1.2457664,1.4304595,1.3745121,1.0229368,0.4853201,0.58769524,1.0500697,0.90949476,0.71487665,0.5684739,0.9707069,1.3640368,0.6875762,1.0336865,1.0914966,0.82161456,1.2330074,1.275177,0.7383536,1.4550161,0.99190146,1.2801254,0.753132,1.319038,1.2921579,1.348885,0.47504443,1.2250286,0.8979618,1.3013039,0.72082996,1.043206,0.89121133,1.4411254,1.3830981,0.33568066,0.731466,0.8968945,0.8148885,0.58322173,0.5201117,1.2550457,0.56545234,0.44643307,1.3409256
bowl,1.3778632,0.788757,0.52344775,1.419616,0.6324973,0.48168957,0.8817868,0.6450925,1.1516924,1.1903188,1.4632727,0.84556687,1.3736392,1.5206192,1.0340216,1.2694998,1.0631881,0.5417355,0.0,0.9313673,0.7639141,0.88051564,0.39046574,0.60001814,0.9535536,0.62788737,1.1929928,1.046964,0.6331066,1.2061343,1.3198578,0.761724,1.3177797,1.2968827,1.1770614,0.55352014,1.2252126,0.3369034,0.9986285,1.2181704,1.0392352,1.088888,0.9835933,1.4473829,0.8151237,0.48433167,1.1516263,1.3129338,0.7570708,0.585593,0.82434964,0.7743072,0.66056156,1.0221967,1.2359273,0.9642979,0.7247873,0.584052,1.3895181,1.1181952,1.1610298,0.6244784,1.006129,0.9189639,1.3617644,0.88942313,1.3336251,0.6721289,1.3601422,0.705994,1.0760912,1.060882,1.0235229,1.0339725,1.162572,0.5096487,0.62235343,1.0564795,1.1035467,0.68073374,1.2355397,1.1879234,1.4747825,1.2464737,0.88942415,0.66882163,0.6326451,0.89684546,0.93285954,0.95153147,0.40945828,1.0021157,1.2205478,0.8582466,1.0344357,1.2043421,0.94374025,1.0720639,1.3719791,0.7484623,1.4756837,1.0914408,1.1577991,0.6531111,1.242392,1.0563508,1.174524,0.55338025,1.203656,0.8814063,1.020425,0.72621167,1.0688504,1.0192605,1.4763043,1.3978369,0.4044758,0.74779356,0.7081274,0.8675675,0.63867813,0.82313955,1.1030606,0.8339663,0.6373428,1.3205476
box,0.94423413,1.233357,1.1191711,1.0658201,0.912002,0.93793136,1.078026,0.7298796,0.6615482,1.2253612,1.0150225,1.1114395,1.0093505,1.1193216,0.96128064,1.0617645,0.59294826,0.9782017,0.9313673,0.0,1.1357367,1.045786,0.7873887,0.8496113,0.98216,1.1210403,1.0969387,0.688656,0.98138285,0.62183833,1.1698167,0.9757583,1.0175891,0.9371181,1.0700638,0.97027695,0.6062305,1.0340427,1.0068778,1.1576037,1.0594184,0.6002055,0.5925276,1.1266158,1.3303237,1.0995965,1.1767974,1.0537353,1.3642724,1.1654023,1.0293595,1.3151304,0.94712853,1.0438842,1.0107021,1.2747717,1.1217406,1.0712924,1.0377318,1.0821611,1.2356843,1.0437623,1.0775608,1.1784147,0.8877424,0.8967945,1.0588156,0.87503844,0.9009302,0.9345317,1.1683847,0.9864247,0.9681171,1.209145,1.2139448,1.2365665,1.0212448,1.2765149,1.1922152,0.9723509,0.61183965,1.1374266,1.0888422,1.1751783,0.70596874,0.8792784,1.0622294,1.0204295,0.97696704,1.1321055,0.9720317,1.0828942,1.1292254,0.7261313,0.62140673,0.5879544,1.0137583,1.1527568,1.1367782,0.8786421,1.0985122,0.88869303,1.1654851,0.78502464,0.85975754,0.63597286,0.99608123,1.1261827,0.94366336,1.082352,0.9603342,0.8759976,0.9390645,0.98729724,1.1670893,0.7605711,1.0221357,1.349411,1.2182145,0.8887858,1.077447,0.72932035,0.62562585,0.8523363,1.2594335,0.8422981
bread,1.0096368,0.96151733,0.7305649,1.3026428,0.9520313,0.7656819,0.8315573,0.8897329,1.2300074,0.72773385,1.2827662,0.9401131,1.2811213,1.2366297,0.9391273,1.2357637,1.0722871,0.8636457,0.7639141,1.1357367,0.0,1.1075975,0.9990461,0.9282391,0.98745525,0.9185649,0.7748006,1.137228,0.7083374,1.1659102,1.0717156,0.84999186,1.0694753,1.2676533,0.8263782,0.7981354,1.2122097,0.77519095,0.95222694,0.8448442,1.0373574,1.1383173,1.1736958,1.3076987,0.9491087,0.6878445,0.7361846,1.1543453,0.85992324,0.682456,0.83569765,0.8957992,0.79578733,0.91139716,1.0771154,0.97304547,0.8665599,0.793745,1.21002,0.870215,1.1545324,0.85440266,0.97788155,1.0353403,1.2509255,1.0595657,1.1932135,1.0132272,1.3318216,0.8017646,1.108912,1.094266,1.1869128,1.1046481,0.9622801,0.6627589,0.7651235,1.0345429,1.1116352,0.962742,1.1909604,0.93452704,1.3751225,1.1941082,1.011141,0.8103903,0.76441467,0.9958907,0.42318553,0.88044965,0.6224537,1.0094101,0.9827925,1.0953234,1.159541,1.175038,0.8485432,0.95781255,1.204184,0.9902233,1.25748,1.1539906,1.1669037,1.0745398,1.1440825,1.2142379,1.1865762,0.7325181,1.0596974,1.0224566,1.105342,1.0756121,0.9774872,0.93123555,1.2126333,1.2266557,0.6290808,0.8776067,0.77151173,1.1108019,0.7151817,1.0071833,1.2144372,1.1150831,0.72792697,1.1262395
broom,1.1009566,0.89113975,0.98292834,1.2069432,1.0460377,0.9139722,0.9618306,0.8333949,1.0885376,1.1018368,1.3029063,0.7896142,1.2444261,1.320426,0.9661058,1.2159975,1.0710082,0.8131226,0.88051564,1.045786,1.1075975,0.0,1.0403371,0.42669404,0.9211229,0.8954908,1.1045727,0.92175734,0.8248615,0.94472235,1.0682226,1.044421,1.1244932,1.1582997,0.9803342,0.4573421,1.2212794,0.8084512,1.2487277,1.1858047,1.1010299,0.71034074,0.62432593,1.247731,0.8920475,0.9001495,1.018076,1.2653022,0.9428529,0.74666953,0.8748592,0.8757924,0.4551264,1.13718,1.2182239,1.0836005,0.9255576,1.0395918,1.2785947,1.3204572,1.1800838,0.8424933,0.93758726,0.76785874,1.1992574,1.2571131,1.2199109,0.4036011,1.1332831,0.730644,0.9337499,1.2168454,1.1801424,1.0876192,1.1549432,0.8586218,0.51450324,0.99745417,1.1237673,1.1300497,0.92111236,1.2435396,1.2872248,1.142244,0.8343754,0.59107494,0.47292948,1.0137714,1.1598592,0.74473476,0.95747,0.9547628,1.2789354,0.8804388,1.1180186,0.81259453,1.0320574,1.2007788,1.1396897,0.74374455,1.2720096,1.1029454,1.115098,0.6254583,0.87527555,1.083258,1.2467769,0.7543769,1.0555261,1.1621723,1.1431614,0.492738,1.0862143,1.1065307,1.2677763,1.2093433,0.83563614,0.9027592,0.9528438,0.5156436,0.5719915,1.0036764,1.1563311,0.49043566,0.7916004,1.0229383
bucket,1.1772344,0.9782941,0.7344873,1.2382747,0.38057578,0.49917066,1.1186118,0.936652,0.809805,1.2710929,1.2927834,1.0819215,1.2173846,1.2948798,1.0695615,1.133503,0.9536733,0.70011115,0.39046574,0.7873887,0.9990461,1.0403371,0.0,0.8859712,1.0962672,0.6984252,1.280011,1.056001,0.9835121,0.93769383,1.3117919,0.66636354,1.2274793,1.2766747,1.1609783,0.85442376,0.930998,0.53810257,0.8219222,1.311744,1.1470423,1.0249542,0.9900601,1.31161,1.0934618,0.5872898,1.2152736,1.2556541,1.1198465,0.9396257,1.005232,1.1457913,0.9137005,0.9982636,1.0194337,1.1891413,0.80709946,0.558054,1.2466884,0.9925461,1.1498187,0.883374,1.078533,0.99648607,1.1552503,0.6977434,1.146159,0.8332062,1.1512537,0.9381733,1.1566801,0.834229,0.62005866,1.0820489,1.150091,0.99001974,0.9137133,1.2088345,1.0098404,0.3023432,1.0615226,1.0509281,1.2840767,1.1959172,0.96320945,0.9816273,0.92895293,1.0856224,0.93312705,1.1545447,0.50800586,1.0668272,1.1298026,0.969911,0.965223,1.0882994,1.0562787,0.8937795,1.2748842,0.665668,1.3282437,0.9266045,1.1724774,0.59187615,1.0700053,0.68666834,0.9159878,1.0455043,1.2118971,0.659749,0.87352794,0.7241103,0.95580435,0.9725324,1.3864393,1.1875764,0.7290437,1.1573112,1.0644938,0.78984225,0.972779,0.6492044,0.745592,0.9983793,1.1273136,1.2030458
can,1.0605742,0.86971587,0.93448055,1.3129442,1.130512,0.8457189,0.9309662,0.56055355,1.240934,1.0088758,1.4378879,0.7652149,1.2424715,1.4152898,0.9655283,1.2475163,1.0762994,0.63754845,0.60001814,0.8496113,0.9282391,0.42669404,0.8859712,0.0,0.83509034,0.86528,1.0000634,0.6114394,0.5813824,0.7663124,1.1224416,0.8638786,1.1854101,1.1656611,1.0619545,0.495883,1.1454239,0.50950193,1.195346,1.0689526,1.1414983,0.5795901,0.7180287,1.3626273,0.8066163,0.8158245,0.89329195,1.4141263,0.87329984,0.7129582,0.9118128,0.754756,0.48610175,1.2181566,1.3635387,1.0318673,0.7767887,1.0947058,1.4100941,1.3988786,1.2712545,0.636993,0.9956267,0.9904913,1.2577648,1.1855904,1.2766833,0.5593392,1.1186756,0.50885785,0.91152185,1.1489986,1.283227,1.1720307,1.0655732,0.73799753,0.23949325,0.9538071,1.2363975,1.1196367,0.8671084,1.3646989,1.38835,1.0760229,0.7817631,0.48919535,0.50194526,0.8069232,1.1418524,0.6208935,0.77772987,1.005777,1.3911476,0.77680564,1.03001,0.7583686,0.9818313,1.2787557,1.1888683,0.95122325,1.371988,1.112417,1.024279,0.7492659,0.8321823,1.239165,1.4086667,0.5089952,1.1882327,1.0087664,1.3495462,0.7529866,1.0582385,1.169719,1.3492209,1.2888322,0.65737236,0.7722604,0.8310784,0.8167567,0.31632185,1.0806825,1.3772385,0.39976674,0.6085137,1.0235502
car,1.0667377,0.8029875,0.936213,0.9561082,0.9997726,0.9189154,0.91632533,0.8636615,1.2165496,1.0904094,1.0938295,1.0584601,1.0687201,1.204864,0.9232786,1.0280231,0.8340807,0.8224305,0.9535536,0.98216,0.98745525,0.9211229,1.0962672,0.83509034,0.0,0.8981868,0.97994226,0.8584057,0.97392976,0.9294418,1.0700613,0.92293644,1.0367055,0.87030196,1.0794511,0.8468856,1.0345033,0.9145414,1.0646671,1.0118006,0.8606837,0.9461197,0.9943485,1.0999442,1.0636888,0.9641928,1.085496,1.0822711,0.98467374,0.89760745,0.89383674,0.8929093,0.9166126,1.0216125,1.0806171,1.0531346,0.9064656,0.9696771,1.0466648,1.1486021,1.0773448,0.87329406,0.7585199,1.0281258,1.1030961,1.1778475,1.1874242,1.0019854,0.7669841,0.82084024,0.92731756,1.2115976,0.9965783,1.070073,1.09761,0.93307287,0.94565856,1.1305851,1.0719547,1.0594226,1.0494249,1.1478008,1.0809507,1.0388485,0.9921018,0.76031345,0.90792567,0.84450585,0.9428555,0.9052211,1.0272217,0.8208905,1.090274,0.89631444,1.051141,0.9763846,0.93208367,1.1162795,1.0487641,0.9353057,1.15452,0.88678986,0.8195697,1.0991223,1.0651323,1.2298536,1.2782655,0.88933945,1.0558151,1.0570594,1.2466946,0.99353886,1.080087,0.8378481,1.1240927,1.1316627,0.8012112,0.91450536,1.1538756,1.0336661,0.9102219,0.8371045,1.2179883,0.87305975,0.85235417,0.9063124
carrot,1.2817843,0.7290025,0.5928153,1.1982989,0.69273794,0.7109182,0.8787931,0.88853824,1.2109507,1.1664867,1.4082491,0.9025,1.351475,1.317108,0.95044196,1.2747271,0.99775136,0.7215994,0.62788737,1.1210403,0.9185649,0.8954908,0.6984252,0.86528,0.8981868,0.0,1.2091424,1.1365383,0.7758405,1.1752012,1.25297,0.87917084,1.2240509,1.3326838,1.1123214,0.5483142,1.2290648,0.70880514,1.1721065,1.1741011,0.9553395,1.2186179,0.9899261,1.308232,0.754634,0.39276028,1.0820343,1.2696916,0.65480715,0.68743837,0.8742839,0.6400543,0.8337996,0.8842961,1.2386785,0.8567848,0.68097687,0.6755319,1.304291,1.1619043,0.91854364,0.8024678,1.0030487,0.85243535,1.276222,1.0847088,1.2677008,0.67891324,1.248829,0.9544398,0.9426582,1.1637363,0.8726392,0.9516305,0.8873488,0.6354821,0.76008284,1.0029937,0.9270136,0.6162299,1.2625229,1.2427557,1.3826177,1.1432817,0.9548926,0.7446785,0.6097608,1.0643511,0.9448027,0.87607336,0.7217481,1.0327355,1.1982305,1.0234498,1.1845325,1.1785828,1.0019883,1.0133473,1.1769278,0.78275996,1.3052213,1.0078701,1.050415,0.74374306,1.2667811,1.1144106,1.24589,0.73297775,1.1264029,0.7925293,1.1064566,0.6985286,1.1876274,0.95828104,1.3610594,1.367647,0.6909417,0.6604666,0.7968001,0.6542754,0.8019391,0.71720314,1.0665175,0.9645947,0.7199861,1.3619779
cat,0.7399404,1.2185831,1.1735284,1.087537,1.2312244,1.1638172,1.1390188,1.0881984,1.0452733,0.19913888,0.8261508,1.01582,0.79945254,0.9273975,0.95075464,0.87875867,1.0824559,1.2497494,1.1929928,1.0969387,0.7748006,1.1045727,1.280011,1.0000634,0.97994226,1.2091424,0.0,1.026263,1.0067846,1.0227036,0.71017313,0.8986688,0.7347743,0.7732178,0.93475056,1.2063556,0.9530871,1.2814492,1.055156,0.1695553,0.9992846,0.94804245,1.1182561,0.93766415,1.1583476,1.1759288,0.30450302,1.0001991,1.1879419,1.0339947,1.1393067,1.1279163,1.1350936,1.0141808,1.0291711,1.0446346,1.12724,1.2528183,1.0403645,1.0462921,1.1309586,1.0780286,0.78129274,0.9730357,0.81353253,1.1573552,0.91741997,1.2348458,1.0764257,0.9128089,1.1234375,1.1012884,1.259016,1.1988481,0.92192,1.0887283,1.0050062,1.0267429,1.0728123,1.1963979,1.0012307,1.0113124,0.949821,0.89996946,1.1663303,1.0675952,1.1474994,0.7999836,1.1166253,0.99246323,1.1267078,0.7862646,0.9761956,1.0401986,1.0201769,1.0097305,0.75602674,0.92314035,0.91974723,1.179973,0.9756428,1.1028627,1.0028497,1.2723315,0.74995637,1.145939,0.94344693,0.9866232,0.8333038,1.1696926,1.0992724,1.2500932,0.9605918,1.0504199,0.8132616,0.9609028,1.1691718,1.1437562,1.059031,1.3206136,0.98742115,1.2364748,1.1925869,1.0608325,1.0047112,0.80874634
chair,0.7347199,1.089187,1.1657183,0.9443,1.2306105,1.1682372,0.97578335,0.7604226,1.0223669,1.1056939,0.94922405,1.0291603,0.80474496,1.1138153,0.94630027,0.9497408,0.93178844,0.9802368,1.046964,0.688656,1.137228,0.92175734,1.056001,0.6114394,0.8584057,1.1365383,1.026263,0.0,0.9388329,0.6662463,1.0735781,1.0585824,1.1187661,0.835919,0.91471756,0.9963633,0.5177841,0.9368039,1.0439435,0.9562765,0.9691257,0.633146,0.8681167,1.0730077,1.0853941,1.0668819,1.076545,1.1496693,1.1379175,1.1025591,1.079166,1.0180652,0.8811501,1.0782146,1.0727433,1.1308087,1.0496134,1.2833635,1.1247042,1.1406233,1.1932328,1.0127985,0.98255575,1.1746958,0.9463433,0.99358267,1.0952115,0.97380555,0.43252933,0.88964546,1.0073155,0.9958697,1.1462622,1.1968151,1.0285492,1.1488228,0.8482208,1.0877542,1.1945617,1.1718355,0.7599205,1.1779802,1.0112607,0.91372395,0.9477031,0.9437914,0.88584256,0.8357259,1.0991249,0.7944341,1.086998,0.8890383,1.1484472,0.90914077,0.908428,0.66838837,0.94788986,1.1890106,1.0916945,1.0528355,1.0752509,1.065319,0.946327,0.9518252,0.80742306,1.0669858,1.1487259,1.0094647,1.1500953,1.0211201,1.2009186,1.0834037,0.9811104,1.0667754,1.0287852,0.6245948,0.9880767,1.0675269,1.0903518,1.0672333,0.8906516,1.0297022,1.1052423,0.6282762,0.974832,0.86076075
