class_name,cdi_category,tsne_x,tsne_y,exemplar_count
stroller,vehicles,-4.952042,8.833663,243
sweater,clothing,3.880198,10.733406,255
swing,outside,-0.5382015,7.343174,55
table,furniture_rooms,-1.3827289,8.414647,266
tape,household,0.55641377,-5.3294973,264
toast,food_drink,9.749855,-4.5768685,9
toe,body_parts,-4.104707,-11.081901,264
tooth,body_parts,-2.299429,-9.97708,244
toothbrush,household,0.18419673,1.6587063,263
towel,household,-0.48227704,-1.1709126,266
toy,toys,3.035416,-0.91105247,266
tray,household,-1.6887338,5.1837454,264
tree,outside,-8.603278,6.950792,186
tricycle,vehicles,-5.3695908,9.684157,53
truck,vehicles,-6.693655,2.4471548,147
vacuum,household,-3.7994797,-1.167488,265
watch,household,-2.0615904,-8.894958,264
window,furniture_rooms,-7.6042695,6.273767,264
zebra,animals,-2.1267214,12.783193,49
