,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cookie,1.1046714,0.96636695,0.96154183,0.95599467,0.96016216,0.9765833,0.9376313,1.101775,1.0175192,1.092661,1.0056773,1.1304601,1.1129481,1.0703126,1.0284554,1.1013379,1.1014292,1.1359094,1.1130933,1.0606197,1.0303357,1.1081553,0.9497428,1.0929558,1.1501547,1.0551479,1.0583037,1.221189,0.88826084,1.074266,1.1674994,0.8533444,0.775301,1.0867743,1.1174235,0.9135292,0.863923,0.0,0.9420389,1.1902341,0.70762366,1.0756156,1.1708429,1.05101,0.96121925,1.0699044,1.1016436,1.0265907,1.087485,1.024386,0.89084053,0.835644,0.9689496,1.009815,0.8012657,1.0841833,0.9743671,1.0174832,0.93363374,1.0331935,1.1336503,0.9654174,0.98877865,1.0034443,0.98018646,0.9718493,0.95876575,0.89276856,0.8336991,0.9862689,1.013559,1.0566655,0.92086643,1.1055658,0.99180114,1.0688198,1.0047727,1.1516013,0.9203658,0.990266,0.8422692,1.0756179,1.0287313,0.93799186,1.225415,1.0004874,0.81720257,0.9648118,1.0320779,0.9006249,0.72431266,0.9009081,1.1630049,0.9586471,1.0600986,1.037953,0.9840154,1.0535903,1.0630989,0.88841504,0.9839475,1.038939,1.1376792,0.984972,1.1010798,0.9178841,1.0934447,0.8641024,1.1248426,1.1847446,1.1125704,1.1598735,0.95771545,1.052563,0.95060676,1.1330148,1.2018427,1.0738662,1.0284642,1.051646,1.0192629,1.0823905,0.98667294,1.1190978,0.99202245,0.8833828,0.9194446,0.83379006,0.84676206,1.0175802,1.037156,0.86509717,1.1626173,1.1103424,1.0601242,1.0621166,0.80992067,0.94068706,0.9823326,1.0794464,1.2046065,1.0446218,1.0787458,1.1827668,1.1903359,0.9847067,1.0454903
corn,0.7624354,1.2088637,1.2550678,1.0874264,0.8356346,1.2622958,1.2814322,1.0470728,1.0319747,0.8427655,1.183432,0.78647685,1.2408048,0.7484138,0.7875916,1.2923486,0.96097815,0.90381914,0.9074747,1.1928728,1.2988261,0.7273909,1.2630267,0.9810307,1.1475687,1.1957331,1.1750968,1.063394,0.889846,0.94644547,0.9164043,1.1381606,1.1991806,0.7516866,0.77394176,1.0471483,0.5876788,0.9420389,0.0,0.74155855,0.6115126,1.2341648,0.81209064,1.215777,1.0988262,1.0173069,1.1250948,0.7163915,0.8681533,0.82725203,1.1479366,1.2097842,1.0779864,0.77700657,1.1268984,0.80812377,1.2268045,1.0233363,1.0984029,1.2478728,1.085693,1.1861253,1.1195784,1.0856311,0.83340406,0.9677545,0.75944966,0.99207366,0.945374,1.1876811,0.8966645,1.0851701,0.8863519,0.8297644,0.96428466,0.8136884,1.0984116,0.72319496,1.3013508,0.7868581,1.1106768,1.0690776,0.8751906,0.8692829,1.0547296,1.04859,1.1974041,1.1663202,1.1654819,1.1863352,1.1108375,1.2347915,0.8442557,1.042236,0.79594886,0.7783127,0.71554494,1.2285781,1.2420173,1.0865234,1.0277673,1.179138,1.179759,1.1284161,0.95969963,1.203085,1.0740541,1.0522311,1.1173033,0.9674293,1.1886729,0.79315484,0.98474985,1.1807246,0.8953005,1.0278904,1.2653408,0.7925251,1.0960461,0.8883875,1.2536458,0.79252726,0.9984978,0.8742049,1.2270622,0.861749,1.1933348,1.0925745,0.9938558,1.2718551,1.1245457,1.1132492,0.846251,0.7917801,0.81396425,1.1618766,1.1364696,1.1417406,0.98383,1.1262231,1.2379513,0.9355502,0.8969535,0.8624725,0.8983935,1.2123772,0.8449316
couch,0.55348533,1.3369584,1.4498649,1.0914673,0.68309337,1.3818989,1.3832705,1.2945831,0.9679531,0.54009616,0.9480109,0.14817405,1.330224,0.4579484,0.61445075,1.2598372,0.36968803,0.6724834,1.0229807,1.4462142,1.3582404,0.7227567,1.4839664,0.93128276,1.214808,1.2610223,1.2654603,1.0200477,0.84633815,0.7270266,0.61565065,1.3958025,1.3910902,0.6950296,0.7294527,1.2038672,0.99295336,1.1902341,0.74155855,0.0,1.080811,1.4689636,0.5221553,1.4434643,1.0845958,0.84224206,0.9545114,0.5970986,0.8235918,0.5835302,1.2425697,1.4525898,0.8170127,0.81227505,1.3010101,0.81728435,1.3915404,1.0411724,0.9169321,1.4688996,1.1230419,1.211867,1.2636917,1.1828231,0.7005701,1.2827821,0.7925927,1.2023697,1.0193061,1.3761718,0.8951307,0.94840163,0.854649,0.49226683,1.0278677,0.46823382,1.4391396,0.5970124,1.4056034,0.6062547,1.2062733,1.2037019,0.8510839,0.82246006,0.87802845,1.2196994,1.4048424,1.3588945,1.1789589,1.3552893,1.3744434,1.4645555,0.69774485,0.84685004,0.5071392,0.5425329,0.7564312,1.4858894,1.4883921,1.165599,1.2428037,1.1063721,0.9993518,1.2167684,0.9919193,1.387356,0.99489135,1.1331964,1.2388611,0.84835696,1.2952247,0.63946956,0.7614391,1.1476035,0.8558661,0.53576994,1.2032822,0.539379,0.95087194,0.73067564,1.3516994,0.6012834,0.9628557,0.5679387,1.4354625,0.65203714,1.4952337,1.0929971,1.247648,1.5243046,1.1993295,1.3384106,0.7099603,0.4660867,0.45275003,1.3514352,1.3429477,1.3128417,1.0703005,0.94906473,1.291189,0.7340957,0.7796285,0.79024625,0.71940917,1.4504793,0.6933023
cracker,0.88516176,0.9286678,1.0174105,0.93175536,0.96911407,1.2271465,1.1954914,0.93234736,1.0189327,1.1336589,0.94106877,1.1007626,1.047145,0.98416394,0.9742621,1.1750927,0.9897484,1.1732919,1.0142092,1.1786246,1.2443633,1.0343013,1.0038679,0.99552166,1.1939224,1.0016732,1.0640802,1.1011331,0.73912597,1.0208938,1.1493642,0.8639208,1.0993297,0.9504316,0.9048751,1.130601,0.60180795,0.70762366,0.6115126,1.080811,0.0,1.0725797,1.0803707,1.2289779,1.1353862,1.0517038,1.0845828,1.0227214,0.9743517,1.0330223,0.7895468,0.99553657,0.98136866,0.9110008,0.78217995,0.89863205,0.939751,1.0389377,0.95983887,1.175816,0.8588443,1.1684601,0.82258296,0.7579866,1.0500207,0.78736836,0.8526367,0.8801393,0.75697577,0.94491726,1.1017092,1.0433722,1.0297399,1.0849633,1.1308032,0.9533353,1.0920537,1.0046664,1.2078984,1.0370114,0.98975396,1.0452706,1.0563203,0.7320365,1.2652593,0.8019688,0.9168007,1.0558473,1.0366361,0.7473197,0.86100036,1.0271287,1.1354069,0.777279,1.0131254,0.9143599,0.9842149,1.0464859,1.0395783,0.8518095,1.1875734,1.069823,1.0065998,1.0136578,0.9816874,1.1260748,1.0603988,0.80105853,1.125592,1.0634224,1.1517813,1.1275874,1.0213432,1.0611029,1.122589,1.0709889,1.2624621,0.99388224,1.0522017,0.9917453,1.0422577,1.1334951,1.1052233,1.1920851,0.99202067,0.92504376,1.1173816,0.9882097,0.7376358,1.1185247,0.9253128,0.91194963,0.9045551,1.0370946,1.1471543,1.179874,0.8406075,0.7761211,0.7216091,1.0381925,1.2379788,1.167164,1.1124825,0.9300017,1.2307761,0.96811104,1.0909854
crayon,1.5850177,0.48337936,0.3940581,1.257079,1.4545797,0.53154707,0.57181215,0.9510138,1.2235732,1.451849,1.0939677,1.5430849,0.20403224,1.3236876,1.527472,0.80340546,1.4433657,1.285368,0.8739052,0.29486865,0.78892255,1.3162539,0.673364,0.8469074,0.7910565,0.6328775,0.40888274,0.8599403,1.1320457,1.3465338,1.0444264,0.5953598,0.51232874,1.3046927,1.2370728,0.84534,1.0362685,1.0756156,1.2341648,1.4689636,1.0725797,0.0,1.4607552,0.32915425,1.3061106,1.2699789,1.1819233,1.3322285,1.118031,1.4463096,0.6540311,0.3234799,1.1842109,1.2764273,0.5886611,1.1848116,0.3242966,1.1498253,1.1632783,0.48861086,0.8655697,0.94554114,0.5647404,0.82873845,1.2712389,0.6034407,1.3068035,0.90919626,1.2142493,0.3656478,1.188403,1.1680356,1.1917216,1.4968331,1.1711857,1.4605379,0.4913289,1.3764687,0.5723419,1.4746506,0.8964383,1.1010394,1.2454798,1.4451258,1.1525176,0.6958052,0.894233,0.22163212,0.71630025,0.4393208,0.5654601,0.45495778,1.3885419,1.2961073,1.5445986,1.3985096,1.3031552,0.070392966,0.09405029,0.7946708,0.9867972,0.97527456,0.70682406,1.0379734,1.1446197,0.6744764,1.1044823,0.9898887,1.0896195,1.2348413,0.5287665,1.3994374,1.2958882,0.97088754,1.3951602,1.4252765,0.7640192,1.5516505,1.1716489,1.2762835,0.46832377,1.4341868,0.94129276,1.4364998,0.16889918,1.3180192,0.28813183,0.87553257,0.8165787,0.28191882,0.84607774,0.4900576,1.2723112,1.5536578,1.5650234,0.63716346,0.47023094,0.41500854,0.8672476,0.8622511,0.564072,1.3909919,1.225981,1.1806726,1.1756136,0.17116499,1.3093793
crib,0.6310638,1.3994963,1.5375441,1.1007009,0.79803467,1.3963962,1.4027189,1.2452233,0.72542596,0.4344628,0.9595809,0.41881526,1.399944,0.45041025,0.7192668,1.2350552,0.6378864,0.5421194,0.65938777,1.3705868,1.1613119,0.41508007,1.3957782,0.94817513,1.0392159,1.2525111,1.1958541,0.9900585,0.9529968,0.85778093,0.6994847,1.3937765,1.3707743,0.54487634,0.89368355,0.90230566,0.823806,1.1708429,0.81209064,0.5221553,1.0803707,1.4607552,0.0,1.3376884,0.8145422,0.9062254,0.89804906,0.6942249,0.6234783,0.8619969,1.3274649,1.5340648,0.9339592,0.95161086,1.4171472,0.8025948,1.4668086,0.8938066,1.026232,1.3459547,1.0773927,1.1541322,1.3645482,1.3178469,0.8348878,1.0731307,0.95216644,1.1231455,1.0539063,1.4602306,0.83866453,0.9518762,0.77984035,0.7612968,0.7964277,0.8025054,1.2541239,0.54955053,1.3070136,0.80563545,1.1058064,1.1449054,0.7245599,0.96285385,0.8424512,1.2590398,1.2402602,1.4401507,1.1695485,1.449965,1.3726583,1.5402098,0.617476,0.85852456,0.65468454,0.8639701,0.53133404,1.4378661,1.4500904,1.198101,1.0749103,1.040457,1.1092151,1.0617715,0.92834914,1.170472,0.937857,1.2603701,1.1531823,0.8714507,1.1189682,0.56087416,0.6932148,1.1289794,0.7452924,0.7401579,1.101021,0.74545515,0.9482076,0.9840497,1.3725322,0.58849436,0.8418752,0.5682931,1.51596,0.7342427,1.476128,1.1893433,1.2217145,1.4437263,1.1801195,1.3029089,0.7621408,0.73334396,0.41336823,1.2627199,1.4911401,1.3142887,1.0261209,1.0357468,1.1074189,0.59631866,0.7894393,0.79647213,0.71109223,1.5045578,0.72253746
cup,1.6387109,0.58883446,0.49105382,1.0736549,1.5309391,0.5292045,0.5254403,0.9567258,0.89409983,1.4096532,1.207128,1.5525305,0.42326522,1.2988155,1.548137,0.7825256,1.4612029,1.4022057,0.9436938,0.09830958,0.45428818,1.0855365,0.58906794,1.003503,0.3455677,0.8517381,0.3466102,0.891244,1.2804238,1.306752,0.91257,0.70523167,0.50287414,1.1074071,1.2401788,0.5190121,1.2157042,1.05101,1.215777,1.4434643,1.2289779,0.32915425,1.3376884,0.0,1.0871958,1.1674366,1.1320987,1.2419986,1.1561055,1.4631077,0.86741316,0.39437735,1.2866793,1.3336565,0.8386379,1.2319905,0.5254918,1.0550399,1.146294,0.5528364,0.98573464,0.657054,0.75093055,0.9063771,1.2855966,0.79926217,1.3532538,0.90665954,1.3310081,0.50979036,1.2579452,1.190329,1.3415308,1.5221626,0.68818533,1.5523843,0.6563771,1.3285136,0.5359083,1.4866626,0.9630469,1.0217942,1.0833641,1.4515854,0.9332653,0.9229097,0.723405,0.41556543,0.57213336,0.71076304,0.6745256,0.43557012,1.2191479,1.3100108,1.566922,1.4574054,1.298259,0.4180007,0.4541874,0.8765931,0.8682267,1.0084153,0.6905926,0.9401946,1.0711184,0.57340014,1.1266725,0.95254177,0.9060434,0.9981799,0.38490444,1.1299996,1.296149,0.86433804,1.204384,1.4954939,0.8156649,1.5524324,1.0816389,1.2713876,0.5005579,1.3338895,0.8837718,1.5478404,0.38715637,1.348547,0.20903122,0.8291801,0.8836175,0.36891752,0.92831576,0.69009376,1.2560556,1.566204,1.4686453,0.39645576,0.67612505,0.80284035,1.2176697,0.7968494,0.53833216,1.1133096,1.2369606,1.2121415,1.1390737,0.34851956,1.2638736
dish,0.9403944,1.300747,1.1585742,0.5630306,1.0517706,1.0304842,1.0629388,0.78864515,0.7470144,0.9618618,1.1448036,1.0164032,1.3409278,1.086318,0.9479119,1.0286589,1.0139945,0.9129067,0.87751496,1.1394982,0.6033438,0.8708199,0.70175356,1.113956,0.9903071,1.0313998,1.2739497,1.0958464,1.2036422,1.0008175,1.1781281,0.881911,1.0796685,0.90926635,1.074357,0.92328596,1.1092969,0.96121925,1.0988262,1.0845958,1.1353862,1.3061106,0.8145422,1.0871958,0.0,0.96846896,0.8539245,1.0187153,1.0396019,1.1028059,1.2779562,1.2251489,1.154445,0.9937277,1.3206552,0.92731726,1.1659533,0.698745,1.1249413,0.9367439,0.95959187,0.80922127,1.3082823,1.272239,0.9860448,1.0484321,1.0563505,0.80202967,1.0624342,1.3501935,0.98659676,1.0775368,1.0243726,1.0159453,0.72192305,1.2030021,0.9671345,0.9878485,1.0326213,1.1405106,0.9704389,0.7130246,0.7744844,1.0438293,0.9239717,1.2073704,0.5656255,1.2717938,1.0555305,1.3667433,1.2106844,1.1132425,0.92171055,0.9721077,0.9731652,1.2074401,0.8600634,1.299989,1.2818527,1.3005557,0.722652,1.0158983,1.1150407,0.44683743,0.8671978,0.6471462,0.9898824,1.1443299,0.70213497,0.99663556,1.1607921,0.91804874,0.96494675,0.95527476,0.80644107,1.0138787,1.0357566,1.0006604,1.0540667,1.1523763,1.1744485,0.92295074,1.0117028,1.0049707,1.3774256,1.004793,1.1060617,1.2547898,0.73920184,1.086612,1.0451133,1.1447115,0.9945047,1.033209,0.70845085,1.0443989,1.3726853,1.31127,1.1400789,1.052559,0.9572015,0.7464287,0.9637067,1.0739512,1.0063026,1.348486,0.9613214
dog,0.50765747,1.202363,1.1859432,0.7941086,1.0415726,1.1323496,1.102848,1.0904812,1.035913,1.0552378,0.755063,0.911988,1.205534,0.982835,1.0463595,0.5175217,0.7879499,1.0231911,1.10536,1.1129313,1.0913249,1.0020037,1.050739,1.0548816,1.1220028,1.1007464,1.1846176,1.0213032,1.075982,0.06769276,1.0070969,1.087608,1.1698945,0.9322013,0.9934438,0.9985192,1.1560576,1.0699044,1.0173069,0.84224206,1.0517038,1.2699789,0.9062254,1.1674366,0.96846896,0.0,0.8101573,0.9210667,1.1297952,0.9490632,1.1341712,1.1845833,1.0248644,0.9546721,1.2441065,1.0453305,1.0378782,0.9183473,0.9289637,1.156966,0.79579735,0.97928864,1.0991,0.9113383,0.8797705,1.1861886,0.85458696,1.0317016,1.0945877,1.0945615,1.1008838,0.8157092,1.0712138,0.97124857,0.86133856,0.9843977,1.2110903,0.9686627,1.139828,0.8133349,1.0051503,1.0264342,0.9880309,0.7684741,0.86634684,1.201067,0.95736325,1.1957335,1.0451499,1.1910717,1.0857184,1.2109364,1.0046136,0.7393869,0.9930294,0.9145022,1.1039019,1.2497306,1.280561,0.5784234,1.100582,0.76416075,0.96423256,0.98681855,0.82290477,1.190698,0.8575438,1.0276866,1.0230198,0.86688435,0.99715304,0.9902368,1.029456,0.48146468,1.0578766,0.95618093,1.0062046,0.9714129,0.9384711,1.0155435,1.1289034,0.8914427,1.1448302,1.0658159,1.200615,0.95115185,1.186537,1.1024638,1.1570132,1.1998208,0.8865461,1.20869,0.8580386,0.9204931,0.99211353,1.142784,1.1945773,1.2425522,1.2561395,1.0243121,1.0803303,0.9826222,1.0256836,1.0052993,0.9338682,1.1721666,0.98792666
doll,0.8199684,0.85516405,1.0432178,0.83479047,1.0299501,0.9565904,0.9257173,0.9502152,0.9286987,1.21257,1.0629128,1.0040371,1.2164847,1.1390336,0.8022888,0.89172494,0.86797434,0.96031976,0.78589207,1.1106828,1.0249524,0.9468403,0.98737806,1.1560556,0.9355166,0.995487,1.2052673,0.9155665,0.8384329,0.9271874,1.1329261,1.058737,1.1227173,1.0057688,0.94305354,1.0791943,1.1869153,1.1016436,1.1250948,0.9545114,1.0845828,1.1819233,0.89804906,1.1320987,0.8539245,0.8101573,0.0,1.1804867,1.1505325,1.0085888,1.1645479,1.0910349,1.1589392,0.9126803,1.0902452,0.9462662,1.1165774,0.94548273,0.9641733,1.1254942,0.60385007,0.9946799,1.0524558,0.80478495,1.1183267,0.89141345,0.9316704,0.99873865,0.89795375,0.9655452,1.0716847,0.8185223,1.1172923,0.9518536,0.82880473,1.0064496,1.1342641,1.0712671,1.1851151,1.0405867,1.0151416,0.93921155,0.97986317,0.77567136,0.7557802,1.0954776,0.95759714,1.170741,0.99857074,1.0943891,1.1058092,1.0911567,1.2379428,0.99434453,0.8323692,1.084007,1.0447989,1.2027434,1.1427112,1.1274704,0.9730245,0.7872272,0.88792014,0.87891734,1.0070825,1.1313902,0.8318217,0.86220306,0.8939483,0.7526138,1.0192896,1.2072134,1.1265517,0.6666089,1.0415288,0.89084005,0.9665154,0.926208,0.8658263,0.9563814,1.0072544,1.1103592,1.3803103,0.93572855,1.0981776,1.1301395,1.1175272,0.98005605,1.1630132,1.1684691,0.94468343,1.1094127,0.68985164,0.9337333,1.0127652,1.0032004,1.0680203,1.1854162,1.047453,0.9527249,0.61583334,0.99737084,1.1006756,0.91460174,0.99172425,1.1612523,1.0812201
door,0.8208779,1.3165929,1.3820871,1.1457437,0.71419513,1.3379173,1.2952186,1.2529223,1.1012833,0.5620816,1.1040297,0.6355243,1.2435157,0.6147734,0.8864158,1.157378,0.93492854,0.9259758,1.1536016,1.1952634,1.3078876,0.7505674,1.3449532,0.8231278,1.1666712,1.2899146,1.0252585,1.1481459,0.9575254,0.813112,0.7004287,1.2844068,1.1945359,0.33740985,0.8303399,1.0510455,0.9122659,1.0265907,0.7163915,0.5970986,1.0227214,1.3322285,0.6942249,1.2419986,1.0187153,0.9210667,1.1804867,0.0,0.68477,0.7539878,1.1266162,1.3489482,0.9792384,0.88747203,1.1846509,0.87643135,1.3427086,0.9815147,1.0895386,1.3119985,1.2999113,1.1776509,1.1561458,1.3004144,0.7634603,1.3147148,0.81227684,1.1482229,0.9730421,1.3380563,0.8028593,1.0575671,0.8290176,0.7785773,1.0213618,0.7501049,1.2267827,0.5232267,1.1145614,0.66639125,1.1058736,1.158754,0.8769741,0.9939193,0.9660188,1.1624057,1.2292209,1.2285098,1.1669066,1.2221373,1.1144017,1.3424337,0.57192695,1.0579032,0.75189704,0.6930198,0.8442979,1.2965379,1.3226931,1.0547878,1.1653619,1.1756786,1.2774436,1.1480848,0.85688823,1.2907733,1.0946406,1.1588986,1.19465,1.0019858,1.2425972,0.34395146,0.8624284,1.1077442,0.7605685,0.93838114,1.1376848,0.710716,1.1636612,0.83178246,1.1504261,0.36786425,0.8172735,0.77545,1.3662,0.76766336,1.3317565,1.1947882,1.245034,1.3614819,1.0458707,1.2674999,0.92046565,0.68156534,0.7291977,1.3162231,1.25174,1.2118555,1.0587928,1.108631,1.3614101,0.7969103,0.73019373,0.9217402,0.57754713,1.2863338,0.5173348
drawer,1.014157,1.127845,1.2882487,1.1988184,0.86871773,1.2502,1.1703848,1.2112918,0.9867378,0.59717363,1.1751494,0.85402465,0.9775466,0.4371063,1.0919136,1.3378977,0.9816118,0.816857,0.84300584,1.2324055,1.0991983,0.474864,1.26318,0.80599046,0.9142771,0.9723339,0.8499365,1.0036849,0.874254,1.0652277,0.6453149,1.2386194,1.0055319,0.7133788,0.95048153,0.9724707,0.880062,1.087485,0.8681533,0.8235918,0.9743517,1.118031,0.6234783,1.1561055,1.0396019,1.1297952,1.1505325,0.68477,0.0,1.0457405,1.0575697,1.2783729,1.1156923,1.0761265,1.0378277,1.0836394,1.1660956,1.0712887,1.0718031,1.0262097,1.1697111,1.0959471,1.04789,1.1219767,1.0686368,1.0071732,1.0833983,1.1875886,0.9183846,1.2302649,0.70918965,1.2251408,0.7650955,1.0300455,1.1076735,0.8757924,0.8725059,0.7554586,0.98686546,0.9170191,1.1123058,1.1634371,0.889007,1.0258355,1.1462955,0.9927429,1.2064755,1.234692,1.0883279,1.0137168,1.0919199,1.2643462,0.5176306,1.1032906,1.0125455,0.8913227,0.648519,0.9786663,0.9932303,1.1379665,1.0525631,1.0133418,1.040547,1.1703155,1.0243216,0.97875327,1.1066966,1.0221546,1.1659766,0.88544863,0.8720075,0.59626305,0.9533595,1.2371777,0.78929317,0.92361957,0.91415685,1.0058063,1.0932013,0.89623046,1.0901942,0.73798275,0.5039598,0.9514899,1.1827122,1.0098624,1.2173693,1.0905242,1.139965,1.0211484,0.79404056,1.123646,0.91662365,0.97476465,0.79641354,0.9999435,1.1326804,0.90156186,0.8547145,1.0310392,1.1943303,0.69864595,1.088156,0.8898304,0.77661365,1.1546812,0.95367754
dress,0.72153133,1.2632675,1.2994533,1.1078625,0.3977487,1.3418365,1.3520977,1.2437344,1.2249733,0.7107037,0.9242314,0.5486821,1.3274034,0.83409894,0.2778899,1.170194,0.72876453,0.8238531,1.2286948,1.4183047,1.480279,1.0178914,1.4232676,1.0532117,1.3702376,1.2592653,1.3244547,1.085091,0.84892315,0.81180704,1.0033163,1.3672774,1.3081151,0.9405737,0.6900805,1.3597599,0.9752421,1.024386,0.82725203,0.5835302,1.0330223,1.4463096,0.8619969,1.4631077,1.1028059,0.9490632,1.0085888,0.7539878,1.0457405,0.0,0.9730315,1.2915869,0.7587788,0.64220893,1.0003599,0.8975491,1.455587,1.155632,0.79224294,1.4938786,1.262212,1.1659214,1.0749912,0.99665153,0.80196464,1.3474696,0.5524684,1.1675686,0.74331796,1.2525272,0.8934564,0.98124427,0.8897537,0.2516917,1.1203095,0.28960818,1.4700028,0.77048653,1.3555467,0.5420535,1.2541552,1.1710861,0.9737398,0.7461152,0.9962647,1.040932,1.3769038,1.2370096,1.3377236,1.0772835,1.2558515,1.3132296,0.7754581,0.9009697,0.3967768,0.24516141,0.9009281,1.4590199,1.4335239,0.98887604,1.2735262,1.2156581,1.3608196,1.2433507,1.1048472,1.5091072,1.0690898,0.85288155,1.2087476,0.95936656,1.4161493,0.7719476,0.8590712,1.1519558,0.9572634,0.5226044,1.232158,0.21661013,0.95536053,0.44282866,1.2388376,0.69264174,1.1208004,0.5702603,1.2984985,0.707948,1.4113257,0.98692423,1.2323565,1.5078304,1.18808,1.2052087,0.8517198,0.23365784,0.6855495,1.3895881,1.0652344,1.2087785,0.9557615,1.2130146,1.436235,0.9931845,0.8577311,0.8035127,0.9338288,1.3012428,0.8461945
ear,1.2969981,0.61000973,0.6368717,1.218207,0.97842336,0.92732114,0.90013105,1.0936007,1.3287898,1.321662,1.0010886,1.3367698,0.6621006,1.221594,1.05891,0.992989,1.2797441,1.3127493,1.1751552,0.84785306,1.2254716,1.3156033,1.0475646,0.9334824,1.0866371,0.8809505,0.7117592,1.1179729,0.82054585,1.1336293,1.120763,0.99681145,0.89059174,1.2046671,0.9483745,0.99441874,0.979092,0.89084053,1.1479366,1.2425697,0.7895468,0.6540311,1.3274649,0.86741316,1.2779562,1.1341712,1.1645479,1.1266162,1.0575697,0.9730315,0.0,0.5689136,1.0222268,0.78897464,0.29170936,1.1669302,0.882789,1.1898007,0.8412773,1.0260108,1.1138896,1.0289068,0.35515064,0.6156984,1.2531098,0.8625744,0.7612732,1.1293547,0.6395944,0.4717909,1.1643962,1.1297433,1.2089489,1.129508,1.2124746,0.9958181,1.0607586,1.2612603,0.95105994,1.0456537,1.0416232,1.1436462,1.2608858,0.95671815,1.2944212,0.4129051,1.082443,0.5689047,1.025542,0.27704895,0.5125079,0.75320303,1.1885232,1.1222539,1.1762536,0.9177795,1.2274098,0.68822956,0.6730323,0.6116897,1.2843969,1.1165327,1.065771,1.2967451,1.105139,1.129171,1.0610228,0.6796683,1.2029274,1.2021348,0.92553526,1.2480935,1.2045491,1.0231407,1.2367514,1.1069015,1.0617348,1.0565202,1.04052,0.8513538,0.6604949,1.248125,1.1127081,1.2827183,0.4911551,1.2025424,0.783741,0.7810362,1.0278025,0.8971144,0.8758614,0.71310365,1.172507,1.0831671,1.3784533,1.0350448,0.27175826,0.44082212,0.7591717,1.0714521,1.1139998,1.327019,1.2352501,1.1498595,1.2280862,0.46120596,1.2190006
egg,1.5472305,0.51107925,0.2108506,1.0330786,1.4040018,0.36745685,0.39084345,0.9048409,1.1364406,1.4711149,1.1124573,1.4857544,0.50244945,1.4630218,1.3750361,0.834007,1.4129976,1.3664255,1.0994936,0.40844423,0.7526599,1.4066519,0.58081627,1.1686505,0.86912024,0.8855891,0.6980827,1.0063152,1.0588965,1.273933,1.2360756,0.6301611,0.46458507,1.3868644,1.2256951,0.91852653,1.2493436,0.835644,1.2097842,1.4525898,0.99553657,0.3234799,1.5340648,0.39437735,1.2251489,1.1845833,1.0910349,1.3489482,1.2783729,1.2915869,0.5689136,0.0,1.1595109,1.0992541,0.5087961,1.2027726,0.5324928,1.1528572,1.1393795,0.73873705,0.91089904,0.8970956,0.5224813,0.767887,1.2382957,0.7457016,1.1257824,0.8938276,1.1234744,0.31582308,1.3156961,1.1576148,1.367128,1.4150385,1.1031828,1.4229374,0.79893786,1.4661989,0.61276186,1.3818476,0.95939964,1.0025843,1.2897961,1.2617742,1.1426612,0.63889617,0.76723826,0.16996193,0.7186998,0.48663187,0.44429952,0.18483841,1.4215282,1.1628885,1.4996073,1.3349407,1.3621192,0.46259618,0.45902127,0.7169031,1.0010777,1.0573965,0.8557085,1.0069609,1.253508,0.7365449,1.1452986,0.78604984,0.99506354,1.25721,0.63450134,1.4633764,1.2821505,0.91683674,1.2724395,1.4298421,1.0750793,1.4437084,1.1666846,1.2250565,0.6686274,1.3816396,1.087799,1.4582,0.26017892,1.2779897,0.25412703,0.8658963,0.7658473,0.52215236,0.98287666,0.5159115,1.3323548,1.445015,1.4968977,0.60034376,0.32233727,0.600668,1.1089894,0.90860736,0.64685076,1.4026623,1.2393801,1.2628611,1.401056,0.20718908,1.3301551
