,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
coat,0.7635722,1.0748196,1.3305178,1.3930585,0.48402113,1.4085749,1.4608225,1.1949209,1.2266155,0.5846034,0.88111615,0.5972336,1.2717888,0.62504435,0.45723307,1.3217717,0.7681674,0.9271393,1.2505407,1.4189919,1.523717,0.9494244,1.2680761,0.82615066,1.3392489,1.2933633,1.2611914,1.0258247,1.1431742,0.873467,0.91219896,1.328915,0.63568294,0.0,1.3316102,0.8788108,1.1697514,0.5753373,0.98330647,1.4388283,0.69621027,1.4816059,1.0122322,1.0353192,0.9074054,1.0175385,0.5571902,1.0571954,0.48109126,1.067463,1.0109128,1.2874701,0.82454526,1.2810893,0.6781025,1.1073562,0.63091195,1.4493234,1.247946,1.0839446,1.3659592,1.3260121,0.96726114,1.0235167,0.7976738,1.1130447,1.0803804,0.98219603,1.377175,0.6406225,1.2556041,0.7775746,1.3159387,0.90489054,1.1001246,0.81136763,0.486745,1.1456463,0.25765026,1.2604051,0.8277836,1.4443458,0.7308459,1.2230932,1.2617388,0.63932097,0.8428983,1.2364497,1.0270602,1.3185704,1.2518182,1.09835,1.232723,1.2914371,0.70079076,0.8567858,0.3860361,0.21985668,0.8806553,1.410892,1.3993305,1.2674763,1.1543815,0.72019,1.3038056,1.0418489,1.1790553,1.4466811,1.2394054,1.1802307,1.3442754,1.170989,1.3438525,1.2495922,0.61265063,0.95574844,1.1890224,1.0095004,0.50486535,1.0483383,0.31957352,1.0541165,0.4840088,1.2219288,0.7383328,0.97500086,0.7239635,1.3428432,0.6740453,1.3776515,1.329587,1.315868,1.4000201,1.1339322,1.0561048,1.318761,0.79051656,0.3833602,0.6637613,1.5100557,1.1123661,1.2406509,0.8294737,1.310421,1.3583622,0.95328826,0.96787643,1.0795786,0.8155445,1.3982086,0.80793065,1.0547009
coffee,1.2063831,0.90158886,0.9567189,0.8172764,1.2666185,0.7240844,0.64001787,1.0695803,0.8451365,1.0990716,1.1302527,1.2043741,0.805436,0.98206246,1.3551815,0.89232236,1.1554786,1.1214502,0.91377705,0.8815624,0.527986,0.8792771,0.87588805,1.0208502,0.7461839,0.9785937,0.7202782,1.1049355,0.9900808,1.0991249,0.7960812,0.71300584,1.1833795,1.3316102,0.0,0.9668733,0.83224857,1.1819744,0.960334,0.9045243,1.1215687,0.6948144,0.97309804,1.0222514,1.0564778,1.0755272,1.0933692,0.7744429,1.3315582,1.0530334,0.99344915,0.8446015,1.222381,0.64456606,1.2919245,1.0563449,1.2359271,0.8637788,0.83224785,1.0840008,0.84402007,1.051384,1.0619285,0.9014906,1.0854547,0.98761976,0.94934934,1.1707447,0.88424575,1.3038162,0.90359044,1.1487545,0.96716315,1.1360896,1.198014,0.95807844,1.3099405,0.928507,1.2973881,0.79579014,1.1213111,0.5887557,1.1751438,0.6428946,0.9806896,1.1446451,1.1251559,0.7288384,0.8741052,0.9807841,0.8015814,0.9324733,0.66462743,0.97299933,1.0679373,1.1569691,1.3587027,1.29924,0.9795402,0.8674514,0.8693107,0.9138407,1.0178996,1.1111151,0.8390359,1.1393703,0.7961167,0.53055894,0.8691071,0.97496575,1.0419059,0.8068437,0.64061105,0.5754856,1.1447577,1.1155477,0.9569887,0.89720136,1.2779255,0.9630462,1.3806324,1.0645489,1.1054312,0.8784818,1.0566679,0.8018499,1.2784137,0.9067904,1.1525009,0.9202301,0.6155907,0.8042886,0.7692023,0.8957061,1.0622177,0.9026778,1.0717313,1.4007277,1.0103827,0.612757,1.0636059,1.0490453,1.1354785,0.8098966,0.89630616,0.77452385,1.2304575,1.070811,0.96084523,0.7823396,1.1630089,0.74584204
comb,1.0206038,1.145714,1.2786394,1.1337394,0.9610647,1.1167539,1.1703795,0.97207975,0.90712863,0.89399886,0.9390624,0.991265,1.0198586,0.8632892,1.0695827,1.1175389,0.9159234,0.9926307,0.9489552,1.1799655,1.1154289,0.9449287,0.9586879,0.89971274,1.0973473,1.0339339,1.1338582,0.96624005,1.1041214,1.0546408,1.1126087,0.96800584,0.9025143,0.8788108,0.9668733,0.0,0.65239555,1.0377457,0.7491225,1.0186548,0.87638783,1.1720612,0.97820735,1.0068899,1.075751,1.1668122,0.9636414,0.82050765,1.0491065,1.1224916,1.1054292,1.223278,0.8941986,1.0541608,0.93974507,1.0964835,0.9330282,1.0008819,1.0104989,0.95590746,0.81353915,1.0482413,1.0665206,0.76873225,0.93395877,1.0901337,0.95147693,1.0668356,0.85816026,0.95000213,0.97844154,0.9872403,1.2119548,1.0538979,1.1746136,0.8647405,0.9649399,1.1293498,0.96192014,0.79881084,0.9835451,1.0996231,0.8973147,0.97219235,1.0678504,0.7816185,0.70725846,0.9698796,1.0246556,1.1860037,0.9737632,1.1186514,1.1434124,1.3057022,0.93791586,0.8387705,1.0165852,0.99992615,0.8028685,0.96504647,0.9711302,1.1401021,1.0500064,0.9882046,0.9005717,0.91847,1.0686204,0.95948017,0.9959595,1.2218446,1.2256331,1.0899209,0.89261687,0.99365747,0.9769623,0.9810277,1.1367136,0.81894296,0.8629472,0.71694434,1.051685,0.8483011,1.0570787,1.0938728,0.9477591,0.91262716,1.0981377,1.1208916,0.7367277,1.1693202,1.0427003,1.0999786,1.0177188,0.9888788,1.0843831,1.2122594,0.9066495,1.0897508,0.9896347,1.0577154,1.1416302,0.97017366,0.6385183,0.9412745,1.1464287,0.90344733,1.0749687,1.0020622,0.9550211,1.0607182,1.0765918,0.75909895
corn,1.1097914,0.96268475,1.0761986,0.8147022,1.2372015,1.086828,0.98176855,0.6976845,0.76897454,1.1436731,1.0193387,1.2851553,0.7525965,1.1929547,1.2845927,0.9204326,1.162658,1.0705932,0.94251984,0.8026303,0.8274753,1.0973245,0.7798721,1.0057603,0.91161895,0.79796606,0.73806584,1.0279089,0.9834497,1.1621773,1.0675673,0.83279204,1.0462079,1.1697514,0.83224857,0.65239555,0.0,1.3339051,0.9312405,0.72564405,1.1375322,0.83000374,0.95319915,1.0954635,1.1836352,1.1691906,1.099522,1.0005642,1.3501831,1.1124201,1.0602071,1.1270603,0.9176277,0.97770613,1.2220029,1.0829448,1.1709555,0.6876942,0.86887956,1.0371261,0.61274326,0.8202512,1.1183827,0.722854,1.1149195,1.0858471,0.9832921,1.034511,0.98367083,1.2080163,0.81313574,1.152996,1.0355222,1.2205107,1.0499619,1.1217287,1.172506,0.96340436,1.2943473,0.63340634,0.96112186,0.7615444,1.1436801,0.8141873,0.8484646,1.1838745,1.0153039,0.84882337,1.0829278,1.007247,0.6397836,0.9589168,1.0879188,1.0914578,1.1326095,0.9557403,1.2715721,1.3157933,1.061455,0.6897725,0.66628957,0.96215,0.81737566,1.1377958,0.7013448,0.9586496,0.79201275,0.7976811,0.89328414,1.0360184,0.909633,0.93757236,0.87954414,0.91750795,1.1217588,1.2227501,0.91395265,0.59014344,1.2168763,0.828099,1.2953553,1.0230782,1.2541952,1.0382979,0.96845096,0.99063677,1.3016008,0.8842347,0.97838676,0.86873424,0.73240477,0.837077,0.7237575,0.9825351,1.0192206,0.9281107,1.1408595,1.3801863,1.2364085,0.8234976,1.110766,0.85713696,0.85680103,0.6983816,0.9973291,1.0420971,1.0502076,0.89568317,0.9463691,0.8341087,1.1798705,0.7160617
couch,0.44218767,1.2720959,1.4393032,1.369607,0.65172523,1.3325546,1.3975214,1.3568043,1.081236,0.48958188,0.8572971,0.07414371,1.3844266,0.2508391,0.5616384,1.2458805,0.30916405,0.7211196,1.0886945,1.4392834,1.4574574,0.722057,1.3957587,0.9267727,1.1484667,1.304668,1.3226619,1.0240148,1.3128958,0.6733527,0.5511691,1.3865882,0.64053994,0.5753373,1.1819744,1.0377457,1.3339051,0.0,1.0696172,1.5075231,0.44542384,1.4454215,1.198013,0.97178525,0.722085,0.85168314,0.5997884,1.0368495,0.594653,0.98468655,1.2413092,1.3775295,0.878165,1.3626387,0.81488365,1.2931498,0.68714225,1.4133036,1.2111024,1.0214165,1.5401535,1.2906495,0.74621016,1.1820045,0.8244363,1.2464796,1.1595235,0.7119222,1.2791538,0.79160464,1.359194,0.9786795,1.3595119,0.7372911,1.1197724,0.5849334,0.563537,1.1333001,0.43695557,1.4675903,0.6899197,1.4746118,0.6958379,1.2209105,1.1452065,0.72075814,0.9661157,1.2871976,1.1293501,1.3857102,1.239477,1.3495,1.3200209,1.3951201,0.7175428,0.82865775,0.4512794,0.5281357,0.9105909,1.511081,1.5171144,1.2988876,1.3326926,0.7282456,0.98113126,0.9709276,1.2696704,1.443553,1.3213911,1.3119705,1.4249525,1.0180645,1.328162,1.3114303,0.65026855,0.77596307,1.2552412,1.19975,0.6728628,1.0701394,0.5255518,0.9120671,0.78987294,1.122494,0.76646364,0.9475416,0.46322507,1.4691703,0.7406956,1.3851403,1.3070765,1.2579511,1.5400912,0.99872625,1.196169,1.3544081,0.7368778,0.38939357,0.38246822,1.3437302,1.2795068,1.4567304,1.0242513,1.1916641,1.0784076,0.74303854,0.83436596,1.0647365,0.77938354,1.5147994,0.64146936,1.1120839
cracker,0.92947656,0.99966085,0.97138387,1.0289541,0.8063395,0.991348,1.077365,0.8710927,0.9703127,1.0480216,0.9929076,1.0464709,1.0606546,1.042926,0.91729033,1.2897279,0.99223727,1.2401587,1.0082022,1.1862301,1.059159,0.9651435,0.6753617,0.94643736,1.2253466,1.144121,1.1409779,1.2819891,0.77496177,1.0708033,1.2221823,0.9924434,0.94984907,0.98330647,0.960334,0.7491225,0.9312405,1.0696172,0.0,1.0691415,1.0551659,1.1583924,0.90354526,0.93952787,1.1058543,1.0983047,1.0009797,0.887994,0.9505378,1.2194268,0.9012268,0.9305736,1.0391512,0.89525694,0.9400262,0.8885436,1.0926433,0.98533523,1.0084112,0.9150196,1.1396723,1.100691,1.0185072,1.0859644,0.94289464,1.0115273,0.91418076,1.0267429,0.9202465,0.9874978,0.74644756,0.7993356,1.2079843,1.2277687,1.1961907,1.0583969,1.134758,0.8216985,0.9922698,1.0450724,1.0278859,1.2199823,0.9914751,0.7743901,1.0982835,0.72250795,1.085695,0.85756016,0.5924778,1.055439,1.046644,0.9407613,0.8166503,0.97792846,1.1128309,0.831951,0.9614688,1.0486684,0.7910876,1.0867823,1.0614204,1.2295258,0.89736533,0.9150957,1.0533044,0.5997095,1.0751013,0.92069495,1.043529,1.0041666,0.9933299,1.2171996,1.0338533,0.98909587,1.146235,0.79482657,1.2170522,0.8811977,0.87328035,0.9421375,0.9966557,0.93718797,0.94611156,0.99458826,1.0775447,1.1002892,1.196419,1.0095363,0.8875176,1.0237248,1.0761075,0.8958743,1.0793303,1.1688758,1.0351682,1.0526845,1.0304031,1.0907729,0.9502051,1.1043032,0.9260666,0.8903898,0.85263115,1.067484,1.196782,0.875549,1.0974703,1.1958464,1.1271521,1.0683191,1.1009414,0.9079243
crayon,1.4509616,0.7317741,0.4711355,0.48502493,1.4592267,0.5907111,0.5162011,0.6631885,0.9260076,1.4849288,1.2106028,1.5157528,0.2534567,1.4680078,1.5731146,0.86186814,1.4465653,1.2517266,0.8205306,0.27414787,0.5916893,1.3361853,0.52513856,1.0431894,0.9229631,0.75046146,0.42280018,0.8583083,0.7629069,1.306512,1.2426903,0.67431116,1.389355,1.4388283,0.9045243,1.0186548,0.72564405,1.5075231,1.0691415,0.0,1.5547627,0.50713754,0.8143394,1.2586975,1.3167322,1.2590344,1.3426585,0.82751954,1.4774597,1.1343956,0.9767119,0.69593567,1.215673,0.66705495,1.3634022,0.7501117,1.3358653,0.28515446,0.860942,1.1123654,0.4196275,0.67434686,1.2088547,0.9083866,1.4730177,0.7435392,1.0655955,1.2129121,0.63849276,1.3562565,0.7692261,1.2830858,0.50907993,1.2306831,0.9221102,1.3180017,1.4152224,1.1561806,1.5026531,0.37107533,1.3141631,0.4808209,1.3008995,1.0058109,0.98821604,1.5489074,1.1590378,0.4796846,1.3212329,0.22637588,0.6535984,0.58471894,0.69684803,0.5812159,1.3319104,1.3373476,1.5403895,1.4696124,1.1681231,0.06089747,0.07138741,0.79780674,0.6927773,1.312144,0.7658339,1.1903145,0.83483183,0.5734196,0.54186845,0.68444973,0.37070274,0.9832526,0.64501834,0.80147374,1.3775475,1.3377632,0.9295108,1.0799611,1.4519808,0.8996687,1.5604746,1.2252539,1.2839665,0.9665743,1.2500018,1.0809115,1.4174688,0.14934385,1.3015375,0.6781146,0.6683372,0.6684594,0.49231774,0.98472923,0.8380576,0.65614957,1.1747049,1.4882718,1.5899847,0.6336309,0.75348544,0.37686372,1.0531772,0.6317251,0.90145516,1.4482261,1.1830162,0.7812081,1.1488566,0.3781398,1.3164417,0.8330654
crib,0.6677819,1.4136198,1.6174562,1.3738916,0.66336167,1.4591415,1.4830673,1.4265789,0.8689402,0.32059836,0.85347044,0.37537074,1.490571,0.3592285,0.571191,1.2340951,0.49810922,0.5612428,0.75840366,1.418233,1.3604579,0.28810912,1.4963075,0.88041246,0.9000725,1.245864,1.2933974,0.9779342,1.4386293,0.8922105,0.60922354,1.337997,0.51600796,0.69621027,1.1215687,0.87638783,1.1375322,0.44542384,1.0551659,1.5547627,0.0,1.3240676,1.2392219,0.9078273,0.92413396,0.76613,0.59086674,0.87089527,0.6917163,0.9704375,1.3605825,1.5170518,0.86651057,1.4270039,0.91427,1.4628468,0.6453325,1.5609642,1.0517769,1.0449039,1.3372551,1.2287614,0.7736534,1.0692526,0.6194814,1.3818313,1.2321626,0.7951902,1.1354656,0.926641,1.354146,0.97213894,1.562997,0.617977,1.2180943,0.4598261,0.5708776,1.0374804,0.6240484,1.3347979,0.5157967,1.4200375,0.7714665,1.1931872,0.9904809,0.78194565,0.80113196,1.3518759,1.0521,1.534728,1.1864219,1.479517,1.5422562,1.557889,0.5851074,0.8171264,0.4750899,0.7242089,0.6406598,1.5369639,1.5233736,1.3207982,1.463388,0.77630496,1.0787531,0.83002365,1.2560911,1.2933968,1.3960522,1.3993523,1.6029378,0.8821757,1.2409317,1.3808682,0.5066668,0.8800245,1.2468529,1.0282941,0.7297739,0.8291498,0.6354195,0.88247454,0.90257096,1.0958798,0.7062303,0.8018759,0.4396339,1.6246725,0.70928395,1.3161035,1.2936292,1.2716191,1.4426214,0.98005366,1.2262554,1.3887367,0.6496008,0.649239,0.2526716,1.2427188,1.4920056,1.540792,0.7219274,1.1828153,0.84721255,0.46385622,0.80216455,0.9031522,0.6979516,1.5493891,0.6641426,1.0682285
cup,1.432594,0.84167796,0.6834078,0.5700451,1.4735805,0.5789699,0.52403855,0.93897265,0.5538561,1.3344952,1.3022764,1.4848163,0.6793953,1.3307827,1.5032309,0.77192116,1.4186041,1.2465551,0.85213536,0.15474308,0.18274176,0.9572869,0.75923634,1.0655652,0.21609151,0.70900416,0.3483392,0.90435934,0.97129476,1.2663605,0.920002,0.5308337,1.2383342,1.4816059,0.6948144,1.1720612,0.83000374,1.4454215,1.1583924,0.50713754,1.3240676,0.0,0.9998962,1.093804,1.178106,1.0511694,1.2351685,0.8762709,1.4581492,0.9035133,1.1167727,0.6994052,1.3411274,0.8830991,1.384558,0.98120946,1.3027035,0.64589584,0.76040924,1.1665286,0.52896017,0.8207451,1.1633053,0.99296576,1.088924,1.0060943,1.0290432,1.2407967,0.72719115,1.4045063,0.87063646,1.287328,0.6730445,1.1846135,0.9579066,1.2872968,1.4734608,0.657405,1.5684078,0.6918602,1.1844987,0.4108041,1.3165101,0.8099328,0.66157854,1.4579538,1.1570233,0.76092076,1.0405769,0.5733819,0.6037612,0.9012367,0.8772843,0.6987963,1.143022,1.3332016,1.5478597,1.5056665,1.1679285,0.5434291,0.55031776,0.76827073,0.9820496,1.2838554,0.8076311,1.18435,0.76647323,0.46664762,0.8062267,0.89388394,0.6261753,0.69959444,0.54488397,0.83657014,1.1539919,1.2732354,0.79748493,0.8747267,1.4509331,1.0500982,1.5044746,1.1741159,1.3560286,0.7912395,1.2363523,0.8248119,1.3957026,0.6013112,1.3684859,0.29836082,0.7019255,0.7738878,0.52178454,0.8879733,0.9608493,0.5771849,1.2532358,1.4738451,1.3308461,0.2991286,0.96640277,0.7928992,1.1746182,0.65932524,0.6518159,0.9934094,1.2546171,0.82872355,1.0610219,0.53189576,1.2894199,0.9491009
deer,1.2010596,0.74972856,0.855663,0.9092233,1.093967,1.0574036,0.9945993,0.8443591,0.881131,1.1952592,1.197337,1.2401669,0.83690965,1.1737118,1.1253982,1.0505512,1.308094,1.3094766,0.9333651,0.96789956,1.0344167,1.0596306,0.7144211,0.7156331,1.1561503,1.0591425,0.8670734,1.1243842,0.68458414,1.1172184,1.1491171,0.852165,1.0360311,1.0122322,0.97309804,0.97820735,0.95319915,1.198013,0.90354526,0.8143394,1.2392219,0.9998962,0.0,1.1123649,1.1056446,1.1671042,1.0356308,0.80995774,1.0965269,1.0996734,0.86326027,0.87518877,1.1983534,0.8133892,1.0135295,0.65058386,1.0265515,0.98893857,1.0179845,0.8885473,0.83131826,1.0442508,1.1139766,1.0330611,1.1007619,0.7661803,0.92813265,1.2014968,1.0074348,0.96149784,0.86574006,0.9274158,0.86685395,1.201272,1.0555423,1.2063532,1.2270936,1.0290723,1.0893695,0.76910305,1.1743239,0.89763016,1.1630182,1.0396647,1.0336447,1.113525,1.1344031,0.7359418,0.99925643,0.89694524,0.93351656,0.60536444,0.71743447,0.8699562,1.1991775,1.1800835,1.1649092,1.0371605,0.7380631,0.80944335,0.816509,1.0352256,0.75760245,1.2099468,1.0209587,1.1306472,0.76993346,0.87435514,0.7348167,0.6608401,0.82188606,1.0161337,0.83995163,0.8834061,1.1756784,1.1292452,1.0120418,1.1045325,1.1063409,1.0462902,1.0940318,1.0055112,0.98837453,1.0289133,1.0687693,1.0748287,1.2566018,0.7478845,1.1158457,0.92797685,0.9612594,0.8841781,0.7889742,1.0009091,0.8701159,1.0101813,1.1526667,1.1210543,1.2357165,1.1530588,0.6861913,0.72913605,1.0488259,0.96350974,1.2504222,1.1919832,1.154959,1.2227525,0.91202253,0.7834762,1.1686273,0.7885041
dish,0.7932096,1.2160591,1.040024,1.1706898,1.0301511,0.94606304,0.9893986,0.93930745,1.1079675,1.0328817,1.1161797,0.96230686,1.2860682,1.0149788,0.88057375,1.09587,0.9101088,1.0109388,0.85775477,1.1921946,0.9359687,0.86986643,1.0226989,1.1097279,0.93692,0.97278345,1.2810311,1.1291509,1.137606,1.0129006,1.1019492,1.031153,1.0371963,1.0353192,1.0222514,1.0068899,1.0954635,0.97178525,0.93952787,1.2586975,0.9078273,1.093804,1.1123649,0.0,0.9115748,0.8857171,1.0594287,1.1510793,0.9835482,1.0730176,1.0556282,0.98487854,1.1529465,1.1183212,0.7834891,1.1425402,0.87316245,1.1379752,0.90933144,0.91509116,1.2225287,0.84285724,0.9013393,0.995527,0.828982,1.0599977,0.92104477,1.0484651,0.77676266,0.8599243,0.8610402,0.9323942,1.1155454,0.966849,1.0255154,0.9273469,1.0441009,0.6711147,0.9914641,1.2594421,0.8882159,1.2358916,0.93611073,0.7226993,0.81988335,0.6608024,0.86287534,1.2590389,0.7127534,1.1950108,1.051925,1.221524,1.0155473,1.0157404,0.87631595,1.0235815,0.906301,0.9771497,0.83960116,1.3243107,1.3184159,1.1672373,1.0665097,0.96190506,1.062264,0.7985182,1.1496646,0.875951,1.1686069,1.1072206,1.1111931,1.1050122,1.1876706,1.1302716,0.9999378,0.9343458,1.074885,1.0264423,0.94944096,0.8823327,0.9113049,0.8599098,1.044748,0.9963271,1.1312402,1.0000062,0.96318775,1.2661906,1.0820936,0.9053259,1.1767063,0.8693602,1.123122,1.0058159,0.9986703,1.0263643,0.9946407,0.9620181,0.7865505,0.9319671,1.074632,1.1713299,0.94476306,1.0417161,0.8435507,0.6367421,1.0407157,1.1710458,1.038872,1.232453,1.0446264,1.1814893
dog,0.5155052,1.2524815,1.2444127,1.1250881,1.000889,1.1498652,1.2090867,1.2047752,1.0550829,0.98672056,0.8995098,0.73507833,1.2659752,0.8077724,0.96222085,0.564732,0.7307699,0.9565743,1.0901022,1.1889772,1.098727,0.9615445,1.1649542,1.0540402,1.0919307,0.91708887,1.2202307,1.0591462,1.2213659,0.08456981,0.90174526,1.1379483,0.923749,0.9074054,1.0564778,1.075751,1.1836352,0.722085,1.1058543,1.3167322,0.92413396,1.178106,1.1056446,0.9115748,0.0,0.79684484,0.95603836,1.1698034,0.96543604,0.66402555,1.0038701,1.1853967,0.9703125,1.2295119,0.89729404,1.2664243,0.8214547,1.1142207,1.0321887,0.9526854,1.2328528,0.9473003,0.93393195,1.0404415,0.98686594,1.1603851,0.9480434,0.9498859,1.1827283,0.87986493,1.0941565,1.0714198,1.0489095,0.96441704,0.8128148,0.94075346,0.9689178,0.9645045,0.92183065,1.2753727,0.96893793,1.09867,0.90682364,1.0693438,0.9533467,0.84264785,0.96099174,1.2368037,0.8574387,1.228894,1.1445701,1.3277893,1.1105173,1.2079877,0.94578767,0.83252096,0.9826015,0.89649796,1.0834185,1.2911241,1.2981143,0.6703167,1.2194934,0.9440583,1.0095078,0.9830751,0.99913496,1.2038765,0.9567902,1.2124312,1.1842426,0.93815744,1.089031,1.0598063,0.97535557,0.8118145,0.5604196,0.9578521,1.0157442,1.1609126,0.91694194,0.83142614,1.0567274,0.9981154,0.92291874,1.0585177,0.9169662,1.2871896,0.9449388,1.1236091,1.2568666,1.1744972,1.1870847,0.96717775,1.1327674,1.12094,1.0338863,0.85442567,0.8548206,1.1465415,1.1745076,1.3004794,1.1815549,1.1103786,1.009693,0.8914184,0.9771735,1.1245531,0.9050559,1.2543912,0.8380607,1.2227938
doll,0.78641796,1.0047005,1.1133205,1.121195,0.88598,1.0669857,1.0919876,1.1775599,0.91075885,1.0812883,0.8387542,0.87115425,1.3159609,0.9301455,0.80099,0.91686094,0.86934954,1.0139476,0.8811459,1.0688746,1.1156739,0.8314123,1.1711458,1.0116652,0.91876817,0.8604216,1.2274084,1.0028378,1.0381517,0.87933254,0.89986455,1.1146828,0.94614315,1.0175385,1.0755272,1.1668122,1.1691906,0.85168314,1.0983047,1.2590344,0.76613,1.0511694,1.1671042,0.8857171,0.79684484,0.0,1.0975958,1.2520347,0.88700527,0.79272294,1.0747483,1.0282924,1.110555,1.1993939,0.921275,1.1203817,1.0667919,1.2394017,0.9182888,0.9932288,1.169362,0.81986105,0.84493035,1.0383892,0.8963235,1.168432,0.88191545,1.015415,0.9717968,0.95274615,1.1457922,0.9024813,1.0069928,0.9255676,0.8411068,0.82425576,0.9331604,0.8149532,0.9756389,1.2895571,0.9842723,1.13255,0.93864906,1.0761466,0.8639666,0.82758456,0.90821064,1.2668356,0.9681014,1.1993513,1.1447475,1.2505531,1.1226801,1.030701,1.117219,0.95351267,0.8641678,1.067969,1.0987538,1.2772644,1.2380103,1.0118355,1.1753626,0.6447174,1.037413,1.0489271,1.0994221,1.2490491,1.0815095,0.9832904,1.0595789,0.8009823,1.1161827,1.0521111,1.1373272,1.0129145,0.76664066,1.044796,0.92060554,0.96972007,0.8624092,0.8971763,1.0513895,0.8842109,1.1097527,1.2105563,0.8605336,1.2922168,1.0221103,0.9651508,1.023469,1.2498775,1.1643347,1.0060946,1.013673,0.96573186,1.0288048,0.9001641,0.7971517,1.0247449,1.1119525,1.3246328,0.9783553,1.071405,0.5209454,0.8000179,1.035874,0.9509632,0.9457611,1.1161926,0.94013125,1.2420632
door,0.838321,1.1467842,1.4333277,1.1605725,0.6734978,1.4036783,1.3458183,1.3297644,1.0742165,0.45619583,1.0925941,0.6177858,1.2197416,0.48837364,0.8084624,1.2310104,0.9107835,0.8487741,1.1298895,1.2086529,1.3191919,0.7915541,1.2789814,0.62957656,1.1207905,1.2103232,1.0162094,1.0840316,1.273802,0.91337246,0.66458577,1.1829294,0.42199284,0.5571902,1.0933692,0.9636414,1.099522,0.5997884,1.0009797,1.3426585,0.59086674,1.2351685,1.0356308,1.0594287,0.95603836,1.0975958,0.0,0.7352037,0.82064307,1.027805,1.1560814,1.3691249,0.906716,1.2239993,0.88044345,1.1919249,0.6864445,1.3377775,1.1482638,1.154299,1.26492,1.3702811,0.8857328,1.0330851,0.87813675,1.1603973,1.2770114,0.83374083,1.3555217,0.8567437,1.2656946,0.9370104,1.3880322,0.9641793,1.166765,0.67114145,0.8876218,1.076638,0.6924899,1.1446061,0.55344534,1.131629,0.8167105,1.1897316,1.1576238,0.9224026,1.0233176,1.0582844,1.0515033,1.2977049,1.1093516,1.1237298,1.275249,1.4162127,0.5150357,1.0413107,0.7824863,0.6089923,0.8576968,1.2911541,1.2924082,1.2801572,1.2786169,0.87774634,1.2732961,1.0231785,0.9817035,1.2952799,1.2886473,1.2745354,1.429528,1.0672216,1.133169,1.1876532,0.28520715,0.92955124,1.1013647,0.9536292,0.8453888,1.090251,0.69575024,1.1428294,0.8444983,1.247865,0.5340147,0.7426237,0.68205535,1.3485622,0.7532778,1.2626481,1.1258358,1.1623914,1.3134549,0.9046082,1.1483605,1.2774588,0.9829493,0.7501428,0.6458069,1.3695967,1.1999967,1.3360145,0.93319416,1.2236366,1.2898597,0.8425952,0.82686883,1.0233195,0.4358328,1.337651,0.51095843,0.94578147
