category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist
tooth,244,5,5,14.577700750885661,6.2658754849230975,12.563345492268128
radio,251,5,5,15.603610701287305,5.569378134568966,14.188210242366614
sweater,255,5,5,15.662517056676691,6.270132395627019,14.00149021334397
sock,250,5,5,15.775014105661608,5.7124019673882795,14.194291929037522
soap,213,5,5,15.970913828498954,5.0699077961359365,14.582733819383169
nose,211,5,5,16.520819871958487,5.08382888128658,15.191634961875906
foot,215,5,5,16.902197383998715,6.266793219197978,15.279534833012699
jacket,249,5,5,17.784774568672468,6.249927199351362,16.20706511190727
strawberry,201,5,5,18.135564500168066,5.890492032504341,16.426198255251567
cracker,248,5,5,18.137435890588897,6.545541714243495,15.981117717215511
glass,251,5,5,18.199459952825592,7.019910510113038,15.989069573447201
stroller,243,5,5,18.485854516556305,6.969697757465344,16.494374948059505
ear,183,5,5,18.54772040371766,5.477954256602521,17.742154777814214
pumpkin,238,5,5,18.706495797901464,6.265781692201441,16.957859789016638
face,248,5,5,18.8474740783623,6.682909456737778,17.255526778653895
ankle,199,5,5,19.027704422755523,5.257955799242444,17.625011268691768
comb,234,5,5,19.119297337372217,7.243193490786835,16.86218745733006
pickle,204,5,5,19.27162306547647,6.302693993074945,17.837064441258555
broom,196,5,5,19.406354667230957,6.952673436873517,18.347867207795506
rooster,247,5,5,19.48745096418705,6.778482210368087,17.634737321983085
slide,245,5,5,19.61088579089188,6.678543924161853,17.963792905176806
melon,232,5,5,20.03518670065539,6.105262747176799,18.458509126568476
mouth,150,5,5,20.148044626295455,6.178888585672352,19.1186414882654
closet,233,5,5,20.509075686862484,7.103481094048231,18.791387933708485
muffin,209,5,5,20.762169888082468,6.626325939246037,19.051701386074278
jar,212,5,5,20.981035701136868,6.7694827046853945,19.413104109360425
dress,228,5,5,21.43053518855843,7.847760779224892,18.96170829422784
eye,107,5,5,21.6275324348416,5.299898666343216,20.11764332639089
pizza,225,5,5,21.800237067492333,7.223848269879589,19.738949434030523
raisin,111,5,5,21.809401525188754,5.67106575980548,21.174718045136036
motorcycle,216,5,5,22.137444270599072,7.716296692026784,20.555501679774267
potato,62,5,5,22.17301788703997,6.403235886186838,21.405156650876506
bird,227,5,5,22.247802554717097,6.767128949570143,20.480676051936534
grass,149,5,5,22.43276819820212,8.517759822180986,21.288595996513376
coffee,189,5,5,22.83887304961786,6.453349687738275,21.37696991417887
horse,222,5,5,22.89809868899853,6.814367200127866,21.422914262619535
sprinkler,216,5,5,22.98497634640535,7.29456284463215,21.83200745474125
shower,185,5,5,23.2612391872543,7.098955721395297,21.308561750376946
soup,171,5,5,23.99368524391219,6.883551941007648,22.503067298750068
snow,183,5,5,24.075178408842497,7.868855172381474,22.352343616845747
tree,186,5,5,24.080331783146395,8.559782714557528,22.12109605801283
leg,117,5,5,24.146004903490205,6.161225305962897,22.56769078524689
butterfly,186,5,5,24.235742081896362,7.433322867901806,23.40825582651918
cookie,177,5,5,24.4977029098278,7.103276001555063,23.32869684989951
hose,204,5,5,24.514518305266463,6.5618567187918435,23.398913177636775
owl,221,5,5,24.55327781541993,7.461920484706334,22.995113385312496
boat,218,5,5,24.682356543168652,7.767011655467746,23.32807629046067
pony,175,5,5,24.856950073021455,7.783087676951196,23.41563626668134
scarf,202,5,5,25.115444644309143,7.557848223736067,22.74344557744498
elephant,193,5,5,25.634459111871607,6.442388479481734,24.89444611354521
milk,185,5,5,25.924289413749776,8.192526400054199,24.176015809691613
coat,130,5,5,26.42946322146393,7.01385615309084,25.00240218176228
truck,147,5,5,26.51951862537033,7.667427874242062,24.67662572564148
hamburger,176,5,5,27.526467583273906,7.878221648697061,25.678846140236463
corn,113,5,5,27.79432851591194,6.621638640089382,26.044858118053003
sauce,84,5,5,28.419503472766845,6.858248637489325,28.40444724450474
rock,108,5,5,28.42814536695656,6.914256061595553,27.62725235405923
mop,49,5,5,28.48581894005294,7.901666864215767,27.85635177796876
meat,154,5,5,29.712867480856474,6.844885859762518,29.11538491081579
cloud,13,5,5,30.066269180879388,6.907714831743288,28.40446329205638
bear,102,5,5,30.115018562464645,7.413394828386167,29.406740519611848
stick,79,5,5,30.34566831989357,5.34199243240644,30.06526414673636
chips,84,5,5,30.712457429570648,5.803899948451268,28.854660686428197
dish,152,5,5,30.830462515567433,6.006284551961578,30.624597132599675
pig,107,5,5,30.948288453561155,6.98553387445498,29.752199756973397
penguin,89,5,5,31.070201155746705,7.183979610085464,29.678713956869625
zebra,49,5,5,31.64643933588103,6.391834412218161,31.843206407444484
deer,83,5,5,32.14591289408704,5.9325541923553295,31.45424293750109
applesauce,94,5,5,32.27599167857549,6.986669095062528,31.357085090537396
swing,55,5,5,32.86941090910921,8.23024118883331,31.76158356602341
tricycle,53,5,5,33.67477413699198,5.934227304771321,33.71751303724416
firetruck,86,5,5,34.043775951349225,6.33392585154106,33.98851277916122
sandwich,81,5,5,34.586663485374295,6.37717595557091,33.10421615101321
giraffe,53,5,5,35.45246109462838,8.314709440180224,34.61688449850918
duck,45,5,5,35.54529386660656,6.019707224299136,34.32350031795143
pastry,54,5,5,37.869921343886304,7.670842036590869,36.509954609531434
helicopter,41,5,5,40.49648147613181,5.83246622677367,39.70826311074676
toast,9,5,5,41.16064530184584,5.634660548868114,39.57503154455378
pasta,11,5,5,41.68732843202576,3.9384876250038534,41.356954619606185
game,32,5,5,47.407945881861814,4.373314508316493,47.34497085971962
