,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,soup,spoon,sprinkler,stick,strawberry,stroller,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bench,0.730981,1.3993473,0.8801719,1.2839519,1.2869599,1.2018095,0.69328445,0.65159595,0.47295916,1.2254567,0.0,0.7571995,0.69783455,0.84723353,0.9640608,1.2732009,1.3238885,0.6150776,1.2676046,0.93747187,1.2296854,1.3628204,1.101972,1.2266114,0.99628633,0.8631595,0.45143342,1.2527647,0.62016165,0.5067021,0.84019053,1.4422613,0.5209827,1.3974793,1.0410427,0.9612264,0.5597127,0.88272506,1.146658,1.2528291,1.0423195,0.9363088,1.1576542,1.2358695,1.0430351,1.1468875,1.4406046,1.0747782,1.0777969,1.1447932,0.9586936,1.2043962,1.3004625,0.89559907,0.97112024,0.99252564,1.0545216,0.9102442,0.93618524,0.83781123,1.1308252,0.7597788,1.2003591,0.456348,1.1282357,1.009101,1.1377184,0.70673925,0.64151764,1.0431805,1.3911278,1.3849536,1.2466508,1.2136959,1.3539971,0.8593518,0.9024804,0.80755496,0.9556879,1.3541987,1.3939264,0.79898465,0.98473597,1.004932,1.3420329,1.3919299,0.9559097,1.110133,0.6617136,1.1626086,1.1916218,0.8513272,1.141494,0.7665329,1.1939006,0.7745415,0.8437342,1.3901753,0.96273434,1.0068604,1.0788116,1.3717179,0.6945965,1.2761858,1.4420127,0.5951315,0.45026082,1.3393764,1.3310546,1.2162707,1.1738724,1.4140629,0.99400973,0.7031918,0.9527557,0.61308223,1.284355,0.723006
bib,0.66327286,1.4537573,0.7544741,1.3313549,1.3254616,1.2147236,1.2148682,0.7485373,0.7166148,1.0838897,0.7571995,0.0,0.44602448,0.84893024,1.3058586,1.4624326,1.5685046,1.0264617,1.0305054,1.0457813,1.5416787,1.3015653,1.2520764,1.3368891,0.72557825,0.5258002,0.8925076,1.4386536,0.70478636,0.64328223,0.7260922,1.4476041,0.88149285,1.5146174,0.65823567,1.1439192,0.7790789,0.9926233,0.73006463,1.2581596,0.8773496,0.5944822,0.85826504,1.1464247,1.1756321,0.6685472,1.50476,1.1976287,0.9828159,0.6474676,0.9898227,1.3617964,1.2812887,0.46868712,0.95276713,0.79002815,0.8037553,0.62431,1.0611713,0.59346896,1.4959173,0.5111981,1.29794,0.849496,1.4029511,1.0022047,1.2138381,0.6453707,0.9294259,0.7956197,1.3145089,1.313309,1.085342,0.78406954,1.349158,1.0396448,0.3917647,0.64840776,1.008375,1.3524011,1.3795763,0.60035706,1.1241183,1.363481,1.5264993,1.3785874,1.3122063,1.1334889,1.0165044,0.9370498,1.3037586,0.3904177,1.0845339,0.5922543,1.3777453,0.9492592,1.0771154,1.3952885,1.044222,0.94282156,1.1834476,1.463272,0.9085917,1.2865741,1.3455739,1.027073,0.750501,1.507637,1.044205,0.9579127,1.0472772,1.3156706,1.4097464,0.96400255,0.95764136,0.8571311,1.1342256,0.8781736
blanket,0.5877628,1.4128335,0.76936376,1.3026049,1.3602242,1.2005038,1.0292441,0.71556175,0.39186096,1.1163766,0.69783455,0.44602448,0.0,0.7418872,1.1026717,1.4618462,1.5022053,0.8733328,1.1546557,0.9988084,1.4439223,1.3760946,1.2068058,1.2801774,0.8673345,0.7226603,0.84900904,1.3955231,0.7673945,0.3714794,0.72458625,1.4481987,0.67696273,1.538852,0.87142146,1.0525142,0.77891177,1.1082665,0.92562103,1.2834738,0.9843009,0.7679173,1.0283903,1.161236,1.0746932,1.0019096,1.5478232,1.025256,1.0777295,0.977868,0.91801137,1.2552925,1.2525839,0.7325867,0.92277086,0.8432507,1.0224907,0.759899,0.9565255,0.51536846,1.360265,0.5292135,1.4393665,0.66398335,1.3614511,0.95351285,1.2189273,0.6011578,0.84734476,0.9655513,1.3649063,1.352564,1.1766038,1.0415698,1.3574951,1.0315531,0.50011253,0.58033496,0.8905008,1.3791355,1.4149361,0.6982444,0.83350074,1.2427628,1.5121135,1.3608716,1.164218,1.2056103,0.97929233,1.163779,1.1738975,0.44191557,1.2415918,0.5919203,1.4196764,0.91429204,0.87084925,1.4668086,0.95895845,0.9165803,1.0364347,1.5523956,0.7871088,1.30879,1.4317745,0.9032919,0.63087296,1.4423664,1.2407999,1.261234,1.1243721,1.3568873,1.2502712,0.8768345,0.93530697,0.8453972,1.2564845,0.81378144
boat,0.90090114,1.2309717,0.87837934,1.1918042,1.2080741,1.2136034,1.067187,0.78003544,0.7026754,1.1092576,0.84723353,0.84893024,0.7418872,0.0,1.1070616,1.2708538,1.245751,0.97988707,1.2916179,0.9793132,1.2036246,1.2375703,1.1291388,1.0640357,0.91332924,0.9262629,0.97702605,1.2124949,0.8714459,0.8333311,0.9648723,1.1769052,0.72547567,1.2981098,1.0813351,1.1165882,0.8829411,1.1075963,1.2037988,1.253221,0.85289645,0.8953072,1.1758242,1.2374947,1.1199498,1.1452262,1.2501016,0.9801456,1.0505527,1.0861036,1.0842211,0.96220857,1.1896937,0.91404045,1.0881753,1.0743717,1.2582266,0.7248765,0.88887334,0.94048244,1.1694272,0.6397158,1.1618272,0.75562495,1.1488138,1.1986032,1.0953751,1.0217264,0.6352825,0.9965326,1.1530921,1.2831444,1.2056371,1.1497555,1.2213235,1.0415386,0.80749965,0.70367634,0.9572729,1.1149572,1.1193049,0.9298127,1.0398638,1.0309322,1.2703265,1.2245522,1.0827272,1.2023838,1.019765,1.1772475,1.0909497,0.7444072,1.3372107,0.8064922,1.0727944,0.95387447,0.3840238,1.2270992,0.726397,1.0220425,1.0718762,1.2662818,0.79315996,1.216973,1.2969637,0.7121982,0.7808676,1.2457435,1.1969349,1.1826547,1.1604877,1.2438745,1.142658,0.9416485,0.66440165,0.93661404,1.1658462,0.66160583
book,1.184345,0.98598707,1.0435778,0.996916,0.9761936,0.93241525,0.71758354,1.0459718,1.1012124,1.0079559,0.9640608,1.3058586,1.1026717,1.1070616,0.0,0.867728,0.83306384,0.68420404,1.0778908,0.9921306,0.77278847,1.0001476,0.83216274,0.8188847,1.1590554,1.3143167,0.9413209,0.78769946,1.1423695,1.129055,1.0848488,0.8028776,1.0353699,0.8840152,1.2380984,0.71502364,1.0788852,0.88760674,1.2182529,1.0141242,1.2362164,1.2219459,0.97417194,0.83276427,0.8363997,1.2820427,0.86947197,0.88422203,1.0769178,1.2570546,0.9464138,0.9714267,0.81479347,1.2924759,0.9955135,0.89106905,1.0968301,1.2809534,0.9689491,1.1178938,0.69500715,1.2481434,0.817651,1.0618305,0.87298703,0.9655945,0.8536975,1.0675712,1.1689115,1.1318953,1.0209641,0.8173083,1.004536,1.2276323,1.0297718,0.87707025,1.2502184,1.2287343,0.3414805,0.781744,0.8026512,1.1614492,0.79408735,0.89767706,0.7323349,0.95869863,0.754895,0.9285701,0.96197957,1.1267892,0.71641904,1.242526,1.0380765,1.259301,0.8831091,0.9645139,0.8727585,0.88116527,0.98875517,1.0080756,0.81055003,0.90803385,1.191787,0.93198997,1.0587023,0.9583535,0.81744945,0.7890252,1.0904193,1.0139647,0.83351624,0.8686638,0.7132702,0.8382379,1.2042583,1.035345,1.0512959,1.1436745
bottle,1.4888693,0.5653905,1.3249457,0.6956426,0.6398068,0.8624287,0.90945864,1.3415184,1.5085859,0.92361647,1.2732009,1.4624326,1.4618462,1.2708538,0.867728,0.0,0.33209395,1.192864,0.8714318,1.1168568,0.23034513,0.6904242,0.402456,0.4852646,1.119639,1.2600958,0.9149723,0.5916396,1.1335932,1.3430266,1.224098,0.48290378,1.4119552,0.15138811,1.0239305,0.736325,1.1427041,0.9243157,1.232274,0.7298434,1.1555201,1.3711793,1.0551324,0.7137127,0.869701,1.1945794,0.43053126,0.91326547,0.77582055,1.1406775,0.96569574,0.8045563,0.6419856,1.3661842,1.2843958,1.2564334,1.0304606,1.3795307,1.2283343,1.0828934,0.25679594,1.4742082,0.6633684,1.3541417,0.5188819,1.1190382,0.6035199,1.4693058,1.3041556,1.1900961,0.61087954,0.59632784,0.8652504,1.1493189,0.72527313,0.8461765,1.3384243,1.4064724,1.2250679,0.64161116,0.61566556,1.3626257,0.88249826,0.7880262,0.47039223,0.53293973,0.5389228,0.7930367,0.8995323,0.831885,0.79675835,1.3994968,0.68261015,1.3846393,0.52186704,1.0730584,1.1019409,0.5321336,1.2090191,1.1193211,1.0302728,0.3895985,1.2998961,0.690577,0.6159397,0.925346,1.4501364,0.58413327,0.9223217,0.8806306,0.9588771,0.5433341,0.78003734,1.296594,1.2405081,1.1443632,0.64097047,1.2347983
bowl,1.4686232,0.4415127,1.3833917,0.62570494,0.5591152,0.77800286,0.8902842,1.2274492,1.5006495,0.79614824,1.3238885,1.5685046,1.5022053,1.245751,0.83306384,0.33209395,0.0,1.1432309,0.86394656,1.1398836,0.19073427,0.66108054,0.55051947,0.51748407,1.2579947,1.4156432,1.0691507,0.4711703,1.3062822,1.4214609,1.2669971,0.41836667,1.3726485,0.16746604,1.2422694,0.89602625,1.3298758,0.95919317,1.2079685,0.62551004,1.2564732,1.4261193,1.2124789,0.6784663,0.947093,1.1496805,0.32102358,0.8523865,0.81327426,1.2505157,1.0355817,0.68269205,0.5680443,1.4802988,1.1816858,1.3661363,1.1145977,1.4411778,1.0852923,1.2983072,0.41468728,1.5265675,0.59961003,1.3480844,0.68202853,1.0158306,0.7936995,1.4335362,1.2223471,1.2414937,0.5110308,0.5422894,0.9150072,1.1323209,0.56348,0.79943585,1.4494606,1.403843,1.2166394,0.57536066,0.5366884,1.3719897,0.8711399,0.7228868,0.19772983,0.47833872,0.66033185,0.7838544,1.0443183,1.0392078,0.7380239,1.4856887,0.65196466,1.4693459,0.5246246,0.8411612,1.0380812,0.48089105,1.2036476,1.0874181,0.7678143,0.2878595,1.242615,0.6877042,0.5745138,1.0294659,1.4320605,0.36600077,1.0286319,0.8655883,1.0210571,0.51203656,0.7330769,1.2094376,1.2157416,1.2728058,0.72937834,1.3051285
box,0.88575375,1.1625932,0.93408626,0.9901387,1.0890145,1.0496804,0.64730203,0.6720539,0.7386289,1.2205755,0.6150776,1.0264617,0.8733328,0.97988707,0.68420404,1.192864,1.1432309,0.0,1.1889201,1.0329134,1.1181359,1.3393286,1.1074154,1.2202374,1.1028745,1.1059511,0.9575925,1.1049247,0.9625694,0.86130035,0.93604296,1.2865494,0.6723929,1.282959,1.2446043,0.9772858,0.83411396,0.93272513,1.1728094,1.0273538,1.1373267,0.95528543,1.1578598,1.1859654,0.9247139,1.2309793,1.2996286,1.0263673,1.0827178,1.2066958,1.065114,1.0810561,1.1627458,1.0826527,0.8893097,0.9297929,1.1095799,1.0192662,0.84379536,0.9932142,0.9520349,0.9689675,1.1871452,0.7230264,1.0565815,0.91695523,0.8972758,0.8244868,0.8498642,1.0479865,1.2993258,1.3393805,1.0352272,1.2217641,1.1080725,0.94247746,0.9922832,0.922123,0.71174747,1.1801718,1.2229211,0.92866534,0.9760272,0.9536499,1.1700146,1.3187613,0.83161676,1.0974221,0.8786689,1.3108473,0.96479946,0.9352382,1.2038753,0.9592989,1.3318557,0.7622721,0.9031842,1.4206012,0.9073362,0.9764766,0.8385574,1.380301,0.90693116,1.1991707,1.2902751,0.8491937,0.52620786,1.0647676,1.3779975,1.2984908,1.0183411,1.3807931,0.6861411,0.101938605,0.9732043,0.8132764,1.3914965,0.9222403
bread,1.2320436,0.776136,1.2964565,0.8714297,0.85292286,0.6036078,0.9213751,1.2972033,1.35692,0.74857646,1.2676046,1.0305054,1.1546557,1.2916179,1.0778908,0.8714318,0.86394656,1.1889201,0.0,1.042711,0.9001637,0.8257181,0.81068945,0.89257807,0.8561632,1.0966135,1.119543,0.894112,1.1236036,1.2425673,0.8382981,0.7801558,1.2590728,0.7812695,0.8205617,0.773053,1.2516756,0.8396839,0.71053827,0.8549334,1.2276361,1.0764525,0.87229216,0.78711224,1.0019374,0.6937679,0.7414091,1.0904646,0.99637395,0.8354441,0.9169872,0.98352724,0.7406393,1.0775646,1.0286626,0.9628413,0.77751386,1.2785722,1.170907,1.0489482,1.0784721,1.2915308,0.91674685,1.2294812,1.0063272,0.85640514,1.0344135,1.1466302,1.3298213,0.94621205,0.8407436,0.5593654,0.7272521,0.68618375,0.7111452,0.9489699,1.1975775,1.2345371,1.2347169,0.85494804,0.86566097,1.103906,0.85247236,1.1481994,0.7930326,0.723586,0.9050057,0.8169786,1.0458761,0.91890335,0.95139176,1.2160728,0.7268605,1.2271979,0.9386093,1.2555331,1.2329469,0.70646477,1.2771823,1.0375764,1.0458186,0.783171,1.4054097,0.7113763,0.5858234,1.2704843,1.4370707,0.7740251,0.7445307,0.7061796,0.89994997,0.5835564,0.9268816,1.1936908,1.1373906,1.3549606,0.72972476,1.2778397
broom,1.0474533,1.1229503,1.022291,1.1164044,1.186703,0.976207,0.92719936,0.9332905,0.9619176,1.1602933,0.93747187,1.0457813,0.9988084,0.9793132,0.9921306,1.1168568,1.1398836,1.0329134,1.042711,0.0,1.104773,1.1276923,1.0480283,1.0762892,1.113347,1.1751257,0.9499357,1.0623509,0.7366345,0.9513912,0.9635637,1.1412432,0.97916454,1.1796136,0.990881,1.0232295,0.7609807,0.92409796,1.0205923,1.1607066,1.002333,1.092962,1.0463743,1.0035427,0.56018895,1.2324334,1.0963262,0.8397634,1.0322969,1.1818833,1.0449752,0.94167596,1.1238053,1.0629797,1.027565,0.9954194,1.1857926,1.0388632,0.8815548,1.0043807,1.0122275,1.1198604,1.0233402,0.956751,0.8994022,0.9158891,1.0060183,1.0033284,0.8143929,1.0877479,1.2284926,1.1640177,1.0910031,1.208899,1.1473576,0.9893414,1.0650412,1.1170988,0.9722548,1.0727127,1.067952,1.0255384,1.0078865,0.54950684,1.1391647,1.2752035,0.9866555,1.0985417,0.88472724,1.1456022,1.0441556,1.1145848,1.099234,1.0822799,0.8471776,1.0129704,0.8984968,1.2225437,0.9064089,0.9940279,0.95842016,1.1214122,0.8388023,0.94963115,1.1606084,0.9683823,0.93702346,1.1942204,1.089388,1.0362141,0.94307935,1.2028347,1.0974599,1.0662495,0.6233691,0.903102,1.184104,0.8279059
bucket,1.5274148,0.60460603,1.3818038,0.73884165,0.6539937,0.8133237,0.7123117,1.2555679,1.4648911,0.85445416,1.2296854,1.5416787,1.4439223,1.2036246,0.77278847,0.23034513,0.19073427,1.1181359,0.9001637,1.104773,0.0,0.66866124,0.26684487,0.43175942,1.1578523,1.4151545,0.8924012,0.5726991,1.1437498,1.3580555,1.2350236,0.4739251,1.3168237,0.17561471,1.1986915,0.7280426,1.2033856,0.9627517,1.2598679,0.8233763,1.27791,1.4728023,1.1986244,0.7510219,0.856468,1.2375143,0.45447016,0.8815108,0.89173365,1.3037426,0.886717,0.73042035,0.63641703,1.5080814,1.2092539,1.3388739,1.057942,1.4809191,1.074667,1.0999465,0.27466297,1.4955728,0.6519742,1.2761339,0.62662554,1.1442608,0.6603757,1.4065433,1.2188883,1.2496443,0.6493247,0.56922793,0.92951965,1.2048225,0.69035923,0.7107559,1.4146947,1.3904502,1.1837654,0.62175965,0.6168021,1.4045357,0.8161093,0.6613878,0.40821743,0.46526968,0.4956038,0.745881,0.94233376,1.0302371,0.6988017,1.4458764,0.69986016,1.4760818,0.5083283,0.98720443,0.9297028,0.4755224,1.1979524,1.0684949,0.9549919,0.39887297,1.3089342,0.7651459,0.65565634,0.8125385,1.440833,0.44396925,1.0353128,0.9335768,0.9692006,0.5208786,0.7016417,1.2713335,1.2177807,1.1742939,0.70940554,1.2320756
butterfly,1.3019459,0.5054245,1.2061282,0.8370291,0.7703855,0.8719163,1.1267331,1.3452902,1.4004085,0.6043049,1.3628204,1.3015653,1.3760946,1.2375703,1.0001476,0.6904242,0.66108054,1.3393286,0.8257181,1.1276923,0.66866124,0.0,0.8306744,0.7197321,1.0127391,1.2229675,1.1943382,0.6484022,1.2590486,1.3734865,1.2295581,0.43358332,1.2870206,0.49210215,1.1499082,0.95589584,1.3140081,0.9701882,1.0092174,0.7674683,1.0628726,1.2090752,0.9545508,0.79907334,1.0339936,0.93175536,0.4949023,1.015642,1.1063652,1.0498334,1.1236066,0.6987804,0.586086,1.2610055,1.1510781,1.122895,0.9948871,1.2717692,1.1324279,1.1571007,0.83446985,1.3028156,0.6634246,1.2907052,0.82400537,1.1041396,1.033513,1.369529,1.3117425,1.0230349,0.49282634,0.54253817,0.738095,0.83898854,0.6051091,1.1074615,1.2283005,1.2780068,1.0848771,0.5746888,0.51907265,1.2560532,1.0986919,1.0302109,0.6668556,0.38571465,0.9627527,0.8048459,1.1923071,0.71677554,0.8346422,1.2753267,0.9012272,1.2528403,0.73232865,1.2588036,1.1479899,0.5080835,1.1753271,1.1871625,1.1282014,0.4696685,1.2945015,0.741118,0.32092512,1.2114292,1.4128969,0.71722823,0.7585212,0.7343277,0.9438041,0.45976335,0.8403449,1.2855037,1.1788377,1.2444975,0.7136884,1.294909
can,1.4791585,0.81229067,1.3135499,0.87323225,0.77697164,0.9211428,0.6667068,1.2307163,1.3261204,0.6907652,1.101972,1.2520764,1.2068058,1.1291388,0.83216274,0.402456,0.55051947,1.1074154,0.81068945,1.0480283,0.26684487,0.8306744,0.0,0.5461778,0.98335546,1.2534964,0.6275517,0.8256085,0.8630389,1.1098933,1.1611668,0.5779492,1.2026236,0.41333407,1.0299375,0.7829288,0.96934026,0.74062586,1.2054193,1.0573165,1.3139987,1.4428799,1.1217422,0.85719657,0.9062545,1.0296776,0.7311824,1.0548995,1.0130672,1.2374749,0.88813347,0.7649859,0.66538334,1.3628266,1.3175932,1.258204,1.0221851,1.4495906,1.1274676,0.8190266,0.57689136,1.3345481,0.7575901,1.1317855,0.80079615,1.0981687,0.6070528,1.3459891,1.2705463,1.2298385,0.8490968,0.5478352,0.7935643,1.0668087,0.92548203,0.58294374,1.2531145,1.252287,1.2038021,0.69189155,0.71982265,1.2988491,0.7051592,0.9108142,0.7133453,0.7087815,0.5856769,0.6647562,0.7666929,1.0113405,0.8957804,1.3011405,0.8487241,1.3060892,0.58372474,1.1231071,1.019744,0.6237831,1.2087879,0.9912494,1.098003,0.62923205,1.3636678,0.72086567,0.7562206,0.8055517,1.4097123,0.74717236,0.99986917,0.8071128,0.9122798,0.49333018,0.82160556,1.3330755,1.278126,1.150775,0.70800346,1.1556902
car,1.4406769,0.71435285,1.2855127,0.90375155,0.82860506,0.9439218,0.8866977,1.2940142,1.3735045,0.71730375,1.2266114,1.3368891,1.2801774,1.0640357,0.8188847,0.4852646,0.51748407,1.2202374,0.89257807,1.0762892,0.43175942,0.7197321,0.5461778,0.0,1.0099567,1.1796702,0.88167727,0.65599275,1.159272,1.1746236,1.280281,0.45935208,1.3170652,0.43010902,1.0141447,0.9244056,1.1681623,0.95527065,1.1720221,0.9020039,1.1314969,1.3113744,1.0943103,0.6765741,0.8590942,1.0909722,0.5367491,0.90364975,0.95062196,1.1179913,0.9709314,0.66776013,0.60043895,1.292733,1.2891724,1.2550207,1.231044,1.3004876,1.1070758,1.0625463,0.7212284,1.3839188,0.7720108,1.2690517,0.7170801,1.190259,0.8864669,1.4328387,1.2253693,1.1627405,0.7084187,0.67620087,0.8402188,1.0900971,0.8042631,0.9526465,1.3035696,1.3341681,1.1083437,0.5954299,0.64419997,1.314426,0.79068434,0.87031925,0.5698849,0.6172805,0.83735496,0.7295951,1.0231487,0.8726628,0.7004552,1.2871275,0.8478209,1.357418,0.5597858,1.151336,0.9731227,0.58080953,1.0921264,1.0509336,1.139528,0.56754565,1.2223058,0.62996715,0.68383026,0.921465,1.3703221,0.6446406,1.0386086,0.7884093,0.9031109,0.5787083,0.85065824,1.2879431,1.1268404,1.2347157,0.7252542,0.9640538
carrot,0.879968,1.2287507,0.7816341,1.271579,1.2563384,1.0886607,1.0937241,0.96196675,0.9645059,1.0561181,0.99628633,0.72557825,0.8673345,0.91332924,1.1590554,1.119639,1.2579947,1.1028745,0.8561632,1.113347,1.1578523,1.0127391,0.98335546,1.0099567,0.0,0.90525967,1.0111356,1.2515869,0.9700619,0.85990953,0.848274,1.06261,1.0575639,1.1466994,0.87678045,1.0645047,1.0394628,0.9888207,0.8347043,1.1528068,0.8646854,0.89512694,0.6691559,1.0939724,1.1658858,0.81209624,1.1459492,1.2528119,1.025812,0.69938684,1.0984647,1.1528066,1.1574155,0.7628275,0.99194384,0.69502944,0.9013547,0.9957036,1.0960988,0.8849419,1.2104819,0.8287293,1.0708944,1.0385517,1.1740605,1.1747677,1.0841415,0.9496258,1.0726696,0.8199376,0.99572325,0.9459951,0.8661657,0.80594015,1.1293725,0.9835802,0.7750001,0.9358917,0.9883107,1.0359209,1.0363574,1.1081132,1.0550745,1.1797554,1.2113854,1.025956,1.2411337,1.0591366,1.0429487,0.9656914,1.1503078,0.82757765,1.0786873,0.841601,1.1376626,1.0886079,1.0069185,1.0493625,1.1461176,0.88836586,1.1148112,1.1648569,1.0926114,1.0452489,1.0179203,1.1552927,1.0504965,1.2316748,0.6692129,0.9034804,0.82252145,0.91821617,1.2673745,1.0596215,1.1081324,1.1147382,0.7197209,0.9927667
cat,0.77620196,1.259465,0.8299822,1.2036839,1.2129512,1.2886164,1.2138567,0.87070787,0.78261983,1.0941588,0.8631595,0.5258002,0.7226603,0.9262629,1.3143167,1.2600958,1.4156432,1.1059511,1.0966135,1.1751257,1.4151545,1.2229675,1.2534964,1.1796702,0.90525967,0.0,0.963252,1.308532,0.9185234,0.7093292,1.0148913,1.2820618,0.8903836,1.2925146,0.3796667,1.1670687,0.86432767,1.1499013,0.74914455,1.1829318,0.5780741,0.6008712,0.97812843,1.0949248,1.2087873,0.6151292,1.359243,1.1434742,0.9123982,0.5686965,1.087827,1.1935612,1.2766774,0.4536562,1.048358,0.91304994,0.92148054,0.49280387,1.1592624,0.72994137,1.4279196,0.622223,1.2894217,0.8828898,1.2581787,1.0709665,1.2713822,0.8730866,0.9400929,0.8427623,1.0866157,1.2788398,0.9995455,0.6968211,1.2118883,1.1423892,0.68418324,0.651747,1.0398133,1.2218235,1.2401532,0.7269938,1.2265146,1.2421609,1.4026234,1.2800663,1.3150164,1.0880157,1.0703102,0.79600674,1.2224461,0.598879,0.9952126,0.6922906,1.3421769,1.0538646,1.1991886,1.2366936,0.9220459,1.0996721,1.2562783,1.3058023,0.8508493,1.127363,1.1824964,1.0435871,0.83085454,1.3907499,0.9575309,1.0089755,1.0442684,1.2623991,1.3302896,1.0177022,0.85069466,0.9204088,1.039739,0.77996033
chair,1.0212834,1.2724313,1.0627686,1.2368222,1.1743846,1.1852351,0.61973846,0.8943553,0.5864222,1.0199971,0.45143342,0.8925076,0.84900904,0.97702605,0.9413209,0.9149723,1.0691507,0.9575925,1.119543,0.9499357,0.8924012,1.1943382,0.6275517,0.88167727,1.0111356,0.963252,0.0,1.0908226,0.5185175,0.4401238,0.9283854,1.1731827,0.63848656,1.0139478,0.9448759,0.79981077,0.5426948,0.82803,1.1876969,1.3167304,1.2226055,1.1608068,1.1760218,1.0941038,1.0276476,1.1170324,1.1558816,1.0797,1.0424294,1.1642039,0.9199859,1.1224945,1.1562102,1.0520846,1.1067669,1.1490208,1.0439751,1.109962,1.1104997,0.77753025,0.9651922,1.0188063,1.0216826,0.53720987,0.83123374,1.1364453,0.93929386,0.9385703,0.8839866,1.1588433,1.2258801,1.0695951,1.134371,1.206878,1.3002591,0.6970434,0.9987869,1.0189961,1.0756752,1.1332608,1.1686769,1.0472769,0.6899119,1.0182382,1.1342609,1.158308,0.7559191,0.94505686,0.4899174,1.0721433,1.0384736,0.99320483,1.0114292,0.8958499,0.88024426,0.9617811,1.0364621,1.1114222,1.12011,0.88131064,1.1496099,1.0909529,0.99152243,1.0506232,1.2102798,0.5320083,0.7626028,1.2340039,1.2439628,1.074885,1.1177205,1.0478882,0.9836347,1.108988,1.168157,0.6067362,1.0435516,0.73978335
clock,1.3975375,0.48761648,1.3133435,0.57005405,0.5961819,0.8462833,0.9553885,1.3433894,1.3475701,0.813669,1.2527647,1.4386536,1.3955231,1.2124949,0.78769946,0.5916396,0.4711703,1.1049247,0.894112,1.0623509,0.5726991,0.6484022,0.8256085,0.65599275,1.2515869,1.308532,1.0908226,0.0,1.2059951,1.3433974,1.252871,0.5687984,1.2464366,0.4765824,1.1814046,0.8965601,1.2281166,0.90074176,1.1146071,0.7015218,1.1426802,1.2656436,1.1715047,0.78040326,1.0084447,1.1436548,0.39637762,0.88262045,0.9843705,1.1514931,1.0764064,0.79653984,0.6428566,1.3825126,1.1520422,1.294515,1.1692283,1.3347541,0.9852307,1.2182629,0.65757656,1.4169668,0.60998803,1.2417803,0.68275607,1.0602646,0.9950708,1.3800128,1.2154937,1.2194378,0.648638,0.6474709,0.84272397,1.0847533,0.57239825,0.9903697,1.3388319,1.3225486,1.1037325,0.73536056,0.6903439,1.3243852,0.8735768,0.9130132,0.30567765,0.59030974,0.717903,0.75413966,1.0602465,0.90055925,0.7073309,1.342903,0.69824606,1.333574,0.70380753,1.1536319,1.1060953,0.55317175,1.1836092,1.1014802,0.9730036,0.44014823,1.2525698,0.6515293,0.5785656,1.07583,1.3566778,0.3676111,1.0143026,0.8178671,0.93920904,0.6232524,0.63659835,1.1151959,1.1598272,1.2664821,0.81916153,1.2534842
closet,0.88484776,1.3951375,1.1105381,1.2614557,1.2369848,1.2180107,0.91412956,0.7406412,0.6365973,1.0902784,0.62016165,0.70478636,0.7673945,0.8714459,1.1423695,1.1335932,1.3062822,0.9625694,1.1236036,0.7366345,1.1437498,1.2590486,0.8630389,1.159272,0.9700619,0.9185234,0.5185175,1.2059951,0.0,0.56491935,0.84479725,1.3296633,0.7191359,1.2388787,0.8883052,1.0027777,0.23594153,0.76380086,0.9765977,1.2891101,1.129585,0.9785068,1.0111823,1.2138487,1.022891,0.9728093,1.3015972,1.1411614,0.9922621,1.0120466,1.053848,1.3162198,1.2691834,0.8719439,1.0133158,0.9902812,1.0254973,1.0016798,1.0944874,0.81755686,1.1431619,0.9206661,1.1209733,0.6765342,0.94596255,1.1460711,0.9766836,0.9066765,0.90748304,1.0178729,1.2941656,1.2519552,1.1529112,1.0298502,1.2890141,0.6357502,0.87588555,0.9375541,0.9939126,1.242044,1.273521,0.9291187,1.0400304,1.0869629,1.3288832,1.2852048,0.9764539,0.89242476,0.34297794,1.009557,1.2170647,0.8727735,1.148089,0.7769388,1.0687714,0.8872223,1.0644075,1.3044508,0.99926215,1.0353713,1.0616186,1.2806449,0.88516176,1.135021,1.2731212,0.8077521,0.8019417,1.4038283,1.1701862,1.036092,1.0831927,1.2218174,1.1663074,1.0309805,1.0724342,0.74695665,1.1239387,0.6286092
