,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
cracker,0.5242604,1.2544096,1.2409886,0.89500546,0.8987179,1.1968778,1.1860327,1.001075,1.1344856,1.0221266,1.029269,0.9529325,1.3999379,1.1344407,0.8916178,0.7756851,0.9027942,1.0444499,0.94623375,1.4015819,1.3222908,1.0056548,0.18634516,1.025704,1.348574,1.2160696,1.3548961,1.2836704,0.86766374,0.67946744,1.2326343,1.0846351,1.2363223,0.9797253,1.1076344,1.1577586,0.92475176,0.14047778,0.7293131,0.9953185,0.0,1.3275117,0.97873896,1.4175243,0.410262,0.7677868,1.0331595,1.1332173,0.97097206,1.2251348,0.9764709,1.2135795,0.8727382,1.1771008,0.8696667,1.1914133,1.098395,1.2631204,1.1499457,0.9908892,1.1746869,0.44708347,0.91674036,1.2055691,1.2588363,0.9421379,1.2123886,0.95004207,1.0468895,0.91033995,1.2957003,1.0667081,1.0334971,0.9557963,0.98644364,1.0646877,0.98664534,1.188624,1.0873394,1.3507724,0.9736804,0.16546118,1.1476564,1.1248196,0.85693824,1.2138388,0.19803941,1.2951922,1.233935,1.1933994,1.1891146,1.1856287,1.1772949,1.0020612,0.96238726,0.9399923,0.5057578,0.092315495,1.3389963,1.335413,1.1188962,0.9426268,0.99022466,1.0848888,0.082592845,1.1713886,1.0096871,0.9739531,1.1948186,1.0047752,1.3172802,1.1039962,0.9120498,0.8793103,0.47567666,0.9307168,0.93662727,1.103834,0.9904115,1.1035498,1.0269263,1.1458954,1.0444012,1.2171599,1.1336399,1.3595845,1.0345278,1.193855,1.1806226,1.2442712,1.0163437,0.79442185,1.2765429,1.0164424,1.0434359,1.005994,0.9154545,1.232401,1.2144839,1.1087627,0.87650836,1.2552087,1.1511067,0.88335913,1.0607268,1.0419949,1.1730635,1.1022842,1.3867362,1.0606127,1.0243374
crayon,1.2707007,0.5996547,0.40450752,1.2139676,1.4006734,0.67214704,0.73337054,0.446321,0.75383675,1.5005388,1.0942311,1.5532379,0.24642527,1.3573778,1.4420378,1.2450595,1.5295037,1.3305777,0.8637881,0.28291,0.65639126,1.2190096,1.2799135,1.0387968,0.854955,0.6860657,0.48766643,0.63943917,0.6551362,1.2435908,1.168804,0.47223818,0.35614842,1.4061798,0.6259255,1.2211605,1.1642827,1.2753844,0.7566502,1.4484346,1.3275117,0.0,1.490979,0.37919605,1.2596886,1.254529,1.296478,0.9306489,1.4446867,0.8340652,0.67422396,0.44347245,1.3472902,0.4814672,1.3267689,0.58568764,1.2513516,0.1991955,0.75764865,1.0453877,0.46934468,0.9069721,1.494618,0.5374573,0.710889,1.2368416,0.3361714,1.2481557,0.5664585,1.2397206,0.5093533,1.3484979,1.27478,1.2052372,1.3871825,1.1606023,1.4510211,0.6708405,1.1304294,0.38583964,1.1259387,1.2399552,0.78365505,1.0021889,1.4580969,1.2528429,1.3523734,0.23657972,0.3825686,0.51667815,0.45521772,0.29992402,0.9461264,0.9925053,1.4963937,1.4415517,1.4096189,1.2971513,0.08642566,0.072962046,0.88934326,0.84280837,1.1808085,0.97241014,1.2995319,0.92432356,0.8747783,0.97671777,0.4881233,1.2694924,0.6155469,1.1444917,1.3835171,1.0645854,1.3527348,1.1161939,1.2417068,0.81805575,1.4465342,1.1457107,1.2213212,0.97862715,1.3535925,0.9374575,1.105701,0.20551705,1.3328389,0.26390314,0.7805747,0.46190882,1.4687713,1.0690417,0.43200588,1.4479609,1.3670611,1.3164877,1.5757698,0.50784224,0.46598572,0.51027286,1.073229,0.25941086,0.6192338,1.3162644,1.2782658,1.2311913,1.2049106,1.1738954,0.27068746,1.3316963,1.2226256
crib,0.88306844,1.444675,1.5828097,1.032352,0.7664954,1.4861524,1.3437812,1.4430387,0.78339267,0.42996275,1.0330045,0.31187737,1.3584051,0.3760656,0.7108929,1.0363567,0.39073646,0.70453966,1.0073053,1.4598294,1.3076138,0.53985,1.0007541,0.7386379,1.0259149,1.3445622,1.030015,1.2487605,1.2564615,0.9799485,0.3432142,1.3979833,1.5443857,0.47656155,1.0701032,0.734481,0.7811451,1.0384614,1.2416342,0.3242637,0.97873896,1.490979,0.0,1.4775202,1.0796386,0.94170177,0.50737154,0.81434023,0.604285,1.2586833,1.4388494,1.583966,0.7050247,1.4603744,0.9108341,1.4589177,0.68292254,1.591768,1.1797551,0.9999709,1.3694737,1.3130318,0.7516208,1.3900504,1.2794894,0.92658436,1.5238528,0.93423283,1.4535973,1.0580192,1.4325979,0.7903676,0.86450094,0.80060416,0.4971456,1.0027142,0.6239898,1.1288726,0.27715266,1.3617287,0.96844715,1.0420412,1.341253,0.9579726,0.81371033,0.81003964,0.84435236,1.5642912,1.3072977,1.382385,1.4214289,1.5580007,0.77290046,1.1936475,0.5939204,0.6349838,0.8149277,1.042022,1.5175333,1.4619445,1.2957904,1.222223,1.0668267,0.7060952,1.043489,1.0425165,1.2499304,1.1523027,1.5359213,0.57957596,1.2136137,0.5816223,0.9194733,1.1556149,0.83454937,1.0353824,0.7876095,1.0341349,0.6713375,0.91763705,0.7828505,1.0257841,0.48264086,0.90445566,0.7386806,1.5858049,0.8174323,1.5730907,1.1147218,1.4132545,0.74211895,0.8444913,1.4591348,0.37455595,0.7025059,0.82166016,0.40666085,1.4225782,1.5419924,1.4122792,0.9387433,1.3640366,1.2236024,0.6140913,0.7876191,0.8435488,0.8958109,0.54745054,1.5455039,0.6169399,0.76150596
cup,1.358583,0.73777074,0.41450036,0.89723146,1.5161467,0.4808494,0.5847946,0.7066398,0.6410085,1.3631053,1.1729748,1.6131308,0.48351467,1.3571593,1.4446664,1.2402661,1.6380012,1.2055744,0.87765706,0.09524691,0.18693578,1.0445474,1.235553,1.175677,0.36051953,0.6192588,0.4231894,0.55462486,1.0035859,1.2865379,1.138564,0.56399435,0.33536172,1.3307308,0.95872194,0.928184,1.248845,1.3075373,1.0138716,1.5231493,1.4175243,0.37919605,1.4775202,0.0,1.2893572,1.149252,1.2537277,0.9178822,1.4201697,0.5822149,0.8905618,0.415888,1.4256065,0.63539517,1.33566,0.81956744,1.2754471,0.36552882,0.64017403,1.1839132,0.695081,1.0246823,1.0752438,0.74824893,0.63433236,1.2912085,0.49925923,1.4000297,0.68302995,1.2966053,0.4644078,1.2039062,1.3713434,1.1625787,1.4978395,0.6483302,1.5897019,0.8677195,1.2253444,0.27383596,1.3079836,1.3811294,0.5041383,0.7608005,1.3836231,1.0983182,1.3094559,0.39282733,0.40820563,0.7992139,0.6959286,0.49349874,0.7347737,0.9384223,1.5348303,1.5337285,1.4038358,1.3607883,0.3656875,0.38416886,0.6653007,0.93396544,1.2477129,1.0788974,1.3723222,0.7246288,0.61163753,0.9938843,0.55987287,1.156848,0.35767156,1.0220033,1.4409907,0.9772323,1.3998628,0.82145166,1.309458,0.9544072,1.5196198,0.9952913,1.3237098,0.8405397,1.3182685,0.7588099,1.104903,0.32905817,1.303762,0.3904029,0.8034242,0.49181473,1.2767249,1.2781603,0.5576613,1.3503454,1.4408076,1.2610815,1.4847358,0.2723769,0.70137835,0.8285253,1.2475505,0.3916422,0.5472734,1.150396,1.2741601,1.0604919,0.97550404,1.1602365,0.3535292,1.339281,1.276988
dog,0.6062933,1.1657732,1.1811035,1.0325621,0.9919084,1.1351489,1.1205196,1.1327482,1.1912612,1.0700182,1.0272106,1.0062236,1.3058573,1.1330758,0.98103976,0.5281716,1.0156354,1.060437,0.85566837,1.242402,1.2354977,1.024622,0.64503455,1.062323,1.2931793,1.0220377,1.3025948,1.1192911,1.0578194,0.28130007,1.1961496,1.0877459,1.1522397,1.0122757,1.1116887,1.126858,1.0124552,0.29809368,0.94080025,1.0146896,0.410262,1.2596886,1.0796386,1.2893572,0.0,0.66277796,1.0411698,1.1193743,1.0093458,1.0771332,1.0435578,1.1933587,0.9077463,1.0236155,0.70213103,1.165471,1.0282145,1.1587499,1.022969,0.99214417,1.1468568,0.41854382,1.0392445,1.0749367,1.2107065,0.9470951,1.1924309,0.93248206,1.0570173,0.9844501,1.1616113,1.0605353,0.86010253,1.0448881,1.0240792,1.0717897,1.0553492,1.1790625,1.1154333,1.2145089,1.0810357,0.42636734,1.1449939,1.074052,0.98157793,1.1599693,0.64638925,1.1947472,1.2087069,1.1755525,1.0854434,1.1640707,1.1353488,0.77084243,1.0441496,1.0505235,0.47321326,0.36477327,1.208867,1.2382815,0.87070394,1.026048,0.960757,1.1358819,0.36783254,1.0459037,1.0989217,0.80115724,1.1791959,1.0802639,1.1829504,1.0892748,0.99015266,0.5270752,0.5871524,1.0512985,1.0068058,1.184705,1.0070896,1.0669057,1.0812576,1.1777977,1.0523939,1.2276194,1.1593469,1.2252582,0.97885567,1.1228535,1.2060256,1.2188284,1.1194762,0.9444091,1.1849973,1.0042833,0.9883353,1.0265837,0.98628247,1.1998582,1.1412207,1.1508832,1.058536,1.2219111,1.0993705,0.9916652,1.0348046,1.1203188,1.1365422,1.1542718,1.2328433,0.9978842,1.0472915
doll,0.7979626,1.1121451,1.0811996,0.8749833,1.0375625,0.97918415,0.9596207,1.0871836,0.9535705,1.1802359,1.2198392,1.0073712,1.2295321,1.0591414,0.81379616,0.8495336,1.0519689,0.9990484,0.7929051,1.1032822,1.1158766,0.83368415,0.83644,1.0166878,1.0921891,0.85500807,1.1574975,1.0266331,1.0486944,0.92687416,1.0010501,1.1322299,1.2298319,1.0247138,1.0840484,0.93984324,1.0143235,0.698554,0.96785414,1.0293741,0.7677868,1.254529,0.94170177,1.149252,0.66277796,0.0,1.0687882,1.0608897,0.89127064,0.976965,1.137871,1.1675167,1.0876766,1.2205513,0.956375,1.051807,1.134182,1.1601847,0.89455783,0.8925025,1.1266123,0.68130577,0.912415,1.1357663,0.884929,1.1273654,1.0967716,0.9904112,1.1200821,0.8726351,1.0175971,1.1305448,1.0841434,0.8753435,1.0329025,0.88654757,1.0493708,1.1479514,0.9083163,1.1416739,1.1817565,0.8059439,0.8982576,0.8581118,0.76021725,1.0587727,0.82038903,1.2430644,1.1088241,1.1434997,1.1397295,1.2014639,1.0308231,1.0560598,0.9450814,1.0708389,0.82588285,0.75631785,1.3027328,1.2631702,0.98618203,0.96178126,0.9702392,0.99622124,0.8133427,0.9562468,1.0356233,0.88395596,1.1411388,0.8202397,1.0816828,1.0699253,1.0911115,0.6862064,0.7207012,0.9365187,0.91289055,1.0022495,1.0350637,0.81017303,0.9169822,0.9161918,1.1220807,1.2926307,0.9476461,1.1642041,1.0291562,1.2462198,0.94322675,1.0721785,0.9522663,0.967758,1.1368321,0.7532032,1.0097339,0.88886505,0.961168,1.0765187,1.1097497,1.0490774,0.75602823,1.1443809,0.6880642,0.8015065,1.1328747,1.0392638,1.0619209,0.955179,1.1527544,1.1074394,1.1824714
door,1.0749731,1.2605958,1.3813995,1.0865898,0.8820773,1.3183104,1.2482059,1.3531247,1.0218353,0.5006306,1.0299374,0.6802204,1.1903104,0.68290997,0.96167964,1.0622332,0.7631983,0.9960025,1.1112382,1.2269381,1.211863,0.72110033,1.1201655,0.8025955,1.0618672,1.1889303,0.9234426,1.1479851,1.171013,0.9290174,0.54480916,1.2592895,1.2588787,0.13251567,0.9687818,0.79953855,0.9204868,1.1101882,1.1664832,0.6124636,1.0331595,1.296478,0.50737154,1.2537277,1.0411698,1.0687882,0.0,0.60974866,0.81517744,1.2725433,1.2135586,1.3393501,0.8695626,1.1855499,0.93585813,1.2341123,0.83413523,1.3490717,1.1651977,0.95535743,1.2025119,1.2145568,0.81477046,1.1834681,1.2405268,0.8998954,1.3731165,0.88436294,1.292722,0.9894418,1.2898606,0.97262806,0.8953342,1.0271124,0.6687308,1.0208783,0.84597844,0.92868066,0.6610138,1.0729301,0.93713117,0.9989462,1.284418,0.89850223,0.9122246,0.9745868,1.0172055,1.2957582,1.1934485,1.1816177,1.2028859,1.3667603,0.6834179,1.1291109,0.8972847,0.8167732,0.92307305,1.0568446,1.2583889,1.2375373,1.1877849,1.165164,1.045446,0.93515575,1.019607,1.0974691,1.1667192,1.1915346,1.3579075,0.8354894,1.0236012,0.27616477,0.99734193,1.0092295,0.8689606,1.1061081,0.94518507,1.0439197,0.83510435,1.0875592,0.8774919,0.9986883,0.41689408,0.7963494,1.0882225,1.3743391,0.92537785,1.2865009,1.1219957,1.2033827,0.84952873,0.8730769,1.2684042,0.6686535,0.8597025,1.0100536,0.7270359,1.3305495,1.2718251,1.2167354,1.0083748,1.1907896,1.2923476,0.8704921,0.8780479,0.93786526,1.0014734,0.56996316,1.2240484,0.4959041,0.9466316
drawer,1.1312076,0.87942517,0.97904354,1.0550287,1.1170375,0.9864013,0.96322376,1.0291657,0.771165,0.85752976,1.1360434,1.0481011,0.87271637,0.83103067,1.225881,1.0883106,1.0766084,1.1167074,0.7803202,0.9749174,0.8467283,0.55579567,1.0867238,1.0011611,0.82480145,1.002849,0.71304613,0.96005195,0.9094137,1.1389834,0.69316554,0.9003143,0.95346713,0.781682,0.92083055,0.694062,1.0504596,1.1641062,1.0797977,0.95198876,1.1332173,0.9306489,0.81434023,0.9178822,1.1193743,1.0608897,0.60974866,0.0,1.1694517,1.0511991,0.9121144,1.0293945,1.1292242,0.98057216,1.1912562,0.9001247,1.12627,0.9918024,1.0431013,1.0271177,0.9035205,1.0240929,1.0528843,1.0128788,1.0341673,1.04073,0.96063185,1.1562783,0.95258063,1.0237604,1.0196643,1.1804589,1.1965234,1.0749679,1.0542096,0.9564774,1.1189479,0.724635,0.7969631,0.80018914,1.1200233,1.1118033,1.0642552,0.89718074,1.1249342,1.1813289,1.1006031,1.0321852,0.9161338,0.82913876,1.0497824,1.0358019,0.5438611,1.1183481,1.1825445,1.0995524,1.0201174,1.1377058,0.9421946,0.89705855,1.0548097,0.98450464,1.1243201,0.8878973,1.1163926,0.9979349,0.95187855,1.0075134,1.0033128,0.7809481,0.6837392,0.5995235,1.1710331,1.0532614,1.140394,1.0149364,1.1094947,0.95430535,1.184723,0.98867506,0.9637978,0.9190888,0.8310986,0.7092852,1.0326854,0.9940025,1.1767771,0.8942642,0.97018784,0.8604886,1.1100025,0.9819826,1.0688763,0.9709199,1.1365085,1.2315983,1.0192839,0.8658984,0.98732144,1.0574008,1.0693792,0.9383967,0.9305814,0.73321676,1.1315992,1.0485405,1.1099589,0.8139732,0.84393096,0.9804539,1.1282388
dress,0.9511304,1.1354799,1.4215621,1.0556844,0.588583,1.3230194,1.2758727,1.4091747,1.0252398,0.7590028,0.9566744,0.519223,1.2685398,0.7323039,0.42251992,0.9447674,0.4582808,0.876805,1.2174228,1.3751117,1.3685071,1.0101508,1.0340221,0.81385386,1.1773866,1.1438247,1.1422759,1.1739097,1.2023944,0.98684245,0.8040467,1.3889287,1.3845556,0.7364848,1.0544919,1.044532,0.868741,1.0159193,1.1582494,0.6589224,0.97097206,1.4446867,0.604285,1.4201697,1.0093458,0.89127064,0.81517744,1.1694517,0.0,1.1886929,1.2790059,1.4046179,0.71212184,1.3180268,0.83454573,1.2128316,0.9368531,1.4438778,1.1888465,0.8150277,1.4076618,1.233775,0.91265965,1.2519499,1.1073338,0.9234255,1.4130075,0.7805675,1.2832832,0.9047303,1.2625499,0.89897794,0.6640209,0.9101291,0.54559636,1.046515,0.5223985,1.2201785,0.87304366,1.3635201,0.7460185,0.9771217,1.2652252,1.0644766,0.67087305,0.8938948,0.9363279,1.3827226,1.2188956,1.0979224,1.2663872,1.3984287,1.0562873,1.1261922,0.18001431,0.5186952,0.95178574,0.99760747,1.4273322,1.4089894,1.2061088,1.234713,0.81760514,0.8446142,1.017807,1.1504416,1.2860174,1.0301412,1.278899,0.7895711,1.330699,0.9040728,0.7671582,1.1424524,0.8839472,1.1046954,0.54148304,1.1156526,0.44112468,0.95417464,0.5316142,1.18044,0.85426134,1.1857159,0.9586989,1.3809578,0.80785096,1.4604995,0.9007238,1.4466295,0.8604648,0.9174557,1.2165289,0.7131717,0.5463124,0.7939998,0.7300459,1.4012442,1.2457675,1.2507244,1.0003599,1.2290934,1.3234377,1.0370914,0.78485066,0.9653934,0.9699242,0.84746677,1.349477,0.7600854,0.6655001
duck,0.9645215,0.9422725,0.8141164,0.9337288,1.3499434,0.80600905,0.89094347,0.926149,0.7184022,1.2694592,1.0033882,1.3390663,0.6853571,1.1403654,1.2467722,1.0203094,1.3208368,1.1026566,0.90001726,0.61077857,0.61389136,1.0858425,1.1204785,1.0296701,0.5860746,0.60403705,0.75980467,0.62589574,1.2232256,1.151461,0.9832554,0.79806954,0.8309667,1.2913117,1.1473821,1.0390946,1.0633589,1.1432037,1.0352037,1.3451277,1.2251348,0.8340652,1.2586833,0.5822149,1.0771332,0.976965,1.2725433,1.0511991,1.1886929,0.0,1.0183008,0.91532636,1.1577001,0.99445903,1.2336868,1.0012925,1.0661606,0.686036,0.59505177,1.2108727,0.8913909,0.94951975,1.1949064,0.98176736,0.6423024,1.1331056,0.9913766,1.3471441,0.9123692,1.243855,0.6699407,1.0756173,1.227227,0.82568264,1.2799256,0.8584754,1.3503073,0.86530435,1.0263708,0.63428634,1.292941,1.2550427,0.70185256,1.0052994,1.1895201,0.96087253,1.1824956,0.9301807,0.6910892,0.9066605,1.0772766,0.94846284,0.73187333,0.6731771,1.247571,1.3180723,1.282376,1.1882248,0.79009193,0.82448983,0.48365927,1.0768371,1.0484996,0.94733727,1.2075719,0.5739269,0.8846072,0.9604406,0.8861753,1.0557023,0.6027373,1.1180884,1.0431974,0.79974335,1.2712959,0.76344216,1.081355,0.96596766,1.3351295,0.7911137,1.0999795,0.67274475,1.2424003,1.0002006,0.88888943,0.6634788,1.1098098,0.788962,1.0209184,0.7309149,1.1536733,1.1694839,0.86559653,1.0780331,1.2977269,1.0706422,1.3456595,0.68806165,1.0036783,1.1705295,1.2839715,0.72652555,0.83012307,1.1319014,1.0255592,1.003666,0.88209444,1.0993338,0.71423787,1.2647672,1.0315439
ear,1.1787088,0.5273285,0.7191278,1.0157213,1.0634494,0.85807484,0.8074897,0.6486467,1.1008257,1.4021169,0.94055295,1.3631971,0.74513173,1.3514515,1.1736541,0.960334,1.2851436,1.2976608,0.99962753,0.90141416,1.0218189,1.2811677,0.9277886,1.2774353,1.135273,0.9227452,0.94412136,1.0165471,0.5760604,1.1192082,1.2650276,0.7523186,0.73452604,1.2847768,0.66958886,1.24262,1.1495442,1.0542806,0.77922004,1.3107469,0.9764709,0.67422396,1.4388494,0.8905618,1.0435578,1.137871,1.2135586,0.9121144,1.2790059,1.0183008,0.0,0.6217257,1.176437,0.6374579,1.0814471,0.38316524,1.2767051,0.6053546,1.0755368,0.83941853,0.6535152,0.7940303,1.2527072,0.6310482,0.77904564,1.1092259,0.551012,0.9123788,0.6643641,0.7922513,0.74322414,1.309809,1.0282233,1.3215575,1.2094985,1.1454707,1.1936858,0.89431113,1.2771108,0.822478,0.88850635,0.926512,0.88469934,1.1439114,0.97008735,1.3493283,1.0359992,0.605384,0.7411189,0.53185445,0.5817139,0.62961227,1.0696718,0.969939,1.2417758,1.1615257,1.1367798,1.042214,0.7239349,0.7547115,0.9286709,0.74818695,0.8336252,1.0658774,0.9596685,1.137222,0.91627395,0.8514122,0.5665716,1.2141571,0.9994478,1.1433916,1.0710521,0.9798466,1.1059059,1.1532269,1.0873754,1.1153246,1.1890373,1.1449966,1.0201284,1.2021351,1.2606308,1.1330836,1.269768,0.613152,1.2070999,0.59775686,0.8050908,0.75116646,1.3439174,1.0970119,0.71123815,1.3300248,1.1796207,1.2063361,1.3612516,0.90280294,0.36512673,0.49298126,0.97913903,0.7002697,1.0098902,1.2372073,1.242278,1.1938334,1.2802143,1.2762258,0.607903,1.1933256,1.2070167
egg,1.3478922,0.51448905,0.19598913,0.95647216,1.3378631,0.28851032,0.40436822,0.52458435,0.95055616,1.465584,1.0987622,1.4860101,0.65409136,1.4495082,1.3104364,1.1410424,1.4750755,1.2903075,0.9601496,0.46776056,0.56005985,1.2822702,1.0488446,1.2542886,0.8833068,0.7506972,0.78934985,0.7956735,0.72989005,1.1965446,1.3746628,0.45208514,0.27412498,1.3798726,0.8809404,1.2198023,1.269154,1.1656388,0.7929864,1.4388585,1.2135795,0.44347245,1.583966,0.415888,1.1933587,1.1675167,1.3393501,1.0293945,1.4046179,0.91532636,0.6217257,0.0,1.3728426,0.47296453,1.1647965,0.6191744,1.3273653,0.4218446,0.89653087,1.0859193,0.63954514,0.90228224,1.2537689,0.63449526,0.76524967,1.164319,0.3044482,1.1528194,0.5419769,1.1395841,0.546593,1.2918102,1.2491816,1.2931757,1.3829522,1.0105475,1.400578,1.0066261,1.3579279,0.5363984,1.0768874,1.1837988,0.5250519,0.95445305,1.2772906,1.2937888,1.1574091,0.25283527,0.5162139,0.6838667,0.5354061,0.1696409,1.1136329,1.0097986,1.4300704,1.360786,1.269457,1.1891327,0.45481175,0.50492275,0.8534198,0.89182293,1.0516554,1.043785,1.1971722,1.0765146,0.55141246,0.9405121,0.33385646,1.343035,0.748057,1.2389605,1.3191977,1.0160004,1.2226144,1.0163871,1.3232481,1.1326505,1.365407,1.2401786,1.2552526,1.1659156,1.306318,1.0435039,1.2936478,0.4211247,1.269731,0.27798402,0.79319876,0.6246095,1.3650541,1.2289459,0.4837792,1.4672773,1.3323663,1.2058392,1.441561,0.42778444,0.463441,0.6023054,1.176581,0.49240553,0.63897884,1.2394927,1.3357834,1.1608939,1.1290985,1.3523618,0.45463812,1.3263377,1.2744153
elephant,0.93525916,1.2799499,1.3740904,1.0921926,0.79480135,1.355159,1.3297167,1.2961463,1.1413263,0.7409569,0.64301056,0.4994222,1.1952394,0.80098414,0.68086135,0.84196645,0.45519316,0.8785473,1.2354637,1.4215457,1.3755585,1.1525832,0.9640666,0.93793094,1.3390331,1.26024,1.300945,1.2908602,1.1401513,0.79732287,0.97229767,1.2278466,1.3379045,0.8128728,0.96736413,1.085386,0.72108376,0.91334695,1.1888695,0.56134194,0.8727382,1.3472902,0.7050247,1.4256065,0.9077463,1.0876766,0.8695626,1.1292242,0.71212184,1.1577001,1.176437,1.3728426,0.0,1.1819541,0.9816149,1.1993608,0.7062675,1.4443431,1.2711571,0.90027684,1.2591581,1.1761014,0.9401926,1.1808738,1.2188181,0.4718448,1.367291,0.87464,1.2797375,0.97524405,1.2909681,0.8713311,0.68008655,0.9571817,0.60590494,1.1950836,0.55931807,1.2251676,0.97581434,1.4107215,0.7839082,0.9105087,1.3107895,1.2076838,0.8394991,0.91480726,0.81817836,1.3263577,1.2934008,1.1523738,1.1949977,1.3303192,1.1058161,0.86914593,0.5652296,0.62690544,0.87675196,0.9209584,1.3395021,1.3605034,1.0713414,1.1377294,0.9593426,0.87717557,0.92780113,1.1449959,1.2686408,1.0175877,1.3307915,0.91308004,1.3334495,1.0019896,0.59527326,1.0588989,0.951555,1.0258645,0.8316281,1.0661546,0.6739096,0.96002054,0.8726492,1.1617396,0.79456604,1.0342242,0.9785959,1.330561,0.7055997,1.3538462,1.1057937,1.3543024,0.9093083,0.76922095,1.1800593,0.9298131,0.7022296,0.90382195,0.69087565,1.3379297,1.272636,1.2467977,1.037056,1.288612,1.3394954,1.04158,0.82551104,1.0593258,1.0440211,0.97812355,1.3088957,0.816974,0.51137584
eye,1.2286835,0.6418823,0.5613312,1.1983254,1.2743882,0.73905164,0.8612078,0.716586,1.0838493,1.3602759,0.910665,1.3295863,0.58609205,1.345489,1.2919738,1.0495492,1.3331454,1.3071629,1.0956521,0.608719,0.860446,1.3202485,1.2029902,1.1756978,1.0980595,0.8611251,0.85983026,0.8021075,0.85280645,0.93915254,1.3088242,0.69672203,0.3663072,1.2054906,0.816363,1.2213576,1.2184699,1.1383973,0.98600507,1.306025,1.1771008,0.4814672,1.4603744,0.63539517,1.0236155,1.2205513,1.1855499,0.98057216,1.3180268,0.99445903,0.6374579,0.47296453,1.1819541,0.0,0.98266524,0.60016155,1.1484562,0.6156368,1.0167143,1.0435749,0.80286044,0.91382384,1.3436391,0.3332839,0.915304,1.0535523,0.53428394,0.9097365,0.6472648,1.1025007,0.5731714,1.1885461,1.0139669,1.2434111,1.2292621,1.2079716,1.2512618,0.9511142,1.3156087,0.65199685,0.97042686,1.0698833,0.97189337,1.1617466,1.3094014,1.1744071,1.210143,0.29791903,0.74454546,0.6421756,0.27869236,0.43159902,1.1202931,0.9197509,1.3455714,1.243205,1.2013606,1.1176175,0.42614472,0.49948096,0.7656002,0.998094,1.080441,1.1469723,1.1045929,1.0886889,0.94322884,0.92113006,0.63567805,1.2833637,0.77667046,1.1794013,1.1646445,1.0070707,1.2271861,1.1374145,1.1964873,1.0479039,1.2456255,1.2567683,1.1690247,1.2568965,1.2537787,0.98864704,1.3747473,0.4133712,1.1314648,0.3641727,0.9586664,0.86704016,1.3427424,1.1588895,0.5711472,1.3555379,1.195775,1.2251384,1.4022536,0.73131967,0.43189514,0.5990305,1.2673354,0.646083,0.9484164,1.3423934,1.2193744,1.1964167,1.1836953,1.2217637,0.36002105,1.164814,1.1564443
face,0.9185313,1.1524193,1.2093275,1.0331382,0.7321887,1.1915588,1.193159,1.2060448,1.3472073,0.8495647,0.9890478,0.70126307,1.3141277,0.97583646,0.7906096,0.914187,0.78346735,0.9216024,1.1244711,1.3084086,1.3124491,1.0428811,0.9713884,1.012849,1.2970434,1.2262781,1.3785895,1.2172029,1.1499816,0.54228747,1.113437,1.2589343,1.1797454,0.868135,1.1785748,1.0133638,0.98065996,0.8775344,1.0966425,0.74841994,0.8696667,1.3267689,0.9108341,1.33566,0.70213103,0.956375,0.93585813,1.1912562,0.83454573,1.2336868,1.0814471,1.1647965,0.9816149,0.98266524,0.0,1.1075224,0.85661453,1.3282732,1.1505759,1.0349203,1.2267649,1.0447917,0.86074233,0.79302394,1.3275653,0.9520134,1.2571813,0.45297563,1.1160698,0.8117604,1.1173718,0.7926951,0.75661486,1.015661,0.7468359,1.0560665,0.7022626,1.2341557,1.1045945,1.3271248,0.80046105,0.87696093,1.2385626,1.123853,0.9734607,0.907376,0.9145674,1.1341226,1.390975,1.1406628,0.92220163,1.1278018,1.2609046,1.0077816,0.7798889,0.6959777,0.7578999,0.87485695,1.2686977,1.2805014,1.1107402,1.0738311,0.8214897,1.1563859,0.8241321,1.150924,1.1644396,0.99268454,1.1414217,1.0308975,1.2958277,1.0251447,0.87838286,0.9184865,0.758873,1.1549728,0.88572615,1.1085213,0.58584774,1.1050843,0.95780873,1.230846,0.8959212,1.0942756,1.1386775,1.263166,0.8463224,1.2010386,1.2925599,1.3528897,0.8394189,1.016568,1.1515157,0.83968765,0.6527113,0.84686816,0.76323223,1.3227576,1.0434446,1.0142435,0.9841729,1.3741772,1.2790763,1.0138407,0.86990744,1.0104089,0.9661132,0.992904,1.2957567,0.7992493,1.0095792
