,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
belt,1.3202616,0.73961747,1.0711646,1.2603517,0.6936362,0.62224233,0.97524,0.90744483,1.1914057,1.2627008,0.0,1.2128719,1.1822197,1.0504345,1.1796575,0.72810197,1.1212394,0.6313554,0.9352535,1.1638751,0.93606293,0.96750164,0.9339458,0.8616063,0.9227973,0.90389955,0.67750984,1.137149,0.67220205,1.155881,1.0391545,1.2332922,1.008415,1.2486032,1.1218112,0.49184906,1.2984835,0.7447636,1.1149758,1.0654991,1.2315947,1.0829027,0.9335966,0.9101278,0.7950041,1.0971272,1.3194675,1.0610155,1.0748616,0.5980469,0.748021,0.98382956,0.79909736,1.0107781,1.0239143,0.7225709,1.1276066,0.7760644,1.287827,1.251706,0.7457931,1.0817745,1.1085058,1.1438615,1.030104,1.1862518,0.7794266,0.8824463,0.8434039,1.0553267,1.2215927,0.84199613,1.1145563,0.9426954,0.7678342,0.8031622,0.64558476,1.17134,0.8219903,1.0758764,1.1342005,1.1651255,1.1309081,1.2289169,0.6119798,0.61140335,0.8178936,1.056006,1.1547215,0.7758138,1.0221909,0.9094091,1.0273095,1.0636098,1.0581939,0.8551602,1.0445437,1.0800976,1.2695285,1.1566628,1.120882,0.97809494,0.95879775,1.019274,1.0595342,0.98357147,0.65892017,0.8891524,0.69769436,1.0692791,1.1137025,0.6970811,1.0161871,0.89579034,1.170912,1.1339432,1.2672467,0.96806496,0.99046576,1.2040622,1.2220169,0.93757576,0.99968404,1.1908314,1.1137958,0.94858146,0.65246516,1.0185126
bench,0.5674483,1.3466486,1.2757448,0.68004817,1.5039937,1.4887934,1.0792735,0.81621015,0.23489541,0.15727073,1.2128719,0.0,0.58747137,1.1925697,0.3410747,1.2347174,0.738673,1.4895144,1.2225071,0.62862426,1.1112324,1.0611461,1.031832,1.4212925,0.9837921,1.1829515,0.9015683,0.4874527,1.5117943,0.5701461,0.7235457,0.7518914,1.0312678,0.28763473,1.0232928,1.5329347,0.28293252,1.4252927,0.9889547,1.1998335,1.0802271,0.66876096,0.52006996,1.375211,0.76850414,1.1358331,0.8103957,1.3063046,0.8613243,1.5184094,1.4752057,1.1836609,1.0848095,1.3591764,0.67434216,1.601286,1.0141253,1.4226842,0.89613414,0.9277554,1.5096902,1.2316352,0.61657315,0.6172628,1.0803139,0.44793284,1.1778157,1.0681947,1.3936638,0.84323305,0.87769234,1.3745635,1.110385,1.3685707,1.4699204,1.1658659,1.5356829,1.2173102,1.4782913,0.6690798,1.1536561,0.49396318,0.5864138,0.5146115,1.3674176,1.3327034,1.3420705,0.97413355,1.060428,1.1731611,1.1460505,1.1160477,1.3226093,1.4207026,0.7921669,1.2495968,0.60469204,1.2822702,0.78958523,0.7463342,0.6664088,1.231736,0.77497494,1.1953166,0.7634592,0.6200533,1.5680941,0.72433746,1.1377177,0.9418136,0.99090624,1.5131878,0.98827654,1.1755079,0.59351,0.7473103,0.24696124,1.2697911,1.4252638,1.05207,0.67424923,1.0117961,1.2591399,0.64565444,0.9839082,0.99016213,1.5148052,0.75148284
bib,0.516273,1.1907182,1.0929298,0.5650754,1.3873639,1.4266179,0.8106941,1.1490321,0.52980244,0.5523679,1.1822197,0.58747137,0.0,1.2831953,0.34091657,1.194664,0.7294653,1.4505442,1.306041,0.89118004,1.1022213,1.3295059,1.127567,1.3613031,1.2739984,1.2804615,0.96728194,0.99001366,1.4913373,1.0073701,1.0014662,0.789776,0.9766073,0.7794702,0.9416549,1.5005699,0.78279847,1.4293625,0.92671716,1.1642909,0.941128,1.1024797,1.0603968,1.2157416,0.78902173,1.016721,0.7187087,1.1096152,0.83281255,1.4430909,1.4170905,0.9597556,1.2032622,1.1582949,0.6238271,1.4523127,0.7318038,0.9560866,0.7967623,0.70935297,1.3328298,1.2280719,0.8743098,0.5961534,1.0390967,0.42236006,1.2811105,1.3965098,1.4808781,0.61524725,0.54128927,1.2797494,0.9486859,1.308876,1.3597865,1.0667758,1.3810531,1.0494866,1.3777316,1.075912,1.1109469,0.34435093,0.5760197,0.5459776,1.4270527,1.4761863,1.333142,1.0016651,1.09418,1.2890804,1.2371861,1.035407,1.2992907,1.2408925,0.6061873,1.3760958,1.0408466,1.2388021,0.4448043,0.74543613,0.56159425,1.1101323,0.7481768,1.1163572,1.002525,0.76595616,1.4967713,0.87352836,1.1590545,0.7828958,1.1167276,1.4987068,0.98507303,1.089559,0.5539479,0.8341575,0.5402885,1.2598547,1.258697,0.9212916,0.55059785,0.91398644,1.056267,0.5245899,1.030602,1.2915583,1.4027394,0.96664315
bird,1.0081856,1.0338728,0.96254283,1.1998135,0.9840883,0.9287189,0.9984965,0.92153287,1.2056899,1.203809,1.0504345,1.1925697,1.2831953,0.0,1.2507973,0.8315862,1.047597,0.9107107,1.0362152,1.0533302,0.8403411,0.8202177,1.0459381,0.77251565,1.0009627,0.88866997,1.0949908,0.95802283,0.93858755,0.91316146,1.0119276,1.0903575,1.1003375,1.1379862,1.0270417,0.93505776,1.0635483,1.0315797,1.0851089,0.56390727,0.81315935,0.8668387,1.0221858,0.99619794,1.1270162,1.069331,1.2200258,1.1469368,1.0649253,0.81054676,0.8457453,1.0955727,0.9522152,0.61046076,1.2755599,0.89584917,0.9579939,1.0671878,1.1192361,1.1878338,0.9178738,0.5596432,1.019751,1.1255145,1.1199386,1.1599317,0.94533145,0.8647691,0.9097068,1.1934723,1.0360069,0.855936,1.2029887,0.71977055,1.0375552,0.9587303,0.98649466,1.0699271,0.91462064,0.98379505,0.85024726,1.2012477,1.040996,1.1525085,1.0007651,0.9718212,0.56550217,0.98229975,0.6904888,1.008858,0.91534513,1.1076441,0.5643169,0.9176696,0.9367062,0.8259815,1.0075265,0.7175021,1.0975109,1.0627929,1.1647757,0.92216855,1.0436027,1.0602703,1.0354489,1.1155667,0.89026886,1.1094608,1.094859,0.950008,0.8564048,0.9093846,0.98208225,0.83424616,1.1169869,1.1398377,1.1476806,1.0816745,1.0947895,1.0784495,1.1780356,0.93727094,0.8758183,1.2311337,0.9073039,0.82473445,1.0237714,1.0496461
blanket,0.46903455,1.122799,1.240624,0.5259401,1.4657578,1.5178556,1.0237659,1.1420248,0.39762545,0.21465772,1.1796575,0.3410747,0.34091657,1.2507973,0.0,1.3117678,0.8329864,1.504635,1.3985476,0.9238927,1.0429794,1.2420363,1.2362877,1.4431655,1.1883118,1.3202384,0.7090849,0.7466895,1.5487854,0.74433094,0.9008247,0.788241,1.0861114,0.41488326,0.88585544,1.5731894,0.62366164,1.5464025,1.0012337,1.1369076,1.0420853,0.868023,0.9113724,1.3481517,0.5965239,1.0821621,0.75255084,1.2081685,0.8812196,1.450118,1.4720573,1.0454054,1.1296691,1.274987,0.6993969,1.5579512,0.7676288,1.3013046,0.8232842,0.83249414,1.4368746,1.1940666,0.8291427,0.4460081,1.1569226,0.20224136,1.2923431,1.3001348,1.4780283,0.7645174,0.6685319,1.3206153,1.0423748,1.3273889,1.391408,1.013634,1.4397293,1.1450504,1.4383467,0.97139364,1.1470813,0.24385726,0.4041965,0.55868757,1.4126649,1.4450209,1.349098,0.9938909,0.9877359,1.0180662,1.2173489,1.2002909,1.2920752,1.3689306,0.7185024,1.3756577,0.8254039,1.2744443,0.63843477,0.84478766,0.48361808,1.1784507,0.62089366,1.128507,0.9644866,0.69918364,1.5537537,0.6327793,1.1757923,0.7965931,1.0081813,1.5157409,1.0467333,1.1241885,0.46932185,0.85336673,0.45869267,1.4035976,1.3069296,0.94331324,0.6555134,0.824608,1.3111329,0.74333227,1.0739052,1.1792895,1.4657121,0.7800212
boat,1.2088732,1.0140903,1.0208042,1.3029915,0.77559865,0.6809006,1.0023769,0.7329341,1.1606704,1.2506232,0.72810197,1.2347174,1.194664,0.8315862,1.3117678,0.0,0.9025378,0.59751123,0.80711496,0.979004,1.0075378,0.9090029,0.72385865,0.7650771,0.9236676,0.56824964,1.1224662,1.0502298,0.73246884,1.1376776,1.2281804,1.0937574,1.1030988,1.2195872,1.2280289,0.6615672,1.1509893,0.8054151,1.0073841,0.96483517,1.0898496,1.0806851,0.9806889,0.9192841,1.177928,1.2239194,1.2043395,1.1689351,0.95255035,0.6751366,0.6181167,1.120472,1.0527762,0.8672039,1.0354143,0.8351691,1.1972535,0.8052491,1.2094874,1.2349684,0.8126653,0.94143486,1.0327177,1.3184681,0.9327872,1.322433,0.74800223,0.7430891,0.7794302,1.0691869,1.2275444,0.49704057,1.1296678,0.90470636,0.92465293,0.8614571,0.90274215,1.2339585,0.8753785,0.93987226,0.95390606,1.3043513,1.3168409,1.0933487,0.76030827,0.76407933,0.7916415,1.0049986,1.0951655,0.8186593,0.8287337,0.86179763,0.9248877,0.9724418,1.0259827,0.6564392,1.0526547,0.97710824,1.1641756,1.0329543,1.3389077,0.9973074,1.2691991,1.1483976,0.96196234,1.0983425,0.7931251,1.1547364,0.89591897,1.2066058,1.0518835,0.76588535,0.9489587,0.95335984,1.2918541,0.929486,1.1690707,1.0124372,1.1462264,1.1795889,1.1415972,0.90136915,0.7686868,1.043134,0.91427785,0.8446715,0.8354713,1.0338118
book,0.6866759,1.3040011,1.005478,1.0078102,1.1719602,1.182714,1.0727172,0.8400152,0.7918279,0.74950063,1.1212394,0.738673,0.7294653,1.047597,0.8329864,0.9025378,0.0,1.1462284,1.1500185,0.5418437,1.1411064,1.1331148,1.0276461,1.0844934,1.1095554,0.8736104,1.1349449,0.9728382,1.1894702,1.0051031,1.0622616,0.8457098,0.9095158,0.9083065,1.211184,1.2284422,0.733451,1.2361343,0.8885567,1.1168112,0.7171932,0.99745053,0.7780061,1.1407204,1.0669967,1.1381147,0.93515486,1.2852652,0.5427311,1.1846992,1.0772583,1.066526,1.2095563,0.92223597,0.8511374,1.2900083,1.1624109,0.9223054,0.9927471,0.9813599,1.2723053,0.9033743,0.80614984,1.0581858,0.8913715,0.9616832,0.98763674,1.0996977,1.1781583,0.8728634,0.88873184,1.0429709,1.0688734,1.0928115,1.338465,1.1658934,1.3689741,1.177571,1.1523483,0.8621121,0.67760736,0.864117,1.0702163,0.14322245,1.2177342,1.1917567,1.2516321,1.0054234,1.1356674,1.2858729,0.99605584,0.87216556,1.0944891,1.3182014,0.902877,1.133592,0.99992144,1.0304404,0.9214724,0.73140967,1.05271,1.023004,1.2249658,1.2094212,0.9360164,0.7971263,1.3490382,1.0589086,1.1739706,1.0684412,1.0724158,1.2076297,1.0529592,1.1790808,0.97868013,0.8323952,0.49024737,1.1328374,1.3931239,1.027596,0.8410447,1.0176736,0.77810687,0.6184746,0.72582334,1.1249483,1.2960765,0.93610376
bottle,1.4799526,0.7925329,0.98437285,1.4425457,0.25922102,0.29922462,1.0587457,0.8249272,1.4557049,1.4706827,0.6313554,1.4895144,1.4505442,0.9107107,1.504635,0.59751123,1.1462284,0.0,0.6708283,1.139563,1.1175053,0.88166785,0.71042717,0.7146067,0.7497064,0.6733583,1.0748203,1.1652253,0.3348726,1.1409473,1.1762291,1.2594094,1.0302937,1.352328,1.16263,0.24158657,1.3561718,0.3709777,1.1156678,0.8808821,1.1912434,1.0932667,1.1518931,0.77783155,1.1650355,1.135435,1.2579544,0.97699094,1.1541969,0.576903,0.20909286,1.0559356,0.70086884,1.0135367,1.2585819,0.44809878,1.3800197,0.6525264,1.2325358,1.3840402,0.39608753,1.0459231,1.2362366,1.3679265,0.9555245,1.5127015,0.77056265,0.7111762,0.4843588,1.2088021,1.458955,0.552239,1.1597174,0.91455996,0.33823657,0.77645606,0.5687279,1.1295947,0.6776967,1.1055803,0.9991448,1.4601066,1.420124,1.3696523,0.40090638,0.41893977,0.67022365,1.1441255,1.1842071,0.70259076,0.82240975,0.8971792,0.8326936,0.7748691,1.170079,0.6508541,1.0863827,1.0191296,1.3349152,1.2528731,1.3635066,1.0089233,1.2544835,1.0633199,1.207041,1.2291324,0.3596558,1.1380552,0.90680283,1.2754953,1.0482888,0.56276274,0.9265486,1.0330622,1.3707367,1.1153872,1.448557,0.8199008,0.80895567,1.1339979,1.3727994,0.9025874,0.7462361,1.3004832,1.0579801,0.7325656,0.32949537,1.105928
bowl,1.3393459,0.94774044,0.92282325,1.3577976,0.685346,0.67194307,0.9933015,0.81910706,0.93820655,1.3497121,0.9352535,1.2225071,1.306041,1.0362152,1.3985476,0.80711496,1.1500185,0.6708283,0.0,0.8760718,1.0840297,1.0003049,0.16919589,0.90332,0.67838377,0.8448188,1.2337768,1.0670079,0.6062198,1.2297568,0.717893,1.2565295,0.8345906,1.24862,1.213773,0.74656296,1.2367095,0.15959501,0.6757156,1.0261627,1.0953166,1.185776,1.0208769,0.7245128,1.2574844,1.0897888,1.2464815,1.0523944,1.1109862,0.8397533,0.78511924,1.1074429,0.9312182,0.9782126,1.0487014,0.8415928,1.1439737,0.82259965,1.2847761,1.2046068,0.857188,1.0273442,1.1351882,1.3792168,0.62998474,1.3932796,0.9172334,0.87833846,0.7951079,1.1497432,1.1876165,0.8424126,1.0759511,0.93937355,0.7895029,0.8682784,0.90860164,1.1107779,0.77490836,1.0772187,0.9820937,1.359632,1.3851864,1.2598742,0.74455166,0.7685741,0.8689964,1.0559531,1.0048007,0.9099252,0.88978,0.3643602,1.0313796,0.77692527,1.2050362,0.5963044,1.1469002,1.0586083,1.3174443,1.0155549,1.4272122,0.950205,1.3395964,1.0559032,0.72302866,1.1979785,0.6559127,1.2721926,0.93588775,1.0988163,0.85847884,0.6710265,0.95166147,0.96385324,1.389452,1.0427648,1.196828,0.25385737,0.9740191,1.0934861,1.2345965,0.98127365,0.7174475,0.9267539,1.0176629,0.92961067,0.7662316,1.2190177
box,0.9872409,1.2255213,1.0865176,1.0887156,1.1795439,1.1448754,1.1734987,0.66686946,0.65906996,0.8291997,1.1638751,0.62862426,0.89118004,1.0533302,0.9238927,0.979004,0.5418437,1.139563,0.8760718,0.0,1.0364428,1.0042875,0.69788784,1.1542856,0.73223436,0.8321981,1.2145519,0.6725411,1.1454507,0.83234805,0.9067754,0.9766083,0.9044331,0.7625272,1.0884943,1.2603905,0.67901605,1.0017227,0.8509063,1.127435,0.92887473,0.7892849,0.4859318,1.1605983,1.1692302,1.1449095,1.0189611,1.2540824,0.7832249,1.279753,1.1358149,0.9853231,1.2215052,1.1329982,0.8693306,1.2864531,1.0710719,1.0391649,1.0609691,1.0606301,1.2327307,1.03038,0.8414187,1.1256074,0.71728504,1.0634085,0.98015606,0.89968956,1.083725,1.0344996,0.99053717,1.0522583,1.1433712,1.137789,1.2930167,0.9160763,1.3178755,1.1528071,1.1320422,0.62498164,0.87269235,1.0479647,1.0875125,0.5699346,1.220301,1.1935532,1.1036794,1.0731306,1.0139787,1.0707211,1.0375892,0.8941369,1.0988475,1.1825724,0.8169446,0.86605334,0.80252695,1.1071787,0.9937158,0.89145386,1.1393178,0.8929795,1.2023084,1.1402881,0.8104763,1.0406113,1.2120744,1.1349353,1.1845729,0.9334545,0.9285859,1.232629,1.0640998,1.0241879,1.0674136,0.8979445,0.6308436,0.9274953,1.2847291,1.1907544,1.0361209,0.8263724,0.8987372,0.8307352,0.8053375,0.8032155,1.2686293,0.9948916
bread,0.9806872,0.9739631,0.83180714,1.0390573,0.9697673,1.017252,0.75169224,1.0999223,1.1152973,1.1948439,0.93606293,1.1112324,1.1022213,0.8403411,1.0429794,1.0075378,1.1411064,1.1175053,1.0840297,1.0364428,0.0,0.9859084,1.0915033,1.0192516,1.0551589,1.068969,0.9466697,1.1508526,1.1216714,1.1247921,1.0306362,1.124027,0.87620986,1.1085144,0.85011387,0.9401094,1.1725508,1.0690491,1.0694145,0.96690285,0.9735406,1.0399493,1.0112711,0.7357254,1.0315907,0.9969915,1.1869338,0.9144884,1.0707039,0.7069118,1.1028011,1.0418218,0.9521289,0.85870576,1.0683396,0.97066313,0.82407045,0.8642372,1.1393957,0.99084574,1.0058832,0.7989459,1.1561787,1.1158869,1.053691,1.0939924,1.0048827,1.0755453,1.0892934,0.84321827,0.8362385,1.0686637,1.0265696,0.42731953,0.9834089,0.79544777,0.8687674,1.0105274,0.8214118,1.0425682,1.0389084,1.2023737,1.0505735,1.1237737,1.0475501,0.9399527,1.0031356,0.8590932,0.78234917,0.8868802,1.1731226,1.0154577,0.907072,0.8070073,1.0895365,1.0251136,1.1136451,0.8945597,1.1543442,1.1444376,1.1312457,1.0191139,0.9395151,0.7716025,1.0228177,1.1544068,0.953665,0.99860024,0.8000775,1.0667424,0.9668158,0.9912875,1.0235373,0.9256273,1.1522362,1.205306,1.2151587,1.0643865,0.8475238,0.9860507,1.0312752,0.8625451,1.0747504,1.1653181,1.0250269,1.1980314,1.0094508,1.1876352
broom,1.2824523,0.9438505,1.1466666,1.2818258,1.038557,0.90608126,1.1799346,0.714149,1.0587397,1.0968044,0.96750164,1.0611461,1.3295059,0.8202177,1.2420363,0.9090029,1.1331148,0.88166785,1.0003049,1.0042875,0.9859084,0.0,0.91113055,0.9574037,0.6255277,0.87948275,1.0018412,0.7360075,0.7504656,0.7857208,1.1288157,1.0470386,1.018874,1.039292,1.0927556,0.8481749,0.8630843,0.94638896,1.0596864,1.0410577,1.1648871,0.59315336,0.8516157,1.1649004,1.0792273,1.0738134,1.2773871,1.1257541,1.0756506,0.97233325,0.82447195,0.974363,0.93722725,1.1915252,1.1984106,0.95586485,1.1869243,1.0445944,1.2334297,1.2199033,1.1022217,1.0222728,0.79572725,1.2156463,0.8933274,1.238848,0.74052125,0.5205855,0.5158871,1.2349283,1.2427676,0.9389576,1.1179906,1.0062466,1.0823038,0.68211854,0.8955936,1.0650421,1.0195152,0.72791916,0.99708974,1.2411022,1.2162608,1.2202046,0.87099695,0.8250765,0.79216754,0.8403698,1.0248111,0.8311295,0.6843578,1.0578165,0.94094545,1.0757937,1.0749786,0.92205024,0.6855426,1.1138026,1.1533659,1.040583,1.2474972,0.96204394,1.2246615,1.0165484,0.8850644,1.1270427,1.0139439,0.97531307,1.0027473,1.0837765,0.8363019,0.75247115,0.9673947,0.813398,1.2776989,1.0237353,1.2059921,1.0263902,1.1076831,1.1710157,1.1287197,0.6777756,1.0798136,1.2145158,1.0439066,0.5661496,1.0385559,0.7441772
bucket,1.2809814,1.0179386,0.99358344,1.288629,0.8320327,0.69480014,1.0512903,0.70595205,0.6742356,1.2075953,0.9339458,1.031832,1.127567,1.0459381,1.2362877,0.72385865,1.0276461,0.71042717,0.16919589,0.69788784,1.0915033,0.91113055,0.0,1.0217532,0.43504268,0.7991367,1.2257231,0.8207232,0.7483586,1.0988837,0.755393,1.1823803,0.92743707,1.104605,1.1766593,0.88910025,1.1007849,0.308078,0.7604034,1.0834397,1.1501771,0.992778,0.901744,0.8886644,1.2356272,1.2666686,1.2730175,1.2231016,0.999161,0.9648223,0.84956014,1.1408676,1.019549,1.142401,0.95113117,1.0705293,1.1132039,0.8822146,1.326719,1.232878,1.0097976,1.0997074,1.002512,1.3435103,0.60993314,1.3054632,0.93243575,0.7979943,0.83293986,1.0355359,1.1057789,0.8593781,1.1842952,1.0686531,0.98658836,0.70170945,1.0631394,1.2772938,0.8780662,0.8966624,1.0153993,1.2917206,1.3190447,1.1131887,0.91727674,0.91663784,0.8242326,1.0633558,1.0450618,0.85152406,0.91143394,0.48353308,1.0945472,0.8494655,1.0515984,0.67419124,0.87122464,1.1715763,1.2348318,0.9671227,1.3803766,1.0097226,1.3062497,1.151613,0.61562735,1.096391,0.87987417,1.2116109,1.0043935,1.0468689,0.84508044,0.857918,0.91191226,0.90493953,1.3307161,0.9447033,1.0411537,0.48617744,1.1724515,1.2151732,1.1430728,0.7834748,0.75565207,0.8359569,1.02563,0.7343359,0.97086483,1.1094228
butterfly,1.2630012,0.8371589,0.92017317,1.2924601,0.7534373,0.71288896,1.006372,1.0376122,1.4194977,1.3933787,0.8616063,1.4212925,1.3613031,0.77251565,1.4431655,0.7650771,1.0844934,0.7146067,0.90332,1.1542856,1.0192516,0.9574037,1.0217532,0.0,1.0840037,0.7618202,1.1253718,1.2573705,0.62076366,1.2303307,1.230996,1.1786852,1.1487396,1.3534324,1.0447509,0.622441,1.2809149,0.82832235,1.0694424,0.8171454,0.9728049,1.219697,1.162193,0.84814703,1.126173,0.98199326,1.1806865,0.92358583,1.0117546,0.5448961,0.6222065,0.9981313,0.8716275,0.60027754,1.1971896,0.60974693,1.09298,0.8273946,1.1458266,1.1925691,0.7237321,0.6819279,1.259407,1.2565762,1.0935966,1.4047067,0.9041445,0.8716603,0.6820185,1.1480635,1.2304933,0.6463178,0.97432905,0.67952687,0.7668177,0.97048384,0.7033998,1.0082848,0.81494015,1.1208891,0.8067748,1.3657299,1.3453557,1.1855273,0.77182555,0.7642014,0.74951345,1.135935,1.0137687,0.96652204,0.72682065,1.0347317,0.6943525,0.7509005,1.1325243,0.7310052,1.240484,0.41202474,1.2407012,1.0973449,1.2132729,0.9178471,1.1625153,0.9941992,1.1669356,1.1768899,0.6322271,1.1367545,0.90384924,1.1061194,1.0264164,0.65025973,1.0323781,0.9796784,1.2278177,1.1590316,1.3992777,0.8845375,0.87058324,1.0261039,1.2727095,1.0864631,0.87848514,1.2705226,0.9183588,1.0110594,0.68411064,1.1032186
can,1.3618374,0.8933152,1.1958693,1.2046062,1.0229403,0.87202954,1.2925274,0.7243602,0.7797657,1.1020727,0.9227973,0.9837921,1.2739984,1.0009627,1.1883118,0.9236676,1.1095554,0.7497064,0.67838377,0.73223436,1.0551589,0.6255277,0.43504268,1.0840037,0.0,0.8827403,0.99723995,0.5873126,0.74901384,0.7627622,0.86357486,1.0576462,1.0940313,0.9239838,1.02168,0.91767275,0.96889794,0.6254732,0.9858303,1.0733517,1.238115,0.5348402,0.6644143,1.165729,1.0991725,1.1995617,1.236117,1.1764592,1.0839862,1.0640098,0.8383243,0.9717112,0.9106442,1.3597089,1.1554285,1.0569955,1.2004963,1.1474417,1.2469659,1.2520351,1.0443898,1.1099427,0.9410658,1.2234492,0.7508267,1.2489051,0.821911,0.5625117,0.6092005,1.2125521,1.243778,0.93617094,1.1681817,1.1537876,1.0405041,0.57390225,0.9236279,1.1430535,1.0214381,0.51574194,1.049151,1.2730108,1.1843827,1.1597854,0.88173693,0.8688262,0.7213319,1.1199162,1.0909002,0.6274364,0.9009848,0.91948223,1.0121095,0.99393684,1.0603087,0.83471036,0.33466244,1.215928,1.1913866,1.253396,1.2246394,0.9750016,1.1340501,1.0010778,0.6854895,1.1516771,0.9757356,0.9996258,1.0033256,1.022583,0.8607506,0.90946555,1.0174078,0.8527057,1.2323554,0.99855065,1.0555271,0.8787848,1.0812057,1.342376,1.2423369,0.6692058,1.1432337,1.1207144,1.1059144,0.38487935,1.0275725,0.86450636
car,1.2386967,1.0264221,1.0550724,1.363354,0.84923613,0.72295785,1.0577104,0.66978264,1.2214372,1.2162216,0.90389955,1.1829515,1.2804615,0.88866997,1.3202384,0.56824964,0.8736104,0.6733583,0.8448188,0.8321981,1.068969,0.87948275,0.7991367,0.7618202,0.8827403,0.0,1.2615821,0.8122761,0.77064776,1.0517466,1.2033516,1.1319101,1.1365806,1.1286805,1.1053894,0.73481923,1.1054946,0.83152544,1.1034614,0.8858899,0.8809238,1.0262924,0.9475038,0.9248339,1.2536577,1.1567813,1.2309687,1.1250482,0.57712305,0.70328623,0.6332761,1.067304,0.95041305,0.8374274,1.1443686,0.8011397,1.1712456,0.95318294,1.2378831,1.3010011,0.7968987,0.8704083,1.0898682,1.2791476,0.9889521,1.3848995,0.89587235,0.58745193,0.82180357,1.2466905,1.2988942,0.5700683,1.2230852,0.8965231,0.94414973,0.79620194,0.92549974,1.1450665,0.8543832,0.98896897,0.963536,1.3870598,1.3399509,1.0940009,0.7684616,0.7599503,0.90882987,1.0995399,0.9549429,0.7654054,0.7910161,0.9396375,0.83188367,0.8506193,1.0556636,0.40793204,1.0235729,0.8271491,1.2132027,1.1506729,1.3241359,0.9291866,1.1861972,1.1260751,1.0051041,1.095939,0.76327145,1.2009608,0.8740565,1.19431,1.0075562,0.80659854,1.0589023,0.8502558,1.2817132,1.048271,1.212744,0.94300157,1.1042894,1.20008,1.3134753,0.8627801,0.6907599,1.136898,0.3896283,0.7322578,0.8025776,1.0152924
cat,0.97688854,0.9010492,1.1793516,0.9333818,1.0937399,1.1357371,1.1428634,1.2121457,0.8980615,0.8288423,0.67750984,0.9015683,0.96728194,1.0949908,0.7090849,1.1224662,1.1349449,1.0748203,1.2337768,1.2145519,0.9466697,1.0018412,1.2257231,1.1253718,0.99723995,1.2615821,0.0,1.0571462,0.99974847,0.90687764,1.0406559,1.0219777,1.1428187,0.9105767,0.77687323,1.0218368,1.0349352,1.2181361,1.1285527,0.95790815,1.1950867,0.86827475,0.98367834,1.1781666,0.3586445,0.97266626,1.0131321,1.0549135,1.0490372,0.9715742,1.0491272,1.1016815,0.82825494,1.1021892,0.8824159,1.0123181,1.0922706,1.2789166,1.0063716,1.0395641,1.0440578,1.0316787,0.98458695,0.7289307,1.2251409,0.76040983,0.9181615,1.0875422,1.0070893,0.9646159,1.0616481,1.1076996,1.0001278,1.10429,0.9598146,1.0681486,0.9226929,0.9743614,1.1556857,0.9983016,1.1426251,0.77249753,0.79290557,0.99727434,0.9219489,0.9702757,1.0436304,1.1566478,1.2511613,0.8650514,1.1216578,1.1680892,1.033096,1.2176428,0.965124,1.2164811,0.8023043,1.106517,1.0794855,1.161523,0.72550416,1.1880218,0.7575014,0.7987832,1.1088787,0.88366425,1.084674,0.4143207,0.93426275,1.107308,1.0602134,1.0248171,1.0521507,0.9195422,0.8488156,1.0062846,0.986169,1.2974421,1.0394021,1.0505384,0.9750266,1.1050514,1.3934838,1.136098,1.2379214,1.099166,0.9718469,0.71611565
