,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cookie,0.8238885,1.1206863,0.890146,1.1204953,0.7684306,0.8103059,0.63437295,0.879203,0.7948911,1.1086224,0.88926065,1.1013137,0.7559351,1.0502493,0.9960547,1.0784185,1.0054119,1.2313575,0.6404093,0.992067,0.88226324,1.2787236,0.94947964,1.0720628,1.33234,1.260608,0.7851859,1.197645,1.2648928,1.0460868,1.1125168,0.95411676,0.7238202,0.0,1.1087568,0.7103912,1.1902242,1.0961597,1.1415043,0.98493594,0.6272341,0.95423514,0.95060414,1.1351771,1.1121361,0.98895437,0.92576677,1.2135315,1.0243813,1.0477768,1.0381876,0.99693936,1.0962396,1.279968,1.0539227,1.2073884,0.77560496,0.9239374,0.9689175,1.2284119,1.0690112,0.556949,1.0846586,0.81119025,0.95236814,1.1700554,0.88852555,0.97441244,0.90142334,1.1501564,0.80116594,1.0730995,1.1226188,1.2537668,1.2126049,0.9871322,0.90849704,0.79706573,1.0272326,0.79065263,1.2067498,0.9428221,0.71744084,1.1108258,1.1167638,1.0795282,1.0041686,0.7132772,1.2487057,0.97298855,1.0812395,1.1493553,0.9341579,1.2584174,1.2405216,0.98436195,1.3058548,0.88255596,1.3019942,0.60226053,0.9306897,0.7265595,1.0782278,0.9737721,1.1285166,1.210866,1.0560001,0.96791077,0.9746625,1.1360822,0.8693443,1.2125936,1.0198598,1.1257008,1.0312233,0.9761402,1.0438378,1.0661765,0.90685046,1.0242884,1.264705,0.6417599,0.892732,1.1204536,1.1379222,0.86176044,0.759668,1.0858976,1.100345,0.93515646,1.1937042,0.6335844,0.8041922,0.96223897,1.0116825,1.3226902,1.1327448,1.2150841
couch,0.8286072,1.2148149,1.2436984,0.7290481,1.3043952,1.2042571,0.99350667,0.84791034,0.7227938,0.29210025,1.073938,0.3494171,0.8784442,1.2613807,0.4824642,0.8802269,0.95274884,1.3176023,1.0206723,0.7731601,1.2765055,1.083834,1.1456949,1.2954333,1.0081472,0.9836541,1.1284354,1.0433109,0.50906104,1.4193118,0.43384337,0.46093583,1.0344794,1.1087568,0.0,0.95478606,1.4302202,0.4847945,1.3435616,1.1154418,1.00878,0.8494857,1.1150471,0.5683831,0.9498401,1.1815981,1.326462,0.9581161,1.1958406,0.77220535,1.2946446,1.0323802,1.3742133,1.286503,0.97413266,1.3696969,1.3014433,1.0688173,0.72178835,1.4154661,1.1194386,1.3186283,0.8175896,1.024609,1.0364214,1.3612437,1.0576072,1.0700729,0.7003192,0.7415439,0.9882773,0.6527018,1.1633589,0.77286077,1.2894676,0.7135082,0.92515445,1.1347361,1.0759271,0.8709767,1.061157,1.1607803,1.1302216,1.3645915,0.9388178,1.4464881,1.2447195,1.3755804,0.97644776,1.1710527,0.70712996,0.6664862,0.7935384,1.3326454,1.3361617,1.1931807,0.76079905,0.8690801,0.98297065,1.328919,1.1215817,1.3091553,0.74322367,1.0418361,1.2952051,0.5872719,1.0924455,1.0437444,0.97863233,0.8096841,1.0026455,1.2452236,0.5987196,0.52293706,0.8101278,0.6458087,1.294179,0.7753408,1.3133707,0.99254227,1.179241,1.0853332,1.2870653,0.6252416,0.74613965,0.4982822,1.3528666,1.3283553,1.3429496,0.8998928,0.84638757,1.1718006,0.88666195,0.9252599,1.0337609,0.8772482,1.3414259,0.60664535
cracker,0.86388075,1.1536378,0.9080504,0.96520567,1.2004745,1.2856319,0.56126535,0.7922518,0.9064154,1.0703222,0.83826584,0.932549,0.84385246,1.0630728,0.95566076,0.9482461,0.871573,1.2958287,0.95732564,0.8480911,0.96966374,1.2350869,1.0738071,1.1377373,1.2071396,1.0562762,0.6210395,1.1679747,1.0993409,1.3510342,1.0941532,0.8001971,0.6631222,0.7103912,0.95478606,0.0,1.156244,0.93598014,1.310038,0.89929974,0.9431516,0.99797857,0.9971748,1.035457,0.95683855,0.9728811,1.1025807,1.1986225,1.1282561,1.0838546,0.96931624,1.0692334,1.1530359,1.321423,1.0233946,1.0025094,0.84180945,0.98644876,0.8543792,1.2648025,0.9135027,0.54476666,1.0212733,0.9175796,0.725438,1.3411202,1.0188751,0.8855771,0.6817683,1.1239063,0.82364225,0.9608461,0.79038996,1.0472504,1.3667719,0.982767,0.8198148,0.59602,1.1521834,0.72138476,1.1945819,0.9596646,0.9011026,1.2177627,1.0229803,1.0933021,1.0420836,1.0143564,1.2467526,0.5852144,0.98072,0.91591907,0.82180053,1.2159096,1.1979787,0.7800642,1.1243019,0.82328403,1.1513162,1.0082148,0.9995407,0.9644669,0.9962655,1.1472591,1.1968102,1.1580447,0.90346247,1.0523303,0.8754199,1.117008,0.8895451,1.1083763,0.73117816,1.1131555,1.0628046,0.9468276,1.0694782,0.9343434,1.0155252,0.9813065,1.1741673,0.8340186,1.0428995,1.0080347,1.0864816,0.8919017,1.1731611,1.0885586,1.0416054,0.6547643,1.0681958,0.9300034,0.86352694,0.986221,0.9978671,1.313478,1.3068671,1.1161864
crayon,1.495704,0.79689175,0.74295765,1.3380007,0.7372813,0.8017169,1.3471926,1.2060434,1.4372103,1.5338556,1.0481493,1.2922106,1.5265725,0.8422198,1.5114545,1.0967962,1.0525081,0.23571956,1.1949214,1.1841152,0.9142533,0.7152122,0.75456804,0.7947333,0.578863,0.8218636,0.8700078,0.90585315,1.1522784,0.37223113,1.4200718,1.3487641,1.1154753,1.1902242,1.4302202,1.156244,0.0,1.4282789,0.2609821,0.9679792,1.338241,1.3515891,1.0487761,1.2315397,0.56472045,1.0090212,0.6879165,1.0387386,0.73423004,1.3101155,0.73325336,0.99616665,0.20936835,0.45795298,1.2029232,0.37748903,0.92370564,1.1090552,1.5461367,0.24588865,0.8733561,1.000781,1.3235232,1.2484016,1.3320049,0.39934623,1.0989704,1.1450005,1.3774223,1.3157696,1.2972376,1.4054163,0.63211715,1.0145978,0.4062854,1.299923,1.2434782,0.91679794,0.9007885,1.532216,0.84230214,1.0143144,1.2300544,0.33238906,0.8318857,0.5600871,0.9771693,0.5556966,0.7910737,0.985218,1.4459097,1.3002021,1.3792922,0.12490606,0.14772445,0.74924916,0.7201515,1.4349132,0.78507483,0.8345476,1.0022025,0.84624624,1.2438176,0.77871805,0.48352575,1.3008192,1.0749745,1.1337931,1.0356241,1.385109,1.2485396,0.46721923,1.3778334,1.3392153,1.0430155,1.4054222,0.54654336,1.2855278,0.49102366,1.1644249,0.45998943,1.0399544,0.6860755,1.2874484,1.3957714,1.5574644,0.6717762,0.60539097,0.3639241,1.2314065,0.85686165,0.97944665,1.2139345,1.1691196,0.9085596,0.605024,0.25244033,1.3215824
crib,0.7098902,1.3898879,1.2621236,0.8470826,1.3208385,1.2567931,0.9832963,0.43512702,0.5942217,0.19455373,1.2396007,0.444404,0.73604494,1.1747432,0.5868822,0.5842221,0.65745497,1.340747,0.7736794,0.47308308,1.3347852,1.0521867,1.0396963,1.1974822,1.0592101,0.88540184,1.2894068,1.0399617,0.5869913,1.3598192,0.231009,0.6829714,1.0627153,1.0961597,0.4847945,0.93598014,1.4282789,0.0,1.3481979,1.1862354,0.73791087,0.9486115,0.95310235,0.578694,1.1356122,1.1996843,1.4608073,1.0453922,1.3263912,0.8734275,1.4604816,0.91590106,1.4541082,1.2231164,1.0562499,1.3662364,1.2257931,1.0072087,0.60944265,1.5050299,1.3914237,1.1675986,0.92519367,1.0782627,1.0059891,1.4153407,0.9534933,1.0755317,0.7551265,0.90105015,0.83357435,0.8397251,1.0722725,0.5224763,1.2486657,0.9169303,0.90499693,1.1037035,1.0953531,0.9668234,1.1017994,1.163904,1.1490299,1.4921381,1.0525361,1.5404958,1.2702755,1.5410835,0.9566088,1.1717404,0.808476,0.9957495,0.59811974,1.3615136,1.3394103,1.2583358,1.2338573,0.8603891,0.9311458,1.1168487,1.1049508,1.3374612,0.79921395,1.0782396,1.3974756,0.5321214,1.0883784,1.0498574,0.7508699,0.8938806,1.032178,1.3351176,0.6971075,0.27661192,1.0102255,0.3966596,1.4132226,0.70379907,1.2395494,1.0724953,1.3149822,1.2847784,1.3344418,0.55219936,0.872312,0.36015987,1.2825904,1.5107927,1.448855,0.7222118,1.005155,0.91954076,0.56998724,0.8003142,1.0198103,0.97102374,1.4285349,0.44762695
cup,1.5119822,0.8876367,0.7783251,1.3909664,0.60962737,0.68332565,1.4163424,1.1035651,1.229081,1.4426901,1.1889204,1.2565153,1.4857633,0.9264602,1.4553609,1.1579974,1.1836991,0.0812515,0.9293244,1.199759,0.84610575,0.6679836,0.49379504,0.85073435,0.47255474,0.80084527,1.1724012,0.89355105,0.95211565,0.24945974,1.3247064,1.1368264,1.0977194,1.1415043,1.3435616,1.310038,0.2609821,1.3481979,0.0,0.97751135,1.1515412,1.3660653,1.0832003,1.0670539,0.7558814,1.0895257,0.7576145,0.9654135,0.88562554,1.2623627,0.92028004,1.069861,0.37698543,0.28369057,1.199909,0.49614602,1.071889,1.2066032,1.3465015,0.37373334,0.9643356,1.1472923,1.2981198,1.1743277,1.3973923,0.3890177,1.1264371,1.1965742,1.3921502,1.3125631,1.0452256,1.4888785,0.8829513,0.99071014,0.2491709,1.3715937,1.1677806,1.082355,0.71639955,1.5269811,0.79845595,1.1488085,1.1584933,0.40036345,0.735993,0.74051744,1.035387,0.6205303,0.65021235,1.0967767,1.463553,1.366672,1.3828213,0.24791753,0.2906369,1.0086579,0.7041524,1.3675562,0.70915866,0.69297737,1.0625306,0.71232474,1.0010356,0.67098624,0.61051226,1.0906458,1.2018087,1.1254289,1.2046065,1.3725182,1.2780905,0.5227948,1.4458405,1.2676884,0.8723824,1.367913,0.629397,1.2255129,0.46343118,1.1834344,0.5225907,0.9923939,0.8063768,1.1821524,1.3757012,1.4268408,0.4940427,0.7439793,0.5911418,1.3578101,0.74602485,0.93274856,1.1471939,1.1848636,1.0465761,0.5454184,0.20128745,1.2053437
deer,1.0731466,0.96490395,0.9519098,1.1648053,0.9634286,1.0092056,1.1252538,1.1977408,1.1529498,1.3073907,1.0182021,1.1799074,1.1976317,0.7718247,1.2460916,1.178312,1.0891626,0.96331114,1.2075987,1.1717005,0.7216546,0.8437377,1.0419749,0.76990914,0.8880413,0.84658504,1.0399692,0.97921497,0.9718565,0.884745,1.2606134,1.0148191,1.1241657,0.98493594,1.1154418,0.89929974,0.9679792,1.1862354,0.97751135,0.0,1.1419466,0.49611503,0.8606212,0.9735647,0.88755405,1.0859468,0.9545859,1.0186313,1.0829881,1.17778,1.0100447,1.04627,0.85616744,0.8943966,1.0385633,0.8741524,0.7004423,0.81450367,1.2489773,0.95133734,1.028964,1.0366967,1.1391265,0.926829,1.1623129,0.86366355,1.0641508,0.44113827,1.1272117,1.2760416,1.1380801,1.1953794,1.0110521,0.98408204,0.879625,1.1338179,0.91259843,1.0180206,0.87971616,1.1980032,0.8020178,1.1179982,0.964866,1.0085701,0.89012307,0.9612443,0.9897663,0.9529241,0.93866456,0.6453609,1.2302126,1.1000115,1.1879486,0.9577605,0.9712928,0.92451495,0.80585694,1.0973852,0.8840554,1.0930469,0.36220598,0.8306924,0.8798269,0.926426,0.8649504,1.1317189,0.5510359,1.0522146,1.0954804,1.286658,1.1008444,0.7938564,0.93780273,1.2426747,1.0104207,1.3261162,0.9597338,1.2601697,0.83222246,1.0868877,0.89101714,1.0333052,0.9458561,1.0165361,1.26818,1.3176367,0.9784284,1.0065594,0.98578876,1.2496893,0.9439639,1.0219741,1.2031486,1.0593476,0.98293453,0.94161004,0.9372206,1.1688702
dish,0.70244265,1.2610004,0.9669587,1.0327963,0.984579,0.93173647,0.7323085,0.6066785,0.554297,0.80120397,1.1360651,0.94091,0.72660875,1.0394773,0.870982,0.667451,0.83371526,1.2823579,0.43021655,0.7628491,1.0723634,1.359232,0.8657055,1.0354848,1.34778,1.1222332,1.1356429,1.1928397,1.1325078,1.2205848,0.80019355,0.92069215,0.95745534,0.6272341,1.00878,0.9431516,1.338241,0.73791087,1.1515412,1.1419466,0.0,0.9423888,0.9960849,1.0637047,1.2983441,0.9843001,1.1882827,1.1221594,1.2583141,0.982344,1.25451,1.0504524,1.2395111,1.2067472,1.0589919,1.3142123,0.90724725,0.9558607,0.5298334,1.3901725,1.2685136,0.687973,1.0431161,0.8652631,0.9011061,1.3807104,0.9323362,0.9723611,0.9030914,0.98443604,0.57384205,1.0001837,1.1596303,1.1051008,1.2454093,0.9923883,0.8972471,0.86662054,1.0703359,0.8321955,1.1486518,1.0337261,0.8886085,1.329036,1.2281487,1.3090484,1.1568533,1.1629453,1.148276,1.0294777,0.95147663,1.1747956,0.7523868,1.3314039,1.3128413,1.0920223,1.4673209,0.74514663,1.1020591,0.6513277,0.97544444,1.0393941,1.0249045,0.94536763,1.3746055,0.9469608,1.052634,1.0232097,0.90509087,0.9756421,0.92140853,1.3332455,0.97844535,0.84480506,0.90972525,0.63287044,1.2711897,0.8642332,1.1087233,1.0608082,1.2732815,0.97121835,1.1019195,0.9292513,0.9691395,0.55752325,0.8090433,1.3291135,1.289205,0.8692029,1.2696034,0.6951077,0.58856833,0.63211095,1.1229408,1.3285258,1.3140478,0.93623424
dog,0.53645694,1.1147745,1.2342024,0.91171837,1.1695285,1.1323345,0.9453102,1.1389961,0.9591354,0.81600213,1.0538505,0.9784917,0.7465404,0.87644386,0.76344883,1.0776713,0.8714675,1.3455145,1.1444691,1.0203334,1.0854903,1.2026746,1.3142846,0.8799583,1.3334521,1.1217101,1.1555811,0.8769194,1.0622464,1.2483522,0.91766,1.0202149,1.0451667,0.95423514,0.8494857,0.99797857,1.3515891,0.9486115,1.3660653,0.49611503,0.9423888,0.0,0.727321,1.0785869,1.1857716,1.0802908,1.1521282,0.83332145,1.1560781,0.94267887,1.2243202,1.0264392,1.1423199,1.2510508,0.96445906,1.1913667,0.60630995,0.6128032,0.9343666,1.2923914,1.0539882,1.0678885,0.9261692,1.0059854,0.983483,1.1809809,0.9664395,0.37875462,0.96119237,0.8373163,1.0877522,0.7923083,1.1363077,1.1270988,1.2964203,0.84353083,1.0131967,1.1479144,1.096669,0.80165106,0.91943824,1.0758237,0.99188626,1.2942069,1.2020465,1.2756779,1.0947993,1.2370846,1.1932101,0.9438463,0.797521,0.84551036,0.8035754,1.2756815,1.2932343,1.0801038,1.0762624,0.98378474,1.089209,1.1698258,0.30200064,1.1824422,0.92433524,1.1347753,1.1145843,1.0533582,0.5552288,0.9650713,0.82096434,0.88604414,0.8464017,1.1271309,0.7351934,0.882401,1.0259073,0.9911092,1.1994314,0.84116364,1.2912335,1.0100689,1.1431112,1.0857084,1.0891806,1.0141661,0.88590646,0.8422788,1.2123678,1.2392007,1.2317791,1.0253731,1.1802914,0.97332996,0.953202,0.92470276,0.9781028,1.1998453,1.284291,1.0026478
doll,0.83804834,1.0380138,0.9634071,1.20837,0.96019363,1.012614,1.1002953,0.9295576,1.0846753,1.0881214,1.0455924,1.266624,0.9130976,0.86829966,1.1379101,1.0116584,0.61158514,0.99793744,1.0491698,0.78653395,0.96937186,1.0226061,0.9420042,0.820096,1.1103367,0.8336973,1.1094346,1.1845137,0.9951872,0.92711806,1.1139166,1.1889588,1.2331035,0.95060414,1.1150471,0.9971748,1.0487761,0.95310235,1.0832003,0.8606212,0.9960849,0.727321,0.0,1.1209103,1.0713117,1.0210216,1.0193642,1.2400026,1.1600907,0.9935934,1.1296923,0.88339096,0.92731625,0.9487715,0.9742997,1.1729388,0.5215434,0.7306186,1.0929705,1.068424,1.0665857,0.92618346,1.010327,0.9770621,1.0801902,0.7966105,0.9306299,0.75905156,1.1643436,1.1987617,0.9637854,1.1578577,1.1651274,0.94961995,1.04834,1.0958176,1.125685,1.1226125,0.9660969,1.0456485,0.7416812,1.1180996,0.9259603,1.1034788,1.1575191,1.0267024,0.97822964,1.0917959,1.0382218,0.92452514,1.1349357,1.163447,0.9215193,1.1343534,1.158776,1.001773,1.127192,1.0955354,0.91945255,0.9488732,0.59571284,0.9397191,1.0421135,0.9820734,1.0684581,1.1491921,0.5272064,0.978258,0.8389839,1.1566024,0.9225312,0.95384824,1.042956,1.1267794,1.2423539,1.0932249,0.9961155,0.9995532,0.9717205,1.0140222,1.2081852,1.0444233,0.9034346,0.8948529,1.135586,1.072648,0.9492624,1.1012146,1.190913,1.1133616,1.119904,0.4620961,0.9422633,0.96523327,0.751099,0.9718983,0.98096085,1.1640893
door,1.1570905,1.2018757,1.1756891,0.9192061,1.1928831,1.126535,1.2002201,0.94853103,0.93968105,0.69573563,1.1831385,0.57440853,1.1323984,1.1822809,0.9002273,1.0324682,1.0564076,1.0878046,1.1519525,0.93704766,1.1667298,0.75846654,1.0404813,1.1959071,0.5557504,0.8053568,1.1253828,0.86208236,0.612715,1.0729326,0.5546073,0.61805063,1.0218667,1.1351771,0.5683831,1.035457,1.2315397,0.578694,1.0670539,0.9735647,1.0637047,1.0785869,1.1209103,0.0,0.867246,1.150409,1.3701389,0.91800666,1.143781,0.89898795,1.1772928,0.9206064,1.2921989,1.025312,1.0321603,1.1264411,1.398871,1.1809396,0.83042276,1.2167045,1.2055094,1.3160057,0.8688702,1.0453341,1.0644448,1.1504271,1.0571195,1.0790731,0.9037362,1.0031159,1.0309225,0.97230476,0.94251746,0.52714443,0.8941918,0.9923814,0.9190538,1.1681932,0.889778,1.1520448,0.988109,1.1327976,1.1637155,1.2181238,0.7357452,1.2405173,1.0825726,1.3220029,0.59731853,1.0527031,1.0378021,0.8885774,0.9706344,1.1211797,1.1240785,1.2355685,0.8447631,0.9354805,0.83311117,1.2670431,1.1412454,1.0973678,0.76402473,0.96946174,1.1779428,0.3663479,1.0365388,0.90958524,1.0482306,0.9929015,1.2186282,1.1080201,0.8057524,0.6493347,0.8847169,0.879518,1.2524557,0.89288265,1.1159098,1.094979,1.0421653,1.095467,1.2537512,0.7323834,0.9605816,0.84943795,1.195887,1.2120328,1.2418715,1.0624659,0.7433926,1.2654405,1.07153,1.0303524,1.0099233,0.68977386,1.1685673,0.40195954
drawer,1.2805724,0.82055813,0.9355801,1.1180185,1.0645083,1.0255139,1.2494473,1.0859658,1.1725956,1.1956244,0.9832641,0.8504941,1.3209351,1.0859809,1.1952499,1.0290859,0.91204095,0.8042939,1.1196008,0.9046276,1.0524065,0.765487,0.72155005,1.088673,0.60704005,0.7668307,0.89645326,0.9973447,0.8456212,0.8031581,1.125221,0.92675316,1.0298598,1.1121361,0.9498401,0.95683855,0.56472045,1.1356122,0.7558814,0.88755405,1.2983441,1.1857716,1.0713117,0.867246,0.0,1.0712204,1.0207373,1.1341431,0.8873108,1.1733382,0.8984901,0.93654597,0.698872,0.9420028,1.1169158,0.70204234,1.0599682,1.1486882,1.3134124,0.7986181,0.9354538,1.0516093,1.1996119,1.2021692,1.2190378,0.77911484,1.1640557,1.0914611,1.0881917,1.1825206,1.2134888,1.0834183,0.75369585,0.9364774,0.8114804,1.0854121,1.1986063,0.9205018,0.9389861,1.3738611,1.030373,1.0848457,1.1268678,0.8370216,0.6543504,0.8410257,1.1126204,0.8938229,0.6566107,0.9681568,1.2208585,0.932576,1.0979125,0.64897513,0.66400135,0.7724143,0.61271966,1.2666813,1.0355238,0.93270224,1.0533216,1.0935351,0.9203904,0.7346069,0.7643771,1.0215499,0.9582187,1.0302222,1.1197331,1.2343245,1.0871736,0.7654674,1.0350648,1.1846157,0.8478079,1.1924591,0.6692777,1.1927043,0.76822835,1.083289,0.76739407,0.90837604,0.867315,1.1209053,1.217453,1.2215172,0.849799,0.8910919,0.73307747,1.1415199,0.7512573,1.1114818,0.96290755,1.1180642,0.78753036,0.7223265,0.73039734,1.1464926
ear,1.163358,0.7334106,1.0224721,0.96401703,1.1524193,1.1332268,1.0430987,1.2161555,1.1739445,1.2100744,0.76357234,1.2862351,1.0244671,1.0126274,1.1520746,1.1960926,1.1114163,1.0810905,1.1722568,1.1808413,1.0543879,1.0382577,1.1171417,1.0371183,1.1120088,1.21255,0.7138913,1.100922,1.2763604,1.0438514,1.2001094,1.1980076,1.0710247,0.98895437,1.1815981,0.9728811,1.0090212,1.1996843,1.0895257,1.0859468,0.9843001,1.0802908,1.0210216,1.150409,1.0712204,0.0,0.7922581,1.0945045,0.6064261,0.8415746,0.48320478,1.0552949,1.0341475,1.150411,0.8986635,1.036782,1.0537294,1.0307114,1.1260486,0.7905307,0.79968715,0.83516353,0.7621751,1.0425745,0.64894164,0.94878894,0.9939413,1.0462787,1.082053,1.0291548,1.062354,0.9705962,1.1280173,1.1854038,1.1410518,1.0236173,1.0692633,1.1477377,1.187884,0.897223,1.1784902,0.47361273,1.070919,0.77121174,1.1658676,0.49293172,0.46640456,0.93948126,1.1507913,0.9775301,0.9633738,0.907261,1.1127802,1.0962538,1.0441735,0.9472712,1.0996838,1.0919954,1.0552644,1.1264577,1.0896819,1.1226369,1.2808467,1.1551061,0.7226838,1.1980759,0.98974514,0.9533281,1.216598,0.7703183,0.93752223,0.98453665,1.1345313,1.1468024,1.2376176,1.2296013,0.86070144,1.1471999,1.1493318,0.9002314,1.1050205,0.8782146,0.8524396,1.201849,0.8110386,1.227099,1.0035529,0.49967515,0.67995137,1.0761874,1.1494026,1.1509498,1.2660234,1.094911,1.0377237,1.1776919,1.0293231,1.1880436
egg,1.2741072,0.68344617,0.62419045,1.1830168,0.45942903,0.55880207,0.9585331,1.3342917,1.2340001,1.3806875,0.87324405,1.4701482,1.1641306,0.9526135,1.3329382,1.2715191,1.2720056,0.7085656,1.0369867,1.3353102,0.67292273,1.0257926,0.96124315,0.978726,1.1378131,1.1131965,0.7348678,1.1706709,1.3622823,0.74841845,1.3862494,1.2939234,1.1873405,0.92576677,1.326462,1.1025807,0.6879165,1.4608073,0.7576145,0.9545859,1.1882827,1.1521282,1.0193642,1.3701389,1.0207373,0.7922581,0.0,1.0557723,0.61967057,1.0224732,0.5116346,1.1932942,0.6219856,0.85354286,1.1386954,0.9217454,0.87083745,1.0973512,1.2951136,0.5737445,0.7815721,0.7809806,1.0053732,1.0100836,1.0201991,0.6201311,1.0808444,1.0529034,1.27249,1.1052177,1.0834361,1.1991707,1.193016,1.3127859,0.8843858,1.217594,1.0888512,0.952912,0.94606125,1.0950139,0.9931783,0.8551215,0.86428946,0.34096527,1.1854765,0.54090106,0.6638447,0.33215588,1.2111061,0.8734709,1.1433743,1.1210359,1.3698057,0.805596,0.7713175,0.7427172,0.94091594,1.20391,1.063751,0.8854532,0.9939777,0.64753294,1.3452461,1.0511899,0.540718,1.4423056,1.0531793,1.1276944,1.3203652,1.020832,1.1517471,0.71350956,1.2960241,1.340848,1.2101792,1.3664775,0.72397494,1.1923186,0.7816839,1.1041871,0.97108096,0.7073841,0.5546193,1.3693991,1.0341648,1.3866192,0.796286,0.36564487,0.5523364,1.286625,1.1856443,0.88268375,1.3054214,1.120408,1.1327425,1.1947169,0.68574774,1.3745813
elephant,0.9601528,0.954172,1.2285895,0.83049375,1.1605643,1.1255774,1.0593084,1.1929905,1.0430474,0.85670024,1.0750232,0.8914678,0.9413508,1.1116151,0.7008689,1.1279249,1.1916217,1.0180926,1.2219043,1.221502,1.0316552,0.810308,1.1774405,1.1266094,0.8753433,1.0988026,1.0719984,0.32247996,0.94807345,1.0069724,0.91485083,1.1073519,0.91332275,1.2135315,0.9581161,1.1986225,1.0387386,1.0453922,0.9654135,1.0186313,1.1221594,0.83332145,1.2400026,0.91800666,1.1341431,1.0945045,1.0557723,0.0,1.0110354,1.0004978,1.059147,1.0465825,1.0480636,0.9592889,1.0672623,0.80028343,1.222534,1.0967028,0.9960945,0.96123374,0.89722484,1.336585,0.9566147,1.0923669,1.0317659,1.0222976,1.1084508,1.0089198,1.1281186,0.50841004,1.2624308,0.7572695,0.93787235,1.0112427,0.94682837,1.0163141,1.0186812,1.0940012,0.9742236,0.9330644,1.0368625,1.1217712,1.1209321,1.0044458,0.913314,1.0316808,1.0384037,1.0751786,1.0185758,1.1808269,0.65812004,0.72223806,0.9847597,0.88840234,0.9341668,1.0656097,0.7340683,0.9058732,1.0603206,1.1611251,1.1404754,1.1507232,0.9433712,1.0671011,1.0029128,0.8239452,1.2373257,0.83666646,1.0404186,0.65215874,1.1415843,0.970588,1.0026231,0.917911,0.80777925,1.027742,1.1445456,0.7521487,1.1212566,1.0427438,0.72966564,1.1311461,1.1647028,1.1422867,0.70780987,1.0212505,1.1443397,1.0362104,0.99127847,0.95216286,0.8246821,1.3817374,1.0815206,1.0201662,1.1259267,0.91742224,1.0424597,0.7471953
eye,1.2617545,0.7315831,1.0085406,0.9759035,1.0015138,1.0496764,1.0998367,1.3949184,1.3264726,1.2474251,0.6284651,1.2896494,1.169668,0.985097,1.2236633,1.2662143,1.2196133,0.85606706,1.2370554,1.3113368,1.0291734,0.93371403,1.1985093,1.0760163,1.0521014,1.23194,0.6629503,0.9179237,1.4105035,0.8276992,1.1960332,1.2290382,1.0673862,1.0243813,1.1958406,1.1282561,0.73423004,1.3263912,0.88562554,1.0829881,1.2583141,1.1560781,1.1600907,1.143781,0.8873108,0.6064261,0.61967057,1.0110354,0.0,0.8751586,0.45267463,1.1011201,0.82639384,1.0437313,1.0146847,0.8219065,1.1503415,1.0386167,1.2701418,0.40911037,0.8131282,0.99288034,0.79240364,1.1207372,0.8722894,0.759572,1.1191591,1.0943391,1.1612221,1.0705109,1.2425759,1.0612222,1.0379521,1.2502322,0.99835056,1.0768664,1.1610225,1.1278725,1.2309476,1.0857804,1.2083513,0.55302995,1.0761282,0.415267,1.1822257,0.44585598,0.35099602,0.6911126,1.2077756,1.037901,1.0448824,0.8981142,1.2626896,0.7512672,0.7086497,0.837928,0.96419334,1.2236867,1.154607,1.1044186,1.1210548,1.048085,1.3964888,1.1205944,0.30705607,1.2978823,1.0504761,1.1178454,1.285455,0.876312,1.0815599,0.88161504,1.1581578,1.1479075,1.2667391,1.3588231,0.72427976,1.172452,1.0547243,1.0034748,0.8848133,0.8389995,0.7964507,1.4061496,0.91277796,1.318983,0.9689348,0.35404623,0.3507414,1.200817,1.1559322,1.2949781,1.3113492,1.1168373,1.0979093,1.1384189,0.78532755,1.191736
