,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window,zebra
comb,1.0126201,0.89785796,1.1521304,1.0724654,0.97127974,1.1621574,1.0637523,1.0480543,0.7957967,0.8217517,1.0732071,0.9690005,0.9347356,0.64898926,1.0051969,1.1579419,0.89958096,0.98509556,0.903408,1.06518,0.9967315,0.8752644,0.95941424,0.9399737,0.9265954,1.0533403,0.8482349,0.86217725,1.0825744,0.8269861,0.8536266,0.9601017,0.84038997,0.9727299,0.0,1.1342301,1.0667397,1.0306758,0.91867745,0.9014373,0.97908133,1.0810018,1.1656893,0.88320565,1.0239367,0.9211925,1.0115471,1.1943245,0.8351839,1.112217,1.1735896,1.1186521,1.212344,0.9234503,1.0809205,0.79576385,1.2102805,1.1693256,1.0547347,1.0900573,1.0662835,1.1198118,1.1573193,1.0253345,1.198255,0.88547546,0.94703096,1.1368254,1.1650236,0.93783563,0.6584824,0.82606983,0.801132,1.1293241,1.0293632,1.071576,1.093001,1.0896003,1.0671906,1.0821275,0.6580219,0.9858342,1.2078071,1.082519,0.8398622,0.9729785,0.9721282,1.048799,0.9787707,1.0481769,0.86161816,0.86989534,1.1278437,0.9828128,0.9203915,1.0424569,1.0362242,1.0559325,1.1102687,1.1322827,0.86374116,0.94131976,0.8631043,0.7932355,1.0523309,1.133417,0.7484995,1.0436153,0.9746933,1.0737798,0.87996936,0.7734828,0.9573928,1.0207084,0.7221364,1.1249442,0.9761722,0.9096542,0.9005141,1.0149599,1.1475884,0.96064955,1.1020616,0.92995197,0.9720295,1.1567696,1.1269594,0.588908,0.6568394,1.2005758,0.99159306,1.0066679,1.1858658,0.8990452,1.0181087
cookie,0.8148824,1.1381485,0.90300035,0.9381253,1.1555701,0.76086104,0.88618225,0.8423357,1.1251937,1.1004945,0.63225985,1.0658963,1.1723112,1.2018622,0.83125466,0.8808035,1.1030924,1.0203271,0.96842617,1.1392666,1.132127,0.9741022,1.0349818,1.170032,1.2257309,0.9400898,1.3604021,1.1896416,1.0475502,1.182244,1.358545,1.0641298,1.0778894,1.0040466,1.1342301,0.0,1.0905229,0.5996641,1.1890702,1.1011333,1.1831098,0.94477534,0.6509372,1.2205647,1.1666111,1.1014733,1.1983485,1.0062488,1.1071105,1.0471351,0.854734,1.1659442,0.9008788,1.2122937,1.1447464,1.1945467,0.4082377,0.98029643,0.7071757,1.147232,1.1147171,0.5893048,0.94725513,1.1108705,1.0794208,1.0072923,0.945308,1.0993584,0.9935158,1.2163672,1.2528832,1.2253492,1.2251112,0.8752197,0.8536812,0.8695437,0.94927,1.0563534,0.20136476,1.1403029,1.3174703,1.2006637,0.97330004,0.85444283,1.1997035,1.0818148,1.1567981,1.2141765,0.8407711,0.28524464,1.2038091,1.1990584,0.9644457,1.023713,1.3897297,0.90149283,1.1919119,0.8555633,0.9249835,0.91160154,1.1834254,1.1887975,1.2949425,1.0895059,0.9654179,0.9226093,1.0929911,1.1598316,1.007364,1.0833299,1.0684958,1.2174215,1.1120585,1.1388056,0.9706865,0.82694584,1.2432637,1.1819892,0.9123479,1.0287393,0.6212002,1.1296774,1.0965254,0.98223174,1.0008557,1.1351092,1.0200882,1.0576812,1.3239341,0.6143148,0.81544626,1.3566856,1.0466847,1.1880152,1.0828447
couch,0.8195374,1.1776929,1.4035854,1.2929354,0.4390496,1.3194999,1.231061,1.1986759,0.79569536,0.44904536,1.0033574,0.15331078,1.1676453,0.41131455,0.71701574,0.9134098,0.3205756,0.68749416,0.9118267,1.4120212,1.4739622,0.87664676,0.92161524,0.5878361,1.3237476,1.227581,1.3277087,1.1602101,1.3793225,0.75820196,0.78924537,1.4933219,0.54818606,0.7611405,1.0667397,1.0905229,0.0,1.0125004,1.5451638,0.5673102,1.3964083,0.5655617,0.9631398,0.67594916,0.78923666,0.92073524,1.3521122,1.3858179,1.0037005,1.1993406,0.71407723,1.3344443,1.3555799,1.3387482,1.0161829,1.2752633,1.1578681,1.0853702,1.1211288,1.4471259,1.0533906,1.3293054,0.67975813,0.9333147,1.3674023,0.92029583,0.92848283,0.3604524,1.2797048,0.51475465,1.1312282,0.61686385,1.41066,0.8164267,1.0931425,0.8190495,0.7816855,1.2265123,1.061442,1.3381567,0.9861021,1.4616783,1.1148032,1.2994747,0.8171929,0.87873393,0.4823802,0.5064849,0.73195064,1.0928322,1.4451413,1.3930134,1.1559355,1.176602,0.8331137,1.0197455,1.261284,1.435072,1.0521727,1.3651352,1.0827253,1.1765666,0.9030757,0.99962455,1.2293214,0.6688109,1.0631574,0.58360606,0.9787269,0.5136614,0.9089036,0.898152,0.5644239,1.4591258,0.83574855,1.3489627,1.1348839,1.3170805,1.3765024,1.2802012,1.1102432,0.6730644,0.49802887,0.3322876,1.5273178,1.448688,1.3775495,1.0714697,0.9763243,1.1198597,0.9610208,1.0261998,1.3976288,0.6217215,0.9538456
cracker,0.97256297,1.0981692,0.98967624,0.9316754,1.0853426,1.0733994,1.2048277,0.8174417,1.0363166,0.99948794,0.9875528,1.069625,0.9338195,1.0080055,1.0307902,0.9469927,0.9530896,1.0549597,1.1035798,1.1626539,1.0448582,1.1363053,0.83632493,1.0106723,1.182738,1.056048,1.1656358,0.944867,0.93692744,0.8344014,1.2236681,1.1792157,1.1064765,0.95863444,1.0306758,0.5996641,1.0125004,0.0,1.0458463,1.0408901,1.1455336,0.93163884,0.96298444,1.1200455,0.8346491,1.0859165,0.95340204,0.9441585,0.9442005,0.9962327,0.95800114,0.9192132,0.80911136,1.1713849,0.9644844,0.90560114,0.7816605,1.1004881,0.81526077,1.0571808,0.91850686,0.7647438,1.015509,0.87979907,1.1609693,1.0134554,1.117496,1.0949979,1.072987,0.9573525,0.92994165,1.0748705,1.1347115,0.9317406,0.8973728,0.85518396,0.89409864,1.0219002,0.7579961,1.0475193,0.99877614,0.9942232,0.8696947,1.028747,1.0523454,0.99651456,1.0940995,0.97299373,1.0899863,0.79416597,0.9952507,0.95913637,1.1171,0.93567204,0.99630576,0.7516835,1.1328022,0.9864211,1.064622,1.0837315,1.2137113,1.1028272,1.2041354,0.9830817,0.9471757,1.0922756,1.1332333,1.0838298,1.0040073,1.0394436,0.9504888,1.0243331,1.216116,1.0819734,1.0284696,1.0272574,1.050082,0.9636779,0.83380497,0.9431212,0.7353909,1.1621567,1.1085899,1.0651295,0.9890386,0.9800705,0.88334143,0.9723319,1.0204816,1.0593466,1.0454354,1.2428263,1.0610745,1.0419465,1.0861056
crayon,1.447062,0.93347394,0.4506936,0.9384736,1.4964416,0.7920655,0.852114,0.8898069,1.25246,1.5361645,1.1940795,1.6024307,0.47362918,1.3571763,1.5549129,1.1144513,1.6082219,1.248172,1.0587444,0.24854642,0.27641356,1.1157641,1.2854292,1.278614,0.5355087,0.9036136,0.49872792,0.7537667,0.6169741,1.2057241,1.0618035,0.3688345,1.4251784,1.2915347,0.91867745,1.1890702,1.5451638,1.0458463,0.0,1.3572905,0.345304,1.4626485,1.1997066,1.2803075,0.9576622,1.345063,0.5862104,0.5090829,1.1857338,0.6965307,1.3184465,0.5430286,0.476461,0.56310856,1.0930847,0.370543,1.0979193,1.0830724,1.0818064,0.28558654,1.0214323,0.8102064,1.3620641,1.2540472,0.51172185,1.3155329,1.1867279,1.5105736,0.6370564,1.4282665,0.634437,1.316199,0.44205606,1.289853,1.1085272,1.4225552,1.2726767,0.88224375,1.2199237,0.29464477,0.9937775,0.25393945,0.9905222,0.9101712,1.234285,1.3624415,1.545222,1.4053433,1.3804028,1.1364121,0.13512862,0.15889442,0.86759853,0.97311103,0.91660047,1.1009048,0.59784997,0.5601102,1.0632532,0.8151578,0.9498677,0.76397914,0.93312335,1.0598267,0.980062,1.3798218,0.98815024,1.4899843,1.2409465,1.3997484,1.1920427,1.0228696,1.3408563,0.27838206,1.2615006,0.4988954,0.9013365,0.40331805,0.65135574,0.8373569,0.84357816,1.3528086,1.5111053,1.5821065,0.26925623,0.35151035,0.4186356,0.94313955,1.0064263,1.046385,1.238132,0.5882194,0.3146785,1.3757914,1.2026733
crib,0.95089453,1.0760938,1.3552039,1.194572,0.8410602,1.2326038,1.1211845,1.2371389,0.5683567,0.5143547,1.0298586,0.4524622,1.1751459,0.5355317,0.92215097,1.0457388,0.769339,0.76511085,0.87577456,1.2541623,1.3024533,0.7109761,1.0513597,0.49147582,1.156344,0.9575922,1.0116475,0.87474084,1.3337147,0.9062928,0.62130654,1.2204142,0.3534981,0.7170203,0.9014373,1.1011333,0.5673102,1.0408901,1.3572905,0.0,1.1907303,0.83153206,0.93651426,0.42793155,0.8142174,0.9047934,1.2129703,1.3349805,0.9840819,1.3230555,0.9766045,1.3762183,1.3928818,1.0470574,1.144721,1.1761913,1.0637969,1.0660672,1.0214471,1.3925009,1.2702305,1.2277201,0.9136305,1.066277,1.2701917,0.96967953,0.9314859,0.83486104,1.3123035,0.9619214,0.99316955,0.26723188,1.0614192,0.93099743,1.1089249,1.1152909,0.72557706,1.1854824,1.0790546,1.3070531,0.9715019,1.3177779,1.2393003,1.2806439,0.6132291,0.95984554,0.8100023,0.9330324,0.82357365,1.0920814,1.3173821,1.3051391,1.0970837,1.0963231,1.1090251,1.0798138,0.8857069,1.1830556,1.0198034,1.2063355,0.8991146,1.0638546,0.62274235,0.9516377,0.9282628,0.90119004,0.98509336,0.94446546,0.95212436,0.8990276,1.0488014,0.8972968,0.7028967,1.4011444,0.8803005,1.2556765,1.2038647,1.1746655,1.2315327,1.1560894,1.2311251,0.5805026,0.91106266,0.58399034,1.3853936,1.4300823,1.4079462,1.0254802,0.9232181,0.96545106,0.7719531,0.84361255,1.3440217,0.45836306,0.9467773
cup,1.5005171,0.88423926,0.44445908,0.9892031,1.4662888,0.70860183,0.71396536,1.2041417,1.2316831,1.3740822,1.2167863,1.4814723,0.6693711,1.3328834,1.5813446,1.1727493,1.5222834,1.2142129,1.0953748,0.080761015,0.111421525,1.0107893,1.2591627,1.2436471,0.24256194,0.90933514,0.35683328,0.5787653,0.9897237,1.1345598,0.8382188,0.30469203,1.306154,1.1415424,0.97908133,1.1831098,1.3964083,1.1455336,0.345304,1.1907303,0.0,1.4010625,1.1753016,1.0619572,0.9635812,1.2386476,0.73470414,0.63424844,1.0813323,0.9571496,1.2250814,0.8668905,0.7289352,0.2645936,1.2063437,0.45681065,1.2231628,1.2035285,1.0674702,0.42634583,1.0313368,1.100321,1.2538718,1.3931332,0.44865692,1.1981668,1.3118867,1.3925788,0.70754623,1.4271221,0.9503648,1.2014432,0.2908455,1.2297422,1.3191414,1.4242358,1.2883213,1.070939,1.2068652,0.35412526,0.9404351,0.36976922,1.1841059,0.9895159,1.0474489,1.1393397,1.4994707,1.4252577,1.3641518,1.1185192,0.3774314,0.44152093,0.86230123,1.2558637,0.8836665,1.143498,0.356475,0.4468209,1.0562207,0.6813302,0.77508414,0.5581472,0.60711145,1.0150088,1.004017,1.2826806,1.3160273,1.4292004,1.3177891,1.3971629,1.2964435,0.8347544,1.2834538,0.42704475,1.2119246,0.4813435,0.94803476,0.47247148,0.87605953,0.91687226,1.0288204,1.1432424,1.4135697,1.4576058,0.20871067,0.48472494,0.7441236,1.264653,0.93922836,1.0633954,1.168581,0.39182442,0.30337977,1.1886259,1.2551359
dog,0.38410312,1.1155703,1.4284387,1.252137,0.7293726,1.3165474,1.2846798,1.1938541,1.0121069,0.79010206,0.7382396,0.6466893,1.2123972,0.79629326,0.7894965,0.53386223,0.59870803,0.8847911,0.99183947,1.4107774,1.4380267,1.0427809,0.897144,0.80307555,1.3414266,0.9110877,1.318413,1.186947,1.2860088,0.65456116,0.8984845,1.3060228,0.824684,0.9092319,1.0810018,0.94477534,0.5655617,0.93163884,1.4626485,0.83153206,1.4010625,0.0,0.90235645,0.8973839,0.9431197,0.9150852,1.3251705,1.2524087,0.7542665,1.1855674,0.934597,1.3016939,1.0348614,1.3192567,1.041795,1.2119976,0.8930199,0.8359446,1.1310555,1.3640282,0.9711352,1.2054238,0.89992297,0.9750034,1.2591683,0.34043407,1.0092243,0.60021734,1.2842218,0.6983646,1.0209559,0.84335065,1.3133452,0.879488,1.0812196,0.7870991,0.8528383,1.153744,0.9147278,1.3707424,1.0189749,1.3867617,1.0834503,1.2753538,0.86362827,0.86980194,0.7142508,0.5914436,0.78005886,0.9844707,1.3393021,1.332067,0.8059227,1.129175,0.97852093,1.0563722,1.1824958,1.3452938,0.6482863,1.3174452,1.0619078,1.0965708,1.1038672,1.0381714,0.8225527,0.82462406,0.9518325,0.85612345,0.97918934,0.7259289,0.96472967,0.9913507,0.8800687,1.3546948,0.8978343,1.3792956,1.0350658,1.3256451,1.179781,1.1964692,1.1024994,0.83569336,0.8061698,0.74008447,1.4358954,1.4104278,1.2984923,1.0403967,1.0336893,1.1430662,1.0647551,1.1298894,1.3680289,0.85777223,0.759552
doll,0.73139596,0.9516628,1.1304137,1.0718554,1.0375574,0.94443655,0.9588228,1.0769823,1.0063777,1.0871897,0.645711,0.9244034,1.207194,1.1271858,0.7801611,0.7986172,0.99126035,1.0555168,0.7171746,1.1364632,1.174731,0.8143154,1.1738272,1.1407642,1.1081738,0.79693514,1.1886778,1.0633225,1.0704601,1.2582942,0.9530507,1.0839094,0.9990525,0.9559511,1.1656893,0.6509372,0.9631398,0.96298444,1.1997066,0.93651426,1.1753016,0.90235645,0.0,1.1067492,1.1209801,1.0203593,1.1713248,0.95700854,1.1512839,1.235523,0.9479743,1.165874,0.9680773,1.050318,0.95339733,1.3066155,0.5550176,0.84108835,0.98014283,1.2135816,0.8453686,0.86740965,0.9853375,1.0513242,0.89219964,1.0592129,0.87754387,1.0535631,1.1802189,1.1423422,1.3102123,1.1234978,1.1645722,0.8420352,1.0641972,0.84415925,0.8228457,1.1572605,0.7216865,1.2326723,1.1271899,1.2128469,1.070943,0.989847,1.1436617,1.0726117,0.94873506,1.074659,0.77379036,0.69994295,1.2770165,1.2629745,0.8734485,1.0851995,1.0814931,1.1133738,1.0794705,0.8579143,0.6673115,0.9404228,0.853013,0.97412986,1.0849674,1.2032667,0.8033047,0.97143894,0.8443349,1.1430604,0.9547648,0.9649707,1.0768573,1.1485591,0.95353436,1.1007507,1.1410358,1.0419527,1.0047328,1.1867944,0.99884707,1.088591,1.0453697,0.7164316,1.082462,0.98621684,1.1289041,1.1501764,1.2293236,0.9834904,1.1222503,0.4658817,0.75940883,1.140259,1.1343746,1.1852762,1.0018137
door,1.0979873,1.0202643,1.3053168,1.0784127,0.8570218,1.2411327,1.0799826,1.3061688,0.73715246,0.49592292,1.0934544,0.7096231,1.0697908,0.5181514,1.0478524,1.2217276,0.883397,0.8634579,0.9988116,1.1340733,1.1565593,0.7652731,1.0195372,0.354738,0.9815459,1.0514463,0.74394953,0.818712,1.2593639,0.82491064,0.569854,1.0652463,0.42686725,0.73619425,0.88320565,1.2205647,0.67594916,1.1200455,1.2803075,0.42793155,1.0619572,0.8973839,1.1067492,0.0,0.7304487,0.85008246,1.0296174,1.3622009,1.0141412,1.2143391,0.9004438,1.2545257,1.4423146,1.0547881,1.120432,1.0244722,1.2811245,1.0970385,1.0534215,1.2626946,1.1906081,1.3286765,0.8483712,1.0261964,1.1969864,0.9703363,1.0952241,0.8424082,1.3083811,0.90250564,0.8399812,0.37965775,0.90139186,1.1179161,1.2636722,1.121817,0.8665207,1.0797104,1.154144,1.2047148,0.7031076,1.1632931,1.1205724,1.21894,0.42887312,0.8385261,0.9240702,0.79198134,0.99303204,1.1415825,1.237576,1.2306497,1.1802543,1.0705148,0.90111136,1.0487707,0.94920146,1.278911,1.0865036,1.1781669,0.8435895,0.9422008,0.35812843,1.0181535,1.0317569,0.8759614,1.0244888,0.87103444,1.0905778,0.88728815,1.0733426,0.76158065,0.9043272,1.3299499,1.0155919,1.2590482,1.043743,1.0452002,1.2227923,1.1121399,1.286949,0.7089146,0.85934484,0.69768846,1.2795552,1.2872288,1.2959726,1.2073679,0.6897927,1.2186484,0.9740329,0.7067835,1.2433214,0.44224203,1.0518613
drawer,1.2400146,1.1429477,1.0863053,1.0180389,0.9668068,1.1950204,1.194053,1.1034218,0.8691474,0.8094769,1.1881924,0.94606304,0.7400545,0.80297816,1.2397048,1.0561414,1.0058428,0.94948155,1.1006093,0.9808525,0.9261211,0.92713135,1.018346,0.70060945,0.8432499,1.0846747,0.77912956,0.7028855,1.1074018,0.8984831,0.7040852,1.0962565,0.7652406,0.64200026,1.0239367,1.1666111,0.78923666,0.8346491,0.9576622,0.8142174,0.9635812,0.9431197,1.1209801,0.7304487,0.0,1.0816181,0.996363,0.88571024,1.1909689,1.0337844,1.02965,1.0110166,1.0186332,1.0433059,1.0692626,0.7423365,1.147191,1.2146976,1.0868181,1.122058,0.8858496,1.0066931,0.99774635,1.060592,1.0670758,1.1727312,1.1315577,0.8852869,0.99754655,0.7979762,0.8170452,0.78298056,1.0418375,1.1014075,1.1690787,1.020518,0.70156395,1.1030723,1.1674591,0.9849694,0.7831118,0.92081916,1.0951481,1.200398,0.68862545,0.94765,1.0358198,0.7946281,1.1869206,1.237824,0.94139165,0.917819,1.0903611,1.1065766,0.79480094,1.0810106,1.0163764,1.049329,1.0947548,1.1794021,0.95319474,0.83015025,0.73022825,1.123842,1.0078629,1.0359682,1.1166012,0.9739283,1.0934154,1.0203762,0.95199794,0.7234884,1.051979,1.0071645,1.1352322,1.1384737,0.9850449,0.9249508,0.9508865,1.0802205,1.0067315,0.84584606,0.9050507,0.8034825,0.9987428,0.99164283,0.9188781,1.1451718,0.80758834,1.161754,1.0814553,0.81091607,1.0907222,0.8698098,1.1071627
dress,0.89901114,1.0201256,1.2915294,1.0607625,0.8655088,1.2188995,1.1553414,1.183462,0.75505,0.82372105,0.92237806,0.858608,1.1947097,0.8756019,0.60543996,1.1203878,0.7105267,0.9330265,0.9362219,1.2965853,1.2905227,0.9580425,0.79886925,0.91648734,1.1608346,0.92417693,1.1291449,1.0513581,1.2115681,0.89752835,0.922225,1.1773108,0.91267973,0.97309256,0.9211925,1.1014733,0.92073524,1.0859165,1.345063,0.9047934,1.2386476,0.9150852,1.0203593,0.85008246,1.0816181,0.0,1.1427565,1.2966588,0.86186,1.1946846,0.99693507,1.2773886,1.3057158,1.1504128,0.979241,1.2224327,1.0481532,0.90306544,1.0743699,1.2640595,1.0420054,1.1291487,0.9277295,0.9854906,1.2415044,0.78209907,0.984083,0.66964257,1.238551,0.7982875,1.0599593,0.87829286,1.114495,0.8763716,0.96110487,0.94819975,0.9413729,1.0088655,1.0383282,1.302114,0.8496385,1.1930459,1.1553572,1.1728368,0.89835626,0.3055687,0.53551674,0.798605,0.8779299,1.0205353,1.260653,1.300834,1.1691697,1.0636547,0.95901775,1.0500246,1.1334996,1.2353883,1.0708473,1.1910175,0.81700456,1.060241,0.9414209,0.9809899,0.990877,0.8023615,0.9417436,0.6677108,0.8576638,0.74497384,0.9280605,0.9899945,0.89978343,1.3232307,0.913435,1.2882392,0.9579535,1.1782792,1.2177862,1.1059008,1.209579,0.83011156,0.7157308,0.8636327,1.3085637,1.3390002,1.2746736,1.0424697,0.8149037,1.0879818,0.9123255,1.1166757,1.2668628,0.8630769,0.92970765
ear,1.3416699,0.88205326,0.8240504,0.8588585,1.2913265,1.0338942,1.0744206,1.0378575,1.2407055,1.3268948,1.1544807,1.4219775,0.62624544,1.253687,1.3009418,1.2141926,1.4020472,1.2297294,1.1961297,0.7091954,0.6589467,1.19978,1.0763748,1.1303489,0.8499468,1.0819705,0.620084,0.91230255,0.80570304,0.95109594,1.0783893,0.62577987,1.2608248,1.2578194,1.0115471,1.1983485,1.3521122,0.95340204,0.5862104,1.2129703,0.73470414,1.3251705,1.1713248,1.0296174,0.996363,1.1427565,0.0,0.7987449,1.0079068,0.47288942,0.95181406,0.43190575,0.87902784,0.8378278,0.881364,0.71950644,1.28041,0.99272305,0.98362166,0.41590524,0.9718971,1.0486741,0.9703554,0.95322,0.62080777,1.132742,1.2588217,1.287707,0.75857437,1.2626178,0.841167,1.1521901,0.68351716,1.2187659,1.2071385,1.2969036,1.2692883,0.5945252,1.2318257,0.49666578,0.91515476,0.34998208,0.50871885,1.0087638,1.0832804,1.1460114,1.3205459,1.0686078,1.3338797,1.1367701,0.5996457,0.6249401,1.1006995,1.0363681,0.8332627,0.9914583,0.79209375,0.9992165,1.1203612,0.9227297,1.1224818,0.96996295,0.9794374,1.048481,1.0384783,1.1503603,1.1476443,1.048379,1.1904352,1.1342423,1.1663319,1.2340851,1.3586977,0.5550989,1.2923794,0.88567597,0.75437486,0.52817106,0.9265412,0.74733007,1.0425043,1.281913,1.1625446,1.4622536,0.7168865,0.41362846,0.4956262,1.1579467,0.9565692,1.2717851,1.329292,0.887359,0.56646824,1.1809462,1.0835941
egg,1.3096151,0.91077054,0.51573265,0.85141355,1.3438481,0.68872833,0.8616408,0.88148606,1.3316948,1.5292432,1.1058605,1.4859607,0.80508995,1.4353044,1.3544307,0.955187,1.4657714,1.2690923,1.2516153,0.5289016,0.59330916,1.258483,1.1289271,1.3561999,0.6391482,0.91025835,0.71055245,0.8016069,0.6488654,1.1638472,1.0181865,0.6418401,1.3938379,1.2051677,1.1943245,1.0062488,1.3858179,0.9441585,0.5090829,1.3349805,0.63424844,1.2524087,0.95700854,1.3622009,0.88571024,1.2966588,0.7987449,0.0,1.1063203,0.79256934,1.2008063,0.58222044,0.49623704,0.7370351,0.94047344,0.81685793,0.99678075,1.1423451,0.89316195,0.5593164,0.73879874,0.8047804,1.2310644,1.1072305,0.45948458,1.254954,1.1881309,1.2820641,0.52806115,1.1702535,0.99799186,1.3804444,0.84109104,1.1241255,1.0084078,1.0504417,1.0582217,1.0084062,1.0031384,0.6305722,1.0337954,0.61844337,0.84845287,0.6850081,1.1623985,1.2795651,1.3586472,1.1986291,1.390699,1.0612124,0.64754176,0.6253098,0.925526,1.0349827,0.8688932,1.0725788,0.74724257,0.58401376,0.95070267,0.58237857,1.0596937,0.8017334,1.1484247,1.060839,0.88531727,1.3104334,1.0925369,1.2888403,1.1543108,1.2306957,1.2002232,1.0805069,1.3618635,0.4801839,1.296082,0.65792155,0.899009,0.81133807,0.64824927,0.7745464,0.68845606,1.2618098,1.3282545,1.5108272,0.49020034,0.4385538,0.6006111,1.1260806,1.0627744,0.9521467,1.291972,0.9133074,0.5128438,1.3345611,1.2004001
elephant,0.78526783,1.0388675,1.2260835,1.1545377,0.91801524,1.2475522,1.208663,1.0785885,1.1019866,0.9397697,0.9733181,0.866389,1.0998908,0.95195985,0.8937013,0.9349639,0.7798561,0.79681087,1.0071536,1.1572573,1.1096272,1.0494554,0.89017314,1.0479331,1.2039155,1.1223364,1.0062166,1.0903859,1.1012088,0.3879668,1.0751927,1.0435747,0.9948444,1.1049641,0.8351839,1.1071105,1.0037005,0.9442005,1.1857338,0.9840819,1.0813323,0.7542665,1.1512839,1.0141412,1.1909689,0.86186,1.0079068,1.1063203,0.0,1.1045506,1.0480821,1.1779099,1.0790515,0.96111614,1.128892,1.0861347,1.1491727,0.9181106,0.9039867,1.0623939,1.1164187,1.3249527,1.038962,1.060814,1.1323541,0.44320583,0.9441804,0.9030838,1.1370859,0.76019007,0.9164884,0.9110369,0.9774995,1.0218844,1.0057096,1.0172143,1.1092685,1.0472288,1.1349261,1.0580473,1.0104647,1.0463384,1.055109,1.1698264,0.97182125,0.831835,0.7775146,0.9014378,0.8687452,1.0799148,1.0260483,1.0685407,0.905264,0.95773065,1.0196337,1.0772493,0.96700954,1.1561542,0.98272276,1.1599094,1.1018386,1.0417216,1.0165613,0.41576403,1.0423547,1.027746,0.8673079,0.8317252,1.1144395,1.0440416,1.0601658,1.0864486,0.8899803,1.2106143,0.77756095,1.2210246,1.1536198,1.0147151,1.0957992,1.1530678,1.1765068,1.072063,0.92266476,1.011305,1.1799691,1.1804168,1.1453266,0.9047249,0.99945486,1.2676713,1.0635432,1.0614438,1.1019819,0.752073,0.9098867
eye,1.2235614,1.0244983,0.8859637,0.92402357,1.0974385,0.9991394,1.1220253,0.9187311,1.3790579,1.3070703,1.1167836,1.2583168,0.745401,1.2239441,1.2138425,1.0854981,1.2577615,1.1737987,1.2220776,0.8721616,0.8518125,1.2839953,1.0370935,1.1881759,0.99491125,1.1937631,0.93056273,1.1401831,0.79497486,1.0498271,1.2880682,0.73320603,1.2703456,1.2873068,1.112217,1.0471351,1.1993406,0.9962327,0.6965307,1.3230555,0.9571496,1.1855674,1.235523,1.2143391,1.0337844,1.1946846,0.47288942,0.79256934,1.1045506,0.0,0.85989845,0.3508531,0.8723192,1.1311728,0.8531705,0.8194579,1.2195735,1.138749,0.9000691,0.41586876,0.9408218,0.91180694,0.91308606,0.8215039,0.7346769,1.1267015,1.1486298,1.0930971,0.49317402,1.0588462,0.843363,1.2968204,1.0190701,1.1409447,1.1234602,1.161771,1.1833904,0.37942475,1.0539691,0.6455205,1.1260375,0.63906,0.2660793,0.91481626,1.197248,1.1689647,1.1978246,0.9713356,1.235248,1.0346056,0.71445477,0.70050436,1.1207972,1.0289952,0.94605905,0.9870373,1.0868298,1.0378746,1.1365333,1.013688,1.3347147,1.0909173,1.2479737,1.0893416,1.1607621,1.0664341,1.1517158,0.93579024,1.174283,0.9996356,1.1441939,1.2097752,1.2387639,0.5601995,1.1594332,0.93053985,0.85793424,0.90197885,0.9028051,0.74445885,0.7181791,1.3603235,1.0113791,1.3373312,0.7911396,0.47501922,0.31399465,1.0955627,1.1848133,1.2592757,1.3554828,1.0862848,0.6146825,1.2576013,1.0680811
