,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,cloud,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window,zebra
cookie,1.0728467,0.98552024,0.82828724,1.1403418,1.0922309,0.8093933,0.75977445,0.90699923,0.9571287,1.2204477,1.2723591,1.0985043,1.225947,1.1369922,1.0211014,1.2363375,1.0777054,0.9279401,0.6413643,1.0773089,0.8669921,1.0954461,0.9680426,0.98767674,0.97115475,1.0974207,1.0163579,1.2214048,1.2735445,1.0093021,1.2491107,1.1181514,1.1320435,0.0,1.2996459,0.78236425,1.0406247,1.1817846,0.7887429,0.94697255,0.81636614,0.9523406,1.0073438,1.2805505,1.0514295,1.226382,0.70535505,0.7668776,1.1128646,0.8887438,1.0375088,0.9834976,1.085037,1.0150198,1.082905,1.0013006,0.9421755,1.0620141,1.1242887,1.0305701,1.1103636,0.9453577,1.1204433,1.0344454,1.153003,0.92654437,1.1004634,1.0092357,1.0355455,1.2041469,1.3563459,0.9356896,1.269552,1.0390496,1.2141058,1.0019125,0.8013071,0.77172637,1.0933015,0.98272556,1.1021907,1.117257,0.28263867,0.9771789,1.0660499,1.0745357,0.51450104,1.0301416,0.91671306,1.2398009,1.27415,1.0745566,0.537461,1.1129299,1.0670501,0.95262814,0.9010382,1.1078055,0.9458076,1.0262467,0.7116435,0.9417086,0.8858785,0.60537636,0.96942043,0.92543995,0.96203154,1.1159767,1.0573297,1.0638932,0.5809739,1.134779,1.0260682,1.2801914,0.74423707,1.2820338,0.80350316,1.1625211,0.980258,1.2674011,1.0040683,1.0162872,1.0958205,0.58262825,0.83354837,1.14279,0.99810976,0.74856985,1.171979,1.2418644,1.0751071,0.67728674,0.9486424,1.0652317,1.2353033,0.9809834,0.92010504,0.8722358,1.1421704,1.1201825,1.2188458,1.1647536
couch,1.2707828,1.0774627,1.2912054,0.79631686,0.48837513,1.1897167,1.3064344,1.3814976,1.3206933,0.5101486,0.09073138,1.2191877,0.442595,0.5140088,1.1882092,0.28719532,0.94412893,1.45028,1.3728442,0.6712721,1.146298,1.2368038,1.2083751,1.0646245,1.1637644,1.1045363,1.0883988,0.7327462,0.7230922,1.4860964,0.5230601,0.9537099,1.1292585,1.2996459,0.0,0.94841254,1.438605,0.65608096,1.4242067,1.1512939,0.9812759,1.1663862,1.068913,0.62021106,1.0322471,0.5330762,1.2647889,1.3016895,0.8972015,1.2520034,0.97855455,1.1834193,1.4205145,1.4085488,1.1034528,1.4756544,1.3470821,0.7799032,0.85877657,0.8437381,1.2001867,1.0716993,0.8876931,1.1782926,0.7120954,0.95344025,0.72173023,1.2571666,1.0228672,0.56493604,0.5123093,1.0494052,0.4272226,1.4348066,0.8398051,1.359153,1.0238662,1.0903546,1.1041416,0.7284918,0.7874556,0.81939006,1.0613531,1.3031728,1.0025357,1.193565,1.4032865,1.0144176,1.1436849,0.375019,0.5480863,0.6916647,1.1138207,1.3643615,1.3179301,1.1982003,1.1430918,0.65729207,0.92260903,1.3940654,1.3470316,1.1646897,1.0571642,1.2342181,0.8202018,1.1189764,1.189286,0.8662659,1.1832287,0.9807705,1.1550138,0.87913907,1.3398917,0.36244798,0.97484964,0.5527237,1.3014219,0.63232124,0.88665086,0.56802917,1.3475119,1.318342,0.8967281,1.2101996,1.5082064,1.1404922,1.2837815,1.240035,0.930572,0.7440595,0.43439835,1.4503031,1.2563981,0.94625497,1.1138376,1.1404335,1.1854943,0.778583,1.0463907,1.1962306,0.6591461,0.92133164
cracker,1.1570301,0.8781464,0.9592538,0.7487892,0.9355044,0.90922093,1.1206635,0.87843263,1.2378262,1.0510012,1.0199422,1.2518536,1.147756,0.81472623,1.134128,1.0490534,1.0852898,1.2525986,1.1966537,1.0405228,0.6461782,1.1952441,1.2313936,0.8382495,1.2380807,1.2771411,0.8314494,1.0118567,1.0978237,1.2511809,1.0757594,1.0829657,0.9284786,0.78236425,0.94841254,0.0,1.2021254,1.1679751,1.1507986,1.0906391,0.99376094,0.96615565,1.0040766,1.086292,1.2515049,1.0036023,0.86553454,0.8347831,0.9897068,1.1171447,0.95902395,0.76792306,1.2602662,1.2579677,0.8766863,1.2067757,1.1105859,1.0737554,0.7880357,0.8708862,0.99113476,1.0265996,0.9995316,0.7699872,0.9549885,0.88697356,0.716545,1.192892,1.0140007,0.98591125,1.1762855,1.0006087,0.97786635,1.2791889,1.1622603,1.2242628,0.8241534,0.735796,1.0009521,0.66011167,1.0166904,0.99939287,0.7181018,1.146176,1.1059245,0.8123112,0.84006727,1.270801,0.90262556,0.9588076,0.9289658,1.0090016,0.7869766,1.2204176,1.2761388,0.79894024,1.128006,0.9375384,0.7904551,1.171654,1.172104,1.1027839,0.80741704,0.6880438,0.765263,1.0365828,0.87707627,1.0089523,1.1189674,1.128562,0.9437045,0.8126143,1.1278992,0.9823076,0.70637906,0.8967551,0.9068468,0.90294933,1.0028714,1.2042894,1.1586894,1.268971,0.8620877,0.9193654,1.2264614,0.9977655,1.1354884,0.8009927,1.2399169,1.1957533,1.05954,1.0662506,0.8853978,0.9060566,1.0238072,1.1479108,1.0713935,0.8984858,1.1823419,1.1410592,1.2416866,0.9651317
crayon,0.577157,0.904298,0.6034132,1.1482542,1.4316249,1.0968415,0.88985187,0.6186495,0.60275465,1.4793768,1.5085094,0.28847027,1.3190289,1.5383343,1.1439161,1.4857388,1.0644807,0.37963176,0.9420702,1.4288174,0.81209445,0.6282354,1.0370971,1.1313981,1.0374031,0.87470037,0.6747996,1.1304262,1.0138832,0.27340114,1.3314731,1.0558034,0.626174,1.0406247,1.438605,1.2021254,0.0,1.4299059,0.5292218,1.142621,1.3046083,0.98729706,0.99017876,1.3255545,1.0193491,1.3342917,0.9002962,0.48184168,1.0703574,0.6139038,0.9649132,0.5879858,0.34794164,0.3638867,0.40617573,0.37830526,0.8194973,1.2840383,1.2008964,1.4162812,0.46362257,0.8127152,0.9369784,0.9585058,1.0501823,1.2143795,1.3377502,0.22711134,1.2041563,1.388911,1.1959366,1.2166036,1.3470752,0.26341164,1.271821,0.40141177,1.3468702,1.2239133,1.0959573,1.5210729,1.1830814,1.2741402,1.2920773,0.14894116,0.88290155,0.6227253,0.6939305,0.89719856,0.94413275,1.477443,1.2144213,1.3642807,1.2091897,0.23477972,0.29501164,0.63941,1.0862546,1.1528212,1.2479978,0.2834314,0.7904006,1.1350213,0.81207675,1.2168261,1.3233172,0.8687506,0.9602984,1.2396684,1.0778264,1.027022,1.2721615,1.1178325,0.6748415,1.4525936,1.2658052,1.0667839,1.1318742,1.3547845,1.4021322,1.1893862,0.097922206,0.33501202,0.945359,1.1853955,0.5711478,0.78319275,0.8421405,0.86971056,0.9715516,1.1575212,1.5039297,0.64932334,0.37050188,0.7780497,0.76081026,0.8949692,0.92433035,1.5163646,1.0772477,0.21364486,1.3041809,1.2326204
crib,1.2312047,1.2075348,1.429625,0.87334704,0.8014527,1.0285496,1.1488122,1.3204098,0.77218705,0.61985743,0.49837637,1.2463886,0.61727756,0.6973933,0.9109076,0.57654357,0.620341,1.2131056,1.0156206,0.28561783,1.4317551,1.0844452,0.66315216,1.001474,0.6352251,0.8359622,1.3858192,0.9750782,0.8421964,1.289444,0.6929275,0.978416,1.1903061,1.1817846,0.65608096,1.1679751,1.4299059,0.0,1.2091885,1.0262606,0.8375852,1.120225,1.0373188,0.66046304,0.39403158,0.8508755,1.2582798,1.5196763,0.9984714,1.2727821,1.0592148,1.4310668,1.3473812,1.271133,1.4605067,1.3024082,1.197599,0.85133624,0.8519659,0.8355214,1.4090863,1.2507665,1.1352278,0.9866823,1.1252987,0.94718164,1.0153208,1.3807888,1.0042757,0.66492474,0.8205189,0.73428535,0.8160391,1.2436512,0.42803997,1.2411203,0.99345523,1.0505699,0.8379247,0.8974099,0.95675236,0.94079816,1.0396652,1.4375703,0.9757194,1.3139457,1.441652,0.72332,1.176772,0.7409645,0.9997637,0.62389296,1.032961,1.3632927,1.297473,1.3803502,1.0657468,0.7811258,1.0438393,1.3829057,1.07765,1.0590471,1.3423758,1.1472661,0.75787354,0.89801633,1.2012179,0.68037623,0.94462687,0.75968456,0.9935052,1.0645739,1.0432613,0.87337524,0.9543929,1.088777,1.0525858,0.7890911,0.7132839,0.61888397,1.4252968,1.2904195,1.1141056,1.0380504,1.1989281,1.1233877,1.0750691,1.1955225,0.82053137,0.92941505,0.5645616,1.2162337,1.4851325,1.2551055,0.9702555,0.99028325,0.7951642,0.6312821,0.6902734,1.3628294,0.6415409,0.9129614
cup,0.92775315,1.0091573,0.8135412,1.2504394,1.3152544,0.95612234,0.7197191,0.60132337,0.61919403,1.3578324,1.4394085,0.6255089,1.2212672,1.3762522,1.0499414,1.3903244,1.08179,0.26354468,0.43011236,1.2406553,1.0256101,0.8208297,0.7627841,1.1386268,0.8005535,0.9070546,0.9807231,1.2202948,1.0828837,0.54200244,1.2771506,1.1118294,0.846256,0.7887429,1.4242067,1.1507986,0.5292218,1.2091885,0.0,1.04682,1.0426736,1.0943063,1.0626057,1.2903608,0.98854935,1.3464992,0.86191535,0.6784457,1.1339936,0.71695226,1.0555955,0.9353929,0.6485568,0.60285175,0.85860693,0.59312314,0.97317135,1.1024202,1.3155484,0.9408772,0.84564114,0.86013484,1.0736285,0.96446455,1.1733739,1.1751883,1.3039818,0.5566852,1.1780574,1.3194325,1.3035111,0.8943123,1.3838673,0.5408987,1.141389,0.6093556,1.1956884,0.9656403,1.0387182,1.2771711,1.1001709,1.2130157,1.0366805,0.54278374,0.9402424,0.9526034,0.72969294,0.9053655,1.0711416,1.4072003,1.3649114,1.3221488,0.9964546,0.59723234,0.60776144,0.8657321,1.0394764,1.1082034,1.2480778,0.6332239,0.6052361,1.0325971,0.9542779,0.80087596,1.1554017,0.82434523,0.91907924,1.1019491,1.0598929,1.0836446,0.80171573,1.2830302,0.8164399,1.4289194,1.0263579,1.2814362,0.6919473,1.254619,1.0364327,1.1772634,0.5220232,0.5934233,1.1231134,0.6876401,0.46421498,1.0087931,0.9017167,0.9272251,1.0251228,1.1498454,1.2227033,0.5266736,0.7870399,1.0576893,0.98089224,0.8350074,0.8703382,1.086416,0.9955046,0.6088085,1.2137668,1.2340572
deer,0.6882631,1.0908545,1.0059336,1.1798861,1.1629837,0.86770064,0.86188745,1.0537839,1.0346943,1.2151874,1.1719413,1.1821249,1.2488067,1.2260704,0.69730127,1.2120098,0.86248696,0.9783003,1.019512,0.99298847,1.1685133,1.0286382,1.0010892,0.8871876,0.98358065,0.93994856,1.1805315,1.1456101,1.2044508,1.0308871,1.2092386,1.0475051,1.1789489,0.94697255,1.1512939,1.0906391,1.142621,1.0262606,1.04682,0.0,1.1301272,0.3003453,0.8028189,1.2158961,1.0812842,1.1697965,0.8245943,1.1171416,1.192781,1.0023023,0.951689,1.2244838,0.91089284,0.9460016,1.2748659,1.1006197,0.5649917,1.0050943,0.6001848,1.097716,1.1126645,0.9855315,1.1130769,1.113788,1.0661721,1.1720763,1.2250365,1.165317,0.24895489,1.1300079,1.2292114,1.0827123,1.2772888,1.1584638,1.0428232,1.053083,1.0119532,1.0916941,0.9448275,0.9869666,1.035243,1.0991702,0.9972652,1.1435447,1.2007899,0.85712326,1.0000899,1.0731088,0.8280769,1.2442584,1.2671566,0.84691244,0.9218435,1.171828,1.1088814,1.2693765,0.24352837,1.1574221,1.1397808,0.97178715,1.0775605,0.035198927,1.1839678,0.80063426,1.0759107,1.0405484,1.1784462,1.0501077,0.74486935,1.0536826,0.9914739,1.1448834,0.9017136,1.2675616,0.9132115,1.3636205,0.8894329,1.0741888,1.1612643,1.1247944,1.141587,1.0396447,1.2476839,1.0319946,1.0520195,1.2027818,0.8366103,0.9540133,0.9862727,1.0241369,1.1257677,0.93280226,1.1454134,1.0553725,1.2191169,1.0505826,0.8360762,1.147137,1.0478512,1.2252632,1.1523061,0.47590315
dish,1.1843834,1.2062402,1.1308385,0.9943191,0.8312113,1.1148709,1.194335,1.1031224,1.0438861,0.9245771,0.95564574,1.2423224,0.94908667,0.86249125,0.94058585,0.99046093,0.90075064,1.1757736,0.53115845,0.7651291,1.0762663,1.2222922,1.0425508,0.9440517,1.0416645,1.0733533,1.1357086,1.0733175,1.1543535,1.288428,0.9524233,0.96840316,1.1402996,0.81636614,0.9812759,0.99376094,1.3046083,0.8375852,1.0426736,1.1301272,0.0,1.1642885,1.1619452,0.96432537,0.8916095,1.0046484,1.1917759,1.242935,1.0962907,1.1965146,1.0157268,1.2162992,1.2294286,1.1911547,1.248484,1.0648572,1.1186239,0.8782705,1.0193461,0.83607036,1.2373189,1.3298519,1.17582,0.92979616,1.0128192,0.8900563,0.84764594,1.278523,1.0480638,0.9249031,1.0735253,0.89462006,0.95430213,1.1542274,0.9320668,1.2888117,0.66329324,0.86515373,0.98187554,0.88416344,0.9773983,0.9609596,0.7954825,1.2932386,1.206874,1.2624288,1.0762517,1.0716023,1.0787534,0.96750444,1.0178269,0.77043676,0.8996928,1.2163844,1.2351712,0.9736897,1.1184537,1.1567008,0.75740165,1.2382519,0.41188252,1.1456134,1.0306737,0.97529554,1.0022262,1.0398434,0.77122307,0.99044293,0.9928487,0.9477815,0.5079764,0.96418804,1.095259,0.916976,0.94997466,1.0981753,0.8070678,0.9569014,0.599161,1.0812843,1.3339584,1.176096,1.1479986,0.4469782,0.84582055,1.1021643,1.0985136,1.0439582,1.0941236,0.9260594,0.5217855,1.107863,1.2855062,1.1878132,1.0504762,1.2138946,1.0754948,0.22827256,1.0622128,1.2736615,0.9394103,1.0241737
dog,0.5688393,1.1495159,0.9528116,1.0820649,1.2615048,0.9323505,0.9921791,0.9290353,0.9087534,1.294933,1.2332735,1.0945528,1.3152639,1.2647829,0.7760515,1.2828817,0.8623714,0.9925073,1.0405543,1.064113,1.054265,1.0422262,1.0839509,0.83835113,1.0865985,0.90557885,1.048012,1.0282551,1.2013259,0.87642455,1.2374959,0.95954835,1.1366961,0.9523406,1.1663862,0.96615565,0.98729706,1.120225,1.0943063,0.3003453,1.1642885,0.0,0.63836753,1.2223771,1.1026229,1.1671187,0.7295071,0.9918745,1.2235534,0.93988067,0.8801472,1.1837258,0.8268467,0.9080186,1.1588371,1.0535544,0.5030988,1.034675,0.5868428,1.2536781,0.9925235,0.9671607,1.0719517,0.99436796,1.0464194,1.2273921,1.2916236,1.0552202,0.29567647,1.2383269,1.2364905,1.0976273,1.3253489,1.1159852,1.0575057,1.0469947,1.0804111,1.1822393,0.9141636,1.0512983,1.1125157,1.1054884,1.0808927,1.0416588,1.1954488,0.8017032,0.94028366,1.033179,0.6644582,1.3056086,1.1834055,0.91313684,1.0606543,1.1123873,1.0562651,1.0812731,0.23237997,1.1351988,1.0996573,0.82937175,1.009271,0.24500501,1.1242611,0.95734125,1.0197377,0.8957808,1.1221181,1.038711,0.8031316,1.0472112,1.0708063,1.0256761,0.9339103,1.3102523,0.90704685,1.2616984,1.1016252,1.1920975,1.2761052,1.1963062,1.0268528,0.96545726,1.1487938,1.074933,1.0273985,1.1315126,0.9160368,0.9819244,1.0503829,1.0791354,1.2262664,0.81310755,1.0703785,0.9348375,1.1666956,1.0810114,0.80663615,1.2222273,1.1624348,1.0890825,1.20585,0.5757712
doll,0.91771287,0.9574344,0.7860652,0.92994666,1.1450099,0.84125274,1.0244527,0.90437484,0.90149355,1.3095864,1.1201243,1.0620635,1.2939796,1.022531,0.9742493,1.1686497,0.85504997,0.9890035,1.0777282,0.98420155,0.8731033,1.1221546,1.1049263,0.87419164,1.1245282,0.932404,0.8497626,1.1499768,1.0514029,0.93985486,1.2077284,1.0135076,1.1191646,1.0073438,1.068913,1.0040766,0.99017876,1.0373188,1.0626057,0.8028189,1.1619452,0.63836753,0.0,1.2831674,1.2074507,1.0618346,0.8793327,0.83260405,1.1870712,0.98385406,0.65259135,0.98675585,0.95863205,0.88762933,1.0354309,1.0800033,0.7121177,0.91637206,0.89743805,1.2703474,0.8860383,0.7199212,1.1632634,0.8662742,0.858591,0.9761214,1.1271871,0.949692,0.853187,1.217129,1.1866032,1.020442,1.2010043,1.1709507,1.1153425,1.069252,0.97295964,1.0790591,0.8983364,0.9259002,1.065051,1.0223708,1.1313851,1.0080825,1.1038516,0.987806,0.9143332,1.1553776,0.7409379,1.0077544,1.1131387,1.0001069,0.96490103,1.0783825,1.0328295,0.96944845,0.75002766,0.9993403,1.0963001,0.832918,1.0719196,0.7733257,1.0593493,0.9478569,0.9437539,0.8729063,1.0395972,1.0822715,0.936031,0.9689506,1.1229489,1.0286313,0.9317691,1.1866919,1.0161003,1.0719113,1.0540522,1.1258755,1.3704951,1.1323209,0.99773645,1.0371631,0.9819854,1.1303598,1.0865,1.1455215,1.0351003,0.8395595,0.850373,1.0340431,1.185966,0.82278144,0.9323331,0.7208566,0.9380538,0.9737509,0.59203565,1.1995511,1.1430186,1.0135593,1.2286485,0.96087366
door,1.3010933,1.1126897,1.3930972,0.9029894,0.86808157,1.1960014,1.2060757,1.3818835,1.1699045,0.4207741,0.6600034,1.0781081,0.34815753,0.92667603,1.1176754,0.72834146,1.1209309,1.2740376,1.2094772,0.8626931,1.2461884,0.94158596,0.73089004,1.0821716,0.7170948,0.9740752,1.1950026,0.5894878,0.4862448,1.1782974,0.34164226,0.887114,1.1152635,1.2805505,0.62021106,1.086292,1.3255545,0.66046304,1.2903608,1.2158961,0.96432537,1.2223771,1.2831674,0.0,0.7032498,0.70011777,1.2372633,1.3854685,0.9621816,1.1836511,1.1250093,1.1843859,1.2778301,1.2691233,1.152644,1.1734436,1.4100161,0.8137311,1.1020533,0.77999735,1.1491889,1.2776606,0.83762646,1.1800355,0.8956454,1.011419,0.8924421,1.2323265,1.1312442,0.5364451,0.5874085,0.90342337,0.65263045,1.0806953,0.54368263,1.02418,1.1079093,1.1050218,1.0355474,0.9910418,0.8505249,0.7363978,1.0990973,1.2636102,0.92878205,1.1932935,1.4026196,0.6079449,1.112478,0.7451576,0.5914505,1.0273693,1.1924063,1.2051626,1.2430273,1.1226698,1.2212406,0.8708008,0.97764254,1.2561693,1.2324926,1.1982846,1.1685572,1.2942073,0.8433378,0.9892174,1.0937841,0.41465014,1.1265396,1.0687399,1.0644927,0.8903184,1.2918708,0.6200055,1.1066761,0.6197388,1.1511457,0.59215236,0.7704565,0.7320696,1.2826762,1.1439519,0.9050264,1.138423,1.2198187,0.7749499,1.1569941,1.2365059,1.038877,0.84114766,0.7671565,1.3838155,1.2984072,1.1481764,1.0639218,1.0429767,1.3209022,0.9537203,0.63516814,1.1028904,0.31693894,1.0721954
drawer,0.9866399,1.1063069,1.2735463,0.990394,1.077496,1.1154923,1.0599272,1.1511416,0.60434085,0.7851409,0.9388879,0.92113316,0.66809386,1.0989721,0.994447,0.95546186,0.7355412,1.0333937,0.85774267,0.58974826,1.3369802,0.8204379,0.46242774,1.0742075,0.405823,0.7058497,1.2443501,1.0279032,0.7724696,0.949039,0.9122533,1.0148417,1.1708488,1.0514295,1.0322471,1.2515049,1.0193491,0.39403158,0.98854935,1.0812842,0.8916095,1.1026229,1.2074507,0.7032498,0.0,1.1054252,1.1097474,1.2642084,1.0053514,1.040472,1.098018,1.2128971,1.0576962,1.0381882,1.1683137,0.87809676,1.10813,1.0222943,1.0284109,1.0528129,1.1600655,1.1950803,1.0687916,0.98375595,1.1982815,1.0618626,1.1563601,1.1368333,1.0838181,0.90697116,1.0043602,0.8589691,0.9906077,0.7634264,0.52364117,0.9027384,1.1190436,1.099252,0.90998816,1.1409007,1.1061335,1.0639286,1.1016302,1.1361861,0.7843338,1.1118205,1.2248105,0.3864047,1.1849563,1.1283971,1.0998151,0.9468775,1.0924565,0.9868297,0.99656105,1.0997148,1.1031629,0.86694306,1.0892557,1.1289502,0.92407286,1.0931803,1.265934,1.2163846,0.8364081,0.67304116,1.0766023,0.60346514,1.0141205,0.8735295,0.96608394,1.0923581,0.9839232,1.1308646,0.96905774,1.0741798,1.0730268,1.0080551,0.78035796,0.884617,1.051606,1.020364,1.0347279,0.9865509,0.8879143,0.9064541,0.99242336,1.0907389,0.9463477,1.0925295,0.9200733,0.9798902,1.207795,1.2672918,1.0129313,0.8755898,0.9438632,0.86255044,0.72978354,1.02966,0.8271082,1.0358438
dress,1.283505,0.9266888,1.2522093,0.91932666,0.66215724,1.1602023,1.2238233,1.3469212,1.2518531,0.62918407,0.49097168,1.189137,0.659782,0.6007349,1.1248381,0.4778266,1.1149825,1.3067915,1.304254,0.904014,1.1195556,0.9909794,1.043254,1.0985806,1.0312917,1.1722126,1.1418905,0.8309488,0.7526592,1.2602154,0.6362901,0.97192526,1.0100071,1.226382,0.5330762,1.0036023,1.3342917,0.8508755,1.3464992,1.1697965,1.0046484,1.1671187,1.0618346,0.70011777,1.1054252,0.0,1.220792,1.261646,0.9129648,1.1942472,0.995836,1.0697172,1.3602104,1.277646,1.0928469,1.3492987,1.3312229,0.8557038,0.9351218,0.9756453,1.1204742,1.0934114,0.948979,1.2089996,0.80966127,0.92418385,0.7763391,1.1937611,1.0828854,0.73690355,0.43259728,1.0310667,0.39590752,1.3421398,0.98236644,1.2551275,1.0460582,1.1139158,1.0559415,0.89162314,0.74377865,0.95501447,1.0279437,1.2493434,0.9510208,1.1172874,1.3199975,1.0808134,1.0004039,0.28135467,0.35257494,0.85525537,1.0893526,1.3178041,1.2761973,1.1916696,1.1689864,0.86991554,0.9414048,1.2637819,1.2804959,1.1677758,1.0023563,1.1885674,0.8373556,1.1927218,1.1589603,0.8794844,1.1106614,0.9753152,1.1477576,0.8557162,1.2498066,0.3657024,1.0768642,0.54140127,1.2707294,0.8306062,0.9675093,0.7063747,1.2869688,1.219034,0.7947923,1.1964041,1.4021466,0.88479847,1.1399245,1.1475627,1.017977,0.69616026,0.7476658,1.3587368,1.1366484,1.0548933,1.1031629,0.91652805,1.2333344,0.9225856,0.95845103,1.1728718,0.7935526,1.0002146
ear,0.94125366,0.7571684,0.8112916,1.117977,1.2333907,0.9370114,0.83378124,0.7901562,0.9814758,1.234504,1.298323,0.9611163,1.2253565,1.2017016,1.0106025,1.2157805,1.2005587,0.944979,0.82755136,1.3068755,0.7579777,0.9353198,0.94627315,0.9823838,0.9451558,1.1517495,0.82192683,0.81252503,1.1078445,0.85442615,1.2619638,1.0611311,0.99708194,0.70535505,1.2647889,0.86553454,0.9002962,1.2582798,0.86191535,0.8245943,1.1917759,0.7295071,0.8793327,1.2372633,1.1097474,1.220792,0.0,0.6206978,1.1252745,0.9114629,1.0675116,0.78401136,0.82863855,0.89837044,0.8914449,0.84113526,0.8865818,1.1857057,1.1336021,1.1349822,0.8947118,0.60756046,0.87219787,1.0517799,1.0652025,1.0358081,1.1335614,0.976768,0.96971893,1.2431474,1.1978937,1.0020688,1.3298074,0.8982614,1.1931129,0.8521158,0.92356527,0.97879535,1.0817362,0.9684266,1.1465954,1.1500514,0.8843782,0.8912062,0.9245177,0.96326977,0.6414891,1.1182017,0.8754219,1.2196385,1.2007362,1.2393719,0.92991626,0.9312726,0.89337814,0.77109575,0.8463037,0.95814073,0.9980305,0.7847888,0.97757673,0.78826606,0.80837226,0.86975455,1.0880275,1.0444224,0.9042586,1.0781928,1.0183011,1.0578661,0.9298887,0.96096843,1.0982356,1.2935164,0.9504446,1.1448102,0.9156795,1.1705284,1.1530969,1.2157288,0.8567388,0.9972317,0.9912625,0.8902847,0.81773627,0.9982344,0.89753413,0.8216957,1.1656407,1.1239011,1.3105376,0.85399234,0.74793524,1.0366834,1.1675124,0.8901444,1.0773141,1.3255045,1.1433153,0.9387813,1.1868918,1.0672017
egg,0.9341177,0.7169769,0.29946178,0.95194757,1.2854424,0.9331969,0.7738334,0.45627338,0.9626713,1.4074419,1.4144453,0.68556565,1.3620331,1.3049572,1.2297413,1.3957613,1.2804742,0.7282802,0.9075706,1.4456701,0.37660766,0.937536,1.1586403,1.1357782,1.1872491,1.1842418,0.5422236,1.1382543,1.1222345,0.643903,1.3473312,1.1168652,0.85175717,0.7668776,1.3016895,0.8347831,0.48184168,1.5196763,0.6784457,1.1171416,1.242935,0.9918745,0.83260405,1.3854685,1.2642084,1.261646,0.6206978,0.0,1.0835441,0.68608284,0.8973018,0.4415574,0.66449225,0.73522615,0.4659934,0.7312616,0.99029547,1.2206974,1.2439187,1.2329899,0.5632226,0.6225788,0.9015016,0.9639423,0.90888226,0.98556256,1.143556,0.5865798,1.1918261,1.4389591,1.2631456,1.0839814,1.3053246,0.7631874,1.3834609,0.6262,0.9419708,0.9461429,1.1702347,1.202735,1.1997652,1.2388858,0.94611275,0.446913,1.0022141,0.7965827,0.2991048,1.1364859,0.93062377,1.3179352,1.1223142,1.3772128,0.99183327,0.69711417,0.7091312,0.50861734,1.06441,1.100906,1.0646917,0.582889,0.8911793,1.0916258,0.41642106,0.8377397,1.2661676,0.9647666,0.88409483,1.2613088,1.171634,1.1816189,1.0924985,1.1550303,1.0501513,1.3050086,1.1549345,0.9511459,0.97431266,1.2556024,1.3126686,1.2310128,0.4884268,0.70841104,0.93034697,0.99138755,0.78351074,0.94874585,1.0332123,0.69463307,1.1477684,1.2050791,1.4004307,0.6428294,0.36973143,0.6812794,1.0284523,1.0431297,1.0344763,1.3809085,1.3393463,0.57553333,1.3363484,1.2922693
elephant,0.9899096,1.0315878,1.0984778,1.0408616,0.89483243,1.0472956,0.988603,1.0693647,1.1642994,0.6756997,0.8084974,0.98754036,0.8180139,0.8515117,1.0742106,0.6922568,1.0928977,1.1504014,1.1772285,1.0369023,1.0590725,1.0720185,1.1606408,1.0491892,1.1437312,0.9848851,1.0472057,0.720229,1.0395737,1.1261097,0.8550944,0.96514803,0.9597846,1.1128646,0.8972015,0.9897068,1.0703574,0.9984714,1.1339936,1.192781,1.0962907,1.2235534,1.1870712,0.9621816,1.0053514,0.9129648,1.1252745,1.0835441,0.0,0.9855926,1.0381271,1.0065067,1.0701847,1.1728206,0.9903731,1.0808282,1.1250708,1.0066687,1.0200385,0.9788397,1.0237439,1.0363452,0.65905046,1.1138973,1.0217588,0.86425114,0.9245355,0.9930957,1.1025188,0.9323588,0.714022,1.0991162,0.7439524,1.0138003,0.9523655,1.0775672,1.054544,0.99313545,1.0688419,0.9652164,1.0220273,0.8512714,0.9663127,1.0066794,0.90973336,0.9665572,1.1312343,1.0254247,1.1146619,0.8526962,0.89153993,0.94467115,1.0104452,1.0085343,1.0137734,1.0970527,1.152611,1.0160598,0.9786095,1.168225,1.1920362,1.1884482,0.994215,1.0312312,1.0221325,1.0712426,1.0759817,1.1794006,1.0615005,1.0038339,1.2326438,0.95688117,1.0721998,0.67232686,0.92808837,0.8622728,1.0927948,1.0145131,0.9619147,0.76490986,1.0314937,1.0876418,0.8170283,1.2002589,1.1517433,0.9120153,1.0813742,1.1821691,0.88745445,0.93027335,0.94295776,1.1286902,1.0648628,0.9936155,1.1021081,0.9774444,1.1743981,0.9904538,1.0961623,1.0546857,0.92454284,1.0103946
