,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
coat,0.90750825,1.1803672,1.231494,1.0514423,0.79669905,1.2318774,1.3095411,1.2019268,1.2826929,0.70659673,0.7031961,1.1501395,0.6223886,0.58359796,1.1584157,0.8723881,1.0072427,1.1795179,1.2151687,1.2321644,1.0029032,1.24053,1.0226877,1.2061206,1.0743135,1.2102928,1.0395098,1.1813815,0.6737194,0.94658214,1.0403138,1.2633244,1.207956,0.0,1.1418262,1.1402285,1.1585312,0.5790141,1.1172686,1.2719538,0.9099511,1.322068,1.0862917,0.99664,1.1361091,1.0618652,0.79394555,1.0760169,0.54407376,0.98843694,1.2406714,1.0248419,1.1579155,0.90962875,1.1864449,1.1787829,1.2080753,1.092517,1.0243728,1.1744623,1.0021117,0.94797546,0.84750736,0.89817226,1.0780716,1.2738004,0.7141433,1.0582837,0.9527528,1.1656216,1.0987223,0.93620324,0.49594992,1.0925076,0.60615015,1.110532,1.0323803,1.2683692,0.9495277,1.2428952,0.9687837,1.0541592,1.0018243,1.054375,1.1439234,1.1729405,1.0391481,1.2627388,1.275144,0.8178996,0.8217672,0.5285497,0.5334586,0.9598549,1.2715638,1.2523092,1.150684,1.1839682,1.0051682,1.0023935,1.1855779,1.1469605,1.1428086,1.0840592,1.0628781,1.1651441,1.157634,0.8763962,1.0973058,0.9736998,0.83509195,1.2201039,0.39668643,1.1851751,0.5092033,1.203522,0.929271,0.9962319,0.75789464,1.2368112,0.89781684,1.2645926,1.1398702,1.0127292,1.2648118,0.955003,1.1052468,0.8482955,0.3704213,0.6942673,1.2747532,1.1261803,1.0785878,1.2179921,1.0720203,1.2925142,1.0379943,0.73341763,0.76251256,1.1942333,1.1333334,0.79303795,1.0390948
coffee,1.1809124,0.9255127,0.984262,1.2149419,1.176598,1.0722301,0.7709768,1.0810331,0.9935328,1.0733136,1.212162,0.49020612,1.1222169,1.1651096,1.0194668,1.2695163,1.1738578,1.0839704,0.7327821,0.9033233,1.156254,1.0428299,1.0208615,0.74064744,1.1276263,0.6272852,0.757066,0.6363871,1.009042,0.8142839,1.2410976,0.85592,0.7623402,1.1418262,0.0,0.9352251,1.0892715,1.155212,1.1932079,0.6137998,1.219763,0.6671708,1.1244736,1.1856899,1.191205,1.0670028,0.996594,0.97450423,1.1572659,0.93189454,0.8082063,1.1474115,0.77151877,1.041404,0.52634585,0.611079,0.94072014,0.71966493,1.0376751,0.91657865,1.0019927,0.9915412,1.0564873,0.79283404,0.929646,1.0303835,0.9925257,1.2622633,1.0880712,0.78137565,1.0727472,1.1309958,1.162112,1.1651456,1.1895511,0.7525295,0.9544632,0.49878526,1.2178526,1.1055193,1.2108158,1.0351983,0.9714911,1.0728618,0.6504638,0.88243157,0.80577004,0.6703765,0.765776,1.1140326,1.1429794,1.1992041,0.9099611,1.2835318,0.6831787,0.6701652,0.95481116,1.1052331,0.97748077,1.232278,0.9707302,1.0225276,1.12933,0.91399884,1.1423968,0.591696,0.7455928,1.0158695,1.192913,1.1290287,0.9771761,1.153504,1.1602013,1.0565926,1.0789021,0.97045916,1.052013,0.8863229,1.2057774,0.7801111,0.9571119,0.61869127,0.7876623,1.1327782,0.90935767,0.9784062,0.74919426,1.2271986,1.1814241,1.1975849,0.7550752,0.66817653,0.8824867,1.1174546,0.9779935,1.1648756,1.2410941,1.00979,1.0209899,1.0644501,0.6987401,1.1191369,1.1343737
comb,0.86046267,0.8640957,1.2363083,1.1510562,0.9449821,1.1665634,1.1291504,1.077253,0.8781632,1.0232301,1.0932803,1.0677023,1.0032094,1.091913,0.8106184,0.9813799,0.9967294,0.999917,1.1267927,1.0682615,0.96131533,1.1509567,0.9464902,0.97043574,0.8108961,0.912376,0.998758,1.163616,0.98639613,0.98008317,1.1139374,1.03809,0.9114408,1.1402285,0.9352251,0.0,1.0953307,1.1181809,1.0970263,1.0374342,0.91151047,1.0829147,0.95982313,0.9105825,1.0324763,1.0899794,0.9750824,0.8086883,1.0287406,1.0488735,1.2249542,0.9663995,1.0234746,1.0430855,0.9499086,1.024453,1.126323,0.8825581,0.8403986,1.0460572,1.0600859,0.84782654,1.1305869,1.0672891,0.82197034,0.90486157,1.0700984,1.0974443,0.9076207,1.1050465,0.947601,0.89641577,1.0860251,0.9263428,1.0409012,0.74891996,0.85001713,1.0503703,0.9868092,1.0758083,0.8971375,0.93995905,0.98312527,1.132272,1.1242673,0.960348,1.0117544,1.0396426,1.2163631,0.93703085,0.89875877,1.0526211,1.0784793,0.99805117,0.92932004,0.91863024,1.0921884,0.99674886,0.98332477,1.2047442,1.046827,1.168358,0.92560685,1.1205379,0.9519134,1.0331815,1.1471522,0.9198044,0.99119204,1.0451274,0.9560881,0.88753057,1.0540984,0.5719406,1.0438039,0.88978,0.98383707,0.8836963,1.0964843,0.87557524,1.059183,1.1445,0.5934685,1.0830992,0.95662516,1.1294408,1.1846657,1.0555772,1.1527772,1.0458472,1.0949621,0.9443572,0.8797629,0.7668075,0.94828176,1.0498096,1.0287136,1.0951862,1.0400112,0.8159678,1.0186988,1.0058721,0.67035687
cookie,0.95427686,0.8950827,0.89419425,0.9774263,1.198174,0.88514626,0.8694965,0.8932065,0.7309246,1.2989788,1.1956875,1.054556,1.2710822,1.1233144,0.9832589,1.055892,1.2011948,1.0994179,0.95537835,0.885926,1.2459795,0.63909507,1.0562232,0.9784596,0.8350473,0.9809064,1.1307821,0.97062427,0.8091746,1.028093,0.85091865,0.8333483,0.9580431,1.1585312,1.0892715,1.0953307,0.0,1.2105385,0.7199518,0.9386327,1.1977749,0.90645105,0.8060942,1.0098369,0.51599747,0.9090206,1.2105985,1.1082953,1.2393887,1.0914732,0.7819329,1.01788,0.8009355,1.0910653,1.0024651,0.9723446,0.8431366,0.96690375,1.0640128,0.84043956,1.0883386,1.0167406,1.188185,1.0803071,0.87595016,1.0419166,1.1062803,0.99023837,1.1282105,0.8681114,0.8513691,1.0850372,1.1419595,1.1680186,1.2417808,1.098912,0.98721164,0.9073492,1.0015608,0.8769523,0.767661,1.0483347,1.106164,0.62340987,0.98771554,0.87166727,0.93766326,0.81444496,0.8751356,1.2300521,0.8967812,1.2399004,1.2314749,1.1929893,0.98675007,0.99089456,0.82344306,0.7863051,0.9102801,0.9827953,0.81514394,0.85900974,0.81746686,0.9557153,0.80863214,0.9881349,0.9022242,1.2190313,0.8398043,0.9593653,0.92657954,0.9181614,1.254299,0.8959573,1.254152,0.9119683,1.081241,1.218172,1.2477785,0.8476039,1.0012903,0.8718995,0.98262435,0.88344145,0.8733913,0.93156743,1.0520749,1.0601679,1.1707733,1.2740108,0.76047355,0.98005116,1.0928633,1.0205472,0.8648885,0.8818038,1.2157364,1.1108407,1.2260714,0.92291015,0.97461015,1.1968309,1.1165842
couch,0.6662715,1.2023965,1.2606156,1.1062092,0.47680342,1.2585927,1.4003272,1.2669361,1.2973969,0.49469483,0.11926907,1.3575017,0.35535616,0.54501605,1.2485712,0.39962626,0.79752266,1.0179197,1.3262858,1.2616659,0.7219558,1.2736776,1.0601234,1.3094935,1.2442608,1.3010868,1.2914283,1.3675008,0.73322666,0.91474754,1.0538797,1.4406915,1.2459577,0.5790141,1.155212,1.1181809,1.2105385,0.0,1.0778517,1.4412057,0.5474779,1.4572887,1.1839384,0.82905006,1.0503113,1.0210811,0.67825353,1.0586233,0.52427197,1.1791433,1.3748537,1.0193039,1.2895372,0.849036,1.3079457,1.3337835,1.3988388,1.2014769,1.1739933,1.3825686,0.7975891,0.9711299,0.922464,1.0194249,1.1276531,1.3058008,0.7273466,0.98548144,0.86406195,1.2734023,1.0817524,0.77239287,0.45928985,1.0176995,0.3696897,1.1909627,1.1164407,1.4261396,0.89640796,1.1542647,0.8090507,1.0232888,1.0844675,0.9899649,1.2833028,1.2331858,1.3174636,1.3534534,1.2786201,0.63815546,1.0082848,0.36369675,0.6717342,0.63887966,1.4628012,1.4200964,1.2335663,1.1881696,0.71643794,0.9328609,1.3814094,1.1606433,1.1802437,0.9860366,1.0014246,1.4063752,1.3043425,0.69777864,1.1605949,0.8976412,1.0170127,1.3309449,0.31506377,1.2448767,0.55351275,1.2745652,1.035755,0.9299117,0.36253858,1.4674537,0.86474645,1.4023391,1.198552,0.93093514,1.4680544,1.1756887,1.2432464,0.7695432,0.34279913,0.35187334,1.4468651,1.249021,1.1139634,1.1557045,1.1172235,1.2500937,0.78204775,0.9011182,1.0031767,1.2327029,1.4109373,0.6526265,0.9889155
cracker,0.9113003,1.1547577,0.6806576,0.46386433,0.95954496,0.9743376,1.1155924,0.47647172,1.0996053,1.0367508,1.0684159,1.3101555,1.0503868,0.9658832,1.0209229,0.97162503,1.0968835,1.0981706,1.2661557,0.75901175,1.0805644,0.19329882,1.0124999,1.2454879,1.0052401,1.3114305,1.2995222,1.21422,0.987772,1.3449242,0.26767647,1.2094208,1.2669753,1.1172686,1.1932079,1.0970263,0.7199518,1.0778517,0.0,1.2841997,1.126181,1.1929162,1.1085826,0.6869501,0.784762,1.0488424,1.1547236,1.1575725,1.0514636,1.1320258,0.91759145,1.0314025,1.2380049,1.1051894,1.1739459,1.1427182,1.1152819,1.1153603,0.9812922,1.0391365,1.0363975,1.1526079,1.0940427,1.2197968,1.0276192,0.7246398,1.0954268,0.25279677,0.8000603,1.2480564,1.0883405,0.9292456,1.065343,0.96654195,0.9942312,1.147816,1.1904398,1.3077862,0.582914,0.4189428,0.7537869,1.010363,1.019914,0.41234612,1.267768,1.1197379,1.2937083,1.3064792,0.6541015,1.0122217,0.9949021,1.0132856,1.1666244,0.9105118,1.3062322,1.2531698,0.67615813,1.0935673,1.0941786,0.46567,1.1550874,0.5220299,1.11446,0.8466971,0.9665452,1.2724675,1.2232571,1.1894088,0.94698155,0.5540562,1.0320244,1.0457556,1.0145613,1.0666063,1.0388654,0.90877914,1.0023623,0.9643058,1.0607979,1.2006463,0.9017166,1.1591663,1.214326,0.48461008,0.9883695,0.8741373,1.1671543,1.1392913,1.0239487,1.0694203,1.0478784,1.1565322,1.0867255,0.8360616,1.1489418,1.0720834,0.8106341,1.1441512,1.0696555,1.1837292,1.2557551,1.0628136,1.1211131
crayon,1.3285036,0.805949,0.6909401,1.1673676,1.3938401,0.8484575,0.58776367,0.8194814,0.811913,1.405066,1.4652324,0.21490693,1.4161812,1.3994495,0.9939112,1.4842968,1.2083131,1.000444,0.21377909,0.9352046,1.3518784,1.0023271,0.943712,0.7158999,1.0015793,0.640095,0.6610917,0.3033458,1.3307393,0.98765564,1.2733574,0.40734118,0.5034696,1.2719538,0.6137998,1.0374342,0.9386327,1.4412057,1.2841997,0.0,1.4249982,0.30280244,1.0032508,1.3803921,1.244847,1.0692319,1.2829446,1.1497114,1.4115589,0.7432003,0.49467766,1.2054908,0.6196104,1.1792972,0.47072595,0.3742305,0.44543767,0.6835825,0.77852786,0.61476374,1.1294261,1.0675964,1.1715449,0.73518515,0.84084576,0.8913611,1.1248015,1.3349552,1.2998588,0.39594072,1.1540504,1.2710336,1.3440971,1.1869375,1.4884632,0.68483454,0.95657027,0.3022349,1.4619298,1.1979569,1.3437994,1.1149588,0.90405893,1.3282027,0.2277829,0.68204284,0.49324882,0.33651382,0.6598861,1.4228108,1.1106011,1.5284594,1.2120246,1.4941332,0.19968176,0.296557,0.9574322,1.0347643,1.0811992,1.352849,0.54568636,0.9549757,1.1131418,1.1266141,1.1692117,0.3539477,0.26388955,1.2750003,1.1328342,1.3675755,0.96684164,0.82869434,1.5120454,0.925944,1.3836977,0.9209461,1.2222546,1.1987586,1.3834038,0.39189255,1.1618868,0.25699788,0.76632714,1.3647945,0.5125006,0.9278749,0.4210416,1.3148909,1.4201319,1.515202,0.52408004,0.51245975,0.6253847,0.87918186,0.86317503,0.8474607,1.3969209,1.0567082,1.0970182,0.8130195,0.3299886,1.4174683,1.1872085
crib,0.8628745,1.3104854,1.4252763,1.0868523,0.67185766,1.207797,1.3622987,1.2769344,0.8687625,0.4535408,0.4228686,1.4007926,0.5356561,0.72447133,1.1961191,0.4567206,0.42729795,0.75907207,1.2969917,1.0291687,0.24533856,1.3577902,0.94257355,0.8233721,1.2084497,0.89620876,1.0527784,1.4824755,0.91635036,0.7048411,1.0285367,1.2664268,1.0428774,0.9099511,1.219763,0.91151047,1.1977749,0.5474779,1.126181,1.4249982,0.0,1.303872,1.1601806,0.8519175,1.0251051,1.0311751,0.57013273,0.5450651,0.7755439,1.3564596,1.4721668,0.9674357,1.4204481,0.9481133,1.4961178,1.4389839,1.3037968,1.351981,1.1607804,1.3643211,0.8284632,1.0130122,0.6738975,1.3151,1.2959038,1.2732754,1.0977719,1.0440018,1.0794022,1.391111,1.0493553,0.7825507,0.69540995,0.75542116,0.68244016,1.2333705,0.76731837,1.3044446,0.9017775,1.1153802,0.94210607,1.015182,1.2001143,1.1405971,1.4676793,1.0767012,1.3625968,1.4069847,1.4436426,0.5105573,1.1759294,0.6500504,0.93219787,0.54355955,1.3317335,1.2430414,1.3702341,1.1487306,0.79489625,0.9472244,1.2438924,1.095271,1.1257439,1.2012155,0.80914915,1.3300796,1.3953835,0.45983553,1.1353722,0.88633287,1.1052573,1.091111,0.7050619,1.1189212,0.857219,1.0682225,0.80282456,0.6938522,0.3969034,1.4125959,0.890627,1.4125952,1.1505568,0.975931,1.3675094,1.3195266,1.4377766,0.5097226,0.745677,0.36516255,1.2793764,1.4915684,1.2527475,1.0839375,0.99851817,0.9071579,0.5707857,0.9169926,0.7482587,0.8190774,1.4959414,0.5553732,0.9663054
cup,1.480338,0.7603741,0.6819831,1.0877792,1.4874159,0.68545735,0.4683596,0.8824606,0.6637299,1.378581,1.4718752,0.42814654,1.4119033,1.4625162,0.9853042,1.4596405,1.2450627,1.0295045,0.23889768,0.5315805,1.2745464,0.94894516,1.0451857,0.43536103,0.9674705,0.43823898,0.6174502,0.47513962,1.3890902,0.87647307,1.1579973,0.32308173,0.5351698,1.322068,0.6671708,1.0829147,0.90645105,1.4572887,1.1929162,0.30280244,1.303872,0.0,0.97046036,1.2578051,1.1718824,1.1228639,1.2338601,0.9909097,1.4438593,0.931867,0.46885574,1.1807783,0.6819931,1.2193857,0.6874786,0.56137145,0.53096485,0.77378094,0.91074353,0.7764396,1.1395637,1.2246803,1.0994533,0.91241586,0.8572293,0.87132066,1.2105414,1.2379766,1.3533779,0.4784345,1.1037875,1.3100641,1.3919306,1.0124832,1.4876688,0.994686,0.9538372,0.2944243,1.2785866,0.9870406,1.2057408,1.0932055,1.0612562,1.1621633,0.4267521,0.61431664,0.6962677,0.43585747,0.6131642,1.2521785,1.1074443,1.5611879,1.2846773,1.4741176,0.47802955,0.56570023,0.9936994,0.99640554,1.0407026,1.2200739,0.643026,0.80420166,1.0535916,1.0018523,0.9909575,0.38069785,0.40528286,1.1311859,1.1251594,1.3597924,1.1563127,0.93426657,1.53935,0.7992585,1.4230454,0.81093425,1.1301279,0.9737728,1.3577266,0.42207462,1.1471971,0.2790197,0.7138172,1.1356478,0.63608265,0.8965283,0.56738096,1.2291622,1.4656584,1.4656657,0.23737657,0.7064389,0.88644,1.059748,0.75321364,0.7404902,1.1716927,1.1176512,1.1253366,0.83530664,0.5388185,1.3318036,1.2362046
deer,0.92641795,0.97678554,1.0121646,1.2593431,1.2597685,0.862533,0.85762715,1.1174597,0.84366506,1.1579285,1.1718154,1.0725242,1.2363749,1.2645031,0.75246257,1.139127,1.1862655,0.9380477,0.9451407,1.0964637,1.1447574,1.101764,1.0297937,1.0171986,0.7753304,0.99772257,1.0457027,1.0999148,1.0178288,1.0431693,1.0685608,0.82112044,0.9626907,1.0862917,1.1244736,0.95982313,0.8060942,1.1839384,1.1085826,1.0032508,1.1601806,0.97046036,0.0,1.0685316,0.7587825,0.8601869,1.1936753,1.0904878,1.2464403,1.0147344,0.9491107,0.69786006,0.9719708,0.96570534,1.0939933,0.96311903,0.8205094,1.0404714,1.0592599,0.7603755,1.0181134,0.83453417,1.1310632,1.0817679,1.1192076,1.2289684,1.1071131,1.1524525,1.2049148,1.0005265,0.55072504,1.0406783,1.1770737,1.0845512,1.2841612,1.2011565,0.9861151,0.8399372,1.1485003,1.0033184,1.0667061,1.0396658,1.0538497,1.1611757,1.0485234,0.9606072,0.947807,0.9662099,1.0596467,1.2248054,0.89926153,1.295865,1.2620822,1.0204948,0.9974511,1.0374111,1.0606284,0.44187474,1.0767118,1.1782153,0.7929599,1.1085701,0.24259782,1.0549074,0.97096604,1.0054147,1.0136498,1.1684937,0.41257894,1.1835891,1.1249937,0.78984404,1.245352,0.91326785,1.2396191,1.1038301,1.029184,1.2117145,1.1114283,0.8988129,1.0105226,0.9315231,1.0295157,1.1518927,0.99655026,1.024458,1.0914016,1.0457046,1.1738282,1.178911,0.9179532,1.0354484,1.0682852,1.0658076,0.95700824,0.81699723,1.1107183,1.1041844,1.0773821,0.85630834,1.0958201,1.1223965,0.6134541
dish,0.9351977,1.2205162,1.0281638,0.8531335,0.7803663,1.0466211,1.1218383,1.0074126,1.1520307,0.765778,0.83187664,1.3942381,0.82842064,0.8292974,1.1237562,0.88867235,0.93226045,1.0269809,1.256761,0.8615616,0.8464681,0.89012605,1.0554607,1.1302953,1.1190559,1.1865106,1.2909954,1.3314445,0.92877185,1.1886803,0.846812,1.2341272,1.2181013,0.99664,1.1856899,0.9105825,1.0098369,0.82905006,0.6869501,1.3803921,0.8519175,1.2578051,1.0685316,0.0,1.0026599,1.1541234,0.8533019,0.99056906,0.8599187,1.1855959,1.1228501,1.0409513,1.2435826,0.99226534,1.2001376,1.2660065,1.2177883,1.2306536,0.9743965,1.2758851,0.93072504,1.066013,0.9096921,1.1679832,1.1119491,0.8184916,0.97628003,0.7573266,0.76536536,1.3008797,1.1008826,0.7476471,0.9168348,0.9033165,0.77568734,1.0044348,1.1114459,1.2757477,0.55923694,0.81482774,0.874089,1.0241652,1.097646,0.5840694,1.2936864,1.2065407,1.3717905,1.3123697,1.090215,0.6836937,0.9952407,0.8124777,0.96274877,0.75934607,1.3099535,1.2857866,0.9331236,1.1724083,1.1073142,0.64506763,1.2151155,0.982025,1.1398607,1.0084937,0.97590256,1.3575162,1.2818089,0.8423943,1.0959564,0.84350324,1.0941396,1.1312914,0.80456877,1.0467638,0.8646142,0.94245946,0.8861274,0.76076806,0.85582596,1.3306847,0.8433185,1.254369,1.2081325,0.52189994,1.1212132,1.1428359,1.2466251,0.99903107,0.8603761,0.8125691,1.2696475,1.2770072,1.0290356,0.74685454,1.1862795,1.1723466,0.76359093,1.041151,1.0582943,1.1658905,1.3585145,0.7927345,0.93287253
dog,0.68548274,1.034482,1.0428835,0.9390989,0.9729332,0.9760706,1.0705767,0.89387864,0.7971949,1.1837983,1.035733,1.3657463,1.1508975,0.994158,0.9579661,0.8596784,1.0376855,0.9968903,1.1879187,1.0892507,1.057821,0.7401403,1.0161011,1.1410824,0.8624058,1.1688024,1.281377,1.2194613,0.63261247,1.0977598,0.90829635,1.122778,1.1697869,1.1361091,1.191205,1.0324763,0.51599747,1.0503113,0.784762,1.244847,1.0251051,1.1718824,0.7587825,1.0026599,0.0,0.6401075,1.2111803,1.1338412,1.184993,1.201486,1.1199975,0.7086003,1.0966445,0.9347095,1.131382,1.1938684,1.0223813,0.9775834,1.2093621,0.93227375,1.0467154,0.9563629,1.1307124,1.1777066,0.8952514,0.97454596,1.098458,0.88414454,0.8778965,1.1521407,0.6517812,0.952353,1.0550458,1.0408252,1.0157635,1.2370467,1.0417162,1.213574,0.91061693,0.9012178,0.70820165,0.9458114,1.1330419,0.8187151,1.2634035,1.0189286,1.1324154,1.1438613,1.0768799,1.1755992,0.9426984,1.0778965,1.2123992,0.89687055,1.2134721,1.1801206,0.7806745,0.6097068,0.85973346,0.9897283,0.97795653,1.0830454,0.5740932,0.87288713,0.74198234,1.2481728,1.18383,1.1939783,0.7362383,0.8081852,0.906407,0.8067801,1.1162208,1.0059766,1.1062177,0.9781311,1.0630533,1.23125,0.99378705,1.0842645,0.997279,1.1787148,1.0260475,1.0060341,1.0911788,0.85787255,1.2983555,0.8818448,1.1003065,1.0819926,1.0083976,1.1207902,1.163919,0.8615575,0.9333305,0.72374314,1.0033977,1.0992484,1.0425392,0.98459333,1.2529902,1.1259372,0.88682234
doll,0.90547955,1.1102957,1.0354902,1.0486628,1.1587435,0.9093367,1.0473624,1.0763252,0.9455351,1.2719529,0.96887225,1.0601333,1.2328835,1.0918183,0.7239901,0.8745208,0.8876668,0.66000044,1.1111021,1.1696641,0.8619529,1.0132751,1.0404023,1.1897241,0.8756409,1.1969364,1.1609676,1.0153601,1.0376707,1.1491473,1.0416378,1.0188226,1.1333904,1.0618652,1.0670028,1.0899794,0.9090206,1.0210811,1.0488424,1.0692319,1.0311751,1.1228639,0.8601869,1.1541234,0.6401075,0.0,1.2685528,1.2453047,1.1804636,0.92600095,1.0787057,0.8045234,1.039124,0.23943186,1.045425,0.991387,0.96569055,1.1905282,1.1671163,0.7051849,0.9752796,0.8197312,1.1513665,0.930792,1.1130697,1.0287976,0.86419237,1.009443,1.0233039,0.9498393,0.7297521,1.1344802,1.0068663,0.86173207,1.0520778,1.2706282,1.100208,1.099414,1.1521671,1.0897198,1.01373,0.98507017,1.0288038,1.1039593,1.0485889,1.2086678,1.0250502,1.0702674,1.0627953,1.2688727,0.9617069,1.0921754,1.2456014,0.7522206,1.1372104,1.1185825,0.9771847,0.6574044,1.0064619,1.0389775,0.97023034,1.0169841,0.7170335,0.9151906,0.99268323,1.0457928,1.0264865,1.2696002,0.803054,1.0221449,1.0860173,0.8956914,1.1000398,1.111279,1.1853801,1.2695994,1.1098657,1.346447,0.98622614,1.089705,1.1159369,1.081172,1.1889626,1.1112766,1.0798742,0.81709445,1.0463431,0.88806427,1.0426362,0.9709145,0.98093134,1.0563291,1.1703663,1.061396,1.1484895,0.5956649,0.8634516,1.0712432,0.94787747,1.045641,1.0992894,1.1886909,0.81337786
door,1.0207808,1.2699835,1.3904681,1.0904704,0.76747394,1.3153726,1.2940576,1.2857766,1.0884871,0.47914064,0.7767696,1.1170727,0.475106,0.8136629,1.1831424,0.92544353,0.9391064,1.1180545,1.1535136,1.0918708,0.7648685,1.3129548,0.96363574,0.7620678,1.2461421,0.7192255,0.7255452,1.272635,0.7434334,0.5171279,1.1195297,1.155431,0.7623922,0.79394555,0.996594,0.9750824,1.2105985,0.67825353,1.1547236,1.2829446,0.57013273,1.2338601,1.1936753,0.8533019,1.2111803,1.2685528,0.0,0.5456818,0.6349622,1.1927307,1.375004,1.0911447,1.2043222,1.1132319,1.2613478,1.2062544,1.2757964,1.083183,1.0666444,1.350054,0.90394175,1.0819883,0.5170913,1.0815818,1.1353505,1.3117487,0.9480003,1.1456574,1.0151578,1.3150053,1.2090924,0.8505642,0.90873337,1.0576305,0.8031131,0.86613643,0.5094474,1.0723562,0.9162265,1.1747966,1.0659608,0.9518333,1.1611785,0.94200337,1.2996532,1.0817881,1.1913042,1.210738,1.3046485,0.2522571,1.0588491,0.7170595,0.49724245,1.0081737,1.1276191,1.0954285,1.2920647,1.2886833,0.9428778,0.9906986,1.2207396,1.2014453,1.2339443,1.1661172,1.1328429,1.0606147,1.2528937,0.119003,1.1061696,1.0178739,0.8760424,1.2524459,0.7259486,1.1312518,0.62461853,0.8916871,0.65256685,0.56422544,0.83770996,1.3243339,0.85421765,1.2631891,1.0225676,0.9349867,1.1999252,1.1666045,1.2105312,0.91705567,0.76266676,0.6080276,1.3677812,1.3037173,1.1880667,1.0865865,1.0230147,1.3541272,0.9776482,0.8683039,0.7488295,0.7875029,1.2104572,0.2302295,1.1490188
drawer,1.1550088,0.9987128,1.2221019,1.0190241,0.9088992,1.0432324,1.0968542,1.1591692,0.79587555,0.7056664,1.0380464,1.0574371,0.77923715,1.0858036,1.0855571,1.0500308,0.80817366,0.9373004,1.1397054,0.8345347,0.61246777,1.1938505,0.96151644,0.5382032,1.1246138,0.53593105,0.66153824,1.1827761,1.0471663,0.5370902,1.0687652,0.98779905,0.81461954,1.0760169,0.97450423,0.8086883,1.1082953,1.0586233,1.1575725,1.1497114,0.5450651,0.9909097,1.0904878,0.99056906,1.1338412,1.2453047,0.5456818,0.0,1.0190854,1.1485894,1.1707652,1.0752091,1.1002011,1.1662804,1.1416732,1.14284,1.156452,0.9865912,1.0088303,1.1471807,0.99926984,1.052801,0.7754702,1.1171893,1.0145097,0.9962512,1.1024643,1.129957,1.0633589,1.1847287,1.000485,1.0404496,1.1181192,0.90834314,1.0633293,0.80767906,0.6041425,0.9685553,1.0239688,1.0426459,1.047277,0.8842068,1.1217473,1.0905818,1.2455976,0.8257767,1.1355687,1.1406615,1.1974618,0.5288209,1.1822398,1.0675234,0.93389696,1.1136125,0.8969535,0.7970401,1.1244675,1.0942017,0.87925434,1.0326599,1.0605396,1.0927265,1.0541861,1.1009114,0.8494623,0.9187045,1.2167335,0.38046086,1.0106415,1.0310694,1.0489147,1.0341154,1.1091859,0.8304758,0.99489546,0.7132337,0.8699533,0.55705714,1.0158435,0.949298,1.0949068,1.1721417,0.84790415,1.0712618,1.009399,1.1022458,1.2482352,0.9267459,1.1273024,0.8893133,0.96284866,1.1871877,1.1576649,1.0508256,0.8551986,0.9896981,0.9741091,1.0697762,0.91929924,0.61427915,1.0495048,0.74881834,1.0741514
