,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
comb,1.0806282,1.2663491,1.2463864,1.1641243,0.88690096,1.1044767,1.1233014,1.1113763,1.0587453,0.8656194,0.86884755,1.2121744,0.6673298,1.0054921,1.0027951,0.9318675,0.7993263,1.1741451,1.2211301,1.2041788,1.0166163,1.1748495,1.2448151,1.0811981,1.1879966,1.0210273,0.7458591,0.73873836,1.0838518,0.9213088,1.1616522,0.76927435,0.81918675,1.0760257,0.0,1.0652595,0.89967144,1.0670098,1.1707261,0.8875017,1.314192,0.86757696,0.8646397,1.2337497,0.7379824,0.75327873,0.9317733,1.3106655,0.7529097,1.0098754,1.0010027,1.1842244,1.0943489,1.1626776,1.2526886,0.943971,1.132299,0.85498345,1.1040645,1.1001676,0.80815935,1.1316947,0.8822794,1.1072798,1.0051906,1.1988182,1.0832182,0.994274,1.1711028,0.7534121,1.0362263,0.6813471,1.2216439,0.9032651,0.99183065,0.9926284,0.87677556,1.0268338,1.0606616,1.1648755,1.276351,1.1707739,1.1680429,1.2582033,0.71632516,0.88747686,1.0292138,0.85291934,1.0564414,0.9412724,1.1145803,1.138438,1.123514,1.2377667,0.9389552,0.9513466,1.1660287,1.2560029,0.999228,1.1358926,0.79859746,0.68430537,1.0029297,1.0120893,1.1395259,0.8354758,1.1006653,0.8919504,1.0787253,0.7709935,0.7317021,0.9036156,1.2463783,1.2015021,1.2003535,0.9861575,1.204664,0.9674643,1.1583762,0.7165544,0.87190455,0.8882452,1.2699753,1.1984979,1.07351,0.9792007,1.3254628,1.2346166,1.0002428,0.79925,0.93432647,0.9622429,0.889379,1.2209958,0.7809483
cookie,0.8707893,0.91055584,0.95195055,0.81881887,1.1237295,0.8752931,1.02186,0.8309681,1.0495453,1.334578,1.1883208,1.2215086,1.2333144,0.99141276,0.8070431,1.0867586,1.0145665,1.0477834,1.1515943,1.0943527,1.0349282,0.6656058,1.031509,0.8215872,1.1376008,1.0965871,0.988257,1.1899868,1.2340438,0.84206843,1.026847,1.1356289,0.93394697,0.8988702,1.0652595,0.0,1.1449258,0.7746683,1.1533339,1.2058855,0.9780444,0.90653336,0.8525283,0.99233586,1.1271949,1.1842407,1.0509454,0.82264155,1.1343061,0.94992465,1.09166,1.1568046,1.005499,0.9380055,0.96881604,1.0996183,0.80654633,1.12418,1.1449605,0.85494,0.9986992,0.7517072,1.1147594,0.6303229,1.059059,1.1569307,0.954791,1.0718668,0.94435734,1.247934,1.3009841,1.1250707,1.2212713,0.81684154,1.0993651,0.81624156,1.1034337,1.0703948,0.40849388,1.2314086,1.0453564,1.1035346,0.8504756,0.75490206,1.1316441,1.0256991,1.0633018,1.0250348,1.061169,0.86061054,1.1967788,1.1981536,0.77458864,0.922815,0.81818426,0.8767036,0.8594038,0.9319296,0.944558,1.0001928,1.1499506,1.0305161,0.8050328,0.91953087,0.82557106,1.1708664,0.68785805,1.033487,1.0093518,1.1637164,1.2031438,1.3043503,0.93585426,1.1277541,1.0515488,0.87575394,0.94684434,1.0259771,0.8473722,1.1576304,1.1160464,1.0845298,0.90596044,1.119195,1.0611798,1.0805191,1.0668806,0.9477772,1.0329305,1.0903621,1.0793839,1.1066871,1.1591659,1.1262197,1.1886404
couch,1.0529613,1.0768865,1.4590809,1.2941725,0.51375127,1.201825,1.2152979,1.3449107,1.2498708,0.47400492,0.07954407,1.2963605,0.44178623,0.49207443,1.2598593,0.31754297,0.43751717,1.0028026,1.4562316,1.4545506,0.8079301,1.3166647,1.3905644,1.1812658,1.3197438,1.0274441,0.8370329,0.94035053,0.88234675,1.0799747,1.37341,0.66686845,0.6001908,1.2687154,0.89967144,1.1449258,0.0,0.8521836,1.4595282,0.5491212,1.3800321,0.86378694,0.76684153,0.9703332,0.8297842,0.85834295,0.6216802,1.4068837,0.6541053,1.1722124,0.73059857,1.2058722,1.2789325,1.3994513,1.1928018,1.3217196,1.2360026,0.9791825,1.1338283,1.2330244,1.0599015,1.2453282,0.7753501,1.1073136,0.8612976,1.2309581,1.0479181,0.49152958,1.3117933,0.4456644,1.2758648,0.67818666,1.4427354,1.174139,1.0692813,0.79703766,0.9532103,1.0383116,1.2186937,1.3006623,1.2136669,1.1792573,1.289124,1.2708781,0.6268062,1.0526302,0.50982165,0.6216942,0.6886266,0.7146885,1.4387287,1.3902944,1.336782,0.77223146,1.3064566,1.1837629,1.3323338,1.4295044,0.85370505,1.3256738,0.68710643,0.78544074,1.21621,0.71852136,1.2926399,0.37633997,1.2241143,0.7239824,1.2977729,0.6700257,0.8031491,0.44865298,1.5301721,1.3227971,1.1184056,1.0456471,1.4562063,1.0956969,1.2573485,0.55352986,0.40238404,0.3577087,1.4690647,1.189067,1.3382615,1.1395403,1.2264923,1.2755361,0.7307557,0.7800499,1.2487708,0.9765052,1.1403637,1.4201939,0.75096214
cracker,0.86750954,1.0656413,1.2370212,0.86266947,0.777483,0.9849464,1.008721,1.2219069,1.1266158,0.8679504,0.778705,1.3384514,1.142861,0.5612905,1.1522337,0.5212631,0.9290592,1.055173,1.324662,1.4135779,1.0263528,0.90518314,1.3163135,1.077086,1.3366499,1.0858144,0.87977505,0.9699202,1.2934885,0.7789604,1.2181443,0.9831336,0.8621158,0.99254316,1.0670098,0.7746683,0.8521836,0.0,1.3578415,0.92093694,1.2014854,0.8052223,0.6475092,0.7537767,1.2223277,1.1491617,0.8640337,1.0301175,0.90599126,1.2882507,1.0089073,1.1608931,1.2552879,1.195175,0.9576065,1.2668816,1.1414394,0.89196193,1.2090801,0.8388038,0.8605025,0.925249,1.1373252,0.75775707,0.7744525,1.249137,1.0447136,0.66031486,1.121506,0.88761,1.4146868,1.1009823,1.4149715,0.97787017,1.0106105,0.4675377,1.0079253,0.97319597,0.6386708,1.2776312,1.1045843,0.97501475,1.1160003,0.93806624,1.1496577,0.7910944,0.650849,0.9630394,0.8607908,0.4600531,1.3664372,1.3201828,0.9291646,0.9349522,1.1072543,1.1223906,1.0836987,1.2050062,1.0012709,1.3377612,1.2424148,0.8399143,1.0141535,0.5188384,1.0988936,0.89866066,1.088036,1.1176968,1.3138655,1.1208034,1.231688,0.85267663,1.3416544,1.1827612,1.0207698,0.7239475,1.2661386,1.0362788,1.2196832,0.9715687,0.73633134,0.8515301,1.2576175,1.1709495,1.1189648,0.85523736,1.1091048,1.086821,0.81432104,0.9950348,1.3206708,0.9698884,1.2046342,1.2650119,1.0752921
crayon,0.8637547,0.8340569,0.4280368,1.0342115,1.352823,1.043678,1.018664,0.44842815,0.6444729,1.4446859,1.4946263,0.22089344,1.2615438,1.5193378,0.8521082,1.5141665,1.3558998,0.95000005,0.27977216,0.24088955,1.300931,0.88227314,0.72983456,0.93713534,0.6581074,1.042663,1.1381295,1.0817467,0.91456354,1.3020594,0.5477907,1.367507,1.2857327,0.9877035,1.1707261,1.1533339,1.4595282,1.3578415,0.0,1.4136795,0.6890207,1.462343,1.3565454,1.1981361,1.1733288,1.2645447,1.3800979,0.807958,1.2817347,0.72609293,1.1752336,0.5105989,0.47196323,0.4894423,0.85937256,0.5694513,0.747975,1.1503996,0.6054576,0.7160721,1.0259274,1.0121224,1.1668808,1.2053026,1.2377076,0.39423764,1.0227833,1.3730657,0.9551368,1.4006891,0.33526313,1.2941664,0.2903924,1.1127174,1.1567503,1.4595912,1.2513164,0.994491,1.2384583,0.1940999,0.6599644,0.8398702,0.7104537,1.0219638,1.3255975,1.1820605,1.4612007,1.294935,1.3013889,1.3399656,0.12059116,0.15278745,0.8579355,0.9449822,0.6779357,0.9342465,0.8882093,0.49885452,1.2071757,0.56528646,1.2534275,1.2315905,1.0741125,1.2702705,0.9480063,1.4562242,0.9211706,1.113951,0.61256295,1.1965445,1.007774,1.4104388,0.16787964,0.27992976,0.8594699,1.2468492,0.54059815,1.2492883,0.6479325,1.4596839,1.4380312,1.5298171,0.39888757,0.5098848,0.50390923,1.0391096,0.70131016,0.83328325,1.3539867,1.2590315,0.68772,1.2270507,0.94056785,0.19085729,1.2999771
crib,1.0327605,1.2155118,1.4981889,1.274736,0.8284974,1.1573416,1.1294535,1.439998,0.7356179,0.35323596,0.43893385,1.3032669,0.54667944,0.5894142,1.1916246,0.52551186,0.7350013,0.67494166,1.3194393,1.3674173,0.33648562,1.4182131,0.99501914,1.1196492,0.91589034,0.7343808,1.0162457,1.0256276,0.7862398,1.0355208,1.2959931,0.7326284,0.81043684,1.1198183,0.8875017,1.2058855,0.5491212,0.92093694,1.4136795,0.0,1.1261625,0.88090783,0.8740362,0.8969541,0.78487164,0.5738781,0.82062227,1.283782,0.83698267,1.2942302,0.94054043,1.4154533,1.3400941,1.2938564,1.1509002,1.1709819,1.2148361,1.0508449,1.3426366,1.3715489,1.0394956,1.0498564,1.0463376,1.1549267,1.0324616,1.3489697,1.0167233,0.7173232,1.0809112,0.69058716,1.2221322,0.49720907,1.3155496,1.2489175,0.86187804,0.92870784,0.8185038,1.1237687,1.2802054,1.384836,1.0894094,1.2651169,1.3391019,1.2336037,0.48315454,0.99932843,0.63519007,0.8948166,0.5712439,0.8999014,1.3351563,1.3051178,1.3648975,0.96201205,1.4156225,1.1186695,1.0071642,1.4555352,0.69812787,1.0466398,0.70631456,0.8898552,1.171291,0.8674193,0.984363,0.75725454,1.0968257,1.0690675,1.2175684,0.8141475,0.6471634,0.31818938,1.5058093,1.2443722,1.1686178,1.0144886,1.184093,0.9327689,1.2173312,0.6222199,0.68808013,0.4654861,1.3635787,1.4400439,1.4493455,0.96497774,1.1142477,0.89491016,0.4566576,0.8976656,1.1822913,0.60443735,0.78049266,1.5013918,0.6639085
cup,1.0179616,0.97331035,0.7251616,0.8089851,1.3391972,0.83173645,0.85647357,0.8662101,0.67173266,1.2723356,1.3801314,0.72720176,1.3181751,1.2835754,0.8139353,1.3312182,1.2836725,0.8411654,0.3893721,0.5120939,0.9939105,0.94188976,0.19579399,0.9650101,0.54937786,0.97401565,1.2560601,1.3265506,1.0093216,1.0600507,0.5881472,1.2127564,1.363276,0.8080597,1.314192,0.9780444,1.3800321,1.2014854,0.6890207,1.1261625,0.0,1.0685765,1.2963512,0.97358626,1.1924778,1.2371293,1.2276365,0.6601616,1.3811054,1.0307618,1.1278152,1.0465422,0.8913646,0.6543609,0.9223952,0.96115565,0.89891803,0.8813126,1.0323317,1.0434121,1.1083441,0.70894456,1.2295258,0.97372216,1.2536583,0.83027923,1.0608755,1.3047467,0.2774036,1.4642031,0.86582583,1.2579391,0.63040364,1.033316,0.87425053,1.1691172,0.8815288,1.0543988,0.9462635,0.7567736,0.81079113,1.0188615,0.86054957,0.79257894,1.1210208,1.1473328,1.2167442,1.3007603,1.1486127,1.2443264,0.74017453,0.728021,0.8737917,0.9540639,1.054765,0.8697971,0.5885761,0.71329474,0.97509855,0.6964773,1.1082313,1.2933502,0.9844825,1.2016371,0.83467025,1.4090769,0.82523537,1.3122513,0.6888359,1.2900194,1.1370326,1.2219232,0.59900403,0.57909614,1.0124582,0.9937581,0.71283466,0.66010207,0.90473497,1.3507059,1.442286,1.18225,0.41693777,1.0209926,1.0131158,0.92775875,0.81785244,0.621904,1.0730907,1.264061,0.9206317,1.0136197,0.8018649,0.8200342,1.2002518
dish,1.1758327,1.2060795,1.3052855,0.952225,0.7323134,1.0399065,1.060093,1.1972804,1.23069,0.8213874,0.8907025,1.4241233,0.9039483,0.7657819,1.1194439,0.9240208,0.72204745,1.0077094,1.28803,1.2876334,0.850742,0.81873125,1.1566234,1.1044707,1.2461166,1.1275126,0.77820385,1.1297741,1.1986327,0.36294866,1.2662628,0.72247237,1.0023481,0.72330314,0.86757696,0.90653336,0.86378694,0.8052223,1.462343,0.88090783,1.0685765,0.0,0.94783074,0.9976412,0.9934045,0.83561057,0.9406095,1.0319755,1.0982558,1.2152727,0.9837618,1.2272482,1.3213729,1.310675,1.1830263,1.233769,1.2143363,0.7491432,1.2421706,1.2186104,1.1536846,0.761821,0.99801147,0.638718,0.7454884,1.4020615,1.1054983,0.9346857,0.9703194,0.89938444,1.3293285,0.9196976,1.380625,0.7681975,0.9183579,0.794561,0.8765954,0.9894214,0.7314626,1.3420815,1.280658,1.0608485,1.2776998,0.7873482,0.78314215,1.1036205,0.9058221,0.99010557,0.77149177,0.9047983,1.4374881,1.3818011,0.9181876,1.1908214,0.9938392,1.1066484,0.6800418,1.2651407,1.0222572,1.3221622,0.8238536,1.0539641,1.0160359,0.98526645,0.8890979,0.88965786,1.0968475,1.0548177,1.1789321,0.8938484,0.9424667,0.8235973,1.3591741,1.2976985,1.1759136,0.6068839,1.1599962,0.7881899,1.1033186,0.8604945,0.8607703,0.6377364,1.2021494,1.2708856,1.2714732,0.82544506,1.294641,1.1080763,0.7260377,1.0059688,1.2667251,0.9781624,1.1012616,1.428914,0.9257866
dog,0.8515965,1.1732394,1.2313296,1.0468564,0.9620648,0.9994361,1.0498314,1.2015035,1.2343578,0.9178369,0.7598306,1.2911783,0.9076422,0.7852229,1.0209196,0.692966,0.7614105,1.0999773,1.3094181,1.3165798,1.0229193,1.0549488,1.3311441,1.0351323,1.2965357,0.94810385,0.8449757,0.6691717,1.1734504,0.9436793,1.2100564,0.91910684,0.6285691,1.1157764,0.8646397,0.8525283,0.76684153,0.6475092,1.3565454,0.8740362,1.2963512,0.94783074,0.0,0.66271245,1.008783,1.0168122,0.86096716,1.2447351,0.7975769,1.1637127,0.8065921,1.2519422,1.2003648,1.1664833,1.0892018,1.2610768,0.9840627,1.0235895,1.1139743,0.9370169,0.81700563,1.2296956,0.830622,0.9622687,1.031584,1.1439556,0.93585914,0.7366427,1.2008419,0.8256924,1.3105154,0.8440825,1.3303827,1.0077037,1.0938474,0.57214797,0.932942,1.0817119,0.91597056,1.2262592,1.2395662,1.1983223,1.058412,1.1555182,0.9261759,0.69451284,0.86856407,0.9070418,0.9093751,0.62938917,1.3048389,1.2861207,1.0937465,1.0959064,1.1410482,1.0286283,1.2115755,1.2063394,0.93238086,1.218744,0.99440783,0.8397222,0.95923394,0.64287996,1.1485314,0.82318145,1.1001483,1.0090884,1.1726867,0.9702066,1.1390308,0.8900454,1.3743931,1.263506,1.1245633,1.0047306,1.255579,1.07313,1.2408817,0.75087106,0.75498945,0.8315083,1.3270204,1.2297664,1.1812298,1.1371832,1.2117815,1.0290399,0.9348485,0.81269675,1.0955555,0.9708734,1.0842545,1.279232,0.88380766
doll,0.8000439,0.93395925,1.0564455,0.8970945,1.0981226,0.8425547,0.90162164,1.1350694,0.98547274,1.1077243,1.0023482,1.2073385,1.1299909,0.79940176,0.96494883,0.86281216,0.97606105,0.75478786,1.1068648,1.1717317,0.9019155,0.9803083,0.996643,0.7573617,1.129039,0.8079771,1.0882677,1.0925101,1.0803071,0.94932747,1.0188427,1.106881,1.0521215,1.0593729,1.2337497,0.99233586,0.9703332,0.7537767,1.1981361,0.8969541,0.97358626,0.9976412,0.66271245,0.0,1.2101698,1.1840924,0.97688,0.9892937,1.2059588,1.2053198,0.6530916,1.0979848,1.1327579,0.9733438,0.9262283,1.1857071,0.7398707,1.0866781,1.0458745,0.8420905,1.0931357,0.88516057,0.9707559,0.91672045,0.8765141,1.0202444,0.7401656,0.90157175,0.9351625,1.1808653,1.31179,1.0525174,1.143937,1.014262,1.005081,0.6928288,1.0347672,1.0712988,0.92835426,1.1945951,1.0010744,1.0077878,1.0185097,0.95758003,1.2686214,0.9205416,0.7683516,1.1655756,0.82398313,0.83014894,1.1778678,1.1561706,1.0351685,0.9063655,1.1897706,0.9660569,0.99490297,1.0469749,0.9225576,1.1302664,1.2625343,1.1855285,0.9658738,0.8009024,0.9454369,1.1110373,1.0172715,1.1195201,0.9954612,1.2512492,1.2448473,0.923125,1.221816,1.1078808,0.9839511,1.0042204,1.0207714,0.87085515,1.0263064,1.0707613,0.9602598,1.0177889,1.1010752,1.0632746,1.1649357,0.83653796,0.97227746,0.54581696,0.86486876,1.1037819,0.9696275,0.9555279,1.0421447,1.2022314,1.0890611
door,1.2232622,1.1707981,1.2689134,1.2076805,0.8932406,1.2525957,1.17915,1.3215327,1.0099045,0.8630408,0.87604153,0.9625361,0.5029947,1.1364045,1.1271483,1.001743,0.9987756,1.1494939,1.1109009,1.2032602,0.8733041,1.3258641,0.97538495,1.096155,0.7150841,1.0772897,1.0116849,0.7036764,0.46211326,1.1240844,1.1722665,0.51177955,0.8999257,1.0603795,0.7379824,1.1271949,0.8297842,1.2223277,1.1733288,0.78487164,1.1924778,0.9934045,1.008783,1.2101698,0.0,0.36913717,0.9149514,1.3148022,0.8290899,0.83735114,1.1214405,1.1166897,1.0625223,1.1554068,1.12799,0.9546479,1.2967532,1.0116587,1.0331941,1.1858659,1.110976,1.3276541,0.91620386,1.1897486,1.0094934,1.2040235,1.1453846,1.0221866,1.0709555,0.69348735,0.9192992,0.31189054,0.92301327,1.217974,0.8412545,1.1119138,0.799059,1.1284547,1.1885116,1.1863257,1.0675111,1.0223606,1.1222107,1.2789137,0.5084465,1.0237442,0.9950051,0.79919857,1.1643889,1.0714915,1.1207472,1.127324,1.2807484,0.95231843,1.0506219,0.7144629,1.217806,1.2425337,0.8232585,0.864853,0.28829265,0.9258154,0.9195921,1.0733788,1.1884576,0.84348035,1.2099023,0.7059169,0.86617345,0.39362252,0.64848256,1.0089464,1.2585242,1.162231,0.95270574,1.0660583,1.1953288,1.065042,1.2215613,0.8463689,0.8553126,0.91767555,1.3661593,1.1612184,1.2221675,1.1566145,0.9403932,1.359999,1.144695,0.702882,1.1143476,0.7782497,0.6096481,1.148893,0.40282792
drawer,1.1676898,1.2041726,1.3595963,1.1935438,0.78108144,1.2624753,1.178807,1.3061457,0.93925494,0.6249879,0.8183094,1.149869,0.4158597,1.0371039,1.158284,0.9079397,0.9769187,1.075509,1.3214722,1.1519904,0.65730214,1.2060313,1.0378096,1.1513865,0.77099645,1.0188135,0.8789979,0.814777,0.6414851,0.95650375,1.2885638,0.6124631,1.0160165,0.9091575,0.75327873,1.1842407,0.85834295,1.1491617,1.2645447,0.5738781,1.2371293,0.83561057,1.0168122,1.1840924,0.36913717,0.0,1.0014219,1.2533572,0.8767005,1.0324067,1.1434362,1.1361811,1.0894752,1.3173876,1.0712807,0.8298351,1.2906396,0.9961715,1.1178592,1.207853,1.0914853,1.18493,0.982397,1.0759099,0.90085584,1.3231604,1.1299644,1.0712433,1.0738055,0.71308,0.82233894,0.44308472,1.0825238,1.1614583,0.82825243,0.99774456,0.8080979,1.0824459,1.1744461,1.2734181,1.0522306,1.0371372,1.226936,1.1747895,0.419968,1.0229433,0.9697936,0.8956708,1.0646652,1.0591527,1.1250765,1.1306958,1.1293813,0.9252668,1.0327208,0.91743195,0.95944893,1.341929,0.85013545,0.9019459,0.4331013,0.896612,0.99426436,1.1308856,1.0920796,0.89643925,1.1964055,0.85234565,1.008345,0.5696956,0.43397784,0.85355467,1.3048406,1.2760229,0.8711073,0.94165635,1.1348083,0.94629544,1.2591431,0.8056609,0.91507334,0.8479291,1.3714329,1.1985557,1.2014395,1.0291821,1.0301698,1.327153,0.99829996,0.761214,1.1077186,0.75714266,0.76043904,1.2623605,0.64578885
dress,1.0966074,0.88424534,1.2326132,1.1142187,0.79300064,1.0380938,1.0893106,1.3099399,1.2104108,0.81151414,0.6425437,1.2578619,0.8644285,0.6181495,1.1665341,0.60618657,0.804397,1.0629755,1.2806989,1.414947,0.978873,1.2675822,1.1704432,1.0980451,1.249735,1.0652827,0.9958754,0.9812172,1.0327957,1.0509697,1.2064271,0.76631117,0.6293999,1.2246538,0.9317733,1.0509454,0.6216802,0.8640337,1.3800979,0.82062227,1.2276365,0.9406095,0.86096716,0.97688,0.9149514,1.0014219,0.0,1.2496583,0.6880471,1.1645486,0.87542075,1.1860398,1.248456,1.1408837,1.1234238,1.3245046,1.1738975,0.950953,1.0867338,1.2033744,1.037791,1.120265,0.77133703,1.1638288,0.8675671,1.2118707,1.049124,0.57422024,1.1398319,0.5199638,1.3319237,0.9150332,1.3761522,0.9783933,0.9941401,0.81855357,0.96676755,0.996451,1.0659212,1.2777492,1.2310889,0.9521729,1.2003138,1.2205075,0.9273517,0.85206157,0.38174736,0.43764102,0.8490286,0.809367,1.4172161,1.3889163,1.2760729,1.0159692,1.1607999,0.98495924,1.3067551,1.1914788,0.8350152,1.2673842,0.93248826,0.89860404,1.1154323,0.7412233,1.1902217,0.40632188,1.1979958,0.56317365,1.2752222,0.89345706,1.1257833,0.73923355,1.4271512,1.2794254,1.1414127,1.0839822,1.3552462,1.0381739,1.1643065,0.85106087,0.54357743,0.697391,1.3636553,1.1459697,1.2295915,0.9681252,1.0965086,1.1173767,0.8596901,0.7166202,1.1115279,0.94490206,1.0882872,1.2816325,0.8109583
egg,1.1468687,0.81545603,0.48639077,0.65213,1.2475766,0.68394125,0.61375856,0.7123834,0.9419528,1.224001,1.3979685,0.90231466,1.4461985,1.2957386,0.7563676,1.3702497,1.1861666,1.0441208,0.7361306,0.6473777,1.1618209,0.5534074,0.7403153,0.9321573,0.8812251,1.0527831,1.2348624,1.2249682,1.1791799,0.98310286,0.67813075,1.2977512,1.248058,0.80259967,1.3106655,0.82264155,1.4068837,1.0301175,0.807958,1.283782,0.6601616,1.0319755,1.2447351,0.9892937,1.3148022,1.2533572,1.2496583,0.0,1.2602208,1.0203949,1.1302354,0.85752946,0.92674863,0.78293526,0.8614882,0.95885485,0.9237021,0.9482367,0.9884262,1.0112299,0.93983614,0.6909731,1.1797471,0.76659757,1.1661531,0.8832794,1.0154858,1.316243,0.78364336,1.4559288,0.9378409,1.3617549,0.74141866,0.82566005,1.0773953,1.1736772,1.1952662,1.0708903,0.66856277,0.7977119,0.8743339,0.92479575,0.59830296,0.28851378,1.3058004,1.1372063,1.2485825,1.2788655,1.1548088,1.2739897,0.88285387,0.9024858,0.5941633,1.1410654,0.913397,1.070375,0.6356152,0.51367426,1.2373543,0.9131949,1.2959329,1.2718902,0.8949685,1.2409072,0.7422083,1.3988602,0.766823,1.2957793,0.8499782,1.2135656,1.2982125,1.169279,0.61886805,0.78060913,0.97454756,0.9754946,0.6859109,0.94057745,0.7078892,1.296627,1.3967879,1.3183055,0.3856091,0.8471377,0.8817539,0.98016435,0.894028,0.73265386,1.1011088,1.2706016,1.0027763,1.2053791,1.0805988,0.78492665,1.2642527
elephant,1.1350214,1.0877084,1.2070181,1.1008763,0.7659861,1.2084221,1.1551563,1.2926214,1.230973,0.6067722,0.5514085,1.1319996,0.726207,0.8269018,1.1759082,0.5653461,0.75904286,1.2478794,1.3507165,1.2558644,1.0898116,1.2779784,1.3269111,1.1488066,1.217196,1.0477496,0.9054154,0.5221491,0.8905069,1.1400342,1.3051332,0.89013743,0.6320815,1.2283847,0.7529097,1.1343061,0.6541053,0.90599126,1.2817347,0.83698267,1.3811054,1.0982558,0.7975769,1.2059588,0.8290899,0.8767005,0.6880471,1.2602208,0.0,1.0321578,1.0649666,1.0812175,1.1003926,1.3208427,1.0407643,1.0927455,1.2779275,1.0065259,1.1178306,1.06796,0.66383547,1.3313556,0.9104662,1.2023586,0.9704228,1.155025,1.0962616,0.71494496,1.2962089,0.4401412,1.0178732,0.8605612,1.2475052,1.1714203,1.0354965,0.9935316,0.99485433,1.0473421,1.1019534,1.1211548,1.119747,1.0511943,1.13522,1.3029629,0.7923088,0.66859156,0.7300147,0.5413956,0.9647169,0.95518416,1.2136185,1.2033108,1.2886658,0.96134216,1.1802633,1.1708435,1.3379678,1.1976943,0.8861235,1.2331033,0.80443376,0.24942833,1.1260899,0.90901953,1.2657014,0.4797423,1.1232845,0.6831252,1.1855026,0.8022569,0.9048771,0.69081604,1.3002578,1.3226128,0.9555612,1.095616,1.2731642,1.1822295,1.2471428,0.690717,0.6022922,0.77019733,1.3909237,1.1013831,1.0682029,1.1215199,1.0739659,1.3824415,0.9645109,0.7315093,1.1524689,1.014834,1.1166004,1.1413637,0.7693527
eye,1.1185917,0.972034,0.8159971,1.0703273,1.2680409,1.0084479,1.0044502,0.7746273,0.96083707,1.316648,1.2607306,0.668554,0.98948735,1.3082155,1.000394,1.325735,1.1360914,1.0740939,0.8497925,0.745402,1.1318974,0.9136065,0.8897742,0.9683767,0.84956753,1.1008072,1.057379,1.0013006,0.7780925,1.1605891,0.79951805,1.1263356,1.0561492,0.91120666,1.0098754,0.94992465,1.1722124,1.2882507,0.72609293,1.2942302,1.0307618,1.2152727,1.1637127,1.2053198,0.83735114,1.0324067,1.1645486,1.0203949,1.0321578,0.0,1.1134933,0.8251568,0.57915944,0.93149376,0.9454035,0.73776364,0.95322037,1.1157776,0.85416293,0.9339554,1.1805164,1.0924314,0.9830343,1.039557,1.1288445,0.8395531,0.92600286,1.2366185,1.0357472,1.1764799,0.73821354,0.95095414,0.6670371,1.1015903,1.0139381,1.3319092,1.0559171,1.0560958,0.98626417,0.82711023,0.8090377,0.9440894,0.73383164,1.0599191,1.102151,1.1983156,1.2750282,1.0193857,1.215248,1.1707711,0.7637384,0.82416,0.9135058,0.9244565,0.7769204,0.90567434,1.0445194,0.8324422,1.0847403,0.6911054,0.98320776,1.0201764,0.8967806,1.2212418,1.0288872,1.158597,0.945811,0.82631505,0.7400662,0.9894739,0.9083802,1.3272036,0.71711993,0.9332288,0.8709743,1.0082659,0.85045934,1.1300656,0.8433694,1.0947301,1.197667,1.2517229,0.8431236,0.79745185,0.7150826,1.2131641,0.78689706,1.1055341,1.2163913,1.041585,0.85325485,1.063086,0.9694167,0.72144943,1.0572758
