,apple,ball,balloon,basket,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,coffee,couch,cracker,crayon,crib,cup,deer,dog,doll,door,finger,flower,game,glasses,gum,hand,hat,jeans,knife,lamp,nail,napkin,owl,paper,pen,pig,pillow,pizza,plate,pony,purse,refrigerator,shirt,sink,slide,slipper,table,tape,towel,toy,window
bottle,0.39626145,0.48051506,0.86371386,1.0583503,1.4263651,0.84850895,1.2004497,1.0642718,1.1511651,1.2820168,0.0,0.7288627,1.2158263,0.96894974,0.7839588,0.8178617,1.2550316,1.0988679,1.2461133,1.3089057,1.3024484,0.97486395,0.45615453,1.3489175,0.31114185,1.3387421,1.423678,1.2275856,1.0767981,0.87929845,0.7064569,1.1911051,0.9066503,1.2187468,1.2106183,0.32788944,1.3924221,0.91678053,0.6994362,0.5663271,1.1227958,0.92226017,1.2039961,0.5577678,0.7500573,0.8042439,1.005578,0.6985028,1.2456868,1.2523494,1.0229769,1.1101224,0.9170379,0.880215,0.5979341,1.424014,0.89680797,1.1876307,0.92949,1.2571713
bowl,0.85730183,0.8346823,0.990682,0.9295331,1.4126353,0.6710857,0.8583646,0.9004437,1.0411458,1.3787777,0.7288627,0.0,1.2490243,1.1921178,0.045027018,0.121635556,1.2560428,1.0686259,1.0868744,1.3580365,1.1669241,0.62709826,0.7560458,1.236979,0.6546427,1.3109312,1.411464,1.4023142,1.2220045,0.9116778,0.90536463,1.3061063,0.6563417,1.0509623,1.3790475,0.57970065,1.2200899,0.7542031,1.0355968,0.70468843,1.060044,1.0907456,1.306932,0.77328706,0.8040442,0.9935864,0.6728058,0.73827887,1.2164379,1.0348803,1.0691748,1.0938137,0.79078376,0.79383624,0.5188044,1.4945546,0.8407108,1.0074056,0.99828565,1.3442757
box,1.1842974,1.3549511,1.0929112,0.6789675,0.7676262,1.2560753,0.8749018,0.97919333,0.9589954,0.69739467,1.2158263,1.2490243,0.0,0.9904054,1.2035087,1.2052307,0.953948,1.1010025,0.8795744,0.78578967,0.8789562,1.2123775,1.2631462,0.8114311,1.3063964,0.8570282,0.8387919,0.9479577,0.9344664,1.1089168,1.1318612,0.90066326,1.2387806,1.0087432,0.9357813,1.333416,0.91903186,1.0520484,1.0812361,1.372941,0.95680135,0.9998486,0.75778115,1.2123466,1.166978,1.0902481,1.2324264,1.246733,0.9313785,0.6858641,0.942108,1.0465125,1.1518242,0.9782315,1.2694405,0.75278693,1.0949224,0.9091971,0.85187787,1.0290972
bread,0.73894477,0.8691747,0.986303,1.1475786,1.1005837,0.9335908,1.0542829,1.1364294,1.1704178,0.9674468,0.96894974,1.1921178,0.9904054,0.0,1.1941673,1.2536662,0.96287024,0.95003694,1.1464821,1.0028243,1.1624477,1.2723182,0.6445961,1.1014094,0.9285624,0.9829494,1.0605365,0.9328884,0.93801564,0.7334383,1.0197798,1.0736314,1.044492,1.075756,0.76581943,0.9779816,1.1313016,0.97788495,0.7940497,0.9126534,1.1894951,1.0011512,0.96051985,0.720279,1.2475442,0.9751245,1.3036752,1.187408,1.079156,1.0013825,1.1103668,1.1352733,0.77862287,1.0030172,1.0292805,1.0731279,1.0562465,1.2463732,1.0263331,1.0659314
bucket,0.9484635,0.89064914,0.9710997,0.93047357,1.3884425,0.6737094,0.85012496,0.9222401,1.0676391,1.3633767,0.7839588,0.045027018,1.2035087,1.1941673,0.0,0.09876108,1.2259278,1.0723758,1.0919429,1.2983882,1.1824658,0.62037206,0.8297446,1.2133632,0.7377833,1.2832539,1.3757234,1.3674095,1.2029338,0.93962806,0.8910893,1.2837898,0.6961403,1.0597172,1.3494949,0.6720202,1.2073936,0.7408103,1.0211055,0.77988774,1.1128306,1.0866663,1.273391,0.8482719,0.8267024,1.001983,0.66060174,0.7571133,1.1906582,0.9740554,1.0642927,1.0861242,0.77426004,0.8078289,0.603925,1.4685898,0.8134539,1.0444869,0.95049924,1.3236439
can,0.9767924,0.86497647,0.9381476,0.94593203,1.3026836,0.7836362,0.8824327,0.86833626,1.002933,1.3646142,0.8178617,0.121635556,1.2052307,1.2536662,0.09876108,0.0,1.1915193,1.0289519,1.0711768,1.2672522,1.1408116,0.6475861,0.8984555,1.1401927,0.8064878,1.2811048,1.3150581,1.3427861,1.186218,0.93928754,0.9055154,1.2805319,0.7311759,1.0681396,1.3071004,0.7429402,1.1495049,0.81489885,1.0100307,0.82598984,1.051571,1.0697896,1.2793845,0.9197509,0.7478885,0.98827267,0.7102495,0.81101763,1.1615086,1.008889,1.049325,1.0290122,0.9151202,0.80445284,0.6578827,1.4077065,0.8760555,1.0044856,0.9688269,1.292537
car,1.1963334,1.1697798,1.1917329,1.0747693,0.7295642,1.2982888,0.90391314,0.9587129,1.0025328,0.7482419,1.2550316,1.2560428,0.953948,0.96287024,1.2259278,1.1915193,0.0,1.1197993,0.95606303,0.8115859,0.86715204,1.1137735,1.3180547,0.7576836,1.3420125,0.8626662,0.85921896,0.836775,1.060845,1.0223309,1.0408736,0.8038547,1.1539849,1.020936,0.7707746,1.3245771,0.8642415,1.2718796,1.2441938,1.2943124,0.9330299,1.1264817,0.8025253,1.3452595,0.9639232,1.1861194,1.1227833,1.2776895,0.840924,0.88217527,1.0632557,0.82985044,1.2013892,1.078903,1.4005827,0.71561044,1.2707801,0.879802,0.9408231,0.80194795
cat,1.0229597,1.0024059,0.7627188,1.1590261,1.0921327,0.91086674,1.2535466,1.0437768,0.90968406,1.0958222,1.0988679,1.0686259,1.1010025,0.95003694,1.0723758,1.0289519,1.1197993,0.0,1.1739554,1.027392,1.1348178,1.0042484,0.84097743,1.1168932,1.1309712,1.1037378,1.0755591,0.9924143,0.8150982,1.1571158,1.0472388,1.0718266,1.0379968,0.82417816,1.1627638,1.0483111,0.93179274,0.9891461,0.7931278,0.96595293,1.124021,0.8332441,1.0265297,0.85310173,1.2226487,0.88072217,0.9746762,1.1431549,1.1762825,1.1213433,0.75794697,1.1416346,0.74475044,1.1400803,1.0190423,1.0056816,1.1172614,0.97767293,1.068306,0.9601942
chair,1.3273839,1.2711141,1.2240274,0.9120418,0.6526031,1.2539066,0.6875663,0.97405356,0.8528339,1.1031786,1.2461133,1.0868744,0.8795744,1.1464821,1.0919429,1.0711768,0.95606303,1.1739554,0.0,0.793262,0.18050575,1.0115457,1.378875,0.69374853,1.118108,0.840217,0.7433168,0.9241188,0.87582654,1.1427056,1.3011562,1.0715668,1.0795789,0.99194586,0.87673116,1.3132421,0.85268664,1.1796981,1.3304609,1.3108205,0.6958517,1.1290572,1.0386683,1.3598285,0.9175619,0.8481615,1.0169394,1.0352982,0.89835066,0.82391477,0.90371966,0.74653196,1.165159,1.070673,1.2868153,0.76066273,1.1171454,0.7800971,1.1127087,0.7386029
coffee,1.2126487,1.2183241,1.1852739,1.0067763,0.5650423,1.3097103,0.866361,1.1690313,1.0510644,0.83706343,1.3089057,1.3580365,0.78578967,1.0028243,1.2983882,1.2672522,0.8115859,1.027392,0.793262,0.0,0.7740286,1.2602443,1.3378774,0.63902867,1.2915839,0.7536116,0.71141243,0.7476983,0.94836724,1.125543,1.2272024,0.933197,1.1773226,1.0457773,0.61649853,1.386281,0.81668806,1.220873,1.1593671,1.3088639,1.0035856,1.031801,0.9291107,1.3644253,1.183052,1.1129833,1.2924317,1.2498019,0.90337956,0.84164506,1.0689019,0.8741441,1.2072186,1.1034226,1.4421864,0.43204546,1.1537684,1.0703301,0.9644513,0.6994757
couch,1.4109554,1.2606168,1.2120423,1.0146329,0.49634403,1.3108437,0.78535014,0.93139493,0.67682934,0.95267123,1.3024484,1.1669241,0.8789562,1.1624477,1.1824658,1.1408116,0.86715204,1.1348178,0.18050575,0.7740286,0.0,1.1545073,1.4749447,0.6827103,1.2019966,0.9222123,0.73546195,0.8624171,1.0116779,1.1193994,1.4362949,0.98950046,1.005847,0.8249364,0.693076,1.3429083,0.6678616,1.332789,1.4334518,1.332443,0.6001081,1.2407283,0.9147833,1.4022064,0.9524228,0.8437375,1.135352,1.0059153,0.96552455,0.8440312,0.90650594,0.62534267,1.154579,1.2328446,1.3660412,0.57529414,1.1828961,0.6375683,1.2331536,0.67413837
cracker,1.1066658,0.98708844,0.88655734,0.83715475,1.3358142,0.82307184,0.83058804,0.88932514,1.0175076,1.3106365,0.97486395,0.62709826,1.2123775,1.2723182,0.62037206,0.6475861,1.1137735,1.0042484,1.0115457,1.2602443,1.1545073,0.0,1.0045795,1.1852604,0.8644353,1.1066121,1.1455503,1.2879736,1.1780143,0.9276526,0.6111632,1.1480099,0.9482453,1.0556238,1.3345507,0.9142277,1.2518201,0.8814734,1.090217,0.9198248,1.0839704,1.0647619,1.2424877,1.0132886,0.64791346,1.0054983,0.12451422,0.8617935,0.9875903,1.075593,1.1136581,0.9032245,0.8461941,0.80862105,0.76164234,1.4083488,0.847002,1.056767,1.0095946,1.2539713
crayon,0.27337992,0.50596625,0.85985494,1.1930912,1.4232695,0.54623497,1.2623615,1.1281046,1.1599156,1.2307687,0.45615453,0.7560458,1.2631462,0.6445961,0.8297446,0.8984555,1.3180547,0.84097743,1.378875,1.3378774,1.4749447,1.0045795,0.0,1.3559952,0.420716,1.3345705,1.4544069,1.2451787,1.0132627,0.96974474,0.7140387,1.1956402,0.9483816,1.1783257,1.323158,0.2771685,1.337241,0.7158097,0.56687796,0.28595388,1.3419331,0.9754516,1.2480246,0.18481171,1.1897554,0.77436197,1.0062313,0.92456204,1.3369904,1.2795701,1.0601903,1.33603,0.57862246,0.9717561,0.45127082,1.4183509,0.9418055,1.3240771,1.0693054,1.26392
crib,1.2482841,1.3734016,1.156374,1.0542635,0.1923613,1.2589148,0.8286116,1.0205269,0.9988275,0.8450938,1.3489175,1.236979,0.8114311,1.1014094,1.2133632,1.1401927,0.7576836,1.1168932,0.69374853,0.63902867,0.6827103,1.1852604,1.3559952,0.0,1.3318818,0.9103715,0.81978476,0.8482447,0.8038558,1.2842078,1.2062814,0.87064976,1.2111764,1.055764,0.85166246,1.4003644,0.8151111,1.1477576,1.1347626,1.3683262,0.9694065,1.0843506,0.90124094,1.3289983,1.0927947,1.0999397,1.1829995,1.2132671,0.97078073,0.86187863,0.8876193,0.925719,1.2212875,1.1247531,1.3385934,0.5727477,1.1453271,0.8813676,0.9561365,0.7759203
cup,0.4638512,0.4028821,0.8561108,1.1224949,1.3859558,0.67705774,1.0530163,1.2146838,1.1855642,1.344639,0.31114185,0.6546427,1.3063964,0.9285624,0.7377833,0.8064878,1.3420125,1.1309712,1.118108,1.2915839,1.2019966,0.8644353,0.420716,1.3318818,0.0,1.3019485,1.3732684,1.2948841,1.2191495,0.8325667,0.8973447,1.2402226,0.7556357,1.1308191,1.1817834,0.2589295,1.3790281,0.90840197,0.812989,0.40145886,1.205887,1.067545,1.2923499,0.47599697,0.8172586,0.8244829,0.86433196,0.4394313,1.2386637,1.3189747,1.1511545,1.0584279,0.7843476,0.95261973,0.45641315,1.4146216,0.7146046,1.2879813,1.1416705,1.2444925
deer,1.2368245,1.2442397,1.1357257,0.92060614,0.9508715,1.276514,1.004396,1.0416236,1.1727667,0.84952104,1.3387421,1.3109312,0.8570282,0.9829494,1.2832539,1.2811048,0.8626662,1.1037378,0.840217,0.7536116,0.9222123,1.1066121,1.3345705,0.9103715,1.3019485,0.0,0.19559085,0.6174917,1.0330241,1.1175596,1.0274693,0.9482713,1.2836185,1.0032871,0.89720744,1.3628368,0.9112923,1.1984404,1.1322197,1.2742357,0.9675725,0.8294035,0.9176575,1.3498443,0.9471009,1.2013633,1.0610377,1.2025396,0.100488305,0.85173666,1.1954902,0.9855614,1.2114558,1.1485072,1.342414,0.91039604,1.1512228,1.1478043,0.8862671,0.8810377
dog,1.3079257,1.2930043,1.0888314,0.9551303,0.77555114,1.3319937,1.0061116,1.0790046,1.027806,0.9093212,1.423678,1.411464,0.8387919,1.0605365,1.3757234,1.3150581,0.85921896,1.0755591,0.7433168,0.71141243,0.73546195,1.1455503,1.4544069,0.81978476,1.3732684,0.19559085,0.0,0.532007,1.0307178,1.1858579,1.1553448,1.000101,1.2513487,0.9061894,0.7889664,1.4267886,0.69558126,1.2556688,1.1665394,1.2961297,0.9253367,0.76888657,0.91321975,1.4051247,0.9750306,1.1129767,1.1041855,1.095712,0.30334347,0.84760803,1.1343229,0.9437073,1.2924501,1.273881,1.3992678,0.7838768,1.0661688,1.0318508,0.9880112,0.8348821
doll,1.0935522,1.137498,1.1342727,1.064246,0.77157545,1.2626655,1.160782,1.063036,1.142311,0.6549419,1.2275856,1.4023142,0.9479577,0.9328884,1.3674095,1.3427861,0.836775,0.9924143,0.9241188,0.7476983,0.8624171,1.2879736,1.2451787,0.8482447,1.2948841,0.6174917,0.532007,0.0,1.0624586,1.0535076,1.0670633,0.892122,1.1862484,0.8789857,0.8404115,1.2395408,0.85007167,1.231034,1.0082877,1.1583573,0.90832007,0.7082515,0.92487025,1.273014,1.1739372,1.0675429,1.3148022,1.1084402,0.71405756,1.0070552,1.2283871,1.0581465,1.2067994,1.2133367,1.3326621,0.78064704,1.0582244,1.1555521,0.7925124,0.83771706
door,1.070259,1.0579413,0.83036345,1.1533554,0.84063447,1.0392818,1.1083806,1.0486157,0.89045036,1.0273465,1.0767981,1.2220045,0.9344664,0.93801564,1.2029338,1.186218,1.060845,0.8150982,0.87582654,0.94836724,1.0116779,1.1780143,1.0132627,0.8038558,1.2191495,1.0330241,1.0307178,1.0624586,0.0,1.0609564,0.99192554,1.0700593,1.2273768,1.1317194,0.9129723,1.2072359,1.1308484,0.85531557,0.75222796,1.1338326,0.96213657,1.0388548,0.99669904,1.0617621,1.1039413,0.8139911,1.1731113,1.3318927,1.0931693,0.9137476,0.47088993,1.099886,0.9946405,0.92500156,1.21156,0.91388667,1.1138562,1.0042328,0.9911563,0.8831488
finger,0.99075985,0.729207,1.0447285,0.9775247,1.2792338,0.9578715,1.0217165,1.130422,1.1150868,0.9836767,0.87929845,0.9116778,1.1089168,0.7334383,0.93962806,0.93928754,1.0223309,1.1571158,1.1427056,1.125543,1.1193994,0.9276526,0.96974474,1.2842078,0.8325667,1.1175596,1.1858579,1.0535076,1.0609564,0.0,1.0390098,1.0516943,0.6514718,0.955677,0.6228266,0.8141422,1.1765597,0.94462615,1.0875323,0.8712652,1.0093585,1.0672004,1.0752232,0.92285186,0.9025635,1.0853935,0.9850414,0.9369573,1.0719678,1.1304932,1.2172536,0.98621035,1.1140703,0.82117224,0.8212022,1.2034864,0.95005715,1.1708783,1.0428352,1.1351845
flower,0.72593224,0.75223494,0.92471266,1.0010858,1.3602432,0.88553834,1.1660988,0.9969798,1.1226635,1.1753095,0.7064569,0.90536463,1.1318612,1.0197798,0.8910893,0.9055154,1.0408736,1.0472388,1.3011562,1.2272024,1.4362949,0.6111632,0.7140387,1.2062814,0.8973447,1.0274693,1.1553448,1.0670633,0.99192554,1.0390098,0.0,1.133173,1.250462,1.2204733,1.2554913,0.80167556,1.3466742,0.750037,0.6563133,0.80062586,1.1605507,0.8460345,1.228463,0.83648354,0.77100885,0.9215681,0.67260504,1.0729148,0.9214095,1.0354337,1.0396094,1.2459254,0.95088327,0.88031846,0.7799045,1.3652917,0.9332719,1.17028,0.8661581,1.2883034
game,1.1454074,1.2258849,1.1877897,0.9815214,0.70811915,1.1789426,1.0656914,0.95159715,1.0154912,0.41920453,1.1911051,1.3061063,0.90066326,1.0736314,1.2837898,1.2805319,0.8038547,1.0718266,1.0715668,0.933197,0.98950046,1.1480099,1.1956402,0.87064976,1.2402226,0.9482713,1.000101,0.892122,1.0700593,1.0516943,1.133173,0.0,1.102948,1.0509944,0.97311395,1.2407153,0.8917054,1.1963373,1.2480142,1.2251548,1.0304633,1.0854532,0.5924518,1.1927785,1.1577193,1.2286874,1.0899744,1.171628,0.98717606,1.0158365,1.0154037,0.9608138,1.1020567,1.1104939,1.2928414,0.6149363,1.1522567,0.92316633,1.035362,0.84979856
glasses,0.9750605,0.8661351,1.0359085,0.96809554,1.1941986,0.7848623,0.9542426,1.136656,1.0459043,1.175764,0.9066503,0.6563417,1.2387806,1.044492,0.6961403,0.7311759,1.1539849,1.0379968,1.0795789,1.1773226,1.005847,0.9482453,0.9483816,1.2111764,0.7556357,1.2836185,1.2513487,1.1862484,1.2273768,0.6514718,1.250462,1.102948,0.0,0.7844946,0.92956907,0.6564784,1.0115793,0.930469,1.1810272,0.73973536,1.0232313,1.1025021,1.0825535,0.71784186,0.9389992,1.0192368,0.96013576,0.653578,1.2552671,1.1665361,1.1200767,1.0174053,1.0695306,1.0394839,0.608666,1.1856174,0.7796019,0.9829636,1.1945138,1.0262914
gum,1.2073251,1.180464,1.1196827,1.0676032,1.0202272,1.0552714,0.99634445,0.91290116,0.7091018,0.9220321,1.2187468,1.0509623,1.0087432,1.075756,1.0597172,1.0681396,1.020936,0.82417816,0.99194586,1.0457773,0.8249364,1.0556238,1.1783257,1.055764,1.1308191,1.0032871,0.9061894,0.8789857,1.1317194,0.955677,1.2204733,1.0509944,0.7844946,0.0,0.79431367,1.1214234,0.7749133,1.0854976,1.1447203,1.0378386,0.75395584,1.0918545,1.0143228,1.0283306,1.0373303,1.1642151,1.0512736,0.9552881,1.0221988,0.9763821,1.1148118,0.9282714,1.1021038,1.0229895,1.0356172,0.9389858,1.0853695,0.7815465,1.1910856,0.9169798
hand,1.2755566,1.044754,1.1459553,1.2021044,0.7357457,1.2733176,0.9270868,1.1026362,0.8995732,0.84252685,1.2106183,1.3790475,0.9357813,0.76581943,1.3494949,1.3071004,0.7707746,1.1627638,0.87673116,0.61649853,0.693076,1.3345507,1.323158,0.85166246,1.1817834,0.89720744,0.7889664,0.8404115,0.9129723,0.6228266,1.2554913,0.97311395,0.92956907,0.79431367,0.0,1.3047215,0.85137,1.264825,1.1524713,1.2498485,0.77761203,1.2221472,0.8568585,1.2716907,1.0227369,1.1058055,1.3467276,1.1424264,0.9522104,0.900921,0.9899599,0.7092837,1.2614281,1.0797417,1.340771,0.5931606,1.1980714,0.88138217,1.1974937,0.7815225
hat,0.34041572,0.42337203,0.9754331,1.0816329,1.4573997,0.59229624,1.2234322,1.1933622,1.1979973,1.3175714,0.32788944,0.57970065,1.333416,0.9779816,0.6720202,0.7429402,1.3245771,1.0483111,1.3132421,1.386281,1.3429083,0.9142277,0.2771685,1.4003644,0.2589295,1.3628368,1.4267886,1.2395408,1.2072359,0.8141422,0.80167556,1.2407153,0.6564784,1.1214234,1.3047215,0.0,1.2863876,0.7975924,0.79469216,0.22488093,1.243799,0.88145214,1.3282832,0.28328156,0.9474063,0.8121897,0.9260453,0.6235605,1.3007567,1.3808842,1.1224277,1.297052,0.7783259,1.0103872,0.36175132,1.462854,0.82824486,1.2748573,1.018701,1.284287
jeans,1.2978039,1.3171568,1.2161473,0.98868746,0.6765685,1.2291114,0.9528737,0.91254956,0.76810896,0.8779266,1.3924221,1.2200899,0.91903186,1.1313016,1.2073936,1.1495049,0.8642415,0.93179274,0.85268664,0.81668806,0.6678616,1.2518201,1.337241,0.8151111,1.3790281,0.9112923,0.69558126,0.85007167,1.1308484,1.1765597,1.3466742,0.8917054,1.0115793,0.7749133,0.85137,1.2863876,0.0,1.2691717,1.3610464,1.2501575,0.76995945,0.9825225,0.87754554,1.2243805,1.1371102,1.1782243,1.1850342,1.1245949,0.9686556,0.92929095,0.89451367,0.8607797,1.1384043,1.1819452,1.2768164,0.5615272,1.2626607,0.6525567,1.0778942,0.72519356
knife,0.8741521,0.7914141,0.94997525,1.0409261,1.2751505,0.46295345,0.87421894,1.0866287,1.1148427,1.2111435,0.91678053,0.7542031,1.0520484,0.97788495,0.7408103,0.81489885,1.2718796,0.9891461,1.1796981,1.220873,1.332789,0.8814734,0.7158097,1.1477576,0.90840197,1.1984404,1.2556688,1.231034,0.85531557,0.94462615,0.750037,1.1963373,0.930469,1.0854976,1.264825,0.7975924,1.2691717,0.0,0.72178257,0.8191254,1.248237,1.0247761,1.2417483,0.71981394,1.10536,0.8750295,0.84063417,0.88339317,1.1566976,1.0034395,0.9156227,1.3956335,0.8102233,0.88116765,0.6528623,1.3350298,0.70529985,1.2221346,0.99180305,1.2173481
